"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"Saint-Pierre","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"Saint-Pierre","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"Saint-Pierre","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"Saint-Pierre","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"-99","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"Miquelon-Langlade","Saint Pierre and Miquelon","PM","SPM",0,0,0,0,0,0,0,0,0,0,0,0
