ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B2,B4,E5,B0.NA,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,B0.1,B0.2,B8.3,C2.3,D1.-88,D2.-88,D4.-88,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_infected,p_cases_infected_smooth,p_cases_active
MF,MAF,Saint Martin,Saint Martin,2021-04-05,2020-12-21,3,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2638587.07425772,50,246,42,140,100,8,88,4,17,78,5,9,86,5,16,79,5,19,77,4,18,79,3,16,79,5,12,84,4,11,85,4,7,89,4,11,84,5,20,75,5,6,79,15,3,3,94,46,34,20,19,26,55,2,17,81,28,44,28,54,20,26,34,35,31,38,32,30,11,57,32,16,56,28,40,36,24,21,12,4,60,9,67,24,31,18,14,6,4,3,24,29,14,19,14,24,2,3,13,14,37,31,2,3,7,17,39,32,25,20,12,8,35,9,9,9,38,35,23,26,,2,49,5,12,8,7,9,8,1,50,14,15,18,53,64,0.06,0.046546565661405,0.0592890803458118,0.000284956012761076,0.03,0.0334344809563718,0.0335626467352838,0.000217308808333509,0.00695940347970174,0.00209738889110047,0,0,0,3,0,0,0,0.059506808039151,0.0463202452191875,0.0574017085316699,0.000277659059748645,0.0295865063857176,0.0331623079936712,0.0322147067024266,0.000210454919441276,0.00698659816111497,0.00209883073190413,,,,,,,,0.059506808039151
MF,MAF,Saint Martin,Saint Martin,2021-04-06,2020-12-28,2,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2721848.95264723,52,254,42,144,100,8,88,4,17,78,5,9,86,5,17,78,5,19,77,4,18,79,3,16,79,5,12,84,4,11,85,4,7,89,4,11,84,5,20,75,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,81,28,44,28,54,20,26,34,35,31,38,32,30,12,56,32,16,56,28,39,37,24,20,12,4,61,9,67,24,32,18,14,5,4,3,24,28,14,19,15,24,2,3,13,14,38,30,2,3,7,16,41,31,26,20,12,8,34,10,9,9,38,34,24,27,,2,47,5,13,8,8,9,8,1,48,14,16,19,51,63,0.06,0.046546565661405,0.0574754160744061,0.000276505316447381,0.03,0.0334344809563718,0.03253595897284,0.000210773158005946,0.00695940347970174,0.00209738889110047,0,0,0,3,0,0,0,0.0593348332873778,0.0462461536265489,0.0571110663815598,0.000276839930323317,0.0294450656638918,0.033072594453233,0.0319562944957675,0.000209405700151043,0.00699591043983873,0.00209955904820264,,,,,,,,0.0593348332873778
MF,MAF,Saint Martin,Saint Martin,2021-04-11,2020-12-31,2,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2722365.63716381,52,254,42,144,100,8,87,5,17,77,6,10,85,5,18,77,5,20,76,4,19,78,3,16,78,6,12,83,5,12,84,4,8,88,4,11,84,5,21,74,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,81,28,44,28,54,20,26,35,34,31,38,32,30,12,56,32,16,56,28,39,37,24,20,12,4,61,9,67,24,31,19,14,5,4,3,24,27,14,19,16,24,2,3,12,15,38,30,2,3,6,17,41,31,26,21,12,8,33,10,9,9,39,33,24,27,,2,47,5,13,8,8,9,8,1,48,14,16,19,51,63,0.06,0.046546565661405,0.0574645076728439,0.000276454437591083,0.03,0.0334344809563718,0.0325297838926069,0.000210733827373634,0.00695940347970174,0.00209738889110047,0,0,0,3,0,0,0,0.0573439024242147,0.0454192128056337,0.0541964300180972,0.000269194680061433,0.0279409157110356,0.0321403857980992,0.0293958214760859,0.000199329541439191,0.00712062761409923,0.00211203819623217,,,,,,,,0.0573439024242147
MF,MAF,Saint Martin,Saint Martin,2021-04-12,2021-01-01,1,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2703786.37192291,52,251,42,144,100,7,88,5,17,77,6,10,85,5,18,77,5,20,76,4,18,79,3,16,78,6,12,83,5,12,84,4,8,88,4,10,85,5,20,75,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,81,27,45,28,53,21,26,34,35,31,37,33,30,11,57,32,16,56,28,39,37,24,20,12,4,61,9,67,24,30,20,14,5,4,3,24,27,13,20,16,24,2,3,11,15,39,30,2,3,5,17,42,31,25,21,12,8,34,9,9,9,39,34,24,27,,2,47,5,13,8,8,9,8,1,48,14,16,19,51,63,0.06,0.046546565661405,0.057859379228185,0.000278295800629129,0.03,0.0334344809563718,0.0327533146750111,0.000212157386859254,0.00695940347970174,0.00209738889110047,0,0,0,3,0,0,0,0.0565963373518292,0.0451139417629508,0.0532392654960903,0.000266730209437477,0.0274282759571478,0.0318268931049801,0.0285967901542532,0.000196150942625503,0.00717549481608596,0.00211812746846253,,,,,,,,0.0565963373518292
MF,MAF,Saint Martin,Saint Martin,2021-04-14,2021-01-01,2,102,6,156439.401045086,3,88557.9658535978,44,87,19,2,2725733.35006885,53,251,44,147,102,7,90,5,17,79,6,10,87,5,18,79,5,20,78,4,18,81,3,16,80,6,12,85,5,12,86,4,8,90,4,10,87,5,20,77,5,7,80,15,4,3,95,50,32,20,19,30,53,2,17,83,27,46,29,54,21,27,34,36,32,38,33,31,11,58,33,17,56,29,40,37,25,21,12,4,62,9,68,25,31,20,14,5,4,3,25,27,14,20,16,25,2,3,11,15,40,31,2,3,6,17,42,32,25,22,12,8,35,9,9,9,40,35,24,28,,2,48,6,13,8,8,9,8,1,49,15,16,19,52,64,0.0588235294117647,0.0456624358497672,0.0573935088115404,0.000276123270352687,0.0294117647058824,0.032788840416564,0.0324895925169499,0.000210477832146221,0.00712319896389833,0.00209722250587254,0,0,0,3,0,0,0,0.0546480434247915,0.0443220949406577,0.0510125572253064,0.000260928486310505,0.0261925443342274,0.0310753365174332,0.0268521912582603,0.000188954693915838,0.00733571420055159,0.0021365725430969,,,,,,,,0.0546480434247915
MF,MAF,Saint Martin,Saint Martin,2021-04-17,2021-01-02,1,100,5,107218.209585763,2,39336.7743942743,44,86,19,2,2662235.63745406,53,249,44,145,100,6,89,5,15,79,6,9,86,5,17,78,5,18,78,4,18,79,3,15,79,6,11,84,5,12,84,4,7,89,4,9,86,5,19,76,5,7,79,14,4,3,93,50,31,19,19,31,50,2,17,81,26,46,28,54,21,25,34,36,30,38,33,29,11,58,31,16,56,28,39,37,24,21,12,3,61,9,67,24,31,19,14,5,4,3,24,27,13,20,16,24,2,3,10,14,41,30,2,3,6,16,43,30,24,22,13,8,33,9,9,9,40,33,24,28,,2,46,6,13,8,8,9,8,1,47,14,16,19,51,64,0.05,0.042716424707947,0.0402737489038714,0.000236161751283484,0.02,0.0274394957835608,0.0147758424689607,0.000144933405470498,0.00720602685882738,0.00212152031767436,0,0,0,3,0,0,0,0.050859575257794,0.0427876542904913,0.0479497360208962,0.00025220696383759,0.0241584941083639,0.0298465692459617,0.0250148826563754,0.00017943588060046,0.00771637617024383,0.00218198761070844,,,,,,,,0.050859575257794
MF,MAF,Saint Martin,Saint Martin,2021-04-21,2021-01-02,1,101,5,107218.209585763,2,39336.7743942743,44,87,19,2,2688505.03905581,54,254,44,149,101,7,89,5,15,80,6,9,86,6,17,79,5,18,79,4,19,79,3,15,80,6,12,84,5,12,85,4,7,90,4,10,86,5,20,76,5,7,80,14,4,3,94,50,32,19,19,31,51,2,17,82,26,46,29,55,21,25,34,36,31,38,33,30,11,58,32,16,56,29,40,37,24,22,12,3,61,10,67,24,32,19,14,5,4,3,24,27,13,21,16,24,2,3,10,15,41,30,2,3,6,16,44,30,24,23,13,8,33,9,9,9,41,33,24,29,,2,46,6,14,8,8,9,8,1,47,14,16,20,51,65,0.0495049504950495,0.042304508043671,0.0398802338207322,0.000233902151683237,0.0198019801980198,0.0271705622473482,0.0146314676085149,0.000143527775281283,0.00712319896389833,0.00209722250587254,0,0,0,3,0,0,0,0.0464435714834882,0.0410055085023405,0.0488494528594513,0.000250215853699068,0.0226383455762494,0.0289367697158402,0.0280861233764366,0.000181633917564079,0.00833712077650814,0.00225774865695915,-0.00217720609261047,-0.00142537594536977,-0.00115802680157804,-0.000688097220998343,0.000225087102565528,,,0.0464435714834882
MF,MAF,Saint Martin,Saint Martin,2021-04-23,2021-01-05,1,100,4,86799.274531178,2,39336.7743942743,54,87,18,2,2596505.0182191,54,252,54,140,100,6,90,4,14,81,5,9,86,5,16,80,4,17,80,3,19,79,2,14,81,5,12,84,4,11,86,3,7,90,3,10,86,4,19,77,4,8,79,13,4,4,92,49,33,18,18,31,51,2,16,82,26,45,29,54,22,24,34,36,30,37,33,30,11,57,32,15,56,29,41,36,23,22,12,3,59,11,66,23,33,19,14,5,4,2,23,26,14,21,16,23,2,3,11,15,40,29,2,3,7,16,43,29,25,23,13,7,32,9,10,9,40,32,23,30,,2,45,5,15,8,8,9,8,1,46,14,17,19,50,65,0.04,0.0384072934108425,0.03342927278096,0.000218642100794806,0.02,0.0274394957835608,0.0151498934599613,0.00014857418798499,0.00874210781932977,0.0023214572936621,0,0,0,4,0,0,0,0.0453433895154274,0.0405694185799726,0.0525834333280966,0.000255816923515333,0.0227506187788692,0.0290083848506425,0.0328377316696668,0.000191634796235381,0.00859933842181125,0.00228998289509663,-0.00233190729532507,-0.000754605508910538,-0.00111574114750377,0.000146906195649894,0.00026723799699542,,,0.0453433895154274
MF,MAF,Saint Martin,Saint Martin,2021-04-24,2021-01-07,4,102,4,86799.274531178,2,39336.7743942743,58,89,20,2,2627611.3154565,57,309,58,142,102,6,92,4,16,81,5,10,87,5,17,81,4,19,80,3,20,80,2,15,82,5,13,85,4,11,88,3,8,91,3,11,87,4,19,79,4,9,80,13,5,4,93,50,34,18,20,30,52,2,18,82,26,47,29,55,22,25,35,36,31,38,33,31,12,57,33,16,56,30,43,36,23,24,11,3,59,11,68,23,33,20,14,6,4,2,23,25,15,22,17,23,2,4,11,16,40,29,2,3,8,16,44,29,25,23,13,9,32,10,11,8,41,32,26,30,,2,44,5,15,10,9,9,8,1,45,17,16,20,49,64,0.0392156862745098,0.0376695877073438,0.033033528977667,0.000216097987814066,0.0196078431372549,0.0269068483623884,0.0149705453629622,0.000146828698312737,0.00917866751068207,0.00235131820645756,0,0,0,5,0,0,0,0.045093326545429,0.0404751784487219,0.0552305134078572,0.000260140999687112,0.0230033951550049,0.0291622981620595,0.035949817145011,0.000198597626665974,0.00870832684361862,0.00230335257635468,-0.00204176264646429,0.000172347231626666,-0.000822920092671788,0.00109233261148751,0.000264616538253231,,,0.045093326545429
MF,MAF,Saint Martin,Saint Martin,2021-04-25,2021-01-09,2,100,4,86799.274531178,2,39336.7743942743,58,88,20,2,2573884.09041465,57,297,58,143,100,6,90,4,14,81,5,10,85,5,16,80,4,17,80,3,19,79,2,14,81,5,13,83,4,10,87,3,8,89,3,11,85,4,19,77,4,9,79,12,5,4,91,49,35,16,20,29,51,2,18,80,24,49,27,54,23,23,35,36,29,37,34,29,13,56,31,17,55,28,41,38,21,23,10,3,59,10,69,21,35,19,13,6,4,2,21,26,14,22,17,21,2,4,11,17,39,27,3,3,9,14,44,27,25,23,13,9,30,11,11,8,40,30,26,30,,2,42,6,15,10,9,9,7,1,43,18,16,19,47,63,0.04,0.0384072934108425,0.0337230704577667,0.000220530142733298,0.02,0.0274394957835608,0.0152830403438786,0.000149869820435553,0.00928297055057618,0.00237791256108686,0,0,0,5,0,0,0,0.0450178093496648,0.0404531270330148,0.0583264235466509,0.000265305515434136,0.0233649856556633,0.0293813517655291,0.0394859090877714,0.000206643260340717,0.00880159837015234,0.00231472311552922,-0.00192975466702741,0.000847859675093441,-0.000677215050247418,0.00181485315558637,0.000271017259011063,,,0.0450178093496648
