"date","region","country","ISO2","ISO3","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-09,"Saint Peter","Antigua","AG","ATG",4,4,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.0235849056603774,0.00315744068562359,0.0440123706351311
2020-05-09,"Saint Philip","Antigua","AG","ATG",2,2,0.5,0,1,0,0,0,0,0,0,0.179245283018868,0.106227991401944,0.252262574635791
2020-05-10,"-99","Antigua","AG","ATG",9,9,0.222222222222222,0,0.493833841502414,0.222222222222222,0,0.493833841502414,0.222222222222222,0,0.493833841502414,0.0817610062893082,0.0571720620994341,0.106349950479182
2020-05-10,"Barbuda","Antigua","AG","ATG",5,5,0,0,0,0,0,0,0.2,0,0.550609016230633,0.0113207547169811,0,0.024058441138122
2020-05-10,"Redonda","Antigua","AG","ATG",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"Saint George","Antigua","AG","ATG",2,2,0.5,0,1,0.5,0,1,0.5,0,1,0.188679245283019,0.114196870257605,0.263161620308433
2020-05-10,"Saint John","Antigua","AG","ATG",8,8,0.625,0.289526098053033,0.960473901946967,0.5,0.153524043912581,0.846475956087419,0.5,0.153524043912581,0.846475956087419,0.464622641509434,0.417149786837957,0.512095496180911
2020-05-10,"Saint Mary","Antigua","AG","ATG",4,4,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
2020-05-10,"Saint Peter","Antigua","AG","ATG",4,4,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.0235849056603774,0.00315744068562359,0.0440123706351311
2020-05-10,"Saint Philip","Antigua","AG","ATG",2,2,0.5,0,1,0,0,0,0,0,0,0.179245283018868,0.106227991401944,0.252262574635791
