"date","region","country","ISO2","ISO3","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-26,"Mahilyow","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"Minsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"Vitsyebsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"-99","Belarus","BY","BLR",6,10,180,125,180,NA,NA,NA,NA,NA,0.0333333333333333,0.00710989812126038,0.0595567685454063,0.0555555555555556,0.0220926387219261,0.0890184723891851,0.0131027253668763,0.010820856423132,0.0153845943106206,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Brest","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Homyel'","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Hrodna","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Mahilyow","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Minsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Vitsyebsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"-99","Belarus","BY","BLR",6,3,215,253,215,NA,NA,NA,NA,NA,0.027906976744186,0.00589093857996571,0.0499230149084064,0.013953488372093,0,0.0296325099922154,0.0222027204914436,0.0194974017921383,0.0249080391907489,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Brest","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Homyel'","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Hrodna","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Mahilyow","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Minsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"Vitsyebsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"-99","Belarus","BY","BLR",10,4,275,217,275,NA,NA,NA,NA,NA,0.0363636363636364,0.0142392116301111,0.0584880610971616,0.0145454545454545,0.000395218277652612,0.0286956908132565,0.0148885077186964,0.0129223783642107,0.0168546370731821,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Brest","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Homyel'","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Hrodna","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Mahilyow","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Minsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"Vitsyebsk","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"-99","Belarus","BY","BLR",9,5,227,242,225,NA,NA,NA,NA,NA,0.039647577092511,0.0142636502901971,0.0650315038948249,0.0220264317180617,0.00293358022244047,0.0411192832136829,0.020293501048218,0.0177627735689421,0.022824228527494,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Brest","Belarus","BY","BLR",0,0,3,2,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0125786163522013,0,0.0299013819415159,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Homyel'","Belarus","BY","BLR",0,0,2,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00943396226415094,0,0.0278367638059564,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Hrodna","Belarus","BY","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Mahilyow","Belarus","BY","BLR",0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Minsk","Belarus","BY","BLR",0,1,21,22,21,NA,NA,NA,NA,NA,0,0,0,0.0476190476190476,0,0.138701380737578,0.0197663971248877,0.0115887369336739,0.0279440573161015,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"Vitsyebsk","Belarus","BY","BLR",0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"-99","Belarus","BY","BLR",0,0,15,8,15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.010062893081761,0.00312496557418097,0.017000820589341,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"Brest","Belarus","BY","BLR",1,0,17,24,17,NA,NA,NA,NA,NA,0.0588235294117647,0,0.170673197656264,0,0,0,0.0266370699223085,0.016123109882042,0.0371510299625751,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"Homyel'","Belarus","BY","BLR",0,0,11,16,11,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0274442538593482,0.0141826277452352,0.0407058799734612,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"Hrodna","Belarus","BY","BLR",1,0,22,13,22,NA,NA,NA,NA,NA,0.0454545454545455,0,0.132495514436018,0,0,0,0.0111492281303602,0.00512243068948531,0.0171760255712351,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"Mahilyow","Belarus","BY","BLR",0,0,9,1,9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00209643605870021,0,0.00620106590578278,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"Minsk","Belarus","BY","BLR",5,5,146,211,146,NA,NA,NA,NA,NA,0.0342465753424658,0.00474716290820597,0.0637459877767255,0.0342465753424658,0.00474716290820597,0.0637459877767255,0.0272680279141897,0.0236392767463526,0.0308967790820268,NA,NA,NA,NA,NA,NA,NA,NA,NA
