ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_active
NI,NIC,Nicaragua,Atlántico Norte,2020-05-10,2020-05-03,107,14,8,0.00934579439252336,0.0182316240644272,0.00945032666779583,0.000271835377515782,0.00934579439252336,0.0182316240644272,0.00945032666779583,0.000271835377515782,0.0158450704225352,0.00284826943839889,0,0,0.0215330600524667,0.0223299230958945,0.0171878877149392,0.000323085540921448,0.0106300399219508,0.013972458530838,0.00821377353851776,0.000197289068869949,0.0147016158830311,0.00266993352624582,,,,,,0.0215330600524667
NI,NIC,Nicaragua,Atlántico Norte,2020-05-11,2020-05-05,106,19,7,0.00943396226415094,0.0184028015418055,0.00947248681625143,0.000272469758681528,0.00943396226415094,0.0184028015418055,0.00947248681625143,0.000272469758681528,0.0147616468039003,0.00275068150143864,0,0,0.023789827585131,0.0237141012119018,0.0188202880426243,0.000342822575152988,0.0117221103569574,0.0148400158352601,0.00892674931183131,0.000209057958064048,0.0152391928900635,0.00270636266241419,,,,,,0.023789827585131
NI,NIC,Nicaragua,Atlántico Norte,2020-05-12,2020-05-07,103,17,6,0,0,0,0,0,0,0,0,0.0121321991354065,0.00253382962685786,0,0,0.026304605615452,0.0252400092423191,0.0206473623813013,0.000364632023747441,0.0129892246968145,0.015870972106962,0.00977809865966559,0.000223232745840258,0.0159293073007333,0.0027548324738421,,,,,,0.026304605615452
NI,NIC,Nicaragua,Atlántico Norte,2020-05-13,2020-05-08,100,14,6,0,0,0,0,0,0,0,0,0.0129347513653349,0.00265495920552993,0,0,0.0290779627202443,0.0268978418302162,0.0226707579901057,0.00038836785801939,0.0144343085450749,0.017063945624463,0.010773718169536,0.000239813887186522,0.0167893017876191,0.00281669171706093,,,,,,0.0290779627202443
NI,NIC,Nicaragua,Atlántico Norte,2020-05-14,2020-05-09,109,21,6,0.018348623853211,0.0251950503612202,0.0155119270567088,0.000361446920222296,0,0,0,0,0.0123733052520732,0.00248580067401191,0,0,0.0321026499168618,0.0286718172426337,0.0248866410882378,0.000413792063072099,0.016053318667544,0.0184101337499946,0.0119148918315396,0.000258694465349442,0.0178321545673823,0.00289293236503214,,,,,,0.0321026499168618
NI,NIC,Nicaragua,Atlántico Norte,2020-05-15,2020-05-10,103,18,6,0.0194174757281553,0.0266482036524112,0.0167645962217303,0.000390387044912693,0,0,0,0,0.00538525269262635,0.00168557981225328,0,0,0.0353626545374719,0.0305395676749617,0.0272847408052457,0.000440564803552505,0.0178357945075644,0.019892549685368,0.0131987703582365,0.00027964807086627,0.0190637916720259,0.00298392179465634,,,,,,0.0353626545374719
NI,NIC,Nicaragua,Atlántico Norte,2020-05-16,2020-05-11,109,20,6,0.036697247706422,0.0352966094275844,0.027937429378436,0.000494239097208727,0.018348623853211,0.0251950503612202,0.0116277117810743,0.000321517173416046,0.00417318727177882,0.00144288887106254,0,0,0.0388341030762712,0.0324735680957285,0.0298495881141291,0.000468266763459502,0.0197648624419907,0.0214864523847653,0.0146185543710204,0.000302335517222868,0.020481005723717,0.00308927933379635,0.00288350717063409,0.00211028339986498,0.00152247042000665,0.00106746347208378,0.000963231640114314,0.0388341030762712
NI,NIC,Nicaragua,Atlántico Norte,2020-05-17,2020-05-12,106,16,6,0.0471698113207547,0.040358496811933,0.0351129425596375,0.0005641345570263,0.0188679245283019,0.0259012641269205,0.0121429002490982,0.000335675099953943,0.0117822318526544,0.00246117422613584,0,0,0.0424854505186539,0.0344422171077422,0.0325601306539921,0.000496415220994618,0.0218177971381305,0.0231601445111281,0.0161633627167827,0.000326314529857105,0.0220693440644004,0.00320769975596141,0.00311593715558715,0.00228997376856131,0.00168261446352886,0.00120610223415857,0.00113835852905615,0.0424854505186539
NI,NIC,Nicaragua,Atlántico Norte,2020-05-18,2020-05-14,102,27,5,0.0588235294117647,0.0456624358497672,0.0433227437881352,0.000642776790048331,0.0294117647058824,0.032788840416564,0.0189458107901354,0.000430449869877258,0.0158091405576315,0.00293089103721002,0,0,0.0462780202220753,0.0364116036043045,0.0353909863879021,0.000524497694895218,0.0239689313288104,0.0248774884059444,0.0178210577609313,0.000351081169342229,0.0238022505897289,0.00333690499638721,0.00332890243443722,0.00245727066776679,0.00182995110533265,0.00134049318354428,0.00131215721483261,0.0462780202220753
NI,NIC,Nicaragua,Atlántico Norte,2020-05-19,2020-05-15,108,27,5,0.0462962962962963,0.0396292699929665,0.0326947972371196,0.000577489635032151,0.0277777777777778,0.0309932939083888,0.0200410486299589,0.000455079498522987,0.0310406126076849,0.00397482702075435,0,0,0.050169142838459,0.0383487781154565,0.0383151254657597,0.000552023560739748,0.0261918168304854,0.0266013022117974,0.0195793822498045,0.000376118919312282,0.0256423704184184,0.00347379086492274,0.00351519668636912,0.00260739457927566,0.00195958471423507,0.00146761068004474,0.00147551143846654,0.050169142838459
