ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B2,B4,E5,B0.NA,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,B0.1,B0.2,D1.-88,D2.-88,D4.-88,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_infected,p_cases_infected_smooth,p_cases_active
BZ,BLZ,Belize,Belize,2020-05-27,2020-05-01,3,101,2,30849.2003982119,2,30849.2003982119,70,96,2,0,1545290.10827266,90,164,70,195,101,3,88,10,13,81,7,1,90,10,15,80,6,14,78,9,16,78,7,7,86,8,4,87,10,7,86,8,4,88,9,10,82,9,22,74,5,21,80,0,9,11,81,6,91,4,2,0,99,0,3,0,98,22,69,10,60,34,7,6,84,11,38,53,10,4,88,9,13,79,9,34,61,6,25,3,1,3,69,14,87,0,56,23,4,2,1,9,6,43,30,16,6,6,4,11,6,25,45,10,4,11,5,23,48,10,50,22,8,11,10,26,22,21,21,11,32,54,2,2,11,12,15,18,21,20,2,1,12,72,5,13,11,26,0.0198019801980198,0.0271705622473482,0.0199633714297798,0.000220536854563504,0.0198019801980198,0.0271705622473482,0.0199633714297798,0.000220536854563504,0.0102699530516432,0.00239345852828626,,,,,,0.01974565108377,0.0270939839067934,0.0202382950913146,0.00022354115893494,0.01974565108377,0.0270939839067934,0.0202382950913146,0.00022354115893494,0.0110697228281161,0.00249528554261038,,,,,,,,0.01974565108377
BZ,BLZ,Belize,Belize,2020-05-28,2020-05-03,2,100,2,30849.2003982119,2,30849.2003982119,69,94,3,1,1510143.80534043,90,173,69,191,100,4,87,9,13,80,7,1,89,10,16,78,6,15,76,9,18,76,6,7,85,8,4,86,10,8,84,8,6,86,8,12,80,8,24,72,4,21,79,0,10,10,80,7,89,4,3,0,97,1,3,0,96,23,67,10,59,34,7,6,83,11,37,53,10,4,87,9,12,79,9,34,60,6,24,4,1,3,68,15,85,0,56,23,4,2,1,8,6,42,29,16,7,6,4,10,6,26,44,10,4,11,5,23,47,10,50,21,8,11,10,26,22,19,22,11,32,54,2,2,10,12,14,19,21,20,2,1,11,74,5,11,10,25,0.02,0.0274394957835608,0.0204279885724244,0.000225616015622682,0.02,0.0274394957835608,0.0204279885724244,0.000225616015622682,0.0103386275097393,0.00242677629402902,,,,,,0.0197279135624019,0.0270701312649546,0.0202441782664893,0.00022360732364619,0.0197274563181389,0.0270692394436771,0.0202440390426798,0.000223603645444953,0.0111743496010896,0.00250640757743288,,,,,,,,0.0197279135624019
BZ,BLZ,Belize,Belize,2020-05-29,2020-05-04,3,101,2,30849.2003982119,2,30849.2003982119,78,95,3,1,1528758.44554899,91,173,78,199,101,4,88,9,13,81,7,1,90,10,16,79,6,16,76,9,18,77,6,7,86,8,4,87,10,8,85,8,6,87,8,12,81,8,24,73,4,23,78,0,10,12,79,7,90,4,3,0,98,1,3,0,97,23,68,10,61,33,7,6,83,12,37,54,10,4,87,10,13,79,9,33,62,6,24,4,0,3,70,16,85,0,55,24,4,2,1,9,6,43,28,16,8,6,4,10,6,27,44,10,4,11,5,23,48,10,51,21,7,12,10,25,23,18,24,11,31,56,2,2,10,14,14,19,20,20,2,1,11,74,6,11,10,25,0.0198019801980198,0.0271705622473482,0.0201792510046502,0.000222897138725411,0.0198019801980198,0.0271705622473482,0.0201792510046502,0.000222897138725411,0.0115641215715345,0.00255145368301595,,,,,,0.0197082046473661,0.0270437717974262,0.0202464351631551,0.000223635200501594,0.0197069718395691,0.0270413672590907,0.0202460594507676,0.000223625274394488,0.0112998325009877,0.00251960793083313,,,,,,,,0.0197082046473661
BZ,BLZ,Belize,Belize,2020-05-30,2020-05-06,6,101,2,30849.2003982119,2,30849.2003982119,71,95,3,1,1518718.76626178,90,176,71,206,101,4,89,8,16,79,6,1,91,9,16,80,5,18,75,8,19,77,5,6,88,7,4,88,9,8,86,7,6,88,7,11,83,7,24,74,3,22,79,0,11,10,80,7,91,3,3,0,98,1,3,0,97,23,68,10,61,33,7,6,83,12,38,53,10,4,87,10,12,80,9,32,63,6,22,4,0,4,71,15,86,0,57,22,3,2,1,9,7,44,28,13,9,7,4,10,6,28,42,11,4,11,5,24,46,11,49,20,8,13,11,24,22,17,26,12,30,57,2,1,11,12,17,18,21,18,3,1,11,72,7,11,11,24,0.0198019801980198,0.0271705622473482,0.020312648453107,0.00022435535402151,0.0198019801980198,0.0271705622473482,0.020312648453107,0.00022435535402151,0.0105263157894737,0.00243555216353779,,,,,,0.0196862755651718,0.0270147165450679,0.0202428319731641,0.000223601530442382,0.0196836762766716,0.0270096468281589,0.0202420405577462,0.000223580621771528,0.0114497668677323,0.0025352111649419,,,,,,,,0.0196862755651718
BZ,BLZ,Belize,Belize,2020-05-31,2020-05-07,3,100,2,30849.2003982119,2,30849.2003982119,71,94,2,1,1557019.9161674,90,171,71,207,100,4,88,8,16,78,6,1,90,9,16,79,5,18,74,8,17,77,6,8,85,7,5,86,9,9,84,7,6,87,7,10,83,7,24,73,3,22,78,0,11,10,79,6,91,3,2,0,98,1,2,0,97,26,65,9,60,32,8,7,81,12,40,50,10,4,85,11,12,79,9,34,60,6,22,5,0,5,68,16,84,0,56,23,2,2,1,9,7,45,26,13,9,7,4,9,8,28,41,10,4,10,6,24,46,10,48,20,7,15,10,26,21,16,26,11,31,56,2,1,10,13,18,19,19,18,2,1,10,72,8,10,10,24,0.02,0.0274394957835608,0.0198129773921884,0.000218892233804612,0.02,0.0274394957835608,0.0198129773921884,0.000218892233804612,0.0106382978723404,0.00246132300299033,,,,,,0.019661619093159,0.0269825119135646,0.020230349811898,0.000223475167348939,0.019656631173777,0.0269727834231454,0.0202288323192733,0.000223435076240549,0.0116280341498666,0.0025535448809722,,,,,,,,0.019661619093159
BZ,BLZ,Belize,Belize,2020-06-01,2020-05-07,2,102,2,30849.2003982119,2,30849.2003982119,72,96,2,1,1592799.17545469,91,176,72,210,102,4,90,8,16,80,6,1,92,9,17,80,5,18,76,8,18,78,6,9,86,7,5,88,9,10,85,7,6,89,7,11,84,7,25,74,3,23,79,0,12,10,80,6,93,3,2,0,100,1,2,0,99,27,66,9,61,33,8,8,82,12,41,51,10,5,86,11,12,81,9,35,61,6,22,6,0,5,69,17,85,0,57,24,2,2,1,9,7,46,26,13,10,7,5,10,8,28,41,10,5,11,6,24,46,10,49,21,7,15,10,26,22,16,27,11,31,57,3,1,10,14,18,19,19,18,2,1,11,73,8,11,10,25,0.0196078431372549,0.0269068483623884,0.0193679158512909,0.000214023801548749,0.0196078431372549,0.0269068483623884,0.0193679158512909,0.000214023801548749,0.0105633802816901,0.00242705013423587,,,,,,0.0196332931511729,0.0269462668191842,0.0202050086196427,0.000223215693918784,0.0196241848422662,0.026928501889337,0.0202022371851566,0.000223142474560856,0.0118386350734967,0.00257492369228512,,,,,,,,0.0196332931511729
BZ,BLZ,Belize,Belize,2020-06-02,2020-05-08,5,103,2,30849.2003982119,2,30849.2003982119,72,96,2,1,1465353.95597975,91,187,72,204,103,4,91,8,17,80,6,1,93,9,18,80,5,18,77,8,20,77,6,10,86,7,5,89,9,10,86,7,6,90,7,12,84,7,25,75,3,24,79,0,12,10,81,6,92,5,2,0,101,1,2,0,100,28,65,10,62,31,10,9,80,14,41,50,12,5,85,13,13,79,11,35,61,7,22,6,0,5,70,18,85,0,58,21,2,2,2,9,9,47,25,13,10,8,6,10,7,27,42,11,6,9,7,23,46,12,49,21,7,15,11,27,21,16,27,12,32,55,3,2,11,15,17,20,18,18,2,1,12,75,8,9,11,25,0.0194174757281553,0.0266482036524112,0.0210523882453955,0.000232438054303187,0.0194174757281553,0.0266482036524112,0.0210523882453955,0.000232438054303187,0.0105633802816901,0.00242705013423587,,,,,,0.019599661795254,0.0269043871050538,0.0201616705756462,0.000222771949964055,0.0195835586476179,0.0268729794310768,0.0201567669089716,0.000222642398753879,0.0120857952616203,0.00259964903294387,-2.43315480860009e-05,-1.27707526113915e-05,-2.70154060253551e-05,-1.35880303904993e-05,0.000169345405584032,,,0.019599661795254
BZ,BLZ,Belize,Belize,2020-06-03,2020-05-09,5,100,2,30849.2003982119,2,30849.2003982119,75,92,1,1,1467683.97268149,88,153,75,207,100,5,87,8,16,78,6,1,90,9,16,79,5,17,75,8,21,73,6,11,82,7,6,85,9,10,83,7,6,87,7,12,81,7,25,72,3,25,75,0,14,9,77,5,90,5,1,0,99,1,1,0,98,28,62,10,61,30,9,8,78,14,37,51,12,4,83,13,14,75,11,36,57,7,23,6,0,5,66,18,82,0,59,19,2,2,1,8,9,46,25,12,9,8,5,10,6,28,40,11,4,9,8,23,44,12,49,21,7,12,11,30,19,16,24,11,33,52,2,2,11,14,17,20,17,17,3,0,12,74,7,8,11,25,0.02,0.0274394957835608,0.0210189665979998,0.000232073009489602,0.02,0.0274394957835608,0.0210189665979998,0.000232073009489602,0.0114819350887936,0.00258359747735028,,,,,,0.0195580451173545,0.0268541987299839,0.0200938324065167,0.000222080561181952,0.0195303194199212,0.0268001225074925,0.0200853797729121,0.000221857249532186,0.0123738031487434,0.00262798864496644,-2.83114075079067e-05,-2.50576433287689e-05,-3.28561497029394e-05,-2.64432116279453e-05,0.000199908924608963,,,0.0195580451173545
BZ,BLZ,Belize,Belize,2020-06-04,2020-05-09,2,102,2,30849.2003982119,2,30849.2003982119,78,94,1,1,1478367.75685801,88,153,78,207,102,5,89,8,16,80,6,1,92,9,17,80,5,17,77,8,22,74,6,11,84,7,6,87,9,10,85,7,6,89,7,12,83,7,26,73,3,26,76,0,14,10,78,5,92,5,1,0,101,1,1,0,100,29,63,10,63,30,9,8,80,14,39,51,12,4,85,13,14,77,11,37,58,7,23,7,0,5,67,18,84,0,61,19,2,2,1,8,9,47,25,12,10,8,5,10,6,29,41,11,4,9,8,24,45,12,50,22,7,12,11,31,19,17,24,11,34,53,2,2,11,14,17,20,17,17,3,0,14,76,7,8,11,26,0.0196078431372549,0.0269068483623884,0.0208670679234617,0.000230413750855919,0.0196078431372549,0.0269068483623884,0.0208670679234617,0.000230413750855919,0.0116871441414444,0.00257843633382998,,,,,,0.0195043408555954,0.0267915589842448,0.0199934310267715,0.00022106471817874,0.0194577776546642,0.0267007422230226,0.0199792240846567,0.000220689383091277,0.0127071797261149,0.00266018526241799,-3.39772986284534e-05,-4.21673560639293e-05,-4.15323641508129e-05,-4.4472561018486e-05,0.000234557870854535,,,0.0195043408555954
BZ,BLZ,Belize,Belize,2020-06-05,2020-05-09,4,106,2,30849.2003982119,2,30849.2003982119,85,98,1,1,1518384.85476385,91,160,85,217,106,5,93,8,17,83,6,1,96,9,18,83,5,19,79,8,23,77,6,12,87,7,6,91,9,10,89,7,7,92,7,12,87,7,27,76,3,28,78,0,16,10,80,5,96,5,1,0,105,1,1,0,104,31,65,10,66,31,9,9,83,14,40,54,12,4,89,13,15,79,12,38,61,7,23,8,0,5,70,20,86,0,62,20,3,2,1,8,10,49,25,13,10,9,5,10,6,29,44,12,4,9,8,26,46,13,50,24,7,13,12,31,20,18,25,12,34,56,2,2,12,14,17,23,17,17,3,0,15,77,7,10,12,27,0.0188679245283019,0.0259012641269205,0.0203171154542435,0.000224404180921741,0.0188679245283019,0.0259012641269205,0.0203171154542435,0.000224404180921741,0.0122161540672607,0.00258109559251913,,,,,,0.0194327110055286,0.026710585600566,0.0198507369865046,0.000219634414400481,0.0193564008977299,0.0265617507224426,0.0198274374408307,0.000219018861549585,0.0130902986037629,0.00269643476232612,-4.22607599405364e-05,-6.53491644432453e-05,-5.45458964902786e-05,-6.91005194859168e-05,0.000273421956005101,,,0.0194327110055286
