"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Christmas Island","CX","CXR",0,0,0,0.166666666666667,0,0.464865690619526,0.317610062893082,0.266442119116955,0.368778006669209
2020-05-07,"-99","Christmas Island","CX","CXR",0,0,0,0.2,0,0.550609016230633,0.381132075471698,0.322658198315163,0.439605952628233
2020-05-08,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.476415094339623,0.409184573479304,0.543645615199941
2020-05-09,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.628930817610063,0.55384145629842,0.704020178921706
2020-05-10,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.628930817610063,0.55384145629842,0.704020178921706
2020-05-11,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132
2020-05-12,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132
2020-05-13,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132
2020-05-14,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-15,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-16,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-17,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-18,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-19,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-20,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-21,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-22,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-23,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-24,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-25,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-26,"-99","Christmas Island","CX","CXR",0,0,0,0,0,0,0,0,0
2020-05-27,"-99","Christmas Island","CX","CXR",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
2020-05-28,"-99","Christmas Island","CX","CXR",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
2020-05-29,"-99","Christmas Island","CX","CXR",0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215
2020-05-30,"-99","Christmas Island","CX","CXR",0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215
2020-05-31,"-99","Christmas Island","CX","CXR",0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215
2020-06-01,"-99","Christmas Island","CX","CXR",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
2020-06-02,"-99","Christmas Island","CX","CXR",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.00471698113207547,0,0.0139402639808974
