"date","region","country","ISO2","ISO3","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_7days","p_cli_local_7days_low","p_cli_local_7days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,"-99","Pitcairn","PN","PCN",0.0188679245283019,0,0.0554978435392005,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.00628930817610063,0,0.0185773009704059,0.00269541778975741,0,0.00797121493606835
2020-06-04,"-99","Pitcairn","PN","PCN",0,0,0,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.00628930817610063,0,0.0185773009704059,0.00235849056603774,0,0.00697559278741737
2020-06-05,"-99","Pitcairn","PN","PCN",0,0,0,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.00471698113207547,0,0.0139402639808974,0.00209643605870021,0,0.00620106590578278
2020-06-06,"-99","Pitcairn","PN","PCN",0,0,0,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.00377358490566038,0,0.0111557073357215,0.00188679245283019,0,0.00558134733756389
2020-06-07,"-99","Pitcairn","PN","PCN",NA,NA,NA,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.00471698113207547,0,0.0139402639808974,0.00188679245283019,0,0.00558134733756389
2020-06-08,"-99","Pitcairn","PN","PCN",0.0188679245283019,0,0.0554978435392005,0.0909090909090909,0,0.260795666866152,0.0909090909090909,0,0.260795666866152,0.181818181818182,0,0.409744941200983,0.00754716981132075,0,0.0179672761780292,0.00343053173241852,0,0.00817675673606153
2020-06-09,"-99","Pitcairn","PN","PCN",0,0,0,0.0909090909090909,0,0.260795666866152,0.0909090909090909,0,0.260795666866152,0.181818181818182,0,0.409744941200983,0.00628930817610063,0,0.0149782312081253,0.00343053173241852,0,0.00817675673606153
2020-06-10,"-99","Pitcairn","PN","PCN",0,0,0,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.333333333333333,0.0253547057000716,0.641311960966595,0.00314465408805031,0,0.00929836431956434,0.00419287211740042,0,0.00999159460646785
2020-06-11,"-99","Pitcairn","PN","PCN",NA,NA,NA,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.375,0.0395260980530331,0.710473901946967,0.00377358490566038,0,0.0111557073357215,0.00471698113207547,0,0.011238826979279
2020-06-12,"-99","Pitcairn","PN","PCN",0,0,0,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.333333333333333,0.0253547057000716,0.641311960966595,0.00377358490566038,0,0.0111557073357215,0.00419287211740042,0,0.00999159460646785
2020-06-13,"-99","Pitcairn","PN","PCN",0,0,0,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.3,0.0159742349106747,0.584025765089325,0.00377358490566038,0,0.0111557073357215,0.00377358490566038,0,0.00899353373550594
2020-06-14,"-99","Pitcairn","PN","PCN",NA,NA,NA,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.333333333333333,0.0253547057000716,0.641311960966595,0.00377358490566038,0,0.0111557073357215,0.00419287211740042,0,0.00999159460646785
2020-06-15,"-99","Pitcairn","PN","PCN",NA,NA,NA,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.333333333333333,0.0253547057000716,0.641311960966595,0,0,0,0.00419287211740042,0,0.00999159460646785
2020-06-16,"-99","Pitcairn","PN","PCN",0,0,0,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.3,0.0159742349106747,0.584025765089325,0,0,0,0.00377358490566038,0,0.00899353373550594
2020-06-17,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0.222222222222222,0,0.493833841502414,0,0,0,0.00209643605870021,0,0.00620106590578278
2020-06-18,"-99","Pitcairn","PN","PCN",0.0188679245283019,0,0.0554978435392005,0,0,0,0,0,0,0.222222222222222,0,0.493833841502414,0.00471698113207547,0,0.0139402639808974,0.00419287211740042,0,0.00999159460646785
2020-06-19,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0.25,0,0.550056979772207,0.00628930817610063,0,0.0185773009704059,0.00471698113207547,0,0.011238826979279
2020-06-20,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0.285714285714286,0,0.620372146798186,0.00943396226415094,0,0.0278367638059564,0.00539083557951483,0,0.0128418500615798
2020-06-21,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0.285714285714286,0,0.620372146798186,0.00943396226415094,0,0.0278367638059564,0.00539083557951483,0,0.0128418500615798
2020-06-22,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00628930817610063,0,0.0185773009704059,0.00269541778975741,0,0.00797121493606835
2020-06-23,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00628930817610063,0,0.0185773009704059,0.00269541778975741,0,0.00797121493606835
2020-06-24,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0.0185773009704059,0.00314465408805031,0,0.00929836431956434
2020-06-25,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0.00929836431956434
2020-06-26,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0.00929836431956434
2020-06-27,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00377358490566038,0,0.0111557073357215
2020-06-28,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00377358490566038,0,0.0111557073357215
2020-06-29,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00377358490566038,0,0.0111557073357215
2020-06-30,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0.0139402639808974
2020-07-01,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377358490566038,0,0.0111557073357215
2020-07-02,"-99","Pitcairn","PN","PCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,"-99","Pitcairn","PN","PCN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
