"date","region","country","ISO2","ISO3","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Brunei","BN","BRN",14,14,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.00673854447439353,0.000851992550256881,0.0126250963985302
2020-05-06,"Belait","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Brunei and Muara","Brunei","BN","BRN",7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00269541778975741,0,0.00797121493606835
2020-05-06,"Tutong","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"-99","Brunei","BN","BRN",14,14,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.00673854447439353,0.000851992550256881,0.0126250963985302
2020-05-07,"Belait","Brunei","BN","BRN",3,3,0,0,0,0,0,0,0,0,0,0.0125786163522013,0,0.0299013819415159
2020-05-07,"Brunei and Muara","Brunei","BN","BRN",7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00269541778975741,0,0.00797121493606835
2020-05-07,"Tutong","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"-99","Brunei","BN","BRN",14,14,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.00673854447439353,0.000851992550256881,0.0126250963985302
2020-05-08,"Belait","Brunei","BN","BRN",4,4,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0.0224467080271918
2020-05-08,"Brunei and Muara","Brunei","BN","BRN",7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00269541778975741,0,0.00797121493606835
2020-05-08,"Tutong","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"-99","Brunei","BN","BRN",14,14,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.00673854447439353,0.000851992550256881,0.0126250963985302
2020-05-09,"Belait","Brunei","BN","BRN",5,5,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638
2020-05-09,"Brunei and Muara","Brunei","BN","BRN",9,9,0.111111111111111,0,0.316430196199952,0,0,0,0.222222222222222,0,0.493833841502414,0.00419287211740042,0,0.00999159460646785
2020-05-09,"Tutong","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"-99","Brunei","BN","BRN",12,12,0.0833333333333333,0,0.239710220752064,0.0833333333333333,0,0.239710220752064,0.0833333333333333,0,0.239710220752064,0.00628930817610063,0.000145311778947996,0.0124333045732533
2020-05-10,"Belait","Brunei","BN","BRN",5,5,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638
2020-05-10,"Brunei and Muara","Brunei","BN","BRN",9,9,0.111111111111111,0,0.316430196199952,0,0,0,0.222222222222222,0,0.493833841502414,0.00419287211740042,0,0.00999159460646785
2020-05-10,"Tutong","Brunei","BN","BRN",2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"-99","Brunei","BN","BRN",7,7,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798
2020-05-11,"Belait","Brunei","BN","BRN",5,5,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638
