"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-06,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-07,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-07,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-08,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-08,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-09,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-09,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-10,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-10,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-11,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-11,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-12,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-12,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-13,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-13,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-14,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-14,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-15,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-15,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-16,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-16,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-17,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-17,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-18,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-18,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-19,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-19,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-19,"Rennell and Bellona","Solomon Islands","SB","SLB",0,0,0,0,0,0,0.0188679245283019,0,0.0554978435392005
2020-05-20,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-20,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-20,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-21,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-21,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-21,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-22,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-22,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-22,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-23,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-23,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-23,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-24,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-24,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-24,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-25,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-25,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-25,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-26,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-26,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-26,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-27,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-27,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-27,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-27,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-28,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-28,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-28,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-28,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-29,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-29,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-29,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-29,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0.5,0,1,0,0,0
2020-05-30,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-30,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-30,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-30,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0.5,0,1,0,0,0
2020-05-31,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-31,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-31,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-05-31,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0.5,0,1,0,0,0
2020-06-01,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-06-01,"Central","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-06-01,"Choiseul","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-06-01,"Makira Ulawa","Solomon Islands","SB","SLB",0,0,0,0.5,0,1,0,0,0
2020-06-01,"Malaita","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
2020-06-02,"-99","Solomon Islands","SB","SLB",0,0,0,0,0,0,0,0,0
