"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESAL",716820,0,0,0,0,0,0,20,1,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESGR",914678,0.025,0.025,0,0,0,0,40,2,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESH",521870,0.00819672131147541,0.0166666666666667,0,0,0,0,122,3,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESCA",1240155,0,0,0,0,0,0,20,1,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESMA",1661785,0.0773809523809524,0.0546666666666667,0.00595238095238095,0.004,0.00595238095238095,0.004,168,5,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAN","ESSE",1942389,0.0169491525423729,0.0108333333333333,0,0,0,0,295,3,8414240,0.0204275534441805,0.0277845117845118,0.0014756517461879,0.00119341563786008,0.000983767830791933,0.00115974560419005,2105,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,665,665,0.020906160250992,0.0252071339329689,0.00140361186613859,0.00109656363022127,0.0010298156055218,0.00107097683568141
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.04649721016739,0.0841812535290796,0.0018598884066956,0.000869565217391304,0.00433973961562306,0.00605072463768116,1613,23,0.0278560298856049,0.0210674722148397,0,0,0,0,105,105,0.0453579063666988,0.0803238920401418,0.00174621653084983,0.000816419496887179,0.00407450523864959,0.00568091899917329
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.04649721016739,0.0841812535290796,0.0018598884066956,0.000869565217391304,0.00433973961562306,0.00605072463768116,1613,23,0.0278560298856049,0.0210674722148397,0,0,0,0,105,105,0.0453579063666988,0.0803238920401418,0.00174621653084983,0.000816419496887179,0.00407450523864959,0.00568091899917329
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAR","ESZ",964693,0.0380952380952381,0.0288113695090439,0,0,0,0,105,3,1319291,0.04649721016739,0.0841812535290796,0.0018598884066956,0.000869565217391304,0.00433973961562306,0.00605072463768116,1613,23,0.0278560298856049,0.0210674722148397,0,0,0,0,105,105,0.0453579063666988,0.0803238920401418,0.00174621653084983,0.000816419496887179,0.00407450523864959,0.00568091899917329
"ES",2020-08-18,47026208,0.0801576872536137,0,0.00788436268068331,761,15,0.041406688133424,17475,0.00225852930593536,0.00860786728659798,17475,0.0430237922313876,0.00216427942647622,0.00216427942647622,"ESAS","ESO",1022800,0.0262430939226519,0.0372777777777778,0.000505816894284269,0.000384615384615385,0.00319659030367608,0.00406666666666667,2172,30,1022800,0,0,0,0,0,0,0,0,0.0262430939226519,0.0372777777777778,0.000505816894284269,0.000384615384615385,0.00319659030367608,0.00406666666666667,2172,2172,0.0262430939226519,0.0372777777777778,0.000505816894284269,0.000384615384615385,0.00319659030367608,0.00406666666666667
