ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C0a_7.NA,I6_1.NA,I6_2.NA,I6_3.NA,I6_4.NA,I6_5.NA,I6_6.NA,I6_7.NA,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,first_date,day_count,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
JP,JPN,Japan,2021-01-01,102706935.053886,7834,20711.51,552,15147,115182,18519,35,35,40,43,9538,3153,0,0,0,0,0,0,43,384042.589412341,0,0,0,0,30,265874.530321607,563,9164,127615.284641388,184,0,0,0,0,17,0,0,0,0,13,0,0,0,0,32,6,7,2,8,8,3,5,2,1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4,14,19,8,11,6,3,28,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1083,7678,777,5659,3116,763,3392,5359,787,2967,5802,769,363,8402,773,1481,7282,775,9538,9538,9538,9538,9538,9538,9538,9538,9538,95,147,936,1604,5599,1157,98,313,894,360,88,340,1302,667,381,641,101,315,515,913,9,2601,92,137,847,1676,5650,1136,122,877,3408,3939,1192,599,1775,3194,2789,1181,2021-01-01,9538,1,,,0.00366953239672887,0.00121346289379986,0.00366953239672887,0.00121346289379986,0.00419375131054728,0.00129690508228321,0.00450828265883833,0.0013444474327946,0.00450828265883833,0.0013444474327946,0.00373920796303435,1.18038732060945e-05,0.00314531348291046,0.00112374384950973,0.00258867164307955,9.82706520688163e-06,0.00441169724756786,0.000363613071840219
JP,JPN,Japan,2021-01-02,103898226.945989,8395,23398.8505,457.5,16521,123311.64,19292,37,33,32,40,10261,3427,0,0,0,0,0,0,44,482006.794443711,0,0,0,0,25,233384.009472785,469.5,9876,137530.396237271,185,0,0,0,0,16,0,0,0,0,9,0,0,0,0,33,2,6,0,3,6,4,1,2,1,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,17,2,14,19,14,9,7,3,22,16,12,0,0,0,0,0,0,0,0,0,0,0,0,1053,8563,645,6252,3371,638,4068,5526,667,3293,6326,642,343,9273,645,1570,8048,643,10261,10261,10261,10261,10261,10261,10261,10261,10261,136,159,1063,1816,5967,1120,101,332,920,380,93,324,1424,708,441,635,103,381,632,949,3,2835,107,178,976,1815,6092,1093,176,1200,3968,3751,1166,718,2037,3510,2836,1160,2021-01-02,10261,1,,,0.00360588636585128,0.0011597779352449,0.00321606081278628,0.00109550884719858,0.00311860442452003,0.00107883527450234,0.00389825553065003,0.0012057027443067,0.00428808108371504,0.00126430424040216,0.00463922059703946,1.30664255080231e-05,0.00243640970665627,0.000953890893095947,0.00224627518999058,9.10305531956807e-06,0.0034137907898557,0.000308265293385258
JP,JPN,Japan,2021-01-03,103393747.948518,8195,24819.7,410,15805,119669.16,18752,46,37,46,48,10071,3454,0,0,0,0,0,0,46,544238.900021009,0,0,0,0,32,348348.739214286,424,9677,134759.178249096,160,0,0,0,0,13,0,0,0,0,9,0,0,0,0,43,4,9,6,6,6,7,7,4,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,11,31,8,26,24,20,27,13,6,31,16,14,0,0,0,0,0,0,0,0,0,0,0,0,1258,8152,661,6566,2863,642,4328,5091,652,3109,6311,651,380,9038,653,1869,7551,651,10071,10071,10071,10071,10071,10071,10071,10071,10071,114,160,1080,1707,5922,1088,108,350,936,306,98,385,1332,723,391,566,89,364,569,933,8,2913,106,181,980,1727,6016,1061,190,1132,3912,3728,1109,746,2091,3411,2719,1104,2021-01-03,10071,1,,,0.00456757025121636,0.00131692276010925,0.00367391520206534,0.0011816180253959,0.00456757025121636,0.00131692276010925,0.00476616026213881,0.00134511272414505,0.00456757025121636,0.00131692276010925,0.00526375057311974,1.39476992701398e-05,0.00317744017475921,0.00109915619842164,0.00336914703380069,1.11693550863124e-05,0.00314635340990472,0.000299011826765557
JP,JPN,Japan,2021-01-04,100978715.647022,8026,24117.48,516.2,14814.2,117473.2,18236,54,43,48,47,9927,3372,0,0,0,0,0,0,51,480319.597010944,0,0,0,0,38,347887.019166713,527.2,9551,133004.537713869,185,0,0,0,0,19,0,0,0,0,16,0,0,0,0,52,6,9,2,7,9,8,3,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,30,5,25,28,28,18,10,2,38,18,18,0,0,0,0,0,0,0,0,0,0,0,0,2057,7211,659,6697,2582,648,4214,5047,666,3418,5858,651,354,8911,662,2278,6993,656,9927,9927,9927,9927,9927,9927,9927,9927,9927,109,154,1099,1734,5749,1082,114,339,928,315,86,312,1388,737,382,567,113,300,549,868,6,2923,93,187,981,1770,5829,1067,180,1179,3903,3533,1132,770,2048,3423,2564,1122,2021-01-04,9927,1,,,0.00543970988213962,0.00144691329311255,0.00433162083207414,0.00129187845174427,0.004835297673013,0.00136457738537229,0.00473456230482522,0.00135035656279088,0.00513750377757631,0.00140636058701137,0.00475664197086777,1.34198618638959e-05,0.00382794399113529,0.00121475597795835,0.00344515195046427,1.14284666052544e-05,0.00396377453778425,0.000337681214162826
JP,JPN,Japan,2021-01-05,100333370.482725,8237,25944,699,15332.9,121136.4,18344,46,46,41,47,10088,3485,0,0,11,2279,0,0,47,559157.581604528,0,11,0,0,27,242431.292084453,709,9713,135260.504116303,196,1,0,0,0,15,0,7,0,0,11,0,8,0,0,43,2,8,0,4,6,1,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,5,22,23,18,9,6,6,31,14,9,0,0,0,0,0,0,0,0,0,0,0,0,2791,6664,633,6925,2541,622,4147,5302,639,3822,5642,624,346,9109,633,2570,6893,625,10088,10088,10088,10088,10088,10088,10088,10088,10088,138,171,1113,1830,5697,1139,98,368,940,337,115,385,1420,777,403,598,88,332,543,850,5,2829,126,181,1016,1840,5812,1113,186,1258,4067,3399,1178,823,2155,3442,2497,1171,2021-01-05,10088,1,,,0.00455987311657415,0.00131470860365553,0.00455987311657415,0.00131470860365553,0.00406423473433783,0.00124151110957666,0.00465900079302141,0.00132885591287032,0.00465900079302141,0.00132885591287032,0.0055729970887483,1.4566534864274e-05,0.00267644726407613,0.00100819128095849,0.00241625783045129,9.60664425963024e-06,0.00524173708084342,0.000384821195578701
JP,JPN,Japan,2021-01-06,100583334.801116,8343,26096.24,684.3,15493,121208.28,18456,42,35,45,49,10114,3417,0,0,33,9557,0,0,44,444412.417965572,1,37,0,0,30,303104.204943225,692.3,9730,135497.241331373,182,1,0,0,0,13,0,12,0,0,8,1,31,0,0,38,6,4,1,4,5,5,4,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,16,18,8,22,21,15,12,11,4,26,19,11,1,1,0,1,1,1,1,0,0,0,1,1,2961,6472,681,6725,2718,671,3867,5544,703,3820,5616,678,321,9114,679,2571,6870,673,10114,10114,10114,10114,10114,10114,10114,10114,10114,130,166,1211,1804,5624,1179,123,384,995,329,96,318,1457,782,450,578,105,348,533,807,3,2806,109,210,1046,1906,5692,1151,192,1238,4066,3421,1197,782,2235,3393,2515,1189,2021-01-06,10114,1,,,0.00415265967965197,0.00125327440628315,0.00346054973304331,0.0011444752674767,0.00444927822819854,0.00129706904357282,0.00484476962626063,0.00135322058845729,0.00435040537868301,0.00128263988491919,0.0044183504041133,1.29614501848474e-05,0.00296618548546569,0.00105984099202291,0.00301346346830273,1.07118057400455e-05,0.0051093291139921,0.00037962297021855
JP,JPN,Japan,2021-01-07,102265850.410009,8295,26483.41,718,14938,120788.18,18553,51,45,48,56,10238,3623,0,0,40,9636,0,0,49,635202.388525773,0,45,0,0,23,242168.960150353,729,9813,136653.075969657,193,2,0,0,0,20,0,20,0,0,16,0,45,0,0,48,9,11,1,10,8,9,5,2,1,9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,17,26,6,28,25,18,12,9,4,35,24,16,0,0,0,0,0,0,0,0,0,0,0,0,3146,6339,753,6641,2860,737,3543,5928,767,3724,5771,743,310,9180,748,2472,7020,746,10238,10238,10238,10238,10238,10238,10238,10238,10238,142,179,1234,1921,5479,1283,116,359,971,328,107,308,1510,785,383,605,86,356,579,911,8,2826,109,189,1099,1940,5650,1251,168,1161,4105,3484,1320,833,2174,3406,2513,1312,2021-01-07,10238,1,,,0.00498144168782965,0.00136374648533007,0.00439538972455558,0.00128139395890694,0.00468841570619262,0.00132322322179455,0.00546981832389139,0.00142868328288556,0.00478609103340496,0.00133687014378725,0.00621128544845703,1.52272174059673e-05,0.00224653252588396,0.000917082712188222,0.00236803350462972,9.42023796372438e-06,0.0053346768437314,0.000386216596277863
JP,JPN,Japan,2021-01-08,100214719.42388,8413,27318.87,727,15314,123323.32,18721,52,46,55,56,10230,3498,0,0,42,9623,0,0,44,440804.101756044,0,36,0,0,26,247320.110267118,736,9815,136680.927406725,206,0,0,0,0,17,0,16,0,0,16,1,38,0,0,51,3,9,3,9,7,7,7,4,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,11,23,8,22,28,24,19,10,8,38,11,15,0,0,0,0,0,1,0,1,0,1,0,1,3368,6144,718,6626,2896,708,3522,5962,746,3928,5581,721,303,9198,729,2581,6928,721,10230,10230,10230,10230,10230,10230,10230,10230,10230,125,171,1229,1915,5563,1227,119,360,950,403,95,326,1450,749,428,619,122,400,612,928,3,2666,108,189,1082,1920,5729,1202,158,1026,4115,3662,1269,781,2053,3467,2672,1257,2021-01-08,10230,1,,,0.0050830889540567,0.00137805812344158,0.00449657869012708,0.00129650068814238,0.00537634408602151,0.0014170435386537,0.00547409579667644,0.00142979745797639,0.0043010752688172,0.00126812719067011,0.00439859637676146,1.29563341384375e-05,0.00254154447702835,0.000975678060570982,0.00246790203763406,9.71426018531946e-06,0.00538480396617348,0.000387977576947322
JP,JPN,Japan,2021-01-09,103136582.860881,9154,26793.165,682,17293,133072.62,20533,56,51,59,55,11111,3865,0,0,33,10464,0,0,45,360372.566337203,0,41,0,0,27,241659.63626314,698,10656,148392.456693434,237,6,0,0,0,19,0,18,0,0,15,0,44,0,0,53,5,5,1,9,10,9,6,1,2,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,15,16,3,27,32,27,20,7,5,40,17,16,0,0,0,0,0,0,0,0,0,0,0,0,2879,7463,769,7554,2793,764,4139,6179,793,3651,6689,771,394,9933,784,2394,7940,777,11111,11111,11111,11111,11111,11111,11111,11111,11111,131,245,1330,2022,6063,1320,105,364,1038,409,95,379,1569,821,468,641,124,423,671,1071,7,2926,123,247,1211,2018,6211,1301,183,1157,4339,4059,1373,825,2317,3731,2880,1358,2021-01-09,11111,1,,,0.00504005040050401,0.00131671491971525,0.004590045900459,0.0012568429724687,0.00531005310053101,0.00135134056441555,0.004950049500495,0.00130496459620917,0.004050040500405,0.00118091859038681,0.00349412939949059,1.1388096664603e-05,0.002430024300243,0.000915479260778262,0.00234310299565683,9.33099627805423e-06,0.00470374313865567,0.00034812896819864
JP,JPN,Japan,2021-01-10,101737726.451219,9321,28804.62,731,17125,135962,20924,48,38,43,42,11226,3881,0,0,46,10599,0,0,41,269426.886772833,0,39,0,0,24,144347.844169247,741,10788,150230.651539862,231,2,0,0,0,20,1,19,0,0,10,2,38,0,0,40,6,7,2,5,6,5,6,2,0,4,3,3,0,1,1,0,0,0,0,0,0,0,0,0,9,22,5,18,21,15,13,8,1,34,12,12,0,1,1,0,1,0,0,0,0,1,1,1,2240,8221,765,7792,2681,753,4583,5880,763,3411,7057,758,444,10021,761,2165,8305,756,11226,11226,11226,11226,11226,11226,11226,11226,11226,141,217,1372,2068,6180,1248,114,343,1082,410,103,404,1479,883,470,744,116,395,720,1113,11,2839,118,241,1169,2112,6349,1237,180,1216,4408,4102,1320,856,2331,3802,2927,1310,2021-01-10,11226,1,,,0.00427578834847675,0.00120701649596594,0.00338499910921076,0.00107443107678728,0.00383039372884376,0.00114267815379392,0.00374131480491716,0.00112936352852428,0.00365223588099056,0.00111588761321341,0.00264824953506326,9.9864402155197e-06,0.00213789417423838,0.000854405310883962,0.00141882317606595,7.31413381385017e-06,0.00493241553840552,0.000354262296535625
