ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AF,AFG,Afghanistan,-99,2020-12-24,2020-12-21,100,8,369759.03742372344,4,263600.8423843381,136,70,4325830.726648548,27,26,13,61,25,14,61,27,12,61,21,19,60,25,16,59,27,14,59,27,10,63,24,14,62,26,10,64,26,8,66,25,15,60,26,24,50,32,9,59,30,14,56,87,3,8,2,86,4,6,4,88,3,7,2,81,4,9,6,84,7,4,5,86,4,5,5,90,3,5,2,86,6,6,2,90,6,4,0,92,4,4,0,85,4,8,3,76,6,12,6,91,1,4,4,86,3,7,4,29,1,19,51,85,0,7,8,34,3,17,46,83,1,4,12,96,0,1,3,0,96,0,1,3,0,99,0,1,0,0,44,2,7,47,100,39,0,30,15,7,9,43,7,29,11,10,43,17,21,10,9,43,18,23,10,6,43,21,21,7,8,43,22,8,10,17,94,2,2,2,94,2,3,1,94,4,1,1,94,1,2,3,94,2,2,2,94,2,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,44,9,32,15,44,10,30,16,44,17,11,28,44,14,16,26,44,13,21,22,44,13,15,28,48,1,25,26,75,1,9,3,5,7,49,0,4,13,19,15,49,2,48,1,51,1,11,37,51,0,25,10,2,3,7,2,51,2,23,10,3,11,52,2,9,15,11,11,52,0,10,36,2,54,1,10,30,5,68,4,21,7,70,2,20,8,89,0,8,3,84,1,11,4,79,0,12,9,85,0,11,4,55,1,1,4,6,10,23,55,1,1,6,9,10,18,58,1,10,10,9,12,58,0,5,9,8,20,58,0,12,5,10,15,84,0,14,2,84,3,7,6,84,4,6,6,60,0,26,14,86,0,2,12,98,1,0,0,0,0,0,0,1,74,0,6,1,2,1,0,0,0,1,0,1,1,3,0,3,7,69,0,25,6,0,0,69,0,3,16,2,1,5,4,0,73,2,14,3,8,73,1,9,6,8,2,1,5.8,6.485611605294974,15.625,34.221703639649505,11.615384615384615,4.418840780810489,4.095238095238095,2.6815063286287786
AF,AFG,Afghanistan,Kabul,2020-12-24,2020-12-21,100,5,458022.37293915614,2,91310.01511635291,91,93,6026220.834182841,64,6,13,81,3,14,83,5,5,90,5,20,75,4,18,78,6,10,84,6,11,83,3,8,89,4,7,89,4,7,89,5,12,83,4,19,77,6,6,88,3,18,79,87,1,6,6,86,2,7,5,95,0,3,2,80,1,10,9,82,1,10,7,90,0,5,5,89,1,3,7,92,0,6,2,93,1,3,3,93,1,3,3,88,1,8,3,81,1,11,7,94,0,3,3,82,3,9,6,7,0,40,53,64,0,24,12,11,0,26,63,74,0,8,18,92,0,2,6,0,92,0,6,2,0,94,0,3,2,1,19,0,6,75,100,11,0,49,19,11,10,17,3,56,10,14,17,7,42,15,19,17,5,62,6,10,17,7,36,17,23,17,6,8,15,54,94,2,3,1,94,1,1,4,94,2,3,1,94,1,2,3,94,1,2,3,94,2,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,5,54,21,20,4,52,24,20,4,36,40,20,7,47,26,20,6,40,34,20,3,37,40,24,1,54,21,46,0,19,16,10,9,24,1,3,16,32,24,24,2,71,3,26,2,12,60,26,1,16,19,15,9,12,2,26,1,19,16,19,19,26,1,10,24,27,12,27,1,4,59,9,31,2,9,49,9,48,2,30,20,50,2,25,23,66,2,13,19,54,0,21,25,61,1,17,21,64,1,23,12,31,1,2,6,13,14,33,31,1,4,7,10,17,30,34,1,27,14,14,10,34,1,8,19,12,26,34,1,25,13,10,17,62,2,32,4,62,6,25,7,62,8,21,9,34,1,35,30,70,0,17,13,84,1,3,1,1,1,3,0,6,49,0,1,5,5,3,0,2,6,1,0,4,4,9,1,0,10,35,1,60,3,0,1,35,1,14,29,13,3,2,3,0,35,2,47,9,7,35,1,16,19,12,11,6,5.8,6.2289646009589745,2.8518518518518516,2.2820992984480775,15.073770491803279,3.836052729883687,3.3965517241379315,2.215888837325316
AF,AFG,Afghanistan,-99,2020-12-25,2020-12-23,100,10,363796.7991241555,5,202678.927740416,146,71,4113415.7422714103,25,23,15,62,26,12,62,28,10,62,19,21,60,23,14,63,25,17,58,21,17,62,20,20,60,24,12,64,24,13,63,27,16,57,27,20,53,30,11,59,27,17,56,85,3,9,3,88,3,5,4,90,3,5,2,79,5,11,5,86,6,4,4,83,6,6,5,83,5,9,3,80,7,10,3,88,8,3,1,87,4,7,2,84,5,6,5,80,6,9,5,89,3,3,5,83,4,6,7,26,3,19,52,86,1,8,5,35,5,13,47,88,2,2,8,98,0,1,1,0,98,1,0,1,0,100,0,0,0,0,46,1,5,48,100,43,0,27,15,6,9,45,8,23,9,15,45,14,22,7,12,45,16,24,8,7,45,18,20,7,10,45,18,7,10,20,96,2,2,0,96,2,2,0,96,3,1,0,96,1,2,1,96,2,1,1,96,2,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,8,26,20,46,7,26,21,46,12,13,29,46,10,17,27,46,10,18,26,46,8,16,30,48,3,23,26,77,2,7,6,0,8,50,1,5,13,15,16,50,3,45,2,53,2,7,38,53,2,22,8,2,3,7,3,53,3,21,9,5,9,54,3,11,13,11,8,54,2,7,33,4,56,4,7,28,5,74,3,18,5,74,2,18,6,87,1,11,1,83,0,10,7,82,1,12,5,84,1,12,3,58,2,1,4,4,11,20,58,2,0,5,10,9,16,64,2,8,9,7,10,64,2,3,7,8,16,64,0,15,4,11,6,82,0,16,2,82,5,9,4,82,5,8,5,66,0,21,13,87,0,1,12,99,0,0,0,0,0,0,1,0,80,0,5,2,2,2,0,0,0,1,0,0,1,2,0,3,2,72,0,19,9,0,0,72,0,4,9,6,1,6,2,0,75,2,14,3,6,75,1,7,8,5,2,2,6.280000000000001,7.254423937616733,26.400000000000002,41.5066259770654,12.666666666666664,4.517277620586239,3.684210526315789,2.4956101809855236
AF,AFG,Afghanistan,Badakhshan,2020-12-25,2020-12-21,100,11,616385.142220469,6,300843.7896055984,35,67,4321978.86493025,30,28,17,55,22,24,54,31,13,56,23,20,57,29,22,49,31,13,56,26,18,56,27,20,53,28,18,54,33,13,54,31,13,56,27,16,57,31,15,54,30,16,54,83,7,7,3,76,4,14,6,87,4,7,2,80,4,11,5,78,3,13,6,87,4,7,2,82,4,10,4,80,3,10,7,82,8,8,2,87,5,5,3,87,2,8,3,84,5,9,2,85,5,8,2,84,3,11,2,32,1,17,50,85,1,9,5,35,3,15,47,86,2,7,5,93,0,3,4,0,93,0,4,3,0,96,0,3,1,0,48,3,3,46,100,39,2,23,12,9,15,48,8,21,12,11,48,11,19,13,9,48,11,26,8,7,48,13,23,9,7,48,12,17,7,16,97,0,2,1,97,0,3,0,97,0,2,1,97,0,2,1,97,0,2,1,97,0,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,7,18,29,46,9,22,23,46,7,15,32,46,10,15,29,46,10,11,33,46,10,10,34,46,3,20,31,80,2,12,4,1,1,49,4,6,11,19,11,49,5,42,4,53,2,9,36,53,3,21,5,5,3,3,7,53,2,18,12,8,7,53,1,13,16,8,9,54,3,6,30,7,59,2,6,25,8,82,2,13,3,78,1,19,2,85,1,12,2,85,2,10,3,89,1,8,2,90,1,8,1,59,2,2,4,3,9,21,59,2,2,2,5,12,18,62,2,10,7,9,10,62,1,6,5,14,12,62,1,15,10,2,10,76,0,21,3,76,6,13,5,76,6,15,3,64,3,15,18,82,0,7,11,93,1,2,0,0,2,0,0,2,78,0,2,2,2,2,0,0,0,2,0,2,0,1,0,3,6,65,2,21,9,1,2,65,1,11,11,8,1,1,1,1,70,0,10,8,12,70,1,12,7,7,1,2,4.416666666666667,6.282596158655562,4,1.7888543819998315,10.620689655172415,5.473401874412086,3.2799999999999994,2.894247167514666
AF,AFG,Afghanistan,Kabul,2020-12-25,2020-12-22,100,5,495322.57048962533,2,91310.01511635291,146,95,6329222.071060078,68,6,12,82,3,20,77,5,5,90,4,19,77,4,25,71,7,10,83,5,14,81,4,8,88,3,5,92,5,7,88,5,10,85,4,20,76,6,7,87,2,23,75,88,1,5,6,80,2,10,8,95,0,4,1,81,1,8,10,75,2,16,7,90,0,6,4,86,1,7,6,92,1,5,2,95,1,0,4,93,1,3,3,90,1,7,2,80,1,11,8,93,0,5,2,77,3,14,6,5,0,41,54,62,1,26,11,8,0,25,67,75,0,8,17,92,0,2,6,0,92,0,5,3,0,95,0,3,2,0,16,0,9,75,100,9,0,54,18,8,11,16,6,54,11,13,16,12,41,12,19,16,10,56,9,9,16,13,36,14,21,16,12,10,15,47,91,4,3,2,91,3,2,4,91,3,5,1,91,3,4,2,91,2,5,2,91,4,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,7,59,17,17,7,52,24,17,7,38,38,17,9,45,29,17,7,39,37,17,6,38,39,19,2,56,23,44,0,21,18,8,9,19,1,3,17,33,27,19,2,74,5,22,2,12,64,22,1,22,19,15,9,11,1,22,1,17,19,18,23,22,1,10,26,28,13,23,1,2,65,9,28,2,5,57,8,42,2,41,15,49,2,31,18,63,2,19,16,55,0,21,24,61,1,18,20,62,1,22,15,28,1,1,7,14,18,31,28,1,4,11,12,15,29,31,1,28,15,9,16,31,1,8,20,14,26,31,1,25,16,7,20,59,3,34,4,59,10,23,8,59,10,20,11,31,1,39,29,71,0,15,14,86,0,7,2,0,0,3,0,2,47,0,0,6,5,7,1,3,5,1,0,5,5,5,0,0,10,32,1,65,2,0,0,32,1,15,32,12,3,4,1,0,32,2,52,8,6,32,1,17,21,11,9,9,5.181818181818182,5.853428590375581,4.433333333333334,4.6954367674138275,15.123076923076923,3.693354218676484,3.467741935483871,2.3379810677793254
AF,AFG,Afghanistan,-99,2020-12-26,2020-12-24,100,14,905819.9149006262,6,325104.6462480858,77,73,4322742.35417152,28,18,18,64,24,12,64,23,15,62,21,25,54,20,24,56,25,19,56,19,20,61,19,19,62,21,11,68,22,14,64,25,20,55,24,23,53,28,11,61,26,12,62,82,5,10,3,88,4,4,4,85,5,7,3,75,7,12,6,76,7,13,4,81,5,10,4,80,7,10,3,81,6,11,2,89,7,2,2,86,3,9,2,80,7,6,7,77,5,10,8,89,4,3,4,88,3,5,4,24,3,17,56,85,1,9,5,31,6,20,43,81,3,4,12,96,0,2,2,0,96,2,0,2,0,100,0,0,0,0,45,2,5,48,100,37,1,23,14,10,15,43,7,24,9,17,43,19,18,9,11,43,19,23,7,8,43,18,18,10,11,43,20,8,10,19,97,1,2,0,97,3,0,0,97,3,0,0,97,3,0,0,97,2,1,0,97,3,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,44,4,26,26,44,10,22,24,44,12,15,29,44,11,21,24,44,11,12,33,44,9,14,33,45,2,23,30,77,2,6,6,2,7,48,1,8,11,13,19,48,4,45,3,52,2,7,39,52,3,25,9,2,1,5,3,52,4,19,8,8,9,52,4,14,18,7,5,52,3,9,30,6,54,5,8,29,4,74,4,20,2,78,2,17,3,85,1,9,5,79,0,11,10,88,1,8,3,86,1,10,3,58,3,3,3,3,8,22,58,3,1,5,9,9,15,64,1,15,6,6,8,64,3,6,10,3,14,64,1,22,4,3,6,74,2,20,4,74,12,12,2,74,12,11,3,66,0,16,18,82,0,5,13,95,0,1,0,0,0,0,1,3,79,0,1,4,4,1,0,0,2,0,1,0,0,1,0,3,4,72,0,16,12,0,0,72,0,4,9,7,2,4,2,0,72,1,16,5,6,72,1,6,6,6,5,4,4.923076923076923,6.254106343343241,11,12.759310326189265,14.304347826086957,3.1970836513168983,2.9565217391304346,1.9182914005002476
AF,AFG,Afghanistan,Badakhshan,2020-12-26,2020-12-22,100,12,800288.453121363,5,274944.88398582337,39,70,4226885.300442815,27,27,17,56,26,21,53,30,15,55,24,25,51,27,25,48,26,19,55,29,18,53,29,20,51,27,18,55,32,12,56,27,18,55,26,16,58,33,11,56,31,16,53,83,9,6,2,79,5,9,7,85,6,7,2,75,7,12,6,75,7,10,8,81,8,8,3,82,5,9,4,80,4,10,6,82,10,5,3,88,6,3,3,82,6,9,3,84,6,9,1,89,5,6,0,84,5,10,1,28,2,16,54,87,1,10,2,32,2,17,49,85,3,5,7,95,0,2,3,0,95,0,4,1,0,96,0,3,1,0,45,3,6,46,100,38,1,21,14,8,18,48,7,20,14,11,48,13,15,16,8,48,14,19,11,8,48,15,19,11,7,48,15,12,10,15,94,0,3,3,94,0,4,2,94,0,4,2,94,0,3,3,94,0,4,2,94,0,4,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,51,6,16,27,51,6,22,21,51,8,15,26,51,8,20,21,51,10,13,26,51,8,14,27,51,2,25,22,75,3,15,3,1,3,54,3,5,9,20,9,54,4,38,4,58,2,7,33,58,2,19,4,4,3,4,6,58,2,13,12,8,7,58,1,12,15,8,6,58,2,8,26,6,62,2,8,22,6,84,2,10,4,78,1,18,3,85,1,11,3,80,2,12,6,87,1,8,4,86,2,9,3,62,2,0,4,4,8,20,62,3,2,1,8,7,17,65,2,10,8,7,8,65,1,6,5,11,12,65,1,15,8,4,7,78,2,17,3,78,7,10,5,78,5,13,4,68,2,12,18,82,0,9,9,91,1,2,1,0,2,0,0,3,79,0,1,2,1,2,0,0,0,3,0,2,0,1,0,2,7,71,1,16,9,1,2,71,1,9,11,5,2,0,0,1,73,1,9,7,10,73,2,10,5,7,0,3,6.64,8.410707461325712,6.75,8.845903006477066,10.125,6.023955799826296,3.2857142857142856,3.132776039599019
AF,AFG,Afghanistan,Kabul,2020-12-26,2020-12-24,100,2,153500.57628361142,0,0,125,93,6261478.037875757,66,6,11,83,4,16,80,6,4,90,4,15,81,4,27,69,8,9,83,3,13,84,6,6,88,5,4,91,6,3,91,7,10,83,5,14,81,7,7,86,3,23,74,89,1,3,7,84,1,10,5,96,0,4,0,85,1,6,8,73,2,15,10,91,0,6,3,87,1,8,4,94,1,2,3,96,0,1,3,97,1,0,2,90,0,8,2,86,1,9,4,93,0,4,3,77,3,16,4,7,0,38,55,65,3,19,13,10,1,21,68,79,0,8,13,92,0,1,7,0,92,0,5,3,0,95,0,3,1,1,19,1,13,67,100,12,0,48,23,6,11,17,6,49,10,18,17,14,31,19,19,17,11,55,9,8,17,14,36,13,20,17,15,10,15,43,88,7,3,2,88,6,2,4,88,4,7,1,88,6,4,2,88,5,5,2,88,7,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,3,62,16,19,6,56,19,19,7,44,30,19,7,48,26,19,6,35,40,19,7,43,31,21,2,53,24,47,0,18,20,10,5,21,0,1,18,30,30,21,2,72,5,25,1,12,62,25,0,25,16,16,6,9,3,25,1,14,20,16,24,25,1,8,27,27,12,26,0,4,63,7,27,2,6,57,8,39,1,45,15,45,1,37,17,57,1,25,17,52,0,24,24,65,0,17,18,57,1,25,17,28,1,3,6,14,18,30,28,2,5,9,13,14,29,31,2,24,20,9,14,31,1,6,21,19,22,31,1,22,17,10,19,61,2,36,1,61,12,19,8,61,10,18,11,31,0,46,23,77,0,12,11,90,0,5,3,0,0,1,0,1,44,1,0,6,2,6,2,3,3,3,0,4,5,4,0,2,15,33,0,64,2,0,1,33,1,12,36,11,4,2,1,0,33,1,53,9,4,33,0,22,14,11,10,10,5.510204081632653,5.784758886431626,4.148148148148148,4.736955397588882,14.967741935483868,3.5940193579647977,3.612903225806451,2.485069110162634
AF,AFG,Afghanistan,-99,2020-12-27,2020-12-25,100,13,881876.0102810273,7,374354.2603865545,74,69,4388595.860981874,34,12,16,72,17,16,67,16,16,68,16,25,59,15,28,57,17,20,63,16,19,65,19,12,69,16,14,70,15,15,70,21,17,62,14,26,60,25,6,69,24,10,66,84,5,7,4,84,7,5,4,84,6,7,3,75,8,10,7,72,7,15,6,80,6,10,4,81,6,7,6,88,4,6,2,86,4,8,2,85,5,7,3,83,8,4,5,74,7,10,9,94,3,3,0,90,2,5,3,30,1,17,52,83,1,9,7,32,4,15,49,85,2,4,9,96,0,1,3,0,96,1,0,3,0,100,0,0,0,0,42,4,6,48,100,36,1,28,11,10,14,43,7,21,8,21,43,18,18,9,12,43,19,25,5,8,43,17,21,9,10,43,19,11,6,21,96,3,1,0,96,4,0,0,96,4,0,0,96,3,0,1,96,2,2,0,96,4,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,45,4,28,23,45,11,25,19,45,11,15,29,45,10,24,21,45,11,13,31,45,7,18,30,46,1,25,28,75,1,6,5,5,8,48,1,6,11,17,17,48,2,46,4,51,2,9,38,51,2,23,8,3,3,6,4,51,2,19,5,13,10,51,3,12,17,14,3,51,2,9,31,7,51,4,8,33,4,72,2,20,6,75,1,18,6,85,1,7,7,76,1,10,13,87,1,8,4,82,1,12,5,55,2,2,5,8,7,21,55,1,1,6,10,10,17,58,0,19,13,5,5,58,1,8,12,6,15,58,1,21,8,4,8,71,5,20,4,71,12,14,3,71,9,18,2,60,0,22,18,82,0,5,13,95,0,1,0,0,1,0,0,3,73,0,1,4,4,2,0,0,2,0,1,0,0,2,0,4,7,66,1,23,10,0,0,66,0,4,14,7,3,3,2,1,66,1,20,7,6,66,1,7,8,5,8,5,4.857142857142857,5.0426750270636544,8.125,11.357030547512975,14.586206896551722,3.5001759280204188,3.1935483870967745,2.212379636480588
AF,AFG,Afghanistan,Badakhshan,2020-12-27,2020-12-23,100,9,676853.2676507847,4,205303.83488303228,45,69,4413754.161048475,25,28,14,58,30,21,49,32,14,54,28,23,49,29,23,48,27,18,55,30,21,49,33,16,51,30,16,54,33,11,56,31,16,53,28,18,54,35,12,53,33,17,50,86,8,5,1,79,5,10,6,86,7,5,2,77,7,10,6,77,8,7,8,82,9,6,3,79,6,12,3,84,4,6,6,84,10,3,3,89,6,3,2,84,8,5,3,82,6,9,3,88,5,5,2,83,5,11,1,29,2,17,52,87,2,9,2,35,2,15,48,87,2,5,6,95,0,2,3,0,95,0,5,0,0,95,0,4,1,0,47,3,5,45,100,40,1,20,14,8,17,50,6,17,15,12,50,11,13,15,11,50,12,16,10,12,50,13,15,12,10,50,13,12,9,16,95,1,2,2,95,1,1,3,95,1,3,1,95,1,2,2,95,1,3,1,95,0,4,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,53,4,19,24,53,4,24,19,53,8,13,26,53,6,17,24,53,8,12,27,53,6,16,25,54,1,22,23,78,3,14,3,0,2,57,2,5,7,18,11,57,3,37,3,61,1,4,34,61,1,19,3,3,4,4,5,61,1,15,8,6,9,61,1,14,14,5,5,61,1,6,26,6,64,3,7,20,6,81,2,12,5,76,1,18,5,87,1,9,3,83,2,9,6,88,1,7,4,84,2,10,4,64,1,0,3,4,9,19,64,2,1,1,8,3,21,66,1,10,7,7,9,66,0,6,4,9,15,66,0,14,5,6,9,82,2,13,3,82,5,10,3,82,3,13,2,70,1,8,21,79,0,9,12,91,1,2,2,0,2,0,0,2,83,0,1,1,1,1,0,0,0,3,0,1,0,1,0,2,6,73,0,17,8,0,2,73,0,9,11,4,2,0,0,1,75,1,13,5,6,75,1,7,7,6,1,3,6.76,8.343060989029546,6.6000000000000005,7.6681158050723255,10.541666666666666,6.107580227216345,2.8,2.894641146743591
