ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V2..77,V2.1,V2.2,V2.3,V2a..99,V2a..77,V2a.1,V2a.2,V2a.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V4_6..99,V4_6..77,V4_6.1,V4_6.2,V4_6.3,V5a_1..99,V5a_1..77,V5a_1.0,V5a_1.1,V5a_2..99,V5a_2..77,V5a_2.0,V5a_2.1,V5a_3..99,V5a_3..77,V5a_3.0,V5a_3.1,V5a_4..99,V5a_4..77,V5a_4.0,V5a_4.1,V5a_5..99,V5a_5..77,V5a_5.0,V5a_5.1,V5a_6..99,V5a_6..77,V5a_6.0,V5a_6.1,V5a_7..99,V5a_7..77,V5a_7.0,V5a_7.1,V5a_8..99,V5a_8..77,V5a_8.0,V5a_8.1,V5a_9..99,V5a_9..77,V5a_9.0,V5a_9.1,V5a_10..99,V5b_1..99,V5b_1..77,V5b_1.0,V5b_1.1,V5b_2..99,V5b_2..77,V5b_2.0,V5b_2.1,V5b_3..99,V5b_3..77,V5b_3.0,V5b_3.1,V5b_4..99,V5b_4..77,V5b_4.0,V5b_4.1,V5b_5..99,V5b_5..77,V5b_5.0,V5b_5.1,V5b_6..99,V5b_6..77,V5b_6.0,V5b_6.1,V5b_7..99,V5b_7..77,V5b_7.0,V5b_7.1,V5b_8..99,V5b_8..77,V5b_8.0,V5b_8.1,V5b_9..99,V5b_9..77,V5b_9.0,V5b_9.1,V5b_10..99,V5c_1..99,V5c_1..77,V5c_1.0,V5c_1.1,V5c_2..99,V5c_2..77,V5c_2.0,V5c_2.1,V5c_3..99,V5c_3..77,V5c_3.0,V5c_3.1,V5c_4..99,V5c_4..77,V5c_4.0,V5c_4.1,V5c_5..99,V5c_5..77,V5c_5.0,V5c_5.1,V5c_6..99,V5c_6..77,V5c_6.0,V5c_6.1,V5c_7..99,V5c_7..77,V5c_7.0,V5c_7.1,V5c_8..99,V5c_8..77,V5c_8.0,V5c_8.1,V5c_9..99,V5c_9..77,V5c_9.0,V5c_9.1,V5c_10..99,V5d_1..99,V5d_1..77,V5d_1.0,V5d_2..99,V5d_2..77,V5d_2.0,V5d_3..99,V5d_3..77,V5d_3.0,V5d_4..99,V5d_4..77,V5d_4.0,V5d_4.1,V5d_5..99,V5d_5..77,V5d_5.0,V5d_6..99,V5d_6..77,V5d_6.0,V5d_6.1,V5d_7..99,V5d_7..77,V5d_7.0,V5d_8..99,V5d_8..77,V5d_8.0,V5d_9..99,V5d_9..77,V5d_9.0,V5d_9.1,V5d_10..99,V6_1..99,V6_1..77,V6_1.0,V6_1.1,V6_2..99,V6_2..77,V6_2.0,V6_2.1,V6_3..99,V6_3..77,V6_3.0,V6_3.1,V6_4..99,V6_4..77,V6_4.0,V6_4.1,V6_5..99,V6_5..77,V6_5.0,V6_5.1,V6_6..99,V6_6..77,V6_6.0,V6_6.1,V6_7..99,V6_7..77,V6_7.0,V6_7.1,V9..99,V9..77,V9.1,V9.2,V9.3,V9.4,V10_1..99,V10_1..77,V10_1.0,V10_1.1,V10_2..99,V10_2..77,V10_2.0,V10_2.1,V10_3..99,V10_3..77,V10_3.0,V10_3.1,V10_4..99,V10_4..77,V10_4.0,V10_4.1,V10_5..99,V10_5..77,V10_5.0,V10_5.1,V10_6..99,V10_6..77,V10_6.0,V10_6.1,V10_7..99,V10_7..77,V10_7.0,V10_7.1,V10_8..99,V10_8..77,V10_8.0,V10_8.1,V10_9..99,V10_9..77,V10_9.0,V10_9.1,V10_10..99,V10_10..77,V10_10.0,V10_10.1,V11..99,V11..77,V11.1,V11.2,V12..99,V12..77,V12.1,V12.2,V13..99,V15..99,V16..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1.1,B13_1.2,B13_2..99,B13_2.1,B13_2.2,B13_3..99,B13_3.2,B13_4..99,B13_4.1,B13_4.2,B13_5..99,B13_5.2,B13_6..99,B13_6.1,B13_6.2,B13_7..99,B13_7.1,B13_7.2,B14_1..99,B14_1.2,B14_2..99,B14_2.1,B14_2.2,B14_3..99,B14_3.1,B14_3.2,B14_4..99,B14_4.1,B14_4.2,B14_5..99,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9a..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.3,D9.4,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AS,ASM,American Samoa,Eastern,2021-02-28,2021-02-06,100,7,831582.8195386316,5,606040.1058480839,1024,84,9301677.079312434,40,17,10,73,20,14,66,20,7,73,15,20,65,18,13,69,18,16,66,14,19,67,20,14,66,15,12,73,20,8,72,16,17,67,16,18,66,19,11,70,20,19,61,90,2,7,1,86,1,11,2,93,2,5,0,80,3,11,6,87,3,7,3,84,0,8,8,81,3,12,4,86,2,9,3,88,4,7,1,92,1,7,0,83,3,9,5,82,2,8,8,89,1,8,2,81,2,13,4,13,3,18,66,85,6,9,17,4,25,54,76,0,13,11,87,1,3,8,1,87,6,7,0,94,1,4,1,0,35,3,9,53,21,4,7,55,13,93,1,3,2,1,95,1,2,2,0,31,1,24,23,12,9,38,15,17,13,17,70,38,16,24,10,12,38,14,19,19,10,38,15,15,13,19,38,11,31,11,9,91,0,7,2,91,0,9,0,91,0,8,1,91,0,5,4,91,0,8,1,91,0,9,0,91,0,9,0,91,0,7,2,91,0,8,1,0,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,0,77,1,15,7,77,1,16,6,77,1,19,3,77,1,22,0,77,1,16,6,77,1,13,9,77,1,18,4,77,1,20,2,77,1,18,4,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,92,1,7,0,92,1,4,3,92,1,1,6,92,1,3,4,92,1,6,1,92,1,6,1,92,1,6,1,34,2,25,14,8,17,39,1,53,7,39,1,60,0,39,1,59,1,39,1,59,1,39,1,58,2,39,1,58,2,39,1,58,2,39,1,58,2,39,1,57,3,39,1,13,47,85,0,1,14,59,1,9,31,0,0,0,92,3,3,2,92,3,3,2,92,4,1,3,92,3,4,1,92,3,1,4,92,3,2,3,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,41,8,18,33,41,9,30,20,41,11,12,36,41,11,17,31,41,11,8,40,41,9,16,34,41,0,22,37,78,0,17,4,1,0,42,3,4,12,14,25,42,1,54,3,44,2,12,42,44,0,31,11,5,4,2,3,44,2,30,9,8,7,44,3,25,12,10,6,70,100,100,82,3,11,4,70,3,26,1,88,3,7,2,83,1,11,5,92,3,3,2,84,2,12,2,46,0,0,4,9,12,29,46,2,6,4,9,7,26,49,0,24,10,6,11,49,2,11,9,10,19,49,1,16,7,15,12,77,4,17,2,77,7,8,8,77,6,11,6,50,1,22,27,73,0,10,17,90,0,4,0,1,1,4,69,0,6,5,1,0,0,1,1,2,1,3,0,1,0,2,8,55,1,28,15,0,1,55,1,16,15,8,3,1,0,1,58,1,21,9,11,58,1,10,14,11,3,3,6.083333333333333,12.220299271528267,252.5,498.3362318756283,10.484848484848484,5.8047459683930835,3.1052631578947367,2.3225041667458686
AS,ASM,American Samoa,Eastern,2021-03-01,2021-02-06,100,7,831582.8195386316,5,606040.1058480839,1024,84,9421658.59349995,39,17,10,73,20,14,66,20,7,73,15,20,65,18,12,70,18,17,65,14,20,66,20,14,66,15,12,73,20,8,72,16,18,66,16,19,65,19,11,70,20,19,61,90,2,7,1,86,1,11,2,93,2,5,0,80,3,11,6,88,3,7,2,83,0,9,8,80,3,13,4,86,2,9,3,88,4,7,1,92,1,7,0,82,3,10,5,81,2,9,8,89,1,8,2,81,2,13,4,13,3,18,66,85,6,9,17,4,26,53,75,0,13,12,87,1,3,8,1,87,6,7,0,94,1,4,1,0,35,3,9,53,22,4,7,54,13,93,1,3,2,1,95,1,2,2,0,32,1,25,22,11,9,38,14,18,13,17,68,38,16,25,10,11,38,14,20,19,9,38,14,15,13,20,38,10,32,11,9,91,0,7,2,91,0,9,0,91,0,8,1,91,0,5,4,91,0,8,1,91,0,9,0,91,0,9,0,91,0,7,2,91,0,8,1,0,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,0,78,1,14,7,78,1,15,6,78,1,18,3,78,1,21,0,78,1,15,6,78,1,12,9,78,1,17,4,78,1,19,2,78,1,18,3,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,92,1,7,0,92,1,4,3,92,1,1,6,92,1,3,4,92,1,6,1,92,1,6,1,92,1,6,1,34,2,24,15,8,17,39,1,53,7,39,1,60,0,39,1,59,1,39,1,59,1,39,1,58,2,39,1,58,2,39,1,58,2,39,1,58,2,39,1,57,3,39,1,13,47,86,0,1,13,60,1,9,30,0,0,0,93,3,2,2,93,2,3,2,93,3,1,3,93,2,4,1,93,3,1,3,93,3,2,2,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,41,9,18,32,41,9,30,20,41,10,13,36,41,11,17,31,41,11,8,40,41,9,16,34,41,0,23,36,77,0,18,4,1,0,43,3,4,12,14,24,43,1,54,2,45,2,12,41,45,0,30,11,5,4,2,3,45,2,30,9,8,6,45,3,24,12,10,6,68,100,100,82,3,11,4,70,3,26,1,87,3,7,3,83,1,11,5,92,3,3,2,84,2,12,2,47,0,0,4,9,12,28,47,2,6,3,9,7,26,50,0,23,10,6,11,50,2,10,9,10,19,50,1,15,7,15,12,78,4,16,2,78,6,8,8,78,5,11,6,51,1,22,26,74,0,9,17,91,0,3,0,1,1,4,70,0,5,5,1,0,0,1,1,2,1,3,0,1,0,2,8,56,1,28,14,0,1,56,1,15,15,8,3,1,0,1,59,1,20,9,11,59,1,9,14,11,3,3,6.166666666666667,12.19484668678888,252.5,498.3362318756283,10.625,5.840625242712157,3.135135135135135,2.3471278211910422
AS,ASM,American Samoa,Eastern,2021-03-03,2021-02-07,100,7,831582.8195386316,5,606040.1058480839,1024,84,9408310.011255497,39,17,10,73,20,14,66,20,7,73,15,20,65,18,12,70,18,17,65,14,20,66,20,14,66,15,12,73,20,8,72,16,17,67,16,19,65,19,10,71,20,19,61,90,2,7,1,86,1,11,2,93,2,5,0,80,3,11,6,88,3,7,2,83,0,9,8,80,3,13,4,86,2,9,3,88,4,7,1,92,1,7,0,83,3,10,4,81,2,9,8,90,1,8,1,81,2,13,4,13,3,18,66,85,6,9,17,4,26,53,75,0,14,11,86,1,3,9,1,86,6,8,0,94,1,4,1,0,36,3,9,52,22,3,7,55,13,93,1,3,2,1,95,1,2,2,0,32,1,26,21,11,9,38,16,18,11,17,66,38,17,25,9,11,38,16,20,17,9,38,16,15,11,20,38,11,32,10,9,91,0,7,2,91,0,9,0,91,0,8,1,91,0,5,4,91,0,8,1,91,0,9,0,91,0,9,0,91,0,7,2,91,0,8,1,2,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,2,79,1,14,6,79,1,14,6,79,1,17,3,79,1,20,0,79,1,14,6,79,1,11,9,79,1,16,4,79,1,18,2,79,1,17,3,2,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,2,92,1,7,0,92,1,4,3,92,1,1,6,92,1,3,4,92,1,6,1,92,1,6,1,92,1,6,1,34,2,22,15,9,18,39,1,53,7,39,1,60,0,39,1,59,1,39,1,60,0,39,1,58,2,39,1,58,2,39,1,58,2,39,1,58,2,39,1,57,3,39,1,12,48,86,0,0,14,60,1,8,31,2,2,2,93,3,2,2,93,2,3,2,93,3,1,3,93,2,4,1,93,3,1,3,93,3,2,2,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,41,9,19,31,41,9,31,19,41,10,14,35,41,11,16,32,41,11,7,41,41,9,16,34,41,0,21,38,79,0,17,3,1,0,43,3,4,11,15,24,43,1,54,2,45,1,13,41,45,0,31,10,5,4,2,3,45,2,31,9,7,6,45,3,24,12,9,7,66,100,100,81,3,11,5,69,3,26,2,86,3,7,4,84,1,10,5,93,3,2,2,84,2,11,3,47,0,0,4,9,12,28,47,2,6,3,8,7,27,50,0,22,12,5,11,50,2,9,9,11,19,50,1,16,8,13,12,76,4,18,2,76,6,8,10,76,5,11,8,51,1,21,27,73,0,10,17,90,1,3,0,1,1,4,70,0,5,5,1,0,0,1,1,2,1,2,0,1,0,2,9,56,0,28,15,0,1,56,0,15,16,9,2,1,0,1,59,1,20,9,11,59,1,9,13,12,3,3,6.342857142857143,12.326305818291644,252.5,498.3362318756283,11,5.968668193156661,3.027027027027027,2.179277230929844
AS,ASM,American Samoa,Eastern,2021-03-04,2021-02-07,100,7,831582.8195386316,5,606040.1058480839,1024,84,9408310.011255497,39,17,10,73,20,14,66,20,7,73,15,20,65,18,12,70,18,17,65,14,20,66,20,14,66,15,12,73,20,8,72,16,17,67,16,19,65,19,10,71,20,19,61,90,2,7,1,86,1,11,2,93,2,5,0,80,3,11,6,88,3,7,2,83,0,9,8,80,3,13,4,86,2,9,3,88,4,7,1,92,1,7,0,83,3,10,4,81,2,9,8,90,1,8,1,81,2,13,4,13,3,18,66,85,6,9,17,4,26,53,75,0,14,11,86,1,3,9,1,86,6,8,0,94,1,4,1,0,36,3,9,52,22,3,7,55,13,93,1,3,2,1,95,1,2,2,0,32,1,26,21,11,9,38,16,18,11,17,66,38,17,25,9,11,38,16,20,17,9,38,16,15,11,20,38,11,32,10,9,91,0,7,2,91,0,9,0,91,0,8,1,91,0,5,4,91,0,8,1,91,0,9,0,91,0,9,0,91,0,7,2,91,0,8,1,2,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,2,79,1,14,6,79,1,14,6,79,1,17,3,79,1,20,0,79,1,14,6,79,1,11,9,79,1,16,4,79,1,18,2,79,1,17,3,2,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,2,92,1,7,0,92,1,4,3,92,1,1,6,92,1,3,4,92,1,6,1,92,1,6,1,92,1,6,1,34,2,22,15,9,18,39,1,53,7,39,1,60,0,39,1,59,1,39,1,60,0,39,1,58,2,39,1,58,2,39,1,58,2,39,1,58,2,39,1,57,3,39,1,12,48,86,0,0,14,60,1,8,31,2,2,2,93,3,2,2,93,2,3,2,93,3,1,3,93,2,4,1,93,3,1,3,93,3,2,2,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,41,9,19,31,41,9,31,19,41,10,14,35,41,11,16,32,41,11,7,41,41,9,16,34,41,0,21,38,79,0,17,3,1,0,43,3,4,11,15,24,43,1,54,2,45,1,13,41,45,0,31,10,5,4,2,3,45,2,31,9,7,6,45,3,24,12,9,7,66,100,100,81,3,11,5,69,3,26,2,86,3,7,4,84,1,10,5,93,3,2,2,84,2,11,3,47,0,0,4,9,12,28,47,2,6,3,8,7,27,50,0,22,12,5,11,50,2,9,9,11,19,50,1,16,8,13,12,76,4,18,2,76,6,8,10,76,5,11,8,51,1,21,27,73,0,10,17,90,1,3,0,1,1,4,70,0,5,5,1,0,0,1,1,2,1,2,0,1,0,2,9,56,0,28,15,0,1,56,0,15,16,9,2,1,0,1,59,1,20,9,11,59,1,9,13,12,3,3,6.342857142857143,12.326305818291644,252.5,498.3362318756283,11,5.968668193156661,3.027027027027027,2.179277230929844
AS,ASM,American Samoa,Eastern,2021-03-05,2021-02-07,100,7,831582.8195386316,5,606040.1058480839,1024,84,9408310.011255497,39,17,10,73,20,14,66,20,7,73,15,20,65,18,12,70,18,17,65,14,20,66,20,14,66,15,12,73,20,8,72,16,17,67,16,19,65,19,10,71,20,19,61,90,2,7,1,86,1,11,2,93,2,5,0,80,3,11,6,88,3,7,2,83,0,9,8,80,3,13,4,86,2,9,3,88,4,7,1,92,1,7,0,83,3,10,4,81,2,9,8,90,1,8,1,81,2,13,4,13,3,18,66,85,6,9,17,4,26,53,75,0,14,11,86,1,3,9,1,86,6,8,0,94,1,4,1,0,36,3,9,52,22,3,7,55,13,93,1,3,2,1,95,1,2,2,0,32,1,26,21,11,9,38,16,18,11,17,66,38,17,25,9,11,38,16,20,17,9,38,16,15,11,20,38,11,32,10,9,91,0,7,2,91,0,9,0,91,0,8,1,91,0,5,4,91,0,8,1,91,0,9,0,91,0,9,0,91,0,7,2,91,0,8,1,2,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,2,79,1,14,6,79,1,14,6,79,1,17,3,79,1,20,0,79,1,14,6,79,1,11,9,79,1,16,4,79,1,18,2,79,1,17,3,2,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,2,92,1,7,0,92,1,4,3,92,1,1,6,92,1,3,4,92,1,6,1,92,1,6,1,92,1,6,1,34,2,22,15,9,18,39,1,53,7,39,1,60,0,39,1,59,1,39,1,60,0,39,1,58,2,39,1,58,2,39,1,58,2,39,1,58,2,39,1,57,3,39,1,12,48,86,0,0,14,60,1,8,31,2,2,2,93,3,2,2,93,2,3,2,93,3,1,3,93,2,4,1,93,3,1,3,93,3,2,2,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,41,9,19,31,41,9,31,19,41,10,14,35,41,11,16,32,41,11,7,41,41,9,16,34,41,0,21,38,79,0,17,3,1,0,43,3,4,11,15,24,43,1,54,2,45,1,13,41,45,0,31,10,5,4,2,3,45,2,31,9,7,6,45,3,24,12,9,7,66,100,100,81,3,11,5,69,3,26,2,86,3,7,4,84,1,10,5,93,3,2,2,84,2,11,3,47,0,0,4,9,12,28,47,2,6,3,8,7,27,50,0,22,12,5,11,50,2,9,9,11,19,50,1,16,8,13,12,76,4,18,2,76,6,8,10,76,5,11,8,51,1,21,27,73,0,10,17,90,1,3,0,1,1,4,70,0,5,5,1,0,0,1,1,2,1,2,0,1,0,2,9,56,0,28,15,0,1,56,0,15,16,9,2,1,0,1,59,1,20,9,11,59,1,9,13,12,3,3,6.342857142857143,12.326305818291644,252.5,498.3362318756283,11,5.968668193156661,3.027027027027027,2.179277230929844
AS,ASM,American Samoa,Eastern,2021-03-09,2021-02-07,100,7,831582.8195386316,5,606040.1058480839,1024,85,9533115.26779427,40,17,10,73,20,13,67,20,7,73,15,20,65,18,12,70,18,16,66,14,20,66,20,14,66,15,12,73,20,7,73,16,17,67,16,19,65,19,9,72,20,18,62,90,2,7,1,87,1,10,2,93,2,5,0,80,3,11,6,88,3,7,2,84,0,9,7,80,3,13,4,86,2,9,3,88,4,7,1,93,1,6,0,83,3,10,4,81,2,9,8,91,1,8,0,82,2,12,4,12,3,18,67,85,6,9,16,4,26,54,75,0,14,11,86,1,3,9,1,86,6,8,0,94,1,4,1,0,35,3,9,53,21,3,7,56,13,93,1,3,2,1,95,1,2,2,0,31,1,26,21,11,10,37,16,18,11,18,65,37,17,25,9,12,37,16,20,17,10,37,16,15,11,21,37,11,32,10,10,90,0,8,2,90,0,10,0,90,0,8,2,90,0,6,4,90,0,9,1,90,0,10,0,90,0,10,0,90,0,8,2,90,0,9,1,3,90,0,5,5,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,6,4,90,0,7,3,90,0,8,2,90,0,8,2,3,79,1,14,6,79,1,14,6,79,1,17,3,79,1,20,0,79,1,14,6,79,1,11,9,79,1,16,4,79,1,18,2,79,1,17,3,3,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,3,91,1,8,0,91,1,5,3,91,1,1,7,91,1,4,4,91,1,7,1,91,1,7,1,91,1,7,1,33,2,22,15,9,19,38,1,54,7,38,1,61,0,38,1,60,1,38,1,61,0,38,1,59,2,38,1,59,2,38,1,59,2,38,1,59,2,38,1,58,3,38,1,12,49,86,0,0,14,59,1,8,32,3,3,3,93,3,2,2,93,2,3,2,93,3,1,3,93,2,4,1,93,3,1,3,93,3,2,2,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,40,9,20,31,40,9,32,19,40,10,15,35,40,11,17,32,40,11,8,41,40,9,17,34,40,0,22,38,78,0,18,3,1,0,42,3,5,11,15,24,42,1,55,2,44,1,13,42,44,0,32,10,5,4,2,3,44,2,32,9,7,6,44,3,24,12,9,8,65,100,100,80,3,12,5,68,3,27,2,85,3,8,4,83,1,11,5,92,3,3,2,83,2,12,3,46,0,0,4,9,12,29,46,2,6,3,8,7,28,49,0,22,12,5,12,49,2,9,9,11,20,49,1,16,8,13,13,76,4,18,2,76,6,8,10,76,5,11,8,50,1,22,27,73,0,10,17,90,1,3,0,1,1,4,69,0,5,5,1,0,0,1,1,2,1,2,0,1,0,2,10,55,0,29,15,0,1,55,0,15,16,9,3,1,0,1,58,1,21,9,11,58,1,10,13,12,3,3,6.342857142857143,12.326305818291644,252.5,498.3362318756283,10.970588235294118,5.8800396520908285,3.0526315789473686,2.155412651543847
