ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GR,GRC,Greece,Attiki,2020-12-21,2020-12-21,205,0,0,0,0,26,197,2427032.384712223,167,1,0,204,1,10,194,2,4,199,2,18,185,1,19,185,1,12,192,1,5,199,1,7,197,1,2,202,1,1,203,1,6,198,1,19,185,1,4,200,1,18,186,205,0,0,0,195,0,3,7,201,1,2,1,187,3,3,12,186,2,2,15,193,3,2,7,200,0,1,4,198,2,2,3,203,1,0,1,204,0,0,1,199,0,2,4,186,1,3,15,201,1,1,2,187,2,7,9,8,0,11,186,194,1,10,10,0,78,117,127,1,25,52,180,0,0,24,1,180,0,11,14,0,194,0,4,7,0,39,0,13,153,205,0,0,0,0,0,16,1,73,69,33,13,175,4,6,15,5,175,2,15,11,2,175,2,17,10,1,175,2,11,13,4,175,3,5,9,13,0,193,7,1,4,193,5,2,5,193,4,5,3,193,7,3,2,193,5,3,4,193,8,0,4,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,205,0,0,0,21,1,60,123,21,0,128,56,21,3,10,171,21,2,92,90,21,2,4,178,21,3,13,168,21,0,74,110,131,0,55,12,3,4,24,1,1,9,64,106,24,1,178,2,24,0,25,156,24,0,159,8,2,0,0,12,24,0,67,49,44,21,24,0,75,87,12,7,25,0,82,97,1,27,3,65,107,3,145,0,56,4,77,1,126,1,195,0,10,0,113,0,66,26,201,0,3,1,192,0,12,1,28,0,5,6,24,44,98,28,0,1,11,29,57,79,29,2,76,71,21,6,29,0,6,13,39,118,29,0,37,63,39,37,106,5,88,6,106,44,21,34,106,40,29,30,31,0,80,94,111,0,31,63,175,2,11,0,3,3,1,0,10,97,0,0,10,6,12,3,5,11,5,0,0,18,5,6,5,22,36,4,90,75,0,0,36,0,10,17,43,42,39,17,1,37,5,143,15,5,37,3,31,82,40,8,4,7.20754716981132,9.692103230040974,2.3636363636363638,1.2060453783110545,14.757575757575758,4.27293169928163,2.3607594936708862,1.3459936042019696
GR,GRC,Greece,Kentriki Makedonia,2020-12-21,2020-12-21,124,0,0,0,0,29,122,1121955.1747078702,105,0,0,124,1,3,120,0,2,122,1,5,118,1,9,114,1,8,115,0,4,120,1,1,122,1,2,121,1,2,121,1,1,122,1,13,110,0,0,124,1,11,112,124,0,0,0,121,0,0,3,122,0,2,0,119,0,3,2,115,0,4,5,116,0,2,6,120,0,1,3,123,0,1,0,122,0,1,1,122,0,1,1,123,0,1,0,111,0,2,11,124,0,0,0,113,0,3,8,2,0,11,111,113,2,9,2,0,45,77,79,0,16,29,108,0,2,13,1,108,0,8,8,0,116,0,3,4,1,19,0,9,96,124,0,0,0,0,0,4,0,48,38,28,6,108,0,5,8,3,108,1,11,2,2,108,1,8,4,3,108,1,7,3,5,108,1,3,3,9,0,115,3,2,4,115,3,2,4,115,4,1,4,115,2,3,4,115,2,3,4,115,4,0,5,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,6,0,29,89,6,0,87,31,6,0,4,114,6,0,42,76,6,0,6,112,6,0,6,112,8,0,42,74,82,0,33,5,2,2,8,1,0,7,34,74,8,0,115,1,10,1,11,102,10,0,98,6,0,0,0,10,10,0,53,26,19,16,10,0,70,33,8,3,10,0,40,72,2,10,2,33,76,3,96,0,28,0,38,0,85,1,120,0,4,0,83,0,33,8,118,0,4,2,119,0,5,0,11,3,3,9,15,21,62,11,0,3,5,17,27,61,13,3,59,32,9,8,13,0,3,9,19,80,13,0,28,30,26,27,67,4,50,3,67,18,13,26,67,14,21,22,15,0,50,59,65,0,21,38,104,1,6,0,0,7,0,1,5,54,0,3,5,4,6,1,2,8,6,0,4,15,5,2,2,7,17,4,49,52,1,1,17,0,11,9,31,24,21,9,2,18,3,72,16,15,18,2,18,40,37,6,3,6.0625,8.680484229097642,2.888888888888889,2.0275875100994063,14.843137254901961,4.580944383674735,2.49,1.306510503964548
GR,GRC,Greece,Attiki,2020-12-22,2020-12-22,223,1,5790.9650533842105,0,0,26,219,2380378.0426451536,193,1,1,221,1,9,213,1,1,221,1,20,202,1,27,195,0,14,209,2,10,211,1,8,214,1,1,221,2,4,217,1,7,215,2,20,201,1,4,218,1,25,197,222,0,0,1,214,0,1,8,222,0,0,1,203,0,2,18,196,0,3,24,209,0,4,10,213,0,3,7,215,0,2,6,222,0,1,0,219,0,2,2,216,0,2,5,203,0,4,16,219,0,1,3,198,0,6,19,4,0,11,208,212,2,9,7,4,75,137,148,0,20,55,203,0,1,19,0,203,0,9,11,0,214,0,3,6,0,31,2,19,171,223,0,0,0,0,0,9,1,82,69,45,17,14,7,55,97,50,14,9,105,65,30,14,10,105,60,34,14,12,73,59,65,14,13,24,62,110,0,204,6,3,10,204,5,4,10,204,4,8,7,204,6,5,8,204,7,3,9,204,6,2,11,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,223,0,0,0,14,0,71,138,14,0,160,49,14,0,14,195,14,0,103,106,14,0,3,206,14,0,19,190,16,0,92,115,131,0,73,16,2,1,16,1,0,17,77,112,16,0,207,0,17,2,19,185,17,0,172,27,1,1,0,5,17,0,80,52,49,25,17,2,69,103,24,8,17,0,85,120,1,17,1,66,138,1,153,1,65,4,64,1,158,0,209,0,13,1,121,1,69,32,220,0,2,1,204,0,17,2,20,1,2,13,34,51,102,20,0,5,13,34,62,89,20,2,79,79,34,9,20,0,7,15,47,134,20,0,56,49,54,44,118,6,93,6,118,36,19,50,118,30,34,41,20,1,97,105,118,1,47,57,177,1,13,0,5,6,0,1,20,80,1,1,12,4,8,1,11,18,3,0,9,18,8,7,9,33,23,5,110,84,0,1,23,0,12,28,48,59,35,17,1,29,3,169,13,9,29,2,44,83,51,10,4,7.684210526315789,8.899753594065833,2.6666666666666665,1.5811388300841898,15.041666666666666,4.668972255188583,2.5531914893617023,1.3883936108865926
GR,GRC,Greece,Kentriki Makedonia,2020-12-22,2020-12-22,139,0,0,0,0,45,136,1169558.3194813505,116,0,1,138,0,9,130,0,1,138,0,14,125,0,10,129,0,11,128,0,3,136,0,3,136,0,3,136,0,1,138,0,4,135,0,15,124,0,1,138,0,22,117,138,0,1,0,130,0,1,8,138,0,0,1,125,0,3,11,129,0,2,8,128,0,1,10,136,0,2,1,136,0,0,3,136,0,2,1,138,0,1,0,135,0,1,3,124,0,4,11,138,0,1,0,117,0,10,12,3,0,22,114,118,2,19,5,1,55,78,84,0,27,28,112,0,1,25,1,112,0,14,13,0,125,0,4,10,0,33,0,10,96,139,0,0,0,0,0,5,0,34,55,33,12,8,12,35,49,35,8,14,47,49,21,8,9,55,48,19,8,16,26,52,37,8,14,9,34,74,0,129,4,1,5,129,2,3,5,129,2,4,4,129,4,3,3,129,4,2,4,129,4,0,6,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,10,1,31,97,10,0,98,31,10,2,2,125,10,2,50,77,10,2,3,124,10,2,10,117,12,0,52,75,87,0,42,8,1,1,13,0,0,10,42,74,13,0,126,0,15,2,11,111,15,0,108,7,0,1,0,8,15,0,61,24,25,14,15,0,65,41,15,3,15,0,48,75,1,16,0,32,91,0,108,1,28,2,41,2,95,1,137,0,2,0,89,0,43,7,136,0,3,0,129,0,9,1,16,0,0,11,18,35,59,16,2,2,7,23,38,51,16,0,68,41,12,2,16,1,3,15,21,83,16,0,27,41,29,26,72,6,57,4,72,30,15,22,72,25,23,19,17,0,49,73,66,1,34,38,107,0,10,3,3,6,2,0,8,58,1,5,9,4,7,1,0,6,5,0,5,11,2,6,4,15,21,0,54,62,0,2,21,0,13,15,20,34,29,7,0,23,2,84,13,17,23,1,19,43,40,8,5,9.142857142857142,10.0104112469635,2.533333333333333,1.767430203377074,14.194690265486726,4.644232996569213,2.663716814159292,1.424345836497198
GR,GRC,Greece,Kriti,2020-12-22,2020-12-21,100,0,0,0,0,11,98,753237.2206946218,88,0,0,100,0,7,93,0,3,97,0,12,88,0,9,91,0,11,89,0,2,98,0,3,97,0,2,98,0,0,100,0,1,99,0,21,79,0,3,97,0,10,90,100,0,0,0,93,0,0,7,97,0,0,3,89,0,2,9,91,0,3,6,89,0,3,8,98,0,0,2,97,0,3,0,98,0,2,0,100,0,0,0,99,0,0,1,80,0,6,14,97,0,0,3,91,1,4,4,2,0,5,93,96,1,3,3,2,19,76,81,0,8,11,92,0,0,8,0,92,0,4,4,0,96,0,3,1,0,13,0,9,78,100,0,0,0,0,0,3,0,30,37,14,16,47,3,13,18,19,47,1,23,17,12,47,2,22,17,12,47,2,9,21,21,47,3,2,15,33,0,91,3,3,3,91,5,2,2,91,5,3,1,91,5,2,2,91,5,3,1,91,5,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,3,0,19,78,3,0,82,15,3,1,6,90,3,0,51,46,3,0,4,93,3,0,5,92,5,0,46,49,54,0,32,9,3,2,7,0,1,7,32,53,7,0,92,1,8,2,11,79,8,0,69,12,2,2,2,5,8,0,40,18,18,16,9,0,31,35,16,9,9,0,38,53,0,9,0,31,60,0,81,1,16,2,19,1,76,4,94,0,4,2,49,1,35,15,96,0,2,2,95,1,3,1,9,1,0,3,12,24,51,9,1,2,3,9,33,43,10,1,30,31,20,8,10,0,2,7,15,66,10,0,17,29,17,27,54,4,40,2,54,21,3,22,54,16,16,14,10,0,34,56,44,0,24,32,76,2,5,1,3,5,1,1,6,44,0,2,5,2,5,2,1,4,1,0,3,9,1,16,0,5,12,3,40,45,0,0,12,1,6,8,23,21,20,8,1,12,0,49,15,24,12,0,12,38,31,5,2,6.2857142857142865,7.831202404001379,2.5,1.9148542155126762,14.06172839506173,4.602569062524608,2.5833333333333335,1.4159873164408237
GR,GRC,Greece,Anatoliki Makedonia Thraki,2020-12-23,2020-12-21,100,0,0,0,0,41,97,1051091.197662647,82,1,1,98,1,3,96,1,4,95,2,8,90,1,7,92,2,7,91,1,2,97,2,2,96,1,1,98,1,1,98,1,2,97,1,11,88,1,2,97,1,6,93,99,0,0,1,98,0,0,2,97,0,0,3,94,0,3,3,94,0,2,4,95,0,3,2,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,98,0,0,2,90,0,3,7,98,0,0,2,94,0,4,2,3,0,16,81,85,0,15,4,0,46,50,54,0,21,25,79,0,2,19,0,79,0,10,11,0,90,0,8,2,0,25,2,3,70,100,0,0,0,0,0,7,2,27,28,20,16,25,6,17,33,19,25,8,20,29,18,25,6,31,22,16,25,9,15,25,26,25,8,3,29,35,0,98,2,0,0,98,2,0,0,98,2,0,0,98,2,0,0,98,1,1,0,98,2,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,1,22,67,10,1,72,17,10,2,4,84,10,2,30,58,10,2,4,84,10,2,2,86,10,1,30,59,70,0,22,7,0,1,12,0,1,5,32,50,12,0,87,1,12,0,11,77,12,0,76,4,1,1,0,6,12,0,48,14,14,12,12,1,39,27,16,5,12,0,33,52,3,13,2,23,61,1,78,1,20,1,28,1,70,1,96,0,4,0,70,1,25,4,96,0,4,0,98,0,2,0,13,1,1,7,7,20,51,13,1,0,6,16,21,43,13,2,41,25,10,9,13,1,6,7,21,52,13,0,21,33,19,14,46,4,43,7,46,23,10,21,46,19,18,17,13,2,33,52,48,0,15,37,85,1,3,0,5,0,0,0,6,52,0,4,5,3,4,1,1,6,3,1,1,3,2,0,2,12,14,3,44,37,1,1,14,1,7,11,19,29,14,5,0,17,2,47,14,20,17,1,12,34,32,3,1,6.1,7.900033311055686,3.0833333333333335,1.378954368902449,14.098765432098768,3.713505548237423,2.628205128205128,1.4868163002276746
GR,GRC,Greece,Attiki,2020-12-23,2020-12-23,213,0,0,0,0,19,209,2272140.533186022,185,1,1,211,1,6,206,0,2,211,1,25,187,1,19,193,1,14,198,1,8,204,0,2,211,0,4,209,1,1,211,2,5,206,1,25,187,1,6,206,1,14,198,212,1,0,0,207,0,0,6,211,0,0,2,188,0,6,19,194,0,5,14,199,1,4,9,205,0,4,4,211,0,2,0,209,0,1,3,212,0,1,0,208,0,3,2,188,0,5,20,207,1,1,4,199,0,1,13,4,0,11,198,202,2,9,5,4,82,122,131,1,31,50,182,0,2,28,1,182,0,15,16,0,198,0,5,10,0,41,1,20,151,213,0,0,0,0,0,6,1,65,79,47,15,13,13,37,109,41,13,9,90,77,24,13,5,94,66,35,13,11,61,70,58,13,15,20,64,101,0,193,4,5,11,193,9,3,8,193,7,6,7,193,7,4,9,193,9,1,10,193,9,0,11,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,14,1,52,146,14,1,155,43,14,1,12,186,14,1,85,113,14,2,5,192,14,2,28,169,16,1,79,117,134,0,57,14,3,5,16,1,1,11,74,110,16,1,196,0,18,2,23,170,18,0,172,11,2,2,0,8,18,0,80,50,45,20,18,1,78,86,21,9,20,0,64,128,1,24,1,52,134,2,161,1,47,4,58,2,151,2,201,0,11,1,128,1,58,26,208,0,2,3,185,1,27,0,25,0,6,11,33,36,102,25,0,5,11,29,59,84,25,1,72,80,28,7,25,0,8,17,44,119,25,0,41,53,58,36,119,4,84,6,119,38,14,42,119,32,26,36,25,1,86,101,112,0,35,66,178,0,15,1,5,6,0,1,7,92,0,1,4,3,14,0,7,9,2,0,3,19,6,12,7,34,27,3,93,88,1,1,27,0,17,32,41,54,26,16,0,27,5,154,19,8,27,4,45,80,49,6,2,7.257575757575757,9.90929727549701,1.8888888888888886,1.0540925533894598,14.611428571428572,4.656954472501218,2.2126436781609193,1.3237103744920329
GR,GRC,Greece,Kentriki Makedonia,2020-12-23,2020-12-23,136,0,0,0,0,42,134,1048522.9901348088,116,1,1,134,2,4,130,2,3,131,1,11,124,1,11,124,2,6,128,1,6,129,1,2,133,1,0,135,1,0,135,1,5,130,1,10,125,2,1,133,1,15,120,135,0,1,0,132,1,1,2,133,0,1,2,125,1,3,7,125,1,1,9,130,0,2,4,130,0,1,5,134,0,0,2,136,0,0,0,136,0,0,0,131,0,1,4,126,1,3,6,135,0,0,1,121,0,2,13,2,0,21,113,116,4,16,3,1,54,78,82,0,28,26,108,0,2,25,1,108,0,13,15,0,123,0,2,11,0,32,2,7,95,136,0,0,0,0,0,4,0,46,48,26,12,6,8,30,55,37,6,13,59,34,24,6,8,63,36,23,6,10,40,43,37,6,13,13,30,74,0,129,0,2,5,129,2,1,4,129,1,4,2,129,2,2,3,129,2,2,3,129,2,0,5,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,136,0,0,0,7,1,26,102,7,0,112,17,7,1,6,122,7,1,50,78,7,1,5,123,7,1,7,121,9,0,48,79,88,0,37,6,2,3,10,0,2,6,39,79,10,0,126,0,12,0,12,112,12,0,111,5,1,2,1,4,12,0,53,35,21,15,12,2,60,50,4,8,12,0,54,68,2,12,2,42,79,1,111,1,20,4,26,0,108,2,132,0,3,1,88,0,40,8,132,1,1,2,129,0,6,1,12,1,2,8,20,27,66,12,2,0,8,19,38,57,14,1,58,38,18,7,14,0,5,14,24,79,14,0,25,35,28,34,77,0,54,5,77,18,14,27,77,16,23,20,15,1,54,66,70,0,23,43,113,0,5,1,2,4,1,0,10,59,0,6,9,1,7,1,2,13,4,1,2,9,6,6,1,9,18,3,62,52,0,1,18,0,9,13,27,37,17,13,2,20,3,80,12,21,20,2,19,46,39,7,3,6.921052631578948,7.813299745694771,2.1666666666666665,1.4652845537742527,14.803571428571429,4.783302951934691,2.6818181818181817,1.4007325618254658
GR,GRC,Greece,Kriti,2020-12-23,2020-12-21,100,0,0,0,0,15,99,858923.7618192569,86,1,0,99,1,8,91,1,3,96,1,9,90,1,3,96,1,10,89,1,1,98,1,3,96,1,2,97,1,0,99,1,2,97,1,14,85,1,1,98,1,8,91,100,0,0,0,92,0,0,8,97,0,0,3,91,0,2,7,97,0,1,2,90,0,3,7,99,0,0,1,97,0,3,0,98,0,2,0,100,0,0,0,98,0,1,1,86,0,5,9,99,0,0,1,92,1,4,3,1,0,7,92,94,1,5,2,2,21,75,79,0,9,12,91,0,0,9,0,91,0,4,5,0,96,0,3,1,0,13,0,9,78,100,0,0,0,0,0,2,1,34,34,15,14,4,8,23,39,26,4,5,45,31,15,4,4,50,26,16,4,5,28,31,32,4,8,5,27,56,0,91,4,3,2,91,6,1,2,91,6,2,1,91,5,3,1,91,6,2,1,91,6,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,4,1,25,70,4,0,89,7,4,2,5,89,4,2,51,43,4,1,5,90,4,1,5,90,6,0,42,52,58,0,29,6,4,3,7,0,0,8,36,49,7,0,92,1,8,2,11,79,8,0,73,11,2,1,1,4,8,0,33,22,22,15,9,0,26,39,19,7,9,0,36,55,0,9,1,29,61,0,75,1,23,1,12,1,84,3,95,0,5,0,49,1,35,15,95,0,5,0,95,1,4,0,9,0,0,5,12,26,48,9,0,2,5,8,30,46,10,2,29,36,16,7,10,0,2,8,17,63,10,0,17,36,16,21,48,8,42,2,48,17,7,28,48,12,23,17,11,0,38,51,49,0,17,34,83,1,4,2,2,4,1,1,2,46,0,3,5,2,6,2,1,6,0,0,2,7,4,9,1,6,13,6,40,41,0,0,13,0,7,10,23,24,16,6,1,13,0,39,24,24,13,0,12,32,35,7,1,6.928571428571429,9.58752496323399,2.3333333333333335,1.6329931618554518,14.389610389610388,4.571524691402329,2.8072289156626504,1.2826975322162617
GR,GRC,Greece,Peloponnisos,2020-12-23,2020-12-21,100,1,7430.422352076999,0,0,11,98,1307290.0593461725,87,0,1,99,0,4,96,0,4,96,0,7,93,0,5,95,0,2,98,0,3,97,0,0,100,0,2,98,0,1,99,0,4,96,0,8,92,0,1,99,0,8,92,99,0,0,1,96,0,0,4,96,0,1,3,93,0,2,5,95,0,0,5,98,0,1,1,97,0,0,3,100,0,0,0,98,0,1,1,99,0,0,1,96,0,2,2,92,0,2,6,99,0,0,1,92,0,3,5,1,1,5,93,95,1,4,2,0,32,66,68,0,14,18,86,0,0,14,0,86,0,2,11,1,98,0,1,1,0,17,1,5,77,100,0,0,0,0,0,3,0,34,26,24,13,10,5,20,38,27,10,4,34,32,20,10,7,40,25,18,10,7,25,31,27,10,8,9,28,45,0,95,1,3,1,95,0,2,3,95,1,3,1,95,1,2,2,95,1,2,2,95,1,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,0,18,75,7,0,72,21,7,0,6,87,7,0,46,47,7,0,2,91,7,0,2,91,7,0,43,50,57,0,36,3,1,3,7,0,3,10,27,53,7,0,93,0,7,0,10,83,7,0,72,9,2,2,2,6,7,0,46,12,16,19,7,0,29,45,12,7,8,0,41,49,2,8,1,27,60,4,82,0,17,1,28,1,71,0,94,0,5,1,54,0,32,14,98,1,1,0,98,0,1,1,9,0,1,3,13,24,50,9,0,4,5,11,29,42,11,0,41,27,15,6,11,0,3,7,22,57,11,0,19,28,22,20,53,3,40,4,53,15,6,26,53,11,14,22,11,0,35,54,46,0,22,32,78,0,5,0,2,4,0,0,11,44,0,7,2,2,5,0,0,1,5,0,8,5,5,3,1,12,13,1,44,41,0,1,13,0,12,6,21,20,17,8,3,13,2,40,20,25,13,0,19,32,26,7,3,4.466666666666667,5.3092848621190445,2.2,2.16794833886788,13.433734939759038,4.651757525412061,2.5060240963855422,1.3558679514802714
