ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AR,ARG,Argentina,-99,2020-12-21,2020-12-21,110,1,8934.06384833599,0,0,37,89,1255584.5809789952,52,5,2,103,4,8,98,6,1,103,4,10,96,5,5,100,4,7,99,2,3,105,7,3,100,5,1,104,4,2,104,3,3,104,4,9,97,6,2,102,4,10,96,108,0,2,0,102,0,5,3,109,0,1,0,101,0,7,2,105,1,0,4,103,0,5,2,107,0,1,2,107,0,2,1,109,0,1,0,108,0,1,1,107,0,0,3,101,0,6,3,108,0,1,1,100,1,5,4,20,1,14,75,98,0,2,10,23,3,16,68,94,1,3,12,107,0,3,0,107,0,1,2,0,109,0,0,1,0,30,3,5,72,110,0,0,0,0,0,23,2,25,29,13,18,72,4,14,12,8,72,9,17,9,3,72,9,21,6,2,72,9,16,5,8,72,10,6,4,18,0,105,3,1,1,105,4,0,1,105,1,1,3,105,4,1,0,105,4,0,1,105,3,1,1,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,26,11,21,52,26,2,56,26,26,8,13,63,26,7,32,45,26,9,9,66,26,7,13,64,29,1,36,44,74,0,24,7,2,3,30,1,0,4,33,42,30,1,78,1,32,2,18,58,32,0,63,6,0,1,0,8,32,0,22,19,21,16,35,0,32,31,7,5,110,110,89,2,18,1,54,2,53,1,97,2,9,2,78,2,22,8,101,1,7,1,97,3,8,2,36,2,0,2,14,10,46,36,1,0,0,5,15,53,38,2,30,26,8,6,38,0,6,19,18,29,38,1,23,17,13,18,70,5,30,5,70,20,12,8,70,15,19,6,39,1,29,41,69,0,14,27,97,1,1,0,0,1,0,2,8,68,0,2,3,0,5,0,2,4,2,0,3,0,2,0,2,17,54,0,25,30,0,1,54,0,1,1,7,16,17,8,6,57,2,40,11,0,57,3,12,22,14,2,0,2.7333333333333334,2.520393015460278,5.6,3.5071355833500366,9.534883720930232,6.63808935939402,2.625,1.538512683274254
AR,ARG,Argentina,Buenos Aires,2020-12-21,2020-12-21,677,0,0,0,0,159,643,10797505.422375629,494,1,3,673,1,34,642,1,14,662,1,67,609,2,100,575,1,78,598,1,46,630,1,15,661,1,20,656,1,11,665,1,34,642,2,94,581,2,18,657,1,101,575,674,0,2,1,643,1,15,18,663,1,7,6,610,3,29,35,577,0,31,69,599,1,30,47,631,2,21,23,662,1,10,4,657,0,12,8,666,1,6,4,643,3,15,16,583,3,36,55,659,0,12,6,577,3,34,63,33,1,70,573,608,1,13,55,39,6,134,498,543,2,28,104,649,3,24,1,649,0,12,16,0,665,0,4,6,2,79,12,33,553,677,0,0,0,0,0,46,1,220,230,98,82,481,13,73,66,44,481,16,108,43,29,481,16,100,45,35,481,13,78,48,57,481,17,26,39,114,0,644,10,7,16,644,10,7,16,644,8,12,13,644,12,7,14,644,11,2,20,644,12,1,20,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,74,15,203,385,74,13,456,134,74,26,143,434,74,21,318,264,74,23,82,498,74,14,136,453,83,1,330,263,347,1,220,67,26,16,92,6,6,40,206,327,92,6,578,1,97,10,92,478,97,0,489,53,6,1,4,27,97,0,117,168,197,98,100,1,162,293,103,18,677,677,477,4,188,8,224,4,441,8,536,4,122,15,359,2,205,111,595,3,54,25,541,2,132,2,114,3,9,23,69,129,330,114,1,7,27,73,131,324,121,5,214,233,52,52,121,3,75,133,136,209,121,0,163,205,118,70,317,18,273,69,317,91,79,190,317,73,129,158,132,3,275,267,410,2,86,179,593,5,13,3,9,10,0,7,37,320,1,12,20,16,44,10,6,34,22,0,21,20,20,9,13,109,163,3,157,348,2,4,163,0,60,110,94,114,87,39,10,178,9,389,84,17,178,5,127,224,111,25,7,2.6929460580912865,2.2502574003681177,2.618181818181818,2.0592241355432974,11.087719298245615,6.223050244647474,2.807531380753138,1.41443063418795
AR,ARG,Argentina,C<c3><b3>rdoba,2020-12-21,2020-12-21,255,0,0,0,0,66,242,1883337.4588996281,186,1,0,254,1,21,233,1,2,252,1,31,223,0,26,229,1,25,229,0,20,235,1,4,250,1,7,247,1,2,252,1,13,241,0,41,214,1,4,250,1,33,221,255,0,0,0,235,0,6,14,253,0,1,1,225,3,8,19,230,1,9,15,231,2,12,10,236,0,5,14,253,0,1,1,249,0,2,4,254,0,1,0,242,3,5,5,215,4,10,26,251,1,3,0,222,2,15,16,12,1,30,212,226,0,4,25,14,0,75,166,180,0,11,64,244,1,10,0,244,0,1,10,0,254,0,1,0,0,25,6,17,207,255,0,0,0,0,0,18,0,72,84,43,38,173,7,28,27,20,173,6,42,20,14,173,3,38,25,16,173,7,27,19,29,173,8,6,15,53,0,239,10,1,5,239,7,4,5,239,6,7,3,239,8,3,5,239,11,0,5,239,10,2,4,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,255,0,0,0,26,11,75,143,26,3,172,54,26,9,78,142,26,9,128,92,26,10,39,180,26,11,21,197,27,0,136,92,119,1,83,24,15,13,29,2,2,23,76,123,29,1,224,1,29,3,42,181,29,0,182,27,5,0,2,10,29,0,43,75,71,37,30,6,48,110,42,19,255,255,180,2,67,6,83,2,166,4,177,1,73,4,127,3,80,45,216,0,28,11,234,1,20,0,31,1,1,8,34,46,134,31,0,5,10,39,44,126,37,2,75,87,31,23,37,0,16,53,59,90,37,0,67,68,37,46,121,8,107,19,121,35,23,76,121,28,46,60,39,1,127,88,167,0,33,55,227,1,6,1,3,5,2,2,8,102,1,6,13,11,15,0,3,13,8,0,8,14,4,2,6,49,58,4,61,131,1,0,58,1,20,38,37,42,36,20,3,66,0,148,34,7,66,0,51,79,50,7,2,2.3736263736263736,1.6373986933775417,2.6363636363636362,2.3206209051203053,12.277456647398845,6.007109199574253,2.755434782608696,1.3829456271832627
AR,ARG,Argentina,Ciudad Aut<c3><b3>noma de Buenos Aires,2020-12-21,2020-12-21,162,0,0,0,0,46,153,996118.7241162234,126,0,1,161,0,12,150,0,7,155,0,13,149,0,24,138,0,14,148,0,12,150,0,0,162,0,3,159,0,1,161,0,10,152,0,26,136,0,1,161,0,26,136,161,0,0,1,151,1,3,7,155,0,3,4,149,0,5,8,139,0,5,18,148,0,2,12,150,1,2,9,162,0,0,0,160,0,2,0,161,0,1,0,152,0,5,5,136,0,9,17,161,0,1,0,136,0,9,17,8,1,23,130,139,0,6,17,10,2,39,111,123,1,10,28,152,1,9,0,152,0,2,8,0,160,0,0,2,0,24,1,5,132,162,0,0,0,0,0,11,1,61,54,25,10,96,3,23,26,14,96,1,41,18,6,96,0,37,17,12,96,1,34,13,18,96,1,10,17,38,0,157,1,0,4,157,0,1,4,157,1,1,3,157,1,2,2,157,1,1,3,157,1,0,4,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,17,3,40,102,17,0,114,31,17,0,55,90,17,0,72,73,17,0,14,131,17,0,45,100,21,0,79,62,83,0,57,10,8,4,21,0,1,10,48,82,21,0,141,0,23,1,33,105,23,0,126,6,1,2,1,3,23,0,28,35,54,22,24,1,32,77,20,8,162,162,125,2,35,0,51,4,107,0,110,0,49,3,91,2,52,17,148,0,12,2,118,1,42,1,25,2,2,8,17,29,79,25,0,3,8,21,35,70,26,0,51,55,17,13,26,0,11,24,44,57,26,0,31,59,28,18,73,7,65,17,73,20,16,53,73,17,25,47,27,0,62,73,89,0,22,51,141,1,6,0,5,0,1,0,8,79,0,0,5,3,10,1,4,15,2,0,2,7,5,2,1,26,34,0,42,86,0,0,34,0,9,29,24,21,20,23,2,35,2,122,3,0,35,1,59,39,24,0,4,3.4909090909090907,2.8859347755310627,2.0952380952380953,1.445847914020071,12.460869565217392,6.260831955985014,2.296,1.191529242395616
AR,ARG,Argentina,Santa Fe,2020-12-21,2020-12-21,239,1,5341.4097570967,0,0,121,222,1836446.7402994917,164,5,2,232,5,11,223,5,1,233,8,29,202,6,33,200,5,26,208,5,22,212,6,5,228,4,11,224,5,2,232,5,12,222,5,32,202,5,5,229,4,29,206,237,1,1,0,228,1,6,4,238,0,0,1,210,0,8,21,206,2,11,20,213,1,10,15,217,1,8,13,234,0,4,1,228,1,6,4,237,1,1,0,227,1,8,3,207,2,12,18,234,1,4,0,210,2,9,18,15,2,49,173,194,0,3,42,23,3,46,167,193,1,7,38,232,3,4,0,232,0,2,5,0,237,0,1,1,0,35,6,11,187,239,0,0,0,0,0,26,1,74,79,39,20,167,5,22,27,18,167,4,33,28,7,167,3,28,27,14,167,4,22,23,23,167,5,7,11,49,0,228,3,5,3,228,4,4,3,228,2,7,2,228,5,0,6,228,5,1,5,228,5,0,6,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,36,2,51,150,36,1,155,47,36,5,50,148,36,4,112,87,36,4,35,164,36,3,37,163,38,0,110,91,129,0,67,26,7,10,39,0,1,15,87,97,39,0,200,0,42,0,39,158,42,1,158,23,1,3,2,9,42,0,33,55,64,45,45,3,43,97,42,9,239,239,188,0,48,3,85,1,148,5,189,0,45,5,127,0,73,39,204,0,23,12,202,0,34,3,47,1,1,6,34,43,107,47,0,5,9,26,31,121,48,1,61,82,21,26,48,0,18,34,47,92,48,0,57,59,32,43,123,6,88,22,123,25,21,70,123,22,35,59,50,1,100,88,151,0,32,56,209,0,3,3,4,4,2,2,12,109,0,4,14,3,14,1,3,15,11,0,11,8,6,0,6,34,67,3,70,98,0,1,67,0,18,44,27,40,18,22,3,72,3,138,22,4,72,1,42,88,33,2,1,2.9642857142857144,2.552798740864568,2.945945945945946,1.8400776847421105,11.554054054054054,6.584132424197679,2.7267080745341614,1.2449275964878015
AR,ARG,Argentina,-99,2020-12-22,2020-12-22,100,0,0,0,0,20,83,1193661.8153955836,50,7,1,92,8,10,82,8,4,88,11,14,75,11,13,76,8,12,80,8,12,80,10,3,87,9,6,85,8,2,90,7,6,87,7,12,81,10,3,87,8,13,79,99,0,0,1,90,0,5,5,96,1,2,1,86,1,8,5,87,1,7,5,88,1,6,5,88,1,8,3,97,0,1,2,94,1,2,3,98,0,0,2,94,0,1,5,88,1,5,6,97,0,2,1,87,1,5,7,16,1,9,74,91,0,3,6,16,3,12,69,88,1,4,7,96,1,3,0,96,1,2,1,0,98,0,2,0,0,24,2,5,69,100,0,0,0,0,0,17,1,27,27,14,14,20,12,32,20,16,20,15,37,16,12,20,12,43,12,13,20,13,32,10,25,20,13,18,9,40,0,95,4,1,0,95,3,1,1,95,2,1,2,95,3,1,1,95,4,0,1,95,4,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,7,22,48,23,2,55,20,23,6,15,56,23,5,32,40,23,6,12,59,23,7,16,54,24,0,36,40,64,0,18,11,1,6,25,0,2,6,26,41,25,1,74,0,26,0,19,55,26,0,56,5,1,0,3,9,26,0,26,18,18,12,26,2,29,25,13,5,100,100,78,4,18,0,45,5,50,0,85,0,13,2,68,3,21,8,88,2,7,3,84,3,12,1,28,3,2,1,16,14,36,28,0,2,2,15,14,39,31,1,34,17,5,12,31,1,12,19,12,25,31,0,23,19,7,20,59,8,28,5,59,17,9,15,59,14,18,9,32,2,19,47,53,1,17,29,83,2,1,1,0,3,0,0,10,64,1,0,2,1,6,1,0,1,1,0,2,1,1,1,0,18,39,1,12,48,0,0,39,0,1,5,11,14,14,14,2,49,5,35,8,3,49,4,12,19,10,5,1,2.5454545454545454,2.017241698276156,3.2,2.4899799195977463,10.295454545454545,6.670237767996487,2.6666666666666665,1.5565231214608657
AR,ARG,Argentina,Buenos Aires,2020-12-22,2020-12-22,649,0,0,0,0,149,608,10463513.747474708,460,10,1,638,9,48,592,11,14,624,9,76,564,11,83,555,7,67,575,10,33,606,12,17,620,9,9,631,9,7,633,11,34,604,9,88,552,12,8,629,13,99,537,648,0,1,0,601,2,14,32,635,1,8,5,573,4,29,43,566,1,28,54,582,2,25,40,616,1,14,18,632,0,9,8,640,2,4,3,642,0,5,2,615,1,13,20,561,2,27,59,641,1,3,4,550,4,45,50,40,1,69,539,582,0,10,57,44,6,110,489,539,1,21,88,628,5,14,2,628,0,3,18,0,646,0,1,2,0,73,2,23,551,649,0,0,0,0,0,47,2,227,204,101,68,69,45,214,205,116,69,51,314,143,72,69,40,282,151,107,69,42,240,149,149,69,54,80,130,316,0,627,8,6,8,627,9,3,10,627,8,7,7,627,11,3,8,627,9,4,9,627,11,2,9,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,649,0,0,0,76,12,181,380,76,7,464,102,76,14,121,438,76,14,297,262,76,14,64,495,76,8,167,398,83,1,306,259,343,0,222,47,26,11,91,4,5,45,185,319,91,5,551,2,100,3,109,437,100,0,467,56,7,1,1,17,100,0,117,167,184,81,105,2,153,270,89,30,649,649,469,1,175,4,189,12,446,2,531,5,104,9,354,7,182,106,585,1,48,15,482,8,157,2,109,2,7,23,75,133,300,109,1,9,30,62,125,313,120,4,204,220,60,41,120,0,68,119,140,202,120,0,158,174,110,87,321,17,245,66,321,84,66,178,321,75,106,147,135,2,258,254,395,0,113,141,543,5,19,1,11,10,7,3,50,288,3,5,27,12,38,5,9,32,20,0,23,25,17,6,8,131,172,4,144,322,2,5,172,1,58,115,110,86,59,39,9,182,11,376,71,9,182,5,134,194,100,24,10,2.780797413793103,2.104451556277919,2.3333333333333335,1.7040994109088492,11.483644859813083,6.378918277693044,2.8187919463087248,1.4901185341623915
AR,ARG,Argentina,C<c3><b3>rdoba,2020-12-22,2020-12-22,240,0,0,0,0,94,224,1795086.2799765093,175,2,2,236,4,16,220,4,4,232,4,33,203,3,39,198,3,27,210,3,11,226,3,5,232,4,7,229,3,3,234,3,11,226,4,32,204,3,3,234,3,29,208,238,0,1,1,224,0,9,7,236,0,1,3,207,0,9,24,201,1,13,25,213,0,13,14,229,0,5,6,235,0,4,1,233,0,6,1,237,0,2,1,229,0,7,4,208,0,11,21,237,0,1,2,211,1,12,16,16,0,34,190,206,0,10,24,18,3,66,153,174,0,9,57,231,1,8,0,231,0,0,9,0,240,0,0,0,0,31,3,17,189,240,0,0,0,0,0,23,1,77,71,46,22,29,16,75,82,38,29,11,122,55,23,29,15,88,73,35,29,18,68,57,68,29,22,16,46,127,0,224,10,1,5,224,10,2,4,224,5,8,3,224,9,2,5,224,10,1,5,224,10,1,5,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,30,4,56,150,30,4,164,42,30,6,59,145,30,5,93,112,30,5,24,181,30,4,26,180,31,0,109,100,131,0,67,30,7,5,33,2,1,16,69,119,33,2,205,0,35,2,47,156,35,0,169,24,1,3,0,8,35,1,42,60,69,33,37,2,53,100,39,9,240,240,184,1,55,0,76,4,159,1,181,1,55,3,147,1,60,32,216,2,14,8,214,0,25,1,39,4,3,6,24,31,133,39,0,2,8,29,47,115,43,2,72,94,18,11,43,0,23,40,51,83,43,0,53,65,45,34,122,7,92,19,122,30,33,55,122,28,37,53,46,0,115,79,161,0,32,47,209,3,5,1,0,3,1,2,16,95,2,7,6,7,10,1,4,14,6,0,16,10,10,4,4,44,59,3,54,121,0,3,59,0,15,29,57,30,32,13,5,64,3,133,34,6,64,1,41,78,43,13,0,2.3902439024390243,1.9736292168125673,3,2.212815338915096,11.829411764705883,6.607353327553102,2.8705882352941177,1.563551073557908
AR,ARG,Argentina,Chaco,2020-12-22,2020-12-21,100,0,0,0,0,46,94,1002598.4377307694,66,0,0,100,0,7,93,0,0,100,0,10,90,0,17,83,1,7,92,0,5,95,0,0,100,0,3,97,0,2,98,0,5,95,0,10,90,0,3,97,0,7,93,100,0,0,0,93,0,1,6,100,0,0,0,90,1,3,6,83,1,9,7,93,1,3,3,95,0,3,2,100,0,0,0,97,1,1,1,98,0,2,0,95,0,2,3,90,0,2,8,97,2,0,1,93,1,3,3,5,1,17,77,83,0,5,12,5,1,15,79,86,1,5,8,95,1,3,1,95,0,1,4,0,99,0,1,0,0,13,0,10,77,100,0,0,0,0,0,6,0,27,34,19,14,31,7,28,19,15,31,10,34,12,13,31,6,31,20,12,31,7,24,16,22,31,8,12,10,39,0,90,3,4,3,90,4,4,2,90,3,5,2,90,4,3,3,90,5,2,3,90,4,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,1,23,67,9,2,67,22,9,1,16,74,9,1,43,47,9,1,15,75,9,1,11,79,12,0,45,43,55,0,29,11,1,4,15,0,3,2,26,54,15,0,85,0,16,0,13,71,16,0,61,11,4,2,0,6,16,0,25,21,26,12,16,1,26,39,14,4,100,100,77,1,22,0,33,0,67,0,84,1,14,1,57,0,22,21,85,0,11,4,89,0,11,0,17,0,0,4,8,26,45,17,0,1,2,9,21,50,22,0,32,31,12,3,22,0,7,17,23,31,22,0,19,23,21,15,58,2,35,5,58,13,12,17,58,10,19,13,26,0,37,37,63,0,12,25,88,1,2,0,2,1,0,2,4,51,1,0,5,3,13,0,0,3,0,0,2,3,3,0,1,15,32,0,24,43,0,1,32,0,7,16,15,8,15,7,0,34,0,53,13,0,34,0,20,22,17,7,0,2.1379310344827585,1.7055400889670964,3.0714285714285716,3.1976983480739274,12.03968253968254,6.968999087723446,2.757575757575758,1.4577179853942
AR,ARG,Argentina,Ciudad Aut<c3><b3>noma de Buenos Aires,2020-12-22,2020-12-22,169,0,0,0,0,46,157,1135997.9612419144,125,0,0,169,1,9,159,0,2,167,0,17,152,1,21,147,2,14,153,0,9,160,1,3,165,1,2,166,1,0,168,0,9,160,1,23,145,1,2,166,0,30,139,169,0,0,0,160,0,3,6,167,0,1,1,152,0,7,10,148,0,8,13,155,0,4,10,160,0,5,4,166,0,1,2,167,0,2,0,169,0,0,0,160,0,2,7,146,0,14,9,167,0,2,0,139,0,12,18,11,1,22,135,148,0,4,17,13,0,35,121,134,0,10,25,159,0,10,0,159,0,2,8,0,167,0,1,1,0,23,4,4,138,169,0,0,0,0,0,15,0,60,54,27,13,19,6,52,64,28,19,9,82,43,16,19,8,71,40,31,19,7,59,42,42,19,7,13,40,90,0,165,1,1,2,165,1,1,2,165,1,0,3,165,0,2,2,165,0,1,3,165,1,0,3,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,22,3,48,96,22,0,116,31,22,0,49,98,22,1,75,71,22,2,13,132,22,2,45,100,23,0,77,69,92,0,53,14,5,5,23,0,0,14,56,76,23,0,146,0,25,2,27,115,25,0,119,17,2,1,0,5,25,0,31,35,60,18,25,2,30,78,27,7,169,169,121,1,46,1,53,1,115,0,120,0,49,0,94,0,57,18,156,0,11,2,124,1,44,0,26,1,1,4,15,41,81,26,0,2,5,23,35,78,27,2,57,54,18,11,27,1,14,21,38,68,27,0,42,41,29,30,88,5,64,12,88,18,11,52,88,15,24,42,31,0,74,64,105,1,33,30,137,3,8,0,1,3,2,2,13,63,0,0,4,1,13,1,4,7,5,2,9,12,8,2,1,37,38,4,55,68,1,3,38,1,10,37,28,21,18,14,2,43,3,120,2,1,43,1,45,47,23,8,2,2.4615384615384617,1.8798015443535112,2.411764705882353,1.5834623270468011,11.872881355932204,6.740040592042786,2.4958677685950414,1.348604012439955
