ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,Minsk,2020-12-21,2020-12-21,138,9,191767.5109793175,8,167742.4714326835,233,125,3268998.7360303067,106,3,20,115,2,38,98,2,13,123,3,68,67,2,57,79,4,39,95,3,24,111,3,18,117,4,11,123,2,24,112,4,25,109,3,40,95,4,22,112,1,54,83,119,2,14,3,101,4,18,15,126,1,10,1,72,5,31,30,82,4,21,31,100,1,24,13,115,2,12,9,121,1,14,2,127,1,6,4,115,1,20,2,115,3,15,5,98,2,21,17,117,1,16,4,87,5,27,19,12,1,69,56,70,0,33,35,13,1,63,61,75,1,32,30,106,22,5,5,106,8,24,0,130,0,2,5,1,47,2,43,46,138,14,0,23,42,30,29,107,1,9,8,13,107,3,7,9,12,107,2,10,9,10,107,1,5,4,21,107,1,1,3,26,95,14,12,17,95,16,12,15,95,18,10,15,95,19,9,15,95,20,4,19,95,17,14,12,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,19,7,53,59,19,2,90,27,19,5,41,73,19,4,65,50,19,6,23,90,19,3,40,76,20,0,66,52,72,0,37,13,6,10,22,0,0,11,50,55,22,0,116,0,24,1,33,80,24,0,72,27,4,9,0,2,24,0,31,31,26,26,24,0,18,50,33,13,24,0,14,100,0,27,1,23,86,1,85,1,47,5,48,3,81,6,97,0,36,5,73,4,47,14,115,1,18,4,98,3,35,2,30,2,1,10,26,25,44,30,1,1,13,26,28,39,31,1,34,60,9,3,31,1,1,18,33,54,31,0,17,43,28,19,78,7,42,11,78,17,23,20,78,17,26,17,31,2,73,32,106,17,15,121,0,1,0,2,0,6,1,7,48,1,2,12,3,8,1,6,8,9,1,4,9,2,0,1,23,31,2,39,65,0,1,31,0,5,24,31,21,21,5,0,31,4,83,11,9,31,3,28,48,21,4,3,10.39285714285714,9.278836987185821,3.981818181818182,2.7654676725305336,12.725961538461538,5.464305980009405,2.25,1.1666666666666667
BY,BLR,Belarus,Minsk,2020-12-22,2020-12-22,139,12,230367.5360821523,7,136690.4283466808,233,133,3152302.31172609,113,2,20,117,2,40,97,3,17,119,2,65,72,3,47,89,2,37,100,3,21,115,2,17,120,2,11,126,2,20,117,2,22,115,2,43,94,1,17,121,2,50,87,119,2,15,3,99,3,22,15,122,2,9,6,74,6,23,36,92,3,13,31,102,3,21,13,118,2,14,5,122,2,9,6,128,2,8,1,119,1,16,3,117,1,14,7,96,2,21,20,122,2,11,4,89,3,23,24,6,0,71,62,70,0,30,39,8,1,68,62,73,3,30,33,109,17,11,2,109,12,18,0,127,0,0,10,2,44,0,43,52,139,11,1,22,44,23,38,15,5,20,43,56,15,6,22,42,54,15,6,45,43,30,15,3,11,26,84,15,5,1,8,110,97,16,7,19,97,17,7,18,97,12,15,15,97,18,7,17,97,16,8,18,97,13,16,13,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,17,4,55,63,17,2,87,33,17,6,33,83,17,3,59,60,17,4,25,93,17,2,40,80,19,0,65,55,74,0,39,16,4,6,19,1,2,9,48,60,19,0,120,0,21,1,31,86,21,0,89,19,2,1,3,4,21,0,38,24,32,24,21,2,18,52,35,11,21,0,20,95,3,22,0,21,94,2,85,2,52,0,53,3,81,2,106,3,24,6,81,3,40,15,114,1,21,3,99,2,36,2,23,2,8,3,23,32,48,23,0,6,10,26,29,45,24,1,42,57,13,2,24,0,6,15,33,61,24,1,22,42,25,25,75,1,51,12,75,19,19,26,75,18,19,27,24,0,75,40,99,25,15,115,1,1,0,2,0,6,2,12,41,0,1,15,6,7,1,10,3,8,0,8,15,2,1,2,19,26,2,44,66,0,1,26,0,8,25,42,28,9,1,0,26,2,92,13,6,26,3,31,47,25,6,1,8,8.125281657899745,4,2.9588370994585147,12.781553398058252,5.396835448428534,2.3703703703703702,1.0101595376228099
BY,BLR,Belarus,Minsk,2020-12-23,2020-12-23,120,12,289109.1680050854,10,259363.5150204131,171,115,2792925.7817045497,98,4,18,98,2,30,88,3,14,103,2,55,63,3,46,71,1,36,83,3,30,87,2,18,100,4,6,110,3,22,95,3,19,98,3,33,84,3,18,99,2,40,78,102,4,10,4,90,4,10,16,106,1,8,5,65,7,24,24,74,4,21,21,84,4,15,17,90,2,17,11,102,2,9,7,114,0,5,1,98,1,20,1,101,3,11,5,87,6,7,20,102,4,10,4,80,4,17,19,4,1,62,53,59,1,31,29,5,1,55,59,65,2,18,35,102,12,6,0,102,9,9,0,111,0,1,8,0,26,0,41,53,120,5,0,16,40,29,30,5,5,21,40,49,5,5,31,33,46,5,5,44,28,38,5,8,14,23,70,5,7,4,9,95,79,18,5,18,79,18,10,13,79,18,8,15,79,18,14,9,79,21,7,13,79,17,17,7,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,6,2,53,59,6,5,79,30,6,9,20,85,6,4,55,55,6,7,17,90,6,7,34,73,8,0,55,57,65,0,32,11,6,6,8,1,2,12,35,62,8,1,110,1,8,2,29,81,8,0,75,26,6,1,0,4,8,0,38,22,29,23,8,1,34,50,22,5,10,0,13,92,5,13,0,20,87,0,67,1,47,5,41,1,78,0,100,1,18,1,65,5,35,15,103,1,11,5,86,2,31,1,16,2,0,9,19,34,40,16,1,1,9,25,32,36,17,1,47,49,4,2,17,0,5,17,28,53,17,0,19,40,29,15,61,7,37,15,61,18,21,20,61,16,23,20,19,1,73,27,93,13,14,108,0,1,0,0,0,4,0,7,35,0,4,10,4,8,3,6,7,9,1,2,14,1,3,2,11,20,1,43,55,0,1,20,0,4,20,31,25,16,4,0,22,5,75,14,4,22,4,23,39,25,5,2,9.19047619047619,8.614188618415733,3.2244897959183674,2.592178187374865,12.322916666666666,5.302422071521788,2.5483870967741935,1.1278695676233257
BY,BLR,Belarus,-99,2020-12-24,2020-12-21,100,4,76954.7745647804,3,55877.3400570977,150,89,2294024.362161483,59,9,7,84,10,17,73,12,8,80,6,49,45,10,24,66,13,14,73,13,8,79,9,16,75,12,5,83,10,11,79,13,9,78,14,24,62,13,11,76,9,32,59,93,1,4,2,83,1,9,7,92,0,7,1,51,4,21,24,76,1,10,13,86,1,8,5,92,1,4,3,84,0,13,3,95,0,3,2,89,1,8,2,91,0,5,4,76,1,8,15,89,1,5,5,68,2,16,14,11,0,46,43,56,0,20,24,14,2,43,41,57,1,12,30,88,8,3,1,88,3,9,0,97,0,2,1,0,29,0,16,55,100,16,3,13,29,15,24,22,5,17,19,37,22,11,22,13,32,22,12,23,19,24,22,15,13,19,31,22,17,3,6,52,85,8,1,6,85,8,3,4,85,9,3,3,85,7,4,4,85,10,1,4,85,8,4,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,5,44,29,22,2,64,12,22,5,18,55,22,2,37,39,22,5,6,67,22,2,33,43,24,0,37,39,63,0,20,7,4,6,24,0,0,5,30,41,24,0,75,1,25,0,26,49,25,0,55,14,3,1,0,2,25,1,24,9,23,18,27,1,18,30,20,4,27,1,11,60,1,27,2,9,61,1,56,1,40,3,36,1,59,4,82,1,15,2,63,1,28,8,94,0,5,1,67,0,32,1,28,1,2,1,18,21,29,28,1,2,4,22,15,28,30,1,23,32,9,5,30,0,9,10,13,38,30,0,19,23,19,9,59,13,22,6,59,22,8,11,59,18,13,10,31,1,34,34,66,8,26,93,2,0,0,0,1,1,0,3,59,0,0,7,2,7,0,2,5,9,0,1,2,0,0,1,5,37,2,12,47,1,1,37,1,0,3,22,20,11,5,1,40,2,26,20,12,40,1,19,19,17,2,2,9.30188679245283,10.018415554253417,4.586206896551724,3.332922799021372,13.058823529411764,6.21019086568483,2.0714285714285716,1.1576958755475206
BY,BLR,Belarus,Minsk,2020-12-24,2020-12-24,107,11,217465.8758318538,7,148564.39874419,187,103,2706744.301905978,76,3,12,92,3,28,76,4,11,92,1,57,49,1,41,65,4,21,82,4,20,83,3,17,87,4,10,93,3,17,87,4,21,82,3,30,74,4,14,89,0,39,68,95,0,12,0,79,2,17,9,96,2,6,3,50,3,29,25,66,4,22,15,86,4,15,2,87,2,7,11,90,2,9,6,97,2,5,3,90,0,17,0,86,2,10,9,77,4,15,11,93,1,11,2,68,6,22,11,3,1,55,48,54,0,27,26,5,1,50,51,57,1,16,33,91,12,4,0,91,5,11,0,102,0,1,4,0,23,0,33,51,107,8,1,25,26,23,24,11,5,27,31,33,11,8,22,29,37,11,6,34,28,28,11,6,19,20,51,11,8,5,13,70,75,9,11,12,75,13,4,15,75,12,6,14,75,12,8,12,75,15,3,14,75,12,10,10,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,13,3,49,42,13,2,77,15,13,4,33,57,13,3,52,39,13,3,23,68,13,2,33,59,14,2,57,34,50,0,28,11,13,5,16,0,0,12,35,44,16,0,91,0,18,0,23,66,18,0,58,16,7,2,3,3,18,0,32,6,26,25,18,1,14,40,18,16,18,0,7,81,1,22,0,3,82,0,58,2,38,9,30,4,68,5,74,2,26,5,55,2,35,15,84,2,12,9,74,2,29,2,23,1,3,8,19,19,34,23,0,0,6,24,21,33,24,0,28,42,7,6,24,0,4,7,24,48,24,0,12,31,21,19,67,4,30,6,67,17,9,14,67,18,10,12,28,2,53,24,83,10,14,97,1,0,0,1,1,1,2,4,45,0,1,7,2,7,2,5,5,5,0,3,8,1,0,3,13,30,0,30,46,1,0,30,1,3,17,23,20,9,3,1,31,4,58,8,6,31,2,20,34,19,1,0,9.391304347826088,8.918284903870164,3.8085106382978724,2.490314262273813,13.63013698630137,5.455646538004528,2.26027397260274,1.1058857342555029
BY,BLR,Belarus,-99,2020-12-25,2020-12-23,100,4,154751.79626549617,2,34340.8813130082,153,87,2366186.413066941,57,11,8,81,13,20,67,15,8,77,9,43,48,11,26,63,16,17,67,14,16,70,12,11,77,14,8,78,12,8,80,14,14,72,15,29,56,17,11,72,12,37,51,92,1,6,1,80,3,12,5,92,1,6,1,57,3,21,19,74,1,12,13,83,0,12,5,84,1,10,5,89,0,8,3,92,0,6,2,92,0,7,1,86,0,7,7,71,2,13,14,89,0,8,3,63,2,19,16,13,0,50,37,52,0,18,30,17,1,40,42,60,2,11,27,89,6,3,2,89,2,9,0,98,0,2,0,0,31,3,18,48,100,17,3,14,28,15,23,22,6,19,22,31,22,14,22,15,27,22,14,21,21,22,22,18,10,22,28,22,19,3,8,48,82,9,1,8,82,8,3,7,82,8,7,3,82,7,4,7,82,10,1,7,82,9,4,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,5,40,32,23,3,66,8,23,6,17,54,23,3,35,39,23,6,8,63,23,2,28,47,24,1,36,39,64,0,16,7,6,7,24,0,1,5,26,44,24,0,75,1,26,0,31,43,26,0,60,7,5,1,0,1,26,1,18,10,25,20,28,1,18,32,16,5,28,1,13,57,1,28,1,10,60,1,60,2,37,1,34,2,60,4,83,1,15,1,65,3,24,8,92,0,7,1,72,1,27,0,29,1,0,4,14,18,34,29,1,0,7,20,12,31,32,1,20,35,7,5,32,0,8,12,16,32,32,0,19,22,16,11,60,12,20,8,60,20,11,9,60,17,16,7,33,1,34,32,68,9,23,93,3,0,0,0,1,1,0,2,59,0,0,10,1,9,2,0,6,6,0,1,1,0,0,0,5,38,3,10,48,1,0,38,1,0,5,21,20,9,5,1,42,1,26,18,13,42,1,16,18,19,2,2,8.24,8.968334316257577,4.32258064516129,3.310459150170295,12.127450980392156,5.6363491173408535,2.1454545454545455,1.16138776850006
BY,BLR,Belarus,Minsk,2020-12-25,2020-12-25,128,12,323380.1953397733,11,299534.0949584639,193,121,3160925.939799112,101,1,17,110,3,37,88,2,15,111,0,67,61,2,54,72,2,40,86,2,29,97,2,19,107,2,9,117,1,23,104,2,22,104,2,36,90,1,20,107,1,50,77,111,2,10,5,91,2,19,16,113,1,11,3,61,5,27,35,74,3,23,28,88,3,25,12,99,3,13,13,109,3,12,4,119,1,6,2,105,2,17,4,106,2,11,9,92,2,18,16,108,3,11,6,78,5,25,20,6,1,66,55,62,0,31,35,7,3,52,66,76,0,25,27,103,20,5,0,103,7,18,0,121,0,1,6,0,35,0,45,48,128,9,0,23,41,26,29,11,2,27,37,51,11,5,29,33,50,11,6,53,29,29,11,8,12,18,79,11,8,4,4,101,84,13,13,18,84,15,9,20,84,15,14,15,84,18,5,21,84,16,7,21,84,13,16,15,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,14,5,51,58,14,1,82,31,14,5,30,79,14,5,51,58,14,5,16,93,14,4,43,67,14,0,59,55,69,0,32,18,6,3,16,0,0,10,42,60,16,0,112,0,16,0,29,83,16,0,80,16,3,3,2,8,16,0,43,14,29,26,17,1,25,57,18,10,17,0,25,85,1,18,0,14,95,1,77,2,45,4,46,1,76,5,98,0,27,3,77,1,39,11,112,0,13,3,85,1,40,2,18,1,0,11,29,33,36,18,1,0,14,24,32,39,20,2,42,51,8,5,20,0,6,17,27,58,20,0,28,38,15,27,62,6,54,6,62,25,20,21,62,22,23,21,21,1,69,37,91,18,19,110,1,0,0,2,0,5,0,10,42,0,0,15,3,12,4,2,8,11,0,5,10,0,2,3,11,25,3,44,54,0,2,25,1,6,15,42,19,15,5,0,25,1,86,12,4,25,1,29,46,26,0,1,8.659090909090908,9.048891928908525,3.4901960784313726,2.344120722314513,12.926315789473684,5.118265383654309,2.2549019607843137,1.1317757405629483
BY,BLR,Belarus,-99,2020-12-26,2020-12-23,100,3,133674.3617578135,2,34340.8813130082,149,86,2344936.4245509286,56,10,8,82,12,20,68,13,8,79,8,37,55,8,29,63,14,16,70,11,16,73,12,9,79,13,9,78,11,9,80,12,12,76,12,29,59,15,10,75,10,39,51,92,1,5,2,80,4,12,4,92,2,5,1,63,3,21,13,71,3,10,16,84,1,13,2,84,2,8,6,91,1,6,2,91,0,7,2,91,0,8,1,88,0,4,8,71,3,14,12,90,0,7,3,61,4,20,15,13,1,53,33,49,0,23,28,17,4,34,45,66,1,8,25,92,2,5,1,92,3,5,0,97,0,2,1,0,30,3,21,46,100,18,3,12,19,13,35,23,3,18,18,38,23,14,15,17,31,23,14,21,16,26,23,17,9,16,35,23,17,3,8,49,80,14,1,5,80,12,4,4,80,10,9,1,80,12,4,4,80,14,2,4,80,13,4,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,5,36,33,26,3,59,12,26,6,19,49,26,2,37,35,26,6,12,56,26,3,29,42,26,2,40,32,60,0,19,8,3,10,26,0,1,8,30,35,26,1,73,0,28,0,25,47,28,0,59,7,3,1,1,1,28,1,14,10,22,25,29,1,13,30,17,10,29,0,12,58,1,29,0,12,58,1,64,4,31,1,41,4,50,5,81,2,15,2,63,6,22,9,88,2,8,2,71,2,25,2,29,2,0,5,12,12,40,29,2,0,4,21,11,33,31,1,20,36,7,5,31,0,2,11,21,35,31,0,15,29,14,11,59,12,21,8,59,21,12,8,59,23,13,5,35,0,37,28,72,6,22,95,1,0,0,0,0,1,0,3,58,0,0,9,1,7,3,1,7,5,0,0,2,1,1,1,4,39,4,9,48,0,0,39,1,0,4,20,21,11,4,0,42,1,27,18,12,42,1,16,19,19,1,2,7.869565217391304,8.48163688513059,4.555555555555555,3.5662233129669145,11.538461538461538,6.069730550796799,2.375,1.1210790256793595
BY,BLR,Belarus,Brest,2020-12-26,2020-12-22,100,6,119886.67367256209,4,67911.0957945937,131,90,2592653.5412824005,70,3,8,89,3,22,75,3,8,89,1,46,53,2,26,72,3,29,68,2,18,80,3,13,84,2,5,93,2,9,89,3,14,83,2,27,71,3,14,83,4,25,71,92,1,6,1,78,2,14,6,92,1,7,0,54,6,23,17,74,2,19,5,71,3,14,12,82,1,15,2,87,0,11,2,95,1,4,0,91,1,7,1,86,2,9,3,73,2,16,9,86,1,11,2,75,2,17,6,10,0,51,39,50,0,14,36,11,0,39,50,62,1,12,25,88,8,4,0,88,3,9,0,97,0,1,2,0,25,3,25,47,100,13,0,9,26,22,30,14,5,16,22,43,14,7,16,27,36,14,4,29,23,30,14,9,7,26,44,14,10,2,9,65,76,13,3,8,76,11,4,9,76,9,8,7,76,11,8,5,76,11,4,9,76,12,4,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,3,39,42,16,2,72,10,16,7,27,50,16,2,53,29,16,5,20,59,16,3,26,55,18,0,48,34,52,0,31,7,4,6,19,0,2,4,31,44,19,0,81,0,19,0,17,64,19,0,54,20,2,1,2,2,19,0,25,11,24,21,20,2,13,29,30,6,20,0,8,72,0,20,1,9,70,0,61,1,35,3,28,1,69,2,73,1,21,5,47,1,37,15,80,0,17,3,74,0,24,2,22,1,0,7,16,23,31,22,1,0,6,21,24,26,23,1,24,44,3,5,23,0,1,12,27,37,23,0,9,32,28,8,60,4,26,10,60,16,5,19,60,12,14,14,24,0,49,27,73,10,17,90,2,0,0,1,1,1,0,5,43,0,2,7,3,8,1,1,4,7,0,4,0,4,0,4,12,26,0,25,48,0,1,26,0,3,6,31,16,12,6,0,29,0,18,41,12,29,0,10,37,19,4,1,6.081632653061225,5.985526761467606,3.1621621621621623,1.7875108937276987,12.25,6.057867710179041,2.5223880597014925,1.105882466153695
BY,BLR,Belarus,Homyel',2020-12-26,2020-12-21,100,5,80184.0914915682,4,68510.4292232038,162,95,2846213.749536535,72,2,11,87,4,25,71,3,16,81,2,46,52,2,38,60,3,24,73,4,8,88,4,17,79,4,6,90,2,14,84,4,26,70,2,25,73,4,14,82,2,37,61,89,2,6,3,75,0,9,16,84,1,13,2,54,4,24,18,62,3,15,20,76,2,17,5,92,0,3,5,83,1,14,2,94,0,3,3,86,2,10,2,74,3,18,5,75,2,10,13,86,1,10,3,63,4,17,16,4,1,58,37,43,0,20,37,5,0,45,50,55,1,19,25,81,15,3,1,81,9,10,0,91,0,3,5,1,25,0,34,41,100,8,0,14,21,23,34,12,3,23,17,45,12,4,23,24,37,12,4,30,20,34,12,5,13,19,51,12,5,6,5,72,68,13,5,14,68,15,5,12,68,11,9,12,68,15,5,12,68,13,6,13,68,11,14,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,4,41,41,14,2,67,17,14,4,25,57,14,2,47,37,14,5,14,67,14,3,29,54,17,1,45,37,55,0,32,6,4,3,17,0,1,8,42,32,17,0,83,0,17,0,25,58,17,0,53,15,7,2,1,5,17,0,36,9,19,19,17,1,14,39,22,7,19,0,12,69,0,21,1,13,64,1,59,3,34,4,33,3,61,3,75,2,19,4,53,3,32,12,86,2,9,3,71,3,20,6,22,3,0,3,17,20,35,22,2,0,3,19,21,33,22,0,25,44,6,3,22,0,2,16,23,37,22,0,14,36,11,17,51,8,29,12,51,11,24,14,51,12,22,15,23,0,50,27,73,14,13,86,1,0,0,1,0,6,0,6,38,0,0,7,6,8,2,1,5,10,2,0,4,3,0,2,12,25,2,31,42,0,0,25,0,3,15,25,20,10,2,0,27,2,30,38,3,27,2,10,41,17,2,1,9.804848484848485,9.167988495499602,3.2955555555555556,2.4557868166615946,12.553846153846154,5.454444200691904,2.357142857142857,1.1038235823876914
