ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DK,DNK,Denmark,Hovedstaden,2020-12-21,2020-12-21,305,2,13462.814496987452,1,11101.247301810201,111,298,853912.9656715267,271,1,3,301,1,39,265,1,13,291,1,32,272,1,66,238,1,28,276,1,26,278,1,7,297,1,15,289,1,3,301,1,6,298,1,57,247,1,9,295,1,37,267,302,0,2,1,266,0,16,23,292,0,5,8,273,0,12,20,239,2,16,48,277,0,8,20,279,0,8,18,298,0,3,4,290,1,7,7,302,0,3,0,299,0,4,2,248,1,16,40,296,1,4,4,268,2,14,21,5,2,51,247,254,0,11,40,5,2,232,66,73,4,125,103,180,0,3,111,11,180,0,5,120,300,0,5,0,136,4,25,140,305,0,0,0,0,0,6,0,182,88,21,8,245,1,17,38,4,245,2,25,32,1,245,1,28,28,3,245,1,38,19,2,245,2,13,39,6,0,280,7,14,4,280,13,0,12,280,13,2,10,280,11,4,10,280,11,3,11,280,10,2,13,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,8,0,55,242,8,0,199,98,8,0,14,283,8,0,145,152,8,0,3,294,8,1,36,260,8,0,142,155,163,0,111,19,7,5,11,0,2,11,82,199,11,1,292,1,13,1,44,247,13,0,41,86,116,37,6,6,13,0,45,81,132,34,14,2,55,150,76,8,14,0,105,184,2,15,3,83,200,4,250,0,36,19,106,0,198,1,291,0,12,2,160,0,39,106,302,0,2,1,269,1,34,1,16,2,3,2,15,55,212,16,0,2,7,15,68,197,18,4,55,128,83,17,18,0,2,3,28,254,18,0,6,15,67,199,284,1,15,5,284,5,1,15,284,4,3,14,19,1,117,168,137,0,32,136,276,1,2,2,2,4,0,1,17,161,0,2,20,4,18,2,6,17,3,0,4,19,11,2,3,33,30,1,101,171,1,1,30,1,20,34,35,44,59,58,24,32,7,179,63,24,32,3,130,71,48,16,5,5.641379310344828,7.417767579404801,2.25531914893617,1.390465750971719,9.644787644787645,6.079996577709813,2.1755725190839694,1.1378605725045123
DK,DNK,Denmark,Midtjylland,2020-12-21,2020-12-21,285,1,2998.22206966039,0,0,90,277,827663.836767726,241,0,4,281,1,38,246,1,10,274,0,24,261,1,60,224,0,20,265,0,23,262,1,5,279,1,5,279,1,5,279,1,8,276,1,43,241,1,3,281,1,22,262,281,0,4,0,248,3,10,24,275,1,1,8,261,2,9,13,226,3,16,40,265,0,4,16,262,2,9,12,280,0,3,2,280,0,3,2,280,0,4,1,277,1,5,2,242,1,10,32,282,0,2,1,263,1,11,10,8,0,43,234,243,0,12,30,9,5,205,66,80,3,88,114,197,0,6,77,5,197,0,1,87,284,0,1,0,106,2,22,155,285,0,0,0,0,0,12,1,162,81,21,8,247,2,12,23,1,247,4,14,18,2,247,4,15,18,1,247,3,22,13,0,247,4,7,19,8,0,264,1,8,12,264,3,1,17,264,3,1,17,264,2,5,14,264,3,1,17,264,3,1,17,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,16,1,54,214,16,1,172,96,16,1,12,256,16,1,151,117,16,1,9,259,16,2,16,251,18,0,144,123,141,1,118,21,4,0,19,2,0,11,63,190,19,2,264,0,21,1,36,227,21,0,42,85,87,40,7,3,21,0,35,72,99,58,21,3,31,134,85,11,21,0,85,178,1,25,1,59,196,4,231,0,27,27,113,1,169,2,273,0,11,1,135,2,52,96,276,1,2,6,269,1,15,0,28,1,0,0,11,37,208,28,1,1,5,17,61,172,30,1,38,127,77,12,30,0,1,1,28,225,30,0,7,10,49,189,268,0,13,4,268,4,2,11,268,4,3,10,33,2,93,157,128,0,28,129,261,0,6,1,1,1,1,1,13,169,0,1,12,5,13,1,4,18,13,0,2,5,7,2,6,27,39,6,100,140,0,0,39,1,21,23,33,54,55,44,15,43,2,104,69,67,43,0,86,55,72,21,8,6.140350877192983,7.082169050500452,2.175,1.3182642044827406,8.278991596638656,5.853822350365078,2.301255230125523,1.3065922438644477
DK,DNK,Denmark,Nordjylland,2020-12-21,2020-12-21,137,0,0,0,0,36,133,364092.100193637,111,1,0,136,1,19,117,2,2,133,2,13,122,1,23,113,2,14,121,1,7,129,2,1,134,2,5,130,2,1,134,2,4,131,2,21,114,2,3,132,2,10,125,137,0,0,0,118,0,4,15,135,0,0,2,124,0,2,11,114,0,5,18,124,0,2,11,130,0,3,4,136,0,0,1,132,0,3,2,136,0,1,0,133,0,3,1,116,0,3,18,134,0,1,2,127,0,2,8,4,0,17,116,120,0,5,12,5,1,118,13,19,1,40,77,97,0,0,37,3,97,0,1,39,136,0,1,0,47,3,14,73,137,0,0,0,0,0,6,0,77,38,12,4,118,1,5,12,1,118,1,8,9,1,118,2,7,10,0,118,1,8,10,0,118,1,3,14,1,0,124,2,4,7,124,4,1,8,124,5,0,8,124,4,2,7,124,4,2,7,124,5,1,7,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,137,0,0,0,13,1,31,92,13,1,78,45,13,1,4,119,13,1,65,58,13,0,3,121,13,1,6,117,14,1,65,57,72,0,49,14,2,0,14,0,0,5,19,99,14,2,121,0,16,0,26,95,16,0,25,36,42,18,0,0,16,0,22,30,45,24,16,2,23,60,31,5,16,0,41,79,1,18,0,31,84,4,106,0,15,16,59,0,78,0,133,0,4,0,72,0,21,44,134,0,3,0,131,0,6,0,22,1,0,2,4,17,91,22,0,0,1,7,19,88,22,0,27,54,25,9,22,0,1,1,10,103,22,0,1,8,24,82,128,2,6,1,128,3,1,5,128,2,3,4,24,2,35,76,61,0,9,67,128,0,2,0,0,1,0,0,6,93,0,1,5,2,2,1,0,3,4,0,2,3,2,0,4,15,25,0,46,66,0,0,25,0,9,10,8,30,32,18,5,26,3,44,30,34,26,1,53,30,20,7,0,7.549019607843137,8.422146342804062,2.1176470588235294,1.1663164740528442,8.75,6.269828359975367,2.074074074074074,1.1737288109118542
DK,DNK,Denmark,Sj<c3><a6>lland,2020-12-21,2020-12-21,231,1,2183.7775474407104,0,0,66,225,633168.883594336,183,4,2,225,4,28,199,3,6,222,2,22,207,3,41,187,3,24,204,3,13,215,2,9,220,4,8,219,5,3,223,4,4,223,3,39,189,5,7,219,4,15,212,229,0,2,0,203,1,6,21,226,0,2,3,209,2,7,13,191,2,9,29,207,3,8,13,218,1,6,6,223,2,1,5,223,0,4,4,228,1,1,1,227,2,2,0,193,3,6,29,224,2,4,1,216,2,5,8,6,0,29,196,204,0,8,19,8,5,152,66,80,2,61,88,170,0,3,54,4,170,0,0,61,231,0,0,0,77,2,28,124,231,0,0,0,0,0,10,1,123,70,19,8,212,1,2,14,2,212,0,8,11,0,212,0,7,11,1,212,0,10,8,1,212,1,2,12,4,0,204,3,13,11,204,10,3,14,204,10,0,17,204,9,3,15,204,9,5,13,204,10,1,16,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,18,1,38,174,18,0,145,68,18,1,7,205,18,1,97,115,18,2,5,206,18,3,16,194,20,0,91,120,140,0,68,18,3,2,21,3,0,7,53,147,21,4,205,1,25,3,36,167,25,0,39,69,66,23,3,6,25,0,34,71,76,25,25,1,48,103,43,11,26,0,70,133,2,31,0,58,137,5,193,1,26,11,87,0,142,2,225,0,6,0,135,1,37,58,226,0,5,0,215,0,15,1,33,5,0,1,7,29,156,33,1,1,4,9,41,142,33,1,46,83,53,15,33,0,1,1,22,174,33,0,9,5,40,144,217,0,14,0,217,3,2,9,217,3,2,9,33,1,57,140,91,1,24,115,211,0,2,1,2,0,1,0,14,154,0,2,6,5,7,2,3,16,3,0,2,3,7,1,6,14,43,7,79,101,1,0,43,2,5,18,27,42,30,45,19,47,9,50,60,65,47,3,80,50,36,11,4,6.778409090909091,8.107701020062407,2.423076923076923,1.6290629680421054,8.248571428571429,5.982463425471987,2.1988636363636362,1.22833167397845
DK,DNK,Denmark,Syddanmark,2020-12-21,2020-12-21,267,0,0,0,0,52,262,664963.8755374695,230,1,0,266,0,33,234,1,6,260,1,21,245,0,47,220,1,31,235,1,21,245,0,2,265,1,11,255,1,2,264,0,5,262,1,39,227,1,2,264,1,21,245,267,0,0,0,234,0,10,23,261,1,2,3,246,1,6,14,220,1,14,32,236,1,4,26,246,1,6,14,265,0,1,1,256,1,4,6,265,0,0,2,262,0,1,4,228,1,7,31,265,0,2,0,246,1,5,15,4,1,31,231,236,0,12,19,5,5,176,81,91,2,73,101,194,0,3,65,5,194,0,1,72,266,0,1,0,85,1,20,161,267,0,0,0,0,0,5,0,146,86,23,7,229,1,7,26,4,229,3,13,19,3,229,2,16,17,3,229,2,18,16,2,229,2,6,23,7,0,247,3,8,9,247,1,2,17,247,3,0,17,247,3,5,12,247,2,2,16,247,0,4,16,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,267,0,0,0,12,3,60,192,12,0,174,81,12,1,7,247,12,0,141,114,12,1,3,251,12,1,8,246,14,0,129,124,138,0,96,24,6,3,15,1,1,9,59,182,15,2,250,0,21,1,50,195,21,0,38,80,84,36,7,1,21,0,43,62,102,39,21,2,35,136,66,7,22,0,109,135,1,23,3,79,159,3,207,0,36,24,93,0,172,2,260,0,5,2,126,1,48,92,264,0,3,0,259,0,8,0,23,1,0,0,13,46,184,23,0,0,4,17,38,185,24,3,46,102,74,18,24,2,0,5,29,207,24,1,6,9,56,171,254,2,11,0,254,4,2,7,254,6,0,7,26,1,72,168,99,1,24,143,246,0,3,2,3,1,0,0,12,174,0,0,13,9,9,1,1,15,4,0,5,6,3,2,4,21,32,2,83,148,0,2,32,0,13,26,19,49,50,57,21,35,10,90,65,67,35,4,108,57,38,15,10,5.805825242718447,6.870023335901207,1.7777777777777777,1.12089707663561,7.87719298245614,5.312093012556111,2.1538461538461537,1.1808495223378777
DK,DNK,Denmark,-99,2020-12-22,2020-12-21,100,0,0,0,0,24,95,302713.86028689815,68,1,1,98,2,11,87,1,1,98,1,6,93,2,20,78,3,11,86,3,4,93,2,1,97,3,5,92,2,3,95,2,2,96,2,15,83,3,0,97,3,6,91,99,0,1,0,89,2,4,5,99,0,0,1,94,0,2,4,80,1,6,13,89,1,0,10,96,0,1,3,99,0,1,0,95,0,1,4,97,0,2,1,98,0,2,0,85,0,6,9,100,0,0,0,94,1,2,3,4,1,14,81,87,0,3,10,5,2,64,29,36,2,27,35,73,0,2,24,1,73,0,0,27,100,0,0,0,36,1,6,57,100,0,0,0,0,0,7,2,45,31,9,6,26,8,26,35,5,26,10,30,26,8,26,9,27,30,8,26,7,36,26,5,26,11,13,39,11,0,95,1,2,2,95,3,0,2,95,3,0,2,95,3,0,2,95,2,1,2,95,3,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,2,12,70,16,1,60,23,16,2,2,80,16,1,47,36,16,2,2,80,16,0,10,74,19,0,30,51,70,0,27,3,0,0,20,0,0,0,22,58,20,1,79,0,21,2,12,65,21,0,18,24,23,13,0,1,21,0,20,19,32,8,22,3,19,35,17,4,22,0,34,40,4,24,1,33,40,2,88,0,5,7,41,2,55,2,98,0,2,0,53,1,18,28,98,0,2,0,90,0,9,1,24,0,0,0,6,12,58,24,0,0,2,5,15,54,24,2,18,38,16,2,24,1,1,2,5,67,24,0,3,4,12,57,93,1,4,2,93,2,2,3,93,3,1,3,24,1,17,58,42,0,8,50,93,0,1,0,0,0,3,0,3,77,0,0,4,1,3,1,1,5,1,0,0,0,0,0,2,5,31,4,23,42,0,0,31,2,2,3,4,11,19,18,10,32,6,31,17,14,32,2,31,24,9,1,1,5.2,4.873698921401545,2.25,1.752549163769328,5.5423728813559325,4.550756033809316,1.7213114754098358,0.9854127314816469
DK,DNK,Denmark,Hovedstaden,2020-12-22,2020-12-22,369,1,2891.8849446289205,1,2891.8849446289205,145,358,964437.4689823937,307,1,4,364,1,43,325,1,6,362,1,46,322,1,62,306,1,36,332,0,23,346,1,6,362,1,13,355,1,6,362,1,7,361,1,64,304,1,13,355,1,43,325,365,0,2,2,326,1,11,31,363,0,2,4,323,1,12,33,307,0,17,45,333,1,13,22,346,0,11,12,363,0,3,3,356,1,1,11,363,0,6,0,362,0,4,3,305,0,18,46,356,0,6,7,326,1,15,27,11,0,64,294,306,0,13,50,13,5,276,75,94,8,148,119,221,0,5,129,14,221,0,10,138,359,1,9,0,175,4,31,159,369,0,0,0,0,0,19,1,235,83,24,7,29,10,68,238,24,29,15,149,166,10,29,13,147,167,13,29,13,179,137,11,29,17,47,226,50,0,341,0,15,13,341,5,1,22,341,5,1,22,341,5,2,21,341,5,3,20,341,5,2,21,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,369,0,0,0,32,1,69,267,32,0,244,93,32,0,21,316,32,1,172,164,32,0,4,333,32,0,49,288,35,0,164,170,205,0,138,22,2,2,36,2,0,14,78,239,36,1,331,1,38,3,50,278,38,0,61,110,116,39,5,0,38,0,61,83,152,35,38,2,65,175,74,15,42,1,114,210,2,45,0,101,217,6,301,0,45,23,126,1,237,5,348,0,17,4,198,0,63,108,366,0,2,1,321,0,47,1,46,4,1,1,24,35,258,46,0,0,7,26,73,217,48,2,53,154,96,16,48,0,1,10,30,280,48,0,6,25,57,233,338,1,24,6,338,5,3,23,338,3,7,21,50,1,142,176,193,4,45,127,327,1,9,0,5,5,3,2,17,185,0,0,11,10,29,4,11,20,5,1,6,29,10,3,4,41,56,3,126,183,0,1,56,0,21,38,44,64,64,66,16,57,4,213,56,39,57,1,153,76,48,22,12,5.867088607594936,8.109995743540903,2.3559322033898304,1.4234817909328785,9.635906040268456,6.287646432583142,2.1103896103896105,1.2350035319507358
DK,DNK,Denmark,Midtjylland,2020-12-22,2020-12-22,301,0,0,0,0,85,297,783696.6192404678,251,3,2,296,4,42,255,2,11,288,2,25,274,2,62,237,3,29,269,3,26,272,3,2,296,3,12,286,4,3,294,3,7,291,3,53,245,3,4,294,3,24,274,299,0,1,1,259,1,9,32,290,0,3,8,276,0,8,17,239,1,13,48,272,1,6,22,275,1,11,14,299,0,0,2,289,1,5,6,298,0,1,2,294,0,2,5,248,0,13,40,297,0,3,1,277,0,9,15,4,0,41,256,261,0,11,29,6,5,221,69,80,1,105,115,196,0,5,88,12,196,0,1,104,300,1,0,0,117,2,31,151,301,0,0,0,0,0,12,0,189,72,22,6,18,8,74,176,25,18,11,137,124,11,18,16,120,127,20,18,14,153,107,9,18,15,42,177,49,0,272,4,12,13,272,6,2,21,272,6,1,22,272,4,4,21,272,4,5,20,272,6,1,22,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,301,0,0,0,22,2,66,211,22,1,201,77,22,3,9,267,22,1,152,126,22,2,1,276,22,2,15,262,23,1,136,141,165,0,100,28,5,3,24,3,0,4,57,213,24,2,275,0,25,4,52,220,25,0,30,106,86,49,5,0,25,0,38,79,117,42,27,3,57,133,69,12,28,0,103,169,1,31,2,67,197,4,235,1,39,26,100,3,197,1,292,0,9,0,149,5,43,104,300,0,1,0,286,0,14,1,32,4,0,2,11,38,214,32,3,0,3,9,63,191,34,1,35,127,81,23,34,1,0,1,16,249,34,0,2,13,40,212,286,1,9,5,286,3,1,11,286,4,1,10,36,0,101,164,137,0,45,119,257,1,3,1,6,5,1,2,25,158,0,4,13,8,11,2,6,19,13,1,5,13,12,2,10,24,43,6,105,147,0,0,43,1,16,28,28,55,65,50,15,47,7,101,74,72,47,2,115,52,57,21,7,6.709923664122138,7.503320854147305,2.257142857142857,1.2682284342122823,8.187698412698413,5.808124501027823,2.2439024390243905,1.2111149419802831
DK,DNK,Denmark,Nordjylland,2020-12-22,2020-12-22,150,0,0,0,0,27,150,377387.6500967866,136,1,0,149,0,21,129,1,1,148,1,18,131,1,27,122,1,17,132,1,9,140,1,6,143,1,10,139,1,2,147,1,5,144,1,28,121,1,2,147,1,15,134,150,0,0,0,129,1,7,13,149,0,1,0,132,1,4,13,123,1,7,19,133,0,4,13,141,0,2,7,144,1,4,1,140,0,5,5,148,0,2,0,145,0,3,2,122,1,4,23,148,0,1,1,135,0,3,12,0,0,13,137,138,0,5,7,1,5,114,30,36,0,49,65,101,0,3,43,3,101,0,2,47,148,0,2,0,55,1,10,84,150,0,0,0,0,0,2,0,82,46,13,7,6,3,28,95,18,6,5,66,60,13,6,7,56,62,19,6,5,69,57,13,6,7,23,82,32,0,140,3,4,3,140,5,1,4,140,7,0,3,140,6,0,4,140,6,0,4,140,6,2,2,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,7,1,33,109,7,1,96,46,7,2,3,138,7,0,87,56,7,0,3,140,7,0,5,138,7,0,79,64,71,0,62,12,3,2,7,0,1,4,26,112,7,0,142,1,9,0,29,112,9,0,19,47,43,25,4,3,9,0,23,30,65,23,9,0,25,68,40,8,9,0,53,85,3,10,0,33,105,2,117,0,16,17,54,1,93,2,147,0,2,1,63,0,26,61,147,0,0,3,145,0,2,3,10,1,1,1,3,16,118,10,0,1,1,7,22,109,10,2,25,57,47,9,10,0,0,2,14,124,10,0,1,5,25,109,144,0,4,2,144,4,1,1,144,4,1,1,12,1,48,89,61,1,13,75,138,0,2,0,0,1,3,0,6,90,1,1,2,5,4,0,2,10,6,0,1,4,6,2,3,13,13,3,53,80,0,1,13,0,5,15,21,25,32,29,10,14,5,36,43,52,14,1,53,32,27,12,11,5.46969696969697,6.512047289966489,2.4,1.2649110640673518,7.578125,5.8290737166123385,2.248062015503876,1.2056572880068495
DK,DNK,Denmark,Sj<c3><a6>lland,2020-12-22,2020-12-22,239,1,2909.965296739389,1,2909.965296739389,80,235,559799.8070627509,202,1,1,237,1,24,214,0,12,227,1,29,209,1,44,194,1,31,207,1,12,226,1,8,230,1,14,224,0,4,235,0,5,234,1,41,197,1,7,231,1,26,212,238,0,1,0,215,0,7,17,227,0,2,10,210,0,11,18,195,0,9,35,208,1,9,21,227,0,5,7,231,0,2,6,225,0,8,6,235,0,3,1,234,0,1,4,198,0,8,33,232,1,3,3,213,0,16,10,4,0,38,197,202,0,8,29,6,4,161,68,78,1,68,92,171,0,2,64,2,171,0,1,67,238,0,1,0,79,3,21,136,239,0,0,0,0,0,7,1,138,69,15,9,10,9,61,138,21,10,14,98,103,14,10,16,91,108,14,10,13,110,96,10,10,18,39,131,41,0,218,2,13,6,218,5,0,16,218,5,1,15,218,5,0,16,218,4,1,16,218,4,1,16,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,239,0,0,0,11,1,43,184,11,0,158,70,11,1,11,216,11,0,119,109,11,0,3,225,11,0,14,214,12,0,95,132,144,0,74,13,7,1,13,1,0,2,45,178,13,1,225,0,16,2,41,180,16,0,48,72,63,30,6,4,16,0,60,55,79,29,18,1,54,109,49,8,18,0,83,138,0,23,1,60,151,4,196,0,28,15,81,1,156,1,228,0,9,2,120,2,37,80,236,0,3,0,225,0,14,0,24,1,0,3,8,26,177,24,0,1,5,10,49,150,26,5,48,102,44,14,26,4,0,1,26,182,26,2,3,4,57,147,232,0,4,3,232,0,1,6,232,0,1,6,27,3,70,139,100,0,21,118,220,0,2,1,2,1,1,1,11,151,0,0,10,6,7,2,5,7,4,0,4,5,5,2,2,29,32,5,80,122,0,0,32,1,10,12,22,45,42,56,19,36,11,61,66,65,36,9,96,37,41,17,3,8.295918367346939,10.184088239583254,2.3125,1.3060035073805594,7.525510204081632,5.198062976986317,2.136842105263158,1.248156535392138
