ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AZ,AZE,Azerbaijan,Baku,2020-12-22,2020-12-21,100,2,55868.02024338899,2,55868.02024338899,110,91,1728897.6566629605,58,6,4,90,8,17,75,7,4,89,3,33,64,8,19,73,8,22,70,8,11,81,8,12,80,10,5,85,6,10,84,7,19,74,7,25,68,6,8,86,5,29,66,96,1,2,1,83,2,9,6,96,2,0,2,68,3,14,15,81,0,6,13,79,1,11,9,90,0,7,3,88,2,5,5,95,1,1,3,90,1,7,2,81,2,12,5,75,4,7,14,93,2,0,5,72,3,14,11,9,0,32,59,69,0,10,21,10,0,29,61,71,0,17,12,83,8,8,1,83,6,10,1,94,3,3,0,27,1,11,61,100,13,0,9,22,29,27,28,5,23,20,24,28,9,12,23,28,28,11,12,23,26,28,9,15,19,29,28,10,5,14,43,89,6,2,3,89,6,1,4,89,5,5,1,89,5,4,2,89,7,3,1,89,8,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,8,22,48,22,4,45,29,22,8,2,68,22,6,20,52,22,7,8,63,22,6,21,51,25,2,28,45,72,0,19,7,2,0,26,2,1,9,28,34,26,2,72,0,30,2,11,57,30,1,53,7,1,1,0,7,30,1,43,11,8,7,30,1,26,26,11,6,31,1,3,63,2,35,1,1,60,3,78,1,21,0,55,0,44,1,98,0,2,0,80,0,11,9,92,0,6,2,79,0,19,2,36,3,1,5,14,15,26,36,2,4,9,13,17,19,37,3,29,22,5,4,37,2,11,11,18,21,37,2,24,16,13,8,60,4,36,0,60,15,14,11,60,14,15,11,38,1,18,43,57,1,12,30,88,0,2,1,1,0,1,2,5,70,0,0,2,1,5,1,2,4,1,0,1,1,5,0,4,3,38,0,37,23,1,1,38,15,11,17,12,3,4,0,38,0,51,8,3,38,1,12,24,13,7,5,5.508771929824562,5.490650517722779,4.12,2.6350205565295566,13.017241379310345,4.80676197429787,2.586206896551724,1.510599773514175
AZ,AZE,Azerbaijan,Baku,2020-12-23,2020-12-22,100,2,55868.02024338899,2,55868.02024338899,115,92,1846148.5745109105,61,4,7,89,6,18,76,6,4,90,4,26,70,6,19,75,7,16,77,6,12,82,7,11,82,7,5,88,6,12,82,7,17,76,5,28,67,6,9,85,5,17,78,93,1,3,3,82,3,10,5,96,2,1,1,74,4,10,12,81,1,9,9,84,2,9,5,88,1,8,3,89,3,5,3,95,1,3,1,88,1,10,1,83,3,11,3,72,6,10,12,91,2,2,5,83,3,8,6,6,2,29,63,71,0,8,21,6,2,33,59,67,2,18,13,82,8,9,1,82,6,11,1,94,1,4,1,28,0,14,58,100,10,1,10,22,31,26,16,8,23,24,29,16,15,10,28,31,16,12,14,27,31,16,14,12,24,34,16,15,4,16,49,87,8,2,3,87,8,1,4,87,5,6,2,87,6,4,3,87,9,2,2,87,9,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,3,22,54,21,2,39,38,21,4,4,71,21,4,14,61,21,3,1,75,21,3,18,58,24,1,22,53,78,0,16,5,1,0,26,0,2,7,27,38,26,1,73,0,26,0,10,64,26,0,53,4,2,0,0,15,26,1,45,13,7,8,28,1,28,25,10,8,29,1,3,66,1,31,0,2,64,3,78,0,22,0,61,0,39,0,96,0,4,0,86,0,10,4,99,0,1,0,82,0,16,2,31,2,1,2,18,14,32,31,1,4,4,13,23,24,33,1,31,20,10,5,33,0,8,16,15,28,33,0,24,22,11,10,54,7,39,0,54,18,16,12,54,15,17,14,33,0,24,43,57,1,15,27,85,0,2,0,0,1,1,2,9,61,0,0,6,2,6,1,2,2,1,0,3,2,2,1,3,8,37,2,34,25,1,1,37,11,16,16,11,4,5,0,37,1,49,9,4,37,1,14,22,15,8,3,4.176470588235294,4.092460787120342,4.583333333333333,3.2021279156844744,11.576271186440678,5.385815949550386,2.4833333333333334,1.5237294420038547
AZ,AZE,Azerbaijan,Baku,2020-12-24,2020-12-23,100,3,45696.4041215589,2,35491.5008047448,80,92,1491014.2151421818,58,7,8,85,7,13,80,8,2,90,7,19,74,7,18,75,6,15,79,9,5,86,9,8,83,7,8,85,6,16,78,9,11,80,6,22,72,9,10,81,10,20,70,92,1,6,1,87,3,4,6,98,1,1,0,81,3,8,8,82,3,6,9,85,4,6,5,95,1,2,2,92,0,7,1,92,2,6,0,84,2,13,1,89,0,6,5,78,3,7,12,90,1,4,5,80,2,11,7,6,2,26,66,74,0,15,11,7,3,33,57,67,2,19,12,81,9,10,0,81,10,9,0,90,6,2,2,31,0,17,52,100,11,1,10,22,29,27,17,9,21,23,30,17,18,7,27,31,17,15,15,23,30,17,16,8,22,37,17,16,3,15,49,85,7,3,5,85,6,5,4,85,4,9,2,85,6,2,7,85,9,3,3,85,8,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,3,30,47,20,5,47,28,20,5,8,67,20,5,29,46,20,4,5,71,20,3,17,60,23,0,32,45,68,1,21,8,0,2,25,0,2,6,26,41,25,0,74,1,26,1,7,66,26,0,49,6,4,1,1,13,26,0,34,19,7,14,27,2,26,27,12,6,29,0,1,67,3,31,0,1,67,1,71,0,26,3,53,0,44,3,92,0,7,1,72,0,23,5,95,0,4,1,84,0,14,2,31,1,2,4,15,12,35,31,0,3,4,13,18,31,35,0,30,21,7,7,35,0,10,15,11,29,35,0,20,17,12,16,64,6,29,1,64,17,13,6,64,16,13,7,36,0,29,35,65,0,20,15,81,0,4,1,0,4,0,3,7,52,0,0,5,6,4,1,3,3,2,2,3,3,1,5,1,9,41,0,33,26,0,0,41,8,22,16,4,7,2,0,42,4,43,6,5,42,2,10,24,11,6,5,4.434782608695652,4.003621548953694,3.7000000000000006,2.735728518386974,12.241379310344827,5.127532647051793,2.4074074074074074,1.3390861220280965
AZ,AZE,Azerbaijan,Baku,2020-12-25,2020-12-24,100,5,88017.2125637899,2,45806.872333436506,92,92,1831216.5213332283,59,6,8,86,5,17,78,6,4,90,4,24,72,5,24,71,5,19,76,6,9,85,6,9,85,5,11,84,4,14,82,6,15,79,5,30,65,6,14,80,6,31,63,92,1,5,2,83,3,8,6,96,0,4,0,76,3,12,9,76,4,6,14,81,3,6,10,91,1,3,5,91,1,5,3,89,2,4,5,86,1,11,2,85,1,7,7,70,2,6,22,86,2,6,6,69,2,17,12,6,2,33,59,69,0,16,15,8,1,37,54,64,0,24,12,76,13,10,1,76,13,11,0,87,8,4,1,34,0,12,54,100,12,1,6,23,33,25,17,5,17,24,37,17,11,10,26,36,17,8,13,23,39,17,10,11,18,44,17,10,2,13,58,88,1,4,7,88,2,2,8,88,1,5,6,88,1,2,9,88,2,4,6,88,1,2,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,3,31,47,19,4,54,23,19,4,6,71,19,4,28,49,19,4,7,70,19,3,24,54,22,0,29,49,71,1,20,5,1,2,24,0,0,5,27,44,24,0,76,0,26,3,12,59,26,0,49,7,4,1,1,12,26,0,37,13,11,13,26,0,21,38,10,5,27,0,3,67,3,29,1,0,67,3,70,0,27,3,46,0,53,1,94,0,5,1,73,0,25,2,93,0,6,1,77,0,23,0,29,1,1,2,15,16,36,29,1,0,3,15,22,30,33,1,19,36,7,4,33,1,5,17,14,30,33,0,14,21,12,20,66,3,29,2,66,9,12,13,66,10,15,9,37,0,27,36,64,0,23,13,79,0,3,2,3,2,2,3,6,52,0,0,6,6,1,1,3,5,2,0,3,3,3,4,2,9,41,1,35,23,0,0,41,14,14,16,9,5,1,0,41,1,45,8,5,41,0,8,26,17,5,3,4.368421052631579,4.5064698686102105,3.4583333333333335,3.021361148291577,12.551724137931034,4.317131982479107,2.4107142857142856,1.3042139494630571
AZ,AZE,Azerbaijan,Baku,2020-12-26,2020-12-25,100,3,60164.0765183147,2,38760.5596164835,97,93,1784916.1388044534,65,2,5,93,3,16,81,2,5,93,2,23,75,3,20,77,1,23,76,2,6,92,3,8,89,3,10,87,3,5,92,2,16,82,3,30,67,2,19,79,1,31,68,95,1,3,1,84,1,7,8,95,0,5,0,77,2,9,12,80,1,6,13,77,0,9,14,94,0,3,3,92,2,3,3,90,1,4,5,95,0,4,1,84,1,8,7,70,1,7,22,81,2,8,9,69,1,16,14,7,0,35,58,67,0,11,22,9,0,37,54,64,0,16,20,84,8,7,1,84,7,9,0,93,4,3,0,26,0,13,61,100,12,0,13,23,27,25,17,4,21,18,40,17,9,15,18,41,17,8,21,16,38,17,9,16,17,41,17,9,5,9,60,87,2,1,10,87,2,0,11,87,0,7,6,87,1,5,7,87,2,2,9,87,2,3,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,2,35,45,18,1,62,19,18,3,8,71,18,2,33,47,18,3,4,75,18,3,22,57,22,0,33,45,67,0,23,7,2,1,23,0,2,10,26,39,23,0,76,1,25,3,12,60,25,0,53,8,4,0,0,10,25,0,35,12,14,14,25,0,19,39,12,5,25,0,5,68,2,28,1,1,68,2,66,1,31,2,40,1,58,1,92,0,5,3,69,0,27,4,96,0,2,2,80,0,20,0,29,0,0,4,15,16,36,29,1,0,7,18,16,29,31,1,27,29,8,4,31,1,7,13,20,28,31,0,21,19,14,15,60,2,36,2,60,7,21,12,60,7,25,8,33,1,32,34,66,0,21,13,80,0,4,3,3,0,2,2,6,48,0,2,6,3,2,1,6,7,3,1,2,0,2,2,4,11,35,1,46,18,0,0,35,10,18,19,12,6,0,0,35,1,54,9,1,35,0,13,20,24,7,1,3.8596491228070176,4.72621336080266,3.3846153846153846,2.899336794191707,12.629032258064516,4.936428226793804,2.634920634920635,1.4624503002483076
AZ,AZE,Azerbaijan,Baku,2020-12-27,2020-12-26,100,1,40419.868242196004,1,40419.868242196004,61,94,1774144.7785431056,71,3,2,95,3,13,84,3,3,94,2,21,77,4,13,83,1,19,80,3,9,88,3,3,94,4,7,89,3,1,96,3,8,89,2,28,70,3,15,82,2,25,73,98,0,2,0,87,0,7,6,97,1,2,0,79,2,6,13,87,0,6,7,81,1,8,10,91,1,3,5,97,1,1,1,93,0,5,2,99,0,1,0,92,0,4,4,72,1,10,17,85,2,7,6,75,1,10,14,6,0,27,67,73,1,7,19,6,0,42,52,58,1,17,24,83,6,11,0,83,9,8,0,91,6,2,1,24,1,12,63,100,6,0,18,34,21,21,13,7,28,22,30,13,10,18,22,37,13,12,23,21,31,13,10,22,21,34,13,12,8,13,54,88,3,1,8,88,4,0,8,88,1,7,4,88,3,6,3,88,4,1,7,88,4,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,1,37,47,15,0,66,19,15,3,10,72,15,4,33,48,15,3,6,76,15,3,13,69,18,1,37,44,63,0,26,8,3,0,19,0,1,8,21,51,19,0,80,1,21,2,9,68,21,0,61,9,1,1,0,7,21,0,35,15,14,15,21,1,26,32,14,6,21,0,7,70,2,24,1,4,71,0,64,2,32,2,36,2,61,1,90,0,7,3,69,1,23,7,94,1,3,2,89,0,11,0,26,2,0,6,17,11,38,26,2,0,5,19,14,34,26,1,29,27,7,10,26,1,6,10,22,35,26,1,17,20,14,22,63,2,33,2,63,7,20,10,63,10,20,7,27,1,37,35,65,0,18,17,83,0,4,3,1,0,1,1,7,46,0,2,6,1,4,3,4,3,5,1,2,6,2,1,4,10,29,1,52,18,0,0,29,10,24,20,10,6,1,0,29,2,60,9,0,29,0,17,22,21,8,3,4,5.023942674832188,2.789473684210526,1.3975751766073286,12.82089552238806,4.817661236736073,2.8088235294117645,1.5087540865782143
AZ,AZE,Azerbaijan,Baku,2020-12-28,2020-12-26,100,1,40419.868242196004,1,40419.868242196004,63,94,1763862.5845521456,69,3,2,95,3,13,84,3,3,94,2,23,75,4,14,82,1,20,79,3,10,87,3,3,94,4,7,89,3,1,96,3,8,89,2,28,70,3,15,82,2,24,74,98,0,2,0,87,0,7,6,97,1,2,0,77,2,7,14,86,0,7,7,80,1,8,11,90,1,4,5,97,1,1,1,93,0,5,2,99,0,1,0,92,0,4,4,72,1,10,17,85,2,7,6,76,1,9,14,6,0,28,66,72,1,8,19,6,0,41,53,59,1,17,23,83,6,11,0,83,9,8,0,91,6,2,1,24,1,14,61,100,6,0,18,35,20,21,13,7,28,22,30,13,10,18,22,37,13,12,24,21,30,13,10,22,20,35,13,12,8,13,54,86,3,2,9,86,4,1,9,86,1,7,6,86,3,8,3,86,4,1,9,86,4,3,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,1,37,47,15,0,67,18,15,3,10,72,15,4,33,48,15,3,6,76,15,3,13,69,18,1,36,45,64,0,25,8,3,0,19,0,1,7,22,51,19,0,80,1,21,2,8,69,21,0,62,8,1,1,0,7,21,0,35,15,14,15,22,1,27,31,14,5,22,0,6,70,2,25,1,4,70,0,64,2,32,2,35,2,62,1,90,0,7,3,69,1,23,7,94,1,3,2,89,0,11,0,27,2,0,6,16,10,39,27,2,0,5,18,13,35,27,1,30,27,5,10,27,1,6,10,21,35,27,1,17,20,13,22,64,2,32,2,64,6,20,10,64,9,20,7,29,1,37,33,67,0,17,16,84,0,4,3,1,0,1,1,6,47,0,2,6,1,4,3,4,3,4,1,2,6,2,1,4,10,31,1,51,17,0,0,31,9,23,20,10,6,1,0,31,2,58,9,0,31,0,16,22,21,8,2,3.981132075471698,4.9360937765283746,2.75,1.3717065820970682,12.787878787878787,4.846934484060404,2.787878787878788,1.5039962307149117
AZ,AZE,Azerbaijan,Baku,2020-12-30,2020-12-27,100,2,52582.31590302641,2,52582.31590302641,78,92,2046314.343324495,62,5,5,90,4,9,87,5,2,93,4,31,65,5,15,80,4,19,77,4,10,86,5,5,90,5,7,88,3,8,89,5,7,88,3,28,69,5,9,86,4,26,70,95,0,4,1,91,0,7,2,98,1,0,1,69,2,10,19,85,1,6,8,81,1,6,12,90,1,3,6,95,1,1,3,93,1,3,3,92,1,6,1,93,0,1,6,72,3,8,17,91,1,6,2,74,2,11,13,8,0,29,63,72,1,8,19,9,0,38,53,62,1,19,18,81,5,14,0,81,11,8,0,89,8,2,1,29,2,11,58,100,9,0,16,36,20,19,15,7,23,27,28,15,9,24,21,31,15,9,22,19,35,15,9,25,17,34,15,11,6,12,56,89,4,3,4,89,5,1,5,89,2,5,4,89,5,4,2,89,5,0,6,89,5,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,3,27,52,18,1,61,20,18,7,5,70,18,8,24,50,18,7,8,67,18,7,11,64,20,1,26,53,74,0,19,4,3,0,22,1,1,1,22,53,22,2,76,0,23,1,13,63,23,0,63,4,1,2,0,7,23,0,41,15,8,13,25,3,32,28,9,3,25,0,3,70,2,29,1,2,66,2,73,1,23,3,39,3,57,1,95,0,4,1,76,2,16,6,92,2,5,1,89,1,10,0,31,3,0,5,14,9,38,31,3,0,5,14,20,27,32,1,28,27,5,7,32,1,2,17,21,27,32,1,13,28,10,16,60,4,31,5,60,6,20,14,60,11,19,10,35,1,27,37,63,0,17,20,85,0,4,1,2,0,0,0,8,58,0,0,3,0,6,2,1,3,4,0,0,6,1,1,2,13,38,1,35,25,1,0,38,16,21,14,4,4,3,0,38,3,50,8,1,38,1,10,28,13,6,4,4.003703703703704,4.74806665571955,3.45,1.7910596686995395,12.426229508196721,4.7062335130953095,2.76271186440678,1.5124652523890905
AZ,AZE,Azerbaijan,Baku,2020-12-31,2020-12-27,100,3,93225.07327331339,2,41257.4125369929,106,93,2181433.1473582853,57,5,6,89,5,11,84,5,3,92,5,31,64,5,17,78,4,21,75,4,8,88,5,8,87,6,7,87,4,9,87,5,7,88,4,24,72,5,8,87,4,24,72,94,1,4,1,89,0,8,3,97,1,0,2,69,2,10,19,83,2,4,11,79,2,8,11,92,2,2,4,92,1,2,5,93,1,3,3,91,1,7,1,93,0,2,5,76,4,8,12,92,0,5,3,76,4,11,9,7,0,33,60,69,0,7,24,9,0,43,48,58,1,23,18,77,5,17,1,77,14,9,0,86,9,4,1,34,2,11,53,100,13,0,15,30,22,20,16,9,21,24,30,16,11,22,15,36,16,8,27,19,30,16,9,27,16,32,16,11,7,12,54,90,4,2,4,90,4,3,3,90,2,6,2,90,3,3,4,90,4,1,5,90,4,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,3,24,56,17,2,55,26,17,7,4,72,17,6,26,51,17,5,7,71,17,6,14,63,21,0,27,52,73,1,20,3,1,2,22,1,2,2,27,46,22,2,75,1,24,1,13,62,24,0,62,5,0,2,0,7,24,1,43,13,8,11,26,2,31,28,8,5,27,0,1,69,3,31,0,1,65,3,76,0,21,3,45,2,52,1,96,0,3,1,74,1,18,7,93,1,5,1,86,1,12,1,32,1,1,4,14,12,36,32,2,0,6,17,21,22,34,2,30,22,6,6,34,1,2,20,17,26,34,1,15,29,10,11,57,6,33,4,57,12,18,13,57,13,22,8,36,1,19,44,56,0,18,26,86,2,3,0,2,0,0,0,7,67,0,0,0,0,4,2,2,3,2,0,0,3,1,2,0,14,40,3,30,26,1,0,40,13,22,13,4,4,4,0,42,3,44,9,2,42,1,7,22,17,6,5,4.35,5.373263513388649,3.92,2.3079572497485015,12.339285714285714,5.114246716821499,2.5555555555555554,1.700906158788982
AZ,AZE,Azerbaijan,Baku,2021-01-01,2020-12-30,100,3,96526.0979736782,1,29094.9648761625,82,93,2356750.4272266002,58,2,5,93,2,11,87,2,3,95,2,25,73,2,14,84,1,19,80,2,6,92,2,6,92,3,5,92,2,6,92,2,9,89,1,16,83,2,6,92,1,24,75,95,2,1,2,89,1,7,3,97,2,0,1,75,1,8,16,86,2,2,10,81,3,8,8,94,3,1,2,94,1,2,3,95,1,2,2,94,1,5,0,91,1,2,6,84,3,6,7,94,0,4,2,76,3,9,12,7,0,31,62,71,0,6,23,9,0,46,45,55,1,18,26,82,4,13,1,82,10,8,0,90,7,2,1,29,2,11,58,100,13,1,17,20,28,21,16,10,22,29,23,16,12,14,24,34,16,12,30,14,28,16,11,25,18,30,16,13,6,19,46,90,8,0,2,90,8,2,0,90,7,3,0,90,5,3,2,90,8,1,1,90,7,2,1,61,4,0,35,61,4,0,35,61,4,2,33,61,4,1,34,61,3,6,30,61,4,10,25,61,3,1,35,87,0,1,12,87,0,2,11,87,0,0,13,87,0,2,11,87,0,1,12,19,4,19,58,19,2,55,24,19,7,7,67,19,6,33,42,19,6,6,69,19,6,13,62,21,0,32,47,68,1,25,3,1,2,21,0,2,3,33,41,21,0,78,1,23,1,9,67,23,0,59,6,0,2,1,9,23,1,44,15,10,7,23,0,28,35,7,7,24,0,2,71,3,27,0,4,66,3,81,0,16,3,45,0,54,1,93,0,5,2,67,0,21,12,94,0,5,1,87,0,11,2,28,1,1,3,18,15,34,28,2,1,6,20,14,29,29,3,30,19,10,9,29,1,2,14,17,37,29,1,12,23,17,18,65,5,27,3,65,18,10,7,65,16,12,7,30,2,18,50,50,0,24,26,83,2,5,0,1,1,0,0,8,65,0,0,1,2,3,0,1,3,1,2,2,2,4,1,2,11,37,2,36,25,0,0,37,11,18,16,8,7,3,0,39,2,46,12,1,39,0,12,12,23,9,5,5.538461538461538,6.282164200698229,3.318181818181818,2.3378126454803785,12.471698113207546,5.29369644586445,2.736842105263158,1.7579037413663396
