ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ET,ETH,Ethiopia,Addis Abeba,2020-12-23,2020-12-21,100,0,0,0,0,52,93,13457651.599287312,64,6,0,94,4,9,87,5,1,94,4,10,86,4,8,88,4,6,90,5,6,89,5,0,95,3,2,95,4,2,94,3,6,91,5,6,89,4,1,95,4,10,86,100,0,0,0,91,0,1,8,99,0,1,0,90,0,5,5,92,0,3,5,94,0,4,2,94,1,3,2,100,0,0,0,98,0,1,1,98,0,1,1,94,0,3,3,94,0,3,3,99,0,1,0,90,1,3,6,7,0,25,68,75,1,11,13,9,0,35,56,65,1,10,24,90,1,9,0,90,0,5,5,0,95,3,2,0,20,1,35,44,100,14,1,39,19,12,15,21,5,31,17,26,21,9,38,16,16,21,8,50,7,14,21,5,46,14,14,21,9,12,11,47,69,3,15,13,69,10,4,17,69,9,7,15,69,8,7,16,69,10,5,16,69,8,5,18,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,5,48,26,21,6,53,20,21,5,59,15,21,5,51,23,21,6,36,37,21,5,44,30,22,0,40,38,60,1,23,7,3,6,22,0,0,6,40,32,22,4,71,3,25,2,19,54,25,1,41,19,7,4,2,1,25,0,17,11,20,27,25,0,18,33,18,6,25,0,3,64,8,30,2,1,63,4,52,4,39,5,47,3,46,4,41,5,43,11,49,5,35,11,64,1,28,7,56,4,37,3,30,3,2,3,12,16,34,30,2,1,0,11,18,38,32,1,22,26,9,10,32,0,7,18,14,29,32,0,17,16,13,22,68,2,26,4,68,8,14,10,68,8,14,10,33,3,46,18,82,0,7,11,93,0,2,0,0,1,0,1,3,47,0,1,6,6,1,5,9,1,0,0,12,2,3,2,5,36,2,62,0,0,36,1,0,27,23,11,2,0,0,36,4,51,8,1,36,2,19,20,14,3,6,2.5172413793103448,1.549670233473017,2.35,1.8144159564878983,14.771929824561402,5.199648146954785,3.0892857142857144,1.8017848293923924
ET,ETH,Ethiopia,Addis Abeba,2020-12-24,2020-12-22,100,1,97475.2080201792,0,0,61,94,12109734.380789513,71,7,1,92,5,9,86,6,1,93,5,10,85,5,6,89,5,8,87,6,8,86,6,2,92,4,3,93,5,3,92,4,5,91,5,7,88,5,2,93,5,8,87,99,0,0,1,91,0,2,7,99,0,1,0,90,0,5,5,94,0,2,4,92,0,6,2,92,1,3,4,98,0,2,0,97,0,1,2,97,0,3,0,95,0,1,4,93,0,5,2,98,0,2,0,92,1,4,3,5,1,24,70,76,1,14,9,6,0,40,54,60,1,11,28,89,2,9,0,89,0,7,4,0,93,2,5,0,18,0,30,52,100,10,0,48,19,12,11,16,4,40,16,24,16,10,45,7,22,16,10,53,8,13,16,8,50,13,13,16,10,15,9,50,73,4,11,12,73,9,2,16,73,7,6,14,73,7,7,13,73,8,5,14,73,7,5,15,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,7,50,27,16,7,51,26,16,7,61,16,16,7,57,20,16,7,37,40,16,5,46,33,16,0,42,42,58,1,20,8,4,9,16,0,0,9,44,31,16,3,78,3,18,3,20,59,18,1,49,20,5,2,3,2,18,0,13,13,32,24,18,0,18,35,23,6,19,0,3,73,5,25,1,2,68,4,50,4,40,6,49,4,43,4,39,5,46,10,43,5,39,13,63,1,30,6,54,6,37,3,25,2,2,3,15,11,42,25,2,0,2,11,23,37,26,2,29,29,9,5,26,0,6,18,22,28,26,0,16,22,17,19,63,2,28,7,63,9,15,13,63,10,12,15,27,3,51,19,81,0,7,12,93,0,1,1,0,2,0,1,2,42,0,1,8,6,2,4,7,1,0,1,13,4,1,5,5,29,3,66,2,0,29,1,2,32,23,12,1,0,0,29,4,58,8,1,29,2,22,19,19,4,5,2.84375,2.3016035784335376,2.6818181818181817,2.0327406701383803,13.90625,5.8951654930524375,3,1.6618979396776332
ET,ETH,Ethiopia,Addis Abeba,2020-12-25,2020-12-23,100,1,97475.2080201792,0,0,45,92,13074165.479899583,74,4,3,93,5,13,82,4,0,96,5,12,83,5,5,90,4,13,83,5,9,86,5,3,92,4,3,93,5,4,91,4,7,89,3,8,89,5,3,92,4,13,83,97,1,0,2,87,2,3,8,100,0,0,0,88,2,6,4,95,1,1,3,87,2,6,5,91,1,3,5,97,1,2,0,97,0,1,2,96,1,2,1,93,2,2,3,92,2,4,2,97,1,1,1,87,3,6,4,7,1,20,72,81,0,13,6,8,0,38,54,62,1,10,27,90,1,9,0,90,0,6,4,0,94,0,6,0,19,1,24,56,100,9,0,46,22,11,12,13,3,42,17,25,13,8,50,7,22,13,7,54,9,17,13,7,52,12,16,13,8,19,8,52,77,7,6,10,77,9,2,12,77,9,3,11,77,6,8,9,77,9,5,9,77,9,3,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,5,53,29,13,6,56,25,13,5,61,21,13,6,59,22,13,6,37,44,13,5,46,36,14,0,43,43,57,0,21,9,5,8,14,0,0,8,44,34,14,2,81,3,16,1,20,63,16,0,51,25,4,1,2,1,16,0,8,16,37,23,16,1,15,41,23,4,17,0,3,75,5,22,0,2,73,3,48,2,44,6,45,2,49,4,40,3,48,9,42,3,39,16,64,1,30,5,55,4,39,2,22,3,1,6,15,13,40,22,1,1,5,10,21,40,22,2,33,26,11,6,22,0,4,19,23,32,22,0,13,25,20,20,64,3,27,6,64,10,13,13,64,10,12,14,24,1,56,19,81,0,6,13,94,0,2,1,0,1,0,0,2,38,0,2,6,8,1,4,8,1,0,1,15,4,1,5,6,26,3,69,2,0,26,0,2,35,22,13,2,0,0,26,1,66,7,0,26,1,25,23,16,3,6,3.3030303030303036,2.9841754355773107,2.5625,1.7876893839068722,13.833333333333334,6.050005297730251,2.742857142857143,1.7336040559407808
ET,ETH,Ethiopia,Addis Abeba,2020-12-26,2020-12-23,100,1,97475.2080201792,0,0,41,93,13778295.174787357,74,6,5,89,7,9,84,7,0,93,6,8,86,8,6,86,8,12,80,7,9,84,7,4,89,7,4,89,8,7,85,6,10,84,6,12,82,8,4,88,7,13,80,95,2,1,2,91,2,3,4,100,0,0,0,92,2,4,2,94,1,2,3,88,2,6,4,91,2,3,4,96,1,3,0,96,1,1,2,93,2,3,2,90,3,3,4,88,3,6,3,96,1,1,2,87,3,8,2,6,1,17,76,84,0,10,6,7,0,37,56,63,2,10,25,90,3,7,0,90,0,6,4,0,94,1,5,0,19,1,30,50,100,7,0,44,27,11,11,9,4,42,16,29,9,8,49,14,20,9,8,52,15,16,9,8,46,20,17,9,9,19,8,55,70,10,9,11,70,11,4,15,70,11,5,14,70,10,9,11,70,11,5,14,70,13,4,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,6,49,35,10,7,52,31,10,6,58,26,10,7,54,29,10,7,29,54,10,6,45,39,11,0,40,49,60,0,20,10,5,5,12,0,0,9,47,32,12,2,83,3,13,3,13,71,13,1,56,22,4,2,1,1,13,1,14,18,33,21,13,3,18,41,24,1,14,1,5,77,3,17,2,3,74,4,52,2,40,6,49,3,45,3,43,3,48,6,47,3,37,13,72,1,26,1,56,3,41,0,18,2,1,4,14,13,48,18,0,2,5,9,23,43,21,3,27,30,11,8,21,1,5,18,22,33,21,0,15,26,17,21,60,3,30,7,60,13,14,13,60,12,15,13,22,0,53,25,75,0,10,15,91,0,3,1,0,3,0,1,1,38,0,6,5,9,1,4,5,1,0,2,11,4,2,5,7,24,3,71,2,0,24,1,3,37,24,9,2,0,0,26,0,65,7,2,26,0,29,23,15,3,4,3.93939393939394,3.1911928994048795,2.7142857142857144,1.7728105208558367,14.130434782608695,5.915863627167463,2.647887323943662,1.5315593505527605
ET,ETH,Ethiopia,Addis Abeba,2020-12-27,2020-12-25,100,0,0,0,0,37,94,15155627.948698452,65,4,3,93,6,8,86,6,0,94,5,7,88,6,9,85,7,9,84,6,8,86,6,2,92,6,4,90,7,6,87,5,9,86,6,12,82,8,4,88,7,13,80,97,1,1,1,92,2,1,5,100,0,0,0,93,2,2,3,91,1,2,6,91,2,3,4,92,2,3,3,98,1,1,0,96,1,1,2,94,2,1,3,91,3,3,3,88,3,5,4,96,1,0,3,87,3,8,2,5,1,19,75,82,0,9,9,8,0,34,58,66,3,11,20,89,3,8,0,89,0,3,8,0,97,1,2,0,22,1,26,51,100,9,0,40,26,12,13,12,4,38,17,29,12,9,43,18,18,12,9,44,17,18,12,7,40,22,19,12,10,18,9,51,74,8,10,8,74,8,6,12,74,10,6,10,74,10,6,10,74,11,3,12,74,12,2,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,6,43,36,15,7,56,22,15,6,51,28,15,7,49,29,15,7,27,51,15,6,39,40,17,0,43,40,57,0,25,9,6,3,18,0,0,8,38,36,18,1,79,2,19,2,14,65,19,1,53,19,4,3,1,0,19,1,13,14,31,22,19,3,15,40,19,4,19,1,4,71,5,23,2,3,67,5,58,3,34,5,45,3,50,2,50,3,40,7,52,3,32,13,74,2,21,3,62,2,34,2,24,3,1,5,7,12,48,24,0,3,4,6,18,45,29,2,22,26,13,8,29,1,4,10,19,37,29,0,8,19,17,27,74,2,21,3,74,9,9,8,74,8,12,6,31,0,48,21,79,0,11,10,90,0,5,1,0,2,0,1,1,42,0,7,5,5,0,5,5,3,0,1,10,3,3,4,7,33,2,64,1,0,33,1,1,29,19,12,4,1,0,35,0,60,3,2,35,0,18,24,10,5,8,3.4193548387096775,2.9071657853011765,2.2857142857142856,1.3827826698682306,14.460317460317459,5.482598268025954,2.734375,1.5760326672547014
ET,ETH,Ethiopia,Addis Abeba,2020-12-28,2020-12-25,100,0,0,0,0,37,94,15250002.051727565,64,4,3,93,6,8,86,6,0,94,5,6,89,6,9,85,7,8,85,6,7,87,6,3,91,6,3,91,7,6,87,5,9,86,6,11,83,8,3,89,7,12,81,97,1,1,1,92,2,1,5,100,0,0,0,94,2,1,3,91,1,1,7,92,2,3,3,93,2,3,2,97,1,2,0,97,1,0,2,94,2,1,3,91,3,3,3,89,3,5,3,97,1,0,2,88,3,7,2,5,1,19,75,82,0,9,9,8,0,34,58,66,3,11,20,89,3,8,0,89,0,3,8,0,97,1,2,0,22,1,26,51,100,9,0,38,28,12,13,12,6,36,17,29,12,11,41,18,18,12,11,42,17,18,12,7,40,22,19,12,12,17,9,50,74,8,10,8,74,8,6,12,74,10,6,10,74,10,6,10,74,11,3,12,74,12,2,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,6,41,38,15,7,55,23,15,6,52,27,15,7,48,30,15,7,27,51,15,6,39,40,17,0,44,39,56,0,26,9,6,3,18,0,0,8,39,35,18,0,80,2,19,2,14,65,19,1,53,19,4,3,1,0,19,1,13,13,31,23,19,3,15,40,19,4,19,1,4,71,5,23,2,3,67,5,60,3,32,5,46,3,49,2,49,3,41,7,53,3,31,13,74,2,21,3,62,2,34,2,24,3,1,4,7,13,48,24,0,2,4,6,19,45,29,2,22,27,13,7,29,1,4,10,20,36,29,0,8,20,17,26,73,3,21,3,73,10,9,8,73,9,12,6,31,0,48,21,79,0,11,10,90,0,5,1,0,2,0,1,1,43,0,6,5,5,0,5,5,3,0,1,9,3,3,4,8,34,1,64,1,0,34,1,1,28,20,11,4,1,0,36,0,59,3,2,36,0,18,24,9,5,8,3.3225806451612905,2.612624437536498,2.2857142857142856,1.3827826698682306,14.451612903225804,5.526916014793863,2.746031746031746,1.5654356702482577
ET,ETH,Ethiopia,Addis Abeba,2020-12-30,2020-12-26,100,0,0,0,0,35,97,14438176.70619772,65,2,0,98,3,8,89,4,0,96,2,4,94,4,9,87,5,4,91,4,3,93,4,5,91,4,2,94,4,1,95,3,7,90,4,9,87,5,3,92,5,8,87,100,0,0,0,92,0,3,5,100,0,0,0,96,0,0,4,91,0,2,7,96,0,1,3,97,0,1,2,95,0,5,0,98,0,0,2,99,0,0,1,93,0,2,5,91,0,6,3,97,0,0,3,92,0,6,2,2,1,19,78,81,0,8,11,5,1,32,62,68,1,9,22,91,2,7,0,91,0,2,7,0,98,1,1,0,16,0,29,55,100,7,0,45,25,13,10,12,5,41,16,26,12,9,38,20,21,12,9,47,16,16,12,4,45,21,18,12,8,15,8,57,71,8,11,10,71,9,7,13,71,7,10,12,71,11,6,12,71,11,3,15,71,11,4,14,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,5,45,35,15,8,56,21,15,6,58,21,15,6,49,30,15,6,33,46,15,5,38,42,17,0,46,37,54,0,28,8,5,5,17,0,0,7,39,37,17,0,82,1,18,3,14,65,18,1,47,23,7,3,1,0,18,2,12,11,31,26,18,2,18,38,17,7,18,1,4,72,5,21,2,2,68,7,55,2,37,6,44,3,50,3,42,3,47,8,51,3,33,13,67,3,24,6,62,2,32,4,22,3,1,4,6,14,50,22,0,2,4,7,16,49,28,1,20,27,15,9,28,1,7,10,20,34,28,0,9,18,22,23,73,2,23,2,73,9,11,7,73,9,14,4,29,1,55,15,85,0,8,7,94,0,2,2,0,0,0,1,1,40,1,5,8,3,1,5,5,4,1,2,6,6,2,3,8,33,0,65,2,0,33,0,1,27,21,12,5,1,0,35,0,58,5,2,35,0,16,21,12,7,9,3.0303030303030303,2.4300829266309063,2.066666666666667,1.3870146083619754,14.23076923076923,5.910185146130234,3.015873015873016,1.7733880776461568
ET,ETH,Ethiopia,Oromia,2020-12-30,2020-12-21,100,2,376959.102759215,0,0,48,92,16511434.099291574,56,11,3,86,12,14,74,11,3,86,10,9,81,10,8,82,10,7,83,10,8,82,10,5,85,12,6,82,12,7,81,10,6,84,10,14,76,13,5,82,12,12,76,97,1,1,1,86,3,6,5,97,1,2,0,91,3,3,3,92,3,3,2,93,3,3,1,92,3,3,2,95,1,2,2,94,3,2,1,93,3,3,1,94,1,1,4,86,2,7,5,95,1,3,1,88,1,9,2,6,2,24,68,80,0,12,8,10,2,29,59,71,0,8,21,92,2,6,0,92,0,1,7,0,99,0,0,1,21,0,28,51,100,16,1,47,19,8,9,22,7,35,15,21,22,16,38,8,16,22,11,53,7,7,22,12,42,15,9,22,14,10,6,48,73,7,15,5,73,13,4,10,73,15,3,9,73,13,4,10,73,13,4,10,73,13,5,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,7,42,29,22,8,55,15,22,9,49,20,22,10,37,31,22,11,28,39,22,9,41,28,25,0,36,39,64,0,15,9,3,9,26,1,5,14,33,21,26,2,60,12,26,4,21,49,26,1,24,25,11,3,6,4,26,1,7,19,33,14,26,1,14,32,22,5,26,2,3,62,7,27,5,2,59,7,59,4,30,7,46,4,38,12,52,4,32,12,64,3,28,5,73,3,21,3,60,3,32,5,33,3,0,8,15,14,27,33,1,1,8,14,14,29,35,1,28,21,5,10,35,2,10,16,10,27,35,1,17,16,14,17,68,3,24,5,68,10,13,9,68,9,17,6,36,0,43,21,79,0,7,14,93,0,2,1,0,1,0,0,3,52,2,1,3,11,0,5,9,1,1,5,3,4,0,0,3,41,3,56,0,0,41,3,6,32,16,2,0,0,0,44,6,21,24,5,44,5,27,18,3,3,0,2.911764705882353,2.8430419800866042,2.5,1.3165611772087666,13.872727272727273,6.414839697932314,3,1.9483116709979795
ET,ETH,Ethiopia,Addis Abeba,2020-12-31,2020-12-27,100,1,255214.892470487,1,255214.892470487,44,95,13645095.281673364,64,3,1,96,3,10,87,3,1,96,2,11,87,3,11,86,3,8,89,1,6,93,3,6,91,2,3,95,3,4,93,3,11,86,4,12,84,3,5,92,3,16,81,99,0,1,0,90,1,5,4,99,1,0,0,89,1,3,7,89,1,6,4,92,1,1,6,94,0,2,4,94,1,5,0,97,1,2,0,96,1,1,2,89,1,7,3,88,1,7,4,95,0,1,4,84,1,11,4,5,0,22,73,79,0,8,13,8,2,30,60,70,0,9,21,91,2,7,0,91,1,4,4,0,96,2,2,0,19,0,28,53,100,9,1,48,25,9,8,14,2,47,13,24,14,7,48,13,18,14,6,54,13,13,14,5,53,13,15,14,8,15,8,55,72,11,9,8,72,10,6,12,72,11,10,7,72,12,9,7,72,12,6,10,72,12,4,12,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,4,43,36,17,8,51,24,17,5,57,21,17,5,42,36,17,6,31,46,17,4,40,39,18,1,40,41,60,0,24,9,2,5,20,0,0,8,35,37,20,2,78,0,24,1,13,62,24,0,44,24,5,3,0,0,24,1,17,11,27,20,24,0,16,35,19,6,24,0,2,67,7,25,1,2,66,6,57,3,35,5,49,3,46,2,43,4,47,6,58,4,32,6,69,2,24,5,60,4,34,2,25,1,1,4,12,17,40,25,0,2,8,10,11,44,28,0,25,24,14,9,28,0,8,14,21,29,28,0,12,18,24,18,70,2,25,3,70,8,13,9,70,7,17,6,29,1,49,21,79,1,9,11,93,0,1,1,0,0,0,1,4,45,1,2,6,2,1,5,7,3,1,1,5,6,3,2,10,35,1,63,1,0,35,0,3,27,18,10,7,0,0,35,0,60,5,0,35,1,24,12,14,7,7,3.051282051282051,2.416486335121153,2.5714285714285716,1.6967972416057493,14.640624999999998,5.9103546142906405,2.921875,1.9704538797098226
ET,ETH,Ethiopia,Oromia,2020-12-31,2020-12-23,100,2,376959.102759215,0,0,55,93,16727275.65341106,57,9,3,88,10,11,79,10,3,87,9,6,85,9,6,85,10,7,83,9,7,84,9,4,87,10,5,85,11,5,84,9,5,86,9,14,77,12,4,84,10,13,77,97,1,1,1,89,2,6,3,97,0,2,1,94,2,1,3,94,2,2,2,93,3,2,2,93,2,4,1,96,0,2,2,95,2,2,1,95,2,2,1,95,0,1,4,86,1,7,6,96,0,3,1,87,1,9,3,5,2,24,69,79,0,10,11,8,1,29,62,71,0,8,21,92,2,6,0,92,0,1,7,0,99,0,0,1,18,0,34,48,100,15,0,46,22,7,10,20,4,35,17,24,20,12,41,11,16,20,9,56,8,7,20,7,47,16,10,20,11,13,5,51,68,6,16,10,68,14,4,14,68,16,3,13,68,14,4,14,68,14,3,15,68,14,5,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,6,37,35,22,6,55,17,22,7,52,19,22,8,37,33,22,9,28,41,22,7,43,28,25,0,37,38,63,0,16,10,4,7,26,1,4,16,33,20,26,1,60,13,26,3,24,47,26,0,24,24,14,4,7,1,26,0,9,18,34,13,26,0,18,32,19,5,26,1,6,61,6,29,4,4,55,8,64,2,25,9,47,2,34,17,50,2,31,17,65,2,24,9,74,2,19,5,59,1,30,10,33,2,1,6,15,15,28,33,0,2,9,13,17,26,34,1,27,21,6,11,34,1,12,19,11,23,34,0,23,16,14,13,61,5,27,7,61,11,18,10,61,9,20,10,34,0,46,20,80,0,6,14,94,0,2,0,0,1,0,0,3,50,3,2,3,11,0,5,11,1,0,5,2,5,0,0,2,39,3,58,0,0,39,2,7,34,15,2,1,0,0,43,5,18,28,6,43,4,27,21,2,3,0,2.9714285714285715,2.8541581048349367,2.7222222222222223,1.3636264606493256,13.859649122807017,6.35676972237143,2.764705882352941,1.7502940929354431
