ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
FI,FIN,Finland,Uusimaa,2020-12-21,2020-12-21,139,0,0,0,0,18,132,971756.2415823576,112,1,0,138,1,15,123,1,1,137,0,26,113,1,33,105,1,20,118,1,16,122,1,3,135,1,9,129,1,1,137,1,7,131,1,28,110,1,6,132,1,14,124,139,0,0,0,125,0,5,9,139,0,0,0,114,0,5,20,106,0,8,25,120,0,6,13,124,0,6,9,137,0,1,1,131,0,3,5,138,0,0,1,133,0,4,2,112,0,7,20,134,0,2,3,125,0,8,6,7,0,10,122,129,0,3,7,8,4,64,63,75,0,16,48,123,0,14,2,123,1,15,0,138,0,1,28,1,4,106,139,0,0,0,0,9,0,71,38,13,8,122,0,4,12,1,122,0,9,8,0,122,0,7,10,0,122,0,10,7,0,122,0,1,12,4,0,135,0,1,3,135,0,0,4,135,0,1,3,135,0,0,4,135,0,0,4,135,0,0,4,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,12,0,43,84,12,0,98,29,12,0,47,80,12,0,60,67,12,0,6,121,12,1,25,101,13,0,59,67,80,41,11,2,5,15,0,1,5,38,80,15,1,123,0,17,0,25,97,17,0,65,39,6,4,7,1,17,1,26,39,34,22,18,0,30,67,19,5,18,1,57,61,2,20,0,59,56,4,97,0,34,8,42,0,90,7,93,1,40,5,80,1,28,30,133,0,5,1,115,0,20,4,21,0,1,1,9,22,85,21,0,1,3,8,21,85,21,0,11,54,44,9,21,0,0,5,11,102,21,0,5,13,31,69,121,2,11,5,121,3,0,15,121,2,3,13,21,0,82,36,103,0,9,27,130,0,3,0,1,1,0,0,4,50,0,0,3,4,11,0,9,17,7,0,2,12,3,1,4,16,24,1,48,65,0,1,24,0,6,25,30,29,10,12,3,27,3,76,19,14,27,2,49,25,28,7,1,5.806451612903226,6.64766373278445,1.8888888888888888,0.7817359599705717,14.31132075471698,5.654097894527338,2.4444444444444446,1.3278704286900165
FI,FIN,Finland,Uusimaa,2020-12-22,2020-12-22,160,0,0,0,0,27,158,1020983.2094651506,137,1,0,159,1,9,150,2,5,153,1,19,140,0,46,114,1,17,142,1,9,150,1,4,155,1,4,155,1,2,157,1,8,151,1,22,137,1,9,150,1,33,126,160,0,0,0,151,0,0,9,155,0,0,5,141,0,4,15,114,1,9,36,143,0,5,12,151,0,3,6,156,0,3,1,156,0,3,1,158,0,2,0,152,2,2,4,138,0,8,14,151,0,3,6,127,1,14,18,2,0,17,141,145,0,7,8,6,2,65,87,95,1,12,52,148,0,12,0,148,1,11,0,159,0,1,21,1,3,135,160,0,0,0,0,8,0,98,40,10,4,11,1,42,99,7,11,4,92,50,3,11,4,81,57,7,11,4,84,55,6,11,6,26,83,34,0,157,0,0,3,157,0,0,3,157,0,0,3,157,0,1,2,157,0,0,3,157,0,0,3,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,13,1,43,103,13,1,118,28,13,1,52,94,13,0,69,78,13,0,6,141,13,0,40,107,14,1,66,79,94,55,10,0,1,14,0,0,7,46,93,14,0,143,3,14,3,20,123,14,1,73,53,12,3,1,3,14,1,43,30,59,13,14,1,31,88,21,5,15,0,64,79,2,18,0,58,80,4,117,1,38,4,43,1,111,5,108,1,46,5,92,0,36,32,154,0,3,3,120,1,37,2,18,0,0,4,12,37,89,18,0,0,5,15,41,81,18,2,21,63,44,12,18,0,1,4,18,119,18,0,6,31,31,74,123,2,29,6,123,7,3,27,123,7,12,18,18,0,93,49,111,0,17,32,143,1,2,0,5,2,0,0,7,51,1,0,6,3,11,2,5,15,3,0,4,25,7,4,3,20,20,3,52,85,0,0,20,0,12,25,35,20,25,16,7,21,4,91,26,18,21,3,56,34,30,10,6,8.258823529411766,10.968735809841824,1.666666666666667,1.0465362369445672,14.691176470588236,4.461381127927477,2.3134328358208953,1.2943945688878387
FI,FIN,Finland,Uusimaa,2020-12-23,2020-12-23,145,1,5483.78412160315,0,0,19,141,916090.0585568615,121,1,1,143,1,14,130,1,4,140,0,16,129,1,29,115,1,17,127,1,14,130,2,0,143,1,2,142,1,1,143,1,2,142,1,20,124,1,9,135,1,18,126,144,0,1,0,131,0,2,12,141,1,0,3,129,0,3,13,116,1,6,22,128,1,2,14,131,0,3,11,145,0,0,0,143,0,1,1,144,0,0,1,143,1,0,1,125,1,10,9,136,0,4,5,127,0,9,9,4,0,14,127,132,0,4,9,6,0,63,76,82,1,9,53,136,0,9,0,136,1,8,0,144,0,1,16,1,6,122,145,0,0,0,0,9,0,87,30,11,8,14,3,40,79,9,14,2,73,47,9,14,3,64,55,9,14,2,70,48,11,14,5,19,87,20,0,140,1,0,4,140,1,3,1,140,0,4,1,140,1,1,3,140,1,0,4,140,1,2,2,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,15,1,45,84,15,0,110,20,15,1,55,74,15,0,51,79,15,1,5,124,15,0,30,100,15,0,57,73,88,41,10,4,2,15,1,2,4,46,77,15,1,126,3,16,0,22,107,16,0,61,51,11,4,1,1,16,0,35,35,42,17,16,1,29,65,30,4,16,1,63,62,3,17,3,61,61,3,100,0,30,15,35,1,102,7,90,2,42,11,94,2,25,24,140,1,4,0,115,1,26,3,18,1,2,0,12,16,96,18,1,2,3,10,30,81,20,2,13,57,47,6,20,0,1,3,13,108,20,0,5,21,23,76,119,0,20,6,119,2,3,21,119,1,5,20,20,2,77,46,99,0,19,27,126,0,3,1,3,1,1,0,10,49,0,1,4,4,14,0,5,9,6,0,3,17,6,3,5,19,21,1,55,65,1,2,21,0,13,20,23,22,25,17,4,23,0,78,25,19,23,0,37,36,29,14,6,6.781746031746032,10.410572718230087,1.4166666666666667,0.6685579234215214,14.37704918032787,4.61282414498999,2.4049586776859506,1.2286748444068663
FI,FIN,Finland,Pirkanmaa,2020-12-24,2020-12-21,100,0,0,0,0,23,100,1062161.5413875144,79,1,1,98,1,7,92,1,0,99,1,9,90,1,23,76,1,16,83,1,7,92,1,0,99,1,2,97,1,2,97,1,4,95,1,23,76,1,7,92,1,13,86,99,0,0,1,93,0,3,4,100,0,0,0,91,0,1,8,77,0,4,19,84,0,6,10,93,0,4,3,100,0,0,0,98,0,0,2,98,0,1,1,96,0,2,2,77,0,9,14,93,0,2,5,87,0,7,6,0,0,12,88,89,0,5,6,1,0,33,66,67,0,6,27,94,0,5,1,94,0,6,0,100,0,0,8,0,3,89,100,0,0,0,0,4,0,51,33,6,6,19,0,26,50,5,19,1,43,30,7,19,1,36,33,11,19,1,37,32,11,19,1,8,52,20,0,97,0,0,3,97,0,1,2,97,0,1,2,97,0,1,2,97,0,0,3,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,1,25,64,10,0,71,19,10,0,32,58,10,0,44,46,10,0,3,87,10,0,16,74,10,0,37,53,63,24,9,2,2,11,0,0,9,30,50,11,0,89,0,13,1,13,73,13,0,41,29,7,4,5,1,13,0,22,20,30,15,14,0,21,41,16,8,15,0,31,53,1,15,1,26,58,0,75,0,17,8,29,0,65,6,68,0,21,11,56,0,15,29,97,0,3,0,84,0,13,3,16,1,0,2,7,19,55,16,0,0,1,11,15,57,16,1,7,45,25,6,16,0,0,5,10,69,16,0,9,16,22,37,76,1,20,3,76,1,2,21,76,1,5,18,19,0,52,29,71,0,10,19,90,0,2,1,1,0,1,0,5,39,0,0,6,1,9,1,0,8,4,0,3,11,5,1,4,8,20,1,30,44,3,2,20,0,8,18,14,22,13,5,0,21,1,39,31,8,21,0,31,19,16,9,4,6.88,8.183208292545393,2,1.5491933384829668,14.662337662337663,5.23804500897643,2.576923076923077,1.4097916468444858
FI,FIN,Finland,Uusimaa,2020-12-24,2020-12-23,100,0,0,0,0,20,100,894197.466888016,89,1,0,99,1,9,90,1,3,96,1,15,84,1,25,74,0,8,92,1,4,95,1,2,97,1,4,95,1,1,98,1,4,95,1,11,88,0,2,98,0,13,87,100,0,0,0,91,0,5,4,97,0,1,2,85,0,6,9,75,0,8,17,92,0,2,6,96,0,0,4,98,0,1,1,96,0,1,3,99,0,1,0,96,0,1,3,89,0,6,5,98,0,1,1,87,0,6,7,0,0,11,89,89,0,4,7,0,0,40,60,60,0,7,33,93,1,6,0,93,0,7,0,100,0,0,7,2,4,87,100,0,0,0,0,1,0,58,30,6,5,4,2,32,57,5,4,2,58,33,3,4,3,55,34,4,4,2,55,35,4,4,4,13,62,17,0,96,0,1,3,96,0,2,2,96,0,0,4,96,0,1,3,96,0,0,4,96,0,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,6,1,26,67,6,0,75,19,6,0,33,61,6,1,49,44,6,1,1,92,6,2,16,76,7,0,45,48,55,36,7,2,0,7,0,0,8,36,49,7,1,92,0,8,2,14,76,8,0,41,32,9,5,3,2,8,0,24,34,22,12,8,0,21,49,18,4,8,0,45,46,1,8,0,38,52,2,74,0,16,10,25,1,67,7,67,1,25,7,51,1,12,36,99,0,1,0,84,0,14,2,8,1,2,2,11,21,55,8,0,1,3,12,21,55,9,0,12,45,25,9,9,0,0,3,10,78,9,0,5,16,17,53,79,0,17,4,79,2,2,17,79,2,5,14,9,0,58,33,67,0,9,24,91,0,5,1,0,0,0,0,3,33,0,1,5,2,7,0,4,3,0,0,2,14,6,3,1,19,11,3,41,44,0,1,11,0,8,13,24,21,8,12,3,11,1,60,20,8,11,1,27,21,25,11,4,9.227272727272727,11.045073902210225,1.9,0.8755950357709131,14.427710843373495,5.499519119842674,2.6744186046511627,1.3055705127970259
FI,FIN,Finland,Varsinais-Suomi,2020-12-24,2020-12-21,100,0,0,0,0,17,93,531301.0908162766,80,0,1,99,0,9,91,0,2,98,0,16,84,0,36,64,0,13,87,0,9,91,0,3,97,0,5,95,0,1,99,0,2,98,0,14,86,0,7,93,0,11,89,99,0,0,1,91,0,4,5,98,0,0,2,84,1,4,11,64,1,2,33,87,1,2,10,91,0,1,8,97,0,1,2,95,1,2,2,99,1,0,0,98,0,1,1,86,0,5,9,93,0,3,4,89,2,4,5,7,0,9,84,91,0,3,6,8,0,29,63,71,0,8,21,92,0,8,0,92,1,7,0,99,0,1,16,4,3,77,100,0,0,0,0,8,0,47,24,15,6,21,1,20,53,5,21,2,39,34,4,21,1,36,37,5,21,1,38,36,4,21,1,11,43,24,0,97,0,0,3,97,0,0,3,97,0,1,2,97,0,0,3,97,0,0,3,97,0,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,0,28,59,13,0,68,19,13,0,24,63,13,0,41,46,13,0,3,84,13,0,6,81,14,0,38,48,62,31,3,3,1,15,0,1,4,26,54,15,0,85,0,15,1,13,71,15,0,44,29,7,3,1,1,15,0,14,24,30,17,15,1,17,44,17,6,16,0,37,46,1,16,0,37,45,2,72,0,19,9,32,0,66,2,76,0,21,3,59,0,16,25,97,0,1,2,94,0,5,1,16,1,0,0,5,23,55,16,0,0,1,3,18,62,16,1,6,45,26,6,16,0,0,2,9,73,16,0,2,18,16,48,80,0,15,5,80,1,1,18,80,1,7,12,16,1,57,26,74,0,8,18,92,0,1,0,1,1,0,2,3,35,0,2,4,5,11,2,3,9,6,0,4,11,2,1,0,5,17,2,32,47,1,1,17,0,7,14,17,20,17,5,3,19,1,36,23,21,19,1,37,18,13,9,3,4.434782608695652,5.463625877516559,2,1.4142135623730951,13.4375,5.974298857225259,2.2125,1.4114697430136567
FI,FIN,Finland,Pirkanmaa,2020-12-25,2020-12-22,100,0,0,0,0,24,99,1148598.773503141,75,1,1,98,0,9,91,0,0,100,1,8,91,1,25,74,2,14,84,1,8,91,0,1,99,0,4,96,1,1,98,0,3,97,1,18,81,1,6,93,0,10,90,99,0,0,1,91,0,4,5,100,0,0,0,92,0,1,7,75,0,5,20,86,0,7,7,92,0,5,3,99,0,0,1,96,0,0,4,99,0,1,0,97,0,2,1,82,0,7,11,94,0,2,4,90,0,6,4,1,0,13,86,87,0,5,8,1,0,31,68,69,0,6,25,94,0,6,0,94,0,6,0,100,0,0,8,1,3,88,100,0,0,0,0,4,0,48,37,5,6,9,1,28,56,6,9,3,46,34,8,9,4,37,40,10,9,4,44,34,9,9,4,11,56,20,0,97,0,0,3,97,0,1,2,97,0,1,2,97,0,1,2,97,0,0,3,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,0,22,65,13,0,63,24,13,0,26,61,13,0,40,47,13,0,2,85,13,0,16,71,14,0,39,47,61,23,11,3,2,15,0,0,8,28,49,15,0,85,0,17,3,12,68,17,0,41,30,5,2,5,0,17,0,20,16,31,16,18,0,20,40,17,5,19,0,31,49,1,19,1,27,51,2,78,0,16,6,37,0,57,6,74,0,19,7,60,0,13,27,98,0,2,0,84,0,13,3,20,1,0,1,9,20,49,20,0,0,1,13,11,55,20,1,7,41,25,6,20,0,0,4,11,65,20,0,8,10,26,36,83,1,14,2,83,0,2,15,83,0,3,14,22,0,47,31,69,0,8,23,92,0,2,0,1,0,1,0,4,46,0,1,7,2,7,1,0,9,4,0,2,8,1,1,4,7,24,2,27,42,2,3,24,0,9,14,9,21,14,9,0,25,1,37,26,11,25,0,26,20,17,7,5,7.260869565217392,8.582759935821462,2,1.5491933384829668,14.383561643835616,4.934656739683964,2.493150684931507,1.3030230627194175
FI,FIN,Finland,Uusimaa,2020-12-25,2020-12-25,106,0,0,0,0,16,104,770451.1904599139,98,1,3,102,1,13,92,1,4,101,1,15,90,1,31,74,1,12,93,1,10,95,1,2,103,1,4,101,1,0,105,1,3,102,1,16,89,1,3,102,0,14,92,103,1,1,1,93,1,5,7,102,0,1,3,91,1,1,13,75,2,6,23,94,0,5,7,96,1,6,3,104,0,1,1,102,0,1,3,106,0,0,0,103,1,2,0,90,2,3,11,102,0,2,2,92,0,5,9,2,0,6,98,100,0,3,3,2,0,48,56,58,0,15,33,91,1,14,0,91,1,14,0,105,0,1,17,1,0,88,106,0,0,0,0,2,0,59,25,13,7,5,0,33,63,5,5,0,48,49,4,5,0,47,50,4,5,1,43,49,8,5,2,12,63,24,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,106,0,0,0,5,0,13,88,5,0,60,41,5,0,26,75,5,0,57,44,5,0,4,97,5,0,11,90,6,0,55,45,51,38,16,1,0,7,0,0,5,34,60,7,0,98,1,7,0,11,88,7,0,48,34,8,4,4,1,7,0,18,29,37,15,7,0,27,52,15,5,7,0,54,45,0,7,0,51,48,0,93,1,7,5,47,1,51,7,81,1,20,4,50,1,14,41,102,1,2,1,95,1,8,2,8,0,1,0,6,19,72,8,0,2,1,9,19,67,8,0,8,44,40,6,8,0,0,4,6,88,8,0,4,10,23,61,92,1,9,4,92,3,1,10,92,3,2,9,8,0,61,37,69,0,16,21,90,0,0,1,1,2,0,2,10,29,0,0,4,2,13,0,3,10,0,0,4,10,7,1,2,21,8,0,44,54,0,0,8,0,3,11,26,27,13,15,3,8,1,63,23,11,8,0,33,33,17,9,6,6.572727272727272,8.650849980620713,2.6666666666666665,1.8618986725025255,14.4,4.509166693488157,2.670103092783505,1.498065763218636
FI,FIN,Finland,Varsinais-Suomi,2020-12-25,2020-12-22,100,0,0,0,0,16,93,469315.9512949487,81,0,1,99,0,7,93,0,2,98,0,14,86,0,28,72,0,14,86,0,9,91,0,3,97,0,3,97,0,1,99,0,1,99,0,17,83,0,7,93,0,9,91,99,0,0,1,93,0,2,5,98,0,0,2,86,0,4,10,72,1,2,25,86,1,3,10,91,0,3,6,97,0,0,3,97,1,2,0,99,1,0,0,99,0,1,0,83,0,3,14,93,0,4,3,91,1,6,2,7,0,7,86,93,0,2,5,8,0,35,57,65,1,8,26,92,1,7,0,92,0,8,0,100,0,0,17,3,2,78,100,0,0,0,0,9,0,57,17,11,6,12,0,30,51,7,12,1,56,28,3,12,1,46,37,4,12,1,46,36,5,12,1,17,49,21,0,98,0,0,2,98,0,0,2,98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,0,21,65,14,0,58,28,14,0,21,65,14,0,48,38,14,0,4,82,14,0,5,81,15,0,42,43,58,29,10,3,0,15,0,0,4,26,55,15,0,85,0,15,0,11,74,15,0,44,32,4,3,1,1,15,0,13,24,32,16,15,1,18,48,14,4,16,0,35,47,2,17,0,37,44,2,79,0,13,8,42,0,57,1,79,0,19,2,52,0,14,34,96,0,2,2,95,0,4,1,18,0,0,0,7,25,50,18,0,0,1,7,14,60,18,1,9,38,28,6,18,0,0,3,10,69,18,0,2,17,24,39,81,0,15,4,81,0,1,18,81,0,6,13,18,1,51,30,70,0,13,17,87,0,2,0,1,2,0,1,7,36,0,2,5,4,11,1,4,9,5,0,2,9,4,2,0,6,18,0,32,48,1,1,18,0,10,8,16,23,20,3,2,18,3,32,24,23,18,2,31,18,18,9,4,4.195652173913044,5.066752478296971,2.5,1.378404875209022,13.076923076923078,5.476678372335369,2.329113924050633,1.3274374676212288
FI,FIN,Finland,Pirkanmaa,2020-12-26,2020-12-23,100,0,0,0,0,18,99,1066768.4873950055,78,1,0,99,0,10,90,0,3,97,1,11,88,1,22,77,2,13,85,1,6,93,0,1,99,0,6,94,1,1,98,0,2,98,1,12,87,1,3,96,0,10,90,100,0,0,0,90,0,3,7,97,0,1,2,89,0,1,10,78,0,5,17,87,0,5,8,94,0,4,2,99,0,0,1,94,0,0,6,99,0,1,0,98,0,0,2,88,0,6,6,97,0,1,2,90,0,5,5,1,0,8,91,92,0,3,5,1,0,32,67,68,0,3,29,97,0,3,0,97,0,3,0,100,0,0,5,1,2,92,100,0,0,0,0,3,0,50,39,3,5,9,1,29,56,5,9,4,47,36,4,9,5,39,42,5,9,5,49,31,6,9,5,11,58,17,0,98,1,0,1,98,0,2,0,98,1,0,1,98,1,1,0,98,0,1,1,98,1,1,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,0,18,71,11,0,55,34,11,0,23,66,11,0,49,40,11,0,2,87,11,0,12,77,12,0,40,48,60,21,15,2,2,13,0,1,7,26,53,13,0,85,2,16,3,11,70,16,0,38,34,4,0,7,1,16,0,17,17,34,16,16,0,16,45,17,6,16,0,38,46,0,17,1,36,44,2,82,0,16,2,45,0,50,5,77,0,17,6,51,0,17,32,98,0,1,1,88,0,10,2,19,0,0,1,10,18,52,19,0,0,1,13,16,51,19,1,7,33,33,7,19,0,0,3,10,68,19,0,6,13,26,36,81,1,16,2,81,1,3,15,81,0,5,14,20,0,45,35,65,0,11,24,89,0,1,0,2,0,1,1,6,45,0,1,6,2,5,1,0,11,4,0,4,9,2,1,4,5,22,2,28,45,2,1,22,0,8,10,13,23,15,9,0,22,1,35,22,20,22,0,21,19,21,11,6,7.13953488372093,10.718434043737203,2.6666666666666665,1.8618986725025255,14.333333333333334,4.451945621839941,2.776315789473684,1.5196375375773115
