ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CL,CHL,Chile,B<c3><ad>o-B<c3><ad>o,2020-12-21,2020-12-21,119,0,0,0,0,21,108,1041846.5692565729,85,4,1,114,3,7,109,3,0,116,3,18,98,1,14,104,4,17,98,3,10,106,3,2,114,4,1,114,3,2,114,3,9,107,3,24,92,3,4,112,1,20,98,118,0,1,0,112,0,1,6,119,0,0,0,101,0,9,9,105,0,3,11,102,0,3,14,109,0,3,7,117,0,1,1,118,0,1,0,117,0,1,1,110,0,5,4,95,1,11,12,115,0,2,2,99,0,10,10,11,0,13,95,107,0,1,11,12,1,35,71,84,0,8,27,111,0,8,0,111,1,7,0,118,0,1,0,22,4,8,85,119,0,0,0,0,13,0,40,38,20,8,75,3,20,18,3,75,6,26,10,2,75,5,25,11,3,75,6,18,16,4,75,5,2,7,30,111,2,2,4,111,2,4,2,111,1,3,4,111,0,4,4,111,1,4,3,111,1,3,4,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,19,2,39,59,19,1,52,47,19,4,9,87,19,2,33,65,19,4,4,92,19,3,16,81,23,1,45,50,74,0,26,15,0,4,24,0,1,3,29,62,24,0,94,1,25,4,18,72,25,0,83,3,0,1,0,7,25,0,24,27,28,15,25,1,40,38,11,4,119,119,81,0,38,0,68,1,49,1,110,0,9,0,86,0,25,8,115,0,2,2,103,1,15,0,25,0,2,0,15,23,54,25,0,2,3,13,16,60,26,3,53,25,9,3,26,1,20,15,25,32,26,0,20,35,18,20,66,4,39,10,66,6,17,30,66,4,23,26,28,1,50,40,79,0,13,27,107,0,2,0,1,0,1,1,7,57,0,2,5,3,8,0,2,6,5,0,1,2,1,0,8,19,31,4,41,43,0,0,31,1,11,14,10,26,18,5,3,32,4,69,11,3,32,1,7,24,29,18,8,2.608695652173913,1.914601912432918,1.6666666666666667,0.778498944161523,10.481012658227849,6.492324382257336,3.3012048192771086,1.3227368132208546
CL,CHL,Chile,Regi<c3><b3>n Metropolitana de Santiago,2020-12-21,2020-12-21,363,0,0,0,0,50,342,4492154.963941916,269,3,2,358,4,33,326,3,4,356,4,37,322,2,74,287,3,44,316,4,32,327,5,8,350,2,14,347,2,5,356,3,32,328,3,80,280,3,4,356,3,73,287,361,0,0,2,330,1,19,13,359,0,0,4,326,1,17,19,290,1,15,57,319,2,12,30,331,1,15,16,355,0,4,4,349,2,7,5,358,0,4,1,331,1,18,13,284,3,23,53,359,0,3,1,291,1,31,40,20,1,25,317,338,0,8,17,21,5,124,213,240,2,28,93,335,1,23,4,335,13,15,0,351,4,7,1,58,4,28,273,363,0,0,0,0,26,1,133,125,44,34,239,6,57,39,22,239,5,70,31,18,239,3,64,33,24,239,4,44,45,31,239,5,11,13,95,335,6,12,10,335,9,6,13,335,9,9,10,335,7,10,11,335,10,3,15,335,8,7,13,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,363,0,0,0,43,9,121,190,43,2,202,116,43,9,58,253,43,6,137,177,43,10,20,290,43,6,95,219,46,1,166,150,197,0,115,31,9,11,49,2,0,20,99,193,49,0,314,0,51,4,74,234,51,1,278,14,2,3,1,13,51,0,60,87,113,52,54,4,97,156,39,13,363,363,242,2,116,3,161,1,199,2,305,0,54,4,226,1,75,61,343,0,16,4,268,0,94,1,59,0,4,20,51,66,163,59,0,3,26,53,78,144,61,2,157,98,27,18,61,2,44,73,94,89,61,0,79,98,64,61,187,3,144,29,187,22,69,85,187,19,92,65,64,2,163,134,229,1,60,73,309,3,5,0,8,4,7,6,21,147,1,3,14,7,22,2,10,18,11,6,7,22,10,2,6,75,88,3,126,145,0,1,88,0,30,65,74,48,42,13,3,92,6,236,15,14,92,3,43,72,95,40,18,2.889610389610389,1.9622638930005576,2.388888888888889,1.500544563459581,10.658,5.9630754712903995,3.3547169811320754,1.6430023835879546
CL,CHL,Chile,Valpara<c3><ad>so,2020-12-21,2020-12-21,162,1,12452.0682360976,0,0,13,153,1323428.1752157765,115,2,4,156,1,8,153,1,2,159,2,13,147,2,24,136,2,20,140,2,14,146,1,2,159,2,7,153,2,2,158,1,9,152,2,31,129,2,5,155,2,29,131,158,0,1,3,154,0,1,7,160,0,1,1,149,0,5,8,138,0,6,18,142,1,7,12,148,1,4,9,160,0,1,1,155,1,4,2,160,0,1,1,153,0,4,5,131,0,13,18,157,0,4,1,133,0,13,16,9,0,9,144,155,0,1,6,11,1,48,102,114,1,10,37,152,0,10,0,152,3,7,0,160,0,2,0,23,4,15,120,162,0,0,0,0,12,0,52,56,22,20,106,2,29,13,12,106,8,30,8,10,106,8,29,5,14,106,10,21,7,18,106,9,5,5,37,147,5,4,6,147,5,7,3,147,4,8,3,147,7,3,5,147,7,3,5,147,6,5,4,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,16,3,35,108,16,1,103,42,16,3,36,107,16,3,75,68,16,3,12,131,16,2,42,102,19,1,80,62,82,0,53,15,6,6,23,1,1,11,39,87,23,1,137,1,23,0,23,116,23,0,131,4,0,1,1,2,23,1,25,40,54,19,23,1,47,72,11,8,162,162,128,1,33,0,60,2,100,0,126,0,36,0,88,0,49,25,150,0,9,3,120,2,39,1,25,0,0,5,25,20,87,25,2,0,7,20,44,64,26,0,69,41,16,10,26,0,20,33,39,44,26,0,32,46,35,23,89,2,60,11,89,20,27,26,89,17,37,19,32,0,68,62,100,1,25,36,138,3,6,1,5,1,1,1,6,70,0,6,7,2,13,5,0,7,3,4,4,8,2,2,5,24,43,1,48,70,0,0,43,0,10,20,22,24,25,11,7,44,2,87,18,11,44,1,19,50,29,13,6,2.578125,1.925638937459543,1.4285714285714284,0.9759000729485332,11.216346153846153,6.024530930085585,3.0701754385964914,1.5268644383823695
CL,CHL,Chile,Araucan<c3><ad>a,2020-12-22,2020-12-21,100,0,0,0,0,14,93,1058294.3950494654,74,2,0,98,2,10,88,2,1,97,1,16,83,1,20,79,2,10,88,1,7,92,1,4,95,2,6,92,1,4,95,2,11,87,2,21,77,2,4,94,2,19,79,100,0,0,0,90,0,7,3,99,0,1,0,84,0,10,6,80,0,8,12,90,0,8,2,93,0,5,2,96,0,3,1,94,0,4,2,96,0,2,2,89,0,7,4,79,0,9,12,96,0,2,2,81,0,11,8,5,2,8,85,93,0,4,3,7,4,29,60,71,1,9,19,91,1,7,1,91,1,8,0,99,0,1,0,21,1,4,74,100,0,0,0,0,7,0,36,28,13,16,33,4,28,21,14,33,5,37,13,12,33,4,27,18,18,33,4,24,20,19,33,5,7,11,44,96,2,2,0,96,0,2,2,96,1,1,2,96,1,0,3,96,1,0,3,96,1,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,2,31,55,12,0,61,27,12,2,16,70,12,3,45,40,12,2,3,83,12,1,24,63,14,0,48,38,52,0,34,9,2,3,14,0,1,7,28,50,14,0,86,0,16,1,15,68,16,0,70,7,1,1,0,5,16,0,22,24,21,17,16,0,29,41,13,1,100,100,70,1,26,3,39,2,58,1,84,1,14,1,55,1,30,14,97,0,2,1,77,1,22,0,16,0,2,2,11,16,53,16,0,2,4,9,24,45,16,1,41,29,8,5,16,0,17,21,17,29,16,0,28,18,15,23,54,1,40,5,54,8,18,20,54,6,20,20,16,0,45,39,61,1,16,22,85,0,0,0,0,4,0,1,10,40,0,4,5,7,6,1,2,5,4,0,2,4,0,4,2,14,22,0,33,45,0,0,22,0,8,15,18,14,11,9,3,26,3,44,16,11,26,0,6,28,27,10,3,2.6956521739130435,1.8958383102339513,2.5,1.7320508075688772,11.088235294117647,6.166799150670133,3.0684931506849313,1.584024122319898
CL,CHL,Chile,B<c3><ad>o-B<c3><ad>o,2020-12-22,2020-12-22,138,0,0,0,0,51,126,1176891.257170561,99,2,0,136,2,10,126,2,3,133,2,20,116,1,26,111,2,11,125,2,11,125,2,5,131,3,3,132,2,1,135,2,8,128,1,32,105,2,4,132,3,22,113,138,0,0,0,128,0,4,6,135,0,1,2,118,0,10,10,112,0,13,13,127,0,6,5,127,0,6,5,133,1,4,0,135,0,1,2,137,0,0,1,130,1,3,4,106,2,6,24,134,0,2,2,116,0,17,5,12,0,21,105,117,0,7,14,13,1,41,83,97,0,16,25,122,2,14,0,122,2,14,0,136,0,2,0,30,1,13,94,138,0,0,0,0,18,0,51,32,27,10,21,7,48,42,20,21,11,63,25,18,21,10,56,26,25,21,9,41,32,35,21,11,7,20,79,126,2,4,6,126,1,3,8,126,1,3,8,126,1,5,6,126,2,2,8,126,2,2,8,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,138,0,0,0,21,0,42,75,21,1,59,57,21,2,12,103,21,2,41,74,21,2,6,109,21,2,28,87,21,0,55,62,83,0,37,10,3,5,22,2,1,6,42,65,22,1,115,0,22,0,26,90,22,0,103,3,1,0,1,8,22,0,39,32,27,18,23,1,49,51,11,3,138,138,96,1,41,0,79,2,57,0,126,0,12,0,97,1,26,14,132,1,5,0,110,1,27,0,25,0,3,6,16,24,64,25,0,2,4,24,19,64,28,0,62,29,8,11,28,0,12,27,37,34,28,0,25,29,32,24,85,2,40,11,85,7,21,25,85,6,26,21,30,0,57,51,87,0,20,31,118,0,1,0,7,1,2,2,7,61,0,2,7,5,15,2,1,11,2,0,2,1,1,1,2,25,35,1,45,57,0,0,35,0,15,21,17,24,14,12,0,36,0,80,12,10,36,0,14,29,41,15,3,3.018181818181818,2.0045403009622476,2.5,1.7320508075688772,11.010416666666666,6.149873411905007,3.2142857142857144,1.3179959795317495
CL,CHL,Chile,Libertador General Bernardo O'Higgins,2020-12-22,2020-12-21,100,0,0,0,0,17,92,1175390.085748683,65,1,0,99,0,9,91,1,2,97,1,11,88,0,14,86,0,11,89,1,12,87,1,4,95,0,4,96,1,1,98,0,8,92,0,27,73,1,2,97,1,18,81,100,0,0,0,91,1,5,3,98,0,0,2,89,0,5,6,86,2,6,6,89,1,3,7,88,0,8,4,96,0,2,2,96,0,1,3,99,0,1,0,92,1,2,5,73,1,11,15,98,0,2,0,82,1,6,11,8,0,9,83,91,0,4,5,8,1,36,55,64,0,8,28,92,0,8,0,92,1,7,0,99,0,0,1,18,1,13,68,100,0,0,0,0,10,0,29,34,15,12,32,1,32,18,17,32,6,33,20,9,32,3,41,13,11,32,4,26,22,16,32,6,6,7,49,88,1,7,4,88,4,2,6,88,4,2,6,88,3,4,5,88,4,0,8,88,4,0,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,2,37,48,13,0,62,25,13,3,20,64,13,2,40,45,13,3,5,79,13,1,29,57,16,0,43,41,57,0,22,13,3,5,20,0,1,2,21,56,20,0,80,0,22,0,21,57,22,0,71,3,0,0,0,4,22,0,15,25,19,19,22,0,30,33,12,3,100,100,64,0,36,0,38,0,62,0,80,0,20,0,61,0,30,9,95,0,4,1,71,0,29,0,23,0,1,4,6,22,44,23,0,1,6,8,22,40,23,0,46,21,7,3,23,0,11,25,19,22,23,0,26,23,15,13,51,3,34,12,51,8,17,24,51,4,33,12,24,0,44,32,68,0,17,15,85,1,4,0,1,1,0,1,7,41,0,13,4,1,6,1,3,5,1,8,1,1,4,0,0,11,33,0,29,38,0,0,33,0,12,16,12,13,10,4,0,34,0,35,13,18,34,0,4,19,25,15,3,2.7954545454545454,2.063858944325382,2,1.0690449676496976,11.21875,5.840386891946376,3.5000000000000004,1.3272296189953197
CL,CHL,Chile,Maule,2020-12-22,2020-12-21,100,0,0,0,0,23,93,1072579.7210066675,68,0,2,98,0,10,90,1,1,98,1,14,85,1,18,81,1,18,81,1,11,88,1,3,96,1,4,95,1,1,98,1,14,85,0,24,76,1,3,96,1,20,79,98,0,2,0,90,1,6,3,99,0,1,0,86,1,5,8,82,0,4,14,82,3,9,6,89,1,4,6,97,0,3,0,96,0,2,2,99,0,1,0,86,2,5,7,76,2,8,14,97,1,2,0,80,1,8,11,7,0,10,83,90,0,1,9,7,5,26,62,74,1,11,14,89,2,9,0,89,4,7,0,96,1,3,0,24,1,7,68,100,0,0,0,0,8,0,29,29,21,13,22,3,30,20,25,22,5,37,22,14,22,5,39,22,12,22,6,29,17,26,22,7,7,12,52,94,1,4,1,94,0,2,4,94,1,2,3,94,1,1,4,94,1,1,4,94,1,0,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,1,34,55,10,0,66,24,10,1,22,67,10,1,43,46,10,1,6,83,10,0,29,61,11,0,47,42,53,0,32,9,3,3,13,0,0,3,28,56,13,0,87,0,16,2,20,62,16,0,74,3,0,2,0,5,16,0,22,25,21,16,16,3,36,32,10,3,100,100,67,0,32,1,35,0,63,2,79,0,21,0,58,0,31,11,94,0,5,1,71,1,28,0,16,0,2,7,11,16,48,16,1,0,8,11,21,43,18,1,48,23,6,4,18,0,18,19,25,20,18,0,27,22,21,12,51,6,32,11,51,7,19,23,51,2,29,18,19,0,39,42,58,0,17,25,84,1,1,1,1,2,0,2,8,46,0,5,4,3,12,3,0,1,2,1,3,1,0,0,2,17,28,0,30,42,0,0,28,1,6,24,10,8,14,8,1,31,0,39,18,12,31,1,11,17,32,5,3,2.7560975609756095,1.7575620587176721,2.857142857142857,1.9518001458970664,11.75,5.0015870497146215,3.26865671641791,1.4520840775415385
CL,CHL,Chile,Regi<c3><b3>n Metropolitana de Santiago,2020-12-22,2020-12-22,391,0,0,0,0,41,365,4351389.0608391445,293,1,0,390,1,28,362,2,12,377,0,50,341,2,71,318,1,44,346,1,38,352,1,11,379,1,16,374,1,5,385,1,33,357,1,86,304,1,5,385,1,91,299,391,0,0,0,363,1,6,21,379,2,7,3,341,0,27,23,320,1,23,47,347,1,18,25,353,2,18,18,380,0,7,4,375,0,8,8,386,0,2,3,358,2,14,17,305,2,27,57,386,1,2,2,300,3,34,54,26,0,21,344,371,0,3,17,30,2,133,226,258,1,31,101,360,0,31,0,360,8,23,0,383,1,7,0,64,4,31,292,391,0,0,0,0,31,1,161,114,57,27,34,21,143,131,62,34,21,191,102,43,34,19,178,89,71,34,15,161,93,88,34,20,37,74,226,361,8,9,13,361,9,7,14,361,13,5,12,361,9,11,10,361,13,2,15,361,12,3,15,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,391,0,0,0,36,9,141,205,36,2,237,116,36,5,96,254,36,3,165,187,36,6,24,325,36,4,106,245,42,1,187,161,204,1,131,26,13,16,46,1,2,16,110,216,46,2,343,0,51,2,83,255,51,0,306,13,0,1,1,19,51,1,64,110,102,63,53,3,103,167,52,13,391,391,251,0,135,5,156,1,232,2,297,0,93,1,227,0,114,50,367,1,20,3,285,1,104,1,57,1,4,12,55,85,177,57,1,6,24,49,83,171,61,6,158,124,24,18,61,2,46,79,86,117,61,1,80,112,68,69,199,9,150,33,199,29,64,99,199,23,107,62,64,3,186,138,253,0,57,81,337,2,9,1,14,6,1,2,19,155,0,6,25,8,23,6,8,24,12,2,8,28,9,2,9,66,88,7,136,159,0,1,88,2,30,66,72,59,49,18,7,95,6,258,12,20,95,1,43,90,100,38,24,2.7924418604651162,1.8065510651476178,2.111111111111111,1.450715397105405,11.25886524822695,6.203575721522792,3.2916666666666665,1.5454778361918617
CL,CHL,Chile,Valpara<c3><ad>so,2020-12-22,2020-12-22,177,1,9043.92896429146,0,0,7,163,1280886.195858263,123,1,1,175,3,13,161,2,6,169,2,13,162,3,33,141,2,20,155,1,8,168,2,5,170,1,3,173,1,1,175,1,10,166,2,29,146,2,2,173,2,34,141,176,0,0,1,164,2,6,5,171,3,1,2,164,2,6,5,144,3,12,18,157,0,9,11,169,2,4,2,172,1,2,2,174,1,2,0,176,1,0,0,167,1,5,4,148,0,9,20,175,1,1,0,143,2,12,20,14,0,7,156,171,0,1,5,15,4,51,107,126,1,12,38,165,0,9,3,165,1,11,0,176,0,1,0,32,3,19,123,177,0,0,0,0,15,1,58,54,27,22,24,2,73,42,36,24,10,83,31,29,24,11,74,33,35,24,12,62,38,41,24,14,16,27,96,158,5,4,10,158,5,5,9,158,6,7,6,158,4,7,8,158,6,3,10,158,8,3,8,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,177,0,0,0,27,3,55,92,27,1,106,43,27,3,36,111,27,3,72,75,27,4,17,129,27,2,62,86,29,1,82,65,95,1,62,10,4,5,30,2,0,10,43,92,30,1,146,0,34,2,30,111,34,0,128,9,2,0,0,4,34,2,23,46,45,27,37,2,45,66,18,9,177,177,123,0,53,1,72,2,103,0,142,3,31,1,106,1,47,23,160,0,12,5,116,1,60,0,38,0,0,4,15,30,90,38,0,1,5,18,29,86,38,2,62,48,17,10,38,2,24,27,42,44,38,0,32,45,36,26,101,4,57,15,101,13,32,31,101,11,42,23,40,0,71,66,111,0,29,37,150,1,4,0,5,3,1,3,10,79,1,3,6,4,4,3,3,5,5,1,3,7,5,6,7,35,49,1,45,79,2,1,49,0,16,26,28,24,16,16,2,53,4,97,13,10,53,2,14,32,52,22,2,2.819444444444444,1.8410528898836618,1,0,11.65677966101695,5.798872257198746,2.9583333333333335,1.3372229679849366
CL,CHL,Chile,Antofagasta,2020-12-23,2020-12-21,100,0,0,0,0,8,94,775649.4519264548,71,0,0,100,0,3,97,0,3,97,0,10,90,0,14,86,0,15,85,0,7,93,0,1,99,0,5,95,0,1,99,0,5,95,0,17,83,0,1,99,0,13,87,100,0,0,0,97,0,1,2,97,0,2,1,90,0,4,6,86,0,4,10,85,0,7,8,93,0,3,4,99,0,1,0,95,0,1,4,99,0,0,1,95,0,1,4,83,0,5,12,99,0,1,0,87,0,6,7,6,0,6,88,95,0,1,4,8,0,39,53,61,0,11,28,89,0,11,0,89,2,9,0,98,2,0,0,19,1,13,67,100,0,0,0,0,9,0,32,32,18,9,10,1,48,24,17,10,4,55,18,13,10,3,46,25,16,10,4,38,29,19,10,4,7,20,59,87,3,4,6,87,4,4,5,87,6,3,4,87,3,8,2,87,6,3,4,87,6,0,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,0,39,49,12,0,56,32,12,0,31,57,12,1,44,43,12,1,11,76,12,0,42,46,12,0,46,42,54,0,32,9,3,2,15,0,1,10,26,48,15,0,85,0,16,1,12,71,16,0,80,3,0,1,0,0,16,0,15,25,29,15,16,1,32,37,10,4,100,100,61,0,38,1,44,0,56,0,69,0,29,2,56,0,27,17,89,1,8,2,58,1,41,0,16,0,1,7,7,25,44,16,0,2,6,7,22,47,16,2,37,27,9,9,16,0,7,12,35,30,16,0,17,25,20,22,59,5,31,5,59,9,15,17,59,6,23,12,19,0,44,37,63,1,17,19,85,4,0,0,4,2,1,0,4,41,2,0,3,1,11,1,1,5,2,10,3,0,0,2,4,14,27,0,35,38,0,0,27,0,7,15,13,15,15,8,0,28,0,67,3,2,28,1,15,17,27,7,5,2.764705882352941,1.7418002447730971,1.5,0.5773502691896257,12.106060606060606,5.692447865721978,2.857142857142857,1.6531543347970827
