ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CM,CMR,Cameroon,Centre,2020-12-26,2020-12-21,100,5,525010.15506239,3,292684.254029327,11,84,12962786.088589413,47,5,6,89,2,19,79,4,4,92,3,30,67,2,18,80,4,19,77,4,7,89,4,2,94,5,4,91,2,5,93,5,10,85,3,19,78,4,5,91,4,24,72,94,0,3,3,81,1,7,11,96,0,2,2,70,2,12,16,82,1,8,9,81,0,7,12,93,0,3,4,98,0,0,2,96,0,4,0,95,0,4,1,90,0,3,7,81,2,5,12,95,0,2,3,76,1,10,13,16,0,7,77,94,0,5,1,17,4,29,50,72,2,9,17,91,0,9,0,91,2,5,2,98,1,1,33,0,13,54,100,19,1,13,19,23,25,25,11,21,20,23,25,13,26,18,18,25,7,28,21,19,25,9,30,21,15,25,15,13,11,36,87,7,0,6,87,6,4,3,87,2,8,3,87,5,5,3,87,5,3,5,87,3,4,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,3,48,25,24,4,46,26,24,6,39,31,24,6,45,25,24,5,37,34,24,4,54,18,26,1,51,22,49,0,28,10,4,9,27,0,7,12,32,22,27,2,68,3,28,2,13,57,28,0,16,15,21,9,10,1,28,2,18,23,17,12,29,0,10,25,29,7,30,0,0,67,3,34,0,0,64,2,52,4,28,16,54,3,27,16,61,3,18,18,55,4,17,24,63,3,20,14,46,3,31,20,36,0,1,2,9,17,35,36,0,1,3,9,19,32,39,1,15,17,15,13,39,2,15,9,17,18,39,1,30,6,10,14,65,4,28,3,65,16,8,11,65,14,11,10,41,0,36,23,77,16,7,85,0,5,0,3,1,0,0,6,49,0,5,5,4,8,0,0,5,0,4,2,6,0,3,9,51,1,36,9,0,3,51,0,8,18,16,5,2,0,52,2,36,7,3,52,0,12,17,12,6,1,3.369565217391304,3.542495640409292,1.8000000000000003,0.8366600265340757,9.674418604651162,7.69267100257975,3.74468085106383,3.2132070198559313
CM,CMR,Cameroon,Centre,2020-12-27,2020-12-22,100,5,525010.15506239,3,292684.254029327,11,85,13090929.348256411,48,5,8,87,2,19,79,4,2,94,3,33,64,2,19,79,4,21,75,4,8,88,4,3,93,5,6,89,2,6,92,5,12,83,3,16,81,4,3,93,4,26,70,92,1,3,4,81,1,6,12,98,0,1,1,67,2,16,15,81,1,9,9,79,0,9,12,92,0,5,3,97,0,0,3,94,0,3,3,94,0,4,2,88,0,3,9,84,2,5,9,97,0,0,3,74,2,9,15,14,1,7,78,94,0,5,1,16,2,28,54,73,2,7,18,93,0,6,1,93,1,5,1,99,0,1,28,1,15,56,100,18,1,13,17,24,27,22,10,22,24,22,22,13,27,18,20,22,9,27,21,21,22,10,28,23,17,22,16,11,15,36,85,7,2,6,85,6,6,3,85,4,9,2,85,6,5,4,85,6,3,6,85,4,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,4,46,26,24,2,43,31,24,6,36,34,24,5,45,26,24,4,38,34,24,3,48,25,25,0,51,24,49,0,28,10,6,7,26,0,6,13,36,19,26,2,70,2,26,2,14,58,26,0,14,14,23,8,13,2,26,2,21,22,20,9,27,0,11,22,30,10,30,0,0,69,1,34,0,0,64,2,54,3,27,16,57,3,24,16,64,2,18,16,55,3,16,26,62,2,22,14,52,3,25,20,36,0,1,2,9,16,36,36,0,0,2,11,17,34,39,2,17,13,13,16,39,1,15,9,15,21,39,0,27,10,9,15,64,4,27,5,64,18,8,10,64,15,10,11,41,1,38,20,80,13,7,88,0,4,0,3,1,0,0,4,50,0,3,8,4,7,1,0,6,0,3,1,6,0,3,8,51,0,35,9,0,5,51,0,8,15,19,4,3,0,51,1,37,7,4,51,0,13,16,12,7,1,3.8125,3.6823688606020872,1.8000000000000003,0.8366600265340757,9.782608695652174,7.670761351400845,3.765957446808511,3.0231912735403843
CM,CMR,Cameroon,Centre,2020-12-28,2020-12-22,100,5,525010.15506239,3,292684.254029327,11,84,13224849.464045074,47,5,8,87,2,19,79,4,2,94,2,33,65,2,18,80,4,21,75,4,8,88,4,3,93,5,6,89,2,6,92,5,12,83,3,17,80,4,3,93,3,27,70,92,1,3,4,81,1,6,12,98,0,1,1,67,2,17,14,82,1,9,8,79,0,9,12,92,0,5,3,97,0,0,3,94,0,3,3,94,0,4,2,88,0,3,9,83,2,5,10,97,0,0,3,73,2,10,15,15,1,7,77,94,0,5,1,17,2,29,52,72,2,8,18,92,0,7,1,92,1,6,1,99,0,1,30,1,16,53,100,19,1,13,18,22,27,24,8,21,24,23,24,12,25,18,21,24,7,27,20,22,24,10,27,21,18,24,14,11,15,36,84,8,2,6,84,7,6,3,84,4,10,2,84,7,5,4,84,7,3,6,84,5,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,4,44,26,26,2,42,30,26,6,34,34,26,5,45,24,26,4,38,32,26,3,46,25,27,1,49,23,51,0,27,9,6,7,28,0,5,13,36,18,28,2,68,2,28,2,13,57,28,0,13,14,21,8,13,3,28,2,21,22,18,9,29,0,11,23,27,10,32,0,0,67,1,36,0,0,62,2,56,3,25,16,58,3,23,16,66,2,16,16,55,3,15,27,62,2,22,14,54,3,23,20,38,0,1,3,9,14,35,38,0,0,3,11,15,33,41,2,18,11,12,16,41,1,14,9,16,19,41,0,27,10,9,13,64,4,27,5,64,17,8,11,64,15,9,12,42,1,36,21,79,14,7,87,1,4,0,3,1,0,0,4,51,1,3,8,4,6,1,0,6,0,3,1,5,0,3,8,52,0,34,9,0,5,52,0,8,15,19,3,3,0,52,1,36,7,4,52,0,12,15,13,7,1,3.7872340425531914,3.717971456100911,1.8000000000000003,0.8366600265340757,9.454545454545455,7.681008126222438,3.826086956521739,3.0280492277378626
CM,CMR,Cameroon,Centre,2020-12-30,2020-12-23,100,4,498184.70481680904,2,246787.67029251502,11,83,13821790.42093347,44,6,7,87,3,18,79,6,2,92,4,32,64,4,16,80,6,20,74,6,7,87,5,4,91,7,7,86,3,7,90,7,9,84,5,14,81,7,3,90,5,28,67,93,2,1,4,82,1,6,11,98,0,1,1,68,2,16,14,84,2,6,8,80,0,7,13,93,0,4,3,96,0,1,3,93,0,3,4,93,0,5,2,91,0,0,9,86,1,3,10,97,0,0,3,72,2,10,16,16,1,7,76,94,0,5,1,18,2,29,51,72,1,10,17,90,0,9,1,90,1,7,2,99,0,1,32,1,15,52,100,20,1,12,19,19,29,25,7,22,23,23,25,12,27,14,22,25,9,27,17,22,25,10,27,20,18,25,15,10,13,37,85,8,2,5,85,7,6,2,85,4,10,1,85,7,4,4,85,7,3,5,85,5,4,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,4,45,24,27,4,41,28,27,7,33,33,27,5,45,23,27,4,37,32,27,3,45,25,29,2,47,22,53,0,25,10,6,6,30,0,6,13,36,15,30,2,66,2,30,2,12,56,30,0,11,12,18,11,15,3,30,2,20,21,17,10,31,0,8,20,29,12,34,1,0,64,1,39,0,0,59,2,55,2,24,19,59,2,19,20,67,1,15,17,55,2,13,30,63,1,19,17,55,2,20,23,41,0,1,3,8,14,33,41,0,0,3,8,17,31,43,2,20,12,9,14,43,1,12,9,17,18,43,0,24,10,9,14,67,4,23,6,67,13,8,12,67,11,10,12,44,1,34,21,79,14,7,87,1,4,0,3,1,0,0,4,53,1,3,8,4,6,2,0,6,0,2,1,3,0,4,7,55,1,30,9,0,5,55,0,9,13,16,4,3,0,55,1,36,6,2,55,0,13,12,12,7,1,3.6666666666666665,3.777926319123663,1.8000000000000003,0.8366600265340757,8.78048780487805,7.343405868947839,3.4186046511627906,2.8638349092775757
CM,CMR,Cameroon,Littoral,2020-12-30,2020-12-22,100,0,0,0,0,18,87,14081041.302478215,41,6,1,93,4,14,82,6,4,90,5,32,63,5,20,75,6,18,76,6,6,88,7,9,84,6,2,92,6,4,90,6,6,88,6,19,75,6,4,90,5,22,73,99,0,0,1,86,0,5,9,96,0,1,3,68,0,13,19,80,1,7,12,82,0,7,11,94,0,4,2,91,1,5,3,98,0,2,0,96,0,2,2,94,1,3,2,81,0,9,10,96,0,2,2,78,1,11,10,13,0,10,77,91,0,7,2,15,4,27,54,73,1,6,20,94,0,6,0,94,2,4,0,98,1,1,27,2,16,55,100,17,0,18,16,24,25,20,10,23,18,29,20,18,21,14,27,20,18,24,12,26,20,18,20,14,28,20,21,8,6,45,84,7,3,6,84,6,3,7,84,4,8,4,84,5,3,8,84,7,2,7,84,6,4,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,4,47,26,23,4,45,28,23,5,30,42,23,3,42,32,23,5,30,42,23,3,40,34,26,0,45,29,55,0,20,13,6,6,29,0,6,15,27,23,29,1,66,4,31,1,8,60,31,1,16,12,21,7,11,1,31,3,15,19,17,15,34,1,8,24,24,9,36,0,0,62,2,38,1,1,59,1,54,2,29,15,56,2,31,11,71,1,16,12,58,2,18,22,70,1,16,13,61,1,22,16,39,3,0,2,7,18,31,39,2,0,3,7,17,32,45,0,21,8,13,13,45,0,17,13,12,13,45,1,25,14,4,11,62,3,27,8,62,10,9,19,62,8,18,12,46,0,35,19,81,7,12,93,0,2,0,0,1,0,1,3,58,0,0,6,2,6,0,3,2,2,5,3,1,0,2,10,59,0,33,7,0,1,59,0,11,7,10,9,2,2,59,0,33,6,2,59,0,9,14,9,4,5,4.1521739130434785,3.2246783908845362,2,0.9258200997725514,7.7894736842105265,6.023188949461106,3.7317073170731714,2.366689568193328
CM,CMR,Cameroon,Centre,2020-12-31,2020-12-24,100,2,260077.735414708,1,130038.867707354,9,82,13595925.105138412,38,5,5,90,3,14,83,6,2,92,4,28,68,4,14,82,5,18,77,5,6,89,4,4,92,6,9,85,4,6,90,6,8,86,5,11,84,6,3,91,4,25,71,95,2,0,3,86,1,6,7,98,0,1,1,72,1,13,14,86,3,5,6,82,0,8,10,94,0,3,3,96,0,2,2,91,0,4,5,94,0,5,1,92,0,1,7,89,0,3,8,97,1,0,2,75,2,10,13,17,1,6,76,95,0,3,2,19,0,32,49,69,0,14,17,86,0,13,1,86,1,11,2,99,1,0,34,1,14,51,100,22,1,14,18,15,30,27,8,20,21,24,27,11,26,14,22,27,12,28,14,19,27,12,24,19,18,27,16,11,12,34,86,6,3,5,86,5,7,2,86,3,9,2,86,7,4,3,86,6,3,5,86,4,5,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,4,45,22,29,4,43,24,29,7,34,30,29,5,45,21,29,4,38,29,29,3,43,25,33,2,43,22,57,0,22,11,4,6,35,0,5,12,31,17,35,2,61,2,35,2,15,48,35,0,12,11,17,10,12,3,35,2,20,16,14,13,36,0,6,17,29,12,39,1,0,58,2,44,1,0,55,0,56,1,25,18,58,1,23,18,67,0,17,16,56,1,14,29,63,1,20,16,59,1,20,20,47,0,0,2,5,13,33,47,1,0,1,4,15,32,48,2,20,13,7,10,48,1,14,7,13,17,48,0,21,9,10,12,70,4,19,7,70,13,7,10,70,10,11,9,49,1,32,18,82,12,6,89,1,1,0,3,1,0,0,5,57,1,3,5,3,5,2,1,6,1,2,1,3,0,4,6,62,1,26,6,0,5,62,0,5,15,13,3,2,0,62,0,30,6,2,62,0,13,9,9,6,1,3.5249999999999995,3.630268055370864,1.7500000000000002,0.9574271077563381,8.371428571428572,7.360809235745893,3.2777777777777772,2.5479528041279518
CM,CMR,Cameroon,Littoral,2020-12-31,2020-12-23,100,0,0,0,0,25,88,14217707.529721847,39,7,2,91,3,17,80,7,4,89,6,32,62,6,21,73,6,17,77,7,6,87,8,10,82,6,3,91,7,4,89,8,5,87,5,17,78,7,5,88,6,23,71,98,0,0,2,83,1,6,10,96,1,1,2,68,1,12,19,79,2,7,12,83,1,6,10,94,1,2,3,90,2,6,2,97,1,2,0,96,0,2,2,95,1,3,1,83,2,8,7,95,1,2,2,77,3,10,10,12,0,11,77,90,0,8,2,14,3,28,55,72,1,7,20,93,0,6,1,93,3,4,0,97,1,2,26,1,18,55,100,16,0,21,18,20,25,21,11,23,18,27,21,18,22,13,26,21,16,26,10,27,21,17,21,12,29,21,19,9,7,44,82,6,4,8,82,5,7,6,82,3,10,5,82,5,1,12,82,6,4,8,82,5,6,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,3,45,27,25,3,44,28,25,4,29,42,25,2,41,32,25,4,31,40,25,3,35,37,26,0,44,30,56,0,21,8,7,8,28,0,6,13,29,24,28,1,66,5,29,1,14,56,29,1,19,14,17,8,11,1,29,3,13,17,26,12,32,0,12,24,27,5,33,0,0,65,2,37,1,1,60,1,55,1,29,15,56,1,29,14,71,1,14,14,59,1,19,21,69,1,16,14,65,0,22,13,37,3,0,2,6,20,32,37,2,0,3,10,15,33,43,0,21,13,10,13,43,0,19,9,10,19,43,0,24,13,5,15,64,4,27,5,64,11,8,17,64,6,21,9,44,0,37,19,81,8,11,92,0,2,1,0,1,0,1,3,55,0,0,5,1,8,0,3,4,4,3,3,2,0,2,10,60,0,32,8,0,0,60,0,10,9,8,8,3,2,61,0,31,5,3,61,0,8,12,7,5,7,3.826086956521739,2.892936592046888,2.5555555555555554,1.8782379449307742,7.75,5.920304046246273,4.051282051282051,2.9285232307581954
CM,CMR,Cameroon,Centre,2021-01-01,2020-12-24,100,3,418975.303718273,2,288936.436010919,8,83,13501047.17400911,38,4,6,90,3,14,83,6,2,92,3,31,66,5,13,82,5,15,80,5,6,89,4,4,92,6,9,85,4,6,90,6,8,86,4,13,83,7,3,90,5,24,71,94,3,0,3,86,1,6,7,98,0,1,1,69,2,15,14,87,2,5,6,85,0,7,8,94,0,3,3,96,0,2,2,91,0,4,5,94,0,5,1,92,0,1,7,87,1,3,9,97,1,0,2,76,2,10,12,16,1,6,77,96,0,3,1,19,0,33,48,68,0,15,17,85,0,14,1,85,1,12,2,99,1,0,35,1,13,51,100,22,0,16,19,15,28,26,8,20,20,26,26,11,26,13,24,26,11,27,16,20,26,12,22,21,19,26,15,11,14,34,87,5,3,5,87,4,7,2,87,2,9,2,87,6,4,3,87,5,3,5,87,4,4,5,93,3,0,4,93,2,0,5,93,2,1,4,93,3,0,4,93,2,2,3,93,3,1,3,93,3,1,3,97,2,0,1,97,0,2,1,97,2,0,1,97,2,0,1,97,2,0,1,28,5,42,25,28,4,46,22,28,7,37,28,28,4,45,23,28,4,38,30,28,2,46,24,33,2,45,20,55,0,21,12,5,7,37,0,4,10,33,16,37,2,60,1,37,1,16,46,37,0,11,10,18,9,12,3,37,1,18,16,14,14,37,0,6,18,28,11,40,1,0,57,2,45,1,0,54,0,59,1,23,17,55,1,26,18,64,0,19,17,56,1,13,30,63,1,21,15,56,1,22,21,47,0,0,2,6,15,30,47,1,0,1,6,14,31,47,2,21,14,7,9,47,1,14,7,13,18,47,0,21,8,11,13,71,4,18,7,71,13,7,9,71,10,11,8,48,1,32,19,81,12,7,89,1,1,0,3,0,0,0,6,57,1,3,5,3,5,2,1,5,1,2,2,4,0,3,6,62,1,26,6,1,4,62,0,6,13,14,2,3,0,62,0,31,5,2,62,0,12,10,9,6,1,3.634146341463415,3.5408762867472197,1.6666666666666667,1.1547005383792515,9.117647058823529,7.566932471165109,3.5000000000000004,2.6240644591385873
CM,CMR,Cameroon,Littoral,2021-01-01,2020-12-24,100,0,0,0,0,26,88,14442316.477126528,41,6,2,92,3,16,81,6,4,90,5,30,65,6,20,74,5,16,79,6,6,88,7,10,83,5,3,92,6,4,90,7,3,90,4,17,79,6,6,88,5,25,70,98,0,0,2,84,1,6,9,96,1,1,2,70,1,13,16,80,2,8,10,84,1,7,8,94,1,2,3,90,2,6,2,97,1,2,0,96,0,2,2,97,1,2,0,83,2,9,6,94,1,2,3,75,3,11,11,12,0,11,77,90,0,8,2,14,3,28,55,72,1,5,22,95,0,4,1,95,2,3,0,98,1,1,24,1,17,58,100,17,0,22,17,21,23,21,9,24,15,31,21,16,25,13,25,21,17,26,8,28,21,18,20,13,28,21,18,11,6,44,84,6,4,6,84,5,6,5,84,3,7,6,84,5,1,10,84,6,3,7,84,5,5,6,88,2,1,9,88,1,1,10,88,1,2,9,88,1,3,8,88,2,2,8,88,1,5,6,88,2,1,9,95,1,1,3,95,1,1,3,95,1,1,3,95,1,1,3,95,0,2,3,25,4,40,31,25,4,45,26,25,5,29,41,25,3,42,30,25,5,31,39,25,4,32,39,26,0,45,29,55,0,22,8,7,8,28,0,4,12,31,25,28,2,67,3,29,2,16,53,29,1,18,15,18,10,8,1,29,3,15,12,28,13,32,1,12,21,30,4,32,1,1,64,2,36,0,3,60,1,60,1,26,13,55,1,30,14,71,1,14,14,58,1,20,21,69,1,17,13,68,0,23,9,36,4,1,3,6,18,32,36,3,0,4,9,13,35,40,1,22,13,12,12,40,1,18,6,13,22,40,1,22,14,9,14,65,2,28,5,65,14,8,13,65,10,17,8,42,1,34,23,77,11,12,89,0,2,2,0,3,0,1,3,55,0,0,5,0,9,1,2,6,5,2,3,2,0,2,8,58,1,34,7,0,0,58,1,8,10,9,8,4,2,59,1,32,5,3,59,1,9,11,7,4,9,3.604651162790698,2.9692033153349797,2.6666666666666665,1.8708286933869709,9.631578947368421,7.087945810876603,3.9,3.0533714027410626
CM,CMR,Cameroon,Centre,2021-01-02,2020-12-24,100,3,418975.303718273,2,288936.436010919,8,83,13501047.17400911,38,4,6,90,3,14,83,6,2,92,3,31,66,5,13,82,5,15,80,5,6,89,4,4,92,6,9,85,4,6,90,6,8,86,4,13,83,7,3,90,5,24,71,94,3,0,3,86,1,6,7,98,0,1,1,69,2,15,14,87,2,5,6,85,0,7,8,94,0,3,3,96,0,2,2,91,0,4,5,94,0,5,1,92,0,1,7,87,1,3,9,97,1,0,2,76,2,10,12,16,1,6,77,96,0,3,1,19,0,33,48,68,0,15,17,85,0,14,1,85,1,12,2,99,1,0,35,1,13,51,100,22,0,16,19,15,28,26,8,20,20,26,26,11,26,13,24,26,11,27,16,20,26,12,22,21,19,26,15,11,14,34,87,5,3,5,87,4,7,2,87,2,9,2,87,6,4,3,87,5,3,5,87,4,4,5,93,3,0,4,93,2,0,5,93,2,1,4,93,3,0,4,93,2,2,3,93,3,1,3,93,3,1,3,97,2,0,1,97,0,2,1,97,2,0,1,97,2,0,1,97,2,0,1,28,5,42,25,28,4,46,22,28,7,37,28,28,4,45,23,28,4,38,30,28,2,46,24,33,2,45,20,55,0,21,12,5,7,37,0,4,10,33,16,37,2,60,1,37,1,16,46,37,0,11,10,18,9,12,3,37,1,18,16,14,14,37,0,6,18,28,11,40,1,0,57,2,45,1,0,54,0,59,1,23,17,55,1,26,18,64,0,19,17,56,1,13,30,63,1,21,15,56,1,22,21,47,0,0,2,6,15,30,47,1,0,1,6,14,31,47,2,21,14,7,9,47,1,14,7,13,18,47,0,21,8,11,13,71,4,18,7,71,13,7,9,71,10,11,8,48,1,32,19,81,12,7,89,1,1,0,3,0,0,0,6,57,1,3,5,3,5,2,1,5,1,2,2,4,0,3,6,62,1,26,6,1,4,62,0,6,13,14,2,3,0,62,0,31,5,2,62,0,12,10,9,6,1,3.634146341463415,3.5408762867472197,1.6666666666666667,1.1547005383792515,9.117647058823529,7.566932471165109,3.5000000000000004,2.6240644591385873
