ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ECU,Ecuador,Guayas,2021-01-01,2021-01-01,145,3,38728.1337914896,3,38728.1337914896,56,133,2303659.131701322,95,6,7,132,7,23,115,6,2,137,8,39,98,6,38,101,8,22,115,5,27,113,6,10,129,8,13,124,6,7,132,7,11,127,8,40,97,7,3,135,6,36,103,138,0,3,4,122,2,14,7,143,0,1,1,106,1,21,17,107,2,14,22,123,2,12,8,118,3,13,11,135,2,6,2,132,0,9,4,138,0,6,1,134,1,7,3,105,3,19,18,142,0,2,1,109,2,18,16,12,0,29,104,117,0,14,14,15,1,71,58,74,2,20,49,125,0,20,0,125,16,4,0,129,0,8,8,0,39,2,25,79,145,0,0,0,0,18,0,33,44,33,17,24,8,49,31,33,24,10,49,31,31,24,8,49,27,37,24,9,42,33,37,24,10,10,19,82,120,13,7,5,120,14,4,7,120,5,17,3,120,14,4,7,120,16,1,8,120,16,2,7,32,9,4,100,32,7,5,101,32,8,9,96,32,8,9,96,32,10,24,79,32,10,39,64,32,10,9,94,94,5,8,38,94,2,13,36,94,5,10,36,94,5,17,29,94,3,17,31,33,5,40,67,33,6,87,19,33,6,54,52,33,6,65,41,33,5,17,90,33,2,35,75,35,2,75,33,70,0,46,15,8,6,36,0,1,10,36,62,36,0,108,1,38,4,19,84,38,0,94,6,2,1,0,4,38,0,25,24,40,18,38,0,33,50,19,5,145,145,106,0,35,4,59,0,85,1,92,0,50,3,80,0,45,20,128,0,14,3,110,1,33,1,40,0,2,3,14,25,61,40,0,0,5,15,27,58,41,0,49,35,14,6,41,0,25,25,23,31,41,0,43,28,22,11,74,7,56,8,74,15,28,28,74,16,36,19,42,0,63,40,105,0,20,20,128,0,4,1,3,2,1,2,4,65,0,4,7,6,13,0,0,3,2,0,3,9,6,2,4,21,47,2,48,48,0,0,47,0,9,27,27,18,9,7,1,49,2,86,7,1,49,0,13,32,32,16,3,2.623529411764706,1.8059193054550156,1.9629629629629628,1.1596246568305386,12.202247191011235,6.2489631417774545,3.7419354838709675,1.8350644213691887
ECU,Ecuador,Pichincha,2021-01-01,2021-01-01,235,0,0,0,0,73,230,1795680.0354470261,182,2,2,231,1,22,212,2,7,226,2,33,200,1,43,191,2,30,203,1,25,209,2,7,226,2,11,222,2,4,229,1,27,207,1,51,183,2,6,227,2,57,176,233,0,1,1,213,1,10,11,228,0,4,3,202,1,10,22,192,1,19,23,205,0,17,13,210,0,15,10,228,0,6,1,224,0,7,4,231,0,2,2,208,1,16,10,184,1,24,26,229,0,4,2,178,1,28,28,5,0,34,196,201,0,8,26,5,3,103,124,133,0,25,77,210,7,18,0,210,21,4,0,215,0,9,11,0,34,2,35,164,235,0,0,0,0,10,1,97,75,24,28,13,8,104,65,45,13,12,124,57,29,13,6,124,52,40,13,10,77,82,53,13,11,16,42,153,202,8,9,16,202,11,12,10,202,6,18,9,202,6,11,16,202,11,7,15,202,10,6,17,17,7,3,208,17,7,1,210,17,4,18,196,17,6,27,185,17,9,47,162,17,5,70,143,17,5,17,196,141,7,9,78,141,9,19,66,141,9,11,74,141,7,48,39,141,9,28,57,19,5,71,140,19,5,149,62,19,6,95,115,19,4,129,83,19,5,24,187,19,3,78,135,20,0,140,75,95,0,93,35,6,6,23,1,0,25,84,102,23,4,208,0,26,4,33,172,26,0,191,10,2,1,0,5,26,0,37,73,72,27,26,2,68,97,31,11,235,235,165,2,65,3,87,2,143,3,141,1,91,2,107,2,88,38,211,1,21,2,158,3,70,4,33,1,2,9,21,44,125,33,1,3,10,36,50,102,36,2,104,61,22,10,36,1,25,58,67,48,36,0,62,68,50,19,107,4,114,10,107,13,46,69,107,10,64,54,39,1,95,100,135,0,41,59,196,1,1,4,5,7,2,4,15,101,3,7,11,2,15,1,8,12,7,1,3,10,11,4,7,32,50,4,102,78,0,1,50,2,40,54,42,20,17,7,3,52,2,150,16,15,52,1,26,53,67,29,7,2.683333333333333,1.7584529742774182,2.21875,1.4308665319512035,12.858757062146893,6.15863627104694,3.4860335195530725,1.8217091058360162
ECU,Ecuador,Guayas,2021-01-02,2021-01-01,100,1,13416.4271681792,1,13416.4271681792,35,90,1703846.2701949342,54,5,4,91,6,15,79,5,1,94,7,22,71,6,27,67,6,13,81,3,21,76,6,5,89,6,11,83,5,6,89,5,6,89,6,27,67,6,1,93,4,25,71,96,0,2,2,85,1,9,5,99,0,0,1,78,0,10,12,73,1,11,15,87,1,7,5,79,2,11,8,95,2,2,1,89,0,9,2,94,0,5,1,94,1,4,1,73,1,12,14,99,0,1,0,75,2,12,11,10,0,21,69,80,0,9,11,12,1,45,42,55,2,14,29,86,0,14,0,86,10,4,0,90,0,5,5,0,30,0,17,53,100,0,0,0,0,15,0,25,28,19,13,19,5,35,15,26,19,4,40,19,18,19,6,35,17,23,19,6,34,21,20,19,7,9,15,50,83,6,6,5,83,7,2,8,83,4,10,3,83,8,4,5,83,9,1,7,83,9,1,7,27,4,4,65,27,3,4,66,27,4,6,63,27,3,7,63,27,4,16,53,27,3,29,41,27,3,7,63,66,3,7,24,66,2,8,24,66,3,8,23,66,3,14,17,66,1,9,24,29,3,25,43,29,2,56,13,29,2,39,30,29,2,42,27,29,3,9,59,29,0,24,47,31,0,47,22,53,0,31,11,3,2,31,0,0,7,21,41,31,0,68,1,33,3,14,50,33,0,59,5,0,1,0,2,33,0,16,16,26,9,33,0,19,33,10,5,100,100,76,0,21,3,45,0,54,1,62,0,36,2,58,0,33,9,91,0,8,1,76,1,22,1,35,0,1,3,9,12,40,35,0,0,3,9,18,35,36,0,28,19,13,4,36,0,12,14,18,20,36,0,19,20,18,7,61,3,31,5,61,7,17,15,61,9,15,15,37,0,38,25,75,0,12,13,91,0,2,1,1,1,0,1,3,53,0,3,6,4,8,0,0,2,2,0,1,5,2,1,1,12,43,2,27,28,0,0,43,0,6,16,16,9,3,6,1,45,1,50,4,0,45,0,8,21,14,11,1,2.473684210526316,1.6377822892764686,1.6842105263157894,0.9459053029269172,12.372549019607844,6.135016819255593,3.740740740740741,1.963681421200815
ECU,Ecuador,Pichincha,2021-01-02,2021-01-01,100,0,0,0,0,34,99,754928.4814737802,64,1,1,98,0,8,92,1,3,96,1,14,85,1,18,81,1,10,89,0,12,88,1,3,96,1,3,96,1,2,97,0,13,87,1,18,81,1,3,96,1,24,75,99,0,1,0,92,0,6,2,97,0,2,1,86,1,5,8,82,1,7,10,90,0,8,2,88,0,10,2,97,0,2,1,97,0,2,1,98,0,1,1,87,1,10,2,82,0,7,11,97,0,2,1,76,1,13,10,1,0,17,82,83,0,5,12,1,3,47,49,54,0,10,36,90,2,8,0,90,8,2,0,92,0,5,3,0,15,1,14,70,100,0,0,0,0,4,1,42,31,9,13,6,4,47,24,19,6,6,56,19,13,6,5,52,23,14,6,6,35,34,19,6,7,8,14,65,87,2,5,6,87,3,7,3,87,2,6,5,87,2,3,8,87,3,3,7,87,3,1,9,12,4,2,82,12,4,0,84,12,3,8,77,12,3,12,73,12,4,22,62,12,3,26,59,12,2,9,77,61,2,4,33,61,5,10,24,61,4,7,28,61,3,19,17,61,4,16,19,14,4,26,56,14,4,57,25,14,4,38,44,14,3,48,35,14,3,10,73,14,2,33,51,15,0,53,32,47,0,36,11,2,4,17,1,0,8,36,38,17,2,81,0,18,1,14,67,18,0,75,4,1,1,0,1,18,0,11,37,21,13,18,1,30,36,11,4,100,100,75,0,23,2,44,0,55,1,63,0,36,1,53,1,33,13,90,0,10,0,68,1,29,2,22,0,0,4,4,21,49,22,1,0,4,9,19,45,23,0,41,22,10,4,23,1,9,24,24,19,23,0,24,26,23,4,52,2,40,6,52,5,15,28,52,4,24,20,26,0,34,40,60,0,18,22,83,0,0,3,1,5,1,1,6,49,2,3,6,0,7,1,1,3,4,1,1,2,3,3,2,12,33,1,41,24,0,1,33,1,11,20,16,8,7,4,0,35,2,53,7,3,35,1,8,18,26,10,2,2.6222222222222222,1.5563490039905001,2.0625,1.0626225419530053,12.984126984126984,6.374070617876733,3.6984126984126986,2.013141667970742
ECU,Ecuador,Azuay,2021-01-03,2021-01-01,100,1,3491.1894693607696,1,3491.1894693607696,62,97,813653.9808620288,65,1,2,97,2,10,88,2,5,93,2,23,75,0,32,68,2,22,76,2,16,82,2,5,93,2,7,91,1,4,95,2,10,88,3,25,72,2,7,91,2,22,76,98,1,1,0,90,1,6,3,95,0,3,2,77,0,11,12,68,3,15,14,78,0,15,7,84,1,9,6,95,0,3,2,93,0,5,2,96,1,2,1,90,0,4,6,75,0,9,16,93,0,6,1,78,0,12,10,3,0,23,74,80,0,11,9,6,1,46,47,54,1,10,35,90,2,8,0,90,6,4,0,94,0,4,2,0,18,4,20,58,100,0,0,0,0,7,0,37,36,10,10,7,3,49,24,17,7,4,49,23,17,7,3,52,21,17,7,4,36,28,25,7,5,8,20,60,80,3,4,13,80,4,4,12,80,3,12,5,80,4,6,10,80,4,4,12,80,4,4,12,62,1,3,34,62,1,3,34,62,2,3,33,62,1,5,32,62,1,15,22,62,1,15,22,62,1,6,31,84,1,1,14,84,1,3,12,84,1,3,12,84,1,4,11,84,1,1,14,13,1,31,55,13,0,61,26,13,1,37,49,13,2,57,28,13,1,13,73,13,1,21,65,13,0,58,29,42,0,40,10,7,1,13,1,1,12,43,30,13,1,86,0,18,1,12,69,18,0,73,4,0,1,0,4,18,0,18,25,32,7,19,1,28,39,10,3,100,100,69,0,27,4,39,1,59,1,63,0,36,1,43,2,41,14,87,1,9,3,79,0,20,1,19,0,1,4,15,16,45,19,0,2,10,10,24,35,20,2,30,29,15,4,20,0,11,19,30,20,20,0,22,26,24,8,53,1,40,6,53,5,23,19,53,5,22,20,23,0,35,42,58,0,15,27,88,0,3,0,2,0,2,0,5,53,0,3,5,1,6,1,0,4,3,0,6,2,1,0,2,13,29,0,42,28,0,1,29,0,24,16,14,6,7,4,0,31,2,51,4,12,31,1,5,19,28,10,6,2.557377049180328,1.8122232217540093,3.0526315789473686,1.393384536958932,12.25,5.9281411203561225,3.3125,1.3318444067568567
ECU,Ecuador,Guayas,2021-01-03,2021-01-03,244,6,42321.62151302479,3,24564.647487900773,82,229,2336185.352856243,176,3,7,234,2,34,208,2,16,226,3,46,195,2,51,191,2,39,203,4,46,194,4,22,218,3,21,220,2,12,230,2,28,214,3,67,174,3,12,229,4,56,184,237,2,4,1,210,3,21,10,228,2,8,6,198,3,21,22,193,2,34,15,205,3,20,16,198,2,28,16,222,3,16,3,223,3,13,5,232,1,8,3,216,1,15,12,177,3,38,26,232,2,7,3,188,4,30,22,13,2,39,190,207,0,15,22,17,5,110,112,135,1,26,82,218,3,21,2,218,18,8,0,226,0,15,3,0,50,3,50,141,244,0,0,0,0,22,0,51,78,62,31,27,15,88,64,50,27,22,82,62,51,27,10,90,53,64,27,14,64,70,69,27,18,20,34,145,195,15,12,22,195,15,19,15,195,7,29,13,195,16,15,18,195,18,7,24,195,19,11,19,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,28,9,63,144,28,5,138,73,28,8,88,120,28,5,118,93,28,9,48,159,28,6,72,138,32,0,118,94,126,1,65,28,10,14,36,1,4,38,94,71,36,2,204,2,41,2,32,169,41,0,163,20,6,3,1,10,41,1,41,65,70,26,41,1,66,86,37,13,244,244,181,4,58,1,106,4,129,5,156,5,79,4,126,7,77,34,196,3,36,9,172,5,65,2,45,0,1,4,24,45,125,45,1,3,5,24,51,115,49,1,77,78,21,18,49,1,39,62,45,48,49,1,66,71,34,23,108,7,118,11,108,24,71,41,108,24,69,43,52,2,99,91,153,1,38,52,209,1,8,0,12,1,0,1,12,111,1,0,14,7,11,4,1,12,3,0,12,8,4,3,5,48,61,3,86,94,0,0,61,1,46,42,42,26,16,8,2,67,1,157,10,9,67,1,29,54,61,25,7,2.9774436090225564,2.0392592439024084,2.3870967741935485,1.5637011512186658,11.878612716763005,6.98355662829013,3.7953216374269005,1.933963101585388
ECU,Ecuador,Manabi,2021-01-03,2021-01-01,100,1,29523.078814879398,0,0,40,87,1647545.3421783654,58,4,2,94,3,13,84,3,4,93,5,23,72,4,17,79,3,17,80,3,15,82,4,3,93,3,15,82,3,2,95,5,12,83,1,23,76,3,4,93,3,25,72,98,0,2,0,87,1,7,5,96,1,3,0,77,2,9,12,83,1,9,7,83,0,12,5,85,2,6,7,97,0,2,1,85,2,9,4,98,0,1,1,88,0,5,7,77,1,10,12,96,0,3,1,75,1,14,10,13,0,23,64,80,0,4,16,16,2,20,62,80,1,4,15,96,1,3,0,96,2,2,0,98,0,2,0,0,23,1,12,64,100,0,0,0,0,18,0,32,28,13,9,18,3,42,21,16,18,6,41,24,11,18,9,42,19,12,18,11,36,17,18,18,12,14,12,44,89,8,0,3,89,8,0,3,89,2,8,1,89,8,1,2,89,7,0,4,89,8,0,3,73,6,0,21,73,6,1,20,73,6,3,18,73,4,5,18,73,5,5,17,73,5,11,11,73,6,3,18,86,3,1,10,86,2,4,8,86,3,5,6,86,3,6,5,86,3,5,6,20,1,20,59,20,2,48,30,20,5,28,47,20,3,38,39,20,3,10,67,20,2,17,61,23,0,41,36,59,0,27,11,3,0,24,1,0,12,30,33,24,0,75,1,25,2,9,64,25,0,62,6,2,0,0,5,25,0,23,28,15,9,27,2,28,33,7,3,100,100,81,0,16,3,53,1,45,1,72,1,27,0,63,2,25,10,91,1,6,2,84,0,16,0,32,1,0,1,6,19,41,32,0,2,2,6,17,41,33,1,34,25,4,3,33,1,12,23,18,13,33,0,28,26,6,7,47,2,47,4,47,10,28,15,47,7,31,15,35,0,23,42,58,0,14,28,88,2,1,0,3,3,0,0,3,65,0,2,1,2,8,1,0,1,3,0,2,2,1,1,0,11,42,0,30,28,0,0,42,0,22,10,7,5,9,4,1,42,1,38,9,10,42,0,6,19,20,9,4,2.7872340425531914,1.9774398271806553,1.8333333333333333,1.3394467690277294,13.86,6.898713278428027,3.8928571428571432,1.9695737557199475
ECU,Ecuador,Pichincha,2021-01-03,2021-01-03,319,7,36054.41180141212,0,0,105,300,1746355.1554896182,247,0,12,307,1,43,275,1,7,311,1,49,269,2,71,246,0,47,272,1,59,259,2,17,300,1,18,300,1,10,308,1,28,290,0,69,250,0,10,309,1,78,240,307,1,8,3,276,2,26,15,312,0,5,2,270,3,23,23,248,3,31,37,272,4,23,20,260,4,32,23,302,1,8,8,301,0,13,5,309,0,8,2,291,2,14,12,250,5,33,31,309,1,5,4,241,4,41,33,19,0,40,260,280,0,11,28,22,3,138,156,181,3,33,102,286,1,30,2,286,20,13,0,299,0,8,12,0,61,3,41,214,319,0,0,0,0,26,1,118,100,44,30,33,11,115,100,60,33,15,157,82,32,33,8,171,64,43,33,11,118,84,73,33,14,22,39,211,278,14,7,20,278,13,10,18,278,5,22,14,278,12,12,17,278,15,5,21,278,12,9,20,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,319,0,0,0,37,6,86,190,37,4,179,99,37,8,113,161,37,10,136,136,37,9,34,239,37,4,89,189,38,1,159,121,160,0,106,36,13,4,39,2,4,39,116,119,39,2,276,2,41,2,40,236,41,0,238,21,0,0,0,19,41,0,47,101,104,26,44,1,96,140,34,4,319,319,233,2,84,0,141,1,176,1,206,2,110,1,183,2,92,42,285,0,29,5,230,2,85,2,47,0,4,10,26,74,158,47,0,4,14,36,75,143,51,2,134,94,25,13,51,0,47,89,75,57,51,0,102,89,54,23,128,6,163,22,128,33,91,67,128,30,105,56,54,1,131,133,186,0,59,74,265,1,15,0,10,8,0,1,19,134,1,6,14,11,8,3,7,19,5,1,13,15,14,8,3,57,66,1,139,111,0,2,66,0,47,73,67,32,20,10,4,71,4,193,23,28,71,3,20,59,116,32,18,2.5064935064935066,1.5519195503656857,2.857142857142857,2.016736693462065,12.329268292682926,6.676895670066272,3.5083333333333333,1.6157997790818306
ECU,Ecuador,Azuay,2021-01-04,2021-01-01,100,1,3491.1894693607696,1,3491.1894693607696,62,97,813653.9808620288,65,1,2,97,2,10,88,2,5,93,2,23,75,0,32,68,2,22,76,2,16,82,2,5,93,2,7,91,1,4,95,2,10,88,3,25,72,2,7,91,2,22,76,98,1,1,0,90,1,6,3,95,0,3,2,77,0,11,12,68,3,15,14,78,0,15,7,84,1,9,6,95,0,3,2,93,0,5,2,96,1,2,1,90,0,4,6,75,0,9,16,93,0,6,1,78,0,12,10,3,0,23,74,80,0,11,9,6,1,46,47,54,1,10,35,90,2,8,0,90,6,4,0,94,0,4,2,0,18,4,20,58,100,0,0,0,0,7,0,37,36,10,10,7,3,49,24,17,7,4,49,23,17,7,3,52,21,17,7,4,36,28,25,7,5,8,20,60,80,3,4,13,80,4,4,12,80,3,12,5,80,4,6,10,80,4,4,12,80,4,4,12,62,1,3,34,62,1,3,34,62,2,3,33,62,1,5,32,62,1,15,22,62,1,15,22,62,1,6,31,84,1,1,14,84,1,3,12,84,1,3,12,84,1,4,11,84,1,1,14,13,1,31,55,13,0,61,26,13,1,37,49,13,2,57,28,13,1,13,73,13,1,21,65,13,0,58,29,42,0,40,10,7,1,13,1,1,12,43,30,13,1,86,0,18,1,12,69,18,0,73,4,0,1,0,4,18,0,18,25,32,7,19,1,28,39,10,3,100,100,69,0,27,4,39,1,59,1,63,0,36,1,43,2,41,14,87,1,9,3,79,0,20,1,19,0,1,4,15,16,45,19,0,2,10,10,24,35,20,2,30,29,15,4,20,0,11,19,30,20,20,0,22,26,24,8,53,1,40,6,53,5,23,19,53,5,22,20,23,0,35,42,58,0,15,27,88,0,3,0,2,0,2,0,5,53,0,3,5,1,6,1,0,4,3,0,6,2,1,0,2,13,29,0,42,28,0,1,29,0,24,16,14,6,7,4,0,31,2,51,4,12,31,1,5,19,28,10,6,2.557377049180328,1.8122232217540093,3.0526315789473686,1.393384536958932,12.25,5.9281411203561225,3.3125,1.3318444067568567
ECU,Ecuador,Guayas,2021-01-04,2021-01-03,100,4,22090.99782586799,1,4334.02380074397,40,89,977779.5344080735,61,2,5,93,1,16,83,1,5,94,2,19,79,1,20,79,1,16,83,3,16,81,3,9,88,2,8,90,1,5,94,1,11,88,2,27,71,2,6,92,2,22,76,95,1,3,1,84,2,9,5,95,0,3,2,81,1,9,9,80,0,15,5,84,1,10,5,84,1,13,2,91,1,7,1,92,1,4,3,95,0,3,2,89,0,4,7,73,1,19,7,94,1,4,1,78,1,13,8,11,0,18,71,84,0,6,10,15,2,42,41,58,0,8,34,92,1,6,1,92,5,3,0,95,0,4,1,0,25,1,20,54,100,0,0,0,0,15,0,18,27,29,11,17,6,33,27,17,17,11,29,23,20,17,6,34,21,22,17,9,25,22,27,17,12,8,13,50,80,8,3,9,80,7,9,4,80,3,11,6,80,6,8,6,80,8,2,10,80,8,3,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,4,24,54,18,2,53,27,18,4,35,43,18,3,43,36,18,4,19,59,18,3,26,53,19,0,46,35,54,0,23,13,4,6,22,0,4,14,39,21,22,1,76,1,24,1,12,63,24,0,57,8,5,2,0,4,24,1,12,23,26,14,24,1,27,29,12,7,100,100,76,2,21,1,47,2,49,2,65,2,31,2,57,3,27,13,81,0,14,5,74,1,23,2,27,0,1,1,7,17,47,27,1,2,0,8,17,45,30,0,28,32,7,3,30,0,13,19,17,21,30,0,18,26,12,14,57,0,41,2,57,12,20,11,57,11,21,11,32,1,31,36,64,0,15,21,87,1,2,0,5,1,0,0,4,56,0,0,6,2,4,0,1,4,0,0,3,3,2,2,2,15,38,1,25,36,0,0,38,0,13,14,15,10,8,2,0,39,0,54,3,4,39,0,9,15,28,8,1,3,2.217355782608345,2.5714285714285716,1.9100658753958326,11.338983050847459,6.947115922283059,3.916666666666666,1.9070935083832448
