ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HR,HRV,Croatia,Grad Zagreb,2020-12-22,2020-12-22,107,0,0,0,0,73,104,428420.55607954913,86,1,0,106,1,14,92,0,3,104,2,21,84,0,22,85,0,9,98,1,8,98,0,4,103,2,1,104,2,4,101,1,4,102,1,20,86,1,0,106,1,12,94,107,0,0,0,93,1,4,9,104,1,1,1,86,3,4,14,85,2,5,15,98,1,2,6,99,0,2,6,103,0,3,1,106,1,0,0,103,1,2,1,103,2,2,0,87,1,8,11,107,0,0,0,95,1,4,7,3,0,30,74,79,0,5,23,7,1,38,61,69,1,11,26,96,4,7,0,96,1,10,0,106,0,1,0,20,2,7,78,107,0,0,0,0,8,0,30,27,28,14,8,2,29,56,12,8,2,39,44,14,8,3,35,44,17,8,4,18,44,33,8,4,5,34,56,100,4,1,2,100,5,0,2,100,3,2,2,100,4,1,2,100,5,0,2,100,3,3,1,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,107,0,0,0,9,0,12,86,9,0,76,22,9,1,26,71,9,0,53,45,9,0,2,96,9,0,19,79,10,0,37,60,70,27,5,2,3,12,0,1,4,32,58,12,0,95,0,14,0,14,79,14,0,30,44,12,5,0,2,14,0,28,25,27,13,14,3,17,46,21,6,14,0,30,63,0,15,3,18,70,1,95,1,9,2,32,2,73,0,82,0,24,1,55,0,34,18,105,0,2,0,89,1,17,0,16,1,0,3,17,29,41,16,0,2,5,12,26,46,17,0,29,46,12,3,17,0,6,14,20,50,17,0,16,23,22,29,68,1,33,5,68,4,15,20,68,4,13,22,17,1,64,25,82,0,7,18,101,0,3,0,1,0,0,0,2,38,0,0,6,4,6,0,1,8,4,0,3,14,5,2,1,15,19,3,32,53,0,0,19,1,2,19,28,19,11,5,3,21,2,81,2,1,21,1,23,42,15,4,1,3.9130434782608696,4.3960896106351495,2.7916666666666665,1.887698545081139,14.560975609756097,3.083598831314507,2.1294117647058823,1.0554646380816821
HR,HRV,Croatia,-99,2020-12-23,2020-12-21,100,2,11615.7738581606,0,0,48,89,892161.683283449,52,6,2,92,6,14,80,6,7,87,6,25,69,7,16,77,5,7,88,8,8,84,7,4,89,5,7,88,7,3,90,3,9,88,5,14,81,7,3,90,6,18,76,98,0,2,0,86,0,6,8,93,2,2,3,76,1,12,11,84,3,5,8,93,2,4,1,92,1,2,5,96,1,2,1,93,1,2,4,97,0,3,0,92,1,4,3,87,2,4,7,97,1,0,2,82,3,6,9,10,1,23,66,78,0,8,14,13,2,24,61,76,2,8,14,92,4,4,0,92,2,6,0,98,1,1,0,27,3,10,60,100,0,0,0,0,18,1,25,26,16,14,47,3,14,25,11,47,10,17,19,7,47,7,18,20,8,47,13,11,14,15,47,14,6,8,25,90,4,1,5,90,4,3,3,90,3,5,2,90,6,1,3,90,5,1,4,90,4,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,5,10,61,24,0,50,26,24,4,16,56,24,3,28,45,24,4,4,68,24,2,10,64,26,0,25,49,75,19,3,2,1,26,1,0,4,22,47,26,0,73,1,27,2,17,54,27,0,35,20,9,4,0,5,27,0,38,10,17,8,27,1,17,43,7,5,27,0,19,53,1,31,2,15,51,1,90,0,8,2,50,1,49,0,84,1,14,1,72,1,16,11,96,0,4,0,90,1,8,1,32,1,0,3,7,22,35,32,3,0,2,6,17,40,34,3,25,28,6,4,34,0,2,6,22,36,34,0,10,18,18,20,72,7,15,6,72,14,5,9,72,11,10,7,35,1,26,38,62,0,9,29,93,1,1,0,0,0,0,0,5,67,0,0,6,1,1,0,0,0,6,0,0,0,0,3,3,13,46,0,15,37,0,2,46,0,0,2,10,15,16,9,2,48,7,32,5,8,48,4,11,21,12,3,1,4.5,4.806876387641002,3.0833333333333335,1.4433756729740645,12.7,3.2965659312040927,1.4285714285714286,1.2521758066945232
HR,HRV,Croatia,Grad Zagreb,2020-12-23,2020-12-22,100,0,0,0,0,72,97,406516.2631417032,84,0,2,98,0,15,85,1,5,94,1,30,69,0,17,83,0,9,91,0,8,92,0,2,98,1,3,96,1,5,94,1,5,94,0,18,82,0,2,98,0,13,87,98,0,1,1,85,0,6,9,95,1,1,3,70,2,7,21,83,1,6,10,91,0,2,7,92,0,1,7,98,0,2,0,97,0,2,1,95,0,4,1,95,1,3,1,82,0,10,8,98,0,0,2,87,0,9,4,3,0,29,68,71,0,6,23,4,2,32,62,68,1,12,19,88,6,5,1,88,2,10,0,98,0,2,0,19,0,8,73,100,0,0,0,0,5,0,32,21,22,20,6,4,26,53,11,6,4,39,39,12,6,7,33,35,19,6,8,21,34,31,6,9,9,32,44,93,3,0,4,93,3,1,3,93,2,2,3,93,3,1,3,93,1,2,4,93,2,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,1,13,78,8,1,71,20,8,1,17,74,8,1,37,54,8,1,5,86,8,1,16,75,8,0,30,62,70,20,6,1,3,9,1,0,2,27,61,9,0,91,0,10,2,11,77,10,0,38,30,14,5,0,3,10,0,39,16,23,12,10,1,23,45,13,8,10,0,25,64,1,12,2,13,72,1,87,0,12,1,29,0,71,0,83,0,17,0,63,0,31,6,95,0,5,0,84,0,15,1,12,2,1,4,13,22,46,12,0,3,8,10,26,41,13,0,32,33,15,7,13,0,3,9,30,45,13,0,10,26,32,19,65,0,29,6,65,5,8,22,65,4,13,18,14,1,57,28,72,0,8,20,93,1,2,0,1,0,0,0,3,36,1,0,8,5,6,0,4,6,2,0,0,11,6,3,1,11,15,2,33,49,0,1,15,0,6,17,24,16,11,9,2,16,4,74,3,3,16,3,27,32,16,4,2,4.659574468085107,5.08312038598973,2.7916666666666665,1.6675722177612804,14.543209876543212,3.3542859997175603,1.7777777777777777,1.2144957801491119
HR,HRV,Croatia,-99,2020-12-24,2020-12-21,100,2,11615.7738581606,0,0,46,90,975973.5875126609,54,4,2,94,4,18,78,4,7,89,5,26,69,5,14,81,3,6,91,5,5,90,5,4,91,3,5,92,5,4,91,1,7,92,3,13,84,5,2,93,4,16,80,98,0,2,0,82,0,10,8,93,1,3,3,75,1,14,10,86,2,6,6,94,2,2,2,95,0,2,3,96,0,3,1,95,1,2,2,96,0,4,0,94,1,3,2,88,1,5,6,98,0,0,2,84,2,7,7,10,0,22,68,78,0,7,15,11,2,32,55,68,2,12,18,88,5,7,0,88,2,10,0,98,1,1,0,29,3,10,58,100,0,0,0,0,17,1,29,24,16,13,23,3,21,40,13,23,10,27,30,10,23,9,25,31,12,23,15,16,25,21,23,17,8,13,39,90,4,1,5,90,4,4,2,90,4,5,1,90,6,1,3,90,5,2,3,90,4,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,4,13,61,22,0,50,28,22,3,17,58,22,2,30,46,22,3,4,71,22,2,13,63,24,0,26,50,74,19,3,3,1,24,2,0,4,20,50,24,1,74,1,25,1,16,58,25,0,33,22,10,5,1,4,25,0,38,9,17,11,25,0,18,39,10,8,25,0,22,52,1,29,3,17,51,0,87,0,10,3,50,1,48,1,83,0,16,1,70,1,21,8,96,0,4,0,87,1,10,2,31,0,1,2,9,22,35,31,1,0,4,7,20,37,31,3,22,30,8,6,31,1,6,7,18,37,31,0,12,15,20,22,74,5,16,5,74,14,3,9,74,10,10,6,33,1,27,39,61,0,10,29,93,2,2,0,0,0,0,1,2,66,0,2,4,1,0,0,0,1,6,0,1,0,1,4,2,12,42,1,16,39,0,2,42,0,0,3,12,15,16,10,2,45,6,29,9,11,45,3,17,19,12,4,0,5.2368421052631575,5.293719943410334,3.4000000000000004,1.3498971154211057,12.37037037037037,3.901118834658128,1.5434782608695652,1.2239557315729364
HR,HRV,Croatia,Grad Zagreb,2020-12-24,2020-12-23,100,0,0,0,0,51,95,553271.1839937764,79,1,1,98,1,15,84,1,4,95,1,24,75,1,24,75,1,14,85,2,9,89,1,2,97,1,3,96,1,4,95,1,2,97,1,22,77,1,3,96,0,10,90,99,0,0,1,85,1,3,11,96,0,1,3,76,0,11,13,76,0,6,18,86,0,9,5,91,0,1,8,98,0,1,1,97,0,2,1,96,0,3,1,98,0,0,2,78,0,12,10,97,0,1,2,90,0,8,2,5,0,25,70,75,0,6,19,5,0,26,69,74,1,6,19,94,3,3,0,94,1,5,0,99,0,1,0,12,2,7,79,100,0,0,0,0,6,0,36,23,18,17,7,5,27,48,13,7,6,38,35,14,7,4,33,35,21,7,7,17,40,29,7,8,7,39,39,94,2,1,3,94,2,2,2,94,2,1,3,94,3,0,3,94,1,2,3,94,2,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,3,8,80,9,2,71,18,9,2,26,63,9,1,39,51,9,2,5,84,9,2,14,75,11,0,37,52,63,31,5,1,0,12,0,0,6,21,61,12,0,88,0,14,1,12,73,14,0,37,36,8,4,0,1,14,0,31,20,21,14,15,1,20,47,9,8,15,1,21,62,1,17,1,18,63,1,92,0,7,1,29,0,71,0,74,0,26,0,61,0,25,14,95,0,5,0,86,0,13,1,17,1,0,6,10,23,43,17,1,1,6,6,25,44,17,0,30,32,15,6,17,0,4,6,19,54,17,0,12,24,20,27,64,4,23,9,64,9,6,21,64,7,10,19,18,0,50,32,68,0,10,22,90,0,4,0,0,0,0,0,6,40,0,1,8,3,5,1,6,0,3,0,0,9,6,1,2,15,18,2,38,42,0,0,18,1,7,13,17,18,13,13,0,20,3,72,3,2,20,2,20,34,20,2,2,4.439024390243903,4.960084578350479,2.4444444444444446,1.0416176459053668,14.50632911392405,3.5114224516405175,1.813333333333333,1.2378417718966557
HR,HRV,Croatia,Primorsko-Goranska,2020-12-24,2020-12-21,100,2,11660.03944835356,1,5344.64438626644,70,96,621363.7086490034,78,0,2,98,1,13,86,0,4,96,0,24,76,0,24,76,0,13,87,0,4,96,0,4,96,0,4,96,0,1,99,0,4,96,0,12,88,0,2,98,0,11,89,98,1,0,1,87,1,3,9,96,0,1,3,76,2,8,14,76,2,6,16,87,1,5,7,96,1,2,1,96,1,2,1,96,1,1,2,99,0,1,0,96,0,2,2,88,2,4,6,98,1,0,1,89,2,4,5,2,2,28,68,75,0,4,21,5,3,33,59,67,0,8,25,92,3,5,0,92,0,8,0,100,0,0,0,16,2,13,69,100,0,0,0,0,6,3,21,33,20,17,19,7,19,44,11,19,6,24,39,12,19,5,28,31,17,19,3,13,39,26,19,5,4,24,48,87,3,5,5,87,5,1,7,87,5,6,2,87,3,5,5,87,5,2,6,87,4,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,1,13,77,9,1,66,24,9,1,21,69,9,1,38,52,9,1,4,86,9,2,5,84,9,2,33,56,67,23,8,1,1,9,1,0,4,24,62,9,1,90,0,10,1,15,74,10,1,39,36,3,7,1,3,10,1,30,24,22,13,12,1,26,40,10,11,12,1,18,68,1,13,1,13,72,1,87,0,13,0,34,0,66,0,79,0,21,0,62,0,29,9,96,0,3,1,95,0,5,0,13,1,1,4,11,27,43,13,1,1,4,8,23,50,13,1,32,34,13,7,13,1,3,8,30,45,13,1,10,28,25,23,63,6,24,7,63,11,6,20,63,4,15,18,14,3,34,49,51,0,20,29,83,0,3,1,1,2,1,1,8,50,0,1,7,2,2,0,5,2,2,0,4,5,0,7,2,11,19,3,24,54,0,0,19,1,9,12,14,17,16,12,0,21,2,42,25,10,21,2,16,35,19,7,0,3.5531914893617027,2.8499314304359786,3.1,2.381949665825522,12.391891891891891,3.6632853267815237,1.9078947368421053,1.2019720637790476
HR,HRV,Croatia,Splitsko-Dalmatinska,2020-12-24,2020-12-21,100,3,13772.20437413141,1,3426.7972607634997,24,93,806220.1187092293,78,0,3,97,0,9,91,0,1,99,0,19,81,0,22,78,0,6,94,0,9,91,0,4,96,0,2,98,0,6,94,0,1,99,0,20,80,0,1,99,0,7,93,97,1,2,0,91,0,5,4,99,0,0,1,81,1,9,9,78,0,8,14,94,0,3,3,91,0,4,5,96,0,1,3,98,0,2,0,95,0,4,1,99,0,0,1,80,0,6,14,99,0,1,0,93,1,2,4,7,0,13,80,88,0,5,7,10,0,27,63,73,1,6,20,94,3,3,0,94,0,6,0,100,0,0,0,17,2,4,77,100,0,0,0,0,11,0,15,27,28,19,22,2,16,40,20,22,2,27,32,17,22,2,18,36,22,22,4,6,33,35,22,5,1,24,48,96,2,0,2,96,2,1,1,96,0,4,0,96,2,0,2,96,2,0,2,96,2,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,1,15,71,13,0,69,18,13,2,29,56,13,1,44,42,13,2,8,77,13,2,4,81,13,0,39,48,61,27,6,4,2,14,0,0,3,32,51,14,0,86,0,14,0,12,74,14,0,28,29,15,7,3,4,14,0,34,13,20,19,15,0,22,34,17,12,15,0,15,70,0,16,0,11,72,1,85,0,11,4,31,1,64,4,71,1,26,2,56,1,28,15,92,0,5,3,96,0,4,0,17,0,0,1,3,21,58,17,0,0,0,7,17,59,18,0,23,37,13,9,18,0,1,10,26,45,18,0,11,20,27,24,69,2,24,5,69,6,8,17,69,5,11,15,19,0,35,46,54,0,22,24,80,2,5,0,1,1,0,3,8,45,0,0,9,3,4,2,1,4,3,0,4,4,5,8,4,4,21,3,29,46,0,1,21,1,7,13,13,24,12,8,1,22,3,47,22,6,22,1,17,29,21,7,3,4.894736842105263,4.791825661699254,2.5714285714285716,2.0701966780270626,13.746666666666666,3.4212899943186965,2.3783783783783785,1.4015910988206313
HR,HRV,Croatia,Zagreba<c4><8d>ka,2020-12-24,2020-12-21,100,1,8564.27676784232,1,8564.27676784232,71,95,729542.1425784847,80,0,2,98,0,11,89,0,4,96,0,22,78,1,18,81,0,12,88,0,4,96,0,2,98,0,4,96,0,3,97,0,6,94,0,21,79,0,1,99,0,5,95,98,0,1,1,89,0,5,6,96,0,1,3,78,0,7,15,82,0,3,15,88,0,2,10,96,0,3,1,98,0,1,1,96,0,1,3,97,0,3,0,94,0,4,2,79,0,8,13,99,0,0,1,95,0,4,1,5,0,25,70,75,0,9,16,5,4,23,68,77,0,4,19,96,2,2,0,96,1,3,0,99,0,1,0,13,1,10,76,100,0,0,0,0,6,0,29,27,25,13,20,8,25,36,11,20,6,23,36,15,20,10,16,37,17,20,10,12,28,30,20,12,6,19,43,90,6,0,4,90,6,0,4,90,2,5,3,90,6,0,4,90,6,0,4,90,6,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,2,22,66,10,0,61,29,10,1,13,76,10,0,40,50,10,1,5,84,10,1,11,78,10,0,32,58,68,25,4,1,2,10,0,1,2,24,63,10,2,88,0,10,1,12,77,10,0,31,36,10,3,0,10,10,0,40,22,16,12,10,0,28,46,10,6,10,0,25,64,1,12,1,21,65,1,78,0,21,1,39,1,59,1,87,0,13,0,60,0,29,11,95,1,4,0,89,1,10,0,13,0,0,2,15,20,50,13,0,0,3,12,15,57,13,0,27,39,12,9,13,1,1,7,24,54,13,0,8,29,19,31,63,4,24,9,63,13,6,18,63,8,12,17,14,1,37,48,52,0,15,33,86,0,2,2,1,1,0,1,7,49,0,2,4,1,3,0,2,4,6,1,0,6,4,4,4,10,17,2,32,47,1,1,17,1,4,16,10,19,15,10,8,17,7,37,19,20,17,5,24,18,24,10,2,3.4761904761904763,3.756218228147569,3.25,3.006571749386754,12.955128205128204,3.662893875311096,1.9466666666666668,1.2068871432642643
HR,HRV,Croatia,-99,2020-12-25,2020-12-22,100,0,0,0,0,45,90,1102123.5175831155,55,4,0,96,3,13,84,3,6,91,4,21,75,4,16,80,4,6,90,4,5,91,4,5,91,3,2,95,4,2,94,1,10,89,3,12,85,3,2,95,3,14,83,100,0,0,0,87,0,5,8,94,1,4,1,79,1,13,7,84,2,10,4,94,1,3,2,95,0,2,3,95,0,4,1,98,0,0,2,98,0,2,0,90,0,6,4,88,1,4,7,98,0,0,2,86,1,7,6,9,1,23,67,77,0,7,16,10,4,35,51,65,3,14,18,86,7,7,0,86,3,11,0,97,2,1,0,33,3,7,57,100,0,0,0,0,17,1,27,25,16,14,22,4,20,42,12,22,6,26,34,12,22,11,21,32,14,22,14,12,29,23,22,16,6,13,43,93,2,1,4,93,3,2,2,93,2,4,1,93,3,1,3,93,3,1,3,93,3,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,15,55,25,1,51,23,25,4,16,55,25,3,33,39,25,4,7,64,25,3,11,61,27,0,29,44,71,18,4,6,1,27,1,0,4,22,46,27,1,72,0,29,1,11,59,29,0,29,22,7,8,1,4,29,0,30,11,18,12,29,0,15,37,13,6,29,0,18,52,1,32,3,16,49,0,85,0,11,4,49,1,49,1,84,0,15,1,67,1,21,11,93,0,6,1,89,0,9,2,34,0,1,2,8,21,34,34,1,0,3,7,22,33,34,3,19,27,9,8,34,1,7,5,16,37,34,0,10,12,17,27,79,2,15,4,79,9,1,11,79,7,5,9,36,1,30,33,67,0,8,25,95,1,1,0,0,0,1,1,1,65,0,2,5,1,0,0,1,1,5,0,3,1,3,3,1,9,42,1,17,39,0,1,42,0,1,5,10,13,17,10,2,44,6,30,9,11,44,5,16,21,11,3,0,5.575757575757576,5.315251070212388,3.4444444444444446,1.4240006242195884,12.196078431372548,3.7417621936362404,1.5777777777777775,1.0763762625522075
HR,HRV,Croatia,Grad Zagreb,2020-12-25,2020-12-24,100,1,5137.64736597488,1,5137.64736597488,67,94,581563.7601379597,81,2,2,96,1,18,81,1,4,95,1,31,68,1,30,69,2,14,84,2,11,87,1,6,93,2,2,96,1,6,93,2,3,95,1,19,80,2,2,96,1,14,85,98,0,2,0,82,1,5,12,96,0,2,2,69,1,13,17,70,0,9,21,86,0,10,4,89,0,5,6,94,0,3,3,98,0,1,1,94,0,4,2,97,0,1,2,81,0,12,7,98,0,1,1,86,0,10,4,6,0,27,67,73,0,6,21,6,0,33,61,67,0,8,25,92,4,4,0,92,1,7,0,99,0,0,1,14,2,9,75,100,0,0,0,0,6,0,37,28,16,13,8,3,29,46,14,8,5,37,32,18,8,1,33,33,25,8,3,14,46,29,8,3,7,40,42,91,1,2,6,91,1,1,7,91,1,2,6,91,2,2,5,91,1,2,6,91,1,0,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,2,9,80,9,1,71,19,9,1,25,65,9,0,42,49,9,1,6,84,9,1,16,74,11,0,39,50,61,37,1,1,0,12,0,0,6,22,60,12,0,88,0,14,1,12,73,14,0,31,46,4,3,0,2,14,0,27,21,26,12,15,2,17,49,11,6,15,1,11,72,1,16,0,10,73,1,91,0,7,2,29,0,71,0,75,0,25,0,58,0,21,21,94,0,6,0,84,0,16,0,16,1,1,4,14,29,35,16,1,1,6,10,22,44,16,0,30,38,13,3,16,0,3,11,17,53,16,0,13,23,23,25,64,4,24,8,64,7,7,22,64,6,12,18,17,0,52,31,69,0,13,18,87,0,5,0,0,0,0,2,6,35,0,1,12,1,5,1,6,2,2,0,4,11,1,1,3,15,17,1,39,43,0,0,17,1,7,14,17,21,13,9,1,18,3,73,6,0,18,1,18,30,25,6,2,5.046511627906977,5.094130555154315,2.8181818181818183,2.038588765750502,14.543209876543212,3.761812670495599,1.8461538461538463,1.3199461133916575
