ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DZ,DZA,Algeria,Alger,2020-12-22,2020-12-21,100,2,29848.454979283226,2,29848.454979283226,82,84,2096136.899753352,45,4,4,92,4,11,85,4,3,93,1,20,79,4,14,82,4,7,89,3,7,90,4,8,88,4,4,92,4,3,93,5,1,94,4,12,84,5,3,92,3,25,72,96,1,1,2,89,0,5,6,97,0,3,0,80,1,10,9,86,0,7,7,93,0,4,3,93,1,2,4,92,0,5,3,96,0,2,2,97,0,2,1,99,0,1,0,88,1,7,4,97,0,2,1,75,1,15,9,15,1,24,60,79,0,6,15,20,1,24,55,77,0,4,19,96,0,2,2,0,96,0,2,2,0,98,0,1,1,0,26,1,15,58,100,0,23,0,7,22,21,27,28,8,21,24,19,28,6,26,19,21,28,8,22,19,23,28,11,16,23,22,28,12,10,15,35,0,86,3,3,8,86,3,3,8,86,3,7,4,86,2,6,6,86,3,4,7,86,4,2,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,1,47,21,31,1,52,16,31,2,20,47,31,2,37,30,31,2,6,61,31,1,16,52,32,0,22,46,78,0,12,5,1,4,33,0,0,5,22,40,33,0,67,0,33,1,15,51,33,0,45,17,1,3,0,1,33,1,23,16,13,14,35,1,20,32,9,3,35,0,6,57,2,37,2,3,58,0,54,0,42,4,49,0,49,2,80,0,17,3,64,0,31,5,94,0,6,0,85,0,15,0,37,0,0,2,16,18,27,37,0,1,5,15,17,25,38,2,33,18,9,0,38,0,7,12,13,30,38,0,10,23,14,15,68,5,20,7,68,12,8,12,68,6,13,13,40,0,26,34,66,0,12,22,88,2,3,1,0,2,0,1,3,62,0,0,4,5,5,0,0,6,1,0,1,3,4,2,2,5,55,0,29,15,0,1,55,0,2,16,11,8,6,1,1,55,1,31,10,3,55,0,6,16,18,2,3,4.483870967741935,5.988160361590948,4.222222222222222,3.0593262533085626,8.636363636363637,6.5279120983386685,2.9761904761904763,2.28983006333035
DZ,DZA,Algeria,Alger,2020-12-23,2020-12-23,105,3,186550.604795191,3,186550.604795191,103,94,2601639.104833731,54,2,9,94,2,14,89,4,1,100,1,33,71,2,18,85,2,17,86,3,12,90,2,13,90,1,9,95,1,8,96,2,9,94,2,28,75,3,8,94,3,33,69,96,0,6,3,91,0,8,6,104,0,1,0,72,3,17,13,87,2,6,10,88,1,13,3,93,2,7,3,92,1,10,2,96,0,4,5,97,1,7,0,96,1,5,3,77,1,11,16,97,0,4,4,72,1,17,15,11,0,36,58,70,0,15,20,12,0,44,49,61,0,16,28,89,0,7,8,1,89,0,13,2,1,92,1,6,5,1,28,1,13,63,105,0,15,0,12,19,24,35,22,8,17,17,41,22,11,24,17,31,22,12,18,25,28,22,13,18,14,38,22,13,11,9,50,0,93,5,0,7,93,5,2,5,93,4,3,5,93,3,4,5,93,4,2,6,93,4,1,7,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,25,0,43,37,25,1,59,20,25,1,22,57,25,1,31,48,25,1,6,73,25,0,14,66,29,0,32,44,73,1,20,7,2,2,29,0,3,4,23,46,29,0,76,0,30,0,11,64,30,0,41,21,6,1,2,4,30,1,24,16,15,19,30,1,21,39,9,5,31,0,9,63,2,34,1,13,52,5,62,1,35,7,46,1,52,6,83,1,16,5,74,1,23,7,99,0,4,2,91,0,14,0,35,0,1,8,21,24,16,35,0,2,9,20,10,29,37,0,29,25,7,7,37,0,8,5,20,35,37,0,9,18,23,18,78,4,18,5,78,8,7,12,78,7,11,9,38,0,32,35,70,1,10,24,96,1,2,0,3,0,0,1,2,64,0,0,5,4,4,1,0,7,5,0,2,1,2,0,2,8,48,0,38,14,1,4,48,0,7,12,19,3,12,3,1,51,0,35,14,5,51,0,6,15,18,9,6,7.816326530612245,8.21247392027253,3.161290322580645,2.4234517283349986,11.58695652173913,6.897909786325845,3.7777777777777777,2.034297121827147
DZ,DZA,Algeria,Alger,2020-12-24,2020-12-23,100,2,226748.14535966213,1,9524.78503532107,71,90,2528554.709938288,42,5,2,93,5,7,88,5,3,92,4,27,69,6,13,81,5,15,80,5,9,86,5,5,90,4,4,92,5,3,92,6,8,86,4,15,81,5,5,90,4,29,67,98,1,1,0,93,2,2,3,97,1,0,2,73,1,6,20,87,0,7,6,85,1,8,6,91,0,4,5,95,0,2,3,96,0,3,1,97,1,2,0,92,1,2,5,85,2,4,9,95,2,0,3,71,2,9,18,9,1,25,65,77,0,8,15,11,0,32,57,68,1,6,25,94,0,2,3,1,94,0,2,4,0,98,0,1,1,0,18,0,13,69,100,0,15,1,12,17,25,30,23,8,14,23,32,23,9,29,18,21,23,9,26,20,22,23,10,21,21,25,23,14,6,12,45,0,87,7,1,5,87,4,5,4,87,5,5,3,87,5,5,3,87,7,0,6,87,7,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,1,46,27,26,1,57,16,26,4,26,44,26,3,36,35,26,3,15,56,26,4,14,56,27,1,24,48,76,0,15,3,1,5,27,0,3,5,25,40,27,0,73,0,31,0,9,60,31,0,37,20,5,4,1,2,31,0,31,11,16,11,32,3,15,34,12,4,33,0,7,58,2,33,0,8,58,1,54,2,38,6,44,1,52,3,74,2,18,6,64,1,18,17,85,1,10,4,86,0,12,2,35,2,1,11,18,19,14,35,0,3,8,13,22,19,36,1,36,16,7,4,36,0,8,10,14,32,36,0,15,15,13,21,70,3,20,7,70,8,12,10,70,10,13,7,39,1,24,36,64,0,15,21,86,2,4,1,1,2,0,0,4,62,0,2,4,3,4,2,2,1,3,0,2,3,2,1,3,6,55,2,30,13,0,0,55,1,5,7,12,8,7,4,1,56,0,28,12,4,56,0,4,14,17,6,3,6.9361702127659575,7.328930924230144,3.1428571428571432,2.593949002692888,9.789473684210526,5.9826681868898515,3.3255813953488373,1.9605748699292274
DZ,DZA,Algeria,Oran,2020-12-24,2020-12-21,100,2,26186.28593617707,2,26186.28593617707,55,82,3482457.2831570646,38,3,4,93,2,12,86,3,3,94,3,22,75,3,15,82,3,13,84,2,7,91,3,4,93,3,7,90,3,5,92,3,7,90,2,16,82,4,6,90,3,25,72,96,0,2,2,89,0,5,6,97,0,1,2,79,0,9,12,85,0,6,9,88,0,5,7,93,0,3,4,96,0,2,2,94,0,1,5,96,1,1,2,93,0,4,3,84,0,8,8,94,0,4,2,76,0,12,12,17,1,25,57,75,0,12,13,18,2,24,56,76,0,11,13,89,0,4,7,0,89,0,6,5,0,94,0,3,2,1,31,1,11,57,100,0,22,0,14,15,25,24,35,8,11,21,25,35,9,20,16,20,35,11,15,15,24,35,12,17,14,22,35,14,3,11,37,0,90,6,1,3,90,5,2,3,90,3,7,0,90,5,1,4,90,6,1,3,90,6,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,7,36,28,29,5,54,12,29,7,24,40,29,8,29,34,29,8,9,54,29,8,18,45,29,3,32,36,68,0,20,8,1,3,31,3,1,10,23,32,31,3,65,1,33,2,17,48,33,1,37,19,5,4,1,0,33,2,27,16,7,15,35,2,17,31,13,2,36,2,7,54,1,39,1,7,49,4,64,2,31,3,46,3,48,3,76,2,22,0,71,2,21,6,91,0,6,3,82,1,16,1,39,2,1,3,15,22,18,39,2,2,8,9,21,19,40,1,29,17,10,3,40,1,8,8,10,33,40,0,10,11,13,26,79,4,16,1,79,8,9,4,79,8,8,5,40,0,27,33,67,0,5,28,96,0,0,0,0,1,0,0,3,70,0,0,3,3,5,1,1,4,1,2,0,1,0,2,1,6,59,0,33,6,1,1,59,0,5,12,9,2,11,2,0,61,2,30,6,1,61,3,1,14,11,4,6,7.7142857142857135,8.906611650478366,2.8125,2.166987155784116,11.903225806451612,7.226593659116203,3.8285714285714283,1.617654698224895
DZ,DZA,Algeria,-99,2020-12-25,2020-12-22,100,4,128966.44026545761,3,81649.10826948441,49,75,5249291.273366569,32,11,7,82,12,6,82,11,7,82,8,30,62,9,11,80,10,20,70,10,12,78,9,10,81,12,10,78,11,8,81,11,13,76,10,22,68,10,8,82,9,25,66,93,1,5,1,94,1,3,2,93,2,3,2,70,6,13,11,89,2,3,6,80,3,7,10,88,3,4,5,90,4,5,1,90,2,5,3,92,2,5,1,87,3,5,5,78,5,8,9,92,2,3,3,75,3,14,8,24,1,19,56,84,0,5,11,28,8,14,50,86,0,2,12,98,0,0,2,0,98,0,1,1,0,99,0,1,0,0,38,0,8,54,100,0,28,2,22,11,15,22,36,10,15,16,23,36,19,18,9,18,36,22,17,10,15,36,23,14,14,13,36,23,7,11,23,0,92,4,2,2,92,5,2,1,92,4,2,2,92,6,1,1,92,5,2,1,92,6,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,38,8,17,37,38,8,32,22,38,9,10,43,38,11,8,43,38,11,3,48,38,9,11,42,39,3,21,37,79,1,13,2,4,1,41,0,0,14,13,32,41,2,54,3,43,0,13,44,43,0,28,13,4,4,4,4,43,1,31,8,10,7,44,1,17,23,10,5,46,1,8,39,6,48,1,10,39,2,83,1,15,1,68,0,29,3,90,0,8,2,92,0,8,0,97,0,3,0,89,0,10,1,50,0,2,4,5,10,29,50,0,1,3,8,10,28,52,0,20,11,9,8,52,1,7,4,9,27,52,0,8,10,11,19,84,5,8,3,84,8,3,5,84,4,8,4,56,1,11,32,68,0,8,24,92,1,2,0,0,0,0,0,5,81,0,0,0,1,3,1,0,2,0,0,0,1,2,0,0,9,66,0,16,16,0,2,66,0,8,8,5,2,5,4,2,68,1,13,13,5,68,1,6,11,8,1,5,7.68,9.754144418314368,3.5000000000000004,3.2051095570553088,8.804347826086957,4.896053908354951,3.5416666666666665,2.6206399262753375
DZ,DZA,Algeria,Alger,2020-12-25,2020-12-24,100,1,10869.0654396856,0,0,64,86,1825217.8116055713,46,5,4,91,5,5,90,5,3,92,6,33,61,6,18,76,5,13,82,6,12,82,6,5,89,6,7,87,6,4,90,5,7,88,5,24,71,6,4,90,6,32,62,96,1,1,2,95,0,4,1,97,1,1,1,67,2,13,18,82,2,8,8,87,1,8,4,88,1,7,4,95,1,2,2,93,1,4,2,96,0,2,2,93,2,3,2,76,1,11,12,96,1,2,1,68,2,20,10,13,1,21,65,83,1,10,6,20,1,30,49,71,0,11,18,89,0,6,4,1,89,0,6,4,1,94,0,1,5,0,33,1,13,53,100,0,22,2,9,17,22,28,27,10,10,22,31,27,10,19,22,22,27,11,22,19,21,27,11,19,16,27,27,11,16,15,31,0,87,6,2,5,87,6,4,3,87,4,5,4,87,6,3,4,87,6,2,5,87,5,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,28,1,46,25,28,2,54,16,28,3,28,41,28,3,38,31,28,3,9,60,28,2,19,51,28,4,43,25,57,0,27,9,3,4,32,2,2,5,23,36,32,4,63,1,32,2,12,54,32,2,27,24,6,4,1,4,32,2,21,11,17,17,35,2,17,30,11,5,36,1,3,58,2,36,1,10,51,2,54,1,41,4,46,2,50,2,72,0,25,3,62,2,24,12,91,2,4,3,81,0,18,1,36,1,1,5,18,16,23,36,1,4,7,17,15,20,41,1,34,14,6,4,41,0,2,7,19,31,41,0,9,14,13,23,77,3,15,5,77,4,10,9,77,6,8,9,42,1,22,35,65,0,9,26,91,0,1,0,0,0,0,0,8,69,0,0,6,0,4,0,2,4,1,0,1,3,1,2,1,6,52,0,26,20,0,2,52,0,10,11,12,6,5,4,0,53,2,34,8,3,53,1,1,13,19,7,6,9.463414634146341,9.965183292282209,3.8666666666666667,2.972893411828826,10.222222222222221,5.7970983436844685,3.6744186046511627,1.3925128063454577
DZ,DZA,Algeria,Oran,2020-12-25,2020-12-22,100,3,118863.50888317467,2,26186.28593617707,55,80,3196207.4280112744,37,2,5,93,1,11,88,2,4,94,3,22,75,3,15,82,2,17,81,3,7,90,2,5,93,3,6,91,3,4,93,3,9,88,2,20,78,3,6,91,2,25,73,95,0,3,2,89,0,5,6,96,0,2,2,78,0,11,11,85,0,6,9,83,0,8,9,93,0,3,4,95,0,3,2,94,0,2,4,96,1,1,2,91,0,4,5,80,0,10,10,94,0,4,2,75,0,14,11,19,1,23,57,77,0,12,11,21,1,22,56,78,0,11,11,89,0,4,7,0,89,0,6,5,0,95,0,3,1,1,33,1,14,52,100,0,27,0,12,16,22,23,28,8,12,21,31,28,10,23,19,20,28,13,18,15,26,28,13,19,18,22,28,14,7,13,38,0,88,7,1,4,88,8,2,2,88,5,7,0,88,5,3,4,88,8,0,4,88,7,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,6,43,20,31,5,52,12,31,6,28,35,31,7,28,34,31,7,8,54,31,7,19,43,31,3,36,30,64,0,25,7,1,3,32,3,0,9,23,33,32,2,66,0,33,1,18,48,33,1,32,23,7,3,1,0,33,2,29,14,9,13,33,2,15,34,13,3,35,2,7,54,2,38,1,4,52,5,57,0,38,5,48,0,47,5,72,0,26,2,72,1,21,6,92,0,5,3,81,0,18,1,38,2,1,2,16,22,19,38,2,2,5,12,20,21,39,1,24,18,12,6,39,0,10,7,10,34,39,0,15,9,10,27,77,5,15,3,77,8,8,7,77,7,8,8,41,1,28,30,70,0,5,25,95,1,0,0,0,0,0,0,4,68,0,1,4,4,6,1,2,3,1,0,0,1,0,1,1,7,61,0,32,5,1,1,61,0,3,10,12,4,9,1,0,62,2,27,7,2,62,2,3,13,14,3,3,7.46875,8.405007627944572,2.823529411764706,2.455486054675506,13,6.860515043833565,3.5142857142857142,1.6515844188042508
DZ,DZA,Algeria,-99,2020-12-26,2020-12-23,100,7,276666.0211118461,4,91377.91125840231,52,73,5336345.6440425385,27,11,11,78,14,9,77,11,8,81,10,31,59,9,13,78,11,22,67,12,14,74,9,15,76,11,12,77,12,8,80,11,13,76,11,25,64,11,11,78,9,24,67,89,2,5,4,91,2,3,4,92,2,3,3,69,6,12,13,87,3,7,3,78,3,9,10,86,5,6,3,85,5,8,2,88,3,4,5,92,2,5,1,87,4,4,5,75,5,11,9,89,3,4,4,76,4,12,8,24,3,21,52,81,0,10,9,29,9,13,49,87,0,3,10,97,0,0,2,1,97,0,0,2,1,100,0,0,0,0,41,0,4,55,100,0,29,1,16,8,19,27,36,12,12,16,24,36,18,16,11,19,36,19,18,13,14,36,15,17,18,14,36,18,10,19,17,0,96,0,1,3,96,1,1,2,96,1,2,1,96,1,1,2,96,1,2,1,96,1,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,37,9,19,35,37,8,35,20,37,9,18,36,37,9,14,40,37,10,5,48,37,8,17,38,40,3,25,32,75,1,15,3,5,1,42,1,0,12,15,30,42,4,53,1,43,1,9,47,43,0,23,16,7,5,3,3,43,1,26,10,11,9,43,2,13,27,11,4,45,2,8,41,4,48,0,6,42,4,81,2,16,1,66,1,29,4,83,1,13,3,87,0,10,3,96,0,4,0,84,1,14,1,50,0,3,3,7,12,25,50,0,2,4,10,8,26,51,0,18,16,6,9,51,1,4,8,11,25,51,0,8,9,13,19,84,5,8,3,84,7,4,5,84,2,7,7,54,1,12,33,67,0,11,22,90,1,1,1,0,0,0,0,7,78,0,0,2,1,2,1,0,1,0,0,0,3,2,0,2,8,73,0,13,12,0,2,73,0,4,9,5,1,3,3,2,73,2,11,9,5,73,2,7,5,11,1,1,7.719999999999999,9.791663120566733,3.214285714285715,2.5169753346357675,9.973684210526315,5.149092919606019,3.111111111111111,2.193275522213265
DZ,DZA,Algeria,Alger,2020-12-26,2020-12-25,100,1,10869.0654396856,0,0,56,78,2531473.106407024,42,3,4,93,3,7,90,4,8,88,3,22,75,2,16,82,4,14,82,3,7,90,3,6,91,4,5,91,3,2,95,3,5,92,3,17,80,3,5,92,3,22,75,96,0,1,3,93,0,4,3,92,1,5,2,78,1,10,11,84,3,7,6,86,2,10,2,93,1,4,2,94,1,3,2,95,0,3,2,98,0,2,0,95,1,2,2,83,1,6,10,95,2,1,2,78,2,15,5,22,0,22,56,80,0,10,10,24,0,24,52,77,0,7,16,93,0,3,4,0,93,0,5,2,0,95,0,2,3,0,32,3,11,54,100,0,27,0,11,18,18,26,33,6,17,16,28,33,10,17,17,23,33,13,16,14,24,33,11,15,13,28,33,12,7,12,36,0,90,4,3,3,90,2,3,5,90,4,3,3,90,3,4,3,90,4,1,5,90,4,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,33,2,36,29,33,1,46,20,33,1,26,40,33,1,34,32,33,1,8,58,33,1,16,50,34,0,29,37,71,0,15,7,3,4,34,1,2,3,25,35,34,0,66,0,38,3,16,43,38,0,35,14,5,3,1,4,38,0,20,9,17,16,38,0,16,31,8,7,38,0,6,53,3,42,2,7,46,3,64,2,30,4,54,6,37,3,74,5,19,2,66,5,16,13,92,1,5,2,84,0,11,5,44,0,1,7,14,15,19,44,0,0,6,17,19,14,47,2,25,16,5,5,47,0,4,9,12,28,47,0,9,15,12,17,76,4,12,8,76,6,7,11,76,8,10,6,48,0,24,28,72,0,10,18,91,0,1,1,1,0,2,0,4,67,0,2,4,1,2,0,1,6,0,0,0,5,3,1,5,3,55,3,28,12,0,2,55,0,3,8,12,8,11,2,1,58,1,32,7,2,58,0,4,15,15,6,2,9.147058823529411,9.42315765432443,3,1.7320508075688772,12.142857142857142,7.288761926429486,2.9743589743589745,2.045369346226527
DZ,DZA,Algeria,B<c3><a9>ja<c3><af>a,2020-12-26,2020-12-22,100,1,76936.9936034532,1,76936.9936034532,47,86,2403900.350173584,38,5,4,91,5,8,87,4,2,94,6,20,74,3,11,86,2,10,88,5,9,86,2,7,91,6,4,90,4,3,93,6,1,93,5,15,80,5,2,93,4,21,75,96,0,2,2,92,0,3,5,98,1,1,0,80,2,7,11,89,2,3,6,90,0,6,4,91,0,4,5,93,1,4,2,96,0,1,3,97,0,1,2,99,0,0,1,85,4,3,8,98,1,1,0,79,1,8,12,14,0,23,63,79,0,10,11,17,4,17,62,83,0,5,12,95,0,2,2,1,95,0,4,1,0,96,0,1,3,0,27,0,10,63,100,0,21,1,11,13,24,30,24,15,13,23,25,24,16,19,19,22,24,20,22,14,20,24,21,16,17,22,24,21,12,8,35,0,90,3,0,7,90,3,3,4,90,2,5,3,90,3,2,5,90,2,2,6,90,2,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,40,30,25,4,53,18,25,6,32,37,25,5,34,36,25,5,9,61,25,4,29,42,27,0,38,35,62,0,25,3,2,8,28,0,3,9,30,30,28,0,71,1,30,0,11,59,30,0,19,35,8,6,2,0,30,0,30,19,9,12,31,1,16,35,14,3,32,0,5,59,4,37,1,7,50,5,60,0,30,10,47,0,47,6,68,0,27,5,66,1,21,12,91,0,5,4,71,1,22,6,37,4,0,4,10,17,28,37,2,0,5,5,15,36,37,4,26,14,10,9,37,0,10,9,15,29,37,0,12,13,11,27,75,6,13,6,75,15,5,5,75,9,11,5,39,0,27,34,66,0,16,18,84,1,3,0,0,4,0,1,7,58,0,3,4,5,4,2,1,3,4,1,1,2,3,2,1,6,60,0,28,11,0,1,60,0,3,16,7,7,6,1,0,62,0,23,6,9,62,0,2,8,15,9,4,7.206896551724137,7.523198931803392,2.642857142857143,2.6777471259119427,9.441176470588236,6.688711324316192,3.578947368421052,2.0616390612269333
