ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-23,2020-12-21,100,2,98487.7955416905,2,98487.7955416905,9,89,8692673.917521296,40,4,4,92,5,9,86,3,2,95,6,30,64,7,9,84,5,15,80,7,7,86,7,6,87,6,6,88,6,3,91,6,5,89,7,15,78,8,3,89,8,10,82,96,0,3,1,91,0,7,2,98,0,1,1,70,1,16,13,91,0,3,6,85,0,7,8,93,0,3,4,94,0,5,1,94,0,5,1,97,0,2,1,95,0,3,2,85,1,6,8,97,0,2,1,90,0,4,6,11,0,3,86,97,0,2,1,11,2,25,62,76,0,10,14,90,1,8,1,90,0,5,4,1,95,0,5,24,1,21,54,100,19,5,18,23,17,18,43,5,16,17,19,43,8,13,20,16,43,8,17,14,18,43,14,12,15,16,43,14,3,17,23,81,10,3,6,81,9,3,7,81,9,5,5,81,7,6,6,81,10,5,4,81,8,2,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,8,49,17,26,5,39,30,26,6,33,35,26,6,35,33,26,8,22,44,26,3,39,32,28,0,39,33,61,0,16,15,3,5,28,1,4,14,33,20,28,3,68,1,29,1,11,59,29,0,20,24,13,9,3,2,29,0,28,17,18,8,31,0,16,34,15,4,32,1,1,62,4,39,3,2,51,5,53,0,36,11,62,2,30,6,68,3,24,5,65,2,15,18,79,2,12,7,61,3,30,6,41,0,0,1,6,15,37,41,2,1,1,8,16,31,44,1,23,15,11,6,44,0,15,13,10,18,44,0,23,9,9,15,68,2,24,6,68,15,8,9,68,13,11,8,47,0,35,18,82,0,11,7,89,3,5,0,0,0,0,3,55,0,2,4,3,2,2,3,2,1,0,3,3,3,1,2,14,58,2,29,10,0,1,58,0,5,10,13,6,8,0,0,59,1,25,14,1,59,1,4,12,13,6,5,3.2222222222222223,2.1520485894405663,3,2.6457513110645907,8.689655172413794,5.994661007190732,4.55,2.8818619337380142
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-24,2020-12-22,100,1,39746.7106477582,1,39746.7106477582,7,89,8711628.608433127,37,2,5,93,3,7,90,2,2,96,3,32,65,5,6,89,3,19,78,4,5,91,4,8,88,5,6,89,4,6,90,3,3,94,4,17,79,5,2,93,4,16,80,95,0,2,3,93,0,5,2,98,0,1,1,68,0,14,18,94,0,2,4,81,0,12,7,95,0,2,3,92,0,5,3,94,0,4,2,94,0,4,2,97,0,1,2,83,1,6,10,98,0,0,2,84,0,9,7,11,0,5,84,95,0,2,3,13,1,22,64,78,0,12,10,88,1,11,0,88,0,8,3,1,92,2,6,26,0,25,49,100,19,5,23,25,13,15,25,10,25,19,21,25,13,23,20,19,25,13,29,13,20,25,19,24,13,19,25,17,13,14,31,76,13,2,9,76,12,4,8,76,11,8,5,76,7,10,7,76,13,4,7,76,11,4,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,8,45,20,27,7,38,28,27,8,37,28,27,8,35,30,27,10,17,46,27,5,39,29,30,0,36,34,64,0,15,16,2,3,30,2,3,14,27,24,30,3,66,1,32,2,10,56,32,0,19,24,14,7,2,2,32,1,25,15,18,9,34,1,15,27,21,2,35,2,1,61,1,43,3,1,51,2,57,0,36,7,64,1,27,8,64,2,26,8,65,3,16,16,84,2,9,5,61,3,31,5,43,0,0,2,5,25,25,43,1,1,3,5,20,27,45,0,29,13,7,6,45,0,19,9,10,17,45,1,25,6,8,15,69,4,25,2,69,19,8,4,69,15,14,2,47,0,33,20,80,0,9,11,91,1,5,0,1,0,0,2,59,0,1,3,3,5,1,0,1,2,1,3,3,4,1,3,10,59,1,29,10,0,1,59,0,3,15,10,6,7,0,0,61,1,25,13,0,61,1,9,10,12,3,4,4.181818181818182,3.0059841655242736,1.5,1,8.878787878787879,6.831716364490586,4.157894736842105,2.927283731153209
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-25,2020-12-23,100,1,49086.3311890863,1,49086.3311890863,7,88,8379288.12753663,35,2,6,92,0,11,89,2,3,95,2,36,62,2,7,91,1,22,77,2,4,94,0,3,97,2,7,91,2,7,91,1,6,93,2,17,81,2,4,94,1,17,82,94,1,1,4,89,1,6,4,97,2,0,1,64,1,14,21,93,0,3,4,78,1,14,7,96,0,2,2,97,0,1,2,93,1,4,2,93,1,4,2,94,1,1,4,83,1,6,10,96,1,1,2,83,1,10,6,12,0,5,83,95,0,3,2,14,0,21,65,80,1,9,10,91,0,9,0,91,0,6,3,0,94,3,3,25,0,29,46,100,18,4,22,23,13,20,26,7,28,16,23,26,11,21,15,27,26,10,28,13,23,26,14,30,7,23,26,14,18,6,36,72,12,6,10,72,14,5,9,72,11,12,5,72,9,13,6,72,15,5,8,72,14,6,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,7,50,14,29,7,42,22,29,10,40,21,29,9,39,23,29,10,18,43,29,7,43,21,32,1,41,26,59,1,21,6,4,9,33,3,2,8,27,27,33,3,62,2,35,2,9,54,35,1,19,24,14,5,2,0,35,2,18,17,17,11,35,1,14,22,24,4,36,1,2,56,5,44,2,1,48,5,52,1,40,7,60,2,30,8,61,1,23,15,61,1,19,19,83,3,9,5,57,2,36,5,44,1,0,2,5,23,25,44,1,1,4,6,16,28,46,1,26,10,7,10,46,1,24,6,9,14,46,2,26,7,10,9,67,3,28,2,67,17,11,5,67,14,15,4,48,1,35,16,84,0,4,12,96,0,2,0,1,0,0,1,61,0,0,6,2,4,1,0,2,1,1,3,2,3,0,3,11,61,1,32,5,0,1,61,0,2,16,7,8,5,1,0,64,0,22,14,0,64,0,10,11,9,4,2,4.111111111111111,3.4193448483472966,1.5,1,7.970588235294118,6.829016940289905,4.694444444444445,2.886613878325205
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-26,2020-12-24,100,3,394760.53919747367,2,366005.5417182153,7,84,8553857.800285125,32,2,7,91,0,18,82,2,4,94,1,36,63,2,17,81,2,27,71,2,3,95,1,5,94,2,8,90,2,5,93,2,5,93,1,21,78,2,4,94,2,11,87,93,1,2,4,82,2,11,5,96,2,1,1,64,2,13,21,83,1,8,8,73,1,14,12,97,0,3,0,95,0,1,4,92,1,3,4,95,1,4,0,95,1,0,4,79,1,8,12,96,1,2,1,89,1,6,4,16,0,4,80,97,0,3,0,18,0,23,59,79,1,7,13,93,0,7,0,93,0,3,4,0,97,3,0,29,0,21,50,100,23,0,22,22,14,19,27,6,27,14,26,27,11,17,19,26,27,4,28,17,24,27,12,27,13,21,27,12,16,6,39,80,8,5,7,80,9,6,5,80,6,10,4,80,8,8,4,80,8,4,8,80,7,6,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,5,44,20,31,6,45,18,31,7,36,26,31,6,35,28,31,6,18,45,31,5,41,23,33,2,38,27,62,1,21,3,4,9,35,1,3,9,27,25,35,2,61,2,38,1,10,51,38,1,21,20,13,4,2,1,38,1,21,15,12,13,38,0,12,24,23,3,39,1,5,50,5,45,3,3,44,5,57,1,35,7,56,2,30,12,65,1,19,15,66,0,16,18,82,2,10,6,60,0,32,8,46,2,0,1,7,14,30,46,2,1,2,7,13,29,49,2,21,13,7,8,49,1,17,10,10,13,49,2,23,11,9,6,66,0,30,4,66,16,7,11,66,14,15,5,51,1,34,14,86,0,6,8,94,1,0,0,1,1,0,3,60,0,1,7,0,5,1,3,5,1,0,3,2,1,0,2,9,65,0,28,6,0,1,65,0,2,15,7,8,1,2,0,66,1,17,15,1,66,1,10,10,7,4,2,4.136363636363637,3.6125807890920174,2,1,8.806451612903226,6.720215050322471,4.125,2.9594027296278944
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-27,2020-12-25,100,3,446086.18226994335,1,316919.21052912896,6,83,8273859.265691587,38,2,4,94,1,17,82,2,5,93,2,37,61,2,17,81,3,26,71,3,4,93,3,6,91,3,6,91,3,6,91,3,4,93,1,23,76,3,2,95,3,10,87,96,0,3,1,83,1,9,7,95,0,1,4,63,1,15,21,83,1,8,8,74,0,9,17,96,0,2,2,94,0,1,5,94,0,2,4,94,0,4,2,96,0,0,4,77,0,8,15,98,0,1,1,90,0,4,6,17,0,5,78,96,0,3,1,19,1,23,57,78,0,7,15,93,0,7,0,93,0,3,4,0,97,1,2,29,1,19,51,100,22,0,24,22,16,16,27,12,20,15,26,27,12,23,16,22,27,8,22,19,24,27,13,23,17,20,27,14,12,9,38,81,8,3,8,81,9,2,8,81,6,6,7,81,8,6,5,81,7,2,10,81,7,5,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,3,41,25,31,5,47,17,31,8,32,29,31,5,41,23,31,7,26,36,31,6,35,28,33,2,43,22,57,0,26,5,2,10,35,1,1,10,31,22,35,0,64,1,37,1,13,49,37,0,19,24,11,6,2,1,37,0,18,18,15,12,37,0,12,24,20,7,38,1,6,55,0,40,2,2,52,4,60,0,36,4,54,1,33,12,69,0,25,6,60,0,22,18,74,0,16,10,66,0,26,8,41,1,0,1,9,14,34,41,1,0,2,8,16,32,42,2,22,17,10,7,42,1,11,10,15,21,42,1,16,15,12,14,69,4,23,4,69,14,6,11,69,10,17,4,44,0,37,19,81,1,12,6,88,2,1,0,0,2,1,6,51,0,3,4,1,7,2,3,8,3,0,0,2,3,0,4,9,57,1,30,8,0,4,57,0,5,12,12,7,3,3,1,60,3,18,17,2,60,1,11,12,11,1,4,3.8461538461538463,3.0047196343372304,1.25,0.5,8.617647058823529,6.737568601471643,3.3055555555555554,2.188534335961522
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-28,2020-12-25,100,3,446086.18226994335,1,316919.21052912896,8,83,8276102.226724175,38,2,4,94,1,17,82,2,5,93,2,38,60,2,17,81,3,25,72,3,4,93,3,6,91,3,6,91,3,6,91,3,4,93,1,24,75,3,2,95,3,11,86,96,0,3,1,83,1,9,7,95,0,1,4,62,1,16,21,83,1,8,8,75,0,9,16,96,0,2,2,94,0,1,5,94,0,2,4,94,0,4,2,96,0,0,4,76,0,9,15,98,0,1,1,89,0,5,6,17,0,6,77,95,0,4,1,19,1,24,56,77,0,7,16,93,0,7,0,93,0,3,4,0,97,1,2,29,1,19,51,100,22,0,24,21,17,16,27,12,20,14,27,27,12,23,15,23,27,8,22,19,24,27,13,22,17,21,27,14,12,9,38,81,8,3,8,81,9,2,8,81,6,6,7,81,8,6,5,81,7,2,10,81,7,5,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,3,41,25,31,5,47,17,31,8,33,28,31,5,41,23,31,7,27,35,31,6,36,27,34,2,42,22,58,0,25,5,2,10,36,1,1,9,31,22,36,0,63,1,38,1,13,48,38,0,19,23,11,6,2,1,38,0,18,18,14,12,38,0,12,24,19,7,39,1,6,54,0,41,2,2,51,4,60,0,36,4,54,1,32,13,68,0,25,7,60,0,21,19,73,0,16,11,65,0,26,9,42,1,0,1,9,14,33,42,1,0,2,8,16,31,43,2,21,17,10,7,43,1,11,10,14,21,43,1,16,15,11,14,69,4,23,4,69,14,6,11,69,10,17,4,45,0,37,18,82,1,12,5,88,2,1,0,0,2,1,6,51,0,3,4,1,7,2,3,8,3,0,0,2,3,0,4,9,58,1,29,8,0,4,58,0,5,12,12,7,3,2,1,60,3,18,17,2,60,1,11,12,11,1,4,3.875,2.9715531637728114,1.4,0.5477225575051661,8.787878787878787,6.7673738248192326,3.3055555555555554,2.188534335961522
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-30,2020-12-26,100,2,129166.97174081439,0,0,8,84,8515378.720205205,35,2,5,93,1,11,88,2,4,94,3,39,58,1,8,91,3,24,73,3,5,92,3,6,91,3,9,88,3,4,93,2,5,93,1,20,79,3,1,96,3,11,86,95,0,2,3,89,2,3,6,96,0,0,4,61,0,13,26,92,1,4,3,76,0,6,18,95,0,3,2,94,0,1,5,91,0,1,8,96,0,2,2,95,0,1,4,80,0,7,13,99,0,0,1,89,0,4,7,16,0,6,78,95,0,4,1,18,3,21,58,80,0,7,13,93,0,7,0,93,0,3,4,0,97,1,2,30,1,17,52,100,22,0,25,20,13,20,28,11,21,13,27,28,10,27,11,24,28,10,25,14,23,28,10,23,17,22,28,12,17,7,36,84,7,2,7,84,8,0,8,84,6,4,6,84,5,6,5,84,7,1,8,84,7,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,3,40,26,31,3,41,25,31,7,31,31,31,4,45,20,31,7,27,35,31,5,35,29,33,1,42,24,58,0,22,7,3,10,35,1,0,10,32,22,35,1,62,2,36,1,14,49,36,0,17,25,12,6,4,0,36,0,22,19,13,10,36,1,9,30,14,10,37,0,4,58,1,42,3,0,52,3,60,1,35,4,59,2,31,8,69,1,24,6,55,2,23,20,73,1,17,9,65,1,26,8,43,0,0,1,6,15,35,43,1,0,3,5,13,35,44,3,24,10,12,7,44,1,11,10,12,22,44,1,15,12,11,17,74,5,20,1,74,11,5,10,74,7,15,4,47,0,35,18,82,1,12,5,88,2,1,0,0,2,1,6,53,0,2,5,2,7,2,0,6,3,0,1,3,4,0,2,10,62,1,26,7,0,4,62,0,5,8,14,3,4,3,1,64,3,17,15,1,64,1,8,13,10,1,3,3.05,2.183269719175042,1.4,0.5477225575051661,8.413793103448276,6.941167261755404,3.4375000000000004,2.4486665232194205
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2020-12-31,2020-12-27,100,0,0,0,0,11,88,9250429.373349024,34,4,7,89,4,8,88,4,4,92,3,41,56,3,11,86,5,21,74,3,6,91,5,3,92,4,10,86,5,1,94,3,7,90,2,21,77,4,1,95,3,13,84,93,0,3,4,92,2,0,6,96,0,0,4,59,1,15,25,89,1,4,6,79,0,5,16,94,0,2,4,97,0,1,2,90,0,2,8,99,0,0,1,93,1,1,5,79,0,10,11,99,0,1,0,87,1,5,7,12,0,8,80,92,0,5,3,12,2,20,66,80,0,6,14,94,0,5,1,94,0,2,4,0,98,0,2,21,3,20,56,100,17,0,25,23,14,21,26,12,23,10,29,26,13,24,14,23,26,13,23,15,23,26,12,21,17,24,26,16,14,7,37,82,8,1,9,82,6,2,10,82,6,5,7,82,4,6,8,82,8,0,10,82,8,2,8,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,31,2,40,27,31,3,36,30,31,4,33,32,31,3,41,25,31,5,25,39,31,4,39,26,33,0,42,25,58,0,20,7,5,10,34,0,2,7,32,25,34,1,61,4,35,2,15,48,35,1,13,24,16,5,6,0,35,1,26,15,17,6,36,2,6,32,17,7,36,0,2,60,2,42,2,1,52,3,60,3,29,8,64,3,28,5,67,3,19,11,59,3,13,25,75,2,16,7,61,3,29,7,42,0,0,1,9,15,33,42,0,0,3,4,15,36,42,3,20,13,13,9,42,0,12,12,14,20,42,0,20,8,15,15,74,2,23,1,74,11,5,10,74,9,11,6,47,1,33,19,81,0,12,7,89,0,2,0,0,0,0,9,56,0,1,8,3,4,0,2,2,2,0,4,1,3,0,2,12,65,0,27,6,0,2,65,0,1,12,13,3,4,2,0,65,1,19,14,1,65,1,4,17,10,2,1,3.2682926829268295,2.5497489115979874,1.4285714285714286,0.5345224838248488,8.11111111111111,5.839740071489835,3.4848484848484853,2.7627116674701613
CI,CIV,C<c3><b4>te d'Ivoire,Autonome d'Abidjan,2021-01-01,2020-12-30,100,0,0,0,0,7,89,8949351.640990594,37,4,7,89,4,9,87,5,1,94,4,41,55,4,12,84,5,22,73,4,3,93,6,4,90,4,10,86,5,1,94,6,7,87,2,16,82,5,1,94,3,11,86,93,0,3,4,91,2,1,6,99,0,0,1,59,2,15,24,88,0,4,8,78,0,6,16,97,0,0,3,96,0,2,2,90,1,2,7,99,1,0,0,93,1,1,5,84,2,6,8,99,0,1,0,89,1,5,5,11,0,5,84,95,0,2,3,11,1,22,66,78,0,5,17,95,0,4,1,95,0,1,4,0,99,0,1,17,3,19,61,100,15,0,30,20,13,22,25,12,28,13,22,25,14,26,18,17,25,15,26,16,18,25,15,23,15,22,25,17,16,10,32,83,10,1,6,83,7,2,8,83,7,5,5,83,6,5,6,83,10,0,7,83,10,0,7,84,3,0,13,84,3,0,13,84,3,0,13,84,3,0,13,84,2,2,12,84,3,5,8,84,3,0,13,94,0,1,5,94,0,1,5,94,0,0,6,94,0,0,6,94,0,2,4,31,3,42,24,31,4,40,25,31,5,34,30,31,4,41,24,31,5,29,35,31,3,43,23,33,0,45,22,55,0,22,8,6,9,34,1,2,8,28,27,34,1,62,3,36,2,11,51,36,1,13,22,18,6,4,0,36,1,22,18,18,5,37,2,7,28,20,6,38,0,1,59,2,42,2,1,51,4,58,3,27,12,60,3,28,9,66,2,21,11,59,3,15,23,71,2,18,9,57,4,28,11,42,0,0,2,6,14,36,42,0,0,4,3,11,40,42,1,18,17,16,6,42,0,13,12,16,17,42,0,21,9,15,13,72,3,23,2,72,12,3,13,72,9,11,8,46,1,36,17,83,0,11,6,90,0,2,0,0,0,0,8,54,0,1,9,2,4,0,2,1,0,0,4,1,6,0,2,14,62,1,30,5,0,2,62,0,3,11,14,6,2,2,0,62,1,21,15,1,62,1,6,18,9,3,1,3.386363636363636,2.553756094515457,1.5,0.5773502691896257,8.387096774193548,5.925523433165145,3.5000000000000004,2.9361900689860185
CI,CIV,C<c3><b4>te d'Ivoire,Lagunes,2021-01-01,2020-12-21,100,1,46111.080732916504,1,46111.080732916504,9,89,9703740.138054607,38,2,5,93,4,8,88,3,2,95,1,26,73,1,15,84,3,11,86,2,7,91,3,1,96,3,1,96,4,1,95,3,2,95,5,13,82,4,3,93,4,9,87,95,0,4,1,92,0,4,4,98,0,1,1,74,0,11,15,85,0,7,8,89,0,2,9,93,0,3,4,99,0,1,0,99,0,1,0,99,0,1,0,98,0,2,0,87,0,4,9,97,0,3,0,91,0,6,3,11,0,4,85,96,0,1,3,11,3,19,67,81,0,5,14,95,0,5,0,95,0,0,5,0,100,0,0,20,0,17,63,100,13,2,21,24,18,22,22,10,33,13,22,22,14,33,15,16,22,16,34,9,19,22,16,33,12,17,22,17,22,8,31,83,4,2,11,83,5,4,8,83,5,7,5,83,4,5,8,83,6,3,8,83,4,6,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,1,2,4,93,0,3,4,93,0,1,6,97,0,1,2,97,0,2,1,97,0,2,1,97,0,2,1,97,0,1,2,23,2,52,23,23,4,53,20,23,4,39,34,23,4,45,28,23,4,32,41,23,2,43,32,27,1,37,35,63,0,13,9,4,11,28,1,2,11,25,33,28,1,70,1,30,1,14,55,30,0,22,23,10,12,2,1,30,0,22,15,19,14,32,1,10,27,25,5,33,0,1,61,5,36,1,6,54,3,48,0,41,11,47,3,42,8,61,4,28,7,55,3,19,23,68,1,22,9,57,4,35,4,38,0,0,2,7,21,32,38,0,0,2,9,17,34,40,1,20,12,11,16,40,0,12,14,12,22,40,0,24,14,5,17,64,3,30,3,64,21,3,12,64,15,13,8,44,0,37,19,81,0,6,13,95,0,1,1,1,0,0,2,59,1,0,3,3,4,1,2,2,2,0,2,4,1,0,4,12,60,0,29,8,0,3,60,0,6,9,12,7,4,2,0,61,1,23,13,2,61,0,12,12,8,4,3,3.3888888888888884,3.007398284970656,2.25,1.2583057392117916,8.344827586206897,6.1833639831230425,3.7894736842105257,2.326787539945476
