ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BO,BOL,Bolivia,La Paz,2020-12-21,2020-12-21,160,7,60143.54697156453,4,30742.436419583268,51,147,1513787.068922839,117,7,15,138,5,23,132,7,11,142,4,42,114,5,44,111,7,32,121,6,35,119,8,16,136,6,26,128,7,6,147,6,36,118,5,49,106,6,20,134,7,51,102,146,1,8,5,138,1,14,7,149,0,8,3,119,1,27,13,117,1,24,18,129,0,15,16,125,1,21,13,145,0,10,5,135,0,16,9,155,0,4,1,125,1,21,13,112,1,34,13,141,0,16,3,110,1,37,12,13,0,28,119,132,0,16,12,13,1,60,86,100,0,16,44,144,3,12,1,144,0,8,8,0,152,0,4,4,0,31,4,30,95,160,0,0,0,0,15,0,63,52,20,10,110,3,30,9,8,110,2,30,9,9,110,3,20,13,14,110,3,19,17,11,110,3,2,10,35,130,8,10,12,130,9,7,14,130,5,17,8,130,6,12,12,130,9,1,20,130,7,7,16,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,20,5,64,71,20,4,101,35,20,8,60,72,20,6,76,58,20,7,40,93,20,7,86,47,20,0,93,47,67,0,57,15,13,8,20,0,0,19,59,62,20,2,136,2,22,3,25,110,22,0,106,17,1,3,0,11,22,1,35,34,39,29,25,1,28,79,21,6,160,160,96,0,62,2,59,0,98,3,100,0,56,4,84,0,50,26,120,0,36,4,74,0,85,1,26,0,2,9,27,41,55,26,0,4,11,25,32,62,29,1,65,46,11,8,29,2,19,42,47,21,29,1,39,49,29,13,72,4,74,10,72,9,55,24,72,13,47,28,33,1,67,59,101,0,32,27,128,3,6,2,7,3,0,1,10,62,2,3,9,6,6,1,1,9,5,0,7,8,11,2,3,25,38,0,61,61,0,0,38,0,18,32,30,20,13,7,2,41,1,111,3,4,41,1,14,32,43,20,9,2.9489795918367347,1.6768431863904751,1.92,1.4977761292440648,12.067796610169491,6.060561613364731,2.9661016949152543,1.6115618765276885
BO,BOL,Bolivia,Santa Cruz,2020-12-21,2020-12-21,181,9,57281.89624427114,2,15604.02656031918,90,171,1465246.6723154814,124,5,11,165,6,26,149,5,15,161,5,31,145,5,49,127,6,36,139,5,38,138,5,16,160,6,23,152,4,12,165,7,33,141,5,64,112,5,14,162,5,58,118,170,0,7,4,158,0,15,8,167,0,7,7,151,1,17,12,134,2,24,21,146,1,23,11,144,1,23,13,167,1,6,7,159,0,13,9,170,1,10,0,149,1,20,11,118,1,28,34,167,0,10,4,125,1,34,21,10,0,39,132,142,0,21,18,10,1,57,113,124,0,19,38,162,5,12,2,162,0,15,4,0,166,0,10,5,0,30,2,33,116,181,0,0,0,0,15,1,55,65,27,18,131,2,23,16,9,131,2,24,14,10,131,5,27,7,11,131,5,21,12,12,131,5,10,7,28,151,11,9,10,151,12,5,13,151,3,21,6,151,10,8,12,151,13,2,15,151,12,7,11,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,181,0,0,0,31,6,77,67,31,4,118,28,31,9,75,66,31,8,82,60,31,8,40,102,31,2,74,74,34,0,97,50,84,0,60,22,8,7,35,0,0,21,56,69,35,1,144,1,36,1,35,109,36,0,108,27,3,6,0,1,36,0,21,56,38,30,38,0,20,92,27,4,181,181,105,3,71,2,64,5,108,4,107,2,65,7,99,2,53,27,142,2,33,4,108,1,70,2,39,1,0,9,27,40,65,39,1,3,11,27,42,58,40,0,71,41,22,7,40,2,30,46,35,28,40,0,63,43,26,9,76,5,88,12,76,18,61,26,76,22,59,24,41,0,79,61,120,0,29,32,153,0,1,1,8,3,4,2,9,74,0,5,14,6,7,4,3,8,6,1,9,5,1,0,3,35,50,2,55,74,0,0,50,0,37,34,32,15,11,2,0,55,2,110,8,6,55,0,30,27,35,19,15,2.7777777777777777,1.7843207735866775,2.5454545454545454,1.3939805659268776,11.139344262295081,6.58738535744237,2.901639344262295,1.7693900338797424
BO,BOL,Bolivia,Cochabamba,2020-12-22,2020-12-21,100,3,27859.43400267078,1,6187.5839853628795,18,94,924537.2242722778,68,5,5,90,4,10,86,6,6,88,4,18,78,6,18,76,5,24,71,6,14,80,6,9,85,6,9,85,6,1,93,6,15,79,5,23,72,5,6,89,5,37,58,95,0,4,1,90,0,5,5,94,0,4,2,82,0,11,7,82,0,8,10,76,0,12,12,86,0,7,7,91,0,4,5,91,0,6,3,99,0,1,0,85,0,5,10,77,1,11,11,94,0,4,2,63,0,17,20,6,0,11,83,89,0,6,5,8,0,31,61,69,1,7,23,93,1,6,0,93,0,5,2,0,95,0,4,1,0,16,0,22,62,100,0,0,0,0,10,1,19,41,20,9,13,9,41,27,10,13,8,45,23,11,13,7,38,23,19,13,6,33,25,23,13,10,8,11,58,78,13,5,4,78,14,4,4,78,10,12,0,78,11,7,4,78,14,4,4,78,14,5,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,0,47,36,17,2,71,10,17,2,37,44,17,2,53,28,17,1,27,55,17,1,48,34,18,0,62,20,38,0,40,12,2,8,19,0,0,10,33,38,19,0,81,0,19,0,16,65,19,0,65,15,0,0,1,0,19,0,15,17,25,24,19,0,17,49,12,3,100,100,53,0,44,3,29,1,68,2,63,0,34,3,47,1,36,16,73,0,19,8,52,0,46,2,22,0,1,6,13,22,36,22,0,3,7,13,23,32,24,0,34,24,13,5,24,0,12,25,22,17,24,0,20,34,17,5,46,10,39,5,46,10,37,7,46,14,30,10,25,1,45,29,71,0,16,13,84,0,6,0,2,4,2,0,2,39,0,1,11,4,5,1,1,4,1,0,5,5,6,0,3,14,28,0,37,35,0,0,28,0,8,22,23,9,8,2,0,30,1,60,7,2,30,0,12,15,22,15,6,2.9827586206896552,1.5726988682476815,1.7000000000000002,1.3374935098492586,13.28985507246377,5.7957932240836705,3.0869565217391304,1.695488220809974
BO,BOL,Bolivia,La Paz,2020-12-22,2020-12-22,200,11,82076.51873658752,7,34701.76538539416,100,186,1478018.2816070542,153,4,15,181,4,29,167,4,18,178,4,57,139,7,52,141,5,37,158,6,41,153,5,24,171,3,23,174,5,4,191,3,33,164,3,66,131,5,22,173,4,56,140,185,1,10,4,171,1,16,12,182,0,14,4,143,1,36,20,148,2,33,17,163,1,26,10,159,2,26,13,176,0,19,5,177,1,13,9,196,0,3,1,167,1,16,16,134,2,37,27,178,1,11,10,144,0,32,24,13,1,42,144,159,1,22,18,16,1,67,116,133,0,18,49,182,3,13,2,182,0,11,7,0,189,0,4,7,0,35,2,37,126,200,0,0,0,0,19,0,74,69,20,18,21,10,87,53,29,21,16,108,31,24,21,11,96,34,38,21,12,72,53,42,21,15,13,32,119,164,15,10,11,164,13,13,10,164,8,23,5,164,13,9,14,164,16,3,17,164,15,8,13,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,23,7,98,72,23,3,136,38,23,8,88,81,23,4,90,83,23,8,50,119,23,4,120,53,24,0,122,54,78,1,80,21,9,11,26,1,2,30,71,70,26,2,170,2,30,0,34,136,30,1,127,32,2,4,1,3,30,1,33,39,62,35,32,2,40,77,41,8,200,200,102,1,95,2,64,2,129,5,112,1,78,9,110,2,60,28,150,1,38,11,80,1,115,4,36,0,2,7,28,52,75,36,0,2,11,35,39,77,39,1,79,52,17,12,39,0,35,50,50,26,39,1,59,62,28,11,81,7,100,12,81,17,68,34,81,15,59,45,41,1,92,66,134,0,39,27,163,0,5,2,4,9,0,1,16,71,1,2,11,9,10,1,10,10,6,3,9,8,7,0,5,37,44,3,82,69,0,2,44,0,31,48,40,17,13,6,1,47,4,135,7,7,47,2,26,32,52,28,13,2.719298245614035,1.6696604070481373,2.4871794871794872,1.5021352323976216,11.532312925170068,7.266412228089624,2.9054054054054053,1.5489203518248165
BO,BOL,Bolivia,Santa Cruz,2020-12-22,2020-12-22,192,10,60765.0352906294,5,27454.554070491562,102,184,1575179.5129401202,130,4,13,175,3,31,158,3,9,180,5,25,162,4,36,152,4,34,154,1,35,156,4,16,172,4,16,172,4,15,173,4,30,158,4,50,138,4,17,171,3,54,135,179,1,9,3,161,4,22,5,183,2,7,0,167,2,13,10,156,2,19,15,158,4,23,7,157,4,15,16,176,4,11,1,176,3,11,2,177,1,14,0,162,2,20,8,142,4,34,12,175,2,12,3,138,7,35,12,8,0,47,137,145,0,20,27,8,4,70,110,122,1,28,41,164,12,16,0,164,0,16,12,0,176,0,11,4,1,42,6,29,115,192,0,0,0,0,12,1,64,61,36,18,21,9,71,56,35,21,13,82,44,32,21,13,81,32,45,21,11,70,47,43,21,12,22,28,109,164,10,10,8,164,15,3,10,164,9,13,6,164,15,7,6,164,16,4,8,164,13,7,8,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,192,0,0,0,24,3,84,81,24,4,127,37,24,10,65,93,24,8,86,74,24,8,42,118,24,4,77,87,30,0,91,71,101,1,58,16,5,11,30,0,3,19,62,78,30,3,156,3,36,1,41,114,36,0,109,29,9,2,2,5,36,0,39,38,50,29,36,1,39,75,37,4,192,192,111,3,72,6,68,2,116,6,130,1,53,8,108,4,58,22,151,1,27,13,116,4,68,4,38,1,0,3,25,42,83,38,0,1,12,22,49,70,44,0,63,57,16,12,44,0,32,37,39,40,44,0,49,62,22,15,83,5,93,11,83,15,62,32,83,14,58,37,46,0,81,65,127,0,33,32,160,4,6,1,5,2,2,4,8,79,0,2,9,9,12,2,3,13,6,0,2,5,1,2,5,42,58,0,73,60,0,1,58,0,26,42,35,20,8,3,0,62,2,112,10,6,62,3,23,31,45,19,9,3.0808080808080813,1.9983501750130908,2.41025641025641,1.3122489477780768,12.224,6.710444435067549,3.1031746031746033,1.6867927677310695
BO,BOL,Bolivia,Cochabamba,2020-12-23,2020-12-22,100,4,26806.23839199942,2,17820.66218756125,31,96,805792.065558371,76,1,6,93,2,21,77,2,3,95,3,20,77,1,29,70,1,13,86,2,20,78,1,8,91,2,9,89,2,3,95,2,14,84,3,29,68,2,4,94,2,25,73,94,0,5,1,79,1,10,10,97,1,2,0,80,0,13,7,71,0,17,12,87,1,8,4,80,0,13,7,92,1,2,5,91,0,4,5,97,0,1,2,86,0,6,8,71,0,16,13,96,0,2,2,75,0,16,9,4,0,12,84,88,0,7,5,4,0,25,71,75,1,6,18,94,0,6,0,94,0,5,1,0,95,0,3,2,0,11,2,21,66,100,0,0,0,0,7,0,32,36,16,9,11,2,45,24,18,11,7,44,26,12,11,3,43,27,16,11,4,30,33,22,11,7,8,15,59,80,8,8,4,80,7,9,4,80,6,12,2,80,5,9,6,80,9,3,8,80,9,6,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,3,34,51,12,2,71,15,12,3,40,45,12,3,45,40,12,2,27,59,12,1,54,33,12,0,58,30,42,0,32,13,7,6,13,0,1,17,39,30,13,0,86,1,15,2,19,64,15,1,60,18,2,0,2,2,15,1,13,31,28,12,15,2,18,52,13,0,100,100,66,0,33,1,29,0,70,1,60,0,37,3,55,0,28,17,73,0,21,6,46,1,52,1,17,0,1,1,17,30,34,17,0,0,6,15,32,30,17,2,34,35,6,6,17,0,7,37,25,14,17,0,25,41,8,9,35,3,56,6,35,8,45,12,35,12,33,20,18,0,55,27,73,0,10,17,91,0,1,0,1,2,1,2,2,36,0,0,3,7,3,1,2,10,3,0,10,7,0,1,1,16,21,1,44,34,0,0,21,1,11,29,20,9,7,1,1,23,0,62,9,6,23,0,12,16,26,13,10,2.5689655172413794,1.3260159159363036,2.727272727272727,2.053821272209882,11.173333333333334,5.978279001503679,3,1.5663120165960973
BO,BOL,Bolivia,La Paz,2020-12-23,2020-12-23,193,11,113122.22242462382,6,42629.926969660504,69,177,1519038.4262321224,143,4,13,176,2,31,160,3,17,173,3,50,140,4,56,133,5,51,137,2,34,157,4,28,161,5,19,169,2,14,177,3,35,155,3,64,126,4,21,168,3,55,135,180,1,7,5,162,2,21,8,176,2,8,7,143,3,26,21,137,2,28,26,142,3,31,17,159,3,25,6,165,3,15,10,174,1,16,2,179,2,10,2,158,1,18,16,129,3,31,30,172,4,13,4,138,2,34,19,16,0,38,139,155,0,14,24,19,2,61,111,132,3,14,44,179,2,12,0,179,0,8,6,0,185,0,3,5,0,38,3,38,114,193,0,0,0,0,20,0,65,60,31,17,28,8,83,45,29,28,10,95,37,23,28,11,83,41,30,28,13,62,54,36,28,15,23,26,101,156,13,13,11,156,14,13,10,156,7,20,10,156,13,8,16,156,15,2,20,156,13,9,15,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,193,0,0,0,31,3,87,72,31,4,132,26,31,6,71,85,31,3,92,67,31,5,44,113,31,4,105,53,33,1,109,50,84,1,66,18,8,16,36,2,0,26,54,75,36,4,152,1,37,1,29,126,37,0,132,18,2,1,1,2,37,1,29,36,56,34,37,1,33,85,31,6,193,193,106,1,84,2,61,3,125,4,122,1,69,1,101,2,71,19,149,1,37,6,88,3,102,0,40,1,0,8,33,48,63,40,0,5,8,34,44,62,41,1,82,57,8,4,41,0,27,41,61,23,41,0,53,56,34,9,87,7,84,15,87,15,70,21,87,19,60,27,45,0,85,63,130,0,24,39,170,1,5,0,4,1,1,2,9,85,0,1,15,6,13,1,8,8,4,0,4,3,4,2,4,35,47,0,70,75,0,1,47,0,30,43,28,31,7,6,1,50,1,130,4,8,50,1,35,31,42,24,10,2.788135593220339,1.7039506378792586,2,1.1832159566199232,11.291970802919709,6.068433977585794,3,1.6583123951777
BO,BOL,Bolivia,Santa Cruz,2020-12-23,2020-12-23,214,11,89816.76290245367,5,24977.130851664457,118,190,1585036.9829991783,133,9,20,185,9,31,174,9,15,190,11,39,164,9,48,157,10,42,162,8,40,166,10,19,185,8,25,181,11,13,190,9,36,169,10,70,134,11,11,192,8,66,140,194,0,14,6,183,3,17,11,199,1,10,4,175,2,28,9,166,2,25,21,172,2,21,19,174,3,25,12,195,1,15,3,189,2,18,5,201,2,6,5,178,3,24,9,144,3,38,29,203,2,7,2,148,5,37,24,24,0,52,138,162,2,21,29,25,2,73,114,141,0,22,51,192,8,14,0,192,0,12,10,0,202,0,5,7,0,50,2,30,132,214,0,0,0,0,28,1,61,70,39,15,34,7,85,59,29,34,13,85,55,27,34,10,75,48,47,34,15,61,72,32,34,16,19,40,105,185,13,4,12,185,15,6,8,185,8,16,5,185,13,6,10,185,14,6,9,185,12,6,11,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,214,0,0,0,41,3,96,74,41,5,136,32,41,7,73,93,41,5,91,77,41,4,49,120,41,4,86,83,47,0,98,69,116,0,62,21,11,4,49,1,2,27,63,72,49,1,163,1,52,1,35,126,52,0,122,26,3,3,3,5,52,0,29,42,57,34,53,0,47,85,23,6,214,214,119,1,92,2,80,1,128,5,142,1,65,6,125,1,64,24,167,0,38,9,130,1,80,3,56,0,4,4,23,53,74,56,1,1,11,18,64,63,59,2,71,59,17,6,59,0,28,53,45,29,59,0,64,52,30,9,101,6,88,19,101,26,63,24,101,22,68,23,65,0,91,58,156,0,30,28,187,0,7,2,3,8,2,0,5,99,0,7,10,9,9,3,4,9,1,2,7,6,2,3,6,37,75,1,70,67,0,1,75,0,26,47,30,23,7,6,0,78,1,109,14,12,78,1,22,28,52,16,17,2.782258064516129,1.8851602069935582,2.4444444444444446,1.5602382620431516,11.724409448818898,6.0430691841443,3.340909090909091,1.7335025896472351
BO,BOL,Bolivia,-99,2020-12-24,2020-12-22,100,0,0,0,0,24,75,1523205.626333297,45,14,1,85,13,9,78,12,4,84,9,15,76,8,11,81,11,13,76,14,16,70,12,9,79,11,6,83,13,4,83,12,13,75,13,22,65,14,6,80,12,19,69,99,0,1,0,91,0,6,3,96,0,2,2,85,0,6,9,89,0,8,3,87,0,8,5,84,0,10,6,91,1,7,1,94,1,4,1,96,0,3,1,87,0,8,5,78,1,10,11,94,0,5,1,81,2,9,8,23,2,15,60,86,0,8,6,25,3,28,44,72,0,5,23,95,0,5,0,95,0,3,2,0,97,0,2,1,0,33,1,18,48,100,0,0,0,0,26,0,28,26,12,8,29,11,34,15,11,29,19,28,17,7,29,21,31,9,10,29,21,26,10,14,29,23,9,9,30,82,11,6,1,82,14,3,1,82,11,6,1,82,12,4,2,82,13,3,2,82,14,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,32,7,37,24,32,5,52,11,32,15,19,34,32,12,30,26,32,12,16,40,32,7,39,22,32,0,40,28,60,0,27,7,5,1,32,0,2,10,24,32,32,1,67,0,34,1,12,53,34,1,50,9,2,0,0,4,34,2,20,22,14,8,35,0,17,27,19,2,100,100,63,2,35,0,48,2,50,0,81,1,17,1,70,1,20,9,84,1,14,1,61,2,37,0,35,4,1,0,9,18,33,35,2,2,4,10,13,34,37,0,31,20,5,7,37,2,11,25,13,12,37,1,21,25,10,6,55,6,34,5,55,14,26,5,55,17,19,9,38,1,39,22,78,0,15,7,86,2,3,0,0,3,0,0,6,49,0,5,2,2,4,2,3,6,2,2,5,2,0,0,2,14,50,1,23,24,0,2,50,0,8,17,11,7,4,3,0,54,1,33,7,5,54,2,10,13,12,6,3,2.9310344827586206,2.1201589307468476,1.8181818181818181,1.0787197799411874,10.36111111111111,5.581360703411606,2.7555555555555555,1.597662433846791
BO,BOL,Bolivia,Cochabamba,2020-12-24,2020-12-23,100,3,43180.73932180041,2,23334.12848376151,22,90,1118683.5391567196,58,1,4,95,1,17,82,0,5,95,2,20,78,0,20,80,0,19,81,1,15,84,0,9,91,1,10,89,1,5,94,1,11,88,2,22,76,1,6,93,1,25,74,96,0,3,1,83,1,9,7,95,1,4,0,80,1,13,6,80,0,12,8,81,2,11,6,85,1,10,4,91,1,4,4,90,0,5,5,95,0,3,2,89,1,6,4,78,1,13,8,94,1,4,1,75,0,16,9,10,0,14,76,86,0,11,3,10,2,30,58,70,1,8,21,92,1,6,1,92,0,5,2,1,96,0,4,0,0,21,2,19,58,100,0,0,0,0,13,0,29,37,11,10,17,2,45,14,22,17,5,50,17,11,17,4,46,21,12,17,4,35,24,20,17,7,9,14,53,82,7,6,5,82,8,2,8,82,5,9,4,82,7,5,6,82,8,2,8,82,6,8,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,2,38,43,17,0,68,15,17,3,40,40,17,3,51,29,17,4,29,50,17,2,41,40,19,0,65,16,35,0,48,7,5,5,20,1,2,10,32,35,20,1,78,1,21,2,15,62,21,2,55,14,4,2,2,0,21,2,11,28,22,16,22,2,11,45,16,4,100,100,64,1,30,5,34,0,64,2,60,0,37,3,50,0,30,20,72,1,24,3,61,0,37,2,27,0,0,0,16,21,36,27,0,2,5,12,23,31,28,0,30,31,5,6,28,0,10,30,19,13,28,0,21,33,11,7,48,3,41,8,48,7,32,13,48,7,33,12,30,0,39,31,69,0,16,15,85,0,3,0,1,2,0,1,8,46,0,3,8,6,5,3,1,2,2,0,5,2,2,1,0,14,32,0,41,26,0,1,32,0,12,23,17,6,7,3,0,38,0,50,6,6,38,0,8,15,21,11,7,2.3877551020408165,1.4407221356350584,1.5384615384615385,1.2659242088545832,11.573770491803279,7.288024461158736,2.847457627118644,1.6061687046061943
