ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NGA,Nigeria,Lagos,2021-01-01,2021-01-01,138,2,11112.2688182442,1,5556.1344091221,12,131,4697202.498073828,68,3,9,126,5,17,116,4,3,131,5,21,112,5,14,119,4,18,116,5,7,126,5,8,125,3,7,128,5,7,126,5,4,129,2,23,113,4,2,132,2,21,115,129,1,3,5,121,1,7,9,135,0,1,2,117,0,6,15,124,0,2,12,120,3,5,10,131,0,3,4,130,0,3,5,131,0,1,6,131,0,6,1,134,0,2,2,115,1,7,15,136,1,0,1,117,2,10,9,7,0,9,122,129,0,5,4,8,2,20,108,118,0,6,14,132,0,6,0,132,2,4,0,136,0,2,0,16,2,13,107,138,0,16,0,50,35,15,22,20,5,53,17,43,20,12,46,12,48,20,9,65,14,30,20,11,41,18,48,20,12,12,10,84,0,126,3,4,5,126,3,3,6,126,5,3,4,126,5,0,7,126,4,2,6,126,5,1,6,26,7,2,103,26,8,3,101,26,9,5,98,26,7,10,95,26,7,15,90,26,7,21,84,26,8,8,96,104,3,4,27,104,3,10,21,104,3,3,28,104,2,6,26,104,4,7,23,34,2,39,63,34,2,63,39,34,3,43,58,34,3,54,47,34,2,31,71,34,2,37,65,36,1,48,53,90,0,24,10,4,10,38,2,1,15,46,36,38,2,95,3,41,2,13,82,41,0,50,23,8,5,5,6,41,1,33,22,28,13,41,2,23,43,24,5,45,1,2,85,5,52,1,3,77,5,99,1,33,5,76,1,48,13,96,0,34,8,85,0,33,20,108,0,21,9,102,0,26,10,55,0,1,3,5,6,68,55,0,2,3,8,9,61,60,0,20,14,20,24,60,0,17,12,18,31,60,0,25,15,23,15,98,1,37,2,98,9,12,19,98,9,18,13,60,0,49,29,109,0,19,10,120,1,6,1,1,1,0,1,7,71,1,1,13,3,5,0,5,5,2,0,4,3,4,0,4,17,67,2,47,21,0,1,67,0,1,21,27,9,9,3,1,68,0,48,19,3,68,0,17,14,21,11,7,2.433333333333333,1.9166236792035143,1.25,0.7071067811865476,13.835820895522389,5.9863405499150115,3.0441176470588234,1.872294653502669
NGA,Nigeria,Lagos,2021-01-02,2021-01-01,100,3,16668.4032273663,2,11112.2688182442,9,94,3584318.6983412094,36,4,11,85,6,12,82,5,1,94,6,16,78,5,11,84,4,14,82,6,5,89,6,6,88,4,6,90,6,6,88,6,3,91,2,22,76,5,1,94,3,12,85,89,1,4,6,88,1,4,7,99,0,0,1,84,0,4,12,89,0,1,10,86,3,5,6,95,0,2,3,94,0,1,5,94,0,1,5,94,0,5,1,97,0,2,1,78,1,5,16,99,1,0,0,88,2,6,4,6,0,7,87,93,0,3,4,7,1,17,75,83,0,6,11,94,0,6,0,94,2,4,0,98,0,2,0,14,2,10,74,100,0,15,0,35,26,11,13,18,7,36,11,28,18,12,33,8,29,18,8,49,8,17,18,10,31,12,29,18,11,9,5,57,0,91,3,3,3,91,3,1,5,91,3,3,3,91,4,0,5,91,3,2,4,91,4,1,4,26,7,1,66,26,8,2,64,26,8,3,63,26,8,8,58,26,7,12,55,26,7,12,55,26,7,5,62,76,2,3,19,76,2,8,14,76,2,3,19,76,1,5,18,76,3,5,16,28,3,30,39,28,2,45,25,28,4,29,39,28,4,38,30,28,3,21,48,28,3,25,44,31,1,35,33,65,0,16,10,4,5,34,0,1,9,34,22,34,2,63,1,38,2,7,53,38,0,29,16,6,3,4,4,38,1,18,14,21,8,38,2,12,28,18,2,41,1,2,55,1,45,1,2,51,1,71,1,24,4,56,1,33,10,71,0,24,5,63,0,26,11,80,0,12,8,75,0,19,6,49,0,0,1,2,5,43,49,0,0,2,2,6,41,54,0,11,8,11,16,54,0,9,6,13,18,54,0,13,12,13,8,75,1,22,2,75,4,7,14,75,4,11,10,55,0,28,17,83,0,11,6,90,1,5,1,0,0,0,0,3,62,1,1,7,2,2,0,4,5,1,0,0,2,3,0,3,7,62,1,25,12,0,0,62,0,0,10,21,2,3,2,0,63,0,24,10,3,63,0,9,9,7,7,5,2.1666666666666665,1.575521978122203,1.1666666666666667,0.752772652709081,14.055555555555554,5.564912754774684,2.5428571428571427,1.6150552192864918
NGA,Nigeria,Federal Capital Territory,2021-01-03,2021-01-01,100,6,93763.71384116264,1,25947.3360629854,16,89,2745295.310607394,54,2,9,89,2,16,82,2,1,97,1,19,80,1,21,78,2,18,80,2,7,91,2,7,91,2,6,92,1,8,91,1,6,93,0,24,76,1,3,96,1,16,83,91,0,3,6,84,0,5,11,99,0,0,1,81,0,4,15,79,0,2,19,82,0,7,11,93,0,4,3,93,0,2,5,94,0,3,3,92,0,8,0,94,0,3,3,76,0,5,19,97,0,2,1,84,0,8,8,11,0,11,78,89,0,5,6,11,0,17,72,83,0,5,12,95,1,3,1,95,0,5,0,100,0,0,0,16,0,6,78,100,0,12,0,27,29,13,19,14,7,40,16,23,14,8,33,20,25,14,6,48,13,19,14,7,43,13,23,14,6,9,9,62,0,94,3,0,3,94,2,1,3,94,1,3,2,94,3,1,2,94,3,1,2,94,2,1,3,71,5,1,23,71,4,1,24,71,7,2,20,71,5,3,21,71,5,5,19,71,5,4,20,71,6,3,20,91,2,0,7,91,2,6,1,91,2,1,6,91,1,3,5,91,1,2,6,17,1,35,47,17,1,56,26,17,2,38,43,17,1,51,31,17,1,42,40,17,1,20,62,18,1,46,35,54,0,26,10,5,5,19,2,4,15,27,33,19,1,78,2,21,1,8,70,21,1,34,20,16,4,1,3,21,1,24,23,25,6,23,1,21,33,18,4,26,1,1,62,10,31,3,3,55,8,65,1,30,4,44,2,48,6,62,1,31,6,49,2,32,17,58,1,32,9,80,0,15,5,31,2,3,0,6,12,46,31,1,3,2,9,12,42,33,2,11,8,26,20,33,1,6,7,17,36,33,1,17,8,22,19,76,2,20,2,76,7,5,12,76,5,11,8,34,1,38,27,73,0,22,5,83,2,3,3,0,1,0,0,8,46,1,3,8,3,2,0,3,2,0,0,6,4,9,0,0,13,44,2,35,17,1,1,44,2,3,13,20,12,6,0,0,44,1,37,12,6,44,1,15,15,11,6,8,2.68,1.9633374334410834,1.4545454545454546,0.9341987329938274,13.23076923076923,5.707289403723822,2.9272727272727272,1.9327062723946273
NGA,Nigeria,Lagos,2021-01-03,2021-01-03,128,2,165896.3494456505,0,0,26,119,4368020.6433936935,73,2,12,114,3,16,109,5,3,120,3,27,98,4,20,104,4,28,96,4,13,111,4,6,118,4,8,116,3,7,118,3,12,113,3,25,100,4,6,118,3,17,108,116,1,4,7,112,1,7,8,125,0,0,3,101,2,4,21,108,2,7,11,100,2,8,18,115,1,5,7,122,0,3,3,120,0,3,5,121,0,5,2,116,0,5,7,103,2,4,19,122,1,3,2,111,0,6,11,9,0,13,106,115,0,8,5,11,4,14,99,114,0,2,12,126,0,2,0,126,1,1,0,127,0,1,0,17,3,19,89,128,0,16,2,36,37,22,15,20,4,54,17,33,20,10,44,20,34,20,10,57,13,28,20,11,40,16,41,20,10,4,5,89,0,110,6,6,6,110,7,6,5,110,5,8,5,110,7,2,9,110,7,6,5,110,7,2,9,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,23,2,44,59,23,2,63,40,23,1,48,56,23,1,58,46,23,2,41,62,23,3,45,57,29,0,53,46,75,0,32,8,6,7,31,1,7,19,39,31,31,1,93,3,36,3,11,78,36,0,34,32,20,4,1,1,36,0,21,24,36,11,36,1,21,52,14,4,37,0,0,85,6,41,4,1,72,10,86,2,30,10,68,3,48,9,82,2,35,9,73,3,30,22,89,2,25,12,86,1,34,7,42,3,2,2,8,9,62,42,3,0,7,6,11,59,45,2,17,13,25,26,45,3,17,15,18,30,45,2,28,21,16,16,80,7,34,7,80,14,15,19,80,14,17,17,49,1,49,29,99,0,19,10,110,1,8,0,1,1,0,0,7,61,0,3,9,7,3,1,5,6,4,0,4,7,2,0,7,9,55,0,51,20,1,1,55,0,9,20,24,13,7,0,0,55,3,55,13,2,55,1,18,26,14,6,8,2.737704918032787,1.7691960447640458,2.0833333333333335,1.378954368902449,14.085714285714285,5.648503347092201,3.409090909090909,1.8395423571954206
NGA,Nigeria,Federal Capital Territory,2021-01-04,2021-01-01,100,6,93763.71384116264,1,25947.3360629854,15,89,2738513.945259805,55,2,9,89,2,16,82,2,1,97,1,19,80,1,21,78,2,18,80,2,7,91,2,7,91,2,6,92,1,8,91,1,6,93,0,24,76,1,3,96,1,16,83,91,0,3,6,84,0,5,11,99,0,0,1,81,0,4,15,79,0,2,19,82,0,7,11,93,0,4,3,93,0,2,5,94,0,3,3,92,0,8,0,94,0,3,3,76,0,5,19,97,0,2,1,84,0,8,8,11,0,10,79,90,0,4,6,11,0,17,72,83,0,5,12,95,1,3,1,95,0,5,0,100,0,0,0,16,0,6,78,100,0,12,0,28,28,13,19,14,7,39,16,24,14,8,32,21,25,14,6,47,14,19,14,7,42,14,23,14,6,9,9,62,0,94,3,0,3,94,2,1,3,94,1,3,2,94,3,1,2,94,3,1,2,94,2,1,3,72,5,1,22,72,4,1,23,72,7,2,19,72,5,3,20,72,5,5,18,72,5,4,19,72,6,3,19,91,2,0,7,91,2,6,1,91,2,1,6,91,1,3,5,91,1,2,6,17,1,35,47,17,1,55,27,17,2,38,43,17,1,52,30,17,1,42,40,17,1,20,62,18,1,47,34,53,0,27,10,5,5,19,2,4,15,27,33,19,1,78,2,21,1,7,71,21,1,34,20,16,4,1,3,21,1,23,24,25,6,23,1,20,34,18,4,26,1,1,62,10,31,3,3,55,8,65,1,30,4,45,2,47,6,62,1,31,6,48,2,32,18,58,1,32,9,80,0,15,5,31,2,3,0,6,12,46,31,1,3,2,9,11,43,33,2,11,7,27,20,33,1,6,6,17,37,33,1,17,7,23,19,77,2,19,2,77,6,5,12,77,5,10,8,34,1,38,27,73,0,23,4,82,2,3,3,0,1,0,0,9,45,1,3,8,3,2,1,3,2,0,0,6,4,9,0,0,13,43,2,36,17,1,1,43,2,3,13,20,12,7,0,0,43,1,38,12,6,43,1,15,15,12,6,8,2.68,1.9633374334410834,1.5,0.97182531580755,13.30188679245283,5.675808670476893,2.892857142857143,1.9322955865411051
NGA,Nigeria,Lagos,2021-01-04,2021-01-03,100,1,56497.446521274505,0,0,15,91,3464072.000479569,46,2,8,90,3,13,84,4,2,94,3,25,72,4,15,81,4,23,73,4,11,85,4,7,89,4,7,89,3,6,91,3,10,87,3,24,73,4,7,89,3,11,86,92,1,3,4,87,0,7,6,98,0,0,2,75,2,5,18,85,1,5,9,77,1,7,15,89,1,5,5,93,0,4,3,93,0,3,4,94,0,4,2,90,0,5,5,76,2,4,18,93,1,4,2,89,0,6,5,9,0,8,83,92,0,5,3,11,2,11,76,90,0,2,8,98,0,2,0,98,1,1,0,99,0,1,0,16,2,11,71,100,0,16,2,24,29,15,14,20,4,39,14,23,20,8,32,16,24,20,8,41,11,20,20,9,31,12,28,20,9,1,5,65,0,90,4,5,1,90,4,5,1,90,4,4,2,90,4,1,5,90,4,5,1,90,5,0,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,2,34,41,23,2,43,32,23,1,34,42,23,1,43,33,23,1,35,41,23,3,29,45,28,0,38,34,62,0,24,6,4,4,30,0,6,15,26,23,30,1,67,2,34,3,8,55,34,0,20,25,16,3,1,1,34,0,15,18,29,4,34,0,17,36,10,3,35,0,0,62,3,39,3,1,51,6,68,2,22,8,59,2,32,7,68,1,22,9,59,2,22,17,67,2,20,11,73,1,22,4,40,2,2,1,4,7,44,40,3,0,4,4,8,41,44,2,8,8,19,19,44,3,7,11,14,21,44,2,13,17,14,10,71,5,17,7,71,9,8,12,71,8,10,11,48,0,34,18,82,0,10,8,92,1,3,0,0,0,0,0,4,58,0,1,5,5,2,1,3,3,3,0,2,3,3,0,6,5,54,0,32,13,0,1,54,0,7,13,15,6,5,0,0,54,1,36,9,0,54,0,8,21,10,4,3,2.9591836734693877,1.881479733187301,1.875,0.6408699444616557,14.255813953488373,4.5570093746615274,3.225,1.6868647902285532
NGA,Nigeria,Federal Capital Territory,2021-01-13,2021-01-03,100,6,233967.2177304535,3,112865.36843755451,25,94,3141124.586497689,60,1,7,92,1,18,81,1,3,96,1,20,79,1,18,81,1,16,83,1,7,92,1,6,93,1,4,95,1,5,94,1,8,91,0,24,76,1,4,95,1,13,86,93,1,2,4,82,2,6,10,97,0,1,2,80,1,10,9,82,0,6,12,84,0,7,9,93,1,3,3,94,1,4,1,96,0,2,2,95,0,4,1,92,1,2,5,76,0,7,17,96,0,3,1,87,0,7,6,6,0,14,80,86,0,7,7,6,1,14,79,86,0,6,8,94,0,6,0,94,3,3,0,98,1,1,0,13,1,14,72,100,0,8,0,35,24,18,15,12,6,46,14,22,12,5,38,19,26,12,4,46,16,22,12,3,42,13,30,12,4,10,7,67,0,86,3,7,4,86,5,1,8,86,3,5,6,86,6,2,6,86,6,1,7,86,5,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,2,40,43,15,1,54,30,15,2,43,40,15,3,48,34,15,2,31,52,15,2,27,56,19,1,38,42,62,0,18,12,4,4,19,1,2,9,33,36,19,1,77,3,21,2,11,66,21,1,44,19,9,2,1,3,21,1,21,23,24,10,22,1,19,39,15,4,24,1,1,68,6,28,2,3,63,4,62,3,34,1,50,3,38,9,59,3,35,3,55,3,25,17,70,3,19,8,76,1,20,3,29,1,0,1,4,14,51,29,1,1,1,5,16,47,33,2,11,12,22,20,33,1,7,10,18,31,33,1,17,15,22,12,68,4,22,6,68,11,6,15,68,6,16,10,33,1,34,32,68,0,24,8,79,2,5,3,0,2,0,0,9,46,1,3,4,4,6,1,1,2,0,0,4,6,10,1,0,11,39,1,44,16,0,0,39,1,4,16,13,16,10,1,0,39,1,41,11,8,39,1,12,20,15,6,7,2.34,1.847336748193055,1.8461538461538463,1.281025230440697,14.89285714285714,4.879189841202482,3.3389830508474576,1.9792907950657253
NGA,Nigeria,Lagos,2021-01-13,2021-01-13,199,6,117415.08835844311,3,97278.43414056806,32,187,5038619.699544696,106,6,23,170,4,21,174,5,3,191,6,26,167,6,29,164,7,29,163,5,12,182,6,8,185,7,8,184,6,10,183,7,13,179,6,42,151,8,4,187,6,28,165,176,0,12,11,178,0,12,9,196,0,3,0,173,0,14,12,170,0,8,21,170,0,13,16,187,2,3,7,191,0,2,6,191,0,4,4,189,0,8,2,186,0,4,9,157,1,18,23,195,0,3,1,171,1,12,15,12,0,22,165,178,0,5,16,14,3,26,156,174,0,14,11,185,2,10,2,185,7,7,0,192,2,4,1,33,6,23,137,199,0,19,5,66,47,39,23,35,8,78,28,50,35,16,70,29,49,35,11,77,30,46,35,10,65,38,51,35,16,17,12,119,0,176,6,11,6,176,10,6,7,176,9,8,6,176,11,1,11,176,10,5,8,176,11,3,9,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,37,4,92,66,37,4,87,71,37,7,62,93,37,5,71,86,37,6,34,122,37,4,71,87,41,1,72,85,127,0,41,21,2,8,43,3,5,22,65,61,43,1,153,2,47,2,29,121,47,1,62,54,17,11,2,5,47,2,57,47,27,19,49,3,54,59,28,6,53,3,5,125,13,66,2,6,117,8,108,2,80,9,112,2,73,12,138,4,49,8,129,2,45,23,165,2,25,7,129,1,65,4,74,2,0,6,15,22,80,74,2,3,6,10,26,78,81,5,21,32,29,31,81,2,24,26,33,33,81,1,42,26,26,23,136,2,54,7,136,23,13,27,136,18,24,21,86,0,74,39,160,0,23,16,178,0,12,0,0,0,1,0,8,105,0,6,10,4,8,2,11,5,6,0,8,11,6,1,6,10,92,1,69,37,0,0,92,0,13,31,34,22,6,1,0,92,3,80,22,2,92,3,25,40,22,12,5,2.3793103448275863,1.6156313425792093,1.5263157894736843,0.696692268479466,14.24,6.558393496316401,3.402912621359224,1.9238674443086021
NGA,Nigeria,Federal Capital Territory,2021-01-14,2021-01-03,100,6,233967.2177304535,3,112865.36843755451,25,93,3063137.38634139,56,1,7,92,1,17,82,1,3,96,1,20,79,1,17,82,1,18,81,1,7,92,1,6,93,1,4,95,1,5,94,1,8,91,0,21,79,1,4,95,1,12,87,93,1,2,4,83,2,6,9,97,0,1,2,80,1,10,9,83,0,6,11,82,0,7,11,93,1,3,3,94,1,4,1,96,0,2,2,95,0,4,1,92,1,2,5,79,0,6,15,96,0,3,1,88,0,6,6,7,0,14,79,86,0,7,7,8,2,14,76,86,0,6,8,94,0,6,0,94,3,3,0,98,1,1,0,16,1,13,70,100,1,10,0,35,24,17,14,14,6,45,15,20,14,5,37,20,24,14,4,44,17,21,14,3,41,14,28,14,5,10,6,65,1,87,2,7,4,87,4,1,8,87,3,4,6,87,5,2,6,87,5,1,7,87,4,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,3,43,37,17,1,52,30,17,3,42,38,17,4,44,35,17,3,28,52,17,3,26,54,22,1,36,41,64,0,18,11,3,4,23,1,2,8,30,36,23,1,73,3,25,2,12,61,25,1,44,18,7,2,1,2,25,1,20,21,23,10,26,1,19,35,15,4,27,1,2,64,6,31,2,3,60,4,59,4,36,1,52,3,37,8,60,4,33,3,59,4,23,14,73,4,17,6,77,1,19,3,33,1,0,1,3,14,48,33,1,1,1,4,15,45,37,2,10,11,22,18,37,1,7,9,17,29,37,1,17,14,19,12,69,4,21,6,69,11,6,14,69,6,15,10,37,1,32,30,70,0,22,8,81,2,4,3,0,2,0,0,8,50,1,3,2,3,6,1,1,2,0,0,4,6,10,1,0,10,43,1,41,15,0,0,43,1,3,16,12,15,9,1,0,43,1,37,11,8,43,1,10,20,14,5,7,2.375,1.8750886503865651,1.8461538461538463,1.281025230440697,15.173076923076923,4.68087956309099,3.381818181818182,2.0137573973095306
NGA,Nigeria,Lagos,2021-01-14,2021-01-13,100,6,115194.20480873417,3,93514.67310266929,17,92,2279049.125221864,45,3,17,80,1,14,85,2,2,96,2,16,82,2,17,81,3,21,76,2,9,89,2,3,95,2,5,93,2,4,94,3,9,88,2,29,69,4,4,92,2,14,84,83,0,10,7,86,0,7,7,98,0,2,0,84,0,8,8,83,0,5,12,79,0,7,14,91,2,2,5,97,0,0,3,95,0,3,2,96,0,3,1,91,0,3,6,71,0,11,18,96,0,2,2,86,0,4,10,6,2,10,82,91,0,4,5,7,4,11,78,89,0,6,5,94,1,4,1,94,2,3,1,98,0,2,0,18,2,10,70,100,2,10,3,27,24,23,13,21,1,35,17,26,21,5,36,13,25,21,3,39,13,24,21,2,37,15,25,21,3,6,6,64,2,90,1,4,5,90,2,2,6,90,1,5,4,90,2,0,8,90,2,3,5,90,2,1,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,0,45,33,22,0,45,33,22,1,32,45,22,0,40,38,22,0,22,56,22,1,39,38,25,0,42,33,58,1,25,10,2,4,27,0,2,11,31,29,27,0,72,1,32,0,14,54,32,0,19,28,12,7,0,2,32,1,13,29,14,11,33,2,16,32,13,4,35,1,0,59,5,41,0,1,54,4,57,0,34,9,56,0,36,8,69,0,28,3,62,0,23,15,79,0,15,6,63,0,33,4,43,1,0,1,8,12,35,43,1,1,1,5,18,31,48,2,5,13,19,13,48,1,12,15,11,13,48,1,18,14,12,7,68,1,26,5,68,10,7,15,68,10,12,10,48,0,32,20,80,0,14,6,88,0,8,0,0,1,0,0,3,57,0,2,3,3,6,1,7,1,3,0,4,3,2,1,4,3,54,0,33,13,0,0,54,0,2,16,17,9,1,1,0,54,1,35,10,0,54,2,8,18,13,4,1,2.2857142857142856,1.3844373104863459,1.7777777777777777,1.3017082793177757,13.555555555555554,6.433419688539593,3.5227272727272734,1.836182039458397
