ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
PT,PRT,Portugal,Lisboa,2020-12-21,2020-12-21,235,1,1638.4762048350901,0,0,18,227,1125823.6903263498,154,1,1,233,1,15,219,1,5,229,1,22,212,1,32,202,1,17,217,0,10,225,1,6,228,1,8,226,1,3,231,1,9,225,1,26,208,1,9,225,1,35,199,234,0,0,1,220,0,5,10,230,1,1,3,213,2,2,18,203,1,6,25,218,0,3,14,225,0,2,8,229,1,4,1,227,1,1,6,232,0,2,1,226,0,6,3,209,2,1,23,226,0,4,5,200,3,7,25,6,2,11,216,225,0,4,6,9,3,89,134,146,1,22,66,213,1,20,1,213,4,17,1,231,0,0,3,1,35,3,15,182,235,0,0,0,0,0,12,2,85,83,40,13,197,5,13,14,6,197,2,20,13,3,197,4,18,11,5,197,3,17,11,7,197,4,10,10,14,0,220,3,4,8,220,4,2,9,220,5,4,6,220,6,0,9,220,6,0,9,220,6,2,7,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,17,6,69,143,17,3,152,63,17,3,102,113,17,2,86,130,17,4,12,202,17,4,22,192,18,1,96,120,139,0,72,11,3,10,18,0,0,12,82,123,18,1,216,0,22,0,37,176,22,0,175,30,3,1,1,3,22,0,44,58,63,48,23,2,70,114,20,6,23,1,52,155,4,27,3,48,155,2,166,0,66,3,83,0,151,1,133,1,100,1,149,0,59,27,223,0,10,2,213,0,22,0,29,2,1,4,31,55,113,29,2,0,7,28,58,111,30,0,99,87,16,3,30,0,22,32,69,82,30,0,33,49,62,61,154,8,64,9,154,28,10,43,154,18,27,36,35,2,105,93,142,0,31,62,204,3,6,2,1,3,0,0,16,100,0,1,10,4,16,5,11,14,1,0,4,15,5,10,6,33,73,3,66,91,0,2,73,2,18,22,38,33,27,19,3,77,3,97,45,13,77,3,18,67,52,16,2,2.358974358974359,1.9135494928722543,1.8749999999999998,1.7268882005337975,10.055555555555555,3.93363956778213,2.7019867549668874,1.3306374511827277
PT,PRT,Portugal,Porto,2020-12-21,2020-12-21,218,0,0,0,0,43,210,1066110.3908321487,140,0,0,218,0,13,205,0,3,215,0,16,202,0,14,204,0,12,206,0,7,211,0,3,215,0,6,212,0,0,218,0,11,207,0,22,196,0,7,211,0,33,185,218,0,0,0,206,1,1,10,216,0,0,2,202,0,6,10,204,0,1,13,206,0,4,8,212,0,2,4,215,0,1,2,212,0,4,2,218,0,0,0,207,0,5,6,196,0,7,15,212,0,1,5,186,1,8,23,8,0,22,188,197,0,5,16,9,4,77,128,143,0,16,59,202,1,15,0,202,1,14,1,217,0,0,1,0,31,4,14,169,218,0,0,0,0,0,13,1,81,80,31,12,168,2,15,27,6,168,3,26,14,7,168,5,20,20,5,168,5,13,23,9,168,5,7,22,16,0,204,4,1,9,204,5,0,9,204,4,3,7,204,5,1,8,204,5,1,8,204,5,0,9,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,21,5,56,136,21,2,127,68,21,4,73,120,21,5,72,120,21,4,5,188,21,4,17,176,21,1,78,118,140,0,59,11,2,6,25,0,1,12,64,116,25,0,192,1,26,0,41,151,26,0,169,17,2,0,0,4,26,1,34,51,53,53,26,0,86,87,17,2,28,0,45,141,4,31,8,41,133,5,162,2,53,1,91,3,122,2,145,1,70,2,146,3,52,17,213,0,5,0,201,1,16,0,31,2,2,3,36,45,99,31,1,1,10,39,43,93,33,2,107,65,7,4,33,0,17,36,59,73,33,0,32,55,50,48,132,7,62,17,132,20,19,47,132,16,39,31,36,2,84,96,122,1,39,56,181,1,6,3,5,0,3,0,19,99,2,2,14,5,8,0,8,11,6,0,5,15,7,6,6,24,72,5,60,80,0,1,72,1,13,25,29,38,21,12,7,76,2,103,25,12,76,1,12,44,58,22,5,2.5535714285714284,2.456306487073948,2.1052631578947367,1.448935887014454,9.723214285714286,3.746974326348741,2.8175182481751824,1.37850610797997
PT,PRT,Portugal,Aveiro,2020-12-22,2020-12-21,100,0,0,0,0,18,95,783051.3317542488,59,1,0,99,2,3,95,2,1,97,2,5,93,1,10,89,2,6,92,2,3,95,2,1,97,2,1,97,1,2,97,1,7,92,2,12,86,1,1,98,1,16,83,100,0,0,0,97,0,1,2,99,0,0,1,95,0,0,5,90,2,1,7,94,0,1,5,97,0,1,2,99,0,1,0,99,0,0,1,98,0,2,0,93,0,1,6,88,1,1,10,99,0,1,0,84,1,2,13,3,2,9,86,92,0,4,4,5,3,36,56,64,1,10,25,90,3,6,1,90,3,7,0,97,0,0,3,0,19,2,6,73,100,0,0,0,0,0,7,1,39,34,14,5,35,5,24,29,7,35,3,36,24,2,35,4,33,24,4,35,5,25,30,5,35,4,11,31,19,0,94,3,0,3,94,3,0,3,94,0,3,3,94,2,0,4,94,3,0,3,94,3,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,2,23,64,11,0,63,26,11,1,40,48,11,1,41,47,11,1,1,87,11,1,4,84,11,1,37,51,63,0,31,1,3,2,13,1,1,5,27,53,13,0,87,0,13,0,19,68,13,0,74,9,1,0,0,3,13,0,16,22,23,26,13,3,35,42,7,0,14,0,16,66,4,15,1,17,63,4,77,0,23,0,37,0,63,0,60,0,39,1,59,0,34,7,99,0,1,0,96,0,4,0,15,0,1,0,13,24,47,15,0,0,3,8,25,49,16,0,42,35,5,2,16,0,7,12,36,29,16,0,9,25,31,19,66,3,24,7,66,14,4,16,66,10,14,10,16,1,39,44,56,0,18,26,86,1,1,0,1,1,2,0,8,48,1,0,8,4,7,0,1,3,3,0,0,3,1,0,1,20,38,2,24,36,0,0,38,0,10,9,17,11,10,3,2,41,1,27,21,10,41,1,4,17,25,11,1,2.0714285714285716,1.7197883467659496,2.5,1.0488088481701516,10.090909090909092,3.8083029353449933,2.5344827586206895,1.273419450216129
PT,PRT,Portugal,Braga,2020-12-22,2020-12-21,100,0,0,0,0,15,96,729057.7719644228,59,1,0,99,1,11,88,1,2,97,1,11,88,1,12,87,1,4,95,1,4,95,1,0,99,1,6,93,1,1,98,1,10,89,2,14,84,1,6,93,1,13,86,100,0,0,0,89,2,4,5,98,1,0,1,89,1,4,6,88,0,2,10,96,0,1,3,96,0,1,3,100,0,0,0,94,0,3,3,99,1,0,0,90,1,3,6,86,1,4,9,94,0,3,3,87,0,3,10,4,0,8,88,92,0,1,7,4,2,33,61,67,2,11,20,89,3,8,0,89,1,10,0,99,0,0,1,0,19,0,7,74,100,0,0,0,0,0,4,1,29,35,28,3,17,6,30,36,11,17,4,45,29,5,17,4,43,30,6,17,6,33,31,13,17,6,19,26,32,0,93,2,2,3,93,2,1,4,93,2,3,2,93,2,0,5,93,2,2,3,93,3,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,2,28,63,7,0,59,34,7,0,37,56,7,0,37,56,7,0,5,88,7,1,4,88,7,1,36,56,64,0,24,8,1,3,8,0,0,7,29,56,8,0,92,0,9,1,20,70,9,0,83,3,2,0,1,2,9,0,17,16,26,32,9,1,39,41,7,3,10,0,25,65,0,11,3,19,64,3,72,1,25,2,41,0,57,2,63,0,37,0,63,1,22,14,95,0,4,1,96,0,4,0,13,0,0,3,17,28,39,13,0,0,4,14,26,43,15,2,40,34,8,1,15,0,13,11,23,38,15,0,18,17,26,24,65,5,22,8,65,7,9,19,65,5,13,17,15,2,40,43,57,0,16,27,87,1,2,1,5,0,1,0,3,48,0,0,7,4,2,2,2,4,2,0,3,6,2,2,1,15,35,5,29,31,0,0,35,3,5,17,13,12,7,8,0,38,4,26,11,21,38,2,2,9,32,11,6,2.5277777777777777,2.2358905047444404,1.875,0.83452296039628,10.375,2.950838323004268,2.9491525423728815,1.4193700498455635
PT,PRT,Portugal,Leiria,2020-12-22,2020-12-21,100,0,0,0,0,16,94,516821.051890583,66,0,1,99,0,10,90,0,3,97,0,11,89,0,13,87,0,5,95,1,6,93,0,3,97,0,2,98,0,1,99,0,1,99,0,17,83,0,4,96,0,23,77,99,0,0,1,90,2,1,7,97,1,0,2,89,1,2,8,87,1,1,11,95,1,0,4,94,0,1,5,97,0,1,2,98,0,2,0,99,0,1,0,99,0,1,0,83,1,2,14,96,0,1,3,77,1,6,16,6,0,8,86,92,0,4,4,6,2,31,61,69,0,8,23,92,1,5,2,92,0,8,0,100,0,0,0,0,16,1,2,81,100,0,0,0,0,0,7,1,30,35,21,6,44,4,18,32,2,44,5,30,18,3,44,4,30,18,4,44,6,26,20,4,44,6,13,21,16,0,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,1,28,59,12,2,63,23,12,2,40,46,12,2,34,52,12,2,2,84,12,2,3,83,14,1,32,53,68,0,26,4,1,1,16,1,0,0,22,61,16,1,83,0,18,0,13,69,18,0,68,11,1,0,0,2,18,0,15,19,23,25,18,1,23,45,10,3,18,0,18,62,2,18,3,13,66,0,72,0,24,4,38,0,62,0,60,0,40,0,67,0,23,10,98,0,2,0,97,0,3,0,20,1,1,2,17,16,43,20,0,1,4,12,22,41,21,1,47,23,7,1,21,0,7,18,30,24,21,0,10,26,27,16,65,3,25,7,65,8,7,20,65,8,9,18,22,1,36,41,59,0,12,29,89,0,0,2,1,2,3,0,3,53,0,0,5,2,5,0,2,6,1,0,3,2,2,4,3,12,33,1,23,43,0,0,33,1,8,13,9,19,9,5,3,33,2,30,15,20,33,2,5,15,28,11,6,3.051282051282051,2.293569017798725,2.3333333333333335,1.505545305418162,10.692307692307692,3.226960334666092,2.6307692307692307,1.329582062731918
PT,PRT,Portugal,Lisboa,2020-12-22,2020-12-22,226,0,0,0,0,31,219,1183824.1984604876,158,1,2,223,1,18,207,1,6,219,1,21,204,1,24,201,1,10,215,0,4,222,0,5,221,1,5,220,0,3,223,0,15,211,0,27,199,1,4,221,1,35,190,224,0,0,2,208,1,3,14,220,0,2,4,205,1,3,17,202,1,2,21,216,1,3,6,222,0,1,3,221,0,4,1,221,1,0,4,223,0,0,3,211,1,2,12,199,1,6,20,222,0,3,1,191,3,8,24,7,0,17,202,209,0,5,12,7,2,89,128,137,1,13,75,213,1,11,1,213,4,9,0,222,0,1,3,0,23,1,21,181,226,0,0,0,0,0,10,1,79,72,48,16,11,11,77,97,30,11,14,118,69,14,11,11,117,69,18,11,15,98,79,23,11,13,42,84,76,0,207,6,7,6,207,8,3,8,207,6,8,5,207,10,1,8,207,8,5,6,207,7,2,10,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,14,5,59,148,14,2,150,60,14,4,107,101,14,4,86,122,14,5,5,202,14,4,33,175,17,0,95,114,131,0,66,13,5,11,19,2,0,12,61,132,19,1,206,0,21,0,40,165,21,0,169,28,3,2,0,3,21,1,36,56,59,53,22,0,68,105,22,9,23,2,36,161,4,26,3,37,155,5,169,1,50,6,78,1,146,1,121,0,103,2,141,1,64,20,221,0,3,2,194,1,30,1,28,1,1,3,41,43,109,28,0,0,7,34,55,102,31,1,91,87,10,6,31,1,22,27,64,81,31,0,37,50,63,45,141,9,58,18,141,25,20,40,141,18,34,33,35,2,97,92,134,1,37,54,194,0,7,2,6,0,1,0,16,98,1,1,12,5,11,3,7,13,3,0,3,15,10,6,3,35,65,4,77,79,0,1,65,2,13,34,35,36,23,13,5,67,3,112,31,13,67,1,20,58,58,15,7,2.8941176470588235,2.6050478901171705,1.8666666666666667,0.990430401872025,10.939655172413794,3.0311105529834763,2.4285714285714284,1.2775443297484654
PT,PRT,Portugal,Porto,2020-12-22,2020-12-22,183,0,0,0,0,39,176,1107957.4746757587,123,1,1,181,1,18,164,1,3,179,1,24,158,1,22,160,0,14,169,0,10,173,1,4,178,1,3,179,1,4,178,1,11,171,1,17,165,1,5,177,1,28,154,182,0,0,1,165,2,1,15,180,1,0,2,159,0,6,18,161,0,5,17,169,1,4,9,173,1,1,8,179,1,0,3,180,0,1,2,179,0,2,2,172,0,3,8,166,1,5,11,178,1,2,2,155,1,6,21,6,1,22,154,161,0,6,16,6,5,73,99,111,1,17,54,166,2,15,0,166,1,15,1,182,0,0,1,0,31,2,8,142,183,0,0,0,0,0,8,0,75,66,21,13,10,4,66,79,24,10,11,102,47,13,10,10,104,47,12,10,10,89,56,18,10,11,35,70,57,0,175,1,1,6,175,1,1,6,175,1,3,4,175,0,2,6,175,1,0,7,175,0,2,6,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,183,0,0,0,13,2,60,108,13,3,127,40,13,4,76,90,13,3,75,92,13,4,10,156,13,4,29,137,13,2,65,103,118,0,48,5,5,7,14,1,1,9,48,110,14,0,169,0,16,0,31,136,16,0,149,16,1,0,0,1,16,1,36,36,44,50,17,2,63,80,18,3,20,0,38,124,1,25,1,34,120,3,123,0,59,1,56,0,125,2,107,1,74,1,108,0,63,12,173,1,8,1,154,1,27,1,28,1,1,9,29,33,82,28,0,0,5,27,42,81,30,1,85,55,3,9,30,0,21,35,39,58,30,1,31,48,45,28,105,6,61,11,105,20,18,40,105,17,29,32,34,1,78,70,113,0,26,44,160,2,7,1,2,1,1,1,8,83,2,1,13,2,6,0,9,13,3,0,2,11,2,7,3,26,56,2,58,67,0,0,56,0,14,31,31,28,13,8,2,57,3,90,18,15,57,2,6,47,54,15,2,2.361111111111111,2.0713032949312646,2.1333333333333333,1.1872336794093274,9.568627450980392,4.099045539522654,2.6885245901639343,1.273259416109946
PT,PRT,Portugal,Set<c3><ba>bal,2020-12-22,2020-12-21,100,0,0,0,0,13,98,907283.2908852493,61,0,0,100,0,7,93,0,3,97,0,8,92,0,15,85,0,11,89,0,5,95,0,2,98,0,1,99,0,4,96,0,1,99,0,8,92,0,2,98,0,11,89,100,0,0,0,93,1,0,6,97,0,1,2,92,1,3,4,85,1,6,8,89,1,4,6,95,1,2,2,98,0,0,2,99,0,1,0,96,1,2,1,99,0,1,0,92,0,1,7,98,1,0,1,89,1,5,5,2,0,6,92,94,0,4,2,4,2,31,63,69,0,4,27,96,1,2,1,96,2,2,0,98,0,0,2,0,10,0,2,88,100,0,0,0,0,0,4,0,30,36,23,7,19,4,28,40,9,19,8,44,26,3,19,10,40,25,6,19,7,36,32,6,19,8,12,33,28,0,98,0,1,1,98,0,0,2,98,0,1,1,98,0,0,2,98,0,1,1,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,1,27,65,7,4,66,23,7,3,37,53,7,2,34,57,7,3,1,89,7,3,8,82,7,0,30,63,70,0,19,5,1,5,9,0,1,5,28,57,9,0,91,0,13,0,18,69,13,0,72,11,1,1,0,2,13,0,17,26,24,20,13,0,25,45,16,1,13,0,21,64,2,15,1,15,66,3,73,1,25,1,34,1,65,0,63,1,36,0,66,0,27,7,99,0,1,0,92,0,8,0,15,0,1,2,21,24,37,15,0,0,3,13,25,44,17,1,47,22,9,4,17,0,15,13,22,33,17,0,13,38,17,15,49,2,40,9,49,14,6,31,49,10,25,16,20,1,35,44,56,0,17,27,86,1,2,0,0,5,1,0,5,51,1,1,1,2,4,1,6,5,1,0,1,5,3,7,1,10,38,1,18,43,0,0,38,0,8,3,16,17,9,8,1,38,2,38,17,5,38,2,3,16,29,11,1,2.909090909090909,1.8768929838238708,2,1.4142135623730951,10.55813953488372,3.231558120292493,2.6440677966101696,1.200038962936517
PT,PRT,Portugal,Aveiro,2020-12-23,2020-12-22,100,0,0,0,0,15,96,719151.1868056243,63,2,0,98,1,7,92,2,1,97,1,6,93,2,11,87,2,3,95,2,2,96,1,1,98,1,0,99,1,2,97,2,6,92,2,14,84,2,3,95,2,11,87,100,0,0,0,93,0,2,5,99,0,0,1,94,0,1,5,89,2,1,8,97,0,0,3,98,0,0,2,99,0,1,0,100,0,0,0,98,0,2,0,94,0,1,5,86,1,1,12,97,0,1,2,89,1,1,9,2,2,8,88,92,0,3,5,3,3,42,52,58,1,13,28,87,2,10,1,87,1,11,1,99,0,0,1,0,20,2,7,71,100,0,0,0,0,0,3,1,42,34,11,9,6,7,36,39,12,6,9,52,26,7,6,6,55,23,10,6,7,39,35,13,6,8,19,30,37,0,93,1,1,5,93,1,0,6,93,0,1,6,93,0,0,7,93,1,1,5,93,1,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,3,24,65,8,1,70,21,8,2,43,47,8,3,39,50,8,2,1,89,8,2,4,86,8,2,37,53,63,0,28,3,1,5,8,0,1,0,25,66,8,1,91,0,9,2,20,69,9,0,80,7,2,0,0,2,9,0,22,17,18,34,10,2,39,43,5,1,11,0,15,71,3,12,1,15,68,4,76,1,23,0,30,1,69,0,57,1,41,1,61,1,35,3,99,0,1,0,96,0,4,0,12,2,1,2,11,26,46,12,1,0,4,6,24,53,12,0,50,26,8,4,12,0,8,14,32,34,12,0,12,23,32,21,65,6,25,4,65,15,7,13,65,10,16,9,13,1,41,45,55,0,15,30,88,3,1,0,0,1,2,0,5,48,0,0,7,2,8,1,1,2,3,1,4,5,4,0,0,14,36,0,25,39,0,0,36,0,10,13,14,10,9,7,1,37,0,36,17,10,37,0,5,19,32,5,2,3.03125,2.7648061823220904,2.1666666666666665,1.6020819787597222,10.638297872340425,2.966666493432695,2.5483870967741935,1.140569592458353
PT,PRT,Portugal,Braga,2020-12-23,2020-12-22,100,0,0,0,0,16,96,768200.6137550593,56,0,0,100,0,9,91,0,4,96,0,15,85,0,11,89,0,5,95,0,3,97,0,0,100,0,6,94,0,1,99,0,5,95,0,13,87,0,5,95,0,17,83,100,0,0,0,91,0,4,5,96,1,1,2,85,1,5,9,89,0,3,8,95,0,1,4,97,0,3,0,100,0,0,0,94,0,1,5,99,0,1,0,95,0,2,3,87,1,2,10,95,0,2,3,83,0,5,12,4,0,8,88,92,0,2,6,4,3,38,55,62,2,13,23,87,2,11,0,87,2,11,0,98,0,0,2,0,22,0,6,72,100,0,0,0,0,0,4,0,30,38,25,3,5,5,38,35,17,5,3,51,30,11,5,3,52,31,9,5,3,39,36,17,5,3,16,30,46,0,94,0,0,6,94,0,1,5,94,1,2,3,94,0,0,6,94,0,1,5,94,0,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,6,1,25,68,6,0,59,35,6,0,44,50,6,0,43,51,6,0,3,91,6,1,5,88,9,1,35,55,65,0,23,6,3,3,10,1,0,4,23,62,10,1,89,0,11,0,20,69,11,0,80,4,2,1,0,2,11,0,13,13,26,37,11,0,39,38,9,3,11,0,24,65,0,12,2,23,61,2,76,0,24,0,41,0,59,0,56,0,44,0,58,0,30,12,97,0,3,0,95,0,5,0,14,0,1,5,16,21,43,14,0,2,6,15,22,41,16,1,44,27,8,4,16,0,11,14,26,33,16,1,20,19,23,21,61,5,30,4,61,12,10,17,61,8,15,16,16,2,42,40,60,0,20,20,85,1,1,0,7,1,1,0,4,44,0,0,9,3,5,3,2,5,4,0,2,3,3,2,1,14,40,3,27,30,0,0,40,1,7,14,16,9,6,7,0,42,2,31,9,16,42,1,2,13,29,9,4,2.2162162162162162,1.8429314681768272,2.142857142857143,1.4638501094227998,10.818181818181818,2.713212523694283,3.017543859649123,1.3159899596633848
