ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AO,AGO,Angola,Luanda,2020-12-25,2020-12-22,100,0,0,0,0,25,89,12888687.598090589,45,9,0,91,7,9,84,7,3,90,7,19,74,7,10,83,8,13,79,6,13,81,7,4,89,6,3,91,7,8,85,6,9,85,5,18,77,8,5,87,8,15,77,100,0,0,0,91,0,6,3,97,0,2,1,81,0,6,13,90,0,7,3,87,0,4,9,87,1,8,4,96,0,2,2,97,1,1,1,92,0,4,4,91,0,4,5,82,0,5,13,95,0,2,3,85,0,9,6,11,0,7,82,94,5,1,12,1,41,46,59,1,13,27,87,0,13,0,87,7,6,0,93,4,3,0,27,0,25,48,100,0,15,0,31,27,17,10,23,6,42,15,14,23,9,43,12,13,23,10,47,12,8,23,11,37,16,13,23,13,19,12,33,0,75,9,11,5,75,13,3,9,75,5,17,3,75,13,1,11,75,12,8,5,75,14,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,6,34,33,27,8,47,18,27,12,28,33,27,8,39,26,27,10,12,51,27,8,23,42,31,0,36,33,64,1,24,5,5,1,31,1,2,8,27,31,31,3,63,3,33,0,13,54,33,2,48,14,0,0,0,3,33,2,10,16,25,14,34,0,25,28,9,4,100,100,67,1,32,0,54,1,44,1,73,0,25,2,61,0,34,5,89,1,7,3,78,0,21,1,35,1,2,3,8,17,34,35,3,2,5,12,9,34,36,2,35,15,7,5,36,2,26,17,9,10,36,0,34,12,11,7,54,6,29,11,54,11,17,18,54,4,35,7,38,0,36,26,74,0,12,14,89,1,2,0,1,1,2,0,4,54,0,1,4,6,8,1,0,3,0,0,1,6,7,1,0,8,52,1,38,7,2,52,1,9,11,18,5,4,0,0,54,2,30,8,6,54,1,8,10,15,11,1,3.65625,3.9481263420644517,4.6,5.856620185738529,9.243243243243244,5.356229008284577,3.155555555555555,2.1208441239232547
AO,AGO,Angola,Luanda,2020-12-26,2020-12-22,100,0,0,0,0,32,90,11941711.78636646,44,8,0,92,7,7,86,7,3,90,6,17,77,6,10,84,7,13,80,7,8,85,8,5,87,7,2,91,7,8,85,7,6,87,5,12,83,7,5,88,8,15,77,100,0,0,0,93,0,5,2,97,0,2,1,83,0,6,11,90,0,6,4,87,0,3,10,92,0,5,3,95,0,1,4,98,0,1,1,92,0,4,4,94,0,3,3,88,0,3,9,95,0,2,3,85,0,7,8,10,0,8,82,93,5,2,11,1,40,48,60,1,10,29,90,0,10,0,90,5,5,0,95,3,2,0,23,0,27,50,100,0,14,0,29,31,16,10,23,6,43,16,12,23,10,42,13,12,23,11,44,14,8,23,13,34,14,16,23,15,18,12,32,0,73,7,13,7,73,12,4,11,73,6,17,4,73,12,1,14,73,11,9,7,73,13,4,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,5,31,37,27,8,44,21,27,12,26,35,27,9,40,24,27,10,15,48,27,10,18,45,31,0,36,33,64,2,25,4,4,1,32,1,2,8,25,32,32,2,65,1,33,0,11,56,33,2,47,15,0,0,0,3,33,3,10,13,30,11,35,0,25,27,9,4,100,100,70,1,29,0,57,1,41,1,75,0,23,2,60,0,33,7,86,1,10,3,83,0,16,1,36,2,2,3,8,13,36,36,3,2,5,11,8,35,37,2,33,18,6,4,37,2,22,16,12,11,37,0,31,10,13,9,59,2,26,13,59,9,16,16,59,3,32,6,38,0,35,27,73,0,15,12,86,1,3,0,1,3,1,0,5,51,0,1,3,6,10,0,0,2,0,1,1,6,7,1,1,10,52,0,44,2,2,52,1,7,12,15,6,6,1,0,55,1,27,11,6,55,1,7,9,11,13,4,3.111111111111111,2.873396989002783,5,6.0332412515993425,9.58974358974359,5.393553406945763,3.386363636363636,2.264138103797014
AO,AGO,Angola,Luanda,2020-12-27,2020-12-23,100,0,0,0,0,38,90,12652390.130029997,51,7,1,92,6,9,85,4,4,92,6,15,79,5,15,80,7,10,83,6,7,87,7,5,88,6,2,92,7,8,85,6,6,88,6,14,80,6,5,89,6,17,77,99,0,1,0,91,2,4,3,96,1,2,1,85,0,5,10,85,1,7,7,90,0,4,6,93,1,5,1,95,0,1,4,98,0,1,1,92,1,4,3,94,0,2,4,86,0,5,9,95,0,2,3,83,0,8,9,10,0,12,78,88,9,3,10,0,34,56,66,1,6,27,94,0,5,1,94,2,4,0,98,1,1,0,17,0,26,57,100,0,11,0,33,30,15,11,18,3,46,21,12,18,8,43,21,10,18,10,46,19,7,18,9,36,23,14,18,11,19,17,35,0,74,6,12,8,74,12,5,9,74,7,14,5,74,12,1,13,74,11,7,8,74,13,3,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,6,24,49,21,4,53,22,21,9,28,42,21,6,50,23,21,7,19,53,21,6,28,45,24,0,43,33,57,1,26,9,5,2,25,0,3,8,29,35,25,2,73,0,26,1,8,65,26,1,54,16,0,0,0,3,26,2,7,13,37,15,28,1,27,26,13,5,100,100,77,0,23,0,48,1,49,2,73,0,25,2,50,0,42,8,82,1,14,3,73,0,26,1,30,2,2,1,7,19,39,30,3,1,4,7,15,40,31,1,38,18,7,5,31,2,22,18,13,14,31,0,33,14,13,9,53,3,32,12,53,11,19,17,53,6,33,8,32,0,34,34,66,0,21,13,80,1,5,0,1,3,1,0,9,46,0,0,5,4,10,1,0,2,1,1,1,6,7,0,3,13,45,0,52,1,2,45,1,9,13,13,9,7,3,0,48,2,29,11,10,48,1,8,10,15,15,3,2.838709677419355,2.8177624006002633,3.888888888888889,5.060742150229659,9.11111111111111,5.275251920835897,3.823529411764706,2.5036444024896283
AO,AGO,Angola,Luanda,2020-12-28,2020-12-24,100,0,0,0,0,38,90,12623145.930395275,50,7,1,92,6,9,85,4,4,92,6,16,78,5,15,80,7,10,83,6,7,87,7,5,88,6,2,92,7,8,85,6,6,88,6,14,80,6,5,89,6,17,77,99,0,1,0,91,2,4,3,96,1,2,1,84,0,5,11,85,1,7,7,90,0,4,6,93,1,5,1,95,0,1,4,98,0,1,1,92,1,4,3,94,0,2,4,86,0,5,9,95,0,2,3,83,0,8,9,10,0,12,78,88,9,3,10,0,35,55,65,1,7,27,93,0,6,1,93,2,5,0,98,1,1,0,18,0,26,56,100,0,11,0,33,30,15,11,18,3,46,21,12,18,8,43,21,10,18,10,46,19,7,18,9,36,23,14,18,11,20,16,35,0,74,6,12,8,74,12,5,9,74,7,14,5,74,12,1,13,74,11,7,8,74,13,3,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,6,26,47,21,5,53,21,21,9,29,41,21,6,50,23,21,7,19,53,21,6,28,45,24,0,42,34,58,1,24,9,5,3,25,0,3,7,28,37,25,2,73,0,26,2,8,64,26,1,54,16,0,0,0,3,26,2,8,13,35,16,29,1,27,26,12,5,100,100,75,0,25,0,48,1,49,2,72,0,26,2,50,0,42,8,82,1,14,3,73,0,26,1,30,2,2,1,7,19,39,30,3,1,4,7,15,40,31,1,38,18,7,5,31,2,22,18,13,14,31,0,32,15,13,9,53,3,32,12,53,11,20,16,53,6,32,9,32,0,35,33,67,0,20,13,81,0,5,0,1,3,1,0,9,46,0,0,5,5,10,1,0,2,1,1,1,6,7,0,3,12,46,0,51,1,2,46,1,9,13,13,9,6,3,0,49,2,28,11,10,49,1,8,10,15,14,3,2.838709677419355,2.8177624006002633,3.888888888888889,5.060742150229659,9.045454545454545,5.317608071542787,3.8,2.523360247522242
AO,AGO,Angola,Luanda,2020-12-30,2020-12-25,100,1,78653.9331627645,1,78653.9331627645,42,89,10906543.742460014,56,6,2,92,5,9,86,3,1,96,4,13,83,5,14,81,5,11,84,5,4,91,6,3,91,5,3,92,6,4,90,6,6,88,6,11,83,5,7,88,4,15,81,98,0,2,0,91,2,3,4,99,1,0,0,87,1,4,8,86,1,4,9,89,0,5,6,96,1,2,1,97,0,1,2,97,1,1,1,96,1,3,0,94,0,2,4,89,0,3,8,93,0,2,5,85,1,7,7,11,0,14,75,86,11,3,11,0,40,49,60,1,11,28,89,0,10,1,89,3,7,1,97,1,2,0,23,2,19,56,100,0,12,0,38,26,13,11,18,6,40,26,10,18,12,35,25,10,18,12,41,20,9,18,13,34,20,15,18,16,17,17,32,0,81,6,8,5,81,9,3,7,81,4,10,5,81,9,0,10,81,6,7,6,81,9,2,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,6,26,48,20,6,48,26,20,9,24,47,20,6,48,26,20,6,18,56,20,7,24,49,23,0,46,31,54,1,24,13,4,4,25,0,3,10,21,41,25,1,73,1,25,3,10,62,25,1,54,16,1,0,0,3,25,2,8,12,35,18,28,1,30,23,13,5,100,100,75,0,24,1,53,1,44,2,77,0,23,0,52,0,39,9,83,1,14,2,77,0,23,0,29,2,2,1,7,15,44,29,3,1,4,5,14,44,31,1,35,19,7,7,31,2,20,15,16,16,31,0,31,16,11,11,53,3,35,9,53,10,19,18,53,6,25,16,31,0,36,33,67,0,21,12,79,1,5,1,0,2,1,0,11,43,1,1,5,3,9,1,0,1,1,2,4,4,5,0,6,14,41,1,53,3,2,41,1,5,17,15,12,6,3,0,43,2,35,12,8,43,1,5,12,21,14,4,2.411764705882353,2.046692039999024,3.8,4.779586221049312,10.215686274509803,5.375178975588426,3.7000000000000006,2.566922458721905
AO,AGO,Angola,Luanda,2020-12-31,2020-12-26,100,2,192078.72037931852,1,78653.9331627645,33,87,11475783.051858455,55,6,3,91,5,10,85,4,1,95,4,16,80,6,14,80,6,9,85,5,6,89,6,1,93,5,3,92,6,4,90,6,8,86,5,13,82,6,5,89,4,13,83,97,0,3,0,90,2,3,5,99,1,0,0,84,1,7,8,86,1,5,8,91,0,5,4,94,1,3,2,99,0,1,0,97,1,0,2,96,1,3,0,92,0,2,6,87,0,6,7,95,0,2,3,87,1,7,5,13,0,14,73,87,9,4,14,0,39,47,61,0,12,27,88,0,11,1,88,5,6,1,95,1,4,0,26,2,18,54,100,0,16,0,39,24,12,9,19,7,37,24,13,19,11,38,21,11,19,8,45,18,10,19,10,37,21,13,19,13,18,19,31,0,82,8,7,3,82,11,2,5,82,6,9,3,82,12,2,4,82,8,6,4,82,12,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,6,27,46,21,6,50,23,21,7,26,46,21,6,41,32,21,6,12,61,21,6,28,45,23,0,41,36,59,0,20,12,4,5,24,0,2,9,28,37,24,1,74,1,24,3,13,60,24,0,59,13,1,0,0,3,24,0,13,15,29,19,26,1,28,28,14,3,100,100,74,0,23,3,51,1,47,1,75,0,24,1,60,1,31,8,88,0,11,1,73,1,26,0,28,3,1,1,5,17,45,28,2,1,4,3,17,45,31,0,36,15,10,8,31,0,16,15,20,18,31,0,25,19,12,13,56,6,35,3,56,10,18,16,56,8,23,13,32,0,34,34,66,0,21,13,80,1,4,1,0,2,1,0,11,46,1,1,5,3,6,2,0,2,1,2,4,5,6,0,6,10,45,1,51,3,0,45,0,4,16,17,10,6,2,0,45,1,35,11,8,45,0,5,12,25,11,2,2.1714285714285713,1.9626769577126377,2.9,2.6853512081497106,10.25,5.042373638961478,3.9127272727272726,2.7856148031717938
AO,AGO,Angola,Luanda,2021-01-01,2020-12-27,100,2,192078.72037931852,1,78653.9331627645,29,88,11969100.07701985,52,5,2,93,5,8,87,6,2,92,4,15,81,6,11,83,5,8,87,5,6,89,6,1,93,5,3,92,5,4,91,6,7,87,3,12,85,6,5,89,5,10,85,98,0,2,0,92,1,3,4,98,1,0,1,85,1,7,7,89,1,4,6,92,0,4,4,94,1,3,2,99,0,1,0,97,1,0,2,96,1,3,0,93,0,2,5,88,0,6,6,95,0,2,3,90,1,6,3,12,0,15,73,86,9,5,13,1,42,44,58,0,15,27,85,0,14,1,85,7,7,1,93,3,4,0,29,2,16,53,100,0,15,0,39,24,14,8,19,10,36,21,14,19,11,39,20,11,19,9,45,17,10,19,12,34,21,14,19,15,20,15,31,0,84,10,3,3,84,9,2,5,84,3,9,4,84,11,2,3,84,7,5,4,84,11,1,4,85,2,1,12,85,2,1,12,85,2,3,10,85,4,2,9,85,3,4,8,85,2,8,5,85,3,2,10,92,3,2,3,92,1,4,3,92,3,1,4,92,3,0,5,92,2,2,4,23,6,28,43,23,7,47,23,23,7,27,43,23,6,39,32,23,7,12,58,23,6,24,47,24,0,45,31,55,0,23,11,6,5,26,0,2,12,26,34,26,1,70,3,26,3,11,60,26,0,59,11,1,1,0,2,26,1,9,14,29,21,27,1,26,27,16,3,100,100,73,0,23,4,54,1,45,0,74,0,24,2,62,1,28,9,88,0,10,2,77,1,22,0,28,2,1,1,4,19,45,28,2,1,3,2,15,49,33,1,33,17,10,6,33,1,10,18,18,20,33,0,23,21,12,11,56,7,31,6,56,10,17,17,56,9,21,14,35,0,36,29,71,0,18,11,83,1,3,1,1,2,1,0,8,47,1,1,6,2,7,1,1,4,1,2,4,6,5,0,5,7,46,2,49,3,0,46,0,5,14,14,12,7,2,0,48,1,36,9,6,48,0,7,10,22,9,4,2.0303030303030303,1.8789100644530674,2.272727272727273,1.1037127426019047,11,4.846480381990961,3.965384615384616,2.787850715851966
AO,AGO,Angola,Luanda,2021-01-02,2020-12-27,100,2,192078.72037931852,1,78653.9331627645,29,88,11969100.07701985,52,5,2,93,5,8,87,6,2,92,4,15,81,6,11,83,5,8,87,5,6,89,6,1,93,5,3,92,5,4,91,6,7,87,3,12,85,6,5,89,5,10,85,98,0,2,0,92,1,3,4,98,1,0,1,85,1,7,7,89,1,4,6,92,0,4,4,94,1,3,2,99,0,1,0,97,1,0,2,96,1,3,0,93,0,2,5,88,0,6,6,95,0,2,3,90,1,6,3,12,0,15,73,86,9,5,13,1,42,44,58,0,15,27,85,0,14,1,85,7,7,1,93,3,4,0,29,2,16,53,100,0,15,0,39,24,14,8,19,10,36,21,14,19,11,39,20,11,19,9,45,17,10,19,12,34,21,14,19,15,20,15,31,0,84,10,3,3,84,9,2,5,84,3,9,4,84,11,2,3,84,7,5,4,84,11,1,4,85,2,1,12,85,2,1,12,85,2,3,10,85,4,2,9,85,3,4,8,85,2,8,5,85,3,2,10,92,3,2,3,92,1,4,3,92,3,1,4,92,3,0,5,92,2,2,4,23,6,28,43,23,7,47,23,23,7,27,43,23,6,39,32,23,7,12,58,23,6,24,47,24,0,45,31,55,0,23,11,6,5,26,0,2,12,26,34,26,1,70,3,26,3,11,60,26,0,59,11,1,1,0,2,26,1,9,14,29,21,27,1,26,27,16,3,100,100,73,0,23,4,54,1,45,0,74,0,24,2,62,1,28,9,88,0,10,2,77,1,22,0,28,2,1,1,4,19,45,28,2,1,3,2,15,49,33,1,33,17,10,6,33,1,10,18,18,20,33,0,23,21,12,11,56,7,31,6,56,10,17,17,56,9,21,14,35,0,36,29,71,0,18,11,83,1,3,1,1,2,1,0,8,47,1,1,6,2,7,1,1,4,1,2,4,6,5,0,5,7,46,2,49,3,0,46,0,5,14,14,12,7,2,0,48,1,36,9,6,48,0,7,10,22,9,4,2.0303030303030303,1.8789100644530674,2.272727272727273,1.1037127426019047,11,4.846480381990961,3.965384615384616,2.787850715851966
AO,AGO,Angola,Luanda,2021-01-03,2020-12-30,100,2,192078.72037931852,1,78653.9331627645,20,88,10769484.322552087,53,5,2,93,5,7,88,6,1,93,4,14,82,6,10,84,5,7,88,5,5,90,6,1,93,5,2,93,5,3,92,6,9,85,3,13,84,6,3,91,5,7,88,98,0,2,0,93,0,2,5,99,0,0,1,86,1,7,6,90,0,4,6,93,0,5,2,95,0,3,2,99,0,1,0,98,1,0,1,97,0,3,0,91,0,3,6,87,0,6,7,97,0,1,2,93,1,4,2,12,0,10,78,91,5,4,13,1,40,46,60,0,18,22,82,0,18,0,82,9,8,1,91,4,5,0,32,1,15,52,100,0,14,0,39,29,13,5,17,11,39,21,12,17,12,43,19,9,17,8,50,15,10,17,12,35,21,15,17,14,19,14,36,0,85,9,3,3,85,8,3,4,85,4,8,3,85,11,2,2,85,8,4,3,85,11,1,3,85,2,1,12,85,2,1,12,85,2,3,10,85,4,2,9,85,3,4,8,85,2,8,5,85,3,2,10,92,3,2,3,92,1,4,3,92,3,1,4,92,3,0,5,92,2,2,4,21,5,34,40,21,9,43,27,21,9,29,41,21,6,39,34,21,8,15,56,21,6,25,48,22,0,40,38,60,0,23,10,4,3,24,0,2,12,27,35,24,1,73,2,24,0,14,62,24,0,61,10,2,1,0,2,24,1,11,20,25,19,26,0,24,38,10,2,100,100,67,0,30,3,58,1,41,0,72,0,25,3,62,2,28,8,85,0,12,3,76,1,23,0,27,1,1,2,5,16,48,27,1,1,3,4,17,47,31,1,42,12,8,6,31,1,15,16,17,20,31,0,26,18,14,11,56,6,31,7,56,12,16,16,56,9,23,12,33,0,40,27,73,0,16,11,85,1,1,1,1,3,0,0,8,45,1,0,6,0,6,3,1,5,0,2,3,6,6,0,5,11,45,4,47,4,0,45,2,4,15,19,9,6,0,0,47,0,36,13,4,47,0,8,11,20,10,4,2.3666666666666667,2.592872635851427,2.4285714285714284,1.2724180205607036,11.613636363636363,5.7998232093782205,3.580769230769231,2.4062857605420915
AO,AGO,Angola,Luanda,2021-01-04,2020-12-30,100,2,192078.72037931852,1,78653.9331627645,19,89,10803757.106728438,50,4,2,94,5,7,88,5,2,93,4,13,83,5,8,87,4,7,89,5,5,90,5,2,93,5,1,94,4,3,93,6,9,85,2,14,84,5,4,91,5,7,88,98,0,2,0,93,0,2,5,98,0,0,2,87,0,7,6,92,0,3,5,93,0,5,2,95,0,3,2,98,0,1,1,99,0,0,1,97,0,2,1,91,0,3,6,86,0,6,8,96,0,2,2,93,0,5,2,11,0,9,80,92,5,3,12,1,40,47,60,0,18,22,82,0,18,0,82,9,8,1,91,4,5,0,31,1,15,53,100,0,13,0,38,32,13,4,16,11,40,21,12,16,14,42,18,10,16,7,51,16,10,16,11,36,21,16,16,13,21,13,37,0,85,9,3,3,85,8,3,4,85,4,8,3,85,11,2,2,85,9,3,3,85,11,1,3,85,2,1,12,85,2,1,12,85,2,3,10,85,4,2,9,85,3,4,8,85,2,8,5,85,3,2,10,92,3,2,3,92,1,4,3,92,3,1,4,92,3,0,5,92,2,2,4,20,4,36,40,20,8,45,27,20,9,31,40,20,6,38,36,20,8,16,56,20,5,26,49,21,0,38,41,62,0,23,9,3,3,23,0,2,10,30,35,23,1,74,2,23,0,16,61,23,0,62,9,2,1,0,3,23,1,12,20,24,20,26,0,23,40,9,2,100,100,65,0,32,3,56,1,43,0,70,0,26,4,63,2,26,9,84,0,12,4,75,1,24,0,27,1,2,2,4,17,47,27,1,2,2,4,17,47,31,1,42,11,9,6,31,1,14,17,17,20,31,0,26,18,13,12,56,5,32,7,56,11,17,16,56,9,23,12,33,0,42,25,75,0,14,11,87,1,1,1,1,3,0,0,6,45,1,0,6,0,6,3,1,6,0,1,3,6,7,0,4,11,48,4,45,3,0,48,2,4,13,19,9,5,0,0,50,0,34,12,4,50,0,8,10,18,10,4,2.413793103448276,2.6392266369865456,2.4285714285714284,1.2724180205607036,11.595238095238095,5.938955824334056,3.6571428571428566,2.448128536930472
