ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AL,ALB,Albania,Tiran<c3><ab>,2020-12-23,2020-12-21,100,4,129403.6959492296,4,129403.6959492296,142,92,2327181.0545828072,71,3,5,92,2,11,87,2,4,94,2,20,78,3,17,80,1,23,76,3,19,78,2,6,92,3,7,90,3,3,94,3,10,87,2,22,76,3,5,92,1,24,75,96,0,4,0,90,0,6,4,97,0,2,1,81,0,8,11,84,0,5,11,77,0,12,11,82,0,10,8,95,0,2,3,94,0,4,2,98,0,2,0,91,0,1,8,79,0,5,16,96,0,1,3,77,0,10,13,7,1,45,47,55,0,14,31,7,0,39,54,61,1,13,25,87,4,8,1,87,0,9,4,0,91,5,4,0,21,1,5,73,100,8,1,25,31,22,13,34,1,23,26,16,34,4,20,27,15,34,1,29,16,20,34,5,21,21,19,34,3,3,12,48,95,2,2,1,95,2,2,1,95,2,3,0,95,3,1,1,95,2,1,2,95,2,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,1,44,43,12,2,73,13,12,3,61,24,12,2,52,34,12,2,10,76,12,2,19,67,16,1,39,44,61,0,27,7,5,0,16,1,1,2,26,54,16,1,83,0,16,1,18,65,16,1,52,22,5,2,0,2,16,1,30,16,21,16,17,0,19,40,22,2,17,1,10,67,5,23,4,4,68,1,58,1,35,6,29,1,64,6,41,1,49,9,50,2,27,21,91,1,7,1,81,1,18,0,23,2,1,1,17,21,35,23,1,0,2,18,21,35,24,2,37,25,8,4,24,0,7,14,20,35,24,0,16,31,18,11,53,8,30,9,53,9,24,14,53,11,19,17,24,1,42,33,67,0,17,16,86,0,7,1,1,0,1,0,4,44,0,2,4,3,3,1,4,5,1,0,1,6,3,3,1,19,28,1,34,36,1,28,0,12,27,13,14,5,1,0,29,2,64,3,2,29,1,10,37,20,0,3,4.555555555555555,5.42414819559705,3.4615384615384617,2.9986501686605753,15.89855072463768,3.877328247556678,2.701492537313433,1.2062328707922978
AL,ALB,Albania,Tiran<c3><ab>,2020-12-24,2020-12-21,100,3,104864.93840048241,3,104864.93840048241,152,93,2561131.788650306,66,2,4,94,2,11,87,1,3,96,1,21,78,2,14,84,0,20,80,2,15,83,2,5,93,2,6,92,2,3,95,2,6,92,1,18,81,2,4,94,0,24,76,96,0,4,0,89,0,7,4,97,0,2,1,79,0,11,10,86,1,3,10,80,0,11,9,85,0,9,6,95,0,2,3,94,0,3,3,97,0,2,1,94,0,1,5,82,0,4,14,96,0,2,2,76,1,11,12,7,0,46,47,54,0,13,33,7,0,38,55,63,1,12,24,88,4,7,1,88,0,9,3,0,91,4,5,0,21,0,7,72,100,10,1,26,33,19,11,14,1,34,32,19,14,4,31,30,21,14,1,37,26,22,14,5,25,28,28,14,3,5,14,64,93,2,2,3,93,1,4,2,93,2,4,1,93,2,1,4,93,1,1,5,93,1,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,0,38,45,17,0,71,12,17,0,57,26,17,0,49,34,17,0,10,73,17,0,17,66,23,0,38,39,62,0,26,7,4,1,23,0,1,1,24,51,23,0,77,0,23,0,20,57,23,0,40,27,5,3,0,2,23,0,28,16,20,13,23,0,20,40,13,4,23,0,10,63,4,28,2,4,64,2,64,0,30,6,32,0,61,7,45,0,43,12,53,1,22,24,91,0,8,1,83,0,17,0,28,1,1,1,19,18,32,28,0,0,3,20,18,31,29,2,37,21,7,4,29,0,4,11,19,37,29,0,11,26,20,14,63,7,23,7,63,7,20,10,63,7,16,14,29,1,41,29,71,0,14,15,88,0,4,1,1,0,1,0,5,47,0,2,7,3,2,0,4,5,0,0,1,5,3,2,1,18,32,1,28,39,0,32,0,13,29,10,10,5,1,0,34,2,61,2,1,34,0,10,36,17,1,2,5.607843137254902,7.774518458071983,3.560975609756098,2.7299155709271017,16.291044776119403,3.2765804117912958,2.746031746031746,1.3194360228259547
AL,ALB,Albania,Tiran<c3><ab>,2020-12-25,2020-12-22,100,2,23399.88286003361,2,23399.88286003361,125,95,2682150.1498515187,69,2,3,95,2,12,86,1,3,96,1,22,77,2,15,83,0,20,80,2,13,85,2,4,94,2,6,92,1,2,97,2,5,93,1,16,83,2,3,95,0,20,80,97,0,3,0,88,1,5,6,97,1,2,0,78,2,12,8,85,3,2,10,80,2,12,6,87,1,9,3,96,1,2,1,94,1,2,3,98,0,1,1,95,1,0,4,84,0,2,14,97,0,2,1,80,2,9,9,5,0,42,53,59,0,13,28,6,0,41,53,60,1,12,27,88,5,7,0,88,0,10,2,0,90,5,4,1,20,0,10,70,100,8,1,31,26,24,10,13,1,40,25,21,13,4,36,24,23,13,4,37,22,24,13,5,30,22,30,13,4,9,10,64,90,3,4,3,90,3,5,2,90,5,4,1,90,5,1,4,90,4,1,5,90,4,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,1,40,42,17,0,70,13,17,0,53,30,17,1,51,31,17,0,13,70,17,0,15,68,22,0,41,37,59,1,22,9,6,3,22,0,1,1,23,53,22,1,77,0,22,0,18,60,22,0,38,31,4,3,0,2,22,0,26,17,21,14,22,0,19,45,10,4,22,0,8,66,4,26,0,2,69,3,61,0,34,5,32,0,65,3,48,0,38,14,50,1,25,24,87,0,10,3,85,0,15,0,26,0,1,2,13,21,37,26,0,0,4,14,22,34,27,1,40,20,8,4,27,0,4,11,18,40,27,0,13,25,20,15,62,7,25,6,62,7,20,11,62,7,17,14,27,1,45,27,73,0,10,17,91,0,2,1,1,0,1,0,4,46,0,3,7,3,2,0,4,3,0,0,2,8,3,3,0,16,28,2,33,37,0,28,0,11,31,14,10,4,1,1,31,1,64,3,1,31,0,14,34,16,3,2,6.145833333333333,7.718421135355018,3.2777777777777772,2.581374065007252,16.62142857142857,2.917259626208829,2.626865671641791,1.2165004564201263
AL,ALB,Albania,Tiran<c3><ab>,2020-12-26,2020-12-23,100,2,23399.88286003361,2,23399.88286003361,138,97,2476086.3367419355,73,4,3,93,3,14,83,2,3,95,3,18,79,4,15,81,2,17,81,3,12,85,3,5,92,3,6,91,3,3,94,4,4,92,3,13,84,4,2,94,2,18,80,97,0,3,0,86,1,7,6,97,1,2,0,82,2,8,8,85,3,5,7,83,2,10,5,88,1,9,2,95,1,2,2,94,1,3,2,97,0,2,1,96,1,0,3,87,0,4,9,98,0,2,0,82,2,9,7,3,0,44,53,58,0,16,26,5,0,39,56,62,1,11,26,89,4,7,0,89,0,5,6,0,95,1,3,1,18,1,11,70,100,7,1,33,22,24,13,12,1,43,23,21,12,4,38,23,23,12,4,38,25,21,12,6,31,23,28,12,5,14,14,55,89,4,5,2,89,3,6,2,89,6,4,1,89,6,1,4,89,5,1,5,89,5,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,1,38,45,16,0,69,15,16,0,56,28,16,1,54,29,16,0,10,74,16,0,16,68,19,0,50,31,50,1,30,9,5,5,20,0,0,2,26,52,20,1,78,1,20,0,17,63,20,0,35,32,5,6,0,2,20,0,22,16,23,19,20,0,18,44,12,6,20,0,9,68,3,23,1,2,72,2,63,1,32,4,33,1,63,3,45,1,39,15,47,1,28,24,90,0,6,4,84,1,15,0,23,0,1,2,9,24,41,23,0,0,5,12,22,38,25,0,37,26,8,4,25,0,6,9,17,43,25,0,15,21,20,19,64,6,25,5,64,6,21,9,64,9,15,12,25,0,50,25,75,0,6,19,94,0,0,0,1,0,2,0,3,44,0,1,7,3,4,1,6,5,1,0,3,8,5,2,0,10,25,3,36,36,0,25,0,5,33,21,7,8,0,1,27,0,66,5,2,27,0,15,34,19,3,2,7.723404255319149,9.12402973438242,3.685714285714285,3.305711888903353,16.62676056338028,3.1198881732010326,2.5555555555555554,1.220585046617006
AL,ALB,Albania,Tiran<c3><ab>,2020-12-27,2020-12-25,100,0,0,0,0,132,98,2228999.9283016333,79,2,1,97,1,14,85,1,3,96,2,13,85,2,21,77,2,18,80,1,8,91,1,6,93,1,7,92,3,2,95,2,4,94,2,18,80,2,4,94,2,19,79,99,0,1,0,86,1,5,8,97,1,2,0,87,2,6,5,79,3,6,12,82,2,10,6,92,1,5,2,94,1,2,3,93,1,6,0,98,0,2,0,96,1,0,3,82,0,6,12,96,0,1,3,81,2,8,9,2,0,46,52,57,0,17,26,5,0,36,59,64,0,14,22,86,7,7,0,86,0,6,8,0,94,4,1,1,19,1,7,73,100,8,1,34,19,20,18,13,2,39,26,20,13,5,35,27,20,13,5,38,19,25,13,7,31,22,27,13,7,15,15,50,93,2,5,0,93,2,3,2,93,4,3,0,93,4,1,2,93,4,0,3,93,4,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,1,34,51,14,0,70,16,14,0,58,28,14,1,52,33,14,0,12,74,14,0,15,71,14,0,52,34,48,1,34,7,4,6,15,0,0,1,30,54,15,1,82,2,16,0,10,74,16,0,41,30,5,5,1,2,16,0,23,17,24,20,16,1,19,43,13,8,16,0,7,73,4,18,1,3,75,3,66,1,28,5,30,1,67,2,42,1,44,13,48,1,30,21,88,0,5,7,85,1,13,1,18,1,2,2,12,21,44,18,0,1,4,10,24,43,19,1,37,32,7,4,19,0,9,11,20,41,19,0,18,27,18,18,55,6,33,6,55,10,25,10,55,14,16,15,19,0,53,28,72,0,7,21,93,2,1,0,0,0,2,0,2,41,0,1,3,4,5,1,4,4,1,0,3,7,5,3,1,17,20,4,47,29,0,20,0,4,31,24,6,12,2,1,21,0,70,7,2,21,0,14,41,19,3,2,7.249999999999999,7.650615327777042,3.5757575757575757,3.1526804372460493,16.527027027027028,2.8631957094289606,2.68,1.1643348640643187
AL,ALB,Albania,Tiran<c3><ab>,2020-12-28,2020-12-25,100,0,0,0,0,131,98,2228523.9216481433,79,2,1,97,1,14,85,1,3,96,2,13,85,2,21,77,2,18,80,1,8,91,1,6,93,1,7,92,3,2,95,2,4,94,2,18,80,2,4,94,2,19,79,99,0,1,0,86,1,5,8,97,1,2,0,87,2,6,5,79,3,6,12,82,2,10,6,92,1,5,2,94,1,2,3,93,1,6,0,98,0,2,0,96,1,0,3,82,0,6,12,96,0,1,3,81,2,8,9,2,0,45,53,58,0,16,26,5,0,35,60,65,0,13,22,87,6,7,0,87,0,5,8,0,95,4,1,0,18,1,7,74,100,8,1,34,19,20,18,13,2,38,27,20,13,5,35,27,20,13,5,38,19,25,13,7,31,23,26,13,7,14,15,51,93,2,5,0,93,2,3,2,93,4,3,0,93,4,1,2,93,4,0,3,93,4,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,1,33,52,14,0,71,15,14,0,59,27,14,1,53,32,14,0,12,74,14,0,15,71,14,0,52,34,48,1,34,7,4,6,15,0,0,1,31,53,15,1,82,2,16,0,10,74,16,0,40,31,5,5,1,2,16,0,22,17,24,21,16,1,19,43,12,9,16,0,7,73,4,18,1,3,75,3,67,1,27,5,29,1,68,2,41,1,45,13,47,1,31,21,88,0,5,7,85,1,13,1,18,1,2,2,11,22,44,18,0,1,4,10,24,43,19,1,37,33,6,4,19,0,9,11,20,41,19,0,18,27,18,18,55,6,33,6,55,10,25,10,55,14,16,15,19,0,54,27,73,0,7,20,93,2,1,0,0,0,2,0,2,40,0,1,3,4,5,1,4,4,1,0,3,7,5,3,2,17,20,4,47,29,0,20,0,4,30,24,6,12,3,1,21,0,70,7,2,21,0,14,41,20,3,1,7.249999999999999,7.650615327777042,3.65625,3.168487733308909,16.41891891891892,2.8812419161946763,2.68,1.1643348640643187
AL,ALB,Albania,Tiran<c3><ab>,2020-12-30,2020-12-26,100,0,0,0,0,157,95,2348044.3216613475,75,3,1,96,2,13,85,3,2,95,3,15,82,3,20,77,3,12,85,3,7,90,3,5,92,3,7,90,5,2,93,3,5,92,4,19,77,4,3,93,4,18,78,99,0,1,0,87,0,4,9,98,0,2,0,85,0,8,7,80,1,5,14,88,0,5,7,93,0,5,2,95,0,3,2,93,0,7,0,98,0,2,0,95,0,2,3,81,0,9,10,97,0,0,3,82,1,8,9,4,1,46,49,57,0,15,28,7,0,38,55,62,0,14,24,86,7,7,0,86,0,6,8,0,94,5,0,1,21,2,3,74,100,11,2,21,26,21,19,15,3,31,33,18,15,6,33,28,18,15,4,33,24,24,15,6,25,27,27,15,6,9,16,54,97,0,3,0,97,0,1,2,97,0,3,0,97,0,1,2,97,1,0,2,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,1,35,49,15,1,72,12,15,2,61,22,15,2,52,31,15,2,8,75,15,2,12,71,16,1,45,38,55,0,34,6,2,3,17,1,0,1,28,53,17,1,80,2,20,1,11,68,20,0,43,27,3,5,2,0,20,1,16,19,24,20,20,2,20,37,13,8,20,0,5,72,3,22,0,4,71,3,65,1,26,8,28,1,68,3,39,1,46,14,48,1,34,17,92,0,3,5,88,1,10,1,23,1,2,2,10,23,39,23,0,1,5,11,24,36,24,1,35,34,4,2,24,0,5,10,23,38,24,0,12,30,17,17,58,5,32,5,58,12,18,12,58,17,11,14,24,0,51,25,75,0,8,17,92,2,1,0,0,0,1,0,4,42,0,0,5,4,5,2,5,1,1,0,3,6,5,3,3,15,25,2,42,31,0,25,0,4,24,26,8,9,4,0,25,0,69,6,0,25,0,11,42,18,3,1,5.9361702127659575,6.288029536242547,4.235294117647059,3.668529748677806,16.309859154929576,2.806072747737229,2.8285714285714287,1.1668293290922258
AL,ALB,Albania,Tiran<c3><ab>,2020-12-31,2020-12-27,100,0,0,0,0,138,92,2498264.9051702125,66,1,2,97,2,11,87,3,4,93,1,21,78,1,20,79,1,20,79,2,9,89,2,5,93,3,7,90,3,4,93,2,8,90,2,23,75,2,5,93,2,22,76,98,1,1,0,89,0,5,6,96,0,2,2,79,2,10,9,80,1,6,13,80,2,6,12,91,0,5,4,95,1,2,2,93,0,7,0,96,1,2,1,92,0,5,3,77,1,8,14,95,1,1,3,78,1,10,11,7,1,45,47,59,0,11,30,11,1,36,52,65,0,13,22,87,6,7,0,87,0,6,7,0,94,5,0,1,26,1,5,68,100,15,2,22,32,17,12,19,4,31,31,15,19,7,31,27,16,19,4,35,26,16,19,6,26,27,22,19,6,6,17,52,95,0,4,1,95,1,0,4,95,1,2,2,95,1,0,4,95,2,0,3,95,1,0,4,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,1,36,44,19,2,69,10,19,3,53,25,19,3,47,31,19,3,8,70,19,3,14,64,23,1,36,40,64,0,25,8,2,1,23,1,0,2,19,55,23,1,75,1,27,1,17,55,27,0,43,24,2,2,2,0,27,1,15,20,23,14,27,2,19,34,14,4,27,0,9,60,4,30,0,8,57,5,66,0,27,7,32,0,65,3,48,0,42,10,54,0,34,12,92,0,6,2,87,0,12,1,31,2,1,2,10,23,31,31,0,1,3,13,18,34,31,1,31,33,1,3,31,0,3,12,20,34,31,0,10,28,15,16,63,4,30,3,63,13,13,11,63,17,12,8,32,0,43,25,75,0,8,17,92,1,1,0,0,0,0,0,6,50,1,0,3,5,2,1,5,1,1,0,2,7,2,2,2,16,33,2,32,32,1,33,0,4,19,25,10,5,4,0,34,0,61,4,1,34,0,9,37,16,3,1,5.9,6.8280633403324424,3.787878787878788,3.2186718510665986,15.609375,3.697348631757885,2.819672131147541,1.2042729026444612
AL,ALB,Albania,-99,2021-01-01,2020-12-21,100,5,79073.70298816587,3,64836.28410261587,36,76,2882348.327246708,39,13,5,82,10,12,78,14,9,77,10,26,64,7,13,80,10,21,69,10,10,80,12,7,81,9,10,81,11,4,85,11,12,77,8,22,70,13,4,83,13,18,69,95,2,2,1,88,4,4,4,91,2,7,0,74,4,11,11,87,4,6,3,79,7,6,8,90,2,5,3,93,4,3,0,90,4,4,2,96,2,2,0,88,2,7,3,78,5,11,6,96,2,2,0,82,3,10,5,22,2,17,59,84,0,9,7,25,4,22,49,80,1,6,13,94,0,6,0,94,0,1,5,0,99,0,1,0,40,4,11,45,100,30,5,19,15,17,14,41,11,11,19,18,41,14,17,12,16,41,18,19,8,14,41,17,17,9,16,41,19,9,12,19,89,5,3,3,89,7,1,3,89,7,3,1,89,6,3,2,89,7,2,2,89,7,2,2,96,1,0,3,96,1,0,3,96,1,0,3,96,1,0,3,96,1,1,2,96,2,1,1,96,1,0,3,98,0,1,1,98,0,1,1,98,0,1,1,98,0,1,1,98,0,1,1,40,9,17,34,40,7,40,13,40,9,24,27,40,9,23,28,40,10,10,40,40,6,16,38,40,1,30,29,70,0,18,6,1,5,43,3,2,9,21,22,43,4,51,2,45,7,11,37,45,4,27,10,4,6,2,2,45,3,25,6,14,7,46,3,18,20,9,4,48,0,9,39,4,50,4,6,37,3,83,2,10,5,60,3,32,5,76,1,19,4,77,3,14,6,90,0,5,5,84,2,12,2,51,2,2,3,9,9,24,51,2,2,3,7,10,25,55,1,17,11,8,8,55,1,5,6,9,24,55,1,14,8,9,13,78,6,15,1,78,7,14,1,78,9,11,2,55,2,21,22,78,0,2,20,98,0,0,0,0,0,0,0,2,77,0,2,4,2,3,0,3,1,1,1,0,2,0,0,1,3,59,2,20,19,0,59,1,5,6,7,12,4,4,2,60,3,22,6,9,60,4,4,14,12,4,2,6.214285714285714,7.563837664283931,3.375,1.8468119248354133,14.806451612903226,4.37736111402528,2.727272727272727,1.6254370041762476
AL,ALB,Albania,Tiran<c3><ab>,2021-01-01,2020-12-27,100,0,0,0,0,126,90,2526744.015481075,61,1,1,98,2,8,90,3,3,94,1,21,78,1,15,84,1,15,84,2,9,89,2,4,94,3,4,93,2,5,93,2,9,89,2,17,81,2,2,96,2,17,81,99,1,0,0,92,0,4,4,97,0,1,2,79,2,9,10,85,0,6,9,85,2,4,9,91,0,3,6,96,1,1,2,96,0,4,0,95,1,3,1,91,0,6,3,83,1,5,11,98,1,1,0,83,0,10,7,9,1,39,51,65,0,6,29,13,1,35,51,66,0,8,26,92,3,5,0,92,0,4,4,0,96,3,0,1,23,1,7,69,100,16,2,23,29,18,12,20,3,28,24,25,20,6,27,22,25,20,5,30,25,20,20,6,24,21,29,20,6,4,15,55,93,1,5,1,93,2,0,5,93,1,4,2,93,2,0,5,93,3,0,4,93,2,0,5,76,3,0,21,76,3,0,21,76,4,0,20,76,3,0,21,76,3,1,20,76,2,4,18,76,3,2,19,96,1,0,3,96,1,0,3,96,1,0,3,96,0,2,2,96,1,0,3,20,1,39,40,20,2,68,10,20,3,53,24,20,4,51,25,20,3,12,65,20,4,10,66,25,1,40,34,60,0,26,7,4,3,26,1,0,4,18,51,26,1,72,1,30,1,18,51,30,0,41,19,4,3,2,1,30,1,15,17,20,17,30,1,19,29,15,6,30,0,9,59,2,33,0,9,55,3,63,0,31,6,33,0,63,4,48,0,39,13,50,0,35,15,88,0,9,3,91,0,7,2,34,2,0,3,7,23,31,34,1,0,4,13,18,30,34,0,36,25,3,2,34,0,3,13,17,33,34,0,11,27,13,15,63,2,31,4,63,9,17,11,63,12,14,11,35,0,42,23,77,1,10,12,90,0,1,0,0,0,0,0,9,49,1,2,4,4,2,2,7,2,1,0,0,6,4,0,2,14,36,1,34,27,2,36,0,2,15,27,11,6,3,0,38,1,56,3,2,38,1,9,37,12,3,0,6.190476190476191,7.970182527634454,4.48,3.5837596645608554,15.758064516129034,4.015076031254332,2.8448275862068964,1.2677058175804845
