ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
FRA,France,<c3><8e>le-de-France,2021-01-01,2021-01-01,335,0,0,0,0,32,317,6205711.935920076,218,1,1,333,1,29,305,0,6,329,1,63,271,0,64,271,1,14,320,1,17,317,1,10,324,1,15,319,1,1,333,1,13,321,0,48,287,0,6,329,0,56,279,334,0,1,0,306,1,7,21,329,0,3,3,272,1,18,44,271,0,13,51,321,0,6,8,318,0,6,11,325,0,4,6,320,0,9,6,334,0,0,1,322,0,6,7,287,1,18,29,329,1,3,2,279,1,22,33,17,1,21,296,315,0,10,10,21,5,177,132,159,1,61,114,274,1,60,0,274,0,61,0,335,0,0,90,4,32,209,335,0,0,0,0,0,31,0,96,94,73,41,40,8,62,171,54,40,6,142,110,37,40,10,93,135,57,40,8,100,132,55,40,10,25,114,146,0,306,7,2,20,306,6,3,20,306,7,3,19,306,4,15,10,306,6,3,20,306,7,3,19,57,10,0,268,57,10,1,267,57,10,19,249,57,9,6,263,57,11,45,222,57,10,53,215,57,9,31,238,256,2,2,75,256,2,2,75,256,2,0,77,256,1,4,74,256,2,7,70,61,7,81,186,61,6,190,78,61,6,84,184,61,4,160,110,61,4,14,256,61,4,77,193,66,1,138,130,197,0,98,25,8,7,68,0,1,20,92,154,68,0,266,1,72,0,24,239,72,0,214,34,6,3,0,6,72,1,81,73,65,43,74,1,68,147,33,12,74,0,65,192,4,78,2,65,187,3,254,0,74,7,146,0,186,3,251,0,81,3,176,1,81,77,321,1,8,5,259,0,74,2,79,2,2,6,56,53,137,79,0,3,14,54,55,130,81,2,81,114,45,12,81,0,8,21,52,173,81,0,29,53,70,102,254,5,56,20,254,16,8,57,254,14,23,44,84,0,133,118,217,0,49,69,290,2,6,0,4,0,2,1,30,159,0,0,14,11,12,3,13,14,9,0,4,21,22,5,9,39,108,6,109,111,0,1,108,0,17,43,47,52,38,27,3,116,4,154,42,19,116,4,52,69,58,22,14,8.85820895522388,11.474819103574957,1.5263157894736843,1.0202625507753482,4.323863636363637,2.268466785836098,2.632558139534884,1.5223753160480535
FRA,France,Auvergne-Rh<c3><b4>ne-Alpes,2021-01-01,2021-01-01,345,0,0,0,0,28,332,4422982.636769145,226,1,1,343,0,32,313,1,3,341,2,51,292,0,64,281,1,15,329,1,17,327,1,4,340,2,5,338,2,2,341,1,5,339,1,33,311,2,7,336,2,37,306,344,0,0,1,313,1,10,21,342,0,0,3,294,1,8,42,281,3,20,41,330,0,6,9,328,0,7,10,341,0,2,2,340,0,4,1,343,0,1,1,340,0,1,4,312,0,7,26,338,1,4,2,308,2,15,20,13,0,16,316,330,0,8,7,16,5,152,172,193,2,64,86,281,3,59,2,281,2,62,0,343,0,2,87,0,31,227,345,0,0,0,0,0,22,0,76,88,91,68,28,14,47,182,74,28,14,128,124,51,28,14,103,131,69,28,13,104,126,74,28,17,20,133,147,0,315,7,5,18,315,8,6,16,315,10,0,20,315,8,11,11,315,9,1,20,315,10,1,19,40,16,2,287,40,17,1,287,40,16,16,273,40,16,10,279,40,18,39,248,40,19,58,228,40,19,29,257,274,1,2,68,274,2,2,67,274,1,0,70,274,0,6,65,274,2,7,62,39,3,89,214,39,0,201,105,39,4,82,220,39,2,172,132,39,1,13,292,39,2,26,278,46,0,153,146,192,0,101,35,10,7,48,1,3,28,106,159,48,1,294,2,55,2,26,262,55,0,211,61,8,4,1,5,55,2,83,95,78,32,56,0,79,163,29,18,58,1,68,216,2,64,0,70,207,4,258,0,80,7,148,1,194,2,263,1,79,2,177,2,72,94,332,0,7,6,320,0,24,1,67,3,0,8,39,51,177,67,0,1,12,49,63,153,70,2,85,116,55,17,70,0,12,27,48,188,70,0,31,70,52,122,245,4,69,27,245,14,10,76,245,13,27,60,74,0,140,131,214,0,54,77,297,1,2,4,6,0,1,0,34,159,0,1,18,2,21,3,10,24,20,0,5,13,24,6,10,29,113,6,97,128,0,1,113,1,15,44,56,50,35,25,6,117,10,88,60,70,117,6,50,71,65,29,7,9.967213114754099,15.25644934821131,1.8571428571428574,1.292412345317728,3.869565217391304,2.0436806097780074,2.68348623853211,1.633689881477512
FRA,France,Bourgogne-Franche-Comt<c3><a9>,2021-01-01,2021-01-01,154,0,0,0,0,10,148,1631750.270440568,99,1,0,153,1,11,142,1,4,149,1,30,123,1,22,131,1,7,146,0,9,145,1,1,152,0,8,146,1,2,151,0,4,150,0,17,137,1,6,147,0,22,132,154,0,0,0,143,0,6,5,150,0,4,0,124,0,10,20,132,0,8,14,147,0,3,4,145,0,4,5,153,0,1,0,146,0,3,5,152,0,0,2,150,0,3,1,137,0,6,11,148,0,4,2,132,0,11,11,5,1,5,143,150,0,1,3,9,2,76,67,79,1,24,50,130,1,23,0,130,0,24,0,154,0,0,37,4,6,107,154,0,0,0,0,0,12,0,34,42,35,31,16,5,24,82,27,16,3,55,57,23,16,5,38,70,25,16,3,35,71,29,16,7,8,55,68,0,148,1,0,5,148,1,2,3,148,1,1,4,148,0,2,4,148,1,2,3,148,1,0,5,25,9,0,120,25,9,1,119,25,7,10,112,25,8,4,117,25,6,21,102,25,8,20,101,25,7,11,111,118,1,1,34,118,1,2,33,118,1,3,32,118,0,3,33,118,1,3,32,25,1,42,86,25,0,74,55,25,2,35,92,25,2,83,44,25,2,4,123,25,2,7,120,26,0,72,56,82,0,49,14,5,4,26,0,0,6,51,71,26,0,127,1,26,0,13,115,26,0,88,22,10,2,2,4,26,0,40,43,26,19,26,0,48,52,22,6,28,0,35,89,2,30,0,30,90,4,112,0,35,7,80,0,69,5,119,0,35,0,71,0,34,49,150,0,2,2,147,0,6,1,32,2,2,3,17,31,67,32,0,4,4,20,30,64,37,2,39,42,25,9,37,0,6,8,25,78,37,0,13,26,34,44,115,2,25,12,115,10,8,21,115,8,15,16,37,1,56,60,94,0,23,37,136,0,4,0,1,0,1,0,12,81,0,2,9,4,6,0,0,12,12,0,2,1,12,0,3,10,50,4,39,59,2,0,50,0,6,11,18,31,21,14,3,53,4,24,26,47,53,2,24,21,31,14,9,9.666666666666666,11.170503204599676,2.25,1.8929694486000912,3.8904109589041096,2.5307094077639376,2.642857142857143,1.5746051706059425
FRA,France,Bretagne,2021-01-01,2021-01-01,185,0,0,0,0,5,177,2104679.6589104724,115,0,1,184,0,10,175,0,3,182,0,31,154,0,32,153,0,9,176,0,11,174,0,3,182,0,4,181,0,1,184,0,4,181,0,11,174,0,7,178,0,29,156,184,0,1,0,175,1,6,3,182,0,0,3,154,0,11,20,153,0,10,22,176,0,3,6,174,0,3,8,182,0,0,3,181,0,2,2,184,0,0,1,181,0,3,1,174,0,3,8,178,0,2,5,156,0,14,15,8,0,4,173,181,0,2,2,10,3,67,105,118,0,18,49,167,0,17,1,167,1,17,0,184,0,1,31,1,17,136,185,0,0,0,0,0,12,3,47,46,46,31,17,9,33,93,33,17,7,68,71,22,17,7,52,76,33,17,6,54,78,30,17,8,15,71,74,0,168,0,2,15,168,0,3,14,168,0,3,14,168,0,3,14,168,0,2,15,168,0,2,15,24,3,3,155,24,3,3,155,24,3,6,152,24,3,3,155,24,3,20,138,24,3,25,133,24,3,11,147,147,1,0,37,147,1,1,36,147,1,1,36,147,1,0,37,147,2,5,31,23,0,43,119,23,0,97,65,23,1,50,111,23,0,89,73,23,0,7,155,23,0,12,150,25,0,76,84,109,1,56,13,3,3,26,0,1,14,64,80,26,0,159,0,27,1,20,137,27,0,119,32,5,1,0,1,27,0,48,53,42,15,27,2,33,92,21,10,28,0,41,115,1,32,0,41,112,0,143,0,38,4,90,0,93,2,135,0,48,2,97,0,35,53,178,1,4,2,173,1,11,0,32,1,1,9,23,32,87,32,0,0,13,29,32,79,36,0,50,65,26,8,36,0,11,17,19,102,36,0,26,20,44,59,139,0,33,13,139,4,2,40,139,4,9,33,37,2,67,79,106,0,32,47,158,1,4,0,1,1,1,1,18,91,0,3,9,3,5,0,2,15,8,0,4,13,6,3,6,17,64,3,50,63,1,4,64,0,10,21,23,26,22,12,7,70,3,36,40,36,70,2,21,35,34,17,6,13.39622641509434,16.196319171866833,1.3333333333333333,0.5773502691896257,3.7356321839080455,2.217581807384008,2.5765765765765765,1.5288114786541005
FRA,France,Centre-Val de Loire,2021-01-01,2021-01-01,124,0,0,0,0,12,120,1557544.6123022935,82,1,1,122,1,11,112,1,2,121,0,19,105,1,21,102,1,4,119,2,5,117,1,0,123,1,0,123,1,1,122,2,2,120,1,16,107,1,6,117,1,14,109,123,0,1,0,113,0,2,9,122,0,1,1,105,0,8,11,103,0,7,14,120,0,2,2,119,0,2,3,124,0,0,0,124,0,0,0,123,0,1,0,122,0,0,2,108,0,4,12,118,0,4,2,110,0,5,9,4,0,8,112,117,0,5,2,6,0,46,72,78,1,18,27,106,1,17,0,106,1,17,0,123,0,1,25,1,7,91,124,0,0,0,0,0,8,1,38,35,23,19,13,9,23,63,16,13,6,49,42,14,13,9,35,46,21,13,7,36,49,19,13,9,11,44,47,0,117,1,0,6,117,1,0,6,117,1,0,6,117,1,3,3,117,1,0,6,117,1,0,6,20,3,0,101,20,4,2,98,20,3,7,94,20,3,3,98,20,3,17,84,20,3,16,85,20,4,8,92,98,0,0,26,98,1,0,25,98,0,0,26,98,0,1,25,98,0,3,23,18,1,20,85,18,0,65,41,18,0,37,69,18,0,64,42,18,0,2,104,18,0,2,104,21,0,51,52,73,0,36,11,1,3,23,1,3,8,36,53,23,0,101,0,24,2,8,90,24,0,73,18,2,0,1,6,24,0,24,35,32,9,25,2,29,56,6,6,27,0,32,64,1,29,1,24,66,4,104,1,16,3,59,1,62,2,87,0,34,3,60,0,27,37,122,0,2,0,122,0,2,0,29,0,0,4,15,16,60,29,0,0,3,18,15,59,29,0,30,39,17,9,29,0,4,5,15,71,29,0,7,16,20,52,101,1,15,7,101,5,1,17,101,5,2,16,30,0,40,54,70,0,23,31,104,0,0,1,1,0,3,1,14,66,0,2,2,3,5,2,1,9,6,0,3,5,5,5,0,10,40,2,41,40,0,1,40,1,4,14,7,22,17,15,4,42,4,25,18,35,42,4,16,14,28,14,6,7.59375,14.537735935455434,1.6666666666666667,0.816496580927726,3.6607142857142856,2.29843255454499,2.7142857142857144,1.6925311383059805
FRA,France,Grand Est,2021-01-01,2021-01-01,388,1,4426.544629723,1,4426.544629723,44,367,3376242.9550507567,234,1,1,386,2,26,360,1,4,383,1,67,320,1,65,322,1,33,354,1,29,358,1,13,374,1,9,378,0,5,383,1,10,377,1,36,351,2,10,376,1,52,335,387,0,1,0,362,1,7,18,384,0,2,2,321,1,18,48,323,1,21,43,355,0,12,21,359,1,12,16,375,0,4,9,379,0,4,5,383,0,4,1,378,0,5,5,352,2,11,23,378,0,5,5,336,1,25,26,20,1,30,337,362,0,8,18,26,1,179,182,209,2,63,114,325,4,59,0,325,1,62,0,387,0,1,92,3,39,254,388,0,0,0,0,0,33,0,85,106,93,71,47,18,66,174,83,47,8,143,129,61,47,16,97,143,85,47,16,100,144,81,47,21,35,130,155,0,351,6,0,31,351,5,11,21,351,6,5,26,351,4,16,17,351,5,5,27,351,4,6,27,69,17,2,300,69,19,1,299,69,16,21,282,69,17,7,295,69,16,50,253,69,15,62,242,69,16,34,269,296,3,6,83,296,3,1,88,296,4,2,86,296,2,8,82,296,3,18,71,65,7,84,232,65,2,194,127,65,7,87,229,65,4,155,164,65,7,11,305,65,8,25,290,73,0,146,169,242,0,98,33,10,5,75,4,3,21,96,189,75,3,309,1,84,1,21,282,84,0,215,65,12,4,1,7,84,0,100,94,83,27,84,3,81,171,26,23,86,1,83,214,4,89,1,79,215,4,306,0,70,12,197,0,187,4,303,1,79,5,236,1,68,83,377,0,6,5,364,0,22,2,91,3,2,13,52,58,169,91,3,1,15,51,59,168,97,2,104,119,48,18,97,0,11,18,51,211,97,0,35,53,74,129,301,7,57,23,301,17,16,54,301,10,25,52,99,3,121,165,223,1,59,105,336,1,6,1,5,3,0,0,36,215,0,8,14,6,14,1,15,22,17,0,8,10,11,2,5,40,144,0,110,133,0,1,144,0,23,24,37,56,58,41,5,152,6,77,87,66,152,3,50,70,75,24,14,9.07258064516129,12.458825446144933,1.5217391304347827,1.081647111727434,3.6568047337278107,2.1986124879929183,2.558951965065502,1.5079528188318347
FRA,France,Hauts-de-France,2021-01-01,2021-01-01,301,2,39519.0055557489,2,39519.0055557489,14,284,4093113.8669508523,197,0,3,298,1,19,281,0,7,294,1,58,242,0,67,234,0,19,282,0,23,278,1,4,296,0,8,293,0,3,298,0,10,291,0,37,264,0,14,287,0,54,247,298,0,1,2,282,1,6,12,294,0,3,4,243,1,18,39,234,3,17,47,282,1,6,12,278,2,7,14,297,0,1,3,293,2,1,5,298,0,3,0,291,0,6,4,264,1,12,24,287,0,6,8,247,3,20,31,15,2,9,275,292,0,5,4,15,4,145,137,156,1,49,95,252,4,45,0,252,2,46,1,299,1,1,69,6,18,208,301,0,0,0,0,0,20,1,71,81,74,54,23,24,48,139,67,23,14,112,96,56,23,18,69,130,61,23,16,77,123,62,23,22,22,106,128,0,285,1,1,14,285,2,3,11,285,2,0,14,285,2,6,8,285,1,1,14,285,2,4,10,31,12,2,256,31,12,5,253,31,12,20,238,31,11,6,253,31,11,41,218,31,11,51,208,31,12,22,236,224,1,2,74,224,1,3,73,224,1,3,73,224,1,5,71,224,1,7,69,34,4,64,199,34,2,148,117,34,2,67,198,34,3,143,121,34,3,8,256,34,2,20,245,37,2,123,139,178,0,82,29,8,4,38,1,3,18,93,148,38,0,260,3,42,1,26,232,42,0,196,47,3,7,1,5,42,2,82,96,54,25,45,8,66,148,28,6,49,1,76,173,2,52,3,71,171,4,237,2,57,5,153,1,144,3,234,2,64,1,158,1,69,73,293,1,6,1,281,1,17,2,53,1,4,8,48,60,127,53,0,6,16,61,45,120,56,1,96,93,41,14,56,0,20,24,45,156,56,0,35,45,64,101,221,2,55,23,221,15,10,55,221,14,18,48,61,0,103,137,164,1,43,93,261,0,3,0,4,1,2,0,30,160,0,1,18,2,10,0,5,21,16,0,9,10,17,0,4,28,96,4,73,125,2,1,96,2,18,36,35,49,34,26,5,103,8,71,71,48,103,3,39,52,69,19,16,8.199074074074074,11.540651396202355,1.7142857142857142,1.1126972805283737,4.032,2.25737500993607,2.898936170212766,1.6788711945478665
FRA,France,Normandie,2021-01-01,2021-01-01,165,0,0,0,0,24,154,1693268.5560717857,92,0,0,165,1,12,152,1,4,160,1,32,132,0,37,128,0,13,152,0,8,157,1,6,158,2,9,154,0,2,163,0,4,161,0,15,150,1,9,155,2,21,142,165,0,0,0,153,0,4,8,161,0,2,2,133,0,12,20,128,0,13,24,152,0,8,5,157,0,3,5,159,0,4,2,156,0,4,5,163,0,1,1,161,1,0,3,150,1,4,10,156,0,5,4,144,1,7,13,11,0,12,142,153,1,8,3,13,7,62,83,103,0,20,42,145,2,18,0,145,1,19,0,164,0,1,40,2,12,111,165,0,0,0,0,0,14,0,37,49,39,26,19,9,22,88,27,19,3,59,59,25,19,5,55,58,28,19,5,45,66,30,19,7,11,57,71,0,153,2,0,10,153,2,3,7,153,2,2,8,153,2,3,7,153,1,2,9,153,2,2,8,30,9,1,125,30,9,1,125,30,9,10,116,30,10,4,121,30,9,21,105,30,8,27,100,30,8,17,110,127,2,2,34,127,3,1,34,127,1,2,35,127,2,3,33,127,2,4,32,28,0,40,97,28,0,86,51,28,1,37,99,28,0,81,56,28,1,3,133,28,2,5,130,29,1,78,57,87,0,54,16,4,4,31,2,1,10,47,74,31,1,133,0,32,2,22,109,32,0,97,31,4,1,0,0,32,0,40,45,32,16,32,1,29,71,26,6,32,0,48,84,1,36,0,41,85,3,125,0,31,9,79,0,84,2,128,0,36,1,85,0,36,44,162,0,0,3,160,0,4,1,39,2,3,6,21,23,71,39,0,4,8,20,31,63,44,1,37,49,29,5,44,0,6,10,21,84,44,0,16,26,38,41,124,1,28,12,124,5,1,35,124,5,6,30,46,2,47,70,95,0,26,44,142,0,2,1,2,0,1,2,15,97,0,2,4,0,8,2,3,13,5,0,4,4,3,2,4,14,71,3,34,57,0,0,71,0,8,20,11,20,20,11,4,72,2,35,24,32,72,1,16,19,32,19,6,8.44032258064516,10.39819435266889,2,1.673320053068151,4.180555555555555,2.327583458747181,2.8555555555555556,1.5690912786384121
FRA,France,Nouvelle-Aquitaine,2021-01-01,2021-01-01,317,2,27151.0402892114,0,0,14,302,3388241.171380948,203,0,4,313,0,21,296,1,6,310,1,47,269,0,52,265,0,14,303,1,12,304,0,2,315,1,7,309,0,2,315,0,6,311,0,30,287,0,6,311,0,43,274,313,0,1,3,296,0,8,13,311,0,1,5,270,0,15,32,265,0,14,38,303,0,8,6,305,0,6,6,315,0,0,2,310,0,2,5,315,0,1,1,311,0,2,4,287,0,6,24,311,0,1,5,274,0,15,28,14,1,9,293,309,0,2,6,19,3,109,186,208,3,38,68,279,2,36,0,279,1,37,0,316,0,1,63,5,26,223,317,0,0,0,0,0,24,0,99,71,74,49,34,19,61,144,59,34,16,126,102,39,34,27,88,115,53,34,24,88,120,51,34,31,30,98,124,0,291,4,2,20,291,1,10,15,291,4,4,18,291,3,5,18,291,5,0,21,291,4,5,17,57,13,4,243,57,16,4,240,57,15,16,229,57,14,9,237,57,15,36,209,57,13,40,207,57,14,21,225,260,2,1,54,260,4,3,50,260,4,2,51,260,4,4,49,260,1,4,52,48,1,72,196,48,1,153,115,48,4,78,187,48,1,141,127,48,3,10,256,48,6,21,242,50,0,120,147,197,0,79,30,7,4,51,3,0,13,115,135,51,3,262,1,52,3,25,237,52,0,202,37,12,3,0,11,52,3,83,92,53,34,53,3,76,132,39,14,55,1,70,188,3,61,4,62,190,0,246,0,59,12,165,0,150,2,240,1,73,3,177,0,59,81,308,0,6,3,297,0,18,2,65,2,2,7,35,51,155,65,1,1,9,45,64,132,68,4,79,106,40,20,68,1,13,28,40,167,68,1,34,51,62,101,233,3,52,29,233,17,11,56,233,14,18,52,72,1,105,139,178,0,43,96,282,0,4,3,3,2,1,1,21,181,0,6,20,5,10,2,8,14,8,0,5,10,9,1,11,27,108,3,99,104,0,3,108,1,18,21,36,50,43,35,5,112,12,67,52,74,112,3,48,44,65,33,12,10.159574468085106,15.646156690120876,1.8333333333333333,0.752772652709081,3.888888888888889,2.305548862105411,2.577319587628866,1.6435463460563144
FRA,France,Occitanie,2021-01-01,2021-01-01,331,0,0,0,0,14,316,3423487.8789142724,207,2,0,329,2,25,304,2,5,324,2,61,268,1,56,274,2,22,307,2,13,316,1,3,327,2,6,323,2,1,328,1,10,320,1,33,297,2,10,319,2,40,289,331,0,0,0,306,0,5,20,326,1,1,3,270,1,15,45,275,2,15,39,309,3,7,12,318,0,7,6,328,0,1,2,325,0,2,4,330,0,0,1,321,0,3,7,298,0,11,22,321,2,2,6,291,3,11,26,14,1,6,310,325,0,4,2,17,3,130,181,201,1,37,92,294,0,37,0,294,0,37,0,331,0,0,60,1,22,248,331,0,0,0,0,0,23,3,80,89,72,64,35,19,49,164,64,35,8,105,139,44,35,17,82,140,57,35,17,77,144,58,35,26,26,123,121,0,310,7,1,13,310,5,5,11,310,5,3,13,310,7,6,8,310,7,1,13,310,6,2,13,53,14,1,263,53,15,1,262,53,14,18,246,53,16,4,258,53,14,28,236,53,16,40,222,53,16,15,247,269,1,2,59,269,1,2,59,269,1,2,59,269,2,3,57,269,2,8,52,51,4,64,212,51,1,187,92,51,1,94,185,51,2,171,107,51,2,20,258,51,1,28,251,57,0,141,133,190,0,95,33,7,6,59,1,1,20,84,166,59,1,270,1,60,4,21,246,60,0,202,49,12,5,0,3,60,0,81,72,63,55,61,3,60,148,38,21,62,2,79,185,3,66,2,69,189,5,269,1,51,10,148,1,177,5,241,3,83,4,164,2,65,100,312,2,8,9,305,1,22,3,69,4,1,6,42,57,152,69,0,3,12,51,61,135,72,4,73,103,47,32,72,1,17,21,40,180,72,0,35,43,78,103,253,1,54,23,253,12,8,58,253,9,18,51,75,2,104,150,181,0,51,99,291,0,4,0,5,1,1,0,29,188,0,5,16,7,16,4,4,19,9,0,4,8,13,4,12,22,115,6,89,116,1,4,115,1,18,21,30,55,44,35,12,121,6,77,49,78,121,6,39,53,64,35,13,9.361904761904762,12.919219291668792,2.3333333333333335,1.3662601021279464,3.896296296296296,2.459444404174444,2.507537688442211,1.638764460471895
