ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..99,B1_1..77,B1_1.1,B1_1.2,B1_2..99,B1_2..77,B1_2.1,B1_2.2,B1_3..99,B1_3..77,B1_3.1,B1_3.2,B1_4..99,B1_4..77,B1_4.1,B1_4.2,B1_5..99,B1_5..77,B1_5.1,B1_5.2,B1_6..99,B1_6..77,B1_6.1,B1_6.2,B1_7..99,B1_7..77,B1_7.1,B1_7.2,B1_8..99,B1_8..77,B1_8.1,B1_8.2,B1_9..99,B1_9..77,B1_9.1,B1_9.2,B1_10..99,B1_10..77,B1_10.1,B1_10.2,B1_11..99,B1_11..77,B1_11.1,B1_11.2,B1_12..99,B1_12..77,B1_12.1,B1_12.2,B1_13..99,B1_13..77,B1_13.1,B1_13.2,B1_14..99,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
EG,EGY,Egypt,-99,2020-12-21,2020-12-21,122,3,81307.64367093884,1,10608.1807235548,63,106,4676051.830786197,73,0,6,7,109,0,5,16,101,0,4,10,108,0,5,41,76,0,7,43,72,0,3,32,87,0,5,23,94,0,4,13,105,0,5,11,106,0,5,9,108,0,5,19,98,0,7,42,73,0,6,11,105,0,6,33,83,115,1,5,1,106,1,10,5,112,1,6,3,81,2,17,22,79,1,18,24,90,1,16,15,99,1,14,8,109,2,6,5,111,0,4,7,113,0,6,3,103,0,10,9,81,2,19,20,111,1,7,3,90,1,21,10,15,1,37,69,89,1,13,19,21,5,22,74,100,0,4,18,118,0,0,4,0,118,0,2,2,0,120,0,0,2,0,30,3,6,83,122,0,0,0,0,0,22,0,38,18,24,20,92,2,11,5,12,92,3,17,5,5,92,4,16,3,7,92,5,14,5,6,92,6,7,6,11,0,116,2,3,1,116,3,2,1,116,2,3,1,116,3,1,2,116,3,1,2,116,2,3,1,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,30,5,44,43,30,5,47,40,30,9,22,61,30,6,49,37,30,7,27,58,30,6,39,47,32,0,57,33,65,1,38,9,3,6,34,0,3,20,30,35,34,2,82,4,36,1,23,62,36,1,27,30,9,6,7,6,36,2,27,19,19,19,37,2,20,35,21,7,37,0,13,67,5,38,1,8,71,4,78,2,38,4,75,3,32,12,100,3,12,7,74,3,24,21,96,1,13,12,83,2,28,9,39,1,1,6,18,19,38,39,1,1,8,15,26,32,40,1,30,31,5,15,40,0,5,13,11,53,40,1,18,28,7,28,76,6,30,10,76,12,24,10,76,15,26,5,40,2,35,45,77,0,16,29,107,0,5,1,1,2,1,1,4,72,0,4,14,1,5,2,1,4,1,1,1,1,2,2,5,6,46,0,41,31,0,4,46,1,11,25,19,9,8,3,0,49,1,42,11,19,49,0,9,35,24,3,2,3.4655172413793105,2.4294647251143022,2.3684210526315788,1.5709348354753425,14.365079365079366,3.9484647375811996,3.6,2.1088996247139513
EG,EGY,Egypt,Al Iskandariyah,2020-12-21,2020-12-21,250,6,45890.77235408584,5,40365.64425332139,425,232,3523007.9042946063,159,0,6,11,233,0,4,57,189,0,4,27,219,0,7,105,138,0,4,81,165,0,7,78,165,0,6,37,207,0,6,31,213,0,8,28,214,0,8,17,225,0,4,43,203,0,5,101,144,0,8,21,221,0,6,78,166,240,3,6,1,195,3,31,21,226,0,16,8,147,7,37,59,171,4,39,36,174,5,40,31,215,2,17,16,221,1,20,8,222,2,12,14,235,1,13,1,208,3,29,10,151,5,40,54,229,3,13,5,174,5,37,34,18,0,120,112,134,0,46,70,22,1,48,179,202,0,15,33,235,0,3,10,2,235,0,9,5,1,241,1,4,3,1,38,3,33,176,250,0,0,0,0,0,27,0,54,72,47,50,196,2,19,19,14,196,4,16,17,17,196,4,23,15,12,196,4,16,20,14,196,5,9,13,27,0,217,8,10,15,217,8,10,15,217,5,21,7,217,7,12,14,217,9,6,18,217,4,14,15,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,45,4,99,102,45,6,140,59,45,4,88,113,45,3,120,82,45,6,44,155,45,4,109,92,47,2,121,80,129,1,57,35,7,21,51,2,2,34,81,80,51,1,188,10,52,3,57,138,52,2,66,66,31,21,8,4,52,2,43,43,51,59,55,4,30,97,52,12,58,3,18,156,15,63,2,12,156,17,153,2,73,22,112,2,105,31,164,2,53,31,132,3,57,58,206,1,29,14,142,2,90,16,69,1,3,17,44,43,73,69,1,8,23,45,47,57,76,3,69,65,18,19,76,1,11,27,48,87,76,1,33,49,42,49,169,14,51,16,169,17,52,12,169,16,48,17,77,2,96,75,175,0,32,43,219,2,9,0,4,3,0,2,11,123,1,2,26,5,15,5,4,14,12,1,5,6,1,4,6,20,86,3,101,59,1,0,86,0,28,74,40,13,7,2,0,90,5,138,12,5,90,6,12,66,64,10,2,3.339080459770115,2.495075210415015,3.895238095238095,2.8653225403212916,16.026143790849673,3.2219390051446313,3.2533333333333334,1.7424300961074533
EG,EGY,Egypt,Al Jizah,2020-12-21,2020-12-21,169,7,134313.45755716093,5,129769.82154961982,169,159,2417915.9683824996,117,0,4,8,157,0,2,40,127,0,4,16,149,0,2,47,120,0,2,48,119,0,2,39,128,0,4,27,138,0,4,25,140,0,3,7,159,0,3,9,157,0,3,27,139,0,3,49,117,0,3,10,156,0,2,45,122,161,1,1,6,129,3,16,21,153,0,12,4,123,3,12,31,121,3,20,25,131,2,15,21,142,3,10,14,144,0,11,14,162,2,4,1,160,2,5,2,143,1,13,12,121,3,17,28,160,0,4,5,125,2,21,21,10,0,52,107,119,0,25,25,12,6,35,116,134,1,10,24,159,0,1,9,0,159,0,5,5,0,164,0,2,3,0,30,1,20,118,169,0,0,0,0,0,14,1,50,41,31,32,134,1,14,12,8,134,1,10,13,11,134,4,10,14,7,134,4,7,12,12,134,4,3,8,20,0,149,7,7,6,149,7,4,9,149,3,16,1,149,8,4,8,149,6,7,7,149,5,6,9,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,169,0,0,0,30,5,79,55,30,6,98,35,30,10,61,68,30,7,85,47,30,9,34,96,30,5,67,67,30,1,93,45,76,0,45,24,9,15,32,1,0,31,58,47,32,1,135,1,34,1,38,96,34,0,46,40,21,13,6,9,34,1,24,23,55,32,36,0,23,66,33,11,37,0,14,112,6,41,4,10,105,9,90,1,56,22,71,3,71,24,108,1,42,18,84,3,39,43,135,2,22,10,102,2,46,19,44,0,3,13,28,34,47,44,1,8,13,29,37,37,44,4,45,43,22,11,44,1,11,21,39,53,44,1,31,50,21,22,88,7,58,16,88,20,34,27,88,18,44,19,46,2,63,58,111,0,21,37,150,0,6,3,1,0,1,0,8,87,0,1,9,6,9,1,2,8,6,0,4,6,2,4,0,24,50,0,70,45,0,4,50,1,28,41,30,13,5,1,0,51,5,82,11,20,51,4,7,52,44,10,1,3.8653846153846154,3.0499329685700842,3.4680851063829787,2.6772070442565394,15.39090909090909,3.4297549984594933,3.560747663551402,1.9091515951029432
EG,EGY,Egypt,Al Qahirah,2020-12-21,2020-12-21,203,2,8614.208699884,2,8614.208699884,297,187,2160627.336074199,137,0,3,2,198,0,4,46,153,0,3,10,190,0,3,69,131,0,3,62,138,0,3,57,143,0,4,34,165,0,2,19,182,0,5,18,180,0,3,13,187,0,3,22,178,0,1,73,129,0,4,16,183,0,3,62,138,201,0,2,0,157,1,13,32,194,0,4,5,135,1,31,36,142,1,25,35,147,2,25,29,170,0,17,16,185,0,10,8,185,1,7,10,190,0,10,3,181,0,12,10,132,2,23,46,188,0,8,7,141,1,31,30,15,1,81,106,125,1,34,43,20,2,49,132,155,0,9,39,194,0,0,9,0,194,0,7,2,0,196,0,4,3,0,33,5,26,139,203,0,0,0,0,0,24,1,48,57,40,33,155,2,13,17,16,155,2,20,17,9,155,1,30,11,6,155,0,15,17,16,155,2,4,17,25,0,177,7,8,11,177,9,7,10,177,4,19,3,177,8,5,13,177,10,4,12,177,11,6,9,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,35,2,99,67,35,1,121,46,35,2,86,80,35,4,109,55,35,2,38,128,35,1,75,92,38,1,113,51,90,1,52,32,6,22,38,2,2,22,73,66,38,0,159,6,41,2,44,116,41,0,53,57,23,16,8,5,41,0,33,32,55,42,42,1,30,70,48,12,42,0,23,127,11,47,3,18,127,8,105,1,82,15,83,2,95,23,118,3,58,24,94,1,63,45,166,1,28,8,128,2,63,10,49,3,5,5,45,45,51,49,4,11,23,40,39,37,53,3,57,69,13,8,53,1,7,25,42,75,53,1,30,44,42,33,129,10,49,15,129,15,40,19,129,15,42,17,54,2,80,67,136,1,23,43,183,1,4,1,2,2,0,2,8,105,0,0,20,6,7,0,10,7,3,0,3,12,2,7,4,17,62,0,92,46,0,3,62,0,33,46,36,16,7,2,1,65,2,130,3,3,65,1,14,60,51,9,3,3.388059701492537,2.6383819596165345,4.130434782608695,2.732769783669507,15.876811594202898,3.362422003655626,3.24812030075188,1.6441172220871434
EG,EGY,Egypt,Ash Sharqiyah,2020-12-21,2020-12-21,103,0,0,0,0,88,90,3712625.059553801,64,0,4,0,99,0,4,28,71,0,4,8,91,0,4,43,56,0,3,40,60,0,4,30,69,0,4,23,76,0,4,12,87,0,5,13,85,0,5,8,90,0,4,20,79,0,3,40,60,0,4,13,86,0,4,33,66,103,0,0,0,79,1,8,15,96,0,3,4,65,2,16,20,68,2,12,21,76,2,16,9,82,2,9,10,92,0,6,5,90,0,10,3,97,0,3,3,84,1,12,6,66,3,15,19,92,1,4,6,74,1,19,9,13,0,30,60,74,0,14,15,15,2,11,75,92,0,3,8,100,0,1,2,0,100,0,2,1,0,101,0,2,0,0,20,0,15,68,103,0,0,0,0,0,17,0,28,25,18,15,80,2,6,10,5,80,5,9,7,2,80,4,12,4,3,80,5,10,6,2,80,4,6,4,9,0,88,2,8,5,88,3,2,10,88,2,11,2,88,4,0,11,88,4,4,7,88,4,6,5,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,27,1,42,33,27,4,56,16,27,2,33,41,27,2,49,25,27,3,15,58,27,3,38,35,30,0,45,28,58,0,19,12,2,12,31,2,4,19,26,21,31,0,68,4,32,0,14,57,32,0,18,16,15,13,5,4,32,1,15,17,18,20,33,0,13,34,15,8,33,0,4,63,3,35,0,3,62,3,62,2,27,12,48,2,40,13,70,3,18,12,56,2,20,25,88,2,8,5,66,1,26,10,35,0,0,7,16,15,30,35,0,1,6,18,21,22,36,0,25,26,8,8,36,0,3,7,17,40,36,1,14,22,12,18,67,2,25,9,67,10,22,4,67,10,19,7,37,0,32,34,69,0,12,22,91,0,2,0,2,1,0,0,7,59,0,1,10,1,5,4,1,4,5,1,2,0,1,1,0,8,38,0,52,11,1,1,38,0,18,19,16,10,2,0,0,38,0,33,7,25,38,0,3,27,29,5,1,3.5967741935483875,2.6392974563185687,3.6363636363636362,2.059714602177749,15.57142857142857,2.447607691223871,3.9531249999999996,1.5879475372166365
EG,EGY,Egypt,-99,2020-12-22,2020-12-22,127,4,119172.86979382263,1,71296.70936898599,82,111,4476921.616838371,62,0,11,6,110,0,10,15,102,0,9,10,108,0,6,40,81,0,10,31,86,0,9,29,89,0,13,13,101,0,10,16,101,0,10,7,110,0,11,8,108,0,11,22,94,0,9,30,88,0,11,8,108,0,9,32,86,121,0,3,3,112,3,7,5,117,1,4,5,87,4,16,20,96,3,8,20,98,4,11,14,114,1,6,6,111,2,6,8,120,1,6,0,119,1,5,2,105,0,10,12,97,5,14,11,119,2,4,2,95,5,19,8,14,2,41,70,89,1,16,21,20,5,19,83,109,1,5,12,122,0,0,4,1,122,0,4,1,0,123,0,1,1,2,33,2,10,82,127,0,0,0,0,0,23,2,34,25,18,25,34,8,33,29,23,34,21,30,20,22,34,23,26,26,18,34,22,28,21,22,34,24,17,14,38,0,118,4,2,3,118,2,4,3,118,1,7,1,118,5,2,2,118,5,1,3,118,3,2,4,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,40,14,27,46,40,11,50,26,40,14,22,51,40,16,31,40,40,17,16,54,40,12,42,33,44,0,52,31,75,0,27,12,5,8,45,6,1,19,34,22,45,4,76,2,47,3,20,57,47,0,27,19,16,4,7,7,47,1,19,16,27,17,49,2,11,37,19,9,50,2,7,62,6,51,6,3,61,6,101,1,16,9,78,3,29,17,105,2,12,8,96,1,13,17,111,1,10,5,85,2,30,10,53,5,1,4,13,21,30,53,2,2,11,13,16,30,55,2,28,27,5,10,55,2,6,6,16,42,55,1,14,21,15,21,92,4,25,6,92,10,16,9,92,11,14,10,57,2,33,35,92,0,11,24,116,0,6,1,2,1,0,0,1,83,0,2,13,4,8,0,0,1,2,1,0,0,2,2,2,7,64,0,35,23,1,4,64,1,17,21,13,6,4,1,0,65,1,34,7,20,65,6,10,21,19,3,3,3.3692307692307693,2.3154996138065886,2.6666666666666665,1.632993161855452,14.526315789473685,3.3279404997572914,3.72,1.9798989873223332
EG,EGY,Egypt,Ad Daqahliyah,2020-12-22,2020-12-21,100,1,146468.86847345802,1,146468.86847345802,113,89,4078994.4784095017,54,0,5,2,93,0,5,13,82,0,5,9,86,0,3,32,65,0,2,32,66,0,4,22,74,0,5,18,77,0,5,12,83,0,4,7,89,0,5,6,89,0,3,16,81,0,3,37,60,0,6,8,86,0,4,35,61,98,0,0,2,87,0,6,7,91,1,2,6,68,1,16,15,68,1,14,17,78,2,9,11,82,1,9,8,88,0,7,5,93,2,2,3,94,0,4,2,84,0,10,6,63,1,17,19,92,0,6,2,65,1,18,16,11,0,38,51,66,0,16,18,16,0,11,73,89,1,1,9,99,0,0,1,0,99,0,1,0,0,99,0,1,0,0,18,1,12,69,100,0,0,0,0,0,17,0,27,25,16,15,20,6,26,32,16,20,5,34,24,17,20,3,43,25,9,20,3,29,23,25,20,5,20,19,36,0,88,2,5,5,88,3,5,4,88,1,7,4,88,2,4,6,88,3,7,2,88,1,8,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,1,40,37,22,0,54,24,22,4,29,45,22,2,47,29,22,1,24,53,22,2,37,39,24,1,52,23,48,0,27,11,5,9,25,1,3,11,33,27,25,1,73,1,31,1,23,45,31,0,21,20,9,6,7,6,31,0,17,10,26,16,31,0,13,32,15,9,32,0,6,55,7,33,1,3,59,4,60,0,30,10,46,2,34,18,71,0,20,9,53,3,22,22,76,0,13,11,63,1,23,13,34,0,2,13,10,20,21,34,0,5,10,15,17,19,38,0,22,23,10,7,38,1,5,9,12,35,38,1,13,18,11,19,69,1,26,4,69,4,23,4,69,5,23,3,41,0,27,32,68,0,8,24,92,0,2,0,2,0,0,1,3,65,0,4,6,2,9,1,0,3,1,0,2,1,0,0,3,3,43,1,40,15,0,1,43,0,21,17,9,9,1,0,0,44,2,22,10,22,44,0,4,23,20,9,0,4.2153846153846155,3.4255123142946977,3.740740740740741,2.5205706404059285,15.971698113207546,2.4067515098548666,3.618181818181818,1.5692757127497583
EG,EGY,Egypt,Al Buhayrah,2020-12-22,2020-12-21,100,2,215307.10396385903,1,73906.683883181,156,93,6459456.963580294,65,0,4,4,92,0,4,23,73,0,4,9,87,0,2,39,59,0,3,26,71,0,3,31,66,0,3,16,81,0,4,16,80,0,4,5,91,0,5,6,89,0,4,13,83,0,1,30,69,0,3,6,91,0,2,29,69,96,1,0,3,77,0,11,12,92,1,4,3,63,2,15,20,75,1,10,14,70,1,15,14,84,1,6,9,85,0,9,6,95,0,3,2,94,0,5,1,87,0,7,6,70,1,10,19,95,1,2,2,73,1,9,17,7,0,48,45,54,0,21,25,9,1,16,74,84,0,6,10,94,0,1,5,0,94,0,3,2,1,97,0,0,3,0,16,1,7,76,100,0,0,0,0,0,9,0,35,22,14,20,30,5,29,18,18,30,6,33,18,13,30,5,43,16,6,30,4,29,17,20,30,5,22,16,27,0,93,2,1,4,93,2,2,3,93,1,4,2,93,1,2,4,93,1,3,3,93,2,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,2,47,35,16,1,60,23,16,3,31,50,16,3,48,33,16,2,19,63,16,2,44,38,19,2,61,18,39,0,33,11,5,12,19,2,2,18,38,21,19,2,77,2,20,0,15,65,20,0,22,24,15,8,5,6,20,0,22,11,27,20,21,2,23,27,19,8,21,0,6,68,5,25,0,2,64,9,53,1,37,9,40,1,36,23,69,0,18,13,52,1,25,22,81,0,9,10,56,0,35,9,26,0,1,4,19,21,29,26,1,2,9,7,25,30,27,0,25,32,10,6,27,0,4,11,18,40,27,0,14,20,9,30,66,5,23,6,66,10,18,6,66,10,18,6,28,0,43,29,71,0,8,21,94,0,2,0,1,1,1,0,1,51,0,4,14,4,2,5,0,3,5,1,1,1,2,1,0,6,32,1,51,16,0,0,32,0,15,24,22,6,1,0,0,35,1,23,8,33,35,0,9,29,20,4,3,3.582539682539683,2.239350401382975,3.9189189189189193,2.909547295622717,14.253731343283583,3.258291444737748,3.671875,1.6139735791783314
EG,EGY,Egypt,Al Gharbiyah,2020-12-22,2020-12-21,100,2,89605.86267466689,2,89605.86267466689,143,93,4795810.877197354,66,0,4,2,94,0,2,19,79,0,4,6,90,0,3,32,65,0,2,26,72,0,4,22,74,0,3,13,84,0,3,10,87,0,4,3,93,0,3,5,92,0,3,11,86,0,3,24,73,0,5,6,89,0,3,29,68,98,0,1,1,81,0,12,7,94,0,3,3,68,1,8,23,74,2,7,17,78,1,11,10,87,0,3,10,90,0,5,5,97,0,1,2,95,1,3,1,89,0,3,8,76,0,9,15,94,0,2,4,71,0,9,20,7,0,40,53,63,1,14,22,10,2,17,71,83,0,7,10,93,0,1,6,0,93,0,4,3,0,96,0,2,2,0,20,1,11,68,100,0,0,0,0,0,13,0,31,27,16,13,18,4,29,29,20,18,9,36,19,18,18,4,50,15,13,18,4,35,18,25,18,4,16,19,43,0,90,4,2,4,90,3,5,2,90,3,5,2,90,2,3,5,90,4,1,5,90,2,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,4,37,42,17,3,53,27,17,10,32,41,17,6,45,32,17,6,20,57,17,5,36,42,18,1,56,25,44,0,22,18,6,10,19,2,1,15,32,31,19,1,77,3,20,1,27,52,20,2,25,19,16,7,6,5,20,2,17,17,27,17,20,1,17,31,25,6,21,0,10,68,1,25,0,8,65,2,64,0,27,9,47,1,37,15,68,0,21,11,55,0,24,21,80,0,10,10,64,0,26,10,28,0,0,9,10,24,29,28,1,2,8,17,18,26,31,1,29,22,10,7,31,1,4,7,16,41,31,1,11,20,13,24,69,4,23,4,69,7,20,4,69,8,20,3,31,1,38,30,70,0,6,24,94,0,1,0,0,0,1,0,4,56,1,1,14,4,3,1,2,6,2,0,1,2,1,1,0,5,31,0,47,21,0,1,31,0,18,23,15,9,3,1,0,33,1,29,9,28,33,1,5,32,22,3,4,3.288135593220339,2.5734107747851382,4.32258064516129,3.228901740780122,15.552238805970148,3.00647574860602,3.646153846153846,1.56555470631388
EG,EGY,Egypt,Al Iskandariyah,2020-12-22,2020-12-22,229,4,40077.30700407113,2,27690.926193276842,332,214,3545150.046565435,152,0,5,6,218,0,5,44,180,0,5,21,203,0,3,83,143,0,3,73,153,0,4,66,159,0,5,39,185,0,3,33,193,0,5,13,211,0,5,17,207,0,5,33,191,0,5,80,144,0,5,13,211,0,4,62,163,223,1,2,3,185,2,22,20,208,2,11,8,146,4,41,38,156,5,28,40,163,2,32,32,190,0,21,18,196,1,23,9,216,0,6,7,212,0,14,3,196,1,17,15,149,3,22,55,216,1,7,5,167,4,32,26,15,0,106,108,127,0,44,58,20,6,28,175,201,0,14,14,215,0,5,8,1,215,0,10,4,0,219,0,6,4,0,41,1,39,148,229,0,0,0,0,0,23,0,64,57,47,38,32,7,68,61,61,32,8,82,56,51,32,9,102,53,33,32,8,62,62,65,32,9,40,50,98,0,190,10,14,15,190,12,10,17,190,3,28,8,190,12,12,15,190,12,10,17,190,10,12,17,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,229,0,0,0,35,5,90,99,35,3,135,56,35,7,77,110,35,1,106,87,35,6,36,152,35,3,101,90,40,0,115,74,114,0,57,27,10,21,43,0,3,32,84,67,43,0,182,4,45,3,58,123,45,1,56,51,32,26,8,10,45,1,36,36,61,50,45,1,38,80,48,17,48,0,10,155,16,53,1,7,156,12,139,1,67,22,94,1,97,37,152,0,48,29,123,2,51,53,193,1,23,12,128,2,72,27,61,3,6,11,42,49,57,61,0,10,26,34,44,54,64,2,69,66,19,9,64,0,13,35,38,79,64,0,39,66,22,38,124,11,67,27,124,23,67,15,124,21,70,14,66,1,93,69,160,0,23,46,206,0,5,1,4,3,2,1,7,114,0,2,28,3,18,4,1,10,7,1,1,9,4,6,4,17,69,0,104,53,0,3,69,1,29,62,41,14,11,1,1,72,3,130,13,11,72,0,18,62,66,7,4,3.5933333333333333,2.8381312186573884,3.597701149425288,2.4469238881299495,15.006493506493506,3.8424814171488233,3.4503311258278146,1.7576072436577113
