ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
PRT,Portugal,Lisboa,2021-01-01,2021-01-01,305,0,0,0,0,33,289,1255327.4901650667,194,2,0,303,2,25,278,3,3,299,4,16,285,2,42,261,4,17,284,2,17,286,3,3,299,3,7,295,2,4,299,2,10,293,3,28,274,3,5,297,4,19,282,305,0,0,0,280,1,3,21,302,0,1,2,289,1,3,12,263,1,4,37,288,0,3,14,288,1,4,12,302,1,0,2,298,0,3,4,301,0,1,3,295,0,4,6,277,0,3,25,300,0,0,5,286,0,5,14,15,1,22,267,283,0,8,14,16,5,107,177,198,0,31,76,274,2,29,0,274,11,19,1,294,1,10,0,55,5,15,230,305,0,0,0,0,0,26,0,162,82,24,11,34,12,123,112,24,34,13,158,85,15,34,13,161,81,16,34,14,145,89,23,34,19,64,122,66,0,292,1,1,11,292,2,0,11,292,0,6,7,292,3,0,10,292,2,0,11,292,2,2,9,44,10,0,251,44,10,3,248,44,9,17,235,44,9,22,230,44,10,20,231,44,9,25,227,44,8,9,244,251,3,5,46,251,3,9,42,251,3,5,46,251,3,6,45,251,2,22,30,45,4,67,189,45,1,189,70,45,2,138,120,45,1,133,126,45,1,8,251,45,1,37,222,47,1,121,136,184,0,81,24,6,10,50,1,0,11,86,157,50,0,253,2,54,2,42,207,54,0,204,36,4,2,0,5,54,1,41,59,91,59,56,4,82,113,37,13,57,0,48,196,4,62,4,45,186,8,238,0,66,1,116,1,187,1,167,1,137,0,173,0,98,34,297,1,4,3,268,0,36,1,65,3,1,7,29,52,148,65,2,3,4,27,59,145,66,2,115,93,22,7,66,0,23,32,67,117,66,0,40,60,79,60,206,8,75,16,206,21,18,60,206,19,33,47,68,1,124,112,193,0,46,66,263,5,7,1,3,3,2,1,20,140,1,0,13,10,13,6,12,22,2,0,6,24,12,5,3,36,106,5,89,103,0,2,106,2,13,38,41,43,33,21,8,110,10,123,43,19,110,6,11,72,74,21,11,2.727272727272727,2.055143660427362,1.5789473684210529,0.7685331969757723,10.019867549668874,3.447646924450543,2.8152173913043477,1.4290456735815789
PRT,Portugal,Porto,2021-01-01,2021-01-01,253,0,0,0,0,31,241,1219862.3667522469,159,1,1,251,2,17,234,1,6,246,1,30,222,0,42,211,2,14,237,2,8,243,1,3,249,1,2,250,1,2,250,1,7,245,1,26,226,2,5,246,2,33,218,252,0,0,1,236,0,2,15,247,0,1,5,223,2,9,19,211,2,10,30,239,0,5,9,245,0,4,4,250,0,0,3,251,0,0,2,251,0,2,0,246,0,1,6,227,1,10,15,248,0,0,5,220,2,8,23,11,1,18,223,236,0,8,9,13,6,79,155,174,1,20,58,233,2,18,0,233,4,16,0,249,0,4,0,40,5,11,197,253,0,0,0,0,0,15,0,131,73,26,8,26,14,89,105,19,26,9,142,68,8,26,13,130,71,13,26,12,118,80,17,26,17,56,87,67,0,242,3,1,7,242,4,1,6,242,2,5,4,242,4,0,7,242,4,0,7,242,4,0,7,34,7,4,208,34,8,3,208,34,9,10,200,34,8,22,189,34,9,23,187,34,11,27,181,34,9,11,199,202,2,6,43,202,1,5,45,202,2,3,46,202,2,11,38,202,2,15,34,34,2,63,154,34,1,162,56,34,1,93,125,34,1,107,111,34,3,11,205,34,3,23,193,37,1,104,111,149,1,72,22,8,1,37,0,1,12,64,139,37,0,216,0,39,2,34,178,39,0,192,19,1,1,0,1,39,0,35,43,75,61,40,4,78,103,26,2,43,2,45,162,1,47,5,41,158,2,190,0,59,4,91,0,162,0,160,0,93,0,146,0,79,28,242,0,10,1,230,0,22,1,49,3,3,8,33,55,102,49,1,2,13,37,36,115,52,1,90,85,23,2,52,0,11,33,49,108,52,0,26,47,66,62,181,9,54,9,181,24,16,32,181,16,35,21,55,2,106,90,163,0,37,53,225,1,7,0,1,1,2,2,14,119,0,2,13,7,15,2,7,15,5,0,2,11,11,6,4,34,90,2,77,84,0,0,90,1,19,16,43,41,30,9,4,94,8,116,23,12,94,6,9,47,78,15,4,2.8518518518518516,2.4037008503093262,1.9999999999999998,1.348399724926484,9.688524590163935,3.629725685086561,2.7266666666666666,1.268602077258687
PRT,Portugal,Set<c3><ba>bal,2021-01-01,2021-01-01,115,0,0,0,0,23,111,710378.8963138876,72,0,0,115,0,10,105,0,1,114,0,11,104,0,18,97,0,7,108,0,5,110,0,2,113,0,4,111,0,2,113,0,4,111,0,18,97,0,7,108,0,14,101,115,0,0,0,105,0,5,5,114,0,0,1,104,1,6,4,97,1,2,15,108,1,0,6,110,1,0,4,113,0,1,1,111,0,2,2,113,1,0,1,111,0,3,1,97,1,4,13,108,0,3,4,101,0,3,11,1,3,9,102,106,0,2,7,1,2,40,72,75,0,6,34,109,2,3,1,109,0,6,0,115,0,0,0,10,0,9,96,115,0,0,0,0,0,2,0,57,38,14,4,3,7,44,51,10,3,5,71,31,5,3,8,60,37,7,3,9,58,39,6,3,10,21,51,30,0,106,2,3,4,106,4,2,3,106,2,5,2,106,4,1,4,106,4,0,5,106,4,0,5,6,8,0,101,6,8,1,100,6,9,2,98,6,8,8,93,6,4,10,95,6,8,7,94,6,8,3,98,95,2,1,17,95,2,0,18,95,2,1,17,95,2,5,13,95,1,6,13,7,0,18,90,7,0,73,35,7,0,52,56,7,0,60,48,7,0,1,107,7,0,12,96,7,2,53,53,62,0,32,16,3,2,9,0,1,4,32,69,9,1,104,1,11,1,19,84,11,0,84,15,2,0,0,3,11,0,20,24,35,25,12,0,36,59,7,1,14,0,21,78,2,15,0,23,76,1,97,0,18,0,42,0,73,0,63,0,51,1,55,0,45,15,114,0,0,1,103,0,12,0,16,1,0,2,17,21,58,16,2,0,4,17,27,49,18,2,50,33,7,5,18,0,6,16,31,44,18,0,15,26,34,22,74,1,27,13,74,10,7,24,74,10,12,19,18,0,42,55,60,0,25,30,95,4,1,0,2,1,1,2,9,54,1,0,3,3,6,2,7,6,1,0,3,6,7,3,1,12,40,3,32,40,0,0,40,0,3,6,21,18,12,14,1,42,1,38,25,9,42,2,7,26,26,8,4,2.608695652173913,1.9830197048336295,2.5555555555555554,1.2360330811826103,10.428571428571429,3.068059160607405,2.591549295774648,1.2487418215231385
PRT,Portugal,Lisboa,2021-01-02,2021-01-01,100,0,0,0,0,14,95,449331.109642568,46,0,0,100,0,3,97,0,0,100,1,2,97,0,12,88,1,2,97,0,3,97,1,0,99,0,2,98,0,0,100,0,5,95,1,13,86,0,2,98,1,9,90,100,0,0,0,97,0,1,2,100,0,0,0,98,0,0,2,88,0,0,12,98,0,1,1,97,0,1,2,100,0,0,0,98,0,1,1,100,0,0,0,95,0,1,4,87,0,1,12,98,0,0,2,91,0,0,9,4,1,7,88,93,0,2,5,5,2,39,54,61,0,11,28,89,1,10,0,89,5,6,0,95,1,4,0,19,3,7,71,100,0,0,0,0,0,9,0,55,24,9,3,13,2,39,36,10,13,3,53,25,6,13,4,56,22,5,13,3,51,25,8,13,4,23,42,18,0,94,0,0,6,94,0,0,6,94,0,2,4,94,1,0,5,94,0,0,6,94,0,2,4,22,3,0,75,22,3,1,74,22,3,6,69,22,2,6,70,22,3,5,70,22,2,8,68,22,1,3,74,87,2,0,11,87,2,0,11,87,2,0,11,87,2,1,10,87,2,5,6,20,2,20,58,20,1,50,29,20,1,39,40,20,0,46,34,20,0,3,77,20,0,10,70,21,0,43,36,57,0,31,7,3,2,22,1,0,2,22,53,22,0,78,0,25,1,14,60,25,0,65,8,0,0,0,2,25,1,10,18,31,15,26,1,28,33,10,2,26,0,14,60,0,29,0,13,57,1,80,0,20,0,50,1,49,0,61,1,38,0,55,0,34,11,97,1,1,1,90,0,10,0,31,1,0,1,8,16,43,31,0,2,2,7,14,44,31,1,25,31,10,2,31,0,8,6,19,36,31,0,12,14,22,21,74,0,19,7,74,2,3,21,74,2,10,14,31,0,36,33,67,0,12,21,90,1,2,0,0,0,0,1,6,55,1,0,3,1,6,2,4,9,1,0,0,5,5,1,0,7,54,3,14,29,0,0,54,1,4,10,6,10,11,3,1,54,2,31,8,5,54,0,2,14,18,6,6,2.4074074074074074,1.550663859306202,2,0.8164965809277259,10.06060606060606,3.2781415651573256,2.869565217391304,1.5145031550852857
PRT,Portugal,Porto,2021-01-02,2021-01-01,100,0,0,0,0,12,91,537762.7618665511,47,1,1,98,2,10,88,1,4,95,1,15,84,0,18,82,2,7,91,2,1,97,1,1,98,1,0,99,1,1,98,1,2,97,1,8,91,2,4,94,2,13,85,99,0,0,1,90,0,1,9,96,0,0,4,85,1,4,10,82,1,3,14,93,0,3,4,99,0,0,1,99,0,0,1,100,0,0,0,99,0,1,0,98,0,0,2,92,0,5,3,96,0,0,4,87,1,4,8,9,0,7,84,94,0,2,4,10,2,28,60,72,0,9,19,91,1,8,0,91,3,6,0,97,0,3,0,21,1,5,73,100,0,0,0,0,0,12,0,51,23,10,4,17,4,30,40,9,17,3,52,24,4,17,5,48,24,6,17,3,46,27,7,17,6,19,26,32,0,95,2,0,3,95,2,0,3,95,0,3,2,95,2,0,3,95,2,0,3,95,2,0,3,24,2,2,72,24,2,1,73,24,1,7,68,24,2,10,64,24,2,11,63,24,3,15,58,24,2,5,69,75,1,0,24,75,0,2,23,75,1,1,23,75,1,5,19,75,1,4,20,22,1,21,56,22,0,53,25,22,0,29,49,22,0,34,44,22,2,5,71,22,1,8,69,24,0,32,44,68,1,22,8,1,0,24,0,0,5,23,48,24,0,76,0,24,1,15,60,24,0,66,8,1,1,0,0,24,0,11,16,31,18,25,4,25,36,10,0,26,1,21,51,1,30,2,14,54,0,79,0,20,1,47,0,53,0,71,0,29,0,66,0,21,13,95,0,4,1,92,0,7,1,31,0,0,1,8,23,37,31,0,0,4,11,10,44,32,1,25,33,8,1,32,0,2,8,16,42,32,0,5,13,23,27,82,2,12,4,82,6,3,9,82,4,9,5,34,1,35,30,70,0,13,17,89,1,2,0,1,0,0,1,6,54,0,0,4,1,5,1,3,6,2,0,1,2,3,3,3,12,52,0,23,25,0,0,52,0,3,5,16,9,6,7,2,53,3,35,7,2,53,3,4,10,26,4,0,2.9285714285714284,2.243155373964548,2.25,1.5,10.432432432432432,3.1228596273691602,2.7045454545454546,1.04724545565854
PRT,Portugal,Set<c3><ba>bal,2021-01-02,2021-01-01,100,0,0,0,0,16,97,639006.4613843404,57,0,0,100,0,8,92,0,1,99,0,9,91,0,14,86,0,6,94,0,3,97,0,2,98,0,3,97,0,1,99,0,4,96,0,15,85,0,7,93,0,13,87,100,0,0,0,92,0,4,4,99,0,0,1,91,1,5,3,86,0,2,12,94,0,0,6,97,0,0,3,98,0,1,1,97,0,2,1,99,0,0,1,96,0,3,1,85,0,4,11,93,0,3,4,87,0,3,10,1,2,7,90,93,0,1,6,1,2,35,62,65,0,4,31,96,2,2,0,96,0,4,0,100,0,0,0,8,0,9,83,100,0,0,0,0,0,2,0,48,34,12,4,3,4,39,45,9,3,4,62,27,4,3,6,53,34,4,3,7,53,34,3,3,8,20,48,21,0,91,2,3,4,91,4,2,3,91,2,5,2,91,4,1,4,91,4,0,5,91,4,0,5,7,7,0,86,7,7,1,85,7,7,2,84,7,7,7,79,7,3,7,83,7,7,6,80,7,7,3,83,83,2,1,14,83,2,0,15,83,2,1,14,83,2,4,11,83,1,6,10,7,0,13,80,7,0,63,30,7,0,45,48,7,0,51,42,7,0,1,92,7,0,10,83,7,2,46,45,54,0,29,12,3,2,9,0,1,3,29,58,9,1,89,1,11,1,13,75,11,0,69,15,2,0,0,3,11,0,19,18,28,24,12,0,29,53,6,0,14,0,15,69,2,15,0,16,68,1,87,0,13,0,37,0,63,0,55,0,44,1,49,0,39,12,99,0,0,1,90,0,10,0,16,1,0,2,14,18,49,16,2,0,4,13,23,42,18,2,42,28,6,4,18,0,5,15,23,39,18,0,10,21,31,20,69,1,20,10,69,9,5,17,69,9,7,15,18,0,37,45,55,0,19,26,86,3,1,0,2,1,1,1,5,50,0,0,1,3,6,1,4,4,1,0,3,5,8,2,1,11,40,2,25,33,0,0,40,0,2,6,15,15,9,12,1,42,1,31,20,6,42,1,7,21,19,7,3,2.5384615384615383,1.944576179587373,2.2857142857142856,1.2535663410560174,10.53191489361702,2.9989205581906595,2.5714285714285716,1.0930714500000422
PRT,Portugal,Aveiro,2021-01-03,2021-01-03,103,0,0,0,0,15,100,519533.6852946441,64,0,1,102,0,11,92,0,2,101,0,9,94,0,19,84,0,6,97,0,6,97,0,2,101,0,3,100,0,1,102,0,4,99,0,8,95,0,9,94,0,11,92,102,1,0,0,92,0,1,10,101,0,0,2,94,1,3,5,84,2,4,13,97,1,1,4,97,1,2,3,101,0,1,1,100,0,1,2,102,0,1,0,99,1,1,2,95,0,1,7,94,1,0,8,92,0,3,8,3,0,8,92,95,0,5,3,3,2,39,59,64,0,12,27,91,3,9,0,91,3,9,0,100,0,3,0,17,1,5,80,103,0,0,0,0,0,3,1,42,39,14,4,8,5,37,39,14,8,4,54,35,2,8,5,58,30,2,8,6,46,40,3,8,9,26,35,25,0,98,3,0,2,98,2,1,2,98,2,2,1,98,2,0,3,98,2,1,2,98,1,1,3,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,9,2,12,80,9,0,47,47,9,0,24,70,9,0,30,64,9,0,2,92,9,0,1,93,9,0,31,63,72,0,23,8,0,0,9,2,1,9,23,59,9,1,93,0,11,1,13,78,11,0,77,9,1,0,1,4,11,0,21,24,34,13,11,1,33,50,7,1,11,1,18,72,1,14,1,16,69,3,91,0,11,1,56,0,47,0,79,0,24,0,73,0,22,8,101,0,1,1,102,0,1,0,15,2,2,3,13,17,51,15,0,1,1,16,21,49,15,0,47,30,11,0,15,0,8,16,34,30,15,0,13,22,32,21,69,5,25,4,69,6,11,17,69,6,14,14,16,1,34,52,51,0,28,24,80,3,1,1,2,0,3,0,13,47,1,1,7,1,7,0,0,5,3,1,3,5,2,2,0,18,38,0,23,40,0,2,38,0,9,8,16,19,6,7,0,39,3,32,14,15,39,1,2,15,31,12,3,2.717948717948718,2.4915511755649007,1.9999999999999998,1.5275252316519468,10.591836734693878,2.722731221792274,2.892857142857143,1.4607416724959392
PRT,Portugal,Braga,2021-01-03,2021-01-03,124,0,0,0,0,14,117,574044.1494387661,79,2,0,122,1,8,115,2,0,122,0,14,110,2,22,100,1,11,112,2,3,119,1,0,123,1,4,119,2,1,121,2,5,117,1,14,109,1,4,119,2,19,103,124,0,0,0,116,0,1,7,124,0,0,0,110,2,0,12,102,1,3,18,113,1,2,8,121,0,1,2,124,0,0,0,120,0,4,0,123,0,1,0,119,0,2,3,110,1,2,11,120,0,0,4,105,0,4,15,7,0,9,108,116,0,1,7,8,4,43,69,81,1,11,31,113,1,10,0,113,7,4,0,118,0,6,0,25,0,8,91,124,0,0,0,0,0,11,0,59,32,18,4,17,5,49,49,4,17,8,68,30,1,17,10,60,31,6,17,11,52,33,11,17,11,19,44,33,0,116,3,0,5,116,3,1,4,116,2,3,3,116,3,0,5,116,3,1,4,116,3,1,4,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,19,3,15,87,19,1,57,47,19,3,37,65,19,2,42,61,19,3,1,101,19,2,3,100,20,0,44,60,80,0,34,9,1,0,20,0,0,6,42,56,20,0,104,0,21,0,9,94,21,0,91,10,1,0,0,1,21,0,17,20,47,19,22,1,37,52,10,2,22,0,17,82,3,24,1,18,78,3,109,0,15,0,68,0,56,0,87,0,36,1,83,0,25,16,123,0,1,0,121,0,3,0,24,2,1,2,13,31,51,24,3,1,2,16,31,47,25,0,46,41,7,5,25,1,8,18,32,40,25,0,13,32,36,18,79,3,34,8,79,20,12,13,79,16,18,11,27,0,48,49,75,0,21,28,106,4,2,0,2,1,2,0,7,58,2,1,7,3,11,0,2,4,2,0,1,6,3,2,0,22,43,1,32,48,0,0,43,0,8,23,18,16,11,5,0,43,1,38,18,24,43,1,2,19,43,11,5,2.2857142857142856,1.6272933428529042,1.5714285714285714,1.2724180205607036,11.241935483870968,2.7679991227076677,2.75,1.3674794331177345
PRT,Portugal,Coimbra,2021-01-03,2021-01-01,100,0,0,0,0,21,97,483318.29869625624,60,0,0,100,0,11,89,0,1,99,0,11,89,0,13,87,0,7,93,1,5,94,0,4,96,0,3,97,0,1,99,0,2,98,0,13,87,0,4,96,0,16,84,100,0,0,0,89,0,1,10,99,0,0,1,89,0,4,7,87,0,1,12,93,0,3,4,95,0,1,4,96,0,1,3,97,0,2,1,99,0,0,1,98,0,0,2,87,0,6,7,96,0,2,2,84,2,5,9,3,0,10,87,90,0,4,6,3,1,39,57,61,0,13,26,87,2,10,1,87,0,13,0,100,0,0,0,18,0,7,75,100,0,0,0,0,0,5,0,43,36,12,4,7,8,40,40,5,7,5,59,29,0,7,6,56,25,6,7,6,45,33,9,7,7,19,38,29,0,93,0,2,5,93,0,1,6,93,0,1,6,93,0,0,7,93,0,1,6,93,0,1,6,70,0,1,29,70,1,0,29,70,2,1,27,70,0,3,27,70,1,3,26,70,0,4,26,70,1,1,28,94,0,1,5,94,0,0,6,94,0,0,6,94,0,0,6,94,0,1,5,10,0,11,79,10,0,52,38,10,0,25,65,10,0,34,56,10,0,0,90,10,0,3,87,11,0,26,63,74,0,19,4,2,1,11,0,0,9,30,50,11,1,87,1,14,1,9,76,14,0,73,8,0,1,0,4,14,0,20,18,35,13,14,0,31,46,8,1,14,0,18,62,6,17,1,16,60,6,89,0,10,1,49,1,50,0,76,1,22,1,67,1,26,6,100,0,0,0,97,1,1,1,17,0,0,2,10,24,47,17,0,0,1,10,35,37,17,0,40,33,6,4,17,1,5,11,32,34,17,0,9,28,26,20,63,3,29,5,63,11,7,19,63,10,12,15,18,0,38,44,56,0,14,30,87,1,3,0,3,0,0,0,6,49,0,0,6,1,8,1,2,4,2,0,1,6,2,1,1,16,38,1,26,33,0,2,38,0,7,12,21,12,4,4,2,39,0,27,15,19,39,0,4,15,29,11,2,2.5294117647058822,2.1067754208260525,2,1.1547005383792515,9.553191489361701,3.5862570450219367,2.966666666666667,1.2208175458380293
PRT,Portugal,Faro,2021-01-03,2021-01-01,100,1,20697.1653061081,1,20697.1653061081,6,97,406882.2435077267,62,1,3,96,1,5,94,2,0,98,0,13,87,1,19,80,1,11,88,1,2,97,1,3,96,2,3,95,1,3,96,1,6,93,1,12,87,1,3,96,1,15,84,97,1,1,1,95,2,1,2,100,0,0,0,87,2,5,6,81,2,3,14,89,2,1,8,98,1,1,0,97,0,1,2,97,1,0,2,97,1,1,1,94,2,2,2,88,2,3,7,97,0,1,2,85,2,1,12,3,0,3,94,97,0,1,2,3,3,34,60,66,2,5,27,95,1,4,0,95,1,4,0,99,0,1,0,13,0,10,77,100,0,0,0,0,0,5,0,36,37,19,3,7,5,33,40,15,7,4,54,25,10,7,5,51,25,12,7,7,41,31,14,7,8,20,28,37,0,90,3,3,4,90,3,4,3,90,2,3,5,90,3,0,7,90,2,2,6,90,2,3,5,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8,0,14,78,8,0,57,35,8,0,28,64,8,0,34,58,8,0,3,89,8,0,2,90,8,1,39,52,61,0,31,4,1,3,8,2,0,3,40,47,8,1,91,0,10,1,12,77,10,0,68,16,3,0,0,3,10,0,19,21,37,13,10,0,32,47,7,4,11,0,19,69,1,14,0,12,71,3,86,0,12,2,43,1,56,0,72,1,26,1,66,1,22,11,97,1,2,0,98,0,2,0,14,1,1,2,7,21,54,14,1,2,3,6,19,55,15,2,36,31,15,1,15,0,7,13,31,34,15,0,16,20,29,20,64,0,32,4,64,11,8,17,64,11,15,10,15,2,34,49,51,1,21,27,82,2,2,1,2,3,0,0,8,49,0,2,4,3,4,1,1,4,0,0,2,1,4,11,3,11,33,0,32,35,0,0,33,0,8,7,18,13,7,12,2,36,4,32,12,16,36,2,8,25,18,9,2,2.34375,1.5985754747233853,2,1.7320508075688772,10.205357142857142,3.7872714881132206,2.6065573770491803,1.2945873026385688
