ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CR,CRI,Costa Rica,San Jos<c3><a9>,2020-12-21,2020-12-21,159,0,0,0,0,61,151,690811.9207873873,120,4,1,154,3,13,143,4,5,150,4,22,133,4,31,124,4,23,132,3,16,140,4,4,151,2,12,145,4,5,150,4,10,145,3,37,119,5,4,150,3,24,132,158,0,1,0,146,1,6,6,154,0,3,2,137,2,11,9,128,2,10,19,137,3,8,11,143,1,9,6,155,1,2,1,147,2,4,6,154,1,3,1,149,0,5,5,122,2,11,24,155,0,1,3,135,3,10,11,8,0,20,131,139,0,4,16,10,1,22,126,137,1,6,15,153,3,3,0,153,1,5,158,1,0,0,19,1,16,123,159,0,0,0,0,12,0,91,36,15,5,98,3,36,17,5,98,3,42,11,5,98,3,43,8,7,98,3,40,9,9,98,5,11,15,30,143,3,2,11,143,3,5,8,143,4,5,7,143,4,3,9,143,3,4,9,143,3,2,11,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,16,4,47,92,16,4,101,38,16,4,65,74,16,4,65,74,16,3,17,123,16,1,44,98,18,0,68,73,91,0,49,14,1,4,20,2,0,9,34,94,20,1,138,0,22,1,29,107,22,0,122,7,1,2,0,5,22,0,30,43,42,22,22,1,49,70,12,5,24,0,43,85,7,24,2,56,65,12,112,2,42,3,58,2,98,1,94,2,63,0,94,1,45,19,142,0,17,0,115,0,43,1,25,2,3,3,20,35,71,25,1,3,4,16,33,77,29,3,67,43,8,9,29,0,23,23,33,51,29,0,39,33,29,29,88,2,58,11,88,17,21,33,88,19,30,22,30,0,73,56,103,0,21,35,139,1,4,0,5,1,1,1,7,66,1,5,5,5,11,1,7,10,5,0,5,5,2,1,2,28,37,3,44,75,0,0,37,0,15,25,25,26,21,7,3,38,3,89,14,15,38,1,22,31,44,19,4,2.6447368421052633,1.8453830487167775,3.05,1.5035046776746235,13.125,5.827437997391767,3.0775862068965516,1.5274352591074418
CR,CRI,Costa Rica,Alajuela,2020-12-22,2020-12-21,100,1,6143.88973835716,1,6143.88973835716,46,90,726618.2306193432,64,1,2,97,1,12,87,1,2,97,1,17,82,1,19,80,1,21,78,3,11,86,1,3,96,1,7,92,1,3,96,0,11,89,2,26,72,1,3,96,1,11,88,98,0,2,0,88,1,5,6,98,0,1,1,83,0,8,9,81,1,8,10,79,1,10,10,89,0,7,4,97,0,0,3,93,0,3,4,97,0,1,2,89,0,3,8,74,2,9,15,97,1,1,1,89,0,8,3,10,0,19,71,82,0,5,13,13,0,12,75,88,0,3,9,97,0,1,2,97,3,0,97,2,1,0,16,0,5,79,100,0,0,0,0,14,0,52,17,10,7,17,4,46,20,13,17,4,62,9,8,17,6,50,19,8,17,3,53,20,7,17,4,17,13,49,95,1,1,3,95,1,0,4,95,1,2,2,95,1,1,3,95,1,1,3,95,0,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,1,35,46,18,2,57,23,18,1,33,48,18,1,40,41,18,1,15,66,18,0,23,59,18,0,42,40,58,0,28,7,2,5,20,0,0,4,30,46,20,0,80,0,20,1,13,66,20,0,66,12,1,0,0,1,20,1,17,31,23,8,22,0,29,33,11,5,23,1,20,49,7,27,1,28,36,8,65,3,30,2,43,4,51,2,67,3,29,1,60,2,24,14,85,1,10,4,77,2,21,0,27,1,2,4,7,12,47,27,0,1,7,9,12,44,29,0,32,28,5,6,29,0,6,17,19,29,29,0,16,21,13,21,63,0,32,5,63,11,8,18,63,11,14,12,29,1,40,30,70,0,12,18,88,1,1,0,2,0,1,0,7,48,0,1,4,1,3,0,1,4,5,0,2,10,0,1,0,20,34,0,32,34,0,0,34,0,15,15,19,7,5,3,2,36,1,33,13,17,36,0,4,25,26,9,0,2.697674418604651,2.1770981529695312,2.588235294117647,1.2776356840572631,10.983870967741936,5.3515492945436085,3.338709677419355,1.5143418024537625
CR,CRI,Costa Rica,Cartago,2020-12-22,2020-12-21,100,0,0,0,0,40,95,637430.3457986648,70,1,0,99,1,17,82,1,5,94,1,11,88,1,22,77,1,6,93,1,10,89,2,1,97,1,8,91,1,0,99,2,7,91,1,21,78,1,3,96,1,19,80,100,0,0,0,83,1,5,11,95,0,2,3,89,0,4,7,78,0,9,13,94,1,1,4,90,1,3,6,99,0,0,1,92,0,4,4,100,0,0,0,93,1,4,2,79,1,6,14,97,1,2,0,81,1,10,8,5,0,14,81,86,0,1,13,7,3,14,76,86,0,2,12,98,0,2,0,98,1,1,99,1,0,0,12,3,10,75,100,0,0,0,0,8,0,57,21,10,4,24,3,44,23,6,24,3,54,14,5,24,3,49,16,8,24,3,49,18,6,24,4,19,21,32,90,2,2,6,90,2,3,5,90,2,1,7,90,2,1,7,90,2,0,8,90,1,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,2,37,50,11,1,60,28,11,1,41,47,11,1,53,35,11,1,13,75,11,1,26,62,12,0,51,37,49,0,35,12,1,3,12,2,0,1,28,57,12,1,86,1,13,0,13,74,13,0,70,15,1,0,0,1,13,0,12,27,35,13,15,0,20,51,12,2,15,0,19,63,3,18,2,24,45,11,63,3,32,2,40,3,57,0,59,1,40,0,47,2,34,17,87,1,10,2,74,1,24,1,18,1,1,2,10,15,53,18,0,1,6,8,22,45,19,0,32,33,12,4,19,0,10,18,21,32,19,0,22,25,14,20,53,3,42,2,53,13,11,23,53,11,18,18,19,0,39,42,58,1,20,21,81,1,4,2,1,5,0,0,6,42,0,7,6,5,4,1,3,0,1,0,5,8,2,1,2,13,26,0,37,37,0,0,26,0,13,24,16,11,6,4,0,28,1,40,22,9,28,1,12,18,23,12,6,2.56,1.8534028274544974,3.166666666666666,1.8989630344113089,12.36111111111111,5.233439489369194,3.211267605633803,1.5484138700872163
CR,CRI,Costa Rica,Heredia,2020-12-22,2020-12-21,100,0,0,0,0,21,89,521451.6443913276,62,1,2,97,1,7,92,1,3,96,1,19,80,1,19,80,1,20,79,0,15,85,1,0,99,1,7,92,1,3,96,1,5,94,1,26,73,1,13,86,1,17,82,98,0,1,1,93,0,3,4,97,0,1,2,81,0,8,11,81,0,10,9,80,2,7,11,85,0,7,8,100,0,0,0,93,0,3,4,97,0,1,2,95,0,2,3,75,0,9,16,88,2,5,5,84,0,11,5,11,0,10,79,90,0,3,7,11,3,7,79,93,0,0,7,100,0,0,0,100,0,0,100,0,0,0,14,2,12,72,100,0,0,0,0,13,0,46,29,7,5,20,5,40,22,13,20,2,58,14,6,20,5,58,9,8,20,6,55,10,9,20,6,14,19,41,88,1,4,7,88,1,3,8,88,1,3,8,88,1,4,7,88,0,4,8,88,1,5,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,1,33,48,18,0,59,23,18,1,31,50,18,1,47,34,18,1,5,76,18,1,17,64,18,0,43,39,57,0,28,10,5,0,21,0,0,0,30,49,21,0,79,0,22,1,11,66,22,0,71,3,1,0,0,3,22,0,14,25,26,13,22,0,27,39,10,2,22,0,24,53,1,27,0,33,37,3,67,0,33,0,41,0,58,1,69,0,31,0,53,0,34,13,95,0,5,0,83,0,17,0,27,0,1,3,8,19,42,27,0,1,3,6,22,41,28,0,33,27,4,8,28,1,5,14,19,33,28,0,11,24,18,19,66,1,25,8,66,8,8,18,66,6,14,14,29,2,35,34,66,0,8,26,94,1,0,0,2,1,0,0,2,59,0,1,2,0,4,1,3,5,2,0,5,6,3,1,1,7,34,0,26,38,1,1,34,0,7,21,14,10,8,4,2,36,0,44,13,7,36,0,14,20,20,7,3,2.4285714285714284,1.6457014715109586,2.2222222222222223,1.2018504251546631,12.8,5.624166604929125,2.9365079365079363,1.674023700770825
CR,CRI,Costa Rica,San Jos<c3><a9>,2020-12-22,2020-12-22,196,2,4939.56955478963,1,1947.25088351685,61,188,688113.3211199925,146,4,2,190,4,28,164,3,3,190,3,38,155,2,41,153,3,26,167,1,20,175,2,6,188,3,7,186,4,3,189,2,12,182,2,47,147,3,6,187,3,34,159,194,0,2,0,168,0,9,19,193,0,2,1,158,0,18,20,155,0,15,26,170,0,10,16,176,0,12,8,190,0,5,1,189,0,4,3,193,0,3,0,184,0,7,5,149,0,23,24,190,0,4,2,162,0,17,17,8,0,28,160,170,0,7,19,11,5,30,150,166,1,4,25,192,3,1,0,192,2,2,194,0,2,0,21,2,12,161,196,0,0,0,0,12,0,99,62,19,4,18,11,87,58,22,18,14,122,34,8,18,11,111,40,16,18,12,115,38,13,18,20,18,49,91,185,6,2,3,185,6,1,4,185,3,4,4,185,5,1,5,185,5,2,4,185,5,1,5,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,21,2,63,110,21,1,130,44,21,3,80,92,21,1,100,74,21,3,23,149,21,3,54,118,22,0,96,78,100,0,66,21,5,4,24,2,0,12,52,106,24,0,172,0,27,0,32,137,27,0,137,23,2,1,0,6,27,0,36,49,57,27,27,0,54,81,28,6,27,0,41,117,11,31,4,57,92,12,133,2,60,1,66,3,127,0,116,2,77,1,96,2,66,32,173,0,16,7,142,2,51,1,36,0,1,7,22,37,93,36,0,2,9,26,40,83,37,0,66,65,20,8,37,0,19,33,40,67,37,0,39,39,42,39,119,3,65,9,119,21,18,38,119,19,29,29,40,2,79,75,121,1,28,46,168,0,5,0,5,1,2,0,15,90,1,5,5,7,12,0,6,6,1,0,11,12,4,4,5,27,48,4,63,81,0,0,48,1,22,32,37,25,20,9,2,50,2,94,30,20,50,1,22,45,55,17,6,2.6161616161616164,1.7362113968149198,2.5238095238095237,1.6315344807587615,12.374999999999998,5.547021222642333,2.986111111111111,1.4289030029234986
CR,CRI,Costa Rica,Alajuela,2020-12-23,2020-12-22,100,0,0,0,0,35,96,610553.3051879766,64,1,0,99,1,15,84,2,2,96,1,19,80,2,26,72,1,14,85,1,12,87,1,5,94,1,6,93,1,3,96,2,5,93,1,22,77,1,5,94,1,11,88,100,0,0,0,85,1,7,7,98,0,1,1,81,0,8,11,74,1,14,11,86,1,4,9,88,1,5,6,95,0,1,4,94,0,1,5,97,0,2,1,95,0,3,2,78,1,11,10,95,2,1,2,89,0,10,1,3,1,15,81,89,0,3,8,7,0,12,81,88,0,2,10,98,2,0,0,98,1,1,99,0,1,0,9,1,6,84,100,0,0,0,0,7,0,41,26,17,9,9,5,41,26,19,9,7,55,19,10,9,5,54,21,11,9,3,52,22,14,9,4,17,25,45,94,2,1,3,94,3,1,2,94,2,1,3,94,3,1,2,94,1,1,4,94,3,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,2,26,60,12,1,63,24,12,2,27,59,12,2,42,44,12,1,8,79,12,0,25,63,13,0,48,39,52,0,29,14,3,2,14,2,0,3,29,52,14,0,86,0,16,0,12,72,16,0,67,10,1,2,1,3,16,1,22,27,22,12,17,2,27,43,6,5,19,0,24,45,12,20,1,29,35,15,74,0,24,2,37,1,60,2,73,1,23,3,58,1,25,16,92,1,5,2,75,1,23,1,21,1,0,7,7,12,52,21,0,1,2,9,15,52,22,0,29,31,8,10,22,0,8,20,21,29,22,0,15,27,16,20,59,2,29,10,59,3,15,23,59,4,13,24,25,0,37,38,62,0,9,29,91,0,1,0,1,2,1,1,3,56,0,4,7,2,4,0,3,2,0,1,3,5,3,2,0,8,32,2,35,31,0,0,32,0,14,12,22,5,8,6,1,34,3,22,24,17,34,0,11,23,21,9,2,2.6136363636363638,1.907340887215047,2.8181818181818183,1.4709304414677002,11.892307692307693,5.223513774639266,2.96875,1.6900150276405217
CR,CRI,Costa Rica,Cartago,2020-12-23,2020-12-22,100,0,0,0,0,42,92,567803.7589478373,70,2,1,97,2,16,82,2,5,93,2,13,85,2,23,75,2,11,87,2,14,84,2,2,96,2,6,92,2,2,96,2,9,89,1,26,73,2,6,92,1,21,78,99,0,1,0,84,1,8,7,95,0,2,3,87,1,6,6,77,1,10,12,89,1,5,5,86,2,4,8,98,0,1,1,94,0,3,3,98,0,1,1,91,1,7,1,74,2,13,11,94,2,3,1,79,3,9,9,8,0,18,74,82,0,5,13,8,3,12,77,88,0,2,10,98,0,2,0,98,0,2,100,0,0,0,13,3,9,75,100,0,0,0,0,9,0,56,22,7,6,12,3,51,20,14,12,3,64,14,7,12,4,61,13,10,12,5,58,16,9,12,6,18,25,39,91,2,0,7,91,1,2,6,91,1,2,6,91,2,2,5,91,1,1,7,91,1,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,1,34,53,12,1,61,26,12,1,39,48,12,1,53,34,12,1,9,78,12,1,31,56,13,1,47,39,53,0,30,11,2,4,14,0,0,1,31,54,14,0,85,1,14,1,14,71,14,0,71,13,0,0,0,2,14,0,9,27,31,19,15,0,24,51,8,2,15,0,13,70,2,17,1,20,53,9,66,1,32,1,39,2,58,1,61,2,37,0,47,2,35,16,91,1,7,1,69,1,30,0,18,1,0,3,9,17,52,18,0,0,8,6,18,50,19,0,39,30,9,3,19,0,10,23,20,28,19,0,17,33,17,14,50,4,42,4,50,17,14,19,50,13,25,12,20,0,45,35,65,0,17,18,86,0,3,1,3,3,0,0,4,41,0,7,4,5,7,1,1,1,1,0,4,4,2,0,1,21,29,1,33,37,0,0,29,1,10,21,17,14,6,2,0,29,0,34,29,8,29,0,10,14,28,15,4,2.909090909090909,2.0025236603099126,2.5,1.591644851508443,12.114285714285714,4.918297269698762,3.323943661971831,1.5002347234190099
CR,CRI,Costa Rica,Heredia,2020-12-23,2020-12-22,100,1,5286.57544870942,0,0,28,94,456471.3412679289,68,0,2,98,0,12,88,0,5,95,1,23,76,0,21,79,1,18,81,2,9,89,0,5,95,0,6,94,1,3,96,0,7,93,0,27,73,0,8,92,0,23,77,98,1,0,1,88,1,4,7,95,1,1,3,77,1,7,15,79,1,10,10,82,1,8,9,91,0,4,5,95,1,2,2,94,1,2,3,97,0,2,1,93,1,2,4,73,0,9,18,92,1,3,4,77,1,13,9,6,0,12,82,88,0,3,9,6,2,12,80,88,0,0,12,100,0,0,0,100,0,0,100,0,0,0,8,2,9,81,100,0,0,0,0,7,0,50,29,12,2,11,4,45,29,11,11,3,60,20,6,11,3,61,18,7,11,2,58,18,11,11,3,17,25,44,92,5,0,3,92,5,0,3,92,1,3,4,92,5,2,1,92,4,1,3,92,5,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,0,25,63,12,0,62,26,12,0,47,41,12,0,45,43,12,0,5,83,12,0,17,71,12,0,39,49,61,0,30,8,1,0,12,0,0,1,27,60,12,0,88,0,14,3,12,71,14,0,80,2,2,0,0,2,14,0,20,20,32,14,14,0,30,42,12,2,15,0,23,58,4,18,1,34,40,7,75,0,23,2,38,1,61,0,53,1,46,0,55,0,36,9,95,0,5,0,83,0,17,0,18,2,0,0,15,19,46,18,0,1,1,12,27,41,18,0,41,30,4,7,18,0,8,12,22,40,18,0,14,25,20,23,61,1,29,9,61,13,6,20,61,10,10,19,18,1,46,35,65,0,9,26,96,1,1,0,1,0,0,0,1,51,0,2,2,0,5,1,3,4,2,0,5,6,5,2,1,11,29,0,30,40,1,0,29,0,13,20,14,13,9,1,1,31,0,41,21,7,31,0,12,27,23,4,3,2.46,1.5011560171265017,2.4545454545454546,2.018099916438052,11.78125,5.229552015776713,2.7794117647058822,1.5243847619764812
CR,CRI,Costa Rica,San Jos<c3><a9>,2020-12-23,2020-12-23,212,3,11100.381113326659,0,0,60,198,687947.7018553688,150,4,5,203,2,24,186,2,6,204,3,38,171,3,46,163,4,33,175,5,20,187,4,7,201,3,14,195,2,3,207,4,22,186,3,56,153,2,11,199,3,33,176,207,0,4,1,188,1,9,14,206,1,3,2,174,2,21,15,166,0,14,32,179,1,13,19,192,0,10,10,205,1,5,1,198,1,2,11,209,0,2,1,190,0,12,10,156,1,21,34,201,0,6,5,179,0,21,12,13,1,31,167,183,0,10,19,16,4,35,157,178,2,7,25,205,0,7,0,205,5,2,207,1,4,0,30,1,13,168,212,0,0,0,0,19,0,112,55,19,7,25,4,94,56,33,25,13,129,30,15,25,15,115,34,23,25,9,118,42,18,25,12,41,60,74,199,3,1,9,199,3,2,8,199,3,5,5,199,3,1,9,199,4,1,8,199,3,3,7,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,28,1,58,125,28,0,114,70,28,1,76,107,28,1,77,106,28,0,12,172,28,1,47,136,33,0,83,96,129,1,63,10,4,5,35,0,0,7,58,112,35,0,177,0,35,1,28,148,35,0,154,15,0,2,0,6,35,1,42,55,50,29,35,1,66,90,17,3,38,1,51,111,11,44,3,67,80,18,156,0,55,1,99,1,112,0,138,1,71,2,136,1,54,21,200,0,9,3,166,1,43,2,46,1,3,7,20,49,86,46,0,2,11,17,39,97,48,1,90,56,7,10,48,0,26,31,43,64,48,0,41,49,40,34,122,5,71,14,122,26,31,33,122,19,38,33,51,1,74,86,126,0,29,57,186,0,8,0,2,6,0,0,10,113,0,1,7,3,11,1,3,5,6,0,5,16,5,3,4,29,58,2,67,85,0,0,58,1,25,28,33,36,18,7,6,61,2,105,27,17,61,2,30,43,55,12,9,2.6804123711340204,1.7111545307711675,2.16,1.34412301024373,12.26056338028169,6.032629453237446,2.8445945945945947,1.3934386470526194
CR,CRI,Costa Rica,Alajuela,2020-12-24,2020-12-23,100,0,0,0,0,22,92,650704.0029409203,61,2,2,96,2,8,90,2,5,93,2,18,80,0,17,83,2,15,83,1,10,89,3,1,96,2,4,94,1,6,93,2,12,86,1,29,70,2,5,93,2,14,84,98,0,1,1,92,0,5,3,95,0,2,3,82,0,8,10,83,1,6,10,85,0,4,11,90,1,6,3,99,0,0,1,96,0,2,2,94,0,5,1,88,0,5,7,71,1,11,17,95,0,3,2,86,1,8,5,7,1,11,81,90,0,2,8,10,0,13,77,87,0,3,10,97,2,1,0,97,1,2,99,0,1,0,13,2,5,80,100,0,0,0,0,10,0,46,29,11,4,12,4,50,27,7,12,3,64,16,5,12,7,51,16,14,12,4,52,22,10,12,6,14,25,43,95,0,1,4,95,1,0,4,95,1,2,2,95,1,0,4,95,1,0,4,95,1,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,1,29,57,13,0,72,15,13,1,41,45,13,0,54,33,13,0,11,76,13,0,26,61,15,0,47,38,53,0,30,8,7,2,17,0,3,2,31,47,17,0,82,1,17,0,9,74,17,0,74,6,0,1,0,2,17,1,25,25,21,11,19,1,30,36,11,3,19,0,24,46,11,20,0,28,43,9,71,0,27,2,28,1,71,0,59,1,38,2,46,1,35,18,89,1,8,2,74,1,25,0,24,1,1,4,15,14,41,24,0,6,4,9,21,36,25,1,40,21,6,7,25,0,14,20,14,27,25,0,28,18,13,16,54,2,39,5,54,10,12,24,54,12,15,19,28,1,33,38,62,0,15,23,87,1,4,0,1,1,0,0,6,56,0,5,4,2,4,1,1,1,4,0,3,2,1,3,1,12,35,0,30,35,0,0,35,0,18,14,20,4,5,4,0,38,1,23,20,18,38,0,7,22,21,8,4,2.72,1.8410289935528013,2.375,1.685018016012207,11.101694915254237,5.619224744829551,3.033333333333333,1.4493325952835714
