ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AU,AUS,Australia,New South Wales,2020-12-21,2020-12-21,410,2,16258.494855956309,2,16258.494855956309,40,403,4490270.559507485,337,1,2,407,1,37,372,1,5,404,1,66,343,1,49,360,2,51,357,2,19,389,1,5,404,2,12,396,1,3,406,1,12,397,1,64,345,1,1,408,0,34,376,408,0,1,1,373,0,16,21,405,1,2,2,344,1,15,50,361,2,13,34,359,1,12,38,391,1,10,8,405,1,2,2,398,0,8,4,407,1,2,0,398,2,7,3,346,1,17,46,409,0,1,0,376,1,10,23,7,0,27,376,385,0,18,7,9,5,188,208,222,0,30,158,380,0,25,5,380,0,30,0,410,0,0,0,45,2,22,341,410,0,0,0,0,0,11,0,168,140,58,33,229,4,55,103,19,229,6,98,69,8,229,7,84,70,20,229,8,83,75,15,229,8,26,82,65,0,389,5,1,15,389,3,2,16,389,5,0,16,389,4,11,6,389,4,3,14,389,4,2,15,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,410,0,0,0,27,2,147,234,27,1,262,120,27,1,207,175,27,2,204,177,27,2,57,324,27,1,49,333,32,0,204,174,206,0,121,36,20,27,34,2,2,25,117,230,34,2,372,2,38,4,67,301,38,0,40,48,64,46,162,12,38,1,67,94,125,85,40,0,58,152,121,39,410,410,264,2,58,86,149,5,99,157,204,5,63,138,206,4,36,164,353,1,13,43,361,1,29,19,44,2,6,6,50,67,235,44,0,6,12,44,83,221,52,4,60,132,107,55,52,1,12,15,81,249,52,1,35,64,88,170,311,4,67,28,311,7,22,70,311,7,33,59,53,2,238,117,293,0,44,73,370,0,4,0,8,0,0,3,25,133,0,5,20,15,28,0,14,42,11,3,10,39,8,7,11,64,62,7,142,198,1,0,62,0,34,87,65,63,56,33,10,70,9,144,123,64,70,4,57,83,107,59,30,4.286585365853658,5.660936257518395,1.565217391304348,0.9451352455659809,13.786567164179104,4.422651801668183,3.0030395136778116,1.5131506466745042
AU,AUS,Australia,Queensland,2020-12-21,2020-12-21,305,0,0,0,0,8,298,2744744.4934652527,258,0,2,303,0,20,285,0,2,303,0,59,246,0,31,274,0,55,250,0,20,285,0,5,300,0,27,278,0,1,304,0,12,293,0,46,259,0,4,301,0,36,269,303,0,2,0,285,0,9,11,303,0,1,1,246,0,9,50,274,0,11,20,250,0,12,43,285,0,11,9,301,0,3,1,278,0,15,12,304,0,1,0,293,0,5,7,260,0,8,37,301,0,4,0,269,0,13,23,6,1,6,292,299,0,4,2,6,2,82,215,223,0,3,79,302,0,2,1,302,0,3,0,305,0,0,0,11,3,4,287,305,0,0,0,0,0,9,0,112,101,56,27,165,5,44,80,11,165,6,65,58,11,165,6,69,50,15,165,3,64,60,13,165,7,21,65,47,0,302,0,0,3,302,0,0,3,302,0,0,3,302,0,1,2,302,0,0,3,302,0,1,2,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,305,0,0,0,17,2,111,175,17,1,219,68,17,3,188,97,17,2,184,102,17,2,73,213,17,2,42,244,21,0,177,107,128,0,96,33,17,31,24,0,0,18,81,182,24,1,280,0,28,3,65,209,28,0,3,6,7,22,226,13,28,0,53,54,96,74,29,4,37,82,90,63,305,305,196,1,9,99,88,1,12,204,119,1,10,175,123,1,9,172,233,0,9,63,263,1,8,33,31,2,2,6,27,41,196,31,2,3,10,24,38,197,34,1,28,80,91,71,34,1,6,10,41,213,34,0,11,47,73,140,249,1,40,15,249,4,6,46,249,3,16,37,37,1,163,104,201,0,29,75,277,0,1,0,4,5,0,1,17,115,0,7,13,9,27,1,10,31,5,4,7,19,5,5,9,38,45,5,88,163,1,3,45,1,35,48,50,50,37,29,10,46,5,139,77,38,46,3,59,64,65,54,14,5.152,7.734564232777936,1.4,0.5477225575051661,13.496078431372549,3.7962352250075444,2.8622047244094486,1.5631340330736472
AU,AUS,Australia,South Australia,2020-12-21,2020-12-21,120,0,0,0,0,2,116,876447.1302823226,105,0,1,119,0,10,110,0,1,119,0,17,103,0,14,106,0,22,98,0,6,114,0,1,119,0,5,115,0,0,120,0,4,116,0,19,101,0,1,119,0,14,106,119,0,0,1,110,0,1,9,119,0,0,1,103,0,4,13,106,0,4,10,98,0,9,13,114,0,6,0,119,0,0,1,115,0,2,3,120,0,0,0,116,0,3,1,101,0,8,11,119,0,0,1,106,0,3,11,4,0,2,114,118,0,2,0,5,1,38,76,82,0,6,32,114,0,6,0,114,0,6,0,120,0,0,0,12,1,3,104,120,0,0,0,0,0,6,0,55,35,13,11,64,2,12,36,6,64,3,30,21,2,64,4,18,25,9,64,4,25,22,5,64,4,4,30,18,0,117,0,1,2,117,0,1,2,117,1,0,2,117,1,0,2,117,1,0,2,117,1,1,1,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,120,0,0,0,7,0,45,68,7,0,86,27,7,0,77,36,7,1,74,38,7,0,29,84,7,1,14,98,8,0,74,38,46,0,43,14,8,9,9,0,0,4,32,75,9,0,111,0,9,0,33,78,9,0,9,18,25,26,30,3,9,0,17,23,44,27,9,2,16,37,41,15,120,120,75,0,14,31,34,1,40,45,43,1,19,57,46,1,13,60,91,0,4,25,106,0,6,8,9,0,1,4,15,19,72,9,0,3,7,11,21,69,9,1,15,29,44,22,9,0,2,6,11,92,9,0,7,17,32,55,96,0,18,6,96,1,8,15,96,2,7,15,9,1,66,44,76,1,12,31,109,0,1,1,2,2,0,1,4,44,1,4,2,3,9,1,3,12,3,1,1,4,5,0,3,24,13,1,35,71,0,0,13,0,9,24,14,21,19,12,8,15,1,52,34,18,15,1,25,22,31,23,3,5.744047619047619,7.152197363022664,1,0,13.594059405940595,4.067378069031159,2.6893203883495147,1.291215616732529
AU,AUS,Australia,Victoria,2020-12-21,2020-12-21,295,0,0,0,0,12,286,3358404.1289887205,240,0,0,295,0,21,274,0,4,291,0,50,245,0,45,250,0,29,266,0,13,282,0,2,293,0,11,284,0,1,294,0,12,283,1,35,259,0,2,293,0,22,273,295,0,0,0,274,1,8,12,291,0,2,2,245,1,12,37,250,1,14,30,266,0,6,23,282,0,5,8,293,0,1,1,284,0,3,8,294,0,0,1,283,0,1,11,260,0,7,28,293,0,1,1,273,0,5,17,9,0,11,275,285,0,4,6,11,3,132,149,164,2,17,112,278,0,14,3,278,0,16,1,295,0,0,0,34,4,6,251,295,0,0,0,0,0,16,0,118,100,47,14,163,2,33,84,13,163,4,59,63,6,163,3,56,58,15,163,2,59,60,11,163,2,17,76,37,0,289,3,0,3,289,3,1,2,289,2,2,2,289,2,3,1,289,3,0,3,289,3,0,3,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,295,0,0,0,22,1,94,178,22,0,194,79,22,1,178,94,22,0,170,103,22,0,61,212,22,1,35,237,26,1,160,108,135,0,96,30,19,15,28,0,4,17,88,158,28,0,264,3,32,5,61,197,32,0,86,87,54,27,7,2,32,2,37,66,100,58,34,1,38,85,89,48,295,295,201,0,60,34,102,2,182,9,117,2,142,34,127,2,69,97,235,0,31,29,260,0,32,3,36,0,0,7,27,42,183,36,0,2,6,31,53,167,37,2,32,87,89,48,37,0,1,12,40,205,37,0,13,37,68,140,245,4,31,15,245,5,7,38,245,3,19,28,37,0,177,81,214,1,21,59,275,0,3,2,1,2,2,2,8,100,0,5,14,9,28,1,8,31,6,1,9,23,8,4,10,38,49,4,104,135,2,1,49,0,22,44,49,49,47,25,10,53,6,118,83,35,53,4,62,65,66,38,7,4.60377358490566,7.337677386882191,0.8888888888888888,0.6009252125773314,14.20886075949367,3.9218593136792452,2.9067796610169494,1.4141370611931097
AU,AUS,Australia,Western Australia,2020-12-21,2020-12-21,171,0,0,0,0,16,166,1425474.6857810637,138,0,2,169,0,16,155,0,2,169,0,34,137,0,20,151,0,27,144,0,14,157,0,2,169,0,5,166,0,0,171,0,5,166,0,27,144,0,3,168,0,16,155,169,0,1,1,155,1,4,11,169,1,0,1,137,3,2,29,151,3,3,14,144,2,7,18,157,3,7,4,169,0,1,1,166,1,3,1,171,0,0,0,166,0,3,2,144,2,9,16,168,0,3,0,155,1,4,11,5,0,10,156,162,0,7,2,8,1,37,125,134,0,8,29,163,0,8,0,163,0,8,0,171,0,0,0,18,4,1,148,171,0,0,0,0,0,11,0,72,55,21,12,112,3,21,31,4,112,2,26,31,0,112,2,28,26,3,112,1,26,27,5,112,3,13,32,11,0,170,0,0,1,170,0,0,1,170,0,0,1,170,0,0,1,170,0,0,1,170,0,1,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,171,0,0,0,14,0,74,83,14,0,114,43,14,0,123,34,14,0,116,41,14,1,61,95,14,1,28,128,18,0,104,49,67,0,39,24,22,19,18,1,0,12,55,85,18,0,153,0,19,2,41,109,19,0,1,1,1,6,136,7,19,0,18,21,55,58,21,0,11,27,43,69,171,171,98,0,7,66,58,1,8,104,49,1,9,112,56,1,9,105,111,1,5,54,143,0,2,26,24,0,1,3,12,17,114,24,0,2,4,16,22,103,25,1,15,50,39,41,25,0,0,6,15,125,25,0,4,32,22,88,135,1,26,9,135,5,2,29,135,3,12,21,26,1,100,44,127,0,14,30,158,0,3,1,0,0,0,0,9,59,0,3,5,8,11,3,4,21,3,11,2,9,5,1,0,26,29,0,59,80,1,2,29,0,12,34,18,25,30,19,4,33,2,77,43,16,33,0,33,31,40,28,6,5.418461538461538,8.040967220810805,1.666666666666667,1.118033988749895,13.719424460431656,4.144192333994223,2.785185185185185,1.3950080788573918
AU,AUS,Australia,-99,2020-12-22,2020-12-21,100,0,0,0,0,1,95,1240338.2593843162,67,2,1,97,2,5,93,2,1,97,2,13,85,2,8,90,0,12,88,1,0,99,2,0,98,3,2,95,2,0,98,3,3,94,2,8,90,2,1,97,2,8,90,99,0,0,1,95,0,2,3,99,0,0,1,87,0,3,10,92,0,0,8,88,0,4,8,100,0,0,0,100,0,0,0,98,0,1,1,100,0,0,0,97,0,2,1,92,0,0,8,99,0,1,0,92,0,2,6,4,1,1,94,99,0,1,0,4,6,31,59,69,0,6,25,94,0,6,0,94,0,6,0,100,0,0,0,16,1,2,81,100,0,0,0,0,0,5,1,40,32,16,6,8,4,31,46,11,8,1,49,34,8,8,4,40,35,13,8,5,44,31,12,8,6,15,47,24,0,98,0,1,1,98,0,1,1,98,0,1,1,98,0,1,1,98,0,1,1,98,0,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13,3,30,54,13,1,70,16,13,1,53,33,13,1,49,37,13,0,13,74,13,2,6,79,15,0,40,45,60,0,23,6,5,6,16,0,0,4,20,60,16,1,82,1,19,3,14,64,19,0,16,14,7,9,32,3,19,0,24,12,30,15,19,1,14,30,22,14,100,100,70,1,11,18,31,1,34,34,48,1,16,35,51,1,9,39,88,0,2,10,94,0,3,3,22,0,0,1,7,10,60,22,0,0,0,14,12,52,24,0,13,24,24,15,24,0,2,8,15,51,24,0,9,12,19,36,79,5,10,6,79,6,6,9,79,1,15,5,26,0,32,42,58,0,12,30,89,0,3,0,2,0,0,0,6,58,0,1,2,3,6,1,3,9,3,0,2,1,1,1,1,8,30,1,22,45,0,2,30,0,2,5,8,12,24,14,5,33,4,18,29,16,33,2,16,16,15,13,5,4.615384615384615,7.975346628589495,1,0,13.492063492063492,3.7411099606719955,2.5,1.247219128924647
AU,AUS,Australia,Australian Capital Territory,2020-12-22,2020-12-21,100,0,0,0,0,7,96,592893.504156568,76,0,0,100,0,8,92,0,2,98,0,20,80,0,10,90,0,16,84,0,7,93,0,1,99,0,5,95,0,2,98,0,1,99,0,16,84,0,1,99,0,9,91,100,0,0,0,92,1,0,7,98,0,0,2,80,0,1,19,90,0,2,8,84,0,4,12,93,0,3,4,99,0,1,0,95,0,3,2,98,0,0,2,99,0,0,1,84,0,6,10,99,1,0,0,91,1,6,2,4,0,4,92,97,0,3,0,5,3,29,63,71,1,4,24,96,0,4,0,96,0,4,0,100,0,0,0,14,1,4,81,100,0,0,0,0,0,7,0,37,35,14,7,35,1,18,41,5,35,1,32,28,4,35,1,26,31,7,35,1,28,26,10,35,1,7,36,21,0,96,0,1,3,96,0,0,4,96,0,0,4,96,0,0,4,96,0,0,4,96,0,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,0,28,61,11,0,64,25,11,0,58,31,11,0,51,38,11,0,19,70,11,2,12,75,13,0,47,40,53,0,24,13,5,5,13,1,1,2,33,50,13,1,86,0,14,1,15,70,14,0,5,2,3,13,60,3,14,0,20,14,33,19,14,1,20,25,27,13,100,100,73,2,2,23,37,2,13,48,43,2,7,48,50,2,5,43,82,2,2,14,88,1,4,7,14,0,2,5,11,10,58,14,0,3,6,8,15,54,16,1,12,33,27,11,16,0,1,7,17,59,16,0,3,10,31,40,88,1,8,3,88,1,5,6,88,1,5,6,17,2,50,31,69,0,6,25,94,0,0,0,1,1,1,0,3,44,0,1,1,3,7,1,1,6,0,0,1,7,12,0,1,15,21,1,25,50,1,2,21,1,11,15,10,15,13,12,2,23,3,59,12,3,23,2,19,19,16,11,10,7.666666666666668,10.967755771654778,2,1,14.10958904109589,4.328720762520751,2.7162162162162162,1.3899864025181998
AU,AUS,Australia,New South Wales,2020-12-22,2020-12-22,392,0,0,0,0,24,384,4510513.346299411,309,0,2,390,0,25,367,0,4,388,0,74,318,0,43,349,0,38,354,0,23,369,0,8,384,0,14,378,0,3,389,0,16,376,0,56,336,0,1,391,0,37,355,390,0,1,1,367,0,10,15,388,0,2,2,318,0,11,63,349,0,15,28,354,0,7,31,369,0,14,9,384,0,4,4,378,0,7,7,389,0,2,1,376,0,5,11,336,0,8,48,391,0,0,1,355,0,10,27,7,1,18,366,375,1,12,4,8,2,168,214,225,3,32,132,360,0,31,1,360,1,31,0,391,1,0,0,47,6,17,322,392,0,0,0,0,0,13,0,169,133,56,21,24,5,119,217,27,24,6,204,141,17,24,5,192,138,33,24,4,185,146,33,24,5,60,182,121,0,375,2,6,9,375,4,0,13,375,4,0,13,375,2,8,7,375,3,2,12,375,4,1,12,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,392,0,0,0,28,1,133,230,28,0,265,99,28,1,212,151,28,0,190,174,28,1,54,309,28,0,47,317,33,0,181,178,211,0,120,30,15,16,38,1,5,26,102,220,38,0,353,1,47,1,73,271,47,0,35,62,53,48,134,13,47,0,81,69,138,57,50,2,52,150,101,37,392,392,261,1,53,77,129,2,113,148,181,2,64,145,203,1,33,155,339,1,9,43,345,2,31,14,53,1,5,15,31,60,227,53,0,5,17,33,72,212,58,1,53,119,110,51,58,0,6,17,72,239,58,0,26,55,101,152,312,1,56,23,312,5,17,58,312,5,28,47,60,1,205,126,266,0,47,79,349,0,4,2,4,2,2,2,27,148,0,4,16,6,29,2,18,33,10,2,6,33,9,5,12,59,74,3,130,183,0,2,74,0,39,87,55,47,56,26,8,78,4,157,117,36,78,0,65,106,92,40,11,5.069444444444445,7.264871680102859,1.2941176470588236,0.6859943405700354,13.779220779220779,4.320803027738936,2.870967741935484,1.3733933946367216
AU,AUS,Australia,Queensland,2020-12-22,2020-12-22,304,2,12149.636705072491,2,12149.636705072491,16,296,2977244.454880605,238,1,3,300,1,22,281,1,11,292,1,60,243,1,34,269,1,51,252,1,10,293,1,7,296,1,17,286,1,3,300,1,7,296,0,52,252,1,0,303,1,32,271,301,0,2,1,282,1,6,15,293,1,4,6,244,0,11,49,270,1,8,25,253,2,17,32,294,0,5,5,297,0,1,6,287,0,5,12,301,0,2,1,297,0,1,6,252,1,13,38,304,0,0,0,272,1,11,20,8,0,10,286,294,0,7,3,9,6,103,186,202,0,6,96,298,0,5,1,298,0,6,0,304,0,0,0,23,2,6,273,304,0,0,0,0,0,16,1,118,88,53,28,21,4,67,183,29,21,3,130,129,21,21,2,122,116,43,21,2,126,111,44,21,10,32,131,110,0,301,0,0,3,301,0,1,2,301,0,0,3,301,0,1,2,301,0,0,3,301,0,0,3,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,304,0,0,0,28,1,108,167,28,1,211,64,28,2,178,96,28,1,179,96,28,1,59,216,28,1,33,242,33,2,173,96,131,0,96,35,18,24,36,2,5,19,72,170,36,3,264,1,41,4,60,199,41,1,3,6,9,13,222,9,41,2,51,47,94,69,44,1,38,72,90,59,304,304,200,0,5,99,96,1,15,192,129,1,17,157,127,1,11,165,247,0,6,51,272,0,8,24,48,0,2,8,23,39,184,48,0,7,10,26,43,170,52,1,30,77,77,67,52,1,5,10,41,195,52,0,13,44,57,138,248,2,42,12,248,4,7,45,248,4,20,32,56,0,152,96,208,0,33,63,273,0,2,1,8,1,1,5,13,122,0,3,14,6,21,2,13,25,9,1,10,11,7,8,9,43,61,2,85,154,0,2,61,0,28,56,50,34,44,19,12,63,5,123,76,37,63,2,52,53,70,54,10,4.725,6.756214070870504,1.5999999999999999,0.5163977794943222,13.385281385281385,3.849737403077252,2.965217391304348,1.4919313398545948
AU,AUS,Australia,South Australia,2020-12-22,2020-12-22,121,0,0,0,0,12,119,942785.7713506984,103,0,0,121,0,10,111,0,3,118,0,17,104,0,15,106,0,19,102,0,1,120,0,2,119,0,3,118,0,2,119,0,4,117,0,13,108,0,0,121,0,6,115,121,0,0,0,111,0,3,7,118,0,0,3,104,0,4,13,106,0,3,12,102,0,5,14,120,0,0,1,119,0,0,2,118,0,1,2,119,0,1,1,117,0,1,3,108,0,0,13,121,0,0,0,115,0,2,4,2,0,5,114,116,0,3,2,4,4,41,72,80,0,5,36,116,0,5,0,116,0,5,0,121,0,0,0,14,0,3,104,121,0,0,0,0,0,6,0,52,41,16,6,8,2,30,73,8,8,3,58,44,8,8,0,62,39,12,8,1,54,48,10,8,1,17,66,29,0,118,2,0,1,118,2,1,0,118,2,0,1,118,0,2,1,118,2,0,1,118,2,0,1,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,121,0,0,0,11,1,52,57,11,0,86,24,11,0,73,37,11,0,76,34,11,0,31,79,11,0,14,96,12,0,72,37,49,0,37,17,9,9,12,0,0,7,23,79,12,0,108,1,12,1,29,79,12,0,6,15,18,25,40,5,12,0,20,22,36,31,13,0,9,34,38,27,121,121,69,1,16,35,35,2,35,49,48,1,20,52,45,1,15,60,90,0,5,26,107,0,3,11,15,0,0,6,5,19,76,15,0,2,4,17,12,71,15,0,9,30,42,25,15,0,6,6,15,79,15,0,9,13,40,44,99,1,13,8,99,1,4,17,99,0,10,12,15,0,60,46,75,0,15,31,106,0,3,3,1,1,1,1,5,47,0,2,3,5,10,1,2,12,3,2,4,6,5,4,5,10,17,4,38,62,0,0,17,0,13,15,13,16,29,13,5,18,4,55,22,22,18,1,20,35,28,10,9,5.318181818181818,7.83484384098911,2.4,1.6733200530681511,13.020833333333334,4.274721700185299,2.8247422680412373,1.4720330985745427
