ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AUS,Australia,-99,2021-01-01,2021-01-01,101,0,0,0,0,3,98,995004.070475474,69,1,1,99,1,8,92,1,2,98,1,8,92,1,9,91,0,5,96,1,3,97,1,1,99,1,1,99,1,0,100,1,3,97,1,6,94,1,0,100,1,1,99,100,0,0,1,93,0,3,5,99,0,0,2,93,0,1,7,92,0,3,6,96,0,2,3,98,0,1,2,100,0,0,1,100,0,0,1,101,0,0,0,98,0,1,2,95,0,2,4,101,0,0,0,100,0,1,0,3,0,3,95,98,3,0,5,4,31,61,70,0,8,23,93,0,8,0,93,0,8,0,101,0,0,0,17,0,2,82,101,0,0,0,0,0,5,2,44,29,15,6,11,6,36,36,12,11,9,47,27,7,11,7,43,29,11,11,6,43,34,7,11,10,12,43,25,0,99,0,1,1,99,0,0,2,99,0,1,1,99,0,1,1,99,0,1,1,99,0,0,2,17,11,0,73,17,10,1,73,17,10,1,73,17,11,0,73,17,9,10,65,17,10,6,68,17,10,4,70,87,1,1,12,87,1,1,12,87,1,2,11,87,1,1,12,87,1,1,12,14,1,23,63,14,0,63,24,14,1,52,34,14,0,56,31,14,0,25,62,14,0,9,78,15,0,48,38,53,0,24,8,3,13,15,1,0,2,23,60,15,0,85,1,15,2,11,73,15,0,13,14,13,5,40,1,15,0,20,23,26,17,15,3,14,27,26,16,101,101,78,0,7,16,38,0,26,37,49,1,15,36,45,0,14,42,76,1,5,19,92,0,4,5,15,0,0,1,7,14,64,15,0,0,1,7,16,62,18,1,10,30,28,14,18,0,0,3,13,67,18,0,3,14,23,43,84,1,14,2,84,4,4,9,84,1,7,9,20,1,35,45,56,0,17,28,87,1,3,1,0,2,0,0,7,52,1,4,4,2,4,0,0,10,4,1,0,1,2,2,3,11,28,1,23,48,0,1,28,0,4,5,7,10,26,16,5,30,3,26,27,15,30,2,16,20,18,12,3,7.105263157894737,9.308865170375705,1,0,13.111111111111112,3.5700867935194025,2.5223880597014925,1.247521287305155
AUS,Australia,New South Wales,2021-01-01,2021-01-01,415,1,5030.891521729311,0,0,20,404,4485846.5945933275,319,1,3,411,1,35,379,1,6,408,1,46,368,1,46,368,0,38,377,1,19,395,1,7,407,1,14,400,1,5,409,1,13,401,1,48,366,1,4,410,1,26,388,412,0,1,2,380,1,9,25,409,0,2,4,369,0,10,36,369,0,12,34,377,1,8,29,396,0,9,10,408,0,2,5,401,0,7,7,410,1,1,3,402,0,5,8,367,0,16,32,411,0,2,2,389,0,11,15,10,1,10,394,406,8,1,12,5,167,231,248,1,40,126,375,2,38,0,375,0,40,0,415,0,0,0,59,3,11,342,415,0,0,0,0,0,16,0,185,128,62,24,28,10,109,229,39,28,11,202,144,30,28,9,184,153,41,28,6,191,155,35,28,13,68,184,122,0,404,4,2,5,404,3,3,5,404,5,0,6,404,4,4,3,404,5,1,5,404,5,1,5,58,15,2,340,58,16,2,339,58,17,11,329,58,16,7,334,58,16,28,313,58,15,29,313,58,15,18,324,357,1,1,56,357,2,3,53,357,3,5,50,357,1,3,54,357,1,5,52,49,1,68,297,49,1,257,108,49,0,223,143,49,1,218,147,49,1,54,311,49,1,41,324,50,0,205,160,210,0,139,47,12,7,52,1,5,22,105,230,52,2,359,2,56,1,47,311,56,0,46,70,52,37,140,14,56,0,75,93,140,51,59,2,53,166,105,30,415,415,347,1,25,42,158,3,107,147,192,4,76,143,197,3,33,182,361,1,13,40,374,1,27,13,61,1,2,6,34,47,264,61,0,7,11,40,60,236,69,3,39,120,123,61,69,1,3,18,56,268,69,0,12,71,95,168,334,9,50,22,334,14,14,53,334,14,21,46,74,4,149,188,227,0,93,95,333,4,9,5,5,0,1,3,55,185,1,4,11,14,27,3,15,32,4,2,7,20,12,4,6,68,88,4,122,197,0,4,88,1,30,56,60,71,59,36,14,92,7,145,121,50,92,3,51,96,106,48,19,4.679389312977099,6.721111601710995,2.111111111111111,1.2692955176439846,13.881877022653724,4.3077393773612895,2.9426751592356686,1.5406817221287892
AUS,Australia,Queensland,2021-01-01,2021-01-01,281,0,0,0,0,10,274,2635687.451526784,227,0,1,280,0,13,268,0,1,280,0,42,239,0,24,257,0,38,243,0,13,268,0,4,277,0,13,268,0,1,280,0,6,275,0,45,236,0,1,280,0,16,265,280,0,1,0,268,0,2,11,280,0,1,0,239,0,6,36,257,0,4,20,243,0,7,31,268,0,9,4,277,0,3,1,268,0,5,8,280,0,1,0,275,0,3,3,236,0,7,38,280,0,0,1,265,0,5,11,7,0,6,268,275,4,2,9,0,87,185,195,0,4,82,277,0,4,0,277,0,4,0,281,0,0,0,14,4,4,259,281,0,0,0,0,0,12,0,131,84,37,17,16,3,79,163,20,16,6,149,95,15,16,6,134,100,25,16,4,135,102,24,16,7,37,140,81,0,278,0,0,3,278,0,1,2,278,0,0,3,278,0,0,3,278,0,1,2,278,0,0,3,27,9,3,242,27,9,1,244,27,9,7,238,27,9,1,244,27,10,25,219,27,9,6,239,27,10,14,230,246,0,1,34,246,0,2,33,246,0,1,34,246,0,1,34,246,0,6,29,24,1,89,167,24,0,201,56,24,1,177,79,24,0,189,68,24,1,92,164,24,1,31,225,26,0,178,77,103,0,94,35,24,25,26,0,3,19,72,161,26,1,254,0,30,0,36,215,30,0,2,5,6,13,215,10,30,0,38,52,106,55,32,1,31,73,83,61,281,281,192,0,8,81,80,1,19,181,104,0,15,162,92,1,12,176,189,1,7,84,250,0,6,25,34,1,2,4,19,36,185,34,1,3,5,26,44,168,39,3,27,93,69,50,39,2,2,13,22,203,39,1,19,33,63,126,230,0,34,17,230,6,4,41,230,5,21,25,45,1,129,106,175,0,55,51,229,1,6,4,4,4,3,4,26,101,0,6,10,7,23,3,4,24,6,1,6,20,11,12,8,39,50,1,77,152,0,1,50,0,32,48,42,46,35,22,6,53,3,119,67,39,53,2,50,59,66,35,16,4.480769230769231,6.694412637983093,1.6666666666666667,0.816496580927726,13.75560538116592,3.5342153156858696,3.036036036036036,1.5186796356702754
AUS,Australia,South Australia,2021-01-01,2021-01-01,154,0,0,0,0,8,146,1002880.6932349367,121,1,0,153,0,10,144,0,1,153,0,25,129,0,14,140,0,21,133,0,3,151,0,2,152,1,6,147,0,1,153,1,3,150,0,21,133,0,0,154,0,8,146,154,0,0,0,144,0,3,7,153,0,0,1,129,1,1,23,140,1,4,9,133,1,2,18,151,0,0,3,152,1,0,1,148,0,1,5,153,0,1,0,151,0,1,2,133,0,3,18,154,0,0,0,146,0,4,4,8,0,6,140,149,3,2,10,2,43,99,111,1,8,34,146,0,6,2,146,0,8,0,154,0,0,0,21,4,1,128,154,0,0,0,0,0,10,0,68,61,6,9,17,2,43,82,10,17,4,79,47,7,17,4,72,49,12,17,4,70,53,10,17,6,27,65,39,0,153,1,0,0,153,1,0,0,153,1,0,0,153,1,0,0,153,1,0,0,153,1,0,0,26,10,0,118,26,10,0,118,26,10,3,115,26,10,0,118,26,10,11,107,26,10,10,108,26,11,10,107,136,1,0,17,136,0,1,17,136,0,1,17,136,0,0,18,136,1,2,15,22,0,37,95,22,0,95,37,22,0,91,41,22,0,91,41,22,0,31,101,22,0,14,118,22,0,81,51,73,0,42,21,8,10,23,0,1,3,41,86,23,0,131,0,23,0,22,109,23,0,6,12,21,21,67,4,23,0,23,27,54,27,23,0,15,42,51,23,154,154,117,0,11,26,59,0,28,67,63,0,22,69,63,0,12,79,123,0,5,26,140,0,7,7,24,0,3,2,10,15,100,24,0,4,0,19,18,89,25,1,16,34,52,26,25,0,3,6,25,95,25,0,10,23,26,70,121,4,21,8,121,5,5,23,121,1,17,15,25,0,61,68,86,0,34,34,123,2,5,2,2,1,0,0,19,62,0,1,6,6,11,4,2,23,3,1,5,8,3,4,4,11,31,2,45,76,0,0,31,1,8,23,17,21,28,21,4,33,3,77,24,17,33,0,27,26,38,25,5,5.127659574468085,8.133711440334885,1.4,0.5477225575051661,13.15677966101695,4.557654945320941,2.7264957264957266,1.4599476350076186
AUS,Australia,Victoria,2021-01-01,2021-01-01,375,0,0,0,0,8,368,3491186.3702265327,297,0,0,375,0,25,350,0,3,372,0,66,309,0,46,329,0,48,327,0,13,362,0,4,371,1,15,359,0,3,372,0,9,366,0,43,332,0,3,372,0,34,341,375,0,0,0,350,0,11,14,372,0,0,3,309,1,13,52,329,1,8,37,327,1,11,36,362,1,5,7,371,0,4,0,360,1,6,8,372,0,2,1,366,1,4,4,332,1,9,33,372,0,2,1,341,0,7,27,7,0,8,360,367,6,2,8,7,153,207,222,1,11,141,364,0,9,2,364,0,11,0,375,0,0,0,27,3,10,335,375,0,0,0,0,0,16,0,173,100,55,31,27,5,106,208,29,27,6,167,153,22,27,5,154,148,41,27,5,138,171,34,27,6,49,185,108,0,367,3,1,4,367,3,0,5,367,3,0,5,367,2,3,3,367,3,0,5,367,2,1,5,43,9,0,323,43,10,1,321,43,8,7,317,43,9,6,317,43,10,38,284,43,9,46,277,43,6,23,303,313,2,1,59,313,2,2,58,313,2,1,59,313,2,1,59,313,1,4,57,44,2,78,251,44,1,227,103,44,3,194,134,44,0,223,108,44,1,67,263,44,3,27,301,51,0,183,141,192,0,109,38,23,13,51,1,2,29,94,198,51,1,322,1,58,2,37,278,58,0,125,90,64,23,11,4,58,0,47,87,133,50,60,3,45,118,105,44,375,375,297,0,53,25,148,0,214,13,181,0,173,21,152,0,76,147,308,0,36,31,348,0,24,3,64,1,3,7,30,45,225,64,0,7,5,24,69,206,66,1,39,116,97,56,66,0,3,11,35,260,66,0,16,50,80,163,310,3,45,17,310,4,11,50,310,6,15,44,69,2,146,158,217,2,83,73,296,3,14,5,4,2,1,2,48,151,1,6,13,14,34,4,13,28,10,0,5,29,12,6,10,39,76,6,125,166,0,2,76,1,29,71,52,40,58,35,13,77,9,150,100,39,77,1,71,81,92,45,8,5.102836879432624,7.549720366272905,0.8750000000000001,0.3535533905932738,14.281468531468532,3.7931571737301226,2.8062283737024223,1.447158121360591
AUS,Australia,Western Australia,2021-01-01,2021-01-01,204,1,3957.747541197429,1,3957.747541197429,18,197,1394652.0042596147,164,0,3,201,0,16,188,0,2,202,0,33,171,0,26,178,0,29,175,0,6,198,0,3,201,0,11,193,0,4,200,0,4,200,0,38,166,0,0,204,0,15,189,201,1,0,2,188,2,2,12,202,0,1,1,171,1,3,29,178,2,4,20,175,2,4,23,198,0,2,4,201,0,1,2,193,1,5,5,200,1,1,2,200,0,2,2,166,0,7,31,204,0,0,0,189,0,8,7,7,0,9,188,195,7,2,7,1,52,144,152,0,3,49,201,0,3,0,201,0,3,0,204,0,0,0,12,3,1,188,204,0,0,0,0,0,12,0,88,58,31,15,15,1,49,120,19,15,2,98,73,16,15,3,85,79,22,15,2,94,73,20,15,4,27,108,50,0,203,1,0,0,203,0,1,0,203,1,0,0,203,1,0,0,203,1,0,0,203,1,0,0,23,7,0,174,23,7,1,173,23,7,3,171,23,7,0,174,23,7,14,160,23,7,3,171,23,7,12,162,180,0,0,24,180,0,0,24,180,0,1,23,180,0,1,23,180,0,2,22,21,1,64,118,21,0,153,30,21,0,142,41,21,1,139,43,21,0,84,99,21,1,35,147,23,0,128,53,76,0,46,39,17,26,23,0,3,11,56,111,23,1,179,1,24,2,31,147,24,0,3,0,4,3,165,5,24,1,29,29,62,59,24,2,16,28,54,80,204,204,140,0,4,60,51,0,5,148,62,0,6,136,65,0,7,132,120,0,5,79,169,0,6,29,28,0,1,1,5,22,147,28,0,2,4,11,20,139,29,1,25,38,58,53,29,0,1,3,21,150,29,0,10,22,43,100,172,1,24,7,172,2,5,25,172,2,9,21,30,0,95,79,125,0,42,37,168,0,1,2,6,2,0,0,25,75,0,5,5,9,14,0,5,17,5,12,4,7,6,1,6,33,39,3,74,86,0,2,39,1,14,26,27,35,34,19,9,40,3,100,47,14,40,2,43,33,39,38,9,4.177631578947368,5.541181551118511,2,1.6583123951776997,13.41139240506329,3.731651069554883,2.825,1.5359425434746399
AUS,Australia,-99,2021-01-02,2021-01-01,100,0,0,0,0,2,96,976372.9595469901,56,1,1,98,1,9,90,1,2,97,1,8,91,1,11,88,0,4,96,1,3,96,1,1,98,1,1,98,1,0,99,1,3,96,1,7,92,1,1,98,1,1,98,99,0,0,1,91,0,3,6,98,0,0,2,92,0,1,7,89,0,4,7,96,0,2,2,97,0,1,2,99,0,0,1,99,0,0,1,100,0,0,0,97,0,1,2,93,0,2,5,99,0,0,1,99,0,1,0,4,0,2,94,98,2,0,6,4,27,63,73,0,7,20,93,0,7,0,93,0,7,0,100,0,0,0,17,0,3,80,100,0,0,0,0,0,7,2,40,32,13,6,15,7,36,32,10,15,8,49,23,5,15,6,41,28,10,15,4,41,31,9,15,9,12,38,26,0,97,0,2,1,97,0,1,2,97,0,2,1,97,0,2,1,97,0,2,1,97,0,1,2,23,9,0,68,23,8,1,68,23,8,1,68,23,8,0,69,23,7,10,60,23,8,6,63,23,8,5,64,86,1,0,13,86,1,1,12,86,1,1,12,86,1,1,12,86,1,0,13,20,1,20,59,20,0,59,21,20,1,52,27,20,0,51,29,20,0,22,58,20,0,8,72,22,0,45,33,55,0,23,6,3,13,22,0,0,2,21,55,22,0,78,0,22,2,10,66,22,0,10,15,9,3,40,1,22,0,19,20,22,17,22,3,13,23,22,17,100,100,81,1,4,14,42,1,24,33,49,1,15,35,50,1,11,38,78,1,4,17,92,0,3,5,22,1,0,0,7,14,56,22,0,0,2,6,13,57,26,2,9,26,25,12,26,0,0,1,12,61,26,0,2,14,19,39,84,0,13,3,84,2,4,10,84,1,5,10,28,1,29,42,58,0,15,27,88,1,2,1,0,2,0,0,6,59,1,4,4,2,3,0,0,7,2,1,0,0,2,2,3,10,37,0,20,42,0,1,37,0,4,2,7,4,24,16,6,41,4,23,22,10,41,3,14,16,16,8,2,6.111111111111111,7.552863803484539,1,0,12.943396226415093,3.4552918964952135,2.4444444444444446,1.2387861780664788
AUS,Australia,New South Wales,2021-01-02,2021-01-01,100,0,0,0,0,9,96,1258752.012126062,61,1,1,98,1,11,88,1,3,96,1,15,84,1,10,89,0,16,84,1,7,92,1,2,97,1,8,91,1,2,97,1,5,94,1,16,83,1,1,98,1,9,90,99,0,0,1,89,0,3,8,97,0,2,1,85,0,3,12,90,0,1,9,84,0,5,11,93,0,4,3,98,0,0,2,92,0,5,3,98,0,0,2,95,0,2,3,84,0,6,10,99,0,1,0,91,0,5,4,4,0,4,92,96,3,1,4,2,36,58,64,1,8,27,92,1,7,0,92,0,8,0,100,0,0,0,15,2,1,82,100,0,0,0,0,0,5,0,47,31,10,7,10,1,33,47,9,10,3,45,35,7,10,3,44,34,9,10,3,47,33,7,10,4,19,43,24,0,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,37,4,2,57,37,5,1,57,37,4,1,58,37,4,1,58,37,4,6,53,37,4,6,53,37,4,3,56,89,0,1,10,89,1,1,9,89,1,1,9,89,1,0,10,89,1,1,9,19,0,16,65,19,0,56,25,19,0,45,36,19,0,46,35,19,0,11,70,19,0,6,75,19,0,35,46,65,0,26,4,2,3,21,0,0,5,20,54,21,1,78,0,24,0,14,62,24,0,12,14,15,4,28,3,24,0,19,17,27,13,24,1,11,32,29,3,100,100,84,0,4,12,44,1,27,28,55,1,18,26,54,1,9,36,89,0,2,9,94,0,6,0,24,1,0,4,7,14,50,24,0,2,4,7,14,49,28,0,5,29,26,12,28,0,1,7,9,55,28,0,2,17,22,31,82,1,11,6,82,4,0,14,82,2,6,10,29,2,30,39,61,0,17,22,88,2,1,0,0,0,0,1,8,58,0,1,4,4,3,1,2,7,2,0,1,5,1,0,1,10,35,1,28,36,0,0,35,0,5,14,12,11,7,10,6,38,2,25,24,11,38,0,14,21,15,9,3,4.828571428571428,6.5640989448654095,2.25,1.8929694486000914,13.341269841269842,4.973985061673708,2.80327868852459,1.547252103258629
AUS,Australia,Queensland,2021-01-02,2021-01-01,100,0,0,0,0,0,96,877124.9100562279,70,0,0,100,0,7,93,0,0,100,0,14,86,0,13,87,0,14,86,0,5,95,0,0,100,0,5,95,0,1,99,0,3,97,0,14,86,0,1,99,0,6,94,100,0,0,0,93,0,2,5,100,0,0,0,86,0,4,10,87,0,4,9,86,0,3,11,95,0,4,1,100,0,0,0,95,0,2,3,99,0,1,0,97,0,1,2,86,0,3,11,99,0,0,1,94,0,2,4,4,0,0,96,100,0,0,5,0,24,71,77,0,0,23,100,0,0,0,100,0,0,0,100,0,0,0,6,0,2,92,100,0,0,0,0,0,7,0,53,28,8,4,10,0,31,53,6,10,2,54,30,4,10,2,47,32,9,10,2,43,38,7,10,3,16,48,23,0,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,1,1,98,0,0,2,22,3,1,74,22,3,0,75,22,3,1,74,22,3,0,75,22,3,5,70,22,3,1,74,22,4,3,71,91,0,0,9,91,0,0,9,91,0,1,8,91,0,1,8,91,0,1,8,13,1,25,61,13,0,66,21,13,1,58,28,13,0,58,29,13,1,27,59,13,1,10,76,14,0,58,28,42,0,33,11,7,7,14,0,0,4,22,60,14,0,86,0,17,0,10,73,17,0,0,2,1,4,73,3,17,0,6,18,41,18,18,0,13,23,23,23,100,100,75,0,2,23,34,1,7,58,42,0,7,51,42,1,3,54,73,1,2,24,90,0,3,7,18,0,1,1,8,13,59,18,0,2,4,11,11,54,21,0,12,28,20,19,21,0,1,6,5,67,21,0,6,14,19,40,80,0,11,9,80,0,2,18,80,0,9,11,23,0,36,41,59,0,24,17,79,1,2,1,2,2,2,1,10,44,0,1,2,2,9,1,1,7,2,0,2,7,5,4,4,9,29,0,23,48,0,0,29,0,14,11,9,15,15,3,4,30,0,40,18,12,30,0,15,17,23,9,6,3.5000000000000004,5.416904756672129,0,0,14.585714285714285,3.0047925831759006,3.1470588235294117,1.538216702338724
AUS,Australia,South Australia,2021-01-02,2021-01-01,100,0,0,0,0,6,94,642762.2783837714,71,1,0,99,0,6,94,0,0,100,0,16,84,0,8,92,0,16,84,0,4,96,0,1,99,1,3,96,0,0,100,1,2,97,0,10,90,0,0,100,0,4,96,100,0,0,0,94,0,3,3,100,0,0,0,84,0,1,15,92,0,3,5,84,0,2,14,96,1,0,3,99,0,0,1,97,0,1,2,100,0,0,0,98,0,1,1,90,0,1,9,100,0,0,0,96,0,3,1,6,0,4,90,97,1,2,8,3,25,64,75,1,5,19,95,0,4,1,95,0,5,0,100,0,0,0,17,2,0,81,100,0,0,0,0,0,8,0,44,37,5,6,12,3,28,51,6,12,2,52,29,5,12,4,48,26,10,12,3,48,29,8,12,4,18,42,24,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,5,0,75,20,5,0,75,20,5,2,73,20,5,0,75,20,5,6,69,20,5,7,68,20,5,7,68,89,1,0,10,89,0,0,11,89,0,1,10,89,0,0,11,89,1,0,10,16,0,24,60,16,0,63,21,16,1,59,24,16,0,58,26,16,0,21,63,16,0,9,75,16,0,49,35,51,0,25,12,5,7,16,0,1,3,28,52,16,0,84,0,16,0,15,69,16,0,4,8,11,17,41,3,16,0,16,15,35,18,16,1,13,25,29,16,100,100,76,0,8,16,37,0,17,46,41,0,14,45,42,0,9,49,79,0,2,19,91,0,4,5,17,0,2,2,4,9,66,17,0,2,0,9,9,63,18,0,11,16,34,21,18,0,2,4,13,63,18,0,6,11,14,51,83,2,13,2,83,3,3,11,83,1,9,7,18,0,38,44,56,0,22,22,81,1,2,1,2,1,0,0,12,43,0,0,5,4,8,2,1,18,2,1,4,1,3,0,2,6,27,2,23,48,0,0,27,1,5,12,10,11,19,13,2,29,0,48,11,12,29,0,16,12,23,16,4,5.103448275862069,7.889164484034899,2,0,13.295774647887324,4.405822012477786,2.8823529411764706,1.5114430365309133
