ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HU,HUN,Hungary,Budapest,2020-12-21,2020-12-21,288,0,0,0,0,43,276,891074.2023493527,237,1,0,287,3,34,251,3,4,281,2,68,218,1,54,233,2,25,261,0,21,267,1,9,278,2,11,275,2,2,284,0,14,274,1,38,249,2,7,279,2,26,260,288,0,0,0,254,2,4,28,284,1,1,2,221,2,11,54,234,1,7,46,263,1,4,20,267,1,2,18,279,2,3,4,277,0,6,5,286,0,2,0,274,0,5,9,251,2,1,34,281,0,4,3,263,1,7,17,12,0,15,261,273,0,4,11,14,3,102,169,186,0,40,62,248,3,37,0,248,0,10,30,0,278,1,9,0,57,2,51,178,288,0,0,0,0,0,18,1,65,96,60,48,254,0,5,22,7,254,1,6,23,4,254,1,8,19,6,254,1,2,17,14,254,1,2,14,17,0,239,12,3,34,239,8,9,32,239,9,15,25,239,7,13,29,239,10,6,33,239,9,6,34,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,288,0,0,0,25,4,97,162,25,1,182,80,25,7,70,186,25,5,135,123,25,7,6,250,25,4,82,177,26,0,140,122,148,0,96,25,8,11,26,1,0,13,106,142,26,1,261,0,26,2,37,223,26,0,218,31,6,3,0,4,26,1,86,57,65,53,26,5,30,120,77,30,28,2,55,201,2,30,4,44,206,4,191,0,85,12,106,1,178,3,218,0,69,1,153,1,88,46,282,0,4,2,206,0,81,1,32,2,2,6,39,70,137,32,2,2,12,43,68,129,32,4,100,116,26,10,32,2,16,25,63,150,32,2,33,74,67,80,182,7,69,30,182,12,36,58,182,10,51,45,34,2,168,84,204,0,33,51,257,0,8,0,4,2,2,0,15,90,1,0,15,9,15,3,12,23,11,0,10,20,9,8,5,57,46,6,101,131,2,2,46,5,13,59,53,37,34,36,5,48,6,222,7,5,48,5,62,102,55,14,2,3.1865671641791042,3.0340620441804185,3,2.0380986614602725,15.489224137931034,3.1811968263919175,2.189655172413793,0.9839736833795505
HU,HUN,Hungary,Pest,2020-12-21,2020-12-21,168,2,10338.93754730176,2,10338.93754730176,13,162,709957.2560049618,123,1,4,163,1,18,149,1,2,165,1,35,132,1,30,137,1,21,146,1,4,163,1,3,164,1,7,160,1,2,165,1,9,158,1,22,145,1,5,162,1,19,148,164,0,0,4,150,1,2,15,166,0,0,2,133,0,6,29,138,1,3,26,147,0,5,16,164,1,0,3,165,0,2,1,161,1,2,4,166,0,2,0,159,1,2,6,147,1,3,17,164,0,1,3,149,0,6,13,6,0,6,156,162,0,3,3,6,3,54,105,114,2,15,37,153,2,13,0,153,0,0,15,0,168,0,0,0,27,1,27,113,168,0,0,0,0,0,11,1,36,52,37,31,146,2,9,6,5,146,0,10,9,3,146,2,6,10,4,146,2,3,8,9,146,2,1,9,10,0,141,6,7,14,141,7,5,15,141,4,10,13,141,3,9,15,141,7,4,16,141,6,2,19,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,168,0,0,0,16,1,54,97,16,2,105,45,16,4,40,108,16,3,79,70,16,3,7,142,16,2,30,120,20,0,76,72,92,0,49,13,6,8,20,2,2,6,48,90,20,2,145,1,22,2,15,129,22,0,109,20,4,1,1,11,22,1,46,35,39,25,24,2,16,60,44,22,24,1,33,109,1,27,2,24,111,4,115,1,42,10,64,1,101,2,128,2,36,2,89,1,40,38,161,1,3,3,138,0,29,1,28,3,1,6,15,38,77,28,1,4,7,14,33,81,28,0,57,60,12,11,28,0,5,21,23,91,28,1,23,34,25,57,113,4,39,12,113,10,20,25,113,8,23,24,31,2,87,48,120,1,18,29,152,0,2,0,2,2,1,2,7,68,0,2,7,5,12,0,8,8,3,0,4,12,6,2,5,26,44,4,56,64,0,0,44,0,9,12,28,27,19,23,6,45,2,22,74,25,45,1,23,42,35,17,5,3.164285714285714,3.1215954539391912,2.1666666666666665,1.6020819787597222,14.614754098360656,3.4746941629170056,2.433333333333333,1.0510765456244873
HU,HUN,Hungary,-99,2020-12-22,2020-12-21,100,1,6894.90313271275,1,6894.90313271275,13,91,657061.5392917043,54,1,2,97,0,7,93,2,3,95,0,19,81,1,10,89,1,7,92,1,2,97,1,4,95,1,0,99,1,2,97,3,2,95,2,9,89,1,0,99,1,8,91,98,1,0,1,93,0,1,6,97,1,0,2,81,1,2,16,90,0,4,6,93,1,3,3,98,0,2,0,96,0,2,2,100,0,0,0,98,0,1,1,98,0,1,1,91,1,0,8,100,0,0,0,92,1,5,2,6,3,10,81,90,0,1,9,8,4,17,71,83,2,5,10,95,3,2,0,95,0,0,5,0,100,0,0,0,19,2,15,64,100,0,0,0,0,0,11,0,31,18,16,24,29,7,14,29,21,29,13,21,21,16,29,18,16,22,15,29,18,7,22,24,29,20,1,18,32,0,86,4,2,8,86,2,7,5,86,3,4,7,86,4,2,8,86,3,3,8,86,4,1,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,8,28,47,17,4,59,20,17,13,9,61,17,9,37,37,17,9,2,72,17,9,12,62,17,0,40,43,60,1,26,7,1,5,17,2,0,6,24,51,17,4,79,0,19,2,8,71,19,0,65,9,1,0,1,5,19,0,32,17,15,17,20,7,19,28,19,7,21,1,22,55,1,23,2,21,52,2,72,2,22,4,41,2,55,2,91,1,7,1,63,2,25,10,98,0,1,1,88,1,10,1,24,2,1,1,10,25,37,24,0,0,3,12,17,44,24,3,36,29,1,7,24,0,8,12,10,46,24,0,15,23,13,25,62,7,21,10,62,10,13,15,62,6,21,11,24,1,34,41,59,0,11,30,89,1,1,1,0,1,0,1,6,57,0,4,3,3,6,0,3,2,7,0,4,0,3,0,1,7,43,2,21,34,0,0,43,2,2,2,5,9,18,16,3,46,6,15,19,14,46,6,6,22,10,6,4,3.356521739130435,3.38389582997797,1.1666666666666667,0.983192080250175,12.54,3.1765081585968975,2.090909090909091,1.052531429529775
HU,HUN,Hungary,B<c3><a1>cs-Kiskun,2020-12-22,2020-12-21,100,0,0,0,0,21,94,474185.797468969,75,0,0,100,0,9,91,0,4,96,0,26,74,0,17,83,0,12,88,0,5,95,0,3,97,0,2,98,1,0,99,0,8,92,0,16,84,0,3,97,0,14,86,100,0,0,0,91,1,2,6,96,1,2,1,75,2,6,17,83,1,5,11,88,1,3,8,95,0,1,4,97,0,3,0,99,0,0,1,100,0,0,0,93,1,3,3,84,1,4,11,97,1,0,2,86,2,5,7,6,0,11,83,89,0,6,5,6,1,27,66,73,1,7,19,93,3,4,0,93,0,1,6,0,99,0,1,0,15,1,15,69,100,0,0,0,0,0,8,0,13,18,32,29,49,2,8,23,18,49,1,14,20,16,49,2,10,19,20,49,3,4,17,27,49,4,2,10,35,0,87,5,3,5,87,5,2,6,87,3,5,5,87,6,0,7,87,5,3,5,87,5,1,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,2,32,54,12,2,59,27,12,5,16,67,12,2,53,33,12,3,6,79,12,3,7,78,13,0,42,45,58,0,25,11,2,4,14,1,0,4,25,56,14,0,84,2,16,4,10,70,16,0,64,15,0,0,1,4,16,1,36,13,17,17,16,0,13,28,32,11,16,0,11,73,0,17,1,10,72,0,68,0,25,7,41,1,57,1,84,0,15,1,47,1,38,14,94,0,3,3,93,0,6,1,17,1,3,0,14,21,44,17,0,2,3,9,19,50,17,1,28,41,7,6,17,0,8,7,17,51,17,0,16,21,23,23,63,2,19,16,63,6,11,20,63,4,20,13,18,0,47,35,65,0,12,23,89,1,1,0,1,1,3,0,4,42,0,4,3,0,4,1,0,5,8,0,2,3,4,3,4,17,22,1,32,45,0,0,22,1,7,8,14,16,11,17,4,24,1,20,39,16,24,1,10,30,25,8,2,4.057142857142857,4.136941589421552,1.9,1.5951314818673865,14.155844155844155,3.026483694709158,2.3783783783783785,0.9750687043261301
HU,HUN,Hungary,Baranya,2020-12-22,2020-12-21,100,0,0,0,0,20,98,373193.1206092504,74,0,0,100,0,7,93,0,3,97,0,16,84,0,18,82,0,7,93,0,3,97,0,1,99,0,1,99,0,2,98,0,2,98,0,12,88,0,1,99,0,6,94,100,0,0,0,93,0,0,7,97,0,1,2,84,0,1,15,82,1,2,15,93,0,3,4,97,0,0,3,99,0,0,1,99,0,1,0,98,0,1,1,98,0,0,2,88,0,1,11,99,0,1,0,94,0,3,3,2,0,6,92,94,0,1,5,3,0,25,72,75,0,8,17,92,2,6,0,92,0,0,8,0,100,0,0,0,11,1,15,73,100,0,0,0,0,0,3,1,19,23,31,23,52,4,12,19,13,52,5,12,20,11,52,7,11,18,12,52,6,8,15,19,52,6,4,9,29,0,85,9,1,5,85,7,3,5,85,5,7,3,85,8,2,5,85,8,2,5,85,8,2,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,2,28,61,9,1,65,25,9,2,16,73,9,1,55,35,9,1,7,83,9,2,7,82,9,0,50,41,50,0,32,10,3,5,10,2,0,4,26,58,10,1,89,0,10,1,9,80,10,0,69,9,2,2,0,8,10,0,34,10,27,19,10,1,14,32,26,17,10,0,23,66,1,12,0,14,73,1,72,0,21,7,35,0,65,0,84,0,14,2,45,0,37,18,93,0,6,1,93,0,7,0,12,0,0,2,12,18,56,12,0,0,2,10,20,56,13,1,46,26,9,5,13,0,7,16,17,47,13,0,14,27,20,26,60,1,32,7,60,8,12,20,60,6,16,18,15,1,50,34,66,0,17,17,83,1,5,0,3,3,0,0,5,33,0,6,4,8,8,0,1,5,12,0,0,4,1,1,0,17,22,7,35,36,0,0,22,0,2,7,9,21,11,24,4,24,4,35,23,14,24,4,13,30,19,9,1,2.2777777777777777,2.325155738084915,3.3333333333333335,2.581988897471611,14.413333333333334,3.7057053650084293,2.0985915492957745,1.0022108357806438
HU,HUN,Hungary,Borsod-Aba<c3><ba>j-Zempl<c3><a9>n,2020-12-22,2020-12-21,100,0,0,0,0,22,96,640498.4959419091,78,0,1,99,0,10,90,1,1,98,0,19,81,0,13,87,0,8,92,0,4,96,0,2,98,0,1,99,0,2,98,0,4,96,0,11,89,0,0,100,0,11,89,99,0,1,0,90,0,3,7,99,0,1,0,81,0,5,14,87,0,4,9,92,0,3,5,96,0,0,4,98,0,1,1,99,0,0,1,98,0,2,0,96,0,2,2,89,0,5,6,100,0,0,0,89,0,6,5,3,1,9,87,92,0,3,5,4,3,26,67,74,0,11,15,89,3,8,0,89,0,1,10,0,99,0,1,0,18,0,17,65,100,0,0,0,0,0,5,0,15,24,31,25,27,2,20,33,18,27,1,27,26,19,27,1,25,27,20,27,2,13,21,37,27,3,8,14,48,0,83,6,3,8,83,5,5,7,83,5,8,4,83,6,1,10,83,6,4,7,83,7,2,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,2,38,51,9,1,72,18,9,2,25,64,9,1,50,40,9,1,4,86,9,1,19,71,9,0,54,37,46,0,29,10,9,6,9,2,0,8,24,57,9,1,90,0,9,1,13,77,9,0,75,10,2,0,0,4,9,0,30,21,26,14,9,0,14,44,21,12,10,0,20,69,1,12,0,11,77,0,62,1,35,2,28,1,71,0,75,0,25,0,50,0,32,18,96,1,2,1,81,0,19,0,13,1,2,0,15,25,44,13,1,2,3,9,23,49,14,0,33,43,5,5,14,0,5,8,26,47,14,0,11,24,31,20,66,3,20,11,66,3,12,19,66,1,20,13,16,0,46,38,62,1,12,25,88,1,1,0,0,1,2,0,7,42,0,4,3,5,4,1,0,4,9,1,3,2,2,1,0,19,21,3,38,38,0,0,21,0,1,11,15,16,14,18,4,22,2,32,24,20,22,2,11,23,30,8,4,3.3947368421052637,2.509866731513314,2.625,1.597989808656935,14.376623376623376,3.5095319864881103,2.2,1.0397504898200727
HU,HUN,Hungary,Budapest,2020-12-22,2020-12-22,293,0,0,0,0,51,282,1011884.5093985663,231,2,0,291,2,31,260,2,6,285,2,57,234,2,55,236,3,11,279,3,12,278,3,5,285,2,10,281,2,7,284,3,12,278,2,45,246,2,5,286,3,31,259,293,0,0,0,262,1,2,28,287,0,2,4,236,0,5,52,238,0,2,53,282,0,2,9,281,0,3,9,288,0,2,3,283,0,3,7,286,1,1,5,281,0,2,10,248,0,5,40,288,0,4,1,262,1,13,17,9,2,21,261,272,0,6,15,9,3,98,183,195,3,32,63,261,1,29,2,261,0,11,21,0,282,4,7,0,48,1,46,198,293,0,0,0,0,0,13,1,66,93,75,45,17,13,73,144,46,17,14,108,119,35,17,12,111,114,39,17,15,42,104,115,17,18,15,80,163,0,247,16,6,24,247,16,7,23,247,11,17,18,247,15,11,20,247,18,2,26,247,15,5,26,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,23,4,94,172,23,1,201,68,23,9,79,182,23,8,137,125,23,7,8,255,23,3,85,182,24,0,127,142,166,0,79,21,14,13,25,0,0,17,83,168,25,0,264,4,27,3,38,225,27,0,225,25,7,2,2,5,27,0,81,71,72,42,27,1,42,133,61,29,28,0,70,193,2,34,0,61,195,3,199,1,83,10,92,2,198,1,214,1,77,1,156,1,84,52,285,0,5,3,208,1,83,1,35,1,0,8,42,72,135,35,0,1,5,31,67,154,38,0,110,105,23,17,38,1,11,32,66,145,38,0,27,67,76,85,200,9,64,20,200,18,24,51,200,14,30,49,41,0,174,78,215,0,20,58,274,0,4,0,1,5,0,0,9,102,1,2,19,8,14,1,19,11,11,0,7,23,8,6,8,53,59,1,108,125,0,0,59,0,10,49,48,48,33,38,8,62,6,217,6,2,62,5,66,93,54,12,1,2.9808333333333334,2.5388509222879234,2.578947368421053,1.4649910683718712,15.15695067264574,3.2040280999272492,2.1936936936936937,0.9901578355171808
HU,HUN,Hungary,Csongr<c3><a1>d,2020-12-22,2020-12-21,100,0,0,0,0,22,96,343513.4438467477,69,0,0,100,1,8,91,0,1,99,0,17,83,0,14,86,0,7,93,0,9,91,0,1,99,0,1,99,0,1,99,0,6,94,1,11,88,0,2,98,0,11,89,100,0,0,0,92,1,1,6,99,1,0,0,83,2,2,13,86,1,2,11,93,1,1,5,91,1,3,5,99,0,0,1,99,1,0,0,99,0,0,1,94,0,4,2,89,0,1,10,98,1,1,0,89,1,4,6,3,1,8,88,92,0,2,6,4,2,29,65,71,0,14,15,86,3,11,0,86,0,3,11,0,97,1,2,0,20,2,5,73,100,0,0,0,0,0,4,1,16,28,24,27,43,5,13,28,11,43,3,24,19,11,43,3,21,17,16,43,1,10,17,29,43,3,3,11,40,0,95,2,1,2,95,1,3,1,95,2,2,1,95,3,0,2,95,1,1,3,95,0,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,1,29,61,9,0,69,22,9,1,28,62,9,1,49,41,9,1,3,87,9,1,14,76,9,0,41,50,59,0,31,7,2,1,11,0,0,7,26,56,11,0,89,0,13,1,13,73,13,0,80,4,1,0,0,2,13,0,32,14,28,13,13,2,8,44,21,12,14,0,21,64,1,17,1,17,65,0,71,1,23,5,31,4,63,2,72,2,25,1,51,3,29,17,97,1,1,1,86,1,13,0,19,0,1,1,13,20,46,19,0,2,1,9,21,48,20,1,35,33,9,2,20,0,6,9,18,47,20,0,14,20,18,28,67,4,25,4,67,8,10,15,67,6,18,9,21,0,40,39,61,0,10,29,90,0,2,0,0,1,1,1,5,50,0,2,6,4,4,1,2,3,6,1,2,5,3,1,1,9,26,3,25,46,0,0,26,1,3,9,11,13,13,22,2,29,1,42,21,7,29,2,17,21,23,8,0,3.4000000000000004,3.695784562093922,2.857142857142857,2.7945525240230875,14.246376811594203,3.4059023037931966,2.1470588235294117,0.9346514376605769
HU,HUN,Hungary,Fej<c3><a9>r,2020-12-22,2020-12-21,100,0,0,0,0,15,95,470009.45048812754,80,1,0,99,1,18,81,1,4,95,1,25,74,1,18,81,1,13,86,0,8,92,1,4,95,1,6,93,0,2,98,1,8,91,1,19,80,1,3,96,0,8,92,100,0,0,0,83,2,4,11,96,0,2,2,76,0,6,18,83,0,3,14,88,1,2,9,92,0,1,7,96,0,1,3,94,0,3,3,98,0,1,1,92,0,2,6,81,0,5,14,97,0,1,2,92,0,2,6,5,0,9,86,91,0,1,8,5,1,27,67,73,0,8,19,92,2,6,0,92,0,1,7,0,99,0,1,0,14,1,9,76,100,0,0,0,0,0,5,0,20,27,24,24,45,3,10,22,20,45,3,23,17,12,45,5,15,19,16,45,4,11,15,25,45,6,2,11,36,0,91,2,1,6,91,2,2,5,91,1,4,4,91,2,1,6,91,1,2,6,91,2,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,1,41,51,7,1,73,19,7,1,24,68,7,2,61,30,7,2,8,83,7,3,12,78,7,0,51,42,49,0,28,11,1,11,7,0,1,7,27,58,7,0,93,0,8,0,12,80,8,0,72,13,3,1,0,3,8,0,31,18,28,15,8,0,14,37,28,13,8,0,16,71,5,11,0,16,71,2,59,0,33,8,27,1,70,2,76,0,23,1,39,0,33,28,92,0,8,0,88,0,12,0,11,1,1,4,15,24,44,11,0,0,4,13,18,54,11,0,31,43,8,7,11,0,4,13,20,52,11,0,11,26,24,28,63,0,26,11,63,1,14,22,63,0,18,19,12,0,62,26,74,0,9,17,91,1,1,0,0,1,1,0,5,30,0,1,1,6,6,0,4,4,13,0,4,6,1,1,4,19,16,1,39,44,0,0,16,0,4,17,17,16,15,11,4,18,3,24,33,22,18,2,12,33,25,6,4,4.7951632653061225,4.706226865135429,2,1.2649110640673518,14.506172839506174,3.050096132870747,2.3733333333333335,1.0236835096493095
HU,HUN,Hungary,Gyor-Moson-Sopron,2020-12-22,2020-12-21,100,0,0,0,0,26,97,468157.131975304,70,0,1,99,0,13,87,0,1,99,0,27,73,0,12,88,0,11,89,0,4,96,0,5,95,0,6,94,0,1,99,0,6,94,0,15,85,0,3,97,0,8,92,99,0,1,0,87,1,1,11,99,0,1,0,73,1,5,21,88,0,5,7,89,0,4,7,96,0,2,2,95,1,2,2,94,0,2,4,99,0,1,0,94,0,1,5,85,1,2,12,97,0,2,1,92,1,4,3,3,0,14,83,88,0,3,9,6,1,20,73,80,1,6,13,94,1,4,1,94,0,0,6,0,100,0,0,0,14,0,11,75,100,0,0,0,0,0,6,1,12,27,18,36,43,3,7,26,21,43,3,12,24,18,43,2,20,17,18,43,3,7,16,31,43,3,3,8,43,0,89,1,2,8,89,2,3,6,89,2,3,6,89,3,3,5,89,3,1,7,89,2,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,2,41,46,11,1,58,30,11,2,30,57,11,2,50,37,11,2,7,80,11,2,13,74,12,0,60,28,40,0,38,8,5,9,12,0,1,6,25,56,12,0,86,2,14,1,12,73,14,0,71,7,4,0,1,3,14,1,32,13,20,20,15,0,15,34,24,12,16,0,14,70,0,18,1,13,67,1,60,0,33,7,43,0,57,0,70,0,30,0,51,0,29,20,93,0,5,2,87,0,13,0,19,0,0,1,16,25,39,19,1,0,3,11,20,46,22,0,33,32,10,3,22,1,1,9,17,50,22,1,14,17,19,27,69,1,27,3,69,4,6,21,69,1,15,15,22,2,50,26,74,0,6,20,94,0,0,0,1,0,0,0,5,45,0,3,2,2,6,0,1,5,14,0,4,3,1,0,2,12,30,2,33,35,0,0,30,1,5,17,15,9,7,12,4,30,4,31,21,14,30,3,12,29,23,3,0,3.125,3.4580823202077378,2.5,2.0701966780270626,14.1015625,3.600242151798585,2.227272727272727,0.8374954336583582
