ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.-77,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.-77,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.-77,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.-77,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.-77,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.-77,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.-77,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.-77,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.-77,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.-77,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.-77,B8.1,B8.2,B8.3,B9.-99,B9.-77,B9.1,B9.2,B9.3,B10.-99,B10.1,B10.2,B10.3,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.-77,B13_1.1,B13_1.2,B13_2.-99,B13_2.-77,B13_2.1,B13_2.2,B13_3.-99,B13_3.-77,B13_3.1,B13_3.2,B13_4.-99,B13_4.-77,B13_4.1,B13_4.2,B13_5.-99,B13_5.-77,B13_5.1,B13_5.2,B13_6.-99,B13_6.-77,B13_6.1,B13_6.2,B13_7.-99,B13_7.-77,B13_7.1,B13_7.2,B14_1.-99,B14_1.-77,B14_1.1,B14_1.2,B14_2.-99,B14_2.-77,B14_2.1,B14_2.2,B14_3.-99,B14_3.-77,B14_3.1,B14_3.2,B14_4.-99,B14_4.-77,B14_4.1,B14_4.2,B14_5.-99,B14_5.-77,B14_5.1,B14_5.2,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.-77,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.-77,C14.1,C14.2,C14.3,C14.4,C9.-99,C9.-77,C9.1,C9.2,C9.3,C12.-99,C12.-77,C12.1,C12.2,C12.3,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.-77,D8.1,D8.2,D9.-99,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10.-99,D10.-77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.3,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.-77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AFG,Afghanistan,-99,2021-01-13,2021-01-01,100,9,356765.08025038056,5,208819.7144036671,73,72,4863715.701349157,30,25,15,60,30,18,52,28,19,53,26,26,48,23,27,50,25,26,49,27,19,54,27,17,56,28,14,58,25,18,57,30,15,55,27,23,50,33,14,53,32,17,51,85,7,6,2,82,6,7,5,81,5,8,6,74,5,11,10,73,12,9,6,74,7,9,10,81,9,6,4,83,9,5,3,86,5,8,1,82,7,6,5,85,5,5,5,77,8,9,6,86,3,5,6,83,3,9,5,28,0,17,55,85,1,11,3,31,0,24,45,78,1,12,9,88,1,3,5,3,88,2,4,4,2,96,1,2,1,47,2,4,47,100,37,1,20,16,12,14,42,9,24,14,11,42,18,17,16,7,42,17,17,15,9,42,25,10,12,11,42,27,4,9,18,96,2,1,1,96,2,2,0,96,2,1,1,96,0,3,1,96,2,0,2,96,2,1,1,92,2,1,5,92,2,1,5,92,2,1,5,92,2,1,5,92,2,1,5,92,1,3,4,92,1,2,5,98,1,1,0,98,1,1,0,98,0,2,0,98,1,1,0,98,1,1,0,46,2,25,27,46,6,32,16,46,10,13,31,46,7,17,30,46,8,15,31,46,6,20,28,50,0,19,31,81,1,11,5,1,1,50,1,4,11,13,21,50,3,42,5,51,1,9,39,51,1,30,3,3,3,5,4,51,2,24,11,6,6,51,0,19,12,7,11,53,2,7,34,4,55,4,11,24,6,77,4,12,7,68,5,18,9,87,3,4,6,84,4,4,8,86,4,7,3,81,6,12,1,58,4,3,5,5,8,17,58,2,4,5,5,8,18,61,3,15,5,8,8,61,2,8,7,4,18,61,2,12,11,5,9,77,3,15,5,77,5,12,6,77,5,11,7,62,1,19,18,82,0,5,13,95,2,0,0,0,1,0,2,76,0,2,5,2,0,0,0,0,3,0,2,0,1,0,3,6,68,2,20,10,0,0,68,0,6,9,7,6,3,1,0,68,1,15,4,12,68,1,14,8,4,2,3,5,4.461960433384737,10.333333333333334,15.46178083749303,10.814814814814815,5.255305283067162,3.3793103448275867,1.953271854084984
AFG,Afghanistan,-99,2021-01-14,2021-01-01,100,10,579808.9052105695,5,208819.7144036671,75,71,5031541.588511824,28,23,17,60,29,20,51,28,19,53,26,28,46,25,26,49,24,27,49,27,20,53,28,17,55,27,14,59,24,20,56,29,17,54,25,27,48,34,14,52,34,16,50,83,8,7,2,80,6,9,5,81,5,9,5,72,5,12,11,74,11,9,6,73,7,11,9,80,9,7,4,83,9,5,3,86,5,8,1,80,8,7,5,83,5,7,5,73,9,10,8,86,3,5,6,84,3,8,5,29,0,19,52,83,1,13,3,33,0,23,44,80,1,10,9,90,1,3,4,2,90,2,3,3,2,97,0,2,1,48,3,4,45,100,40,1,19,16,11,13,45,10,21,13,11,45,18,16,14,7,45,16,18,13,8,45,25,10,11,9,45,27,4,8,16,96,2,1,1,96,2,2,0,96,2,1,1,96,0,3,1,96,2,0,2,96,2,1,1,94,2,1,3,94,2,1,3,94,2,1,3,94,2,1,3,94,2,1,3,94,1,3,2,94,1,2,3,98,1,1,0,98,1,1,0,98,0,2,0,98,1,1,0,98,1,1,0,49,2,25,24,49,6,31,14,49,9,12,30,49,7,16,28,49,8,14,29,49,6,19,26,52,0,19,29,81,1,11,4,2,1,52,2,4,11,12,19,52,4,40,4,53,1,9,37,53,1,27,3,3,3,6,4,53,2,22,11,6,6,53,1,17,12,6,11,55,2,7,32,4,58,4,9,23,6,76,5,12,7,69,5,17,9,88,2,4,6,84,4,4,8,86,4,7,3,82,6,11,1,61,4,3,5,5,5,17,61,2,4,4,3,8,18,63,3,13,5,8,8,63,2,8,6,3,18,63,2,12,10,4,9,78,2,15,5,78,5,11,6,78,4,11,7,64,0,19,17,83,0,4,13,96,2,0,0,0,0,0,2,77,0,2,5,2,0,0,0,0,3,0,2,0,1,0,3,5,70,2,20,8,0,0,70,0,6,8,7,6,2,1,0,70,0,15,3,12,70,0,14,8,4,2,2,5,4.461960433384737,9,14.548768561863461,10.84,5.451910979953115,3.357142857142857,1.9853964193074745
