ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GT,GTM,Guatemala,Guatemala,2020-12-21,2020-12-21,189,0,0,0,0,67,178,1707925.7031341929,147,1,2,186,2,12,175,2,2,185,2,25,162,3,46,140,1,25,163,2,32,155,3,7,179,2,17,170,1,3,185,2,24,163,2,45,142,2,16,171,2,39,148,187,1,0,1,177,0,7,5,187,0,1,1,164,0,12,13,144,1,18,26,164,0,11,14,157,0,18,14,182,0,3,4,172,0,9,8,186,0,3,0,165,1,14,9,144,1,19,25,173,2,7,7,150,1,21,17,10,1,30,148,159,0,11,19,10,2,53,124,136,0,17,36,172,1,16,0,172,11,6,0,178,0,6,5,30,1,22,136,189,0,0,0,0,13,0,75,66,24,11,114,3,44,19,9,114,2,43,20,10,114,1,45,18,11,114,2,33,25,15,114,1,7,19,48,167,8,5,9,167,8,5,9,167,7,4,11,167,6,8,8,167,10,3,9,167,10,4,8,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,189,0,0,0,20,2,59,108,20,1,121,47,20,2,82,85,20,2,85,82,20,2,41,126,20,3,28,138,21,0,98,70,91,0,62,23,9,4,22,0,1,7,47,112,22,0,167,0,22,0,20,147,22,0,144,15,0,0,0,8,22,0,38,41,58,30,23,0,54,86,22,4,23,0,24,128,14,26,1,32,118,12,130,0,59,0,68,2,118,1,107,0,81,1,104,2,58,25,148,1,36,4,161,2,26,0,28,3,3,7,17,41,90,28,0,1,6,22,42,90,31,1,76,53,15,13,31,1,21,38,40,58,31,1,44,41,41,31,105,4,69,11,105,19,47,18,105,14,54,16,34,1,94,60,129,0,24,36,166,2,3,0,5,3,0,1,9,72,0,4,11,3,11,1,11,7,6,1,4,11,5,5,1,36,38,3,76,70,0,2,38,1,32,48,37,22,7,4,0,38,1,123,16,11,38,1,27,41,44,22,16,2.5742574257425743,1.7963659685791495,2.423076923076923,1.8368032430955021,13.91044776119403,6.086423553919142,2.824324324324324,1.7171254900326733
GT,GTM,Guatemala,Guatemala,2020-12-22,2020-12-22,187,3,23311.47309934217,0,0,67,179,1554244.6400344525,129,0,5,182,0,21,166,0,3,184,0,21,166,0,49,138,0,21,166,0,37,150,0,5,182,1,11,175,0,3,184,0,23,164,0,39,148,0,11,176,0,31,156,182,0,4,1,166,0,10,11,184,0,1,2,166,0,11,10,138,1,19,29,166,1,10,10,150,0,19,18,182,0,3,2,176,0,10,1,184,0,3,0,164,1,13,9,148,1,14,24,176,0,7,4,156,0,20,11,7,1,24,155,163,0,4,20,10,3,46,128,141,0,10,36,177,1,9,0,177,7,3,0,180,0,6,1,23,5,16,143,187,0,0,0,0,11,1,76,75,11,13,18,12,87,44,26,18,10,90,50,19,18,12,109,21,27,18,15,71,45,38,18,16,15,34,104,171,5,3,8,171,6,2,8,171,3,9,4,171,6,4,6,171,5,3,8,171,6,4,6,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,187,0,0,0,22,4,67,94,22,5,112,48,22,5,75,85,22,5,70,90,22,5,14,146,22,6,14,145,25,0,86,76,101,0,52,25,6,3,27,0,1,8,60,91,27,0,160,0,27,2,21,137,27,0,151,6,0,0,0,3,27,0,39,43,49,29,28,3,46,89,19,2,30,1,24,116,16,37,2,26,104,18,121,2,64,0,76,3,107,1,112,1,72,2,117,3,51,16,173,1,11,2,173,0,14,0,41,0,2,2,21,36,85,41,0,1,6,22,35,82,42,1,58,56,18,12,42,1,19,34,41,50,42,1,43,42,35,24,103,7,67,10,103,28,29,27,103,21,42,21,45,2,81,59,128,0,21,38,166,1,5,1,5,2,1,2,4,87,0,3,7,1,15,1,3,8,3,0,7,19,3,0,1,29,52,4,64,66,0,1,52,2,30,43,31,18,6,5,0,56,3,111,9,8,56,2,23,39,45,14,8,2.2857142857142856,1.542439911024374,2.7916666666666665,2.0847096902815085,13.639316239316239,5.389980443713439,2.9761904761904763,1.4447936085920963
GT,GTM,Guatemala,-99,2020-12-23,2020-12-21,100,0,0,0,0,30,86,3314297.850705317,43,8,1,91,8,6,86,7,3,90,8,12,80,7,13,80,6,8,86,8,6,86,9,6,85,7,3,90,8,1,91,6,8,86,6,13,81,9,2,89,8,10,82,99,0,0,1,94,0,6,0,97,1,2,0,88,1,6,5,87,0,9,4,92,2,3,3,94,1,4,1,94,1,4,1,97,1,1,1,99,0,1,0,92,2,3,3,87,1,8,4,98,0,2,0,90,0,7,3,12,2,15,71,85,0,2,13,12,4,20,64,80,1,7,12,93,0,6,1,93,3,4,0,97,0,3,0,25,5,6,64,100,0,0,0,0,17,2,40,22,11,8,39,8,29,14,10,39,15,24,16,6,39,15,26,13,7,39,16,25,11,9,39,17,4,10,30,95,5,0,0,95,4,1,0,95,2,2,1,95,5,0,0,95,4,1,0,95,5,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,10,26,42,22,4,52,22,22,7,25,46,22,9,24,45,22,7,12,59,22,5,25,48,25,0,31,44,69,0,17,5,3,6,26,1,0,5,24,44,26,3,70,1,30,1,2,67,30,0,59,2,2,0,1,6,30,0,36,17,11,6,31,5,35,21,5,3,31,1,9,51,8,34,3,16,43,4,76,1,23,0,50,2,48,0,76,1,23,0,77,1,19,3,88,0,11,1,77,1,22,0,41,1,1,2,8,7,40,41,1,0,4,9,8,37,45,2,16,19,7,11,45,0,13,13,15,14,45,2,20,16,10,7,65,5,25,5,65,10,15,10,65,10,20,5,46,2,31,21,79,0,9,12,92,0,2,2,0,1,2,0,1,61,0,4,4,3,3,0,1,2,2,0,6,1,0,0,1,12,54,0,20,26,0,0,54,0,5,13,9,10,6,1,2,56,1,16,15,12,56,1,10,12,13,4,4,2.5714285714285716,1.6604646509766046,2.5,1.58113883008419,10.84375,6.043441526470739,2.8292682926829267,1.5636885723249088
GT,GTM,Guatemala,Guatemala,2020-12-23,2020-12-23,178,1,4050.136540872181,0,0,87,170,1507626.3071983682,127,1,3,174,1,14,163,1,1,176,1,17,160,0,38,140,2,22,154,0,25,153,1,11,166,1,7,170,0,2,176,1,18,159,0,40,138,0,5,173,0,38,140,175,0,2,1,164,0,2,12,177,0,1,0,161,1,5,11,140,2,15,21,156,1,10,11,153,0,14,11,167,0,7,4,171,0,7,0,176,0,1,1,160,0,11,7,138,0,17,23,173,0,2,3,140,2,23,13,8,0,29,141,149,0,8,21,10,1,39,128,139,0,9,30,169,0,9,0,169,6,3,0,172,0,2,4,21,2,19,136,178,0,0,0,0,13,1,73,57,21,13,21,6,88,44,19,21,4,88,46,19,21,3,92,32,30,21,2,68,45,42,21,3,15,35,104,159,8,7,4,159,9,3,7,159,7,7,5,159,9,5,5,159,10,3,6,159,9,3,7,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,178,0,0,0,23,1,59,95,23,0,121,34,23,1,85,69,23,0,81,74,23,1,23,131,23,0,28,127,26,0,84,68,94,0,56,14,9,5,26,0,0,5,56,91,26,1,151,0,27,2,15,134,27,0,142,4,2,1,0,2,27,0,32,40,49,30,28,1,52,71,22,4,29,1,27,108,13,31,4,29,99,15,119,1,58,0,59,1,118,0,95,2,81,0,98,0,61,19,156,0,20,2,150,0,28,0,33,1,1,7,17,34,85,33,0,3,8,18,28,88,35,1,60,51,23,8,35,2,13,38,40,50,35,1,34,60,25,23,85,9,69,15,85,29,34,30,85,26,41,26,39,0,80,59,119,1,21,37,159,2,4,0,3,4,0,0,6,81,1,3,14,7,9,2,5,10,7,1,7,6,2,1,3,19,43,0,73,60,1,1,43,0,36,38,28,25,6,2,0,49,4,104,14,7,49,2,19,30,48,18,12,2.739130434782609,1.8329677204245824,3.0357142857142856,2.4416470284707845,13.227642276422765,5.252342191245327,2.7301587301587302,1.4610281224545862
GT,GTM,Guatemala,-99,2020-12-24,2020-12-21,100,1,999.741042674969,1,999.741042674969,27,83,3129296.908767057,48,6,2,92,6,7,87,6,3,91,7,10,83,6,14,80,6,9,85,5,10,85,7,9,84,5,2,93,7,1,92,5,9,86,5,17,78,8,2,90,8,8,84,98,1,0,1,93,0,6,1,97,1,2,0,90,1,7,2,86,0,9,5,91,3,4,2,90,1,5,4,91,2,6,1,98,1,1,0,99,0,1,0,91,2,4,3,83,2,9,6,98,0,2,0,92,0,6,2,16,1,13,70,87,0,2,11,16,4,20,60,80,1,6,13,94,1,5,0,94,1,5,0,99,0,1,0,27,4,7,62,100,0,0,0,0,20,1,39,19,9,12,27,8,36,16,13,27,15,30,18,10,27,16,33,15,9,27,18,31,11,13,27,20,4,11,38,94,5,1,0,94,4,1,1,94,2,2,2,94,5,0,1,94,4,1,1,94,5,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,9,21,46,24,4,50,22,24,6,23,47,24,7,25,44,24,6,10,60,24,5,21,50,27,0,27,46,73,0,17,3,1,6,28,2,0,4,25,41,28,4,68,0,30,1,4,65,30,0,61,2,1,0,1,5,30,0,36,17,11,6,31,5,33,21,8,2,31,1,10,48,10,35,2,16,42,5,81,0,19,0,52,1,47,0,78,1,21,0,76,1,20,3,90,0,9,1,81,0,19,0,42,2,1,2,10,6,37,42,2,0,4,10,7,35,45,2,18,19,5,11,45,0,13,17,14,11,45,2,21,18,8,6,62,4,31,3,62,10,17,11,62,10,23,5,46,1,31,22,78,0,10,12,90,0,2,2,0,1,2,2,1,59,0,4,3,2,3,0,0,3,3,0,6,1,0,0,0,16,49,0,21,29,0,1,49,0,8,10,12,11,8,1,1,52,2,15,17,14,52,1,10,11,15,6,5,2.35,2.007223796297028,2.5555555555555554,1.6666666666666667,10.18918918918919,6.15917489891588,3.152173913043478,1.699246778289301
GT,GTM,Guatemala,Guatemala,2020-12-24,2020-12-24,135,0,0,0,0,59,126,1866413.8490311003,91,1,0,134,2,15,118,2,4,129,1,19,115,2,31,102,2,17,116,1,14,120,2,8,125,0,10,125,2,3,130,3,10,122,1,26,108,2,7,126,1,29,105,135,0,0,0,120,0,5,10,131,0,2,2,116,0,11,8,104,0,12,19,118,0,9,8,121,0,8,6,127,0,4,4,125,0,5,5,132,0,3,0,125,0,5,5,109,0,11,15,128,0,5,2,106,1,17,11,9,0,21,105,115,0,6,14,10,1,31,93,104,1,9,21,126,0,9,0,126,6,3,0,129,0,2,4,22,2,15,96,135,0,0,0,0,11,0,58,38,20,8,16,5,61,39,14,16,6,58,40,15,16,5,62,32,20,16,8,47,39,25,16,8,9,25,77,120,4,4,7,120,4,4,7,120,2,10,3,120,4,6,5,120,5,3,7,120,4,4,7,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,135,0,0,0,19,1,35,80,19,1,93,22,19,1,62,53,19,2,60,54,19,1,20,95,19,1,13,102,20,0,64,51,71,0,37,20,5,2,22,1,0,9,40,63,22,1,112,0,24,0,7,104,24,0,101,6,2,0,0,2,24,0,27,29,28,27,24,1,35,61,13,1,25,0,17,79,14,30,2,23,65,15,100,0,34,1,42,0,93,0,73,1,60,1,75,0,41,19,115,0,19,1,122,0,12,1,36,1,1,0,18,25,54,36,1,2,5,19,22,50,36,0,42,34,16,7,36,1,9,27,28,34,36,0,24,32,17,26,79,2,43,11,79,17,19,20,79,13,23,20,39,0,51,45,90,0,18,27,117,1,4,0,4,3,0,0,6,66,0,0,7,1,7,2,2,5,6,0,7,4,2,2,1,23,41,2,47,45,0,0,41,0,18,33,21,13,7,2,0,42,0,73,15,5,42,0,9,24,37,18,5,2.736111111111111,1.846146008871451,3,2.1602468994692874,12.531764705882352,6.110299886738977,2.8285714285714287,1.7355297439293549
GT,GTM,Guatemala,-99,2020-12-25,2020-12-22,100,1,999.741042674969,1,999.741042674969,29,83,2900209.9443332464,49,2,2,96,3,5,92,3,3,94,3,6,91,3,12,85,3,10,87,2,12,86,4,9,87,1,3,96,4,1,95,2,10,88,3,17,80,4,1,95,4,10,86,98,1,0,1,95,0,4,1,97,1,2,0,94,1,3,2,88,0,7,5,90,3,4,3,88,1,5,6,91,2,6,1,97,1,1,1,99,0,1,0,90,2,4,4,83,2,10,5,99,0,1,0,90,1,7,2,16,1,14,69,86,0,3,11,17,3,18,62,82,1,5,12,95,1,4,0,95,1,4,0,99,0,1,0,27,4,6,63,100,0,0,0,0,21,1,41,17,11,9,25,7,40,19,9,25,14,38,16,7,25,17,39,12,7,25,19,36,8,12,25,20,7,9,39,95,3,1,1,95,3,0,2,95,1,1,3,95,3,0,2,95,3,0,2,95,3,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,8,18,48,26,3,50,21,26,8,21,45,26,7,26,41,26,7,8,59,26,6,21,47,29,0,30,41,70,0,20,4,1,5,29,3,0,4,18,46,29,4,67,0,31,1,6,62,31,0,63,2,0,0,0,4,31,0,32,16,14,7,32,5,29,24,8,2,32,1,9,48,10,35,1,13,45,6,84,0,16,0,52,2,46,0,80,2,18,0,75,2,20,3,92,0,7,1,81,0,19,0,41,1,1,2,9,10,36,41,3,0,2,9,8,37,43,2,21,18,6,10,43,0,13,19,13,12,43,3,22,18,8,6,61,4,34,1,61,14,17,8,61,12,23,4,44,1,33,22,78,0,11,11,89,1,3,0,0,1,2,2,2,57,1,3,3,0,1,0,0,5,5,0,5,2,0,0,1,17,50,1,19,29,0,1,50,0,4,9,14,11,9,2,1,51,3,14,21,11,51,2,10,12,14,7,4,2.6315789473684212,2.1656542843981734,2.6666666666666665,1.6583123951777,10.405405405405405,6.370328176874492,3.177777777777777,1.709450853994411
GT,GTM,Guatemala,Guatemala,2020-12-25,2020-12-25,146,0,0,0,0,46,141,1673073.533042942,108,1,2,143,2,20,124,2,3,141,2,16,128,2,41,103,2,17,127,1,21,124,1,3,142,2,12,132,2,2,142,2,14,130,1,30,115,2,4,140,2,22,122,144,0,1,1,126,1,14,5,143,0,2,1,130,0,6,10,105,1,18,22,129,0,12,5,125,0,9,12,143,0,2,1,134,0,5,7,144,0,1,1,132,0,7,7,116,1,15,14,142,0,2,2,124,1,9,12,5,0,16,125,131,0,5,10,8,4,46,88,100,0,10,36,136,2,8,0,136,3,7,0,143,0,1,2,22,1,12,111,146,0,0,0,0,9,0,62,46,22,7,9,3,84,33,17,9,5,77,39,16,9,2,83,34,18,9,5,63,52,17,9,3,13,23,98,135,2,2,7,135,4,1,6,135,3,4,4,135,3,3,5,135,3,1,7,135,4,2,5,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,146,0,0,0,16,2,42,86,16,2,88,40,16,3,47,80,16,1,78,51,16,3,20,107,16,0,17,113,18,0,84,44,62,0,45,22,13,4,19,1,1,9,43,73,19,1,125,1,19,1,9,117,19,0,115,8,0,0,0,4,19,0,31,33,43,20,19,2,29,74,21,1,19,0,25,93,9,22,4,23,89,8,104,1,41,0,58,2,86,0,99,3,42,2,69,1,51,25,126,0,14,6,129,0,17,0,27,1,2,5,17,23,71,27,1,3,5,19,30,61,28,1,49,45,12,11,28,1,17,23,33,44,28,0,23,47,30,18,77,3,57,9,77,18,27,24,77,18,35,16,30,0,68,48,98,0,18,30,130,1,1,0,2,3,0,2,7,62,0,3,7,5,5,0,5,10,3,0,7,5,6,1,3,24,35,2,47,62,0,0,35,0,22,41,24,11,12,1,0,37,1,92,10,6,37,1,14,30,36,19,9,2.7058823529411766,1.853265158347995,3,2.32992949004287,12.802083333333334,5.541460555460022,3.1296296296296298,1.4982394190752322
GT,GTM,Guatemala,Quezaltenango,2020-12-25,2020-12-21,100,0,0,0,0,67,94,2454292.4128311356,65,1,0,99,1,10,89,1,4,95,2,10,88,1,20,79,1,19,80,1,26,73,1,9,90,1,4,95,2,2,96,1,6,93,1,22,77,1,3,96,2,22,76,100,0,0,0,90,1,7,2,97,0,2,1,91,0,6,3,81,0,7,12,81,1,11,7,75,0,18,7,91,0,5,4,96,0,4,0,99,0,1,0,95,0,5,0,78,0,10,12,97,0,2,1,78,0,12,10,6,0,24,70,76,0,3,21,6,0,27,67,73,0,5,22,95,1,4,0,95,2,3,0,98,0,1,1,11,3,6,80,100,0,0,0,0,7,0,49,34,8,2,12,2,55,23,8,12,2,56,21,9,12,1,60,15,12,12,2,42,27,17,12,2,6,25,55,94,5,1,0,94,2,4,0,94,1,3,2,94,5,0,1,94,5,1,0,94,5,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,11,1,33,55,11,1,58,30,11,0,39,50,11,1,45,43,11,0,16,73,11,0,13,76,13,0,46,41,54,0,30,14,1,1,15,0,0,6,31,48,15,0,85,0,16,0,6,78,16,0,79,4,0,0,0,1,16,0,21,24,26,13,16,1,31,38,12,2,20,1,7,64,8,25,2,14,45,14,69,0,31,0,43,0,57,0,63,0,37,0,56,0,34,10,86,0,11,3,88,0,12,0,25,1,0,4,9,21,40,25,0,0,2,6,24,43,26,3,26,31,8,6,26,1,10,13,25,25,26,0,12,25,23,14,63,4,26,7,63,9,20,8,63,7,19,11,27,0,42,31,69,0,10,21,92,1,0,0,2,2,0,0,3,51,0,2,6,0,8,2,1,5,2,0,3,5,3,2,0,10,32,1,34,32,0,1,32,0,13,21,18,10,3,1,2,35,3,41,18,3,35,2,14,14,22,8,5,2.6470588235294117,1.5208356835866879,3.15,1.8715318802914815,12.459016393442623,5.593370392681569,3.0327868852459017,1.5913014915968846
GT,GTM,Guatemala,-99,2020-12-26,2020-12-23,100,1,999.741042674969,1,999.741042674969,22,81,2457734.002684723,50,1,3,96,4,5,91,3,2,95,2,6,92,2,12,86,4,9,87,2,16,82,3,8,89,2,3,95,4,1,95,2,8,90,3,19,78,4,2,94,4,13,83,97,2,0,1,95,1,3,1,98,0,2,0,94,0,6,0,88,1,7,4,91,2,4,3,84,2,8,6,92,2,5,1,97,0,2,1,99,1,0,0,92,1,5,2,81,3,10,6,98,1,1,0,87,3,5,5,19,0,11,70,89,0,1,10,21,4,12,63,88,1,4,7,96,1,3,0,96,1,3,0,99,0,1,0,31,2,4,63,100,0,0,0,0,23,0,41,19,8,9,26,5,43,15,11,26,9,44,11,10,26,10,46,10,8,26,12,38,13,11,26,15,7,12,40,96,2,1,1,96,2,0,2,96,2,0,2,96,2,0,2,96,2,0,2,96,1,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,6,16,51,27,2,52,19,27,6,21,46,27,4,31,38,27,5,10,58,27,4,15,54,28,0,32,40,68,0,19,7,2,4,29,4,1,4,18,44,29,4,67,0,30,2,6,62,30,0,63,3,0,0,0,4,30,0,27,19,14,10,31,5,27,27,8,2,32,1,6,54,7,34,2,11,47,6,85,0,15,0,49,1,50,0,79,1,20,0,70,1,23,6,90,0,9,1,86,0,13,1,39,1,0,1,9,12,38,39,2,0,0,10,13,36,40,3,26,14,6,11,40,0,14,18,11,17,40,2,22,20,5,11,59,1,39,1,59,12,20,9,59,8,26,7,42,2,30,26,74,0,14,12,87,1,4,0,0,2,1,2,3,58,1,4,4,0,3,0,0,6,4,0,4,1,1,0,1,13,48,3,19,27,0,3,48,0,7,6,12,14,9,3,1,50,6,15,21,8,50,3,7,11,16,8,5,3,2.6346112560657287,2.5714285714285716,1.5118578920369088,9.675675675675675,4.893612923745343,3.4090909090909087,1.6749617394891871
