ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AE,ARE,United Arab Emirates,Dubai,2020-12-21,2020-12-21,154,1,19369.4260707311,1,19369.4260707311,35,147,2015128.2722658853,111,0,4,150,1,8,145,1,1,152,1,12,141,0,15,139,1,15,138,0,10,144,0,5,149,1,4,149,2,4,148,1,9,144,1,23,130,1,5,148,1,23,130,152,1,0,1,147,0,1,6,154,0,0,0,143,1,3,7,141,1,2,10,141,0,5,8,146,0,1,7,151,0,1,2,151,1,1,1,152,1,1,0,147,0,2,5,132,1,10,11,150,0,2,2,133,1,11,9,7,0,20,127,134,0,8,12,7,0,98,49,56,1,35,62,119,0,5,29,1,119,22,12,1,132,0,5,16,1,43,0,6,105,154,8,2,44,55,25,20,116,2,17,16,3,116,3,22,11,2,116,1,22,13,2,116,1,21,15,1,116,2,6,14,16,148,0,2,4,148,0,1,5,148,0,4,2,148,0,0,6,148,0,1,5,148,0,2,4,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,154,0,0,0,17,0,72,65,17,0,103,34,17,0,86,51,17,1,59,77,17,1,17,119,17,2,30,105,20,1,52,81,102,31,14,4,3,22,1,0,8,47,76,22,2,130,0,24,3,30,97,24,1,111,14,1,0,0,3,24,1,44,32,28,25,24,1,39,63,24,3,24,1,14,111,4,25,3,13,104,9,84,3,65,2,52,5,96,1,70,5,74,5,97,2,48,7,138,1,13,2,126,3,23,2,27,2,1,4,20,23,77,27,2,1,7,18,25,74,31,1,33,45,29,15,31,0,3,16,31,73,31,0,30,30,29,34,94,2,50,8,94,15,17,28,94,14,24,22,32,0,72,50,104,1,26,23,132,0,7,0,7,0,1,3,4,63,0,0,7,9,4,2,8,4,4,0,2,13,2,5,7,24,41,0,70,41,0,2,41,0,3,39,37,27,6,1,0,42,3,102,3,4,42,1,41,34,18,8,10,2.52,1.9819594509742429,1.7777777777777777,1.437135858965388,14.38888888888889,4.957451360077973,2.6635514018691584,1.5597769871656053
AE,ARE,United Arab Emirates,Abu Dhabi,2020-12-22,2020-12-21,100,0,0,0,0,9,99,2502293.7095309454,63,2,0,98,1,7,92,2,2,96,1,8,91,2,6,92,1,13,86,1,5,94,1,2,97,2,3,95,1,3,96,2,3,95,2,7,91,1,1,98,2,14,84,100,0,0,0,93,1,1,5,98,0,1,1,92,1,3,4,94,1,4,1,87,1,5,7,95,1,2,2,98,1,1,0,97,1,1,1,97,2,0,1,97,0,3,0,93,2,4,1,99,0,1,0,86,2,5,7,1,0,7,92,94,0,4,2,4,0,86,10,14,0,50,36,50,0,2,47,1,50,11,38,1,89,0,6,5,0,56,1,6,37,100,7,1,36,30,20,6,17,3,44,16,20,17,4,43,24,12,17,3,52,20,8,17,3,46,24,10,17,4,15,20,44,95,2,3,0,95,2,1,2,95,0,3,2,95,2,2,1,95,1,2,2,95,2,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,2,46,37,15,1,61,23,15,1,45,39,15,3,25,57,15,2,6,77,15,2,18,65,17,1,28,54,72,19,5,1,3,18,0,1,5,39,37,18,0,80,2,20,0,23,57,20,0,67,10,1,0,0,2,20,0,37,16,10,17,20,1,23,41,9,6,21,1,12,56,10,24,1,16,54,5,55,0,41,4,41,0,57,2,57,0,41,2,76,0,23,1,94,0,5,1,84,0,16,0,26,0,1,4,11,16,42,26,0,3,5,8,18,40,30,3,23,23,11,10,30,2,3,7,24,34,30,2,11,20,26,11,69,0,29,2,69,8,9,14,69,8,12,11,30,2,41,27,73,0,12,15,92,0,5,0,2,0,0,0,1,52,0,2,3,9,2,2,1,3,0,0,2,3,1,3,4,13,35,1,45,19,0,0,35,0,4,30,19,9,2,1,0,35,2,43,7,13,35,1,25,18,10,2,9,2.7142857142857144,2.0701966780270626,1.5,0.5773502691896257,14.890624999999998,4.889630061963496,3,1.900763853245966
AE,ARE,United Arab Emirates,Dubai,2020-12-22,2020-12-22,172,2,35480.3828767639,1,11567.333996020401,23,167,2544376.3487028442,114,3,3,166,2,9,161,3,3,166,4,20,148,3,15,154,3,10,159,4,8,160,3,3,166,4,5,163,3,2,167,3,7,162,3,26,143,3,8,161,1,19,152,169,1,2,0,163,1,3,5,169,1,1,1,152,1,9,10,157,0,4,11,162,0,4,6,164,0,3,5,169,1,1,1,167,2,1,2,170,1,1,0,165,1,2,4,146,1,7,18,164,1,5,2,153,0,8,11,5,0,15,152,157,0,10,5,7,2,112,51,60,2,37,73,135,0,3,33,1,135,24,13,0,148,1,8,15,0,48,1,11,112,172,10,2,49,54,31,26,18,4,57,57,36,18,7,76,42,29,18,6,83,32,33,18,6,81,40,27,18,8,35,44,67,162,0,2,8,162,0,2,8,162,0,4,6,162,0,3,7,162,0,2,8,162,0,2,8,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,172,0,0,0,24,0,76,72,24,0,102,46,24,0,90,58,24,0,64,84,24,1,16,131,24,0,40,108,28,1,59,84,113,40,11,1,7,30,1,0,9,43,89,30,2,140,0,36,0,26,110,36,0,117,15,1,0,0,3,36,1,55,26,34,20,37,1,38,63,23,10,38,0,9,118,7,44,1,15,106,6,96,1,74,1,72,1,98,1,84,1,84,3,110,1,48,13,157,1,12,2,134,0,38,0,49,1,1,3,18,25,75,49,0,3,6,20,25,69,50,2,35,51,17,17,50,2,7,10,34,69,50,2,20,33,29,38,121,3,40,8,121,11,18,22,121,8,22,21,52,1,70,49,123,0,20,29,154,1,4,0,4,2,0,1,6,84,0,1,9,5,10,1,7,3,8,0,4,16,1,6,5,12,56,2,78,35,0,1,56,0,6,48,36,19,6,1,0,57,2,105,8,0,57,2,46,31,18,8,10,2.6545454545454548,2.3587361793206894,1.4666666666666666,0.915475416434127,14.523364485981308,4.4219559285254295,2.8333333333333335,1.5376885189492737
AE,ARE,United Arab Emirates,Abu Dhabi,2020-12-23,2020-12-22,100,0,0,0,0,6,95,2211902.6325939763,63,2,1,97,2,4,94,2,0,98,2,4,94,2,8,90,2,6,92,1,1,98,2,1,97,1,1,98,2,1,97,2,4,94,2,7,91,2,3,95,2,11,87,99,0,1,0,96,0,3,1,100,0,0,0,96,0,1,3,92,0,3,5,94,0,1,5,99,0,1,0,99,0,1,0,99,0,1,0,99,1,0,0,96,0,1,3,93,0,3,4,97,0,1,2,89,0,2,9,4,1,6,89,94,0,4,2,6,2,88,4,12,2,48,38,52,0,1,47,0,52,6,42,0,94,0,2,3,1,58,1,4,37,100,9,1,33,28,19,10,14,5,32,32,17,14,9,37,32,8,14,7,44,26,9,14,8,46,22,10,14,8,16,19,43,96,1,1,2,96,1,1,2,96,1,2,1,96,0,3,1,96,1,0,3,96,1,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,14,0,36,50,14,3,52,31,14,3,47,36,14,3,34,49,14,3,6,77,14,3,7,76,14,0,29,57,71,18,9,1,1,14,0,0,8,26,52,14,0,86,0,16,2,29,53,16,0,69,6,2,1,0,6,16,0,41,13,15,15,16,1,30,32,15,6,16,0,19,57,8,22,1,20,54,3,64,0,35,1,48,2,49,1,53,1,44,2,66,1,30,3,94,0,5,1,93,0,7,0,22,1,1,2,11,11,52,22,0,1,1,13,17,46,27,1,27,20,16,9,27,0,1,4,24,44,27,1,10,21,19,22,69,2,26,3,69,4,10,17,69,4,10,17,27,1,36,36,64,0,13,23,89,2,4,0,2,0,0,0,3,54,0,2,2,1,1,2,2,4,0,0,1,8,2,5,4,12,33,0,50,15,0,2,33,0,4,34,18,5,5,1,0,35,0,49,10,6,35,0,28,16,10,6,5,2.5384615384615383,1.9438265196414877,0.8,0.44721359549995787,14.499999999999998,5.56063260076,2.84375,1.7386251638341887
AE,ARE,United Arab Emirates,Dubai,2020-12-23,2020-12-23,133,1,7641.438506684522,0,0,28,131,1849486.4088250166,92,1,2,130,0,13,120,0,4,129,0,7,126,0,16,117,0,12,121,0,5,128,1,0,132,1,3,129,0,3,130,0,3,130,0,6,127,0,7,126,0,12,121,131,0,1,1,120,0,3,10,129,0,0,4,126,0,2,5,117,0,3,13,121,0,2,10,128,0,4,1,133,0,0,0,130,0,1,2,130,0,2,1,130,0,0,3,127,0,1,5,126,0,2,5,121,0,7,5,2,0,16,115,118,0,4,11,5,3,75,50,58,0,24,51,109,0,2,21,1,109,19,5,0,114,0,3,16,0,33,2,10,88,133,10,2,39,44,30,8,15,1,59,30,28,15,7,54,35,22,15,7,64,22,25,15,8,62,30,18,15,9,20,22,67,124,0,1,8,124,0,0,9,124,0,2,7,124,0,1,8,124,0,1,8,124,0,2,7,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,133,0,0,0,18,1,60,54,18,4,78,33,18,1,70,44,18,1,51,63,18,2,16,97,18,2,20,93,18,0,33,82,100,18,11,2,2,19,1,1,7,42,63,19,0,114,0,22,2,23,86,22,0,91,14,1,0,0,5,22,1,41,21,32,16,23,2,25,51,25,7,23,1,9,99,1,29,3,7,88,6,73,0,57,3,55,0,77,1,63,0,65,5,82,0,40,11,117,0,14,2,113,0,17,3,32,2,0,2,15,20,62,32,1,0,6,15,28,51,33,1,33,38,19,9,33,1,5,13,34,47,33,1,17,22,38,22,94,1,35,3,94,5,15,19,94,7,13,19,34,1,68,30,103,0,10,20,123,1,4,0,0,0,0,0,5,57,0,0,11,6,5,2,6,4,3,0,1,4,0,4,8,22,37,2,60,33,0,1,37,1,6,40,24,18,5,2,0,40,3,75,10,5,40,0,30,30,19,10,4,2.707317073170732,1.9396378842328326,1.8571428571428572,0.7703288865196433,15.414893617021276,4.025215079989375,3.033707865168539,1.5915218431814877
AE,ARE,United Arab Emirates,Sharjah,2020-12-23,2020-12-21,100,0,0,0,0,20,97,3115936.862831902,52,1,1,98,2,3,95,1,0,99,1,8,91,1,8,91,2,11,87,1,4,95,1,1,98,1,2,97,2,0,98,1,5,94,1,7,92,1,3,96,2,12,86,99,0,1,0,97,0,0,3,100,0,0,0,92,1,2,5,92,0,2,6,89,1,2,8,96,1,1,2,99,1,0,0,98,0,1,1,100,0,0,0,95,0,2,3,93,0,3,4,97,2,0,1,88,0,5,7,3,0,8,89,93,0,3,4,4,3,54,39,46,0,22,32,78,0,2,19,1,78,7,15,0,93,0,4,3,0,29,1,7,63,100,7,0,20,35,23,15,37,2,23,24,14,37,4,28,17,14,37,3,35,13,12,37,2,36,19,6,37,4,14,18,27,93,4,0,3,93,4,0,3,93,4,2,1,93,4,2,1,93,2,3,2,93,3,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,4,34,38,24,1,48,27,24,1,37,38,24,2,23,51,24,2,5,69,24,3,12,61,28,0,20,52,80,12,5,2,1,29,0,2,3,33,33,29,0,71,0,30,0,9,61,30,0,54,12,1,0,0,3,30,1,31,15,16,7,30,2,15,38,11,4,31,0,6,56,7,39,0,6,51,4,68,1,28,3,54,2,44,0,64,2,34,0,78,2,16,4,96,1,0,3,88,2,10,0,40,0,1,1,7,12,39,40,0,1,2,10,15,32,41,0,16,25,12,6,41,0,7,13,11,28,41,0,16,19,14,10,67,2,24,7,67,8,10,15,67,9,13,11,43,0,33,24,76,0,8,16,93,0,3,0,2,0,1,0,1,60,0,0,5,4,6,2,1,3,6,0,0,3,1,2,3,4,45,0,40,15,0,0,45,0,1,30,14,8,2,0,0,48,1,41,10,0,48,0,12,28,9,3,0,2.6129032258064515,2.124106390223721,3,2.3664319132398464,15.638297872340425,4.104215923185062,3.34,1.7450805489859138
AE,ARE,United Arab Emirates,Abu Dhabi,2020-12-24,2020-12-23,100,0,0,0,0,15,96,2042323.3763444016,62,1,0,99,1,3,96,2,2,96,1,5,94,1,11,88,1,11,88,0,3,97,1,0,99,0,4,96,1,1,98,1,3,96,1,10,89,1,2,97,1,14,85,100,0,0,0,97,0,1,2,98,0,1,1,95,0,1,4,89,0,6,5,89,0,3,8,97,0,1,2,100,0,0,0,96,0,1,3,99,0,0,1,97,0,1,2,90,0,7,3,98,0,1,1,86,0,3,11,4,0,9,87,91,0,4,5,5,2,81,12,19,3,47,31,53,0,1,45,1,53,11,36,0,89,0,5,6,0,57,0,6,37,100,7,0,45,22,16,10,13,5,39,33,10,13,7,45,27,8,13,9,45,19,14,13,6,49,21,11,13,9,22,27,29,94,1,2,3,94,2,1,3,94,2,1,3,94,1,3,2,94,2,0,4,94,2,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,1,34,49,16,1,57,26,16,1,43,40,16,2,33,49,16,1,7,76,16,2,11,71,16,0,31,53,69,18,6,2,5,17,0,0,8,24,51,17,0,83,0,18,3,29,50,18,0,68,6,0,2,0,6,18,0,36,18,14,14,19,0,32,35,9,5,19,0,16,55,10,20,1,21,55,3,66,0,33,1,43,1,55,1,57,2,40,1,67,1,28,4,93,0,7,0,89,0,10,1,20,1,2,4,10,11,52,20,0,3,2,12,16,47,24,0,21,30,18,7,24,0,3,12,24,37,24,0,12,22,25,17,66,1,28,5,66,8,8,18,66,7,12,15,25,0,39,36,64,0,19,17,84,0,1,0,5,0,1,2,7,45,0,1,0,2,7,7,3,5,1,0,0,8,2,2,2,15,35,0,44,19,0,2,35,0,3,27,15,11,8,1,0,37,4,46,9,4,37,1,26,15,12,4,5,2.6176470588235294,2.045167339709719,1.8571428571428572,0.6900655593423543,12.9921875,5.9110417175408205,3.0833333333333335,1.8253550076505125
AE,ARE,United Arab Emirates,Dubai,2020-12-24,2020-12-24,140,1,28127.4467255152,0,0,24,134,2169788.079901582,89,0,1,139,0,12,128,0,2,138,0,19,121,0,20,120,0,21,119,0,13,127,0,2,138,0,3,137,0,0,140,0,8,132,0,19,121,0,1,139,0,18,122,139,0,0,1,128,1,5,6,138,0,2,0,121,2,5,12,120,0,8,12,119,1,8,12,127,0,7,6,138,0,1,1,137,0,0,3,140,0,0,0,132,0,6,2,121,0,9,10,139,0,1,0,122,1,8,9,6,0,13,121,128,0,7,5,7,0,92,41,48,1,37,54,103,0,3,33,1,103,20,17,0,120,0,1,19,0,45,3,6,86,140,8,0,41,47,31,13,16,3,49,41,31,16,4,52,42,26,16,3,63,30,28,16,1,71,30,22,16,2,11,33,78,134,2,1,3,134,2,0,4,134,0,2,4,134,2,0,4,134,2,0,4,134,2,0,4,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,23,0,70,47,23,1,94,22,23,0,82,35,23,1,59,57,23,1,15,101,23,1,35,81,30,0,51,59,89,30,14,4,3,31,0,1,6,38,64,31,1,108,0,36,0,23,81,36,0,92,11,0,0,0,1,36,0,42,20,22,20,37,1,36,46,17,3,37,0,7,90,6,39,1,8,84,8,73,2,61,4,52,3,83,2,63,2,73,2,86,2,44,8,128,0,11,1,109,3,28,0,41,0,0,0,12,17,70,41,0,0,3,12,24,60,43,1,24,39,20,13,43,0,3,10,27,57,43,0,19,18,27,33,103,2,31,4,103,6,12,19,103,5,14,18,44,0,65,31,109,0,12,19,129,0,4,1,2,1,0,0,3,64,0,3,9,5,6,4,5,4,3,0,4,3,1,3,4,22,50,0,69,21,0,0,50,0,3,40,23,13,4,6,1,50,4,70,10,6,50,0,38,19,16,5,12,2.5849056603773586,1.7033221189572108,2.1,1.449137674618944,14.13953488372093,4.863217987391318,2.7325581395348837,1.6119000013112124
AE,ARE,United Arab Emirates,Sharjah,2020-12-24,2020-12-22,100,0,0,0,0,28,98,2901972.733147941,54,2,1,97,1,6,93,1,1,98,1,7,92,1,6,93,1,9,90,1,4,95,0,1,99,1,3,96,1,0,99,1,3,96,0,14,86,1,2,97,0,13,87,99,0,0,1,94,1,1,4,99,0,1,0,93,1,1,5,94,0,0,6,91,1,3,5,96,1,2,1,99,1,0,0,97,0,1,2,100,0,0,0,97,1,1,1,86,1,4,9,98,1,0,1,87,0,6,7,2,0,10,88,90,0,3,7,2,3,60,35,40,1,24,35,76,0,1,22,1,76,7,17,0,93,0,3,4,0,30,1,6,63,100,7,0,24,33,24,12,18,2,29,31,20,18,7,37,24,14,18,4,46,22,10,18,2,49,26,5,18,5,19,28,30,95,1,0,4,95,1,0,4,95,1,1,3,95,2,1,2,95,1,1,3,95,1,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,2,35,42,21,1,47,31,21,0,36,43,21,1,30,48,21,1,3,75,21,2,8,69,22,0,20,58,80,13,5,1,1,25,0,2,2,31,40,25,0,75,0,26,1,15,58,26,0,64,6,1,0,0,3,26,0,34,11,19,10,26,1,19,39,11,4,26,0,3,63,8,33,0,6,55,6,65,0,33,2,53,1,45,1,64,1,31,4,70,1,24,5,97,0,1,2,92,1,7,0,35,1,2,3,5,13,41,35,1,3,1,10,17,33,37,1,18,22,13,9,37,0,5,8,13,37,37,0,17,17,17,12,66,1,27,6,66,7,15,12,66,7,17,10,38,0,32,30,70,0,11,19,93,0,2,0,1,0,2,0,2,61,0,0,6,5,6,0,4,4,2,0,0,3,1,0,1,7,44,0,43,13,0,0,44,0,1,26,16,8,4,0,1,46,2,44,8,0,46,1,12,21,14,4,2,3.1153846153846154,1.9251373577368047,3.25,2.1213203435596424,14.92,4.570714229901993,3.32,1.7663521732655694
AE,ARE,United Arab Emirates,Abu Dhabi,2020-12-25,2020-12-24,100,0,0,0,0,22,95,2337924.7460402814,61,1,0,99,1,3,96,1,4,95,1,5,94,1,9,90,1,9,90,1,3,96,1,4,95,1,4,95,1,2,97,1,4,95,1,9,90,1,2,97,1,14,85,100,0,0,0,97,1,0,2,96,1,1,2,95,1,1,3,91,0,3,6,91,1,2,6,97,0,1,2,96,1,1,2,96,2,2,0,98,0,1,1,96,0,0,4,91,1,4,4,98,1,1,0,86,1,4,9,5,0,8,87,92,0,3,5,5,1,86,8,16,1,61,22,39,0,2,59,0,39,19,42,0,81,0,8,11,0,70,0,2,28,100,10,1,36,33,8,12,18,1,44,29,8,18,3,45,27,7,18,5,47,24,6,18,4,45,26,7,18,5,22,30,25,99,1,0,0,99,1,0,0,99,1,0,0,99,1,0,0,99,0,1,0,99,1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,0,39,40,21,0,59,20,21,0,45,34,21,0,32,47,21,0,13,66,21,0,10,69,21,0,25,54,75,12,10,1,2,22,0,0,8,20,50,22,0,78,0,24,1,21,54,24,0,64,5,2,0,0,5,24,0,36,13,16,11,25,0,28,41,3,3,25,0,15,56,4,28,0,17,50,5,61,0,38,1,41,0,57,2,55,1,43,1,68,0,26,6,87,0,12,1,90,0,8,2,29,1,2,1,8,10,49,29,0,1,2,10,9,49,31,0,23,23,12,11,31,0,3,6,23,37,31,0,10,14,24,21,78,1,19,2,78,5,7,10,78,5,5,12,33,0,33,34,66,0,14,20,88,0,2,2,0,0,0,1,7,55,0,0,4,3,5,2,2,5,2,0,1,5,2,0,3,11,38,0,42,19,0,1,38,0,3,22,17,12,5,1,2,39,0,40,13,8,39,0,23,21,10,3,4,2.423076923076923,2.1572774865200244,3.3333333333333335,2.065591117977289,14.614035087719298,5.64343609225074,3.186440677966101,1.6761468155511592
