"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/07/01","IT45",4467118,6,202,6,202,0.455445544554455,0.386768548132292,0.524122540976619,0,0,0,0.0394736842105263,0.00851840239341735,0.0704289660276353,0.00777934936350778,0,0.0198950399847844,0.0723684210526316,0.0311787230281038,0.113558119077159
"2022/07/02","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/03","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/04","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/05","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/06","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/07","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/08","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/09","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
"2022/07/10","IT45",4467118,13,320,13,320,0.478125,0.423394795042379,0.532855204957621,0.003125,0,0.00924030982666999,0.0481481481481481,0.022612864723338,0.0736834315729583,0.00803571428571428,0,0.017817842782967,0.0666666666666667,0.0369131045146134,0.0964202288187199
