CountryName,RegionName,threshold,population
Aruba,,53,106031
Afghanistan,,19021,38041757
Angola,,15913,31825299
Albania,,1440,2880913
Andorra,,39,77146
United Arab Emirates,,4885,9770526
Argentina,,22390,44780675
Australia,,12602,25203200
Austria,,4429,8858775
Azerbaijan,,5024,10047719
Burundi,,5765,11530577
Belgium,,5728,11455519
Benin,,5901,11801151
Burkina Faso,,10161,20321383
Bangladesh,,81523,163046173
Bulgaria,,3500,7000039
Bahrain,,821,1641164
Bahamas,,195,389486
Bosnia and Herzegovina,,1650,3300998
Belarus,,4726,9452409
Belize,,195,390351
Bermuda,,31,62508
Bolivia,,5757,11513102
Brazil,,105525,211049519
Barbados,,144,287021
Brunei,,217,433296
Bhutan,,382,763094
Botswana,,1152,2303703
Central African Republic,,2373,4745179
Canada,,18706,37411038
Switzerland,,4296,8591361
Chile,,9476,18952035
China,,716892,1433783692
Cote d'Ivoire,,12858,25716554
Cameroon,,12938,25876387
Democratic Republic of Congo,,43395,86790568
Congo,,2690,5380504
Colombia,,25170,50339443
Comoros,,425,850891
Cape Verde,,275,549936
Costa Rica,,2524,5047561
Cuba,,5667,11333484
Cyprus,,438,875899
Czech Republic,,5325,10649800
Germany,,41510,83019213
Djibouti,,487,973557
Dominica,,36,71808
Denmark,,2903,5806081
Dominican Republic,,5369,10738957
Algeria,,21527,43053054
Ecuador,,8687,17373657
Egypt,,50194,100388076
Eritrea,,1749,3497117
Spain,,23469,46937060
Estonia,,662,1324820
Ethiopia,,56039,112078727
Finland,,2759,5517919
Fiji,,445,889955
France,,33506,67012883
Faeroe Islands,,24,48497
Gabon,,1086,2172578
United Kingdom,,33324,66647112
United Kingdom,England,27990,55980000
United Kingdom,Northern Ireland,941,1882000
United Kingdom,Scotland,2727,5454000
United Kingdom,Wales,1568,3136000
Georgia,,1998,3996762
Ghana,,15209,30417858
Guinea,,6386,12771246
Gambia,,1174,2347696
Greece,,5362,10724599
Greenland,,3,5666
Guatemala,,8791,17581476
Guam,,84,167295
Guyana,,391,782775
Hong Kong,,3748,7496981
Honduras,,4873,9746115
Croatia,,2038,4076246
Haiti,,5632,11263079
Hungary,,4832,9664124
Indonesia,,135313,270625567
India,,683209,1366417756
Ireland,,2452,4904240
Iran,,41457,82913893
Iraq,,19655,39309789
Iceland,,170,339037
Israel,,4260,8519373
Italy,,30275,60550092
Jamaica,,1474,2948277
Jordan,,5051,10101697
Japan,,63430,126860299
Kazakhstan,,9276,18551428
Kenya,,26287,52573967
Kyrgyz Republic,,3208,6415851
Cambodia,,8243,16486542
South Korea,,25613,51225321
Kuwait,,2104,4207077
Laos,,3585,7169456
Lebanon,,3428,6855709
Liberia,,2469,4937374
Libya,,3389,6777453
Sri Lanka,,10662,21323734
Lesotho,,1063,2125267
Lithuania,,1380,2759631
Luxembourg,,31,61573
Latvia,,960,1919968
Macao,,348,696100
Morocco,,18236,36471766
Monaco,,19,38967
Moldova,,2022,4043258
Madagascar,,13485,26969306
Mexico,,63788,127575529
Mali,,9829,19658023
Myanmar,,27023,54045422
Mongolia,,1613,3225166
Mozambique,,15183,30366043
Mauritania,,2263,4525698
Mauritius,,63,126967
Malawi,,9314,18628749
Malaysia,,15975,31949789
Namibia,,1247,2494524
Niger,,11655,23310719
Nigeria,,100482,200963603
Nicaragua,,3273,6545503
Netherlands,,8641,17282163
Norway,,2664,5328212
Nepal,,14304,28608715
New Zealand,,2392,4783062
Oman,,2487,4974992
Pakistan,,108283,216565317
Panama,,212,424644
Peru,,16255,32510462
Philippines,,54058,108116622
Papua New Guinea,,4388,8776119
Poland,,18986,37972812
Puerto Rico,,1467,2933404
Portugal,,5138,10276617
Paraguay,,3522,7044639
Palestine,,2491,4981422
Qatar,,1416,2832071
Kosovo,,937,1873160
Romania,,9707,19414458
Russia,,57294,114587226
Rwanda,,6313,12626938
Saudi Arabia,,17134,34268529
Sudan,,21407,42813237
Senegal,,8148,16296362
Singapore,,2902,5804343
Solomon Islands,,326,652857
Sierra Leone,,3907,7813207
El Salvador,,323,645355
San Marino,,17,33864
Somalia,,7721,15442906
Serbia,,4386,8772228
South Sudan,,6389,12778250
Suriname,,291,581363
Slovak Republic,,2725,5450421
Slovenia,,1040,2080908
Sweden,,5115,10230185
Eswatini,,574,1148133
Seychelles,,49,97741
Syria,,8535,17070132
Chad,,7973,15946882
Togo,,4041,8082359
Thailand,,34813,69625581
Tajikistan,,4661,9321023
Timor-Leste,,65,129312
Trinidad and Tobago,,697,1394969
Tunisia,,5847,11694721
Turkey,,41715,83429607
Taiwan,,11784,23568378
Tanzania,,29003,58005461
Uganda,,22135,44269587
Ukraine,,21997,43993643
Uruguay,,1731,3461731
United States,,164532,329064917
United States,Alabama,2390,4779736
United States,Alaska,355,710231
United States,Arizona,3196,6392017
United States,Arkansas,1458,2915918
United States,California,18627,37253956
United States,Colorado,2515,5029196
United States,Connecticut,1787,3574097
United States,Delaware,449,897934
United States,Florida,9401,18801310
United States,Georgia,4844,9687653
United States,Hawaii,680,1360301
United States,Idaho,784,1567582
United States,Illinois,6415,12830632
United States,Indiana,3242,6483802
United States,Iowa,1523,3046355
United States,Kansas,1427,2853118
United States,Kentucky,2170,4339367
United States,Louisiana,2267,4533372
United States,Maine,664,1328361
United States,Maryland,2887,5773552
United States,Massachusetts,3274,6547629
United States,Michigan,4942,9883640
United States,Minnesota,2652,5303925
United States,Mississippi,1484,2967297
United States,Missouri,2994,5988927
United States,Montana,495,989415
United States,Nebraska,913,1826341
United States,Nevada,1350,2700551
United States,New Hampshire,658,1316470
United States,New Jersey,4396,8791894
United States,New Mexico,1030,2059179
United States,New York,9689,19378102
United States,North Carolina,4768,9535483
United States,North Dakota,336,672591
United States,Ohio,5768,11536504
United States,Oklahoma,1876,3751351
United States,Oregon,1916,3831074
United States,Pennsylvania,6351,12702379
United States,Rhode Island,526,1052567
United States,South Carolina,2313,4625364
United States,South Dakota,407,814180
United States,Tennessee,3173,6346105
United States,Texas,12573,25145561
United States,Utah,1382,2763885
United States,Vermont,313,625741
United States,Virgin Islands,53,106405
United States,Virginia,4001,8001024
United States,Washington,3362,6724540
United States,Washington DC,301,601723
United States,West Virginia,926,1852994
United States,Wisconsin,2843,5686986
United States,Wyoming,282,563626
Uzbekistan,,16491,32981715
Venezuela,,14258,28515829
Vietnam,,48231,96462108
Vanuatu,,154,307815
Yemen,,14581,29161922
South Africa,,29279,58558267
Zambia,,8931,17861034
Zimbabwe,,7323,14645473
