ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
IN,IND,India,2021-07-01,767673903.273265,1933,5426.533,1767,6004.56,0,110,3002,811,630,2181,2011,788,1425,544,40,8510507.15579421,14,15,12,2,12,2404708.17157813,1776,2911,96665.6507741597,54,18,24,17,1,78,33,31,25,7,115,59,38,51,7,408,291,0,0,0,70,42,18,30,11,36,54,31,39,14,71,13,13,3,10,8,20,12,10,5,12,14,7,4,5,0,4,4,10,5,4,2,3,6,2,28,32,20,26,24,39,33,23,17,36,34,22,8,9,3,9,8,14,10,6,6,10,11,3,2021-07-01,3002,1,0.0366422385076616,0.00672090174022699,0.0133244503664224,0.00410161206493339,0.0110860967391317,7.40676005578891e-06,0.00399733510992672,0.00225713885216177,0.0031324604904827,3.95294917697252e-06,0.0183726068751068,0.000846585308063258
IN,IND,India,2021-07-02,759695298.909317,1839,6118.1,1497,5940,0,95,2805,814,590,2057,1907,719,1315,561,37,9278232.44633129,16,10,10,5,16,4341393.06280617,1498,2720,90323.1089336016,37,15,10,12,1,62,32,19,21,10,84,51,20,37,13,353,248,0,0,0,58,38,14,25,9,26,44,26,30,10,62,8,6,3,6,6,15,11,5,6,9,11,6,8,6,3,6,5,10,8,2,5,7,8,6,25,21,16,21,22,35,25,16,15,30,31,21,10,8,5,8,7,12,10,5,7,10,10,7,2021-07-02,2805,1,0.0338680926916221,0.0066941469338006,0.0131907308377897,0.00422214065890902,0.0122130970925474,7.8103933794283e-06,0.00570409982174688,0.00278697479537697,0.00571465042503099,5.36017200510453e-06,0.0165849029964326,0.0008328629744289
IN,IND,India,2021-07-03,756420923.913192,1980,5757.5,1660,6127,0,109,3076,864,656,2237,2129,732,1455,632,42,8903885.91962631,22,15,19,3,22,4095113.41109354,1674,2985,99122.9706495591,53,27,16,25,2,77,42,25,33,9,110,57,35,46,11,397,285,0,0,0,64,41,18,30,9,25,57,32,43,12,65,10,10,3,11,7,10,12,6,4,10,9,5,5,5,0,5,4,4,6,4,2,3,3,1,35,32,13,30,24,40,30,16,14,39,27,21,15,12,1,13,10,14,12,6,4,16,8,5,2021-07-03,3076,1,0.0354356306892068,0.00653342058380193,0.0136540962288687,0.00410110631393353,0.0117710730072931,7.68604870094216e-06,0.00715214564369311,0.00297792976824019,0.00541380239709433,5.22924197035032e-06,0.0168881137140077,0.000802145187443959
IN,IND,India,2021-07-04,753470331.516046,2041,6329,1259.2,6620,0,103,3097,860,652,2227,2161,727,1381,735,45,9299835.18178492,27,9,20,5,16,4131364.95675121,1271.2,2998,99554.6619790212,43,21,14,14,6,74,40,24,30,9,104,65,26,47,16,377,284,0,0,0,65,35,20,19,15,29,47,29,29,16,65,9,10,4,9,9,16,11,4,4,12,8,5,5,6,2,6,5,8,6,3,3,6,6,4,28,29,22,29,28,40,28,17,27,32,30,23,11,10,9,13,13,17,12,6,9,13,13,8,2021-07-04,3097,1,0.0332579916047788,0.00631510816212075,0.0145301905069422,0.00421439079315501,0.0123426693697055,7.88356597337106e-06,0.00516628995802389,0.00252488803022691,0.005483115637,5.2727210490917e-06,0.012768864608951,0.000697433578268811
IN,IND,India,2021-07-05,792115794.333698,2010,6089.9985,1422,6229,0,94,3094,864,629,2264,2095,788,1394,652,40,9493713.2361027,16,11,10,6,18,3559666.93066408,1439,3000,99621.0760297076,42,21,7,16,5,59,33,15,22,11,94,60,19,45,15,418,285,0,0,0,58,31,15,20,9,24,45,20,30,13,56,9,9,4,7,5,12,3,3,3,8,11,7,4,5,2,3,3,6,3,2,1,4,6,4,29,22,17,20,18,33,16,14,17,34,28,21,12,11,4,9,8,14,7,4,7,15,12,9,2021-07-05,3094,1,0.0303813833225598,0.00604772703696446,0.0129282482223659,0.00398044968887304,0.0119852593572995,7.57807998438145e-06,0.00581771170006464,0.00267976706414738,0.00449387192646292,4.65785611774748e-06,0.0144447345616994,0.000740913914396506
IN,IND,India,2021-07-06,769468554.820698,1915,5486.3,1365,6170,0,100,2960,854,686,2096,2027,738,1370,618,41,6834814.80514474,25,9,19,6,16,3501696.7718621,1377,2871,95337.3697604302,33,12,9,8,4,88,46,27,35,11,114,68,28,52,15,390,268,0,0,0,71,37,26,28,8,29,47,30,37,9,55,8,7,5,14,6,12,5,8,8,6,10,6,3,4,3,8,4,7,1,3,4,3,3,4,22,20,12,23,15,26,19,18,21,22,23,18,10,8,5,11,5,13,6,6,7,7,9,7,2021-07-06,2960,1,0.0337837837837838,0.00650868930781598,0.0138513513513514,0.0042103626099854,0.00888251347287011,6.62953639947221e-06,0.00540540540540541,0.00264143190106883,0.00455079905465152,4.75560783040974e-06,0.0144434444065345,0.0007573430957655
IN,IND,India,2021-07-07,739304368.784852,1850,6331.8,1297.3,5939,0,85,2832,805,605,2059,1970,671,1284,644,35,10027360.2524228,15,13,13,2,14,2501704.92273699,1309,2749,91286.1126685554,41,16,16,13,3,63,31,23,24,7,111,58,31,47,11,386,280,0,0,0,46,27,12,19,6,24,40,24,32,6,60,9,7,6,9,6,15,10,4,6,12,11,8,5,3,2,5,5,8,4,1,3,6,4,5,28,22,25,31,26,39,28,18,21,35,34,25,10,8,7,13,12,16,9,5,8,13,14,15,2021-07-07,2832,1,0.0300141242937853,0.00628415675947768,0.0123587570621469,0.00406900733611571,0.0135632368423633,8.33782455057831e-06,0.00494350282485876,0.00258310898300528,0.00338386330226735,4.18607319036819e-06,0.0143395305346473,0.00077121749060341
IN,IND,India,2021-07-08,766051256.93438,1885,5587.8,1332,6286.5,0,85,2874,825,632,2064,1977,692,1316,624,35,8862109.0068107,15,12,12,3,15,3123375.31535333,1337,2785,92481.5655809119,44,14,18,13,1,71,29,31,22,7,101,51,34,41,10,358,255,0,0,0,45,26,8,21,3,17,36,21,30,4,53,6,4,1,2,7,6,3,2,2,4,8,1,4,3,0,2,4,5,3,1,2,2,7,1,21,22,15,23,23,27,19,12,13,30,25,17,8,5,4,6,9,12,10,5,5,10,11,6,2021-07-08,2874,1,0.0295755045233125,0.0061937213838594,0.012178148921364,0.00400991035554859,0.0115685587962815,7.572374444028e-06,0.00521920668058455,0.00263433288028111,0.00407724063772521,4.51247882484041e-06,0.0144569351913735,0.000769301226121282
IN,IND,India,2021-07-09,808355494.906208,1908,5906.272021,1412,5869.4,0,107,2927,859,591,2144,2051,693,1377,620,36,9516192.5238719,11,14,7,3,19,5118278.62755922,1422,2826,93843.0536199846,43,18,12,11,6,74,32,28,23,9,85,45,24,32,12,387,290,0,0,0,59,46,10,28,16,29,54,26,33,17,74,9,11,6,12,7,14,9,10,2,11,13,8,8,8,6,8,6,8,7,7,2,10,11,6,33,33,21,33,27,40,32,27,13,36,35,26,12,9,7,10,8,12,8,8,2,13,13,7,2021-07-09,2927,1,0.0365562008882815,0.0067987715807981,0.0122992825418517,0.00399290799810089,0.0117722865544151,7.43542539693167e-06,0.00649128800819952,0.00290929666383398,0.00633171749287495,5.46799831486782e-06,0.0151529595973971,0.000781592080361578
IN,IND,India,2021-07-10,769434826.065325,1936,6247.3,1420,5953.1,0,96,2939,810,678,2067,2052,697,1277,727,38,7468581.40315199,18,14,12,6,20,5107169.79324818,1433,2866,95171.334633714,43,19,12,13,6,74,42,23,26,15,110,64,30,46,16,356,248,0,0,0,58,26,25,19,5,28,37,34,28,7,63,6,9,4,7,9,18,5,3,2,7,6,5,4,5,3,3,2,9,2,2,2,5,3,3,29,25,17,24,22,42,15,12,12,30,28,20,10,11,6,7,7,14,6,3,4,14,9,7,2021-07-10,2939,1,0.0326641714869003,0.00642647405102826,0.0129295678802314,0.00408426934383842,0.00970658092166719,6.92751153454792e-06,0.00680503572643756,0.00297221866563634,0.00663755995990567,5.7374678820652e-06,0.0150570547898187,0.000773696377503927
