ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
IE,IRL,Ireland,2021-07-01,3232686.81704803,334,1302,40,1180,0,1,380,144,30,341,311,62,98,207,2,37243.1913029777,1,1,0,1,1,4339.74498762733,40,374,10182.302275267,3,1,2,0,1,10,7,3,2,5,14,10,4,2,8,27,20,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021-07-01,380,1,0.00263157894736842,0.00515100890968307,0.00526315789473684,0.00727500998692776,0.0115208164015674,0.000116329983564028,0.00263157894736842,0.00515100890968307,0.00134245760051393,3.99139636208811e-05,0.00392838465394618,0.00121500309258271
IE,IRL,Ireland,2021-07-02,3280711.08139569,274,1511,56,877,0,4,319,142,30,276,253,55,80,165,2,13513.3675806369,1,1,0,1,1,4805.46274718288,56,310,8439.87621746728,3,1,1,0,1,8,6,1,1,5,11,10,1,1,9,18,17,0,0,0,2,2,0,2,0,2,2,1,2,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,2,1,1,1,0,2,1,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,2021-07-02,319,1,0.0125391849529781,0.0122108905626471,0.00626959247648903,0.00866177095436851,0.00411903616178478,6.9305167276172e-05,0.00313479623824451,0.0061344499352296,0.00146476255542092,4.13837089060187e-05,0.0066351684026007,0.00173204997108057
IE,IRL,Ireland,2021-07-03,3193309.93104218,308,969,67,1031,0,1,349,138,26,316,288,54,88,200,2,19886.3424503243,1,1,0,1,2,19886.3424503243,67,344,9365.54006067337,3,2,0,0,2,16,11,3,3,8,16,11,3,3,8,23,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,2021-07-03,349,1,0.00286532951289398,0.00560789111429178,0.00573065902578797,0.007919352708573,0.00622750152029062,8.62835416856377e-05,0.00573065902578797,0.007919352708573,0.00622750152029062,8.62835416856377e-05,0.0071538853676296,0.00170684324135737
IE,IRL,Ireland,2021-07-04,3323556.33284056,352,1321,44,1138,0,4,400,145,29,358,338,57,87,247,3,25154.7816126935,2,1,1,1,3,25154.7816126935,44,393,10699.5850111763,6,2,4,0,2,14,10,3,3,7,16,12,3,3,9,32,27,0,0,0,0,0,0,0,0,0,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,2,2,1,2,3,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2021-07-04,400,1,0.01,0.00975069770899393,0.0075,0.00845500725850396,0.00756863404544563,9.31763219877512e-05,0.0075,0.00845500725850396,0.00756863404544563,9.31763219877512e-05,0.00411230902451261,0.00121258635774341
IE,IRL,Ireland,2021-07-05,3164322.2945686,282,898,63,1017,0,5,343,130,35,298,277,58,62,210,3,46231.3971340942,2,1,0,2,2,43014.3629270262,63,336,9147.7368034484,5,4,1,1,3,14,10,4,3,6,15,11,4,3,7,27,21,0,0,0,1,1,0,0,1,1,3,2,1,2,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,5,2,5,4,3,2,1,1,3,3,0,1,3,0,3,2,1,1,0,0,2,1,0,2021-07-05,343,1,0.0145772594752187,0.0126838256387484,0.0087463556851312,0.00985387382122025,0.0146102049128966,0.00013220257648711,0.00583090379008746,0.00805747744133953,0.0135935467132593,0.000127585723249886,0.00688694934644939,0.00169474378363971
IE,IRL,Ireland,2021-07-06,3293013.82825161,311,1237.25,174,1044,0,4,370,138,23,329,286,68,79,205,1,5599.78558874826,0,0,0,0,0,0,174,357,9719.47035366393,5,4,1,2,2,14,9,3,2,7,16,12,2,4,8,29,22,0,0,0,1,0,1,0,0,1,2,2,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,0,2,0,3,0,0,0,1,1,2,1,2,0,1,0,2,0,0,2021-07-06,370,1,0.0108108108108108,0.0105369772717882,0.0027027027027027,0.00529003673660514,0.0017005047293474,4.45010913319812e-05,0,0,0,0,0.0179022100658404,0.0026360733018476
IE,IRL,Ireland,2021-07-07,3256030.79079422,313,1217,152,1115,0,4,379,166,26,341,311,57,78,230,4,40169.0458764155,1,3,1,0,2,19711.7277766593,152,372,10127.8514609607,3,2,1,2,0,13,7,5,3,4,18,11,5,6,5,30,21,0,0,0,3,3,0,3,0,3,3,1,3,0,4,0,2,1,3,2,1,0,0,0,0,0,0,0,2,1,3,2,1,0,0,0,0,0,0,1,3,2,3,2,2,0,1,0,1,1,1,0,2,1,3,2,1,0,0,0,0,0,0,2021-07-07,379,1,0.0105540897097625,0.0102880935723299,0.0105540897097625,0.0102880935723299,0.0123368138870141,0.000119897403772517,0.00527704485488127,0.00729415434861709,0.00605391319774686,8.42564871432697e-05,0.0150081190058825,0.0023679301494776
IE,IRL,Ireland,2021-07-08,3293533.07822323,316,995,32,979,0,1,365,133,20,333,292,67,64,223,3,23476.7180120691,3,0,2,1,3,23476.7180120691,32,362,9855.59738942953,3,2,1,0,2,13,9,4,3,6,15,11,4,3,8,27,18,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2021-07-08,365,1,0.00273972602739726,0.00536240345448114,0.00821917808219178,0.00926240372674286,0.00712812577086191,9.08555281562724e-05,0.00821917808219178,0.00926240372674286,0.00712812577086191,9.08555281562724e-05,0.00324688587972568,0.00112314008343124
IE,IRL,Ireland,2021-07-09,3265164.09570561,283,824,56,971,0,1,321,128,27,282,264,50,58,203,6,50706.0716060715,4,1,0,4,6,50706.0716060715,56,318,8657.67947469224,1,1,0,0,1,17,12,3,4,8,18,13,3,4,9,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-09,321,1,0.00311526479750779,0.00609628878434887,0.0186915887850467,0.0148156750627414,0.0155294098917604,0.000134114098527242,0.0186915887850467,0.0148156750627414,0.0155294098917604,0.000134114098527242,0.00646824592706358,0.00168861824456154
IE,IRL,Ireland,2021-07-10,3378898.56401536,297,1265,120,864,0,4,344,126,32,303,304,38,57,241,6,83305.9698367416,5,1,0,5,3,43223.0977838323,120,341,9283.86383921401,2,2,0,0,2,17,15,2,2,13,19,17,2,3,14,33,28,0,0,0,1,1,0,1,0,1,4,0,1,3,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,3,3,4,3,3,3,1,3,1,2,3,3,3,3,4,3,3,3,1,3,1,2,3,2021-07-10,344,1,0.0116279069767442,0.0113286949167965,0.0174418604651163,0.0138338926892221,0.0246547708546018,0.000165344662929416,0.00872093023255814,0.00982535484592562,0.0127920672861122,0.000119821623502112,0.012925652732339,0.00229765534822807
IE,IRL,Ireland,2021-07-11,3479926.13302271,351,1155,62,1115,0,5,401,158,45,342,328,60,59,262,4,31512.3504904096,3,1,1,2,2,15093.5953514297,62,396,10781.2612326356,4,2,2,0,2,14,10,4,3,7,17,12,5,3,9,33,29,0,0,0,3,3,0,1,2,2,3,2,1,2,4,2,2,1,2,2,2,1,1,1,0,1,2,2,2,1,2,2,2,1,1,1,0,1,2,3,4,2,3,3,4,1,2,1,1,2,3,2,2,1,2,2,2,1,1,1,0,1,2,2021-07-11,401,1,0.0124688279301746,0.010860857791424,0.00997506234413965,0.00972650425543243,0.00905546534202943,9.95275097942785e-05,0.00498753117206983,0.00689497947596574,0.00433733210834542,6.90447289043382e-05,0.00575071864619343,0.00142732216294491
IE,IRL,Ireland,2021-07-12,3594274.92180572,303,1044,36,951,0,0,343,136,40,291,267,67,57,209,1,9744.03864490468,0,1,0,0,0,0,36,336,9147.7368034484,6,5,1,1,4,14,9,3,4,5,15,10,3,4,6,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-12,343,1,0,0,0.00291545189504373,0.00570584492336751,0.00271098868530886,5.37547459949337e-05,0,0,0,0,0.00393539962654251,0.00128300820453148
IE,IRL,Ireland,2021-07-13,3161992.15426159,332,990,41,1120,0,3,382,161,24,350,323,54,59,260,2,23818.1788056273,1,1,0,1,1,13667.3386421229,41,379,10318.4293110326,5,3,2,1,2,4,3,1,0,3,12,10,2,4,6,29,24,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,2021-07-13,382,1,0.00785340314136126,0.0088518343682162,0.00523560209424084,0.00723702116584896,0.00753264955876826,9.53014904810851e-05,0.00261780104712042,0.00512407566892163,0.00432238221201867,7.23083835383443e-05,0.00397347297385295,0.00121384121254622
