ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
SI,SVN,Slovenia,2021-07-11,2021-07-11,142,1504649.48627729,117,195,72,385,0,1,142,38,25,112,99,39,17,80,0,0,0,0,0,0,0,0,72,140,14614.1676083983,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,18,7,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00704225352112676,0.0137538768295014,0,0,0,0,0,0,0,0,0.00492672603252641,0.00113518798621031
SI,SVN,Slovenia,2021-07-12,2021-07-12,153,1528612.19367361,134,628,30,334,0,2,153,39,29,121,116,34,14,100,1,17913.6272593156,1,0,0,1,1,17913.6272593156,30,152,15866.810546261,1,1,0,0,1,5,3,1,1,2,6,4,1,1,3,26,10,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,1,0,0,0,1,1,1,0,1,1,2,1,1,1,0.0130718954248366,0.0179975925804315,0.0065359477124183,0.0127682900213672,0.0117188828752341,0.000170601477003158,0.0065359477124183,0.0127682900213672,0.0117188828752341,0.000170601477003158,0.00189073915721957,0.000675939964813683
SI,SVN,Slovenia,2021-07-13,2021-07-13,164,1540426.2473392,138,315,33,422,0,0,164,44,27,130,110,50,14,93,0,0,0,0,0,0,0,0,33,160,16701.9058381694,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00197582241929445,0.000673456519085775
SI,SVN,Slovenia,2021-07-14,2021-07-14,170,1488192.83287293,155,172,58,384,0,1,170,47,27,139,127,41,20,104,2,17725.9282183662,1,1,0,1,2,17725.9282183662,58,167,17432.6142185894,2,1,1,0,1,4,2,2,0,2,2,0,2,0,0,25,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00588235294117647,0.0114952404835718,0.0117647058823529,0.0162085568146735,0.0119110425926099,0.000174297596505074,0.0117647058823529,0.0162085568146735,0.0119110425926099,0.000174297596505074,0.00332709708783387,0.000854822399829744
SI,SVN,Slovenia,2021-07-15,2021-07-15,160,1514426.55223204,140,261,104,360,0,2,160,41,33,124,120,35,19,100,2,18548.7685360501,1,1,0,1,1,6298.88273227737,105,157,16388.7451037038,1,0,1,0,0,3,1,1,0,1,5,3,1,1,2,19,10,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0125,0.0172151835812792,0.0125,0.0172151835812792,0.0122480476248333,0.000175178726523212,0.00625,0.0122114343557982,0.00415925270393191,0.000102500641486872,0.00640683587032363,0.00122152212433335
SI,SVN,Slovenia,2021-07-16,2021-07-16,158,1490591.03108424,136,257,152,321,0,2,158,40,26,128,120,36,22,97,0,0,0,0,0,0,0,0,152,157,16388.7451037038,0,0,0,0,0,3,3,0,2,1,3,3,0,2,1,18,5,0,0,0,2,2,0,1,1,2,2,0,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0.0126582278481013,0.0174317005825738,0,0,0,0,0,0,0,0,0.00927465764084944,0.00146757674188528
SI,SVN,Slovenia,2021-07-17,2021-07-17,159,1372841.53794734,137,264,34,367,0,0,159,45,26,128,116,38,12,103,0,0,0,0,0,0,0,0,34,156,16284.3581922152,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00208789315480998,0.000701072688495773
SI,SVN,Slovenia,2021-07-18,2021-07-18,175,1447284.28652593,145,345,38,387,0,2,175,42,37,130,119,54,24,94,2,28501.2664980365,1,1,1,0,2,28501.2664980365,39,173,18058.9356875207,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,24,14,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0114285714285714,0.0157481327622338,0.0114285714285714,0.0157481327622338,0.0196929288622701,0.000226364016500692,0.0114285714285714,0.0157481327622338,0.0196929288622701,0.000226364016500692,0.00215959570789934,0.000677046949718555
SI,SVN,Slovenia,2021-07-19,2021-07-19,168,1537773.79964117,152,223,180,420,0,1,168,42,39,126,123,43,16,103,2,21050.6969453428,1,1,0,1,1,6961.8445645122,180,168,17537.0011300779,0,0,0,0,0,2,1,1,0,1,1,0,1,0,0,33,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00595238095238095,0.0116316788813602,0.0119047619047619,0.0164003535442568,0.0136890724437202,0.000183652056449675,0.00595238095238095,0.0116316788813602,0.0045272227723848,0.000106104178978673,0.0102640125677634,0.00149172474689582
SI,SVN,Slovenia,2021-07-20,2021-07-20,172,1488757.86664948,147,216,65,401,0,1,172,51,42,120,117,50,24,92,0,0,0,0,0,0,0,0,65,167,17432.6142185894,2,0,1,0,0,1,0,1,0,0,2,0,2,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00581395348837209,0.0113619657517714,0,0,0,0,0,0,0,0,0.00372864328808969,0.000904755167206242
