"date","region","population","sample_size","reach","p_cases","p_cases_error"
"2020/04/13","ECA",881394,6,355,0,0
"2020/04/14","ECA",881394,7,385,0,0
"2020/04/15","ECA",881394,7,385,0,0
"2020/04/16","ECA",881394,7,385,0,0
"2020/04/17","ECA",881394,7,385,0,0
"2020/04/18","ECA",881394,7,385,0,0
"2020/04/19","ECA",881394,7,385,0,0
"2020/04/20","ECA",881394,7,385,0,0
"2020/04/21","ECA",881394,7,385,0,0
"2020/04/22","ECA",881394,7,385,0,0
"2020/04/23","ECA",881394,7,385,0,0
"2020/04/24","ECA",881394,7,385,0,0
"2020/04/25","ECA",881394,7,385,0,0
"2020/04/26","ECA",881394,7,385,0,0
"2020/04/27","ECA",881394,7,385,0,0
"2020/04/13","ECB",209933,0,0,NA,NA
"2020/04/14","ECB",209933,0,0,NA,NA
"2020/04/15","ECB",209933,0,0,NA,NA
"2020/04/16","ECB",209933,0,0,NA,NA
"2020/04/17","ECB",209933,0,0,NA,NA
"2020/04/18","ECB",209933,0,0,NA,NA
"2020/04/19","ECB",209933,0,0,NA,NA
"2020/04/20","ECB",209933,0,0,NA,NA
"2020/04/21","ECB",209933,0,0,NA,NA
"2020/04/22","ECB",209933,0,0,NA,NA
"2020/04/23","ECB",209933,0,0,NA,NA
"2020/04/24","ECB",209933,0,0,NA,NA
"2020/04/25","ECB",209933,0,0,NA,NA
"2020/04/26","ECB",209933,0,0,NA,NA
"2020/04/27","ECB",209933,0,0,NA,NA
"2020/04/13","ECF",281396,0,0,NA,NA
"2020/04/14","ECF",281396,0,0,NA,NA
"2020/04/15","ECF",281396,0,0,NA,NA
"2020/04/16","ECF",281396,0,0,NA,NA
"2020/04/17","ECF",281396,0,0,NA,NA
"2020/04/18","ECF",281396,0,0,NA,NA
"2020/04/19","ECF",281396,0,0,NA,NA
"2020/04/20","ECF",281396,0,0,NA,NA
"2020/04/21","ECF",281396,0,0,NA,NA
"2020/04/22","ECF",281396,0,0,NA,NA
"2020/04/23","ECF",281396,0,0,NA,NA
"2020/04/24","ECF",281396,0,0,NA,NA
"2020/04/25","ECF",281396,0,0,NA,NA
"2020/04/26","ECF",281396,0,0,NA,NA
"2020/04/27","ECF",281396,0,0,NA,NA
"2020/04/13","ECC",186869,5,158,0,0
"2020/04/14","ECC",186869,5,158,0,0
"2020/04/15","ECC",186869,5,158,0,0
"2020/04/16","ECC",186869,5,158,0,0
"2020/04/17","ECC",186869,5,158,0,0
"2020/04/18","ECC",186869,5,158,0,0
"2020/04/19","ECC",186869,5,158,0,0
"2020/04/20","ECC",186869,5,158,0,0
"2020/04/21","ECC",186869,5,158,0,0
"2020/04/22","ECC",186869,5,158,0,0
"2020/04/23","ECC",186869,5,158,0,0
"2020/04/24","ECC",186869,5,158,0,0
"2020/04/25","ECC",186869,5,158,0,0
"2020/04/26","ECC",186869,5,158,0,0
"2020/04/27","ECC",186869,5,158,0,0
"2020/04/13","ECH",524004,2,43,NA,NA
"2020/04/14","ECH",524004,2,43,NA,NA
"2020/04/15","ECH",524004,2,43,NA,NA
"2020/04/16","ECH",524004,2,43,NA,NA
"2020/04/17","ECH",524004,2,43,NA,NA
"2020/04/18","ECH",524004,2,43,NA,NA
"2020/04/19","ECH",524004,2,43,NA,NA
"2020/04/20","ECH",524004,2,43,NA,NA
"2020/04/21","ECH",524004,2,43,NA,NA
"2020/04/22","ECH",524004,2,43,NA,NA
"2020/04/23","ECH",524004,2,43,NA,NA
"2020/04/24","ECH",524004,2,43,NA,NA
"2020/04/25","ECH",524004,2,43,NA,NA
"2020/04/26","ECH",524004,2,43,NA,NA
"2020/04/27","ECH",524004,2,43,NA,NA
"2020/04/13","ECX",488716,3,46,NA,NA
"2020/04/14","ECX",488716,3,46,NA,NA
"2020/04/15","ECX",488716,3,46,NA,NA
"2020/04/16","ECX",488716,3,46,NA,NA
"2020/04/17","ECX",488716,3,46,NA,NA
"2020/04/18","ECX",488716,3,46,NA,NA
"2020/04/19","ECX",488716,3,46,NA,NA
"2020/04/20","ECX",488716,3,46,NA,NA
"2020/04/21","ECX",488716,3,46,NA,NA
"2020/04/22","ECX",488716,3,46,NA,NA
"2020/04/23","ECX",488716,3,46,NA,NA
"2020/04/24","ECX",488716,3,46,NA,NA
"2020/04/25","ECX",488716,3,46,NA,NA
"2020/04/26","ECX",488716,3,46,NA,NA
"2020/04/27","ECX",488716,3,46,NA,NA
"2020/04/13","ECO",715751,0,0,NA,NA
"2020/04/14","ECO",715751,0,0,NA,NA
"2020/04/15","ECO",715751,0,0,NA,NA
"2020/04/16","ECO",715751,0,0,NA,NA
"2020/04/17","ECO",715751,0,0,NA,NA
"2020/04/18","ECO",715751,0,0,NA,NA
"2020/04/19","ECO",715751,0,0,NA,NA
"2020/04/20","ECO",715751,0,0,NA,NA
"2020/04/21","ECO",715751,0,0,NA,NA
"2020/04/22","ECO",715751,0,0,NA,NA
"2020/04/23","ECO",715751,0,0,NA,NA
"2020/04/24","ECO",715751,0,0,NA,NA
"2020/04/25","ECO",715751,0,0,NA,NA
"2020/04/26","ECO",715751,0,0,NA,NA
"2020/04/27","ECO",715751,0,0,NA,NA
"2020/04/13","ECE",643654,1,10,NA,NA
"2020/04/14","ECE",643654,1,10,NA,NA
"2020/04/15","ECE",643654,1,10,NA,NA
"2020/04/16","ECE",643654,1,10,NA,NA
"2020/04/17","ECE",643654,1,10,NA,NA
"2020/04/18","ECE",643654,1,10,NA,NA
"2020/04/19","ECE",643654,1,10,NA,NA
"2020/04/20","ECE",643654,1,10,NA,NA
"2020/04/21","ECE",643654,1,10,NA,NA
"2020/04/22","ECE",643654,1,10,NA,NA
"2020/04/23","ECE",643654,1,10,NA,NA
"2020/04/24","ECE",643654,1,10,NA,NA
"2020/04/25","ECE",643654,1,10,NA,NA
"2020/04/26","ECE",643654,1,10,NA,NA
"2020/04/27","ECE",643654,1,10,NA,NA
"2020/04/13","ECW",33042,0,0,NA,NA
"2020/04/14","ECW",33042,0,0,NA,NA
"2020/04/15","ECW",33042,0,0,NA,NA
"2020/04/16","ECW",33042,0,0,NA,NA
"2020/04/17","ECW",33042,0,0,NA,NA
"2020/04/18","ECW",33042,0,0,NA,NA
"2020/04/19","ECW",33042,0,0,NA,NA
"2020/04/20","ECW",33042,0,0,NA,NA
"2020/04/21","ECW",33042,0,0,NA,NA
"2020/04/22","ECW",33042,0,0,NA,NA
"2020/04/23","ECW",33042,0,0,NA,NA
"2020/04/24","ECW",33042,0,0,NA,NA
"2020/04/25","ECW",33042,0,0,NA,NA
"2020/04/26","ECW",33042,0,0,NA,NA
"2020/04/27","ECW",33042,0,0,NA,NA
"2020/04/13","ECG",4387434,1,30,NA,NA
"2020/04/14","ECG",4387434,1,30,NA,NA
"2020/04/15","ECG",4387434,1,30,NA,NA
"2020/04/16","ECG",4387434,1,30,NA,NA
"2020/04/17","ECG",4387434,1,30,NA,NA
"2020/04/18","ECG",4387434,1,30,NA,NA
"2020/04/19","ECG",4387434,1,30,NA,NA
"2020/04/20","ECG",4387434,1,30,NA,NA
"2020/04/21","ECG",4387434,1,30,NA,NA
"2020/04/22","ECG",4387434,1,30,NA,NA
"2020/04/23","ECG",4387434,1,30,NA,NA
"2020/04/24","ECG",4387434,1,30,NA,NA
"2020/04/25","ECG",4387434,1,30,NA,NA
"2020/04/26","ECG",4387434,1,30,NA,NA
"2020/04/27","ECG",4387434,1,30,NA,NA
"2020/04/13","ECI",476257,0,0,NA,NA
"2020/04/14","ECI",476257,0,0,NA,NA
"2020/04/15","ECI",476257,0,0,NA,NA
"2020/04/16","ECI",476257,0,0,NA,NA
"2020/04/17","ECI",476257,0,0,NA,NA
"2020/04/18","ECI",476257,0,0,NA,NA
"2020/04/19","ECI",476257,0,0,NA,NA
"2020/04/20","ECI",476257,0,0,NA,NA
"2020/04/21","ECI",476257,0,0,NA,NA
"2020/04/22","ECI",476257,0,0,NA,NA
"2020/04/23","ECI",476257,0,0,NA,NA
"2020/04/24","ECI",476257,0,0,NA,NA
"2020/04/25","ECI",476257,0,0,NA,NA
"2020/04/26","ECI",476257,0,0,NA,NA
"2020/04/27","ECI",476257,0,0,NA,NA
"2020/04/13","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/14","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/15","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/16","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/17","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/18","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/19","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/20","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/21","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/22","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/23","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/24","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/25","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/26","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/27","ECL",521154,12,707,0.016973125884017,0.00952142598239256
"2020/04/13","ECR",921763,1,30,NA,NA
"2020/04/14","ECR",921763,1,30,NA,NA
"2020/04/15","ECR",921763,1,30,NA,NA
"2020/04/16","ECR",921763,1,30,NA,NA
"2020/04/17","ECR",921763,1,30,NA,NA
"2020/04/18","ECR",921763,1,30,NA,NA
"2020/04/19","ECR",921763,1,30,NA,NA
"2020/04/20","ECR",921763,1,30,NA,NA
"2020/04/21","ECR",921763,1,30,NA,NA
"2020/04/22","ECR",921763,1,30,NA,NA
"2020/04/23","ECR",921763,1,30,NA,NA
"2020/04/24","ECR",921763,1,30,NA,NA
"2020/04/25","ECR",921763,1,30,NA,NA
"2020/04/26","ECR",921763,1,30,NA,NA
"2020/04/27","ECR",921763,1,30,NA,NA
"2020/04/13","ECM",1562079,0,0,NA,NA
"2020/04/14","ECM",1562079,0,0,NA,NA
"2020/04/15","ECM",1562079,0,0,NA,NA
"2020/04/16","ECM",1562079,0,0,NA,NA
"2020/04/17","ECM",1562079,0,0,NA,NA
"2020/04/18","ECM",1562079,0,0,NA,NA
"2020/04/19","ECM",1562079,0,0,NA,NA
"2020/04/20","ECM",1562079,0,0,NA,NA
"2020/04/21","ECM",1562079,0,0,NA,NA
"2020/04/22","ECM",1562079,0,0,NA,NA
"2020/04/23","ECM",1562079,0,0,NA,NA
"2020/04/24","ECM",1562079,0,0,NA,NA
"2020/04/25","ECM",1562079,0,0,NA,NA
"2020/04/26","ECM",1562079,0,0,NA,NA
"2020/04/27","ECM",1562079,0,0,NA,NA
"2020/04/13","ECS",196535,0,0,NA,NA
"2020/04/14","ECS",196535,0,0,NA,NA
"2020/04/15","ECS",196535,0,0,NA,NA
"2020/04/16","ECS",196535,0,0,NA,NA
"2020/04/17","ECS",196535,0,0,NA,NA
"2020/04/18","ECS",196535,0,0,NA,NA
"2020/04/19","ECS",196535,0,0,NA,NA
"2020/04/20","ECS",196535,0,0,NA,NA
"2020/04/21","ECS",196535,0,0,NA,NA
"2020/04/22","ECS",196535,0,0,NA,NA
"2020/04/23","ECS",196535,0,0,NA,NA
"2020/04/24","ECS",196535,0,0,NA,NA
"2020/04/25","ECS",196535,0,0,NA,NA
"2020/04/26","ECS",196535,0,0,NA,NA
"2020/04/27","ECS",196535,0,0,NA,NA
"2020/04/13","ECN",133705,0,0,NA,NA
"2020/04/14","ECN",133705,0,0,NA,NA
"2020/04/15","ECN",133705,0,0,NA,NA
"2020/04/16","ECN",133705,0,0,NA,NA
"2020/04/17","ECN",133705,0,0,NA,NA
"2020/04/18","ECN",133705,0,0,NA,NA
"2020/04/19","ECN",133705,0,0,NA,NA
"2020/04/20","ECN",133705,0,0,NA,NA
"2020/04/21","ECN",133705,0,0,NA,NA
"2020/04/22","ECN",133705,0,0,NA,NA
"2020/04/23","ECN",133705,0,0,NA,NA
"2020/04/24","ECN",133705,0,0,NA,NA
