,State,State Code,Political_affiliation,β,α,γ,A_r,R_r,Final v SU,Final v Mo,Final v re
0,Alabama,AL,R,0.017506603,0.003674777,0.056751765,0.046828658,0.214953179,0.730133125,0.738009836,0.6328
1,Alaska,AK,R,0.032985282,0.014324592,0.027733129,0.025477651,0.178422065,0.786661224,0.796099855,0.7064
2,Arizona,AZ,D,0.016907641,0.004212896,0.045688944,0.032079541,0.164253286,0.785141795,0.803554556,0.7408
3,Arkansas,AR,R,0.019370688,0.00456969,0.050906678,0.035825534,0.204507401,0.764279721,0.75959176,0.6735
4,California,CA,D,0.019636631,0.002661589,0.0485848,0.0276457,0.099430432,0.876190389,0.872901959,0.8297
5,Colorado,CO,D,0.018673835,0.002911527,0.048321499,0.020807242,0.13319298,0.832456857,0.845962077,0.8002
6,Connecticut,CT,D,0.018834479,0.003166867,0.043316209,0.018864646,0.086714626,0.879641229,0.894397207,0.9663
7,Delaware,DE,D,0.021071579,0.003076471,0.050616025,0.02525637,0.13340147,0.82428788,0.841322754,0.8402
8,Florida,FL,R,0.016647515,0.003226012,0.050031782,0.033756125,0.164348291,0.796693847,0.801711412,0.8004
9,Georgia,GA,D,0.018193422,0.003235571,0.057774839,0.041623894,0.18759819,0.768490385,0.770632056,0.6596
10,Hawaii,HI,D,0.019088401,0.005570463,0.03496876,0.01894506,0.092754648,0.909924361,0.888263637,0.8812
11,Idaho,ID,R,0.019168964,0.004873718,0.04425712,0.025274382,0.228703739,0.742294834,0.745948054,0.6217
12,Illinois,IL,D,0.023197024,0.003415715,0.048874962,0.027029411,0.137983247,0.825552075,0.834979647,0.7628
13,Indiana,IN,R,0.024173596,0.004348464,0.046158176,0.033421453,0.205407306,0.768926649,0.761159831,0.6252
14,Iowa,IA,R,0.023947724,0.002844188,0.056260518,0.027137501,0.190347838,0.792160388,0.782508099,0.6835
15,Kansas,KS,R,0.016404046,0.003347586,0.056339752,0.028660848,0.183658049,0.805214616,0.787537916,0.7299
16,Kentucky,KY,R,0.017852857,0.004247622,0.051733565,0.036995051,0.192101389,0.780683598,0.770789539,0.6662
17,Louisiana,LA,R,0.020425793,0.006049101,0.052168673,0.046195298,0.206037366,0.745844725,0.747690815,0.6146
18,Maine,ME,D,0.017117825,0.002655492,0.048051671,0.016765017,0.130228469,0.888876376,0.852931695,0.9161
19,Maryland,MD,D,0.017172543,0.002416786,0.047327472,0.020896863,0.082517171,0.894701649,0.896525637,0.8731
20,Massachusetts,MA,D,0.017454961,0.001965231,0.048073288,0.016388838,0.077231117,0.900837213,0.906341117,0.9954
21,Michigan,MI,D,0.024346353,0.004228302,0.044364157,0.02469843,0.175149192,0.798011808,0.800145674,0.6738
22,Minnesota,MN,D,0.022876253,0.00285048,0.048976974,0.019702587,0.14266085,0.861041491,0.837631992,0.7559
23,Mississippi,MS,R,0.018071778,0.006929194,0.050509399,0.052077319,0.220995014,0.738979924,0.726723236,0.6005
24,Missouri,MO,R,0.019014278,0.003686451,0.054531555,0.028988385,0.195750795,0.775644122,0.775189589,0.6667
25,Montana,MT,R,0.029946266,0.004706563,0.051558528,0.026352235,0.228924047,0.736226205,0.74472274,0.6581
26,Nebraska,NE,R,0.019555351,0.003034946,0.053040042,0.02355841,0.177547012,0.813745258,0.798865431,0.7077
27,Nevada,NV,D,0.021111962,0.004021296,0.046671536,0.035422414,0.156940871,0.806206205,0.807610376,0.76
28,New Hampshire,NH,D,0.016940287,0.002689021,0.045729399,0.018748089,0.129594389,0.875767326,0.851606042,0.84
29,New Jersey,NJ,D,0.020555098,0.00355962,0.042497685,0.024735242,0.096844859,0.870132819,0.878401061,0.9123
30,New Mexico,NM,D,0.019613,0.005768079,0.039781554,0.028176405,0.125294717,0.842304376,0.846501898,0.8885
31,New York,NY,D,0.016390263,0.003667396,0.045175951,0.024982862,0.100352834,0.878207907,0.874544764,0.9093
32,North Carolina,NC,R,0.02018367,0.003635805,0.055088034,0.034479341,0.173112162,0.803324932,0.792367189,0.856
33,North Dakota,ND,R,0.022492341,0.006095433,0.051878076,0.029745097,0.232463105,0.729994372,0.73777257,0.6605
34,Ohio,OH,R,0.023155277,0.002724173,0.060194677,0.028935937,0.199547081,0.784319236,0.771503407,0.6364
35,Oklahoma,OK,R,0.026588658,0.006098961,0.050221043,0.040535518,0.227006061,0.739980948,0.732453254,0.7171
36,Oregon,OR,R,0.0190902,0.003259168,0.043174089,0.017253363,0.147399075,0.826249295,0.835310531,0.7848
37,Pennsylvania,PA,D,0.021354412,0.003463185,0.047128799,0.025017549,0.16337195,0.824448801,0.811591935,0.8594
38,Rhode Island,RI,D,0.013432431,0.001991055,0.050312196,0.020880208,0.091972046,0.877082943,0.886922301,0.905
39,South Carolina,SC,R,0.019099779,0.003549276,0.056973167,0.039234078,0.194731696,0.76198694,0.765946604,0.6828
40,South Dakota,SD,R,0.028276373,0.005325256,0.047760148,0.028780392,0.209432939,0.765366989,0.761785191,0.7757
41,Tennessee,TN,R,0.017693834,0.003184991,0.058719574,0.039687048,0.211671485,0.750554858,0.748500083,0.6272
42,Texas,TX,R,0.021034937,0.004493771,0.044129358,0.040842958,0.167495033,0.8067771,0.791633968,0.7394
43,Utah,UT,R,0.019486674,0.003146011,0.048050888,0.027388459,0.150686624,0.814881016,0.82189279,0.7249
44,Vermont,VT,D,0.020630911,0.002265795,0.044571945,0.010080294,0.09265241,0.902184753,0.897257554,0.9436
45,Virginia,VA,D,0.018199683,0.003272345,0.049149042,0.024670151,0.120750783,0.856280573,0.854518871,0.8675
46,Washington,WA,D,0.015651177,0.00288152,0.044381836,0.018988498,0.117368014,0.870283273,0.863520532,0.8169
47,West Virginia,WV,R,0.022044776,0.006049078,0.045194614,0.034160789,0.206687338,0.745622514,0.759126956,0.655
48,Wisconsin,WI,D,0.017824324,0.002942968,0.052851654,0.021096318,0.174787454,0.83483353,0.804057675,0.7231
49,Wyoming,WY,R,0.029336991,0.00708699,0.052987393,0.032464382,0.277139189,0.694590934,0.690393025,0.5853
