ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C0a_7.NA,I6_1.NA,I6_2.NA,I6_3.NA,I6_4.NA,I6_5.NA,I6_6.NA,I6_7.NA,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,2020-04-23,2020-04-23,619,37187993.3653009,559,2110.5,124,1602,0,0,7,5,14,10,619,351,0,0,0,0,0,0,11,705167.928994891,0,0,0,0,5,269854.775477417,126,608,7812.80479294255,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,4,2,3,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,123,479,17,301,300,18,61,536,22,162,439,18,17,581,21,43,558,18,619,619,619,619,619,619,619,619,619,19,21,82,107,341,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,14,28,103,136,288,50,126,132,130,182,49,0,0,0,0,619,1,,,0.0113085621970921,0.00832984362570348,0.00807754442649435,0.00705149667123189,0.0226171243941842,0.0117126137763947,0.0161550888529887,0.00993163530862394,0.0177705977382876,0.0104078314330457,0.0189622473594627,4.38363597716313e-05,0.00807754442649435,0.00705149667123189,0.00725650273265916,2.72790301425943e-05,0.0161273708148728,0.00279316010062446
ZA,ZAF,South Africa,2020-04-24,2020-04-24,700,37410359.8330184,645,1960,40,1800,0,0,6,5,9,6,700,378,0,0,0,0,0,0,6,437763.988980848,0,0,0,0,1,50627.5869650207,44,694,8917.90547089166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,3,2,1,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,157,530,13,354,337,9,78,608,14,197,491,12,28,657,15,55,633,12,700,700,700,700,700,700,700,700,700,15,33,98,123,384,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,17,37,105,180,314,47,158,106,155,238,43,0,0,0,0,700,1,,,0.00857142857142857,0.0068289886580268,0.00714285714285714,0.00623847494864529,0.0128571428571429,0.0083456719472088,0.00857142857142857,0.0068289886580268,0.00857142857142857,0.0068289886580268,0.0117016781162976,3.44603949861057e-05,0.00142857142857143,0.00279794787131016,0.00135330392947295,1.17802838337685e-05,0.00493389396687568,0.00145424483996284
ZA,ZAF,South Africa,2020-04-25,2020-04-25,708,37929283.9262678,604,2150.5,163,1724,0,0,5,5,12,11,708,380,0,0,0,0,0,0,11,819401.558009488,0,0,0,0,4,264390.830527849,166,700,8995.00551819044,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,4,2,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,166,509,33,393,285,30,95,580,33,174,501,33,29,647,32,56,619,33,708,708,708,708,708,708,708,708,708,17,25,83,127,372,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,16,39,87,131,347,88,131,108,157,228,84,0,0,0,0,708,1,,,0.00706214689265537,0.00616823440166475,0.00706214689265537,0.00616823440166475,0.0169491525423729,0.00950809357671088,0.0155367231638418,0.00910984391777642,0.0155367231638418,0.00910984391777642,0.0216034017305034,4.62678487377039e-05,0.00564971751412429,0.005520959098472,0.00697062541549186,2.64775434647421e-05,0.0184546857324658,0.00278135150422461
ZA,ZAF,South Africa,2020-04-26,2020-04-26,792,38639338.5391603,702,2015.7,91,1991,0,0,4,5,8,5,792,400,0,0,0,0,0,0,6,319935.266730132,0,0,0,0,1,18961.786941137,98,781,10035.8561567239,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,169,589,34,456,306,30,105,650,37,189,570,33,22,735,35,63,696,33,792,792,792,792,792,792,792,792,792,14,31,72,158,447,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,17,35,114,157,400,69,154,137,176,256,69,0,0,0,0,792,1,,,0.00505050505050505,0.0049368896855058,0.00631313131313131,0.00551610706436024,0.0101010101010101,0.00696407345811219,0.00631313131313131,0.00551610706436024,0.00757575757575758,0.0060387523130928,0.00828003994959395,2.85722204732172e-05,0.00126262626262626,0.00247313919534719,0.000490737876424038,6.98315128012353e-06,0.00976498651132432,0.0019238705209414
ZA,ZAF,South Africa,2020-04-27,2020-04-27,751,37926278.0716419,664,2389.5,74,1879,0,0,3,3,9,5,751,410,0,0,0,0,0,0,14,826158.986281281,0,0,0,0,8,384221.38368942,80,742,9534.70584928186,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,145,577,29,414,311,26,102,619,30,196,528,27,22,701,28,62,661,28,751,751,751,751,751,751,751,751,751,19,31,103,118,404,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,20,42,115,141,359,74,169,111,162,239,70,0,0,0,0,751,1,,,0.00399467376830892,0.00451127822030873,0.00399467376830892,0.00451127822030873,0.0119840213049268,0.00778236136450392,0.0066577896138482,0.00581624378427627,0.018641810918775,0.00967355148193094,0.0217832866362654,4.64576482040793e-05,0.0106524633821571,0.00734222325378368,0.0101307432003645,3.18704026256266e-05,0.00839040042394443,0.00183086425743466
ZA,ZAF,South Africa,2020-04-28,2020-04-28,805,37497297.2358116,729,2754,123,2194,0,0,8,9,11,9,805,418,0,0,0,0,0,0,11,477928.422281127,0,0,0,0,6,206699.753782064,125,795,10215.7562670877,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,4,5,6,5,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,177,594,34,434,341,30,101,671,33,233,542,30,28,745,32,78,696,31,805,805,805,805,805,805,805,805,805,15,36,90,152,442,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,26,39,118,161,393,68,175,128,198,237,67,0,0,0,0,805,1,,,0.00993788819875776,0.00685217466290172,0.0111801242236025,0.00726326783285314,0.0136645962732919,0.0080197506286942,0.0111801242236025,0.00726326783285314,0.0136645962732919,0.0080197506286942,0.0127456765557141,3.59041026690195e-05,0.00745341614906832,0.00594159828179315,0.00551239073264877,2.36983327698201e-05,0.0122360006182523,0.00213186240794259
ZA,ZAF,South Africa,2020-04-29,2020-04-29,775,36527743.6023695,697,1968,187,2061,0,0,5,5,13,6,775,426,0,0,0,0,0,0,12,614630.549802567,0,0,0,0,6,309651.473657891,192,769,9881.65606212635,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,5,4,3,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,178,568,29,427,324,24,124,623,28,238,512,25,22,726,27,79,671,25,775,775,775,775,775,775,775,775,775,24,38,98,125,417,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,22,50,113,149,367,74,163,125,163,254,70,0,0,0,0,775,1,,,0.00645161290322581,0.00563671273076352,0.00645161290322581,0.00563671273076352,0.0167741935483871,0.00904158769865568,0.00774193548387097,0.00617069857140789,0.0154838709677419,0.00869257465522575,0.0168264034179953,4.17106944091545e-05,0.00774193548387097,0.00617069857140789,0.00847715854087971,2.97312509457943e-05,0.0194299415799223,0.00272149966672056
ZA,ZAF,South Africa,2020-04-30,2020-04-30,760,37918228.2901101,688,2604,106,2065,0,0,6,7,9,8,760,427,0,0,0,0,0,0,16,923263.982932708,0,0,0,0,9,561644.121633726,108,751,9650.35592023002,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,5,4,1,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,167,570,23,422,317,21,91,646,23,216,520,24,28,709,23,74,664,22,760,760,760,760,760,760,760,760,760,18,34,104,146,389,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,30,38,129,149,345,69,159,149,168,219,65,0,0,0,0,760,1,,,0.00789473684210526,0.00629200415475041,0.00921052631578947,0.00679163301315398,0.0118421052631579,0.00769075410247802,0.0105263157894737,0.0072557384034403,0.0210526315789474,0.0102064370588054,0.0243488165076931,4.90580508252208e-05,0.0118421052631579,0.00769075410247802,0.0148119821774536,3.84494581199201e-05,0.0111912970767845,0.00209880832294596
ZA,ZAF,South Africa,2020-05-01,2020-05-01,958,43249629.3453986,879,3245,332,2414.5,0,0,13,12,18,15,958,524,0,0,0,0,0,0,15,1045554.54321561,0,0,0,0,10,554192.981516492,338,946,12156.1074574402,10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,13,0,2,0,2,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,12,5,7,7,5,5,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,227,706,25,510,424,24,85,846,27,190,744,24,21,912,25,78,853,27,958,958,958,958,958,958,958,958,958,22,46,122,159,537,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,26,71,121,202,466,72,134,122,199,439,64,0,0,0,0,958,1,,,0.0135699373695198,0.0073263457073405,0.0125260960334029,0.00704264858786872,0.0187891440501044,0.00859805080032218,0.0156576200417537,0.00786142550324142,0.0156576200417537,0.00786142550324142,0.0241748786993212,4.57746513410741e-05,0.0104384133611691,0.00643582158599263,0.0128138203703578,3.35193621126105e-05,0.0278049532865165,0.00292272943015882
ZA,ZAF,South Africa,2020-05-02,2020-05-02,829,44837329.9342879,737,2427.5,199,1959.4,0,0,7,8,12,9,829,448,0,0,0,0,0,0,11,608138.6365706,0,0,0,0,8,408425.858632965,206,821,10549.8564720491,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,2,1,0,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,4,5,3,2,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,187,616,26,474,332,23,107,694,28,197,606,26,18,785,26,59,745,25,829,829,829,829,829,829,829,829,829,19,20,106,148,457,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,19,56,106,201,367,80,109,107,176,363,74,0,0,0,0,829,1,,,0.00844390832328106,0.00622875464391105,0.00965018094089264,0.00665476719777845,0.014475271411339,0.00813051296131593,0.0108564535585042,0.00705414652087186,0.0132689987937274,0.00778913605072332,0.0135632214822307,3.38566726708778e-05,0.00965018094089264,0.00665476719777845,0.00910905843928576,2.78085211029848e-05,0.0195263319975754,0.00264029903678886
