"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2020-04-01","Germany","DE","Berlin","DEBE",,9,1,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-02","Germany","DE","","",,40,1,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-02","Germany","DE","Bayern","DEBY",,25,2,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-03","Germany","DE","Hessen","DEHE",,50,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-03","Germany","DE","Rheinland-Pfalz","DERP",,25,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-03","Germany","DE","Hessen","DEHE",,15,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-04","Germany","DE","Hessen","DEHE",,50,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-06","Germany","DE","Baden-Württemberg","DEBW",,100,1,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","Berlin","DEBE",,30,2,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","Bayern","DEBY",,100,5,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","","",,50,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","Berlin","DEBE",,50,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","Berlin","DEBE",,50,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-07","Germany","DE","Hessen","DEHE",,10,1,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-08","Germany","DE","Berlin","DEBE",,100,0,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
"2020-04-09","Germany","DE","Hessen","DEHE",,100,4,,,,,,,,,,,,,,,,,,,,,,,"DE-g-sheet",,
