date,ISO3,country,count,cli,count_local_com,cli_local_com,anosmia
2020-06-21,AFG,Afghanistan,234,49,230,2787,62
2020-06-21,ALA,Aland Islands,17,3,17,152,4
2020-06-21,ALB,Albania,175,3,174,174,5
2020-06-21,DZA,Algeria,786,36,780,1104,59
2020-06-21,ASM,American Samoa,20,4,20,207,6
2020-06-21,AND,Andorra,23,3,23,136,3
2020-06-21,AGO,Angola,109,9,108,472,11
2020-06-21,AIA,Anguilla,8,0,8,2,1
2020-06-21,ATA,Antarctica,11,4,11,409,3
2020-06-21,ATG,Antigua,7,0,7,6,1
2020-06-21,ARG,Argentina,3365,21,3355,1180,47
2020-06-21,ARM,Armenia,164,6,163,404,7
2020-06-21,ABW,Aruba,17,3,16,120,4
2020-06-21,AUS,Australia,2141,17,2135,707,49
2020-06-21,AUT,Austria,931,3,931,100,3
2020-06-21,AZE,Azerbaijan,285,4,283,231,12
2020-06-21,BHS,Bahamas,7,1,7,13,1
2020-06-21,BHR,Bahrain,9,0,8,0,0
2020-06-21,BGD,Bangladesh,1031,45,1028,3439,73
2020-06-21,BRB,Barbados,2,0,2,0,0
2020-06-21,BLR,Belarus,450,16,447,739,19
2020-06-21,BEL,Belgium,774,2,770,94,9
2020-06-21,BLZ,Belize,6,1,6,1,1
2020-06-21,BEN,Benin,22,1,22,61,3
2020-06-21,BMU,Bermuda,1,0,1,0,0
2020-06-21,BTN,Bhutan,5,0,5,4,0
2020-06-21,BOL,Bolivia,1638,90,1634,2500,164
2020-06-21,BES,"Bonaire, Sint Eustatius and Saba",2,1,2,100,1
2020-06-21,BIH,Bosnia and Herzegovina,215,1,215,114,6
2020-06-21,BWA,Botswana,5,2,4,1,1
2020-06-21,BRA,Brazil,14492,303,14441,17751,787
2020-06-21,IOT,British Indian Ocean Territory,3,0,3,0,0
2020-06-21,VGB,British Virgin Islands,6,0,6,0,0
2020-06-21,BRN,Brunei,2,0,2,0,0
2020-06-21,BGR,Bulgaria,694,2,694,41,9
2020-06-21,BFA,Burkina Faso,28,2,28,4,2
2020-06-21,CIV,Côte d'Ivoire,179,4,179,23,13
2020-06-21,KHM,Cambodia,106,5,105,136,8
2020-06-21,CMR,Cameroon,84,2,82,22,4
2020-06-21,CAN,Canada,2242,12,2239,347,24
2020-06-21,CYM,Cayman Islands,1,0,1,0,0
2020-06-21,CAF,Central African Republic,1,0,1,0,0
2020-06-21,CHL,Chile,2303,26,2294,1629,67
2020-06-21,CCK,Cocos (Keeling) Islands,1,0,1,0,0
2020-06-21,COL,Colombia,3163,43,3152,859,114
2020-06-21,COM,Comoros,1,0,1,0,0
2020-06-21,CRI,Costa Rica,1262,9,1255,193,20
2020-06-21,HRV,Croatia,619,11,619,286,8
2020-06-21,CUW,Curaçao,1,0,1,0,0
2020-06-21,CYP,Cyprus,3,0,3,0,0
2020-06-21,CZE,Czech Republic,1149,2,1145,166,26
2020-06-21,COD,Democratic Republic of the Congo,35,1,35,104,1
2020-06-21,DNK,Denmark,1782,9,1774,276,27
2020-06-21,DJI,Djibouti,1,0,1,0,0
2020-06-21,DMA,Dominica,8,1,8,2,0
2020-06-21,DOM,Dominican Republic,702,21,702,423,40
2020-06-21,ECU,Ecuador,1603,41,1597,1628,105
2020-06-21,EGY,Egypt,2435,43,2425,4863,165
2020-06-21,SLV,El Salvador,1171,54,1166,897,90
2020-06-21,ERI,Eritrea,1,0,1,0,0
2020-06-21,EST,Estonia,2,0,2,1,1
