date,ISO3,country,count,cli,count_local_com,cli_local_com,anosmia
2020-12-13,AFG,Afghanistan,181,49,161,1757,45
2020-12-13,ALA,Aland Islands,28,6,24,210,6
2020-12-13,ALB,Albania,99,10,86,327,15
2020-12-13,DZA,Algeria,434,21,385,669,40
2020-12-13,ASM,American Samoa,18,5,13,3,6
2020-12-13,AND,Andorra,38,5,35,648,10
2020-12-13,AGO,Angola,65,5,59,257,11
2020-12-13,AIA,Anguilla,8,2,7,102,1
2020-12-13,ATA,Antarctica,19,4,19,301,5
2020-12-13,ATG,Antigua,4,1,3,105,1
2020-12-13,ARG,Argentina,2625,24,2515,1910,67
2020-12-13,ARM,Armenia,41,5,38,130,7
2020-12-13,ABW,Aruba,13,2,11,11,2
2020-12-13,AUS,Australia,1484,21,1435,258,26
2020-12-13,AUT,Austria,939,8,913,405,19
2020-12-13,AZE,Azerbaijan,184,6,168,557,18
2020-12-13,BHS,Bahamas,7,5,6,3,2
2020-12-13,BHR,Bahrain,4,0,4,1,0
2020-12-13,BGD,Bangladesh,589,35,539,1699,57
2020-12-13,BRB,Barbados,1,0,1,0,0
2020-12-13,BLR,Belarus,360,31,329,788,55
2020-12-13,BEL,Belgium,788,8,767,227,15
2020-12-13,BLZ,Belize,2,0,2,4,0
2020-12-13,BEN,Benin,29,2,28,5,3
2020-12-13,BMU,Bermuda,3,0,3,0,0
2020-12-13,BTN,Bhutan,2,1,2,0,1
2020-12-13,BOL,Bolivia,599,25,552,476,35
2020-12-13,BES,"Bonaire, Sint Eustatius and Saba",4,0,4,1,0
2020-12-13,BIH,Bosnia and Herzegovina,163,3,155,192,11
2020-12-13,BWA,Botswana,2,0,2,0,0
2020-12-13,BRA,Brazil,13273,283,12596,13235,721
2020-12-13,IOT,British Indian Ocean Territory,8,1,7,74,1
2020-12-13,VGB,British Virgin Islands,2,1,1,0,1
2020-12-13,BRN,Brunei,5,3,4,15,4
2020-12-13,BGR,Bulgaria,511,9,487,717,34
2020-12-13,BFA,Burkina Faso,38,2,34,31,6
2020-12-13,BDI,Burundi,5,2,5,3,2
2020-12-13,CIV,Côte d'Ivoire,92,3,81,6,5
2020-12-13,KHM,Cambodia,74,5,68,53,7
2020-12-13,CMR,Cameroon,43,2,37,2,3
2020-12-13,CAN,Canada,2938,24,2859,1243,50
2020-12-13,CYM,Cayman Islands,2,0,2,0,0
2020-12-13,CAF,Central African Republic,3,0,2,0,0
2020-12-13,TCD,Chad,3,1,3,7,1
2020-12-13,CHL,Chile,1455,16,1363,430,46
2020-12-13,CXR,Christmas Island,1,0,1,0,0
2020-12-13,COL,Colombia,2681,81,2546,1453,163
2020-12-13,COM,Comoros,1,0,1,0,0
2020-12-13,CRI,Costa Rica,542,21,504,263,35
2020-12-13,HRV,Croatia,594,24,578,968,43
2020-12-13,CUW,Curaçao,2,0,2,0,0
2020-12-13,CYP,Cyprus,2,0,2,15,0
2020-12-13,CZE,Czech Republic,1034,21,1012,743,35
2020-12-13,COD,Democratic Republic of the Congo,24,1,23,30,3
2020-12-13,DNK,Denmark,1582,27,1543,688,36
2020-12-13,DJI,Djibouti,3,0,1,0,1
2020-12-13,DMA,Dominica,10,1,9,3,2
2020-12-13,DOM,Dominican Republic,376,10,349,236,26
2020-12-13,ECU,Ecuador,886,21,828,415,45
2020-12-13,EGY,Egypt,1232,48,1147,2292,103
2020-12-13,SLV,El Salvador,453,15,413,412,26
2020-12-13,GNQ,Equatorial Guinea,2,0,2,1,0
2020-12-13,ERI,Eritrea,1,1,1,0,1
2020-12-13,EST,Estonia,4,0,3,0,1
2020-12-13,SWZ,Eswatini,1,0,1,0,0
2020-12-13,ETH,Ethiopia,70,2,66,133,6
2020-12-13,FRO,Faroe Islands,2,0,2,1,1
2020-12-13,FSM,Federated States of Micronesia,1,0,1,100,0
2020-12-13,FIN,Finland,454,1,452,187,7
2020-12-13,FRA,France,4448,37,4255,1140,93
2020-12-13,GUF,French Guiana,3,0,2,1,0
2020-12-13,PYF,French Polynesia,3,1,3,1,0
2020-12-13,ATF,French Southern Territories,5,0,4,0,0
2020-12-13,GAB,Gabon,5,0,5,0,0
2020-12-13,GMB,Gambia,2,0,2,100,0
2020-12-13,GEO,Georgia,4,1,3,3,0
2020-12-13,DEU,Germany,5468,28,5381,1914,112
2020-12-13,GHA,Ghana,170,9,163,31,11
2020-12-13,GIB,Gibraltar,2,0,1,0,0
2020-12-13,GRC,Greece,838,1,823,614,11
2020-12-13,GRL,Greenland,4,0,3,4,1
2020-12-13,GLP,Guadeloupe,3,0,3,0,0
2020-12-13,GTM,Guatemala,343,13,323,250,20
2020-12-13,GIN,Guinea,15,0,13,1,0
2020-12-13,GUY,Guyana,1,0,1,1,0
2020-12-13,HTI,Haiti,60,1,49,9,3
2020-12-13,HND,Honduras,238,11,222,111,12
2020-12-13,HKG,Hong Kong,340,0,326,23,2
2020-12-13,HUN,Hungary,1863,24,1806,1193,89
2020-12-13,ISL,Iceland,5,1,5,14,0
2020-12-13,IND,India,4836,97,4611,3236,183
