ISO3,country,count,cli,count_local_com,cli_local_com,date
PAN,Panama,334,7,334,465,2020-07-15
PNG,Papua New Guinea,1,0,1,0,2020-07-15
PRY,Paraguay,447,3,445,72,2020-07-15
PER,Peru,1574,63,1573,2450,2020-07-15
PHL,Philippines,1743,19,1742,503,2020-07-15
POL,Poland,1478,9,1477,321,2020-07-15
PRT,Portugal,1645,2,1645,263,2020-07-15
PRI,"Puerto Rico, U.S.",760,2,760,177,2020-07-15
QAT,Qatar,121,0,121,29,2020-07-15
MKD,Republic of North Macedonia,2,0,2,0,2020-07-15
REU,Réunion,3,0,3,0,2020-07-15
ROU,Romania,1967,8,1962,209,2020-07-15
RUS,Russia,1328,13,1327,888,2020-07-15
SHN,Saint Helena,1,0,1,0,2020-07-15
SMR,San Marino,1,0,1,0,2020-07-15
SAU,Saudi Arabia,421,7,418,307,2020-07-15
SEN,Senegal,39,1,38,19,2020-07-15
SRB,Serbia,758,15,755,1357,2020-07-15
SGP,Singapore,252,2,252,113,2020-07-15
SVK,Slovakia,375,0,375,297,2020-07-15
SVN,Slovenia,219,0,218,14,2020-07-15
SLB,Solomon Islands,1,1,1,7,2020-07-15
SOM,Somalia,1,0,1,0,2020-07-15
ZAF,South Africa,1532,62,1530,917,2020-07-15
KOR,South Korea,691,4,691,29,2020-07-15
SSD,South Sudan,3,0,3,0,2020-07-15
ESP,Spain,3055,14,3055,525,2020-07-15
LKA,Sri Lanka,225,1,225,22,2020-07-15
SDN,Sudan,172,3,172,306,2020-07-15
SWE,Sweden,2403,20,2398,552,2020-07-15
CHE,Switzerland,729,2,727,98,2020-07-15
TWN,Taiwan,1885,6,1883,274,2020-07-15
TJK,Tajikistan,1,0,1,0,2020-07-15
TZA,Tanzania,47,3,47,132,2020-07-15
THA,Thailand,2141,13,2137,106,2020-07-15
TLS,Timor-Leste,1,0,1,0,2020-07-15
TGO,Togo,1,1,1,100,2020-07-15
TKL,Tokelau,1,0,1,0,2020-07-15
TTO,Trinidad and Tobago,3,1,3,0,2020-07-15
TUN,Tunisia,203,3,202,112,2020-07-15
TUR,Turkey,1878,20,1877,740,2020-07-15
UGA,Uganda,5,0,5,0,2020-07-15
UKR,Ukraine,2023,15,2023,391,2020-07-15
ARE,United Arab Emirates,396,2,396,84,2020-07-15
GBR,United Kingdom,2339,9,2336,247,2020-07-15
URY,Uruguay,541,2,540,165,2020-07-15
UZB,Uzbekistan,181,11,181,134,2020-07-15
VAT,Vatican City,2,2,2,100,2020-07-15
VEN,Venezuela,738,7,738,187,2020-07-15
VNM,Vietnam,1316,7,1316,99,2020-07-15
ESH,Western Sahara,1,0,1,0,2020-07-15
YEM,Yemen,61,3,61,147,2020-07-15
ZMB,Zambia,1,0,1,0,2020-07-15
ZWE,Zimbabwe,4,0,4,0,2020-07-15
