date,ISO3,country,count,cli,count_local_com,cli_local_com,anosmia
2020-06-04,AFG,Afghanistan,252,35,251,2756,49
2020-06-04,ALA,Aland Islands,28,3,27,157,4
2020-06-04,ALB,Albania,160,2,158,219,2
2020-06-04,DZA,Algeria,725,21,721,764,19
2020-06-04,ASM,American Samoa,23,4,23,211,5
2020-06-04,AND,Andorra,32,3,32,112,3
2020-06-04,AGO,Angola,125,5,125,224,4
2020-06-04,AIA,Anguilla,8,1,7,154,2
2020-06-04,ATA,Antarctica,13,3,13,102,3
2020-06-04,ATG,Antigua,11,3,11,108,3
2020-06-04,ARG,Argentina,3713,12,3702,775,41
2020-06-04,ARM,Armenia,192,5,192,329,6
2020-06-04,ABW,Aruba,21,0,21,4,2
2020-06-04,AUS,Australia,1713,18,1710,382,36
2020-06-04,AUT,Austria,909,3,904,169,9
2020-06-04,AZE,Azerbaijan,199,3,199,133.2,6
2020-06-04,BHS,Bahamas,5,0,4,1,0
2020-06-04,BHR,Bahrain,5,1,5,2,1
2020-06-04,BGD,Bangladesh,1118,51,1112,2875,89
2020-06-04,BRB,Barbados,3,2,3,101,1
2020-06-04,BLR,Belarus,376,10,374,727,7
2020-06-04,BEL,Belgium,849,2,845,90,11
2020-06-04,BLZ,Belize,4,0,4,3,0
2020-06-04,BEN,Benin,28,2,26,194,2
2020-06-04,BMU,Bermuda,4,1,4,200,1
2020-06-04,BTN,Bhutan,2,0,2,0,0
2020-06-04,BOL,Bolivia,1401,38,1396,924,91
2020-06-04,BES,"Bonaire, Sint Eustatius and Saba",2,1,2,2,0
2020-06-04,BIH,Bosnia and Herzegovina,160,0,159,119,3
2020-06-04,BWA,Botswana,2,0,1,0,0
2020-06-04,BVT,Bouvet Island,1,0,1,0,0
2020-06-04,BRA,Brazil,15454,291,15411,17427,829
2020-06-04,IOT,British Indian Ocean Territory,5,1,5,101,1
2020-06-04,VGB,British Virgin Islands,3,0,3,0,0
2020-06-04,BGR,Bulgaria,643,3,643,25,12
2020-06-04,BFA,Burkina Faso,35,0,35,1,0
2020-06-04,CIV,Côte d'Ivoire,165,3,165,15,8
2020-06-04,KHM,Cambodia,114,3,114,212,7
2020-06-04,CMR,Cameroon,106,8,106,36,18
2020-06-04,CAN,Canada,2603,14,2594,252,33
2020-06-04,CYM,Cayman Islands,2,1,2,8,1
2020-06-04,CAF,Central African Republic,1,0,1,0,0
2020-06-04,TCD,Chad,2,1,2,2,1
2020-06-04,CHL,Chile,2253,19,2247,1547,69
2020-06-04,COL,Colombia,3289,36,3276,731,79
2020-06-04,COM,Comoros,2,0,2,1,0
2020-06-04,CRI,Costa Rica,1151,6,1148,120,21
2020-06-04,HRV,Croatia,483,5,480,249,7
2020-06-04,CUW,Curaçao,3,0,3,0,0
2020-06-04,CYP,Cyprus,1,0,1,0,0
2020-06-04,CZE,Czech Republic,1322,7,1320,134,11
2020-06-04,COD,Democratic Republic of the Congo,28,1,28,6,2
2020-06-04,DNK,Denmark,1915,8,1913,197,36
2020-06-04,DMA,Dominica,11,0,11,2,0
2020-06-04,DOM,Dominican Republic,716,8,715,229,18
2020-06-04,ECU,Ecuador,1596,49,1591,1575,92
2020-06-04,EGY,Egypt,3219,53,3209,3981,188
2020-06-04,SLV,El Salvador,1126,16,1124,279,36
2020-06-04,GNQ,Equatorial Guinea,1,0,1,0,0
2020-06-04,ERI,Eritrea,3,0,3,0,1
2020-06-04,EST,Estonia,3,0,3,0,0
2020-06-04,ETH,Ethiopia,122,1,122,121,8
2020-06-04,FLK,Falkland Islands,1,0,1,0,0
2020-06-04,FSM,Federated States of Micronesia,1,0,1,0,0
2020-06-04,FJI,Fiji,1,0,1,0,0
2020-06-04,FIN,Finland,1075,5,1069,380,18
2020-06-04,FRA,France,4287,27,4280,514,58
2020-06-04,PYF,French Polynesia,2,0,2,0,0
2020-06-04,ATF,French Southern Territories,3,0,3,0,0
2020-06-04,GAB,Gabon,5,0,5,1,1
2020-06-04,GMB,Gambia,1,0,1,0,0
2020-06-04,GEO,Georgia,4,1,4,99,1
2020-06-04,DEU,Germany,5690,23,5681,1008,61
2020-06-04,GHA,Ghana,266,7,265,132,17
2020-06-04,GIB,Gibraltar,2,0,2,0,0
2020-06-04,GRC,Greece,1143,6,1139,306,14
2020-06-04,GRL,Greenland,3,0,3,0,0
2020-06-04,GLP,Guadeloupe,2,1,2,0,1
2020-06-04,GUM,Guam,1,0,1,0,0
2020-06-04,GTM,Guatemala,1037,15,1032,177,28
2020-06-04,GGY,Guernsey,1,1,1,9,1
2020-06-04,GIN,Guinea,40,2,40,25,2
2020-06-04,GNB,Guinea-Bissau,1,0,1,0,0
2020-06-04,HTI,Haiti,75,1,75,104,6
2020-06-04,HMD,Heard Island and McDonald Islands,1,0,1,1,0
2020-06-04,HND,Honduras,649,13,647,242,43
2020-06-04,HKG,Hong Kong,540,3,538,195,2
2020-06-04,HUN,Hungary,2052,4,2044,227,35
2020-06-04,ISL,Iceland,5,0,5,0,0
2020-06-04,IND,India,6436,54,6414,3977,82
2020-06-04,IDN,Indonesia,3461,65,3445,1230,63
2020-06-04,IRQ,Iraq,1313,24,1308,1308,55
2020-06-04,IRL,Ireland,1163,3,1157,134,18
2020-06-04,ISR,Israel,1117,8,1113,199,17
2020-06-04,ITA,Italy,6301,21,6288,695,51
2020-06-04,JAM,Jamaica,1,0,1,0,0
2020-06-04,JPN,Japan,8223,25,8188,295,25
2020-06-04,JEY,Jersey,2,0,2,0,0
2020-06-04,JOR,Jordan,677,7,674,64,17
2020-06-04,KAZ,Kazakhstan,273,7,271,209,9
