date,ISO3,country,count,cli,count_local_com,cli_local_com,anosmia
2020-08-28,AFG,Afghanistan,161,22,158,1078,24
2020-08-28,ALA,Aland Islands,13,3,12,11,2
2020-08-28,ALB,Albania,115,6,112,284,10
2020-08-28,DZA,Algeria,171,3,165,446,13
2020-08-28,ASM,American Samoa,17,2,17,301,3
2020-08-28,AND,Andorra,25,5,22,21,4
2020-08-28,AGO,Angola,63,6,63,377,5
2020-08-28,AIA,Anguilla,5,0,4,1,0
2020-08-28,ATA,Antarctica,10,3,10,100,3
2020-08-28,ATG,Antigua,9,0,9,1,0
2020-08-28,ARG,Argentina,3580,59,3554,2742,92
2020-08-28,ARM,Armenia,56,2,55,33,2
2020-08-28,ABW,Aruba,18,1,17,111,1
2020-08-28,AUS,Australia,1471,22,1465,679,37
2020-08-28,AUT,Austria,600,8,598,98,6
2020-08-28,AZE,Azerbaijan,102,0,100,39,3
2020-08-28,BHS,Bahamas,4,0,4,1,0
2020-08-28,BHR,Bahrain,4,1,4,50,1
2020-08-28,BGD,Bangladesh,524,26,508,1528,35
2020-08-28,BRB,Barbados,1,1,0,0,1
2020-08-28,BLR,Belarus,279,6,273,129,4
2020-08-28,BEL,Belgium,617,2,614,41,4
2020-08-28,BLZ,Belize,2,0,2,0,0
2020-08-28,BEN,Benin,27,2,26,11,2
2020-08-28,BMU,Bermuda,3,1,3,1,1
2020-08-28,BTN,Bhutan,1,0,1,100,0
2020-08-28,BOL,Bolivia,677,31,668,1296,52
2020-08-28,BES,"Bonaire, Sint Eustatius and Saba",5,0,5,3,2
2020-08-28,BIH,Bosnia and Herzegovina,155,2,155,163,6
2020-08-28,BWA,Botswana,2,1,2,100,1
2020-08-28,BVT,Bouvet Island,1,1,1,0,1
2020-08-28,BRA,Brazil,8255,157,8187,7950,375
2020-08-28,IOT,British Indian Ocean Territory,4,0,4,1,0
2020-08-28,VGB,British Virgin Islands,2,1,2,5,1
2020-08-28,BRN,Brunei,2,1,2,0,1
2020-08-28,BGR,Bulgaria,388,5,386,79,6
2020-08-28,BFA,Burkina Faso,44,0,43,5,0
2020-08-28,CIV,Côte d'Ivoire,95,4,94,38,4
2020-08-28,KHM,Cambodia,62,3,61,109,1
2020-08-28,CMR,Cameroon,77,5,76,40,4
2020-08-28,CAN,Canada,1802,9,1797,159,29
2020-08-28,CYM,Cayman Islands,1,0,1,0,0
2020-08-28,CAF,Central African Republic,2,0,2,0,0
2020-08-28,TCD,Chad,1,0,1,0,0
2020-08-28,CHL,Chile,1372,8,1367,577,20
2020-08-28,CXR,Christmas Island,1,1,1,1,1
2020-08-28,CCK,Cocos (Keeling) Islands,1,0,1,0,0
2020-08-28,COL,Colombia,2573,52,2553,1512,129
2020-08-28,COK,Cook Islands,1,0,0,0,1
2020-08-28,CRI,Costa Rica,621,10,615,279,25
2020-08-28,HRV,Croatia,454,9,450,208,13
2020-08-28,CUW,Curaçao,2,0,2,0,0
2020-08-28,CYP,Cyprus,8,0,8,15,0
2020-08-28,CZE,Czech Republic,766,10,760,400,16
2020-08-28,COD,Democratic Republic of the Congo,36,1,35,104,1
2020-08-28,DNK,Denmark,1327,8,1323,275,21
2020-08-28,DJI,Djibouti,1,1,1,5,1
2020-08-28,DMA,Dominica,8,2,8,13,2
2020-08-28,DOM,Dominican Republic,481,14,471,534,30
2020-08-28,ECU,Ecuador,1183,50,1172,1251,69
2020-08-28,EGY,Egypt,1073,24,1060,1332,64
2020-08-28,SLV,El Salvador,652,17,647,650,51
2020-08-28,GNQ,Equatorial Guinea,3,1,3,1,2
2020-08-28,ERI,Eritrea,1,0,1,0,0
2020-08-28,EST,Estonia,4,0,4,1,0
2020-08-28,SWZ,Eswatini,2,0,2,1,1
2020-08-28,ETH,Ethiopia,110,2,110,90,4
2020-08-28,FLK,Falkland Islands,1,0,1,0,0
2020-08-28,FSM,Federated States of Micronesia,1,0,1,0,0
2020-08-28,FJI,Fiji,3,0,3,0,0
2020-08-28,FIN,Finland,706,4,703,209,11
2020-08-28,FRA,France,3338,24,3321,828,55
2020-08-28,ATF,French Southern Territories,2,1,2,100,0
2020-08-28,GAB,Gabon,3,0,3,0,0
2020-08-28,GMB,Gambia,1,0,1,0,0
2020-08-28,GEO,Georgia,6,0,6,0,0
2020-08-28,DEU,Germany,3286,26,3255,595,38
2020-08-28,GHA,Ghana,155,6,155,130,7
2020-08-28,GIB,Gibraltar,4,0,4,0,0
2020-08-28,GRC,Greece,1123,9,1119,480,14
2020-08-28,GRL,Greenland,1,0,1,0,0
2020-08-28,GLP,Guadeloupe,3,0,3,0,0
2020-08-28,GTM,Guatemala,698,20,696,785,30
2020-08-28,GIN,Guinea,29,1,29,13,2
2020-08-28,GUY,Guyana,1,0,1,0,0
2020-08-28,HTI,Haiti,43,3,42,14,5
2020-08-28,HND,Honduras,325,12,320,565,27
2020-08-28,HKG,Hong Kong,290,1,290,54,1
2020-08-28,HUN,Hungary,1511,12,1504,263,24
2020-08-28,ISL,Iceland,4,0,4,0,0
2020-08-28,IND,India,5021,91,4977,4947,154
2020-08-28,IDN,Indonesia,2551,32,2517,960,42
2020-08-28,IRQ,Iraq,737,57,723,3044,77
2020-08-28,IRL,Ireland,709,8,704,85,11
2020-08-28,ISR,Israel,880,4,874,316,10
2020-08-28,ITA,Italy,5825,17,5807,821,35
2020-08-28,JAM,Jamaica,1,0,1,0,0
2020-08-28,JPN,Japan,7153,21,7140,331,19
2020-08-28,JEY,Jersey,1,0,1,0,0
2020-08-28,JOR,Jordan,723,13,721,211,21
2020-08-28,KAZ,Kazakhstan,280,4,271,229,12
2020-08-28,KEN,Kenya,471,16,464,229,7
2020-08-28,RKS,Kosovo,6,0,6,2,0
2020-08-28,KWT,Kuwait,110,0,109,45,4
2020-08-28,KGZ,Kyrgyzstan,100,4,100,94,11
2020-08-28,LAO,Laos,49,1,48,9,1
2020-08-28,LVA,Latvia,3,0,3,1,0
2020-08-28,LBN,Lebanon,206,2,206,90,2
2020-08-28,LBR,Liberia,3,0,2,0,0
2020-08-28,LBY,Libya,287,8,282,509,16
