ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,Eastern Cape,2021-10-01,2021-09-30,45,8410735.82341149,87,306,20,300,0,9,107,50,20,84,76,25,37,39,4,223154.53582812,4,0,1,3,1,30260.1928919147,20,103,1384.57913025999,2,2,0,1,1,10,5,3,2,3,11,6,3,3,3,9,8,0,0,0,2,2,0,2,0,2,5,3,3,2,9,0,1,0,1,1,1,0,0,0,1,2,0,0,1,0,1,1,1,0,0,0,1,2,0,2,6,4,7,5,5,3,3,2,2,8,3,2,3,1,3,3,3,1,0,1,2,4,2,2,0.0841121495327103,0.0525904294269945,0.0373831775700935,0.035943555304845,0.0265321061692324,0.000108611990861562,0.00934579439252336,0.0182316240644272,0.00359780565306601,4.04638574913358e-05,0.0144448226633638,0.00628471777083558
ZA,ZAF,South Africa,Eastern Cape,2021-10-02,2021-09-30,43,12122504.736181,120,464,36,446,0,10,150,65,32,114,106,34,47,59,5,311451.846211512,4,1,1,3,2,118557.503275307,36,145,1949.1647950262,3,3,0,1,2,13,7,4,2,5,14,8,4,3,5,13,10,0,0,0,2,2,0,2,0,2,6,3,3,3,10,0,1,0,1,1,1,0,0,0,1,2,0,0,1,0,1,1,1,0,0,0,1,2,0,2,7,4,8,5,6,3,4,2,3,8,3,2,4,1,4,3,4,1,1,1,3,4,2,3,0.0666666666666667,0.0399185925268536,0.0333333333333333,0.0287263340018553,0.0256920374946894,8.90634079872321e-05,0.0133333333333333,0.0183551128081561,0.00977995107904213,5.53969824286518e-05,0.0184694491157768,0.0059772675193679
ZA,ZAF,South Africa,Eastern Cape,2021-10-03,2021-10-01,54,12704631.4745956,112,297,55,402,0,6,142,60,32,106,104,29,49,55,3,209863.931317518,2,1,0,2,1,88297.3103833921,55,138,1855.06718423183,2,2,0,0,2,9,5,2,0,5,11,7,2,1,6,13,10,0,0,0,2,2,0,2,0,2,4,1,2,2,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,3,2,4,2,3,1,3,2,2,4,2,1,1,1,2,0,2,0,2,1,2,2,2,3,0.0422535211267606,0.0330872485474703,0.0211267605633803,0.0236528567704281,0.0165186949135176,7.00870814537311e-05,0.00704225352112676,0.0137538768295014,0.00695000957406384,4.56820213322367e-05,0.0296485218796941,0.00771852524129144
ZA,ZAF,South Africa,Eastern Cape,2021-10-04,2021-10-02,38,12036414.1311452,109,373,136,436,0,2,135,55,31,102,102,27,51,51,3,356822.70008566,2,1,2,0,2,221439.364560662,136,134,1801.29712092076,1,1,0,0,1,8,6,2,2,4,8,6,2,2,4,13,10,0,0,0,1,1,0,1,0,1,2,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,3,0.0148148148148148,0.0203792527964805,0.0222222222222222,0.0248653760268881,0.0296452661231017,9.58169783962666e-05,0.0148148148148148,0.0203792527964805,0.0183974531075389,7.59182556132535e-05,0.0755011477120894,0.0122007176990105
ZA,ZAF,South Africa,Eastern Cape,2021-10-05,2021-10-04,62,7909330.87317651,79,247,128,302,0,3,100,46,19,81,74,25,38,36,3,339998.751236795,3,0,3,0,1,133142.05417727,128,100,1344.25158277669,1,0,1,0,0,8,5,3,5,0,8,4,4,3,1,14,11,0,0,0,1,0,1,0,0,1,1,2,0,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,3,1,1,0,1,3,0,0,0,0,1,1,1,0,1,0,0,1,0,2,0.03,0.0334344809563718,0.03,0.0334344809563718,0.0429870436182987,0.000141353288595765,0.01,0.0195013954179879,0.0168335420925181,8.96560292282795e-05,0.095220270996894,0.0156907589400096
ZA,ZAF,South Africa,Eastern Cape,2021-10-06,2021-10-05,72,8153245.50542203,101,275,55,315,0,5,134,61,28,99,89,43,39,50,2,114959.437310237,1,1,1,0,1,43486.0757757092,55,132,1774.41208926523,1,0,1,0,0,8,3,4,3,0,8,3,4,2,1,17,13,0,0,0,1,0,1,0,0,1,1,4,0,1,5,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,4,3,2,1,1,2,4,0,0,0,0,1,1,1,0,1,0,0,1,0,2,0.0373134328358209,0.0320900763797726,0.0149253731343284,0.020530184718213,0.0140998375718954,8.09294064243678e-05,0.00746268656716418,0.0145719178412448,0.00533359086842047,4.99955564296649e-05,0.0309961819651348,0.00806376183262699
ZA,ZAF,South Africa,Eastern Cape,2021-10-07,2021-10-06,48,7455604.194981,90,274,36,262,0,3,120,55,16,50,78,37,35,42,2,95752.6663025917,0,1,0,0,1,43486.0757757092,36,115,1545.88932019319,0,0,0,0,0,5,2,1,1,1,5,4,0,2,2,10,7,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0.025,0.0279337846156495,0.0166666666666667,0.0229051016485408,0.0128430458214307,8.08227809721819e-05,0.00833333333333333,0.0162648365258355,0.00583266957827286,5.46600594783035e-05,0.0232875662764143,0.00751803429919454
ZA,ZAF,South Africa,Eastern Cape,2021-10-08,2021-10-06,31,10861477.7610052,114,360,41,330,0,5,151,69,16,50,100,43,42,56,4,261578.129790194,1,2,0,0,1,43486.0757757092,41,145,1949.1647950262,2,1,1,1,0,7,4,1,1,2,6,5,0,2,3,11,7,0,0,0,0,0,0,0,0,0,2,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,4,0,2,1,3,4,3,0,1,0,0,2,1,0,0,0,1,2,1,0,3,0.033112582781457,0.0285393514821377,0.0264900662251656,0.0256136418814925,0.0240831068797388,9.11730129054383e-05,0.00662251655629139,0.0129368427609194,0.004003697906728,3.75546004535865e-05,0.021034650381857,0.00637052348047615
ZA,ZAF,South Africa,Eastern Cape,2021-10-09,2021-10-07,38,10701947.3574978,93,364,35,281,0,4,117,54,1,0,85,23,34,48,3,218092.054014485,1,1,0,0,0,0,35,113,1519.00428853766,2,1,1,1,0,8,7,0,1,5,9,9,0,3,6,6,4,0,0,0,0,0,0,0,0,0,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,0,1,1,2,3,2,0,1,0,0,2,1,0,0,0,1,2,1,0,3,0.0341880341880342,0.0329259652734508,0.0256410256410256,0.0286406157970728,0.0203787261074209,8.4651431366907e-05,0,0,0,0,0.0230414096024011,0.00754503382694628
ZA,ZAF,South Africa,Eastern Cape,2021-10-10,2021-10-08,45,11137090.5452615,89,512,26,287,0,4,114,53,0,0,80,25,28,49,3,208142.574054707,1,2,0,0,1,42317.1105671044,26,112,1505.56177270989,3,1,2,1,0,9,6,3,1,4,9,6,3,2,4,10,6,0,0,0,1,0,1,0,0,1,2,2,2,0,3,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,1,3,3,2,1,1,0,0,1,1,0,0,0,1,1,1,0,3,0.0350877192982456,0.0337766950017001,0.0263157894736842,0.0293841363627093,0.0186891336843145,7.95353332353384e-05,0.0087719298245614,0.0171170940046306,0.00379965578937573,3.61333050327029e-05,0.0172693013805751,0.00658041747827019
