ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.0,C0_1.1,C0_1.NA,C0_2.0,C0_2.1,C0_2.NA,C0_3.0,C0_3.1,C0_3.NA,C0_4.0,C0_4.1,C0_4.NA,C0_5.0,C0_5.1,C0_5.NA,C0_6.0,C0_6.1,C0_6.NA,C0a_7.0,C0a_7.1,C0a_7.NA,I6_1.1,I6_1.2,I6_1.3,I6_1.NA,I6_2.1,I6_2.2,I6_2.3,I6_2.NA,I6_3.1,I6_3.2,I6_3.3,I6_3.NA,I6_4.1,I6_4.2,I6_4.3,I6_4.NA,I6_5.1,I6_5.2,I6_5.3,I6_5.NA,I6_6.1,I6_6.2,I6_6.3,I6_6.NA,I6_7.1,I6_7.2,I6_7.3,I6_7.NA,I6_8.1,I6_8.2,I6_8.3,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,first_date,day_count,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
JP,JPN,Japan,2021-10-01,99307776.3775634,4586,6997.6,300.3,9092,0,10934,11,7,8,12,5283,1469,673,4437,4681,488,431,4200,19,432824.80187622,15,3,2,12,14,238192.374064934,307.3,5209,54925.8265623583,280,243,0,0,0,8,3,5,0,2,5,4,7,0,3,8,1,2,3,3,2,3,1,1,1,4,2,1,1,1,1,1,0,1,0,0,0,0,0,0,4,2,4,5,2,5,1,2,1,7,2,2,2,1,1,2,0,2,0,0,0,1,0,0,2587,1928,768,1395,3120,768,3419,1096,768,3147,1368,768,4330,185,768,3142,1373,768,4170,345,768,126,1497,620,3040,129,1435,666,3053,492,1266,460,3065,227,1506,486,3064,1310,833,66,3074,938,1174,100,3071,500,1502,209,3072,1885,269,30,3099,37,42,286,407,1710,2801,48,161,522,184,39,204,607,367,219,314,45,143,271,479,5,1675,33,70,290,454,1636,2800,21,186,698,1550,2828,179,524,752,1007,2821,2021-10-01,5283,1,0.131702544031311,0.00927190530090059,0.00208215029339391,0.00122916792357273,0.00132500473215976,0.000980908704479229,0.00151429112246829,0.0010485361316461,0.00227143668370244,0.0012837022609667,0.0035964414158622,0.00161421699640847,0.00435841801784627,1.29560440508847e-05,0.00265000946431952,0.00138629383572633,0.00239852691051442,9.6207139218807e-06,0.00559481794326967,0.00062378432806437
JP,JPN,Japan,2021-10-02,101980174.766112,4989,7963.165,227,9825,0,11757,15,15,15,14,5715,1552,704,4853,5113,505,428,4639,26,651078.050331258,20,6,2,18,16,416427.135237115,234,5641,59481.0112571057,280,249,0,0,0,14,6,8,4,2,12,5,10,4,1,14,2,6,2,4,5,2,3,2,1,5,2,0,1,2,0,1,0,1,0,0,0,3,1,0,3,8,3,6,5,3,4,2,2,7,4,1,1,2,0,1,0,1,0,0,0,3,1,0,3075,1881,759,1322,3634,759,3439,1517,759,3414,1542,759,4669,287,759,3560,1396,759,4626,330,759,127,1643,649,3296,144,1570,689,3312,532,1380,489,3314,253,1631,519,3312,1420,895,72,3328,1026,1245,113,3331,578,1572,237,3328,2053,279,28,3355,53,56,311,436,1865,2994,60,140,592,203,51,203,628,415,252,354,79,195,296,515,2,1730,46,57,306,478,1831,2997,32,170,783,1713,3017,181,527,843,1154,3010,2021-10-02,5715,1,0.126687061364045,0.00874538576105927,0.0026246719160105,0.00132649860100018,0.0026246719160105,0.00132649860100018,0.0026246719160105,0.00132649860100018,0.00244969378827647,0.00128163180774479,0.00454943132108486,0.00174473060712192,0.00638435903669008,1.54581698872008e-05,0.00279965004374453,0.0013698816832442,0.00408341264556742,1.23769413405047e-05,0.00393402860937483,0.000503062248940893
JP,JPN,Japan,2021-10-03,100217206.024061,4667,7424.4,198,9338,0,11241,10,6,8,6,5395,1502,659,4585,4774,516,411,4315,18,426956.870023536,13,5,0,13,11,256062.158746627,204,5329,56191.1556442326,262,221,0,0,0,8,6,2,1,5,3,5,5,1,4,6,1,2,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,3,5,2,4,3,3,1,1,1,4,4,1,1,1,0,1,1,1,1,1,0,1,1,1,3181,1440,774,1165,3456,774,3200,1421,774,3241,1380,774,4317,304,774,3346,1275,774,4295,326,774,124,1580,615,3076,144,1508,652,3091,513,1335,446,3101,211,1582,498,3104,1339,852,88,3116,963,1202,118,3112,506,1528,244,3117,1919,291,52,3133,51,44,284,436,1680,2900,48,182,543,184,41,209,578,353,218,330,54,170,309,444,5,1727,38,62,293,445,1654,2903,35,190,678,1570,2922,201,490,768,1015,2921,2021-10-03,5395,1,0.125667429443173,0.0089715285556269,0.00185356811862836,0.00114776709865011,0.00111214087117702,0.000889386707810906,0.00148285449490269,0.0010267847238433,0.00111214087117702,0.000889386707810906,0.00333642261353105,0.00153874689037268,0.00426031503932595,1.2751777060321e-05,0.0020389249304912,0.00120367651115592,0.00255507181755943,9.88377760262405e-06,0.00363046457509436,0.000497285081737481
JP,JPN,Japan,2021-10-04,101614270.044427,3921,6784.9,171,7922,0,9321,8,5,9,6,4531,1318,533,3868,3990,453,326,3622,27,467533.448016477,19,6,2,17,23,398391.248433606,178,4470,47133.508299816,201,172,0,0,0,7,1,6,0,1,4,1,7,0,1,5,0,2,3,3,1,2,1,2,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,3,3,2,2,1,2,0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2381,1529,621,1068,2842,621,2811,1099,621,2644,1266,621,3704,206,621,2723,1187,621,3642,268,621,105,1360,512,2554,115,1287,567,2562,447,1151,361,2572,207,1336,414,2574,1135,755,62,2579,870,994,85,2582,470,1267,215,2579,1672,236,30,2593,30,34,253,344,1415,2455,47,152,475,147,41,167,498,322,166,241,51,124,211,350,2,1537,24,50,290,358,1353,2456,24,152,565,1310,2480,155,448,629,821,2478,2021-10-04,4531,1,0.12110883890025,0.00963890889426159,0.00176561465460163,0.00122240547143685,0.00110350915912602,0.000966716819417146,0.00198631648642684,0.00129641346010126,0.00132421099095122,0.00105886822187886,0.00595894945928051,0.0022409804650943,0.00460106093181664,1.3158255627675e-05,0.0050761421319797,0.00206924955010662,0.00392062304102983,1.21505310151547e-05,0.0037765064901968,0.000553741043671449
JP,JPN,Japan,2021-10-05,102361462.230011,4794,7589,189,9447,0,12169,13,6,8,11,5541,1578,724,4646,4920,523,391,4482,17,242071.102226211,8,8,2,6,12,174159.767864729,189,5454,57509.2067711849,281,239,0,0,0,9,7,2,4,3,4,7,6,4,3,8,1,3,1,2,2,2,3,1,0,3,3,1,1,2,1,2,1,2,2,1,0,2,3,1,3,5,2,5,3,5,6,1,0,7,4,2,1,2,1,2,1,2,2,1,0,2,3,1,2786,2005,750,1457,3334,750,3494,1297,750,3243,1548,750,4579,212,750,3318,1473,750,4447,344,750,140,1605,643,3153,154,1552,673,3162,553,1360,458,3170,257,1611,496,3177,1385,908,61,3187,1006,1251,103,3181,560,1561,233,3187,2001,308,30,3202,54,52,274,411,1774,2976,52,232,534,180,45,203,604,383,228,289,66,148,303,449,2,1823,45,67,267,461,1719,2982,39,176,672,1649,3005,183,517,796,1045,3000,2021-10-05,5541,1,0.134823091247672,0.00913472648935789,0.00234614690489081,0.00127385958468712,0.00108283703302653,0.000865964928684553,0.00144378271070204,0.000999749497190088,0.0019852012272153,0.00117199234220351,0.00306803826024183,0.00145618703963634,0.00236486561399706,9.40955210536773e-06,0.00216567406605306,0.00122399539469995,0.00170141930439978,7.98391225472768e-06,0.00328643030588102,0.000467764007082454
JP,JPN,Japan,2021-10-06,102310935.624367,4782,7299.2,282,9394,0,11590,3,2,2,5,5560,1567,727,4693,4945,514,375,4512,30,580431.650322061,23,5,4,19,20,415756.627373694,289,5490,57888.8054957472,268,231,0,0,0,3,1,1,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,0,1,1,0,1,1,1,1,0,0,1,0,0,2698,2052,810,1385,3365,810,3459,1291,810,3153,1597,810,4476,274,810,3269,1481,810,4416,334,810,150,1577,594,3239,149,1500,658,3253,540,1323,427,3270,278,1554,456,3272,1374,847,59,3280,981,1204,108,3267,520,1550,214,3276,1984,247,36,3293,43,50,306,422,1803,2936,52,209,534,147,62,202,640,413,233,274,55,155,297,423,5,1859,43,65,301,491,1722,2938,28,177,736,1666,2953,173,563,799,1075,2950,2021-10-06,5560,1,0.134132841328413,0.00907280639918888,0.000539568345323741,0.00061040309836166,0.000359712230215827,0.000498436884407238,0.000359712230215827,0.000498436884407238,0.000899280575539568,0.000787885190722352,0.00539568345323741,0.00192556904922627,0.00567321222096048,1.45534563494502e-05,0.00359712230215827,0.00157364144052914,0.00406365775893338,1.23271140850295e-05,0.00499232964862665,0.00057413713593028
JP,JPN,Japan,2021-10-07,100086681.860225,4699,7215.75,171,9461,0,11230,9,7,9,9,5428,1535,582,4708,4877,433,372,4454,31,726878.403456558,24,2,4,20,18,495031.030827355,179,5343,56338.7773704513,259,219,0,0,0,10,4,6,1,3,6,3,6,1,2,6,2,3,2,3,4,3,2,1,1,2,2,2,1,1,0,1,2,1,0,0,0,0,0,0,2,3,2,3,4,3,2,1,1,2,2,2,1,1,0,1,2,1,0,0,0,0,0,0,2589,2049,790,1411,3227,790,3329,1309,790,3095,1543,790,4404,234,790,3168,1470,790,4303,335,790,131,1612,624,3061,145,1501,705,3077,524,1366,453,3085,254,1560,518,3096,1402,858,66,3102,1009,1216,107,3096,539,1572,213,3104,1991,277,37,3123,45,52,279,382,1727,2943,61,185,541,181,47,189,606,419,217,290,47,179,269,421,3,1773,38,62,291,424,1665,2948,45,158,691,1563,2971,192,462,809,996,2969,2021-10-07,5428,1,0.110018903591682,0.00843226608269831,0.00165806927044952,0.00108235359197533,0.00128960943257185,0.000954722276776124,0.00165806927044952,0.00108235359197533,0.00165806927044952,0.00108235359197533,0.00571112748710391,0.00200468152740114,0.00726248877419744,1.6634888662529e-05,0.00331613854089904,0.00152940750727606,0.00494602300352692,1.37439425503566e-05,0.00317720774845715,0.000464703740598178
JP,JPN,Japan,2021-10-08,99577221.3840048,4453,7016.5,168,9153,0,10701,4,4,7,7,5197,1500,535,4517,4622,445,322,4257,27,583848.993356837,21,5,1,20,15,255150.212259861,172,5129,54082.2738411088,252,218,0,0,0,2,2,0,1,1,2,3,1,1,2,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2464,2029,704,1330,3163,704,3223,1270,704,2956,1537,704,4231,262,704,3097,1396,704,4197,296,704,125,1471,560,3041,134,1380,634,3049,492,1234,406,3065,224,1452,456,3065,1292,778,57,3070,873,1160,96,3068,474,1434,217,3072,1802,278,27,3090,39,44,284,410,1667,2753,43,163,488,183,45,180,558,358,217,305,51,176,286,458,1,1685,39,50,280,443,1628,2757,25,184,702,1511,2775,166,462,796,1001,2772,2021-10-08,5197,1,0.105898653998416,0.00848506189155186,0.000769674812391765,0.000753977129841432,0.000769674812391765,0.000753977129841432,0.00134693092168559,0.000997129843712847,0.00134693092168559,0.000997129843712847,0.00519530498364441,0.00195454723069363,0.00586327862177746,1.49955159610649e-05,0.00288628054646912,0.00145852322693586,0.00256233512758819,9.92953558222634e-06,0.00318033965260647,0.000474532180071668
JP,JPN,Japan,2021-10-09,101188303.811963,4984,6892.1,216,10007,0,12403,11,7,10,5,5690,1537,599,4931,5100,437,357,4685,20,357177.145229425,15,3,2,12,13,212732.557380645,222,5601,59059.2348964809,287,256,0,0,0,11,5,4,1,4,7,4,6,1,3,8,0,3,1,2,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,2,2,3,1,1,0,1,0,4,0,0,0,1,0,1,1,1,0,0,0,1,0,0,3062,1906,722,1333,3635,722,3316,1652,722,3266,1702,722,4652,316,722,3442,1526,722,4648,320,722,153,1649,647,3241,145,1567,724,3254,592,1321,517,3260,236,1619,574,3261,1470,891,61,3268,981,1334,105,3270,580,1612,226,3272,2095,277,32,3286,35,52,282,436,1864,3021,61,171,559,202,47,202,631,409,237,324,76,188,327,551,6,1699,40,57,314,488,1768,3023,33,164,747,1702,3044,168,501,855,1124,3042,2021-10-09,5690,1,0.108318264014467,0.00819108262043568,0.00193321616871705,0.00114133193276642,0.00123022847100176,0.000910788502232901,0.00175746924428823,0.00108831310623122,0.000878734622144112,0.000769892214924511,0.00351493848857645,0.00153775171024353,0.00352982639073745,1.15555802473244e-05,0.00228471001757469,0.00124054012128054,0.00210234334766559,8.92437388948215e-06,0.00375893796100003,0.00049353616356028
JP,JPN,Japan,2021-10-10,100646914.103859,4833,8063.1,204,9928,0,11688,5,0,5,5,5560,1534,597,4815,5000,423,323,4623,26,509946.74633155,19,6,2,17,18,310803.09452369,209,5493,57920.4387227941,233,207,0,0,0,3,3,0,0,3,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,1,0,0,3,1,0,0,0,0,1,1,1,0,0,0,1,0,0,3237,1584,739,1226,3595,739,3137,1684,739,3177,1644,739,4441,380,739,3392,1429,739,4512,309,739,131,1633,603,3193,142,1566,653,3199,536,1346,474,3204,212,1624,512,3212,1379,896,68,3217,972,1276,100,3212,548,1564,231,3217,1947,345,38,3230,44,58,307,440,1749,2962,65,198,541,159,41,188,608,371,241,299,56,183,299,516,2,1793,43,77,306,452,1718,2964,27,193,723,1639,2978,186,508,844,1047,2975,2021-10-10,5560,1,0.110310421286031,0.00834635245508352,0.000899280575539568,0.000787885190722352,0,0,0.000899280575539568,0.000787885190722352,0.000899280575539568,0.000787885190722352,0.00467625899280576,0.00179325543196672,0.00506669032897847,1.38709761626769e-05,0.00323741007194245,0.00149315680168497,0.00308805388909358,1.08397357352411e-05,0.00360839808207029,0.000488319897178265
