ISO2,country_name,ISO3,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,start_vacc,prev_omicron,prev_omicron_error,prev_omicron_low,prev_omicron_high,num_sequences_total,count_1,vaccinated_1,unvaccinated_1,vac1dose_1,vac2doses_1,count_2,vaccinated_2,unvaccinated_2,vac1dose_2,vac2doses_2,pos_RF_1,pos_RF_vaccinated_1,pos_RF_unvaccinated_1,pos_RF_vac1dose_1,pos_RF_vac2doses_1,pos_RF_2,pos_RF_vaccinated_2,pos_RF_unvaccinated_2,pos_RF_vac1dose_2,pos_RF_vac2doses_2,p_pos_RF_1,p_pos_RF_1_error,p_pos_RF_2,p_pos_RF_2_error,PV_pos_RF_1,PV_pos_RF_1_error,PV_pos_RF_2,PV_pos_RF_2_error,PU_pos_RF_1,PU_pos_RF_1_error,PU_pos_RF_2,PU_pos_RF_2_error,PV1D_pos_RF_1,PV1D_pos_RF_1_error,PV1D_pos_RF_2,PV1D_pos_RF_2_error,PV2D_pos_RF_1,PV2D_pos_RF_1_error,PV2D_pos_RF_2,PV2D_pos_RF_2_error,RR_pos_RF_1,RR_pos_RF_1_low,RR_pos_RF_1_high,RR_pos_RF_2,RR_pos_RF_2_low,RR_pos_RF_2_high,RR_pos_RF_vac1dose_1,RR_pos_RF_vac1dose_1_low,RR_pos_RF_vac1dose_1_high,RR_pos_RF_vac1dose_2,RR_pos_RF_vac1dose_2_low,RR_pos_RF_vac1dose_2_high,RR_pos_RF_vac2doses_1,RR_pos_RF_vac2doses_1_low,RR_pos_RF_vac2doses_1_high,RR_pos_RF_vac2doses_2,RR_pos_RF_vac2doses_2_low,RR_pos_RF_vac2doses_2_high,efficacy_RF_1,efficacy_RF_1_low,efficacy_RF_1_high,efficacy_RF_2,efficacy_RF_2_low,efficacy_RF_2_high,efficacy_RF_vac1dose_1,efficacy_RF_vac1dose_1_low,efficacy_RF_vac1dose_1_high,efficacy_RF_vac1dose_2,efficacy_RF_vac1dose_2_low,efficacy_RF_vac1dose_2_high,efficacy_RF_vac2doses_1,efficacy_RF_vac2doses_1_low,efficacy_RF_vac2doses_1_high,efficacy_RF_vac2doses_2,efficacy_RF_vac2doses_2_low,efficacy_RF_vac2doses_2_high
AR,Argentina,ARG,167.98,83.76,71.61,12.22,18625,0.833333333333333,0.0745497559882149,0.758783577345119,0.907883089321548,96,44509,40276,3077,3704,36115,48807,44590,2778,1884,41783,715,594,87,102,484,1302,1143,99,90,1034,0.0160641667977263,0.00116798338153119,0.0266765013215317,0.00142955238209905,0.0147482371635714,0.00117724970861278,0.025633550123346,0.00146688103822495,0.0282742931426714,0.00585668770869324,0.0356371490280778,0.00689372068555936,0.0275377969762419,0.00527003578410016,0.0477707006369427,0.00963073022032581,0.0134016336702201,0.00118591441669981,0.0247469066366704,0.00148959226932965,0.521612939681713,0.417773481965635,0.651262156619551,0.719292951946013,0.587890041662357,0.880066532945897,0.973951739033291,0.734617692393669,1,,,,0.473986514980085,0.378391961264203,0.593731472604145,0.694413198350206,0.567066418024957,0.850358396680335,0.478387060318287,0.348737843380449,0.582226518034365,0.280707048053987,0.119933467054103,0.412109958337643,0.0260482609667089,0,0.265382307606331,,,,0.526013485019916,0.406268527395855,0.621608038735797,0.305586801649794,0.149641603319665,0.432933581975043
BE,Belgium,BEL,186.29,76.65,75.7,37.59,18624,0.317480719794344,0.0231291373356707,0.294351582458674,0.340609857130015,1556,16448,14266,1687,747,13327,18373,16004,1718,463,15269,364,274,69,25,248,912,751,130,31,713,0.0221303501945525,0.00224815457832093,0.0496380558428128,0.00314058067350108,0.0192065049768681,0.00225221549029425,0.0469257685578605,0.00327644498881318,0.040901007705987,0.00945125043683322,0.0756693830034924,0.012505765389528,0.0334672021419009,0.0128975075691025,0.0669546436285097,0.0227666601587638,0.0186088391986193,0.00229436550591789,0.0466959198375794,0.0033465551526499,0.469585128927195,0.362390539453763,0.60848772057336,0.620142079864649,0.518290720010269,0.742008653389035,,,,,,,0.454972633740157,0.350137379671779,0.591196797229986,0.61710454062278,0.515377723239709,0.738910505606253,0.530414871072805,0.391512279426641,0.637609460546237,0.379857920135351,0.257991346610965,0.481709279989731,,,,,,,0.545027366259843,0.408803202770014,0.649862620328221,0.38289545937722,0.261089494393747,0.484622276760292
BR,Brazil,BRA,154.81,77.66,67.03,12.42,18644,0.583333333333333,0.0608696208733737,0.52246371245996,0.644202954206707,252,198423,183859,9428,38885,142594,162402,151114,6552,8680,139517,5111,4486,405,1334,3072,4066,3648,224,355,3194,0.025758102639311,0.00069701547642691,0.025036637479834,0.000759861696321685,0.0243991319435002,0.0007052269835137,0.0241407149569199,0.000773863572008021,0.0429571489181163,0.00409281128748799,0.0341880341880342,0.00439991718507391,0.0343062877716343,0.00180910429357519,0.0408986175115207,0.00416653275990744,0.0215436834649424,0.000753577920683611,0.0228932674871163,0.000784800770237691,0.567987693736592,0.514160464285131,0.627450071807363,0.706115912489908,0.618408694154903,0.806262406373225,0.798616496570292,0.716217672268287,0.890495073340355,,,,0.501515673351796,0.453112390747737,0.555089588705451,0.669628073998151,0.586127561497733,0.765024180641959,0.432012306263408,0.372549928192637,0.485839535714869,0.293884087510092,0.193737593626775,0.381591305845098,0.201383503429708,0.109504926659645,0.283782327731713,,,,0.498484326648205,0.444910411294549,0.546887609252263,0.330371926001849,0.234975819358041,0.413872438502267
CO,Colombia,COL,126.19,74.81,55.25,6.49,18675,0.345794392523364,0.0901202331327171,0.255674159390647,0.435914625656082,107,34859,28457,5437,9979,18034,33883,30197,2734,7514,22137,1013,666,285,291,364,1103,897,158,280,596,0.0290599271350297,0.00176333205402381,0.0325531977687926,0.00188958980968535,0.0234037319464455,0.00175652211450753,0.0297049375765805,0.00191483970531458,0.052418613205812,0.00592406000285926,0.0577907827359181,0.00874685240946769,0.0291612386010622,0.00330127054231522,0.0372637742879957,0.00428262031529303,0.0201840967062216,0.0020524801213507,0.0269232506663053,0.00213219049824254,0.446477510852015,0.389834841214262,0.511350312033931,0.514008223635259,0.43603824657636,0.605920366020934,0.556314576399914,0.474077497466098,0.65281712287377,0.644804803185952,0.533204468415433,0.779763221878581,0.385055908041146,0.330749037886597,0.448279617878218,0.465874476719485,0.392719330471077,0.552656849863514,0.553522489147985,0.488649687966069,0.610165158785738,0.485991776364741,0.394079633979066,0.56396175342364,0.443685423600087,0.34718287712623,0.525922502533902,0.355195196814048,0.220236778121419,0.466795531584567,0.614944091958854,0.551720382121782,0.669250962113403,0.534125523280515,0.447343150136486,0.607280669528923
DK,Denmark,DNK,208.56,82.64,78.43,48.29,18663,0.474433841333143,0.0116801960096726,0.462753645323471,0.486114037342816,7021,19591,18279,917,212,17781,27284,25472,1206,217,24684,232,196,24,5,186,1405,1256,116,16,1228,0.011842172426114,0.00151477677038481,0.051495381908811,0.00262239396725867,0.0107226872367197,0.00149307876409346,0.0493090452261307,0.00265888494877927,0.0261723009814613,0.0103329764078906,0.0961857379767828,0.0166406150035019,0.0235849056603774,0.0204274649747538,0.0737327188940092,0.0347709463006812,0.0104606040155222,0.00149542599519469,0.0497488251498947,0.00271238256618319,,,,0.512644039161324,0.427676902133698,0.614491709925173,,,,,,,,,,0.517216233885974,0.431414038147355,0.620083281814343,,,,0.487355960838676,0.385508290074827,0.572323097866302,,,,,,,,,,0.482783766114026,0.379916718185657,0.568585961852645
FR,France,FRA,183.8,78.62,73.48,33.29,18623,0.255833686890115,0.0176149805434211,0.238218706346693,0.273448667433536,2357,82767,67393,10234,6369,60218,111041,95663,11593,4708,89139,703,486,149,102,377,3452,2733,596,130,2566,0.00849372334384477,0.000625196119187044,0.0310876162858764,0.00102080402463343,0.00721143145430534,0.000638821935308739,0.0285690392314688,0.0010556741349572,0.0145593120969318,0.00232065754697342,0.051410333822134,0.00401989379852103,0.0160150730098917,0.003082983148721,0.0276125743415463,0.004680615646779,0.00626058653558737,0.000629982805720929,0.0287865019800536,0.00109765538963975,,,,0.555706160755735,0.509666072722035,0.605905226244673,,,,0.537101634801252,0.445640127472759,0.647334358649764,,,,0.559936103112016,0.513283531659786,0.610828947802835,,,,0.444293839244265,0.394094773755327,0.490333927277965,,,,0.462898365198748,0.352665641350236,0.554359872527241,,,,0.440063896887984,0.389171052197165,0.486716468340214
DE,Germany,DEU,178.84,73.62,70.61,38.87,18623,0.134914340101523,0.00596325806452178,0.128951082037001,0.140877598166045,12608,89348,71980,12601,6655,64611,110359,95530,11868,5490,88548,619,428,155,52,373,2253,1616,580,149,1453,0.00692796705018579,0.000543874823912195,0.0204151904239799,0.000834337860293469,0.00594609613781606,0.000561646556868222,0.016916151994138,0.000817757002800552,0.0123006110626141,0.00192451509160149,0.0488709133805191,0.00387886157951588,0.00781367392937641,0.0021154283572401,0.0271402550091075,0.00429827301757937,0.00577301078763678,0.000584169419242106,0.0164091792022406,0.000836776307986807,,,,0.346139468735223,0.315421321736009,0.37984918443966,,,,0.555345769738082,0.4651886162292,0.662976077243533,,,,0.335765756503778,0.305538015137551,0.36898401395257,,,,0.653860531264777,0.62015081556034,0.684578678263991,,,,0.444654230261918,0.337023922756467,0.5348113837708,,,,0.664234243496222,0.63101598604743,0.694461984862449
IN,India,IND,103.98,60.69,43.29,0,18643,0.334615384615385,0.0405560592727855,0.294059325342599,0.37517144388817,520,76675,63803,4076,16798,45967,68155,60076,2631,7344,51622,2899,1629,186,623,958,2231,1235,93,242,939,0.0378089338115422,0.0013500475783229,0.0327342087887903,0.00133589728838402,0.0255317148096485,0.00122391536850253,0.0205572940941474,0.00113467132417316,0.0456329735034347,0.00640660724892696,0.0353477765108324,0.00705592737487042,0.037087748541493,0.00285777408506771,0.0329520697167756,0.00408269658665272,0.0208410381360541,0.00130590410296393,0.0181899190267715,0.00115281549229043,0.5595014492695,0.48236132486835,0.648977966506973,0.581572481308622,0.472780208516448,0.715399132456918,0.812740123952288,0.692467778409428,0.953902159316684,0.93222468198749,0.737034111771495,1,0.456710061519122,0.391625468741138,0.532611121956097,0.514598676983182,0.417361811997219,0.63448976581165,0.4404985507305,0.351022033493027,0.51763867513165,0.418427518691378,0.284600867543082,0.527219791483552,0.187259876047712,0.0460978406833156,0.307532221590572,0.0677753180125097,0,0.262965888228505,0.543289938480879,0.467388878043903,0.608374531258862,0.485401323016818,0.36551023418835,0.582638188002781
IT,Italy,ITA,184.31,80.16,74.12,32.52,18623,0.206019499788046,0.0163208661473485,0.189698633640697,0.222340365935394,2359,98712,89120,7023,9066,78852,112754,103305,6095,5108,96124,558,394,120,67,322,2610,2158,329,95,2035,0.00565280816921955,0.000467696656333722,0.023147737552548,0.000877709563443253,0.00442100538599641,0.000435570929360429,0.0208895987609506,0.000872104045790974,0.0170867150790261,0.00303091423982493,0.0539786710418376,0.00567313076464177,0.00739024928303552,0.00176302733617325,0.0185982772122161,0.00370495052663687,0.00408359965504997,0.000445117588789706,0.0211705713453456,0.000910022168500172,,,,0.386997277957428,0.345616576770941,0.433332493903258,,,,0.344548631028746,0.275063353241037,0.431586969856193,,,,0.392202529938849,0.350103290390291,0.439364121139662,,,,0.613002722042572,0.566667506096742,0.654383423229059,,,,0.655451368971255,0.568413030143807,0.724936646758964,,,,0.607797470061151,0.560635878860338,0.649896709609709
MX,Mexico,MEX,114.24,62.89,55.87,0,18620,0.538116591928251,0.0462684588616307,0.49184813306662,0.584385050789882,446,139967,119471,12063,35960,82321,118861,109330,6472,17776,90162,6881,5167,1201,2287,2808,4747,4047,485,1038,2956,0.0491615880886209,0.0011326652451131,0.0399374058774535,0.00111318693786036,0.0432489892944731,0.00115346464589765,0.0370163724503796,0.00111914097499776,0.0995606399734726,0.00534307785253724,0.074938195302843,0.0064145445612869,0.0635984427141268,0.00252227568870553,0.0583933393339334,0.0034470492394594,0.0341103728088823,0.0012399373905022,0.0327854306692398,0.00116235338303996,0.43439846616089,0.409130383121569,0.461227117778891,0.493958685564653,0.451092133879478,0.540898775924898,0.638791019534148,0.597555277932817,0.682872332831028,0.779219983854055,0.70226725784298,0.864605001096712,0.342609015148665,0.321105939409372,0.365552058853361,0.437499602662516,0.398786558714561,0.479970796776181,0.56560153383911,0.53877288222111,0.590869616878432,0.506041314435347,0.459101224075102,0.548907866120522,0.361208980465852,0.317127667168972,0.402444722067183,0.220780016145945,0.135394998903288,0.29773274215702,0.657390984851335,0.634447941146639,0.678894060590628,0.562500397337484,0.520029203223819,0.601213441285439
